context: It is the end of the 1990's. response:	Japan was suffering the greatest economic recession since the War.
context: Just don't go too far.\Okaay!\To think he has to take care\of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch!\Yo! response:	Long time no see.
context: Okaay!\To think he has to take care\of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch!\Yo!\Long time no see. response:	What, with your husband again?
context: To think he has to take care\of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch!\Yo!\Long time no see.\What, with your husband again? response:	It's too hot for comfort with you all over each other.
context: of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch!\Yo!\Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other. response:	Don't flirt in front of us, it's annoying.
context: I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch!\Yo!\Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying. response:	We're NOT flirting!! (Text:We're going to talk about homeroom!)
context: Look, his hair's falling out.\Yo! Let's have lunch!\Yo!\Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!) response:	What, Hideaki, nothing but bread for lunch?
context: Yo! Let's have lunch!\Yo!\Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch? response:	Doesn't matter.
context: Yo!\Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter. response:	Here, I'll split some of mine with you. You should think about your nutrition more.
context: Long time no see.\What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more. response:	Feed him.
context: What, with your husband again?\It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him. response:	Moron, what're you thinking?
context: It's too hot for comfort with you all over each other.\Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking? response:	Come on, see, aah.
context: Don't flirt in front of us, it's annoying.\We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking?\Come on, see, aah. response:	Hmm... two guys together aren't that bad either.
context: We're NOT flirting!! (Text:We're going to talk about homeroom!)\What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either. response:	Makes lunch taste better, doesn't it?
context: What, Hideaki, nothing but bread for lunch?\Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it? response:	It's still so hot.
context: Doesn't matter.\Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot. response:	What are we going to do in homeroom?
context: Here, I'll split some of mine with you. You should think about your nutrition more.\Feed him.\Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom? response:	To talk about the Culture Fair.
context: Feed him.\Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair. response:	Great, here come the busy days again.
context: Moron, what're you thinking?\Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again. response:	When's the Culture Fair?
context: Come on, see, aah.\Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair? response:	September 15.
context: Hmm... two guys together aren't that bad either.\Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair?\September 15. response:	It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks
context: Makes lunch taste better, doesn't it?\It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks response:	I heard the sports teams have been preparing all summer.
context: It's still so hot.\What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer. response:	I guess the point is that nobody can get into study mode in this heat.
context: What are we going to do in homeroom?\To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat. response:	The girls volleyball team is getting together with the girls judo team to do a hostess lounge!
context: To talk about the Culture Fair.\Great, here come the busy days again.\When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge! response:	Party with the babes!
context: Great, here come the busy days again.\When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes! response:	The crafts club is going to make a dollhouse!
context: When's the Culture Fair?\September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse! response:	Great. Sounds like fun.
context: September 15.\It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun. response:	So what? You have your husband.
context: It's a bit unreasonable to tell us to prepare the Culture Fair in just two weeks\I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband. response:	Stop calling me husband, Sakura!
context: I heard the sports teams have been preparing all summer.\I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura! response:	Aren't you going to walk around with Arima and see all the booths?
context: I guess the point is that nobody can get into study mode in this heat.\The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths? response:	If I have time...
context: The girls volleyball team is getting together with the girls judo team to do a hostess lounge!\Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time... response:	We're probably going to be forced to be in multiple committees again.
context: Party with the babes!\The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again. response:	So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.
context: The crafts club is going to make a dollhouse!\Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust. response:	I have almost no memories of the end of the Athletics Festival.
context: Great. Sounds like fun.\So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival. response:	Smart people sure have it rough.
context: So what? You have your husband.\Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough. response:	Tsubasa-chan, are you doing anything for the Culture Fair?
context: Stop calling me husband, Sakura!\Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair? response:	Tsubasa-chan, your hairstyle is so cute.
context: Aren't you going to walk around with Arima and see all the booths?\If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute. response:	Let's do some bonding!
context: If I have time...\We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding! response:	Well, you know how she is, I better give her some candy to keep her quiet.
context: We're probably going to be forced to be in multiple committees again.\So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet. response:	Is she some kind of animal? How about you, Maho-san?
context: So while everyone else is having fun we'll be barely conscious, running around covered in sweat and dust.\I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san? response:	I'm not interested in school activities,
context: I have almost no memories of the end of the Athletics Festival.\Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities, response:	so I'll be at home asleep.
context: Smart people sure have it rough.\Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep. response:	Asapin?
context: Tsubasa-chan, are you doing anything for the Culture Fair?\Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep.\Asapin? response:	Oh, I don't know. I'll just do whatever my class does.
context: Tsubasa-chan, your hairstyle is so cute.\Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does. response:	Other than that, I guess I'll do some girl hunting.
context: Let's do some bonding!\Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting. response:	Oh. You guys just aren't into this at all.
context: Well, you know how she is, I better give her some candy to keep her quiet.\Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all. response:	Young people these days are so apathetic.
context: Is she some kind of animal? How about you, Maho-san?\I'm not interested in school activities,\so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic. response:	It's just that you're so gung-ho, Tsubaki.
context: I'm not interested in school activities,\so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki. response:	I'm sure you'll have fun doing the hostess lounge.
context: so I'll be at home asleep.\Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge. response:	You think so?
context: Asapin?\Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so? response:	I wish I could just stay home and sleep like Maho-san.
context: Oh, I don't know. I'll just do whatever my class does.\Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san. response:	I feel tired just thinking about it.
context: Other than that, I guess I'll do some girl hunting.\Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it. response:	What's Aya-chan up to?
context: Oh. You guys just aren't into this at all.\Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to? response:	Writing.
context: Young people these days are so apathetic.\It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to?\Writing. response:	MMM?
context: It's just that you're so gung-ho, Tsubaki.\I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to?\Writing.\MMM? response:	Sorry for making you take the test in a separate room.
context: I'm sure you'll have fun doing the hostess lounge.\You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to?\Writing.\MMM?\Sorry for making you take the test in a separate room. response:	I thought the best place to introduce a transfer student would be in afternoon homeroom.
context: You think so?\I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to?\Writing.\MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom. response:	How does it feel being back in this town after three years...
context: I wish I could just stay home and sleep like Maho-san.\I feel tired just thinking about it.\What's Aya-chan up to?\Writing.\MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years... response:	We'll be starting homeroom now.
context: I feel tired just thinking about it.\What's Aya-chan up to?\Writing.\MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now. response:	We're going to discuss the Culture Fair, which will be held on the 15th of this month...
context: What's Aya-chan up to?\Writing.\MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month... response:	Well actually, Arima and I are busy, so you guys decide what
context: Writing.\MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what response:	you're going to do by yourselves, and just do whatever. That is all.
context: MMM?\Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all. response:	Hey, do you think the class representative can get away with that?!
context: Sorry for making you take the test in a separate room.\I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?! response:	Think about the class more seriously!
context: I thought the best place to introduce a transfer student would be in afternoon homeroom.\How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously! response:	Oh, shut up. I don't want to think seriously about anything except exams.
context: How does it feel being back in this town after three years...\We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams. response:	Not fair! What a rotten representative!
context: We'll be starting homeroom now.\We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative! response:	Say what you want.
context: We're going to discuss the Culture Fair, which will be held on the 15th of this month...\Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want. response:	I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.
context: Well actually, Arima and I are busy, so you guys decide what\you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in. response:	How irresponsible!
context: you're going to do by yourselves, and just do whatever. That is all.\Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible! response:	Do your job!
context: Hey, do you think the class representative can get away with that?!\Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job! response:	What kind of service is that?!
context: Think about the class more seriously!\Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job!\What kind of service is that?! response:	I said, I don't care!
context: Oh, shut up. I don't want to think seriously about anything except exams.\Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job!\What kind of service is that?!\I said, I don't care! response:	No way! I can't believe this!
context: Not fair! What a rotten representative!\Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job!\What kind of service is that?!\I said, I don't care!\No way! I can't believe this! response:	There's something interesting written here.
context: Say what you want.\I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job!\What kind of service is that?!\I said, I don't care!\No way! I can't believe this!\There's something interesting written here. response:	After the conclusion of the Culture Fair, an all-around winner will be announced...
context: I'd rather go home and be cleaning out my ears than do something I have nothing to gain in.\How irresponsible!\Do your job!\What kind of service is that?!\I said, I don't care!\No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced... response:	However, if it is determined by the executive committee
context: How irresponsible!\Do your job!\What kind of service is that?!\I said, I don't care!\No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee response:	that there was excessive soliciting, they would be disqualified.
context: Do your job!\What kind of service is that?!\I said, I don't care!\No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified. response:	* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,
context: What kind of service is that?!\I said, I don't care!\No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University, response:	Gift certificates for Korean BBQ!
context: I said, I don't care!\No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ! response:	Destination for the fall fieldtrip!
context: No way! I can't believe this!\There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip! response:	A copy of those notes!!
context: There's something interesting written here.\After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!! response:	So that's why people seemed way too into the Culture Fair
context: After the conclusion of the Culture Fair, an all-around winner will be announced...\However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair response:	when I came to see it while visiting schools last year.
context: However, if it is determined by the executive committee\that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year. response:	No wonder the sports clubs have been preparing all summer.
context: that there was excessive soliciting, they would be disqualified.\* Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer. response:	Everone else is at a disadvantage.
context: * Gift certificates for Korean BBQ, * Right to choose the destination for the fall fieldtrip, * Copies of all notes taken during school by an alumni who got into Tokyo University,\Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage. response:	SILENCE! Let's talk about it.
context: Gift certificates for Korean BBQ!\Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it. response:	And this is the person who was just telling us to do whatever...
context: Destination for the fall fieldtrip!\A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever... response:	That voice!
context: A copy of those notes!!\So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice! response:	It's dark!
context: So that's why people seemed way too into the Culture Fair\when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice!\It's dark! response:	I can't see anything!
context: when I came to see it while visiting schools last year.\No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice!\It's dark!\I can't see anything! response:	1-A has no chance of winning no matter how much you talk!
context: No wonder the sports clubs have been preparing all summer.\Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice!\It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk! response:	Say what?!
context: Everone else is at a disadvantage.\SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice!\It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?! response:	The all-around winner is going to be 1-F.
context: SILENCE! Let's talk about it.\And this is the person who was just telling us to do whatever...\That voice!\It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F. response:	Asapin! You're so disgusting.
context: And this is the person who was just telling us to do whatever...\That voice!\It's dark!\I can't see anything!\1-A has no chance of winning no matter how much you talk!\Say what?!\The all-around winner is going to be 1-F.\Asapin! You're so disgusting. response:	What do you want?
