context: No doubt about it. Goku has landed on Planet Namek. response:	Son...
context: Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him. response:	D- don't tell me!
context: He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me! response:	That bastard...
context: His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard... response:	Hey, hey, hey, are you all right?
context: Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard...\Hey, hey, hey, are you all right? response:	What are you trying to do with a battle power as puny as that?
context: This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that? response:	J- just a minute, I say!
context: Doesn't he know what his opponent's capabilities are?\That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say! response:	M- my Gohan- chan is in trouble! I can't just sit around!
context: That can't be right.\But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around! response:	This is it, right? Go on, hurry and call Gohan- chan!
context: But I don't sense even a trace of bloodlust from him.\D- don't tell me!\That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan! response:	I- I don't know what sort of intuition or whatever you've felt,
context: D- don't tell me!\That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt, response:	but there's no need to panic.
context: That bastard...\Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic. response:	Hurry it up!
context: Hey, hey, hey, are you all right?\What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up! response:	O- okay...
context: What are you trying to do with a battle power as puny as that?\J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up!\O- okay... response:	Hey, Bulma, do you read me? Hey, I say!
context: J- just a minute, I say!\M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say! response:	Hey!
context: M- my Gohan- chan is in trouble! I can't just sit around!\This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey! response:	I- it's from Dad.
context: This is it, right? Go on, hurry and call Gohan- chan!\I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad. response:	Hello? Dad?
context: I- I don't know what sort of intuition or whatever you've felt,\but there's no need to panic.\Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad.\Hello? Dad? response:	ls that you, Bulma?
context: but there's no need to panic.\Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad.\Hello? Dad?\ls that you, Bulma? response:	What's happened to Son- kun!? When is he going to arrive?
context: Hurry it up!\O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad.\Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive? response:	It's been six days already!
context: O- okay...\Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad.\Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already! response:	What, hasn't he arrived yet? That's strange.
context: Hey, Bulma, do you read me? Hey, I say!\Hey!\I- it's from Dad.\Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange. response:	Maybe I messed up my calculations.
context: Hey!\I- it's from Dad.\Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations. response:	What about Gohan-chan!? How is Gohan-chan doin!?
context: I- it's from Dad.\Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!? response:	Chichi- san...
context: Hello? Dad?\ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san... response:	ls he safe? Tell me he's safe!
context: ls that you, Bulma?\What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe! response:	I- I don't know if he is!
context: What's happened to Son- kun!? When is he going to arrive?\It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is! response:	l'm the one who wants to know what's going on here.
context: It's been six days already!\What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here. response:	Huh? This guy is crazy, all right.
context: What, hasn't he arrived yet? That's strange.\Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right. response:	He's about to be killed, and here he is, smiling.
context: Maybe I messed up my calculations.\What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling. response:	You can't beat me.
context: What about Gohan-chan!? How is Gohan-chan doin!?\Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me. response:	I can tell without even fighting you.
context: Chichi- san...\ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you. response:	Of all the things he might have said!
context: ls he safe? Tell me he's safe!\I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you.\Of all the things he might have said! response:	Hey! Did you hear that?
context: I- I don't know if he is!\l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that? response:	This trash bug is talking outrageously big!
context: l'm the one who wants to know what's going on here.\Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big! response:	H- he's funny in the head, all right.
context: Huh? This guy is crazy, all right.\He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right. response:	He was never the sort to talk big, either.
context: He's about to be killed, and here he is, smiling.\You can't beat me.\I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either. response:	Father, you don't, by any chance, not realize your opponent's power, do you?
context: You can't beat me.\I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you? response:	D- don't tell me! No, that can't be possible!
context: I can tell without even fighting you.\Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible! response:	There's no way that lower-class fighter Kakarrot...
context: Of all the things he might have said!\Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot... response:	I can't take any more jokes from such a deeply stupid bastard as you.
context: Hey! Did you hear that?\This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you. response:	I'll shut you up forever in no time flat.
context: This trash bug is talking outrageously big!\H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat. response:	T- they say that Super Saiyans appear only once in a millennium.
context: H- he's funny in the head, all right.\He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium. response:	A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...
context: He was never the sort to talk big, either.\Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot... response:	It couldn't be... that's just a ridiculous fable!
context: Father, you don't, by any chance, not realize your opponent's power, do you?\D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable! response:	E- even if the legend is true,
context: D- don't tell me! No, that can't be possible!\There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true, response:	l'm the only one who has the potential to become a Super Saiyan!
context: There's no way that lower-class fighter Kakarrot...\I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan! response:	Okay, are you ready?
context: I can't take any more jokes from such a deeply stupid bastard as you.\I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready? response:	Ginyu Special Corps, ReaCoom Mach...
context: I'll shut you up forever in no time flat.\T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach... response:	Whoop-oop-oop-oop-oop...
context: T- they say that Super Saiyans appear only once in a millennium.\A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop... response:	He vanished!
context: A Super Saiyan, who can surpass barriers that even the most gifted warriors cannot...\It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished! response:	Huh? This can't be... He's nowhere.
context: It couldn't be... that's just a ridiculous fable!\E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere. response:	W- what the?
context: E- even if the legend is true,\l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere.\W- what the? response:	H- hey, what the hell is this?
context: l'm the only one who has the potential to become a Super Saiyan!\Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this? response:	What!?
context: Okay, are you ready?\Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this?\What!? response:	W- why, you!
context: Ginyu Special Corps, ReaCoom Mach...\Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this?\What!?\W- why, you! response:	When did you manage to?
context: Whoop-oop-oop-oop-oop...\He vanished!\Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this?\What!?\W- why, you!\When did you manage to? response:	What!?
context: He vanished!\Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this?\What!?\W- why, you!\When did you manage to?\What!? response:	He's over there!?
context: Huh? This can't be... He's nowhere.\W- what the?\H- hey, what the hell is this?\What!?\W- why, you!\When did you manage to?\What!?\He's over there!? response:	Looks like Vegeta is the only one who caught where Goku was.
context: W- what the?\H- hey, what the hell is this?\What!?\W- why, you!\When did you manage to?\What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was. response:	W - was he able to see him move just now?
context: H- hey, what the hell is this?\What!?\W- why, you!\When did you manage to?\What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now? response:	You guys are in league with that bad guy Freeza too, aren't you?
context: What!?\W- why, you!\When did you manage to?\What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you? response:	You can get away now without getting hurt.
context: W- why, you!\When did you manage to?\What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt. response:	You'd better get out of here.
context: When did you manage to?\What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here. response:	W- what the?
context: What!?\He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here.\W- what the? response:	W- why, you bastard!
context: He's over there!?\Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here.\W- what the?\W- why, you bastard! response:	Looks like you're pretty sure of your speed, at least.
context: Looks like Vegeta is the only one who caught where Goku was.\W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here.\W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least. response:	But no matter how long this lasts,
context: W - was he able to see him move just now?\You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here.\W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts, response:	you can't win if all you ever do is run away.
context: You guys are in league with that bad guy Freeza too, aren't you?\You can get away now without getting hurt.\You'd better get out of here.\W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away. response:	All right, if that's how you want it, let me show you my best move.
context: You can get away now without getting hurt.\You'd better get out of here.\W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move. response:	I'll warn you, though,
context: You'd better get out of here.\W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though, response:	no matter how fast you run away, it won't do you any good.
context: W- what the?\W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good. response:	After all, ReaCoom- sama is going to blow away
context: W- why, you bastard!\Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away response:	anything within a fairly widespread area.
context: Looks like you're pretty sure of your speed, at least.\But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area. response:	We'll find out what Kakarrot's true worth is this time.
context: But no matter how long this lasts,\you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time. response:	Have you made your peace?
context: you can't win if all you ever do is run away.\All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace? response:	I'm going to send all four of you into the next world!
context: All right, if that's how you want it, let me show you my best move.\I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world! response:	ReaCoom...
context: I'll warn you, though,\no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom... response:	Y- y- yikes!
context: no matter how fast you run away, it won't do you any good.\After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes! response:	Sorry about that.
context: After all, ReaCoom- sama is going to blow away\anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes!\Sorry about that. response:	You just left yourself so wide open, I couldn't help it.
context: anything within a fairly widespread area.\We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it. response:	Sorry, sorry.
context: We'll find out what Kakarrot's true worth is this time.\Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry. response:	Y- y- you b- bastard...
context: Have you made your peace?\I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard... response:	D- did Father defeat him?
context: I'm going to send all four of you into the next world!\ReaCoom...\Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him? response:	H- he couldn't have... They're kidding, right?
context: ReaCoom...\Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right? response:	However much that attack took him by surprise,
context: Y- y- yikes!\Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise, response:	he took the guy that Vegeta and we couldn't do anything against,
context: Sorry about that.\You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against, response:	no matter how hard we attacked him...
context: You just left yourself so wide open, I couldn't help it.\Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him... response:	W- what's going on? ReaCoom is...
context: Sorry, sorry.\Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is... response:	That attack should have been nothing.
context: Y- y- you b- bastard...\D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing. response:	D- damn it all!
context: D- did Father defeat him?\H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all! response:	T- that was no ordinary attack! You can't fool my eyes!
context: H- he couldn't have... They're kidding, right?\However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes! response:	That was an incredibly heavy strike!
context: However much that attack took him by surprise,\he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike! response:	H - he's clearly beyond a Saiyan combat level.
context: he took the guy that Vegeta and we couldn't do anything against,\no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level. response:	But exactly why is he?
context: no matter how hard we attacked him...\W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level.\But exactly why is he? response:	What the hell kind of special training did he do?
context: W- what's going on? ReaCoom is...\That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level.\But exactly why is he?\What the hell kind of special training did he do? response:	ls the legend true?
context: That attack should have been nothing.\D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level.\But exactly why is he?\What the hell kind of special training did he do?\ls the legend true? response:	ls he... is he... a Super Saiyan!?
context: D- damn it all!\T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level.\But exactly why is he?\What the hell kind of special training did he do?\ls the legend true?\ls he... is he... a Super Saiyan!? response:	The Super Saiyan...
context: T- that was no ordinary attack! You can't fool my eyes!\That was an incredibly heavy strike!\H - he's clearly beyond a Saiyan combat level.\But exactly why is he?\What the hell kind of special training did he do?\ls the legend true?\ls he... is he... a Super Saiyan!?\The Super Saiyan... response:	Had Goku now become the legendary warrior that even Vegeta held in awe?
