context: My only thought as response:	I don't think so!
context: She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter!\Take this one!\I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty response:	Stretching?
context: Uh, have you chosen a card to send?\Doesn't matter!\Take this one!\I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching? response:	I didn't know that karuta was just as intense until after
context: Doesn't matter!\Take this one!\I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after response:	Jogging?
context: Take this one!\I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after\Jogging? response:	It'll help keep you beautiful
context: I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful response:	I was already hooked.
context: No to outdoors\That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful\I was already hooked. response:	But...
context: That's why I chose not to participate in sports that would get me dirty.\No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful\I was already hooked.\But... response:	While most players slap away at the cards,
context: No to getting sweaty\Stretching?\I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful\I was already hooked.\But...\While most players slap away at the cards, response:	Rion was special.
context: Stretching?\I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful\I was already hooked.\But...\While most players slap away at the cards,\Rion was special. response:	She was beautiful.
context: I didn't know that karuta was just as intense until after\Jogging?\It'll help keep you beautiful\I was already hooked.\But...\While most players slap away at the cards,\Rion was special.\She was beautiful. response:	Win, Rion!
context: Jogging?\It'll help keep you beautiful\I was already hooked.\But...\While most players slap away at the cards,\Rion was special.\She was beautiful.\Win, Rion! response:	If you can't win in such favorable circumstances,
context: It'll help keep you beautiful\I was already hooked.\But...\While most players slap away at the cards,\Rion was special.\She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances, response:	you'll get picked on again!
context: I was already hooked.\But...\While most players slap away at the cards,\Rion was special.\She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again! response:	By me!
context: But...\While most players slap away at the cards,\Rion was special.\She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again!\By me! response:	Thank you very much.
context: While most players slap away at the cards,\Rion was special.\She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again!\By me!\Thank you very much. response:	Thank you very much.
context: Rion was special.\She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again!\By me!\Thank you very much.\Thank you very much. response:	One win for Fujisaki!
context: She was beautiful.\Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again!\By me!\Thank you very much.\Thank you very much.\One win for Fujisaki! response:	Focus, Rion!
context: Win, Rion!\If you can't win in such favorable circumstances,\you'll get picked on again!\By me!\Thank you very much.\Thank you very much.\One win for Fujisaki!\Focus, Rion! response:	He doesn't blow at his bangs when he's in trouble.
context: If you can't win in such favorable circumstances,\you'll get picked on again!\By me!\Thank you very much.\Thank you very much.\One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble. response:	It's a signal that he's about to get serious.
context: you'll get picked on again!\By me!\Thank you very much.\Thank you very much.\One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious. response:	My analysis was incomplete.
context: By me!\Thank you very much.\Thank you very much.\One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete. response:	I wasn't up to the task...
context: Thank you very much.\Thank you very much.\One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task... response:	This is the strength of a Fujisaki third-year!
context: Thank you very much.\One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year! response:	You're very fortunate, Rion.
context: One win for Fujisaki!\Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion. response:	I was worried that it would be unfair for me to participate as a reader,
context: Focus, Rion!\He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader, response:	but your opponent's game sense rivals yours.
context: He doesn't blow at his bangs when he's in trouble.\It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours. response:	I thought he was the only one out there capable of that.
context: It's a signal that he's about to get serious.\My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that. response:	Kyo...
context: My analysis was incomplete.\I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo... response:	Yamashiro Kyoko-san...
context: I wasn't up to the task...\This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san... response:	Please allow me to record your reading.
context: This is the strength of a Fujisaki third-year!\You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading. response:	but instead you see a pale moon in the dawn sky
context: You're very fortunate, Rion.\I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky response:	Said world...
context: I was worried that it would be unfair for me to participate as a reader,\but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world... response:	Chihaya-chan, Said world grants no escape
context: but your opponent's game sense rivals yours.\I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape response:	and Said world grants no change are the same up to the fourth syllable,
context: I thought he was the only one out there capable of that.\Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable, response:	but they have completely different meanings.
context: Kyo...\Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings. response:	You could say they're different as light and dark.
context: Yamashiro Kyoko-san...\Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark. response:	Said world grants no escape, I hide in the mountains,
context: Please allow me to record your reading.\but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains, response:	only to hear the haunting cry of a deer
context: but instead you see a pale moon in the dawn sky\Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer response:	It invokes the image of a dead end.
context: Said world...\Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end. response:	Said world grants no change, I pray,
context: Chihaya-chan, Said world grants no escape\and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray, response:	when the fisherman who casts his nets can seem dear
context: and Said world grants no change are the same up to the fourth syllable,\but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear response:	You can feel a longing for the eternal.
context: but they have completely different meanings.\You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal. response:	Said world
context: You could say they're different as light and dark.\Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world response:	grants no change, I pray,
context: Said world grants no escape, I hide in the mountains,\only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world\grants no change, I pray, response:	No way!
context: only to hear the haunting cry of a deer\It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world\grants no change, I pray,\No way! response:	They both moved before the unique syllable was read!
context: It invokes the image of a dead end.\Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world\grants no change, I pray,\No way!\They both moved before the unique syllable was read! response:	Said world grants no escape is still in play!
context: Said world grants no change, I pray,\when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world\grants no change, I pray,\No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play! response:	Were they gambling?
context: when the fisherman who casts his nets can seem dear\You can feel a longing for the eternal.\Said world\grants no change, I pray,\No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling? response:	That's the only possible explanation.
context: You can feel a longing for the eternal.\Said world\grants no change, I pray,\No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation. response:	Same time.
context: Said world\grants no change, I pray,\No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation.\Same time. response:	So close.
context: grants no change, I pray,\No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation.\Same time.\So close. response:	It was on Yama-chan's side, so she gets it.
context: No way!\They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation.\Same time.\So close.\It was on Yama-chan's side, so she gets it. response:	There's something very wrong about this pain.
context: They both moved before the unique syllable was read!\Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation.\Same time.\So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain. response:	Ignore it!
context: Said world grants no escape is still in play!\Were they gambling?\That's the only possible explanation.\Same time.\So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it! response:	But it hurts!
context: Were they gambling?\That's the only possible explanation.\Same time.\So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it!\But it hurts! response:	It hurts...
context: That's the only possible explanation.\Same time.\So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it!\But it hurts!\It hurts... response:	Ignore it!
context: Same time.\So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it!\But it hurts!\It hurts...\Ignore it! response:	Why...
context: So close.\It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it!\But it hurts!\It hurts...\Ignore it!\Why... response:	Why do I think it was Arata who brought Shinobu-chan here?
context: It was on Yama-chan's side, so she gets it.\There's something very wrong about this pain.\Ignore it!\But it hurts!\It hurts...\Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here? response:	I'm not interested in team tournaments.
context: There's something very wrong about this pain.\Ignore it!\But it hurts!\It hurts...\Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments. response:	I'm focused on winning the individual tournament.
context: Ignore it!\But it hurts!\It hurts...\Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament. response:	I might not be able to play in the individual tournament.
context: But it hurts!\It hurts...\Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament. response:	I might not get to play Arata or Shinobu-chan.
context: It hurts...\Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan. response:	But!
context: Ignore it!\Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But! response:	We all feel the same way.
context: Why...\Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way. response:	In this team match,
context: Why do I think it was Arata who brought Shinobu-chan here?\I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way.\In this team match, response:	we're only focused on winning!
context: I'm not interested in team tournaments.\I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way.\In this team match,\we're only focused on winning! response:	Like I was saying!
context: I'm focused on winning the individual tournament.\I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way.\In this team match,\we're only focused on winning!\Like I was saying! response:	We lost because we didn't have enough members.
context: I might not be able to play in the individual tournament.\I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way.\In this team match,\we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members. response:	Adult tournaments are dominated by Fukui,
context: I might not get to play Arata or Shinobu-chan.\But!\We all feel the same way.\In this team match,\we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui, response:	so there should be plenty of experienced players.
context: But!\We all feel the same way.\In this team match,\we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players. response:	I guess.
context: We all feel the same way.\In this team match,\we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess. response:	Can I go to the restroom?
context: In this team match,\we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess.\Can I go to the restroom? response:	Yeah, sure.
context: we're only focused on winning!\Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess.\Can I go to the restroom?\Yeah, sure. response:	Go ahead.
context: Like I was saying!\We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess.\Can I go to the restroom?\Yeah, sure.\Go ahead. response:	How many experienced players are in our high school?
context: We lost because we didn't have enough members.\Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess.\Can I go to the restroom?\Yeah, sure.\Go ahead.\How many experienced players are in our high school? response:	I'll do some research when next term starts.
context: Adult tournaments are dominated by Fukui,\so there should be plenty of experienced players.\I guess.\Can I go to the restroom?\Yeah, sure.\Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts. response:	I can feel the air grow thinner
context: so there should be plenty of experienced players.\I guess.\Can I go to the restroom?\Yeah, sure.\Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner response:	as the number of cards on the tatami dwindles towards the end.
context: I guess.\Can I go to the restroom?\Yeah, sure.\Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end. response:	Who will it be?
context: Can I go to the restroom?\Yeah, sure.\Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be? response:	Who will it be?
context: Yeah, sure.\Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be? response:	Who will be the next to win
context: Go ahead.\How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be?\Who will be the next to win response:	and take a breath?
context: How many experienced players are in our high school?\I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be?\Who will be the next to win\and take a breath? response:	The championship match is intense,
context: I'll do some research when next term starts.\I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be?\Who will be the next to win\and take a breath?\The championship match is intense, response:	but all five games in the third-place match are within three cards.
context: I can feel the air grow thinner\as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be?\Who will be the next to win\and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards. response:	This is big!
context: as the number of cards on the tatami dwindles towards the end.\Who will it be?\Who will it be?\Who will be the next to win\and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards.\This is big! response:	They aren't backing down.
context: Who will it be?\Who will it be?\Who will be the next to win\and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards.\This is big!\They aren't backing down. response:	Both schools came here to win the tournament.
context: Who will it be?\Who will be the next to win\and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards.\This is big!\They aren't backing down.\Both schools came here to win the tournament. response:	They can no longer accomplish that goal,
context: Who will be the next to win\and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards.\This is big!\They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal, response:	yet their spirits haven't broken?
context: and take a breath?\The championship match is intense,\but all five games in the third-place match are within three cards.\This is big!\They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken? response:	Feels the presence of a serpent
context: The championship match is intense,\but all five games in the third-place match are within three cards.\This is big!\They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent response:	It's the same with everything.
context: but all five games in the third-place match are within three cards.\This is big!\They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything. response:	The main reason people continue to fight after losing...
context: This is big!\They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing... response:	After I determined to abandon...
context: They aren't backing down.\Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon... response:	is because other people are still watching.
context: Both schools came here to win the tournament.\They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching. response:	Defended!
context: They can no longer accomplish that goal,\yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching.\Defended! response:	Same here!
context: yet their spirits haven't broken?\Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching.\Defended!\Same here! response:	Nice job, Megumu!
context: Feels the presence of a serpent\It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching.\Defended!\Same here!\Nice job, Megumu! response:	Take the next one, team!
context: It's the same with everything.\The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching.\Defended!\Same here!\Nice job, Megumu!\Take the next one, team! response:	I feel sick.
context: The main reason people continue to fight after losing...\After I determined to abandon...\is because other people are still watching.\Defended!\Same here!\Nice job, Megumu!\Take the next one, team!\I feel sick. response:	I took one!
context: After I determined to abandon...\is because other people are still watching.\Defended!\Same here!\Nice job, Megumu!\Take the next one, team!\I feel sick.\I took one! response:	Keep attacking, Shiroyama!
context: is because other people are still watching.\Defended!\Same here!\Nice job, Megumu!\Take the next one, team!\I feel sick.\I took one!\Keep attacking, Shiroyama! response:	Stay focused!
context: Defended!\Same here!\Nice job, Megumu!\Take the next one, team!\I feel sick.\I took one!\Keep attacking, Shiroyama!\Stay focused! response:	Hokuo will win!
context: Same here!\Nice job, Megumu!\Take the next one, team!\I feel sick.\I took one!\Keep attacking, Shiroyama!\Stay focused!\Hokuo will win! response:	Yeah!
context: Nice job, Megumu!\Take the next one, team!\I feel sick.\I took one!\Keep attacking, Shiroyama!\Stay focused!\Hokuo will win!\Yeah! response:	I feel sick.
context: Take the next one, team!\I feel sick.\I took one!\Keep attacking, Shiroyama!\Stay focused!\Hokuo will win!\Yeah!\I feel sick. response:	I should have left...
context: I feel sick.\I took one!\Keep attacking, Shiroyama!\Stay focused!\Hokuo will win!\Yeah!\I feel sick.\I should have left... response:	I won another close game.
context: I took one!\Keep attacking, Shiroyama!\Stay focused!\Hokuo will win!\Yeah!\I feel sick.\I should have left...\I won another close game. response:	Shinobu-chan, that makes us rivals.
context: Keep attacking, Shiroyama!\Stay focused!\Hokuo will win!\Yeah!\I feel sick.\I should have left...\I won another close game.\Shinobu-chan, that makes us rivals. response:	Shinobu-chan, play against Ryuusei-kun next.
context: Stay focused!\Hokuo will win!\Yeah!\I feel sick.\I should have left...\I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next. response:	We should keep Shinobu-chan away from children her age.
context: Hokuo will win!\Yeah!\I feel sick.\I should have left...\I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age. response:	She'll learn to go easy on her opponents.
context: Yeah!\I feel sick.\I should have left...\I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents. response:	The more alone she is, the stronger she'll become.
context: I feel sick.\I should have left...\I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become. response:	Why am I remembering this now?
context: I should have left...\I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now? response:	I should have left.
context: I won another close game.\Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left. response:	But...
context: Shinobu-chan, that makes us rivals.\Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left.\But... response:	is that I have no way to tell you in person
context: Shinobu-chan, play against Ryuusei-kun next.\We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left.\But...\is that I have no way to tell you in person response:	While it may be beyond...
context: We should keep Shinobu-chan away from children her age.\She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left.\But...\is that I have no way to tell you in person\While it may be beyond... response:	Who won that one?
context: She'll learn to go easy on her opponents.\The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left.\But...\is that I have no way to tell you in person\While it may be beyond...\Who won that one? response:	Was it the Fujisaki player?
context: The more alone she is, the stronger she'll become.\Why am I remembering this now?\I should have left.\But...\is that I have no way to tell you in person\While it may be beyond...\Who won that one?\Was it the Fujisaki player? response:	I'm standing right next to them and it's still hard...
context: Why am I remembering this now?\I should have left.\But...\is that I have no way to tell you in person\While it may be beyond...\Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard... response:	I will make the call on that last play.
context: I should have left.\But...\is that I have no way to tell you in person\While it may be beyond...\Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play. response:	Thank you very much.
context: But...\is that I have no way to tell you in person\While it may be beyond...\Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much. response:	Neither of them are contesting the card,
context: is that I have no way to tell you in person\While it may be beyond...\Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card, response:	so this isn't the typical time for a referee to step in,
context: While it may be beyond...\Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in, response:	but I want to let them focus.
context: Who won that one?\Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus. response:	It's rare for two players with such amazing game sense
context: Was it the Fujisaki player?\I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense response:	to play one another.
context: I'm standing right next to them and it's still hard...\I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense\to play one another. response:	You need to move back.
context: I will make the call on that last play.\Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense\to play one another.\You need to move back. response:	Rion's having a hard time!
context: Thank you very much.\Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense\to play one another.\You need to move back.\Rion's having a hard time! response:	I should have played instead.
context: Neither of them are contesting the card,\so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense\to play one another.\You need to move back.\Rion's having a hard time!\I should have played instead. response:	The coach made the wrong decision!
context: so this isn't the typical time for a referee to step in,\but I want to let them focus.\It's rare for two players with such amazing game sense\to play one another.\You need to move back.\Rion's having a hard time!\I should have played instead.\The coach made the wrong decision! response:	The match started off with plenty of
