context: It's summer break! response:	We'll spend every day at Maid Latte.
context: You don't care what I do to this?\Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have. response:	Everyone?
context: Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have.\Everyone? response:	No matter where we go,
context: I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have.\Everyone?\No matter where we go, response:	It's the most powerful weapon in our arsenal, isn't it?
context: But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have.\Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it? response:	No. You couldn't possibly be thinking of...
context: You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have.\Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of... response:	I mean, it's too...
context: I need something that makes up for the horrible location.\So, something that draws people's eyes.\An attraction that other places don't have.\Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too... response:	Everyone, let's do it.
context: So, something that draws people's eyes.\An attraction that other places don't have.\Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it. response:	Let's do it!
context: An attraction that other places don't have.\Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it.\Let's do it! response:	Let's go walk on the beach to advertise.
context: Everyone?\No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise. response:	Yeah, since there aren't many people here.
context: No matter where we go,\It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here. response:	Be careful not to get picked up by dangerous people.
context: It's the most powerful weapon in our arsenal, isn't it?\No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people. response:	We'll just ignore anyone who tries to do that.
context: No. You couldn't possibly be thinking of...\I mean, it's too...\Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that. response:	Looks like it's time for Aoi-sama to show up.
context: I mean, it's too...\Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up. response:	Hey!
context: Everyone, let's do it.\Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey! response:	You go clean up the showers!
context: Let's do it!\Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers! response:	Nagisa-san!
context: Let's go walk on the beach to advertise.\Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers!\Nagisa-san! response:	Is it all right to let this happen all of a sudden?
context: Yeah, since there aren't many people here.\Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden? response:	Why not? It's fun.
context: Be careful not to get picked up by dangerous people.\We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun. response:	We'll say it's a today-only event.
context: We'll just ignore anyone who tries to do that.\Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event. response:	Today will be a special day, and tomorrow will be back to normal.
context: Looks like it's time for Aoi-sama to show up.\Hey!\You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal. response:	If I get a good turnout, I'll remember this as a tactic I can use.
context: Hey!\You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use. response:	It looks like they're volunteering to do this, so do as you like.
context: You go clean up the showers!\Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like. response:	Let me know if you need anything.
context: Nagisa-san!\Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything. response:	Let me go!
context: Is it all right to let this happen all of a sudden?\Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go! response:	In other words...
context: Why not? It's fun.\We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go!\In other words... response:	You don't care?!
context: We'll say it's a today-only event.\Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go!\In other words...\You don't care?! response:	boo boo boo boo
context: Today will be a special day, and tomorrow will be back to normal.\If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go!\In other words...\You don't care?!\boo boo boo boo response:	A maid cafe has opened by the beach as a limited time event.
context: If I get a good turnout, I'll remember this as a tactic I can use.\It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go!\In other words...\You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event. response:	Please stop by, Master and Milady.
context: It looks like they're volunteering to do this, so do as you like.\Let me know if you need anything.\Let me go!\In other words...\You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady. response:	I'll be waiting for you at the Beach House.
context: Let me know if you need anything.\Let me go!\In other words...\You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House. response:	Would you like me to take a photo of Master and Milady together?
context: Let me go!\In other words...\You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together? response:	We have a special limited time menu, too.
context: In other words...\You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too. response:	Is this really going to be alright?
context: You don't care?!\boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright? response:	It's not even used that often!
context: boo boo boo boo\A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often! response:	Why do I have to brush this place when the UV rays are the strongest.
context: A maid cafe has opened by the beach as a limited time event.\Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest. response:	I'll help out.
context: Please stop by, Master and Milady.\I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out. response:	Can I take over the work here?
context: I'll be waiting for you at the Beach House.\Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here? response:	Why?
context: Would you like me to take a photo of Master and Milady together?\We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here?\Why? response:	I thought I'd help out as a back stage actor today...
context: We have a special limited time menu, too.\Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today... response:	Looks like you're self-conscious about your lack of charm.
context: Is this really going to be alright?\It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm. response:	Seeing you as a swimsuit maid is boring.
context: It's not even used that often!\Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring. response:	So, can I take over here?
context: Why do I have to brush this place when the UV rays are the strongest.\I'll help out.\Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here? response:	You have cleaning to do inside, right?
context: I'll help out.\Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right? response:	Fine. Don't cut corners, okay?
context: Can I take over the work here?\Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay? response:	I'll be fine. So go on.
context: Why?\I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on. response:	You'll get burned otherwise.
context: I thought I'd help out as a back stage actor today...\Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise. response:	Nosy hag!
context: Looks like you're self-conscious about your lack of charm.\Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag! response:	Nosy?
context: Seeing you as a swimsuit maid is boring.\So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag!\Nosy? response:	Wow, he really hates me, doesn't he?
context: So, can I take over here?\You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag!\Nosy?\Wow, he really hates me, doesn't he? response:	The place they were advertising for earlier...
context: You have cleaning to do inside, right?\Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag!\Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier... response:	This is it. The Beach House.
context: Fine. Don't cut corners, okay?\I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag!\Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House. response:	Uh, thanks.
context: I'll be fine. So go on.\You'll get burned otherwise.\Nosy hag!\Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks. response:	Please relax right over here.
context: You'll get burned otherwise.\Nosy hag!\Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks.\Please relax right over here. response:	What should I bring for you?
context: Nosy hag!\Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks.\Please relax right over here.\What should I bring for you? response:	Ice coffee, please.
context: Nosy?\Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks.\Please relax right over here.\What should I bring for you?\Ice coffee, please. response:	I'll have an ice tea.
context: Wow, he really hates me, doesn't he?\The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks.\Please relax right over here.\What should I bring for you?\Ice coffee, please.\I'll have an ice tea. response:	Most certainly.
context: The place they were advertising for earlier...\This is it. The Beach House.\Uh, thanks.\Please relax right over here.\What should I bring for you?\Ice coffee, please.\I'll have an ice tea.\Most certainly. response:	So this is what a maid cafe is like?
context: This is it. The Beach House.\Uh, thanks.\Please relax right over here.\What should I bring for you?\Ice coffee, please.\I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like? response:	I always wanted to go to one, but I never thought I'd find it at a beach.
context: Uh, thanks.\Please relax right over here.\What should I bring for you?\Ice coffee, please.\I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach. response:	Good thing we came to the beach today.
context: Please relax right over here.\What should I bring for you?\Ice coffee, please.\I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today. response:	Yeah.
context: What should I bring for you?\Ice coffee, please.\I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah. response:	Sorry for the wait.
context: Ice coffee, please.\I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah.\Sorry for the wait. response:	Most certainly, Milady.
context: I'll have an ice tea.\Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah.\Sorry for the wait.\Most certainly, Milady. response:	She called me Milady.
context: Most certainly.\So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah.\Sorry for the wait.\Most certainly, Milady.\She called me Milady. response:	I like how earnestly they attend to us.
context: So this is what a maid cafe is like?\I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah.\Sorry for the wait.\Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us. response:	This is today's limited time menu item, the ocean petit cake set.
context: I always wanted to go to one, but I never thought I'd find it at a beach.\Good thing we came to the beach today.\Yeah.\Sorry for the wait.\Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set. response:	Miladies, would you be interested in taking a warm shower?
context: Good thing we came to the beach today.\Yeah.\Sorry for the wait.\Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower? response:	I've brought you some cold drinks.
context: Yeah.\Sorry for the wait.\Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks. response:	If you're ready to order, please let me know.
context: Sorry for the wait.\Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know. response:	Over to this seat please, Master.
context: Most certainly, Milady.\She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master. response:	How about a half-size set for the Young Master?
context: She called me Milady.\I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master? response:	It's hot.
context: I like how earnestly they attend to us.\This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot. response:	Usui!
context: This is today's limited time menu item, the ocean petit cake set.\Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot.\Usui! response:	You were there?!
context: Miladies, would you be interested in taking a warm shower?\I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot.\Usui!\You were there?! response:	That was close! Too close!
context: I've brought you some cold drinks.\If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot.\Usui!\You were there?!\That was close! Too close! response:	Misa-chan, what's that?
context: If you're ready to order, please let me know.\Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot.\Usui!\You were there?!\That was close! Too close!\Misa-chan, what's that? response:	I got it from the Chief.
context: Over to this seat please, Master.\How about a half-size set for the Young Master?\It's hot.\Usui!\You were there?!\That was close! Too close!\Misa-chan, what's that?\I got it from the Chief. response:	I'll help out, too.
context: How about a half-size set for the Young Master?\It's hot.\Usui!\You were there?!\That was close! Too close!\Misa-chan, what's that?\I got it from the Chief.\I'll help out, too. response:	Is there an apron I can wear?
context: It's hot.\Usui!\You were there?!\That was close! Too close!\Misa-chan, what's that?\I got it from the Chief.\I'll help out, too.\Is there an apron I can wear? response:	Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.
context: Usui!\You were there?!\That was close! Too close!\Misa-chan, what's that?\I got it from the Chief.\I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation. response:	It's fine. After all, I'm always in your debt.
context: You were there?!\That was close! Too close!\Misa-chan, what's that?\I got it from the Chief.\I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt. response:	In that case, here. That school swimsuit bothers me in more than one way.
context: That was close! Too close!\Misa-chan, what's that?\I got it from the Chief.\I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way. response:	I'll let you wear these, so get changed.
context: Misa-chan, what's that?\I got it from the Chief.\I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed. response:	Okay...
context: I got it from the Chief.\I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay... response:	I couldn't really say no.
context: I'll help out, too.\Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay...\I couldn't really say no. response:	There are a lot of customers out there, so I had to take it.
context: Is there an apron I can wear?\Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it. response:	Misa-chan, you're going out like that?
context: Thank you, Misa-chan. I'm sorry to do this when this was supposed to be a vacation.\It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that? response:	Huh? Yeah.
context: It's fine. After all, I'm always in your debt.\In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah. response:	That's why I changed.
context: In that case, here. That school swimsuit bothers me in more than one way.\I'll let you wear these, so get changed.\Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed. response:	Why don't you quit lying around and help out a little?
context: I'll let you wear these, so get changed.\Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little? response:	I'm going outside now.
context: Okay...\I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now. response:	The tables are packed, and people are waiting to have their order taken.
context: I couldn't really say no.\There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken. response:	I have to get going.
context: There are a lot of customers out there, so I had to take it.\Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going. response:	Ayuzawa!
context: Misa-chan, you're going out like that?\Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa! response:	Quit it!
context: Huh? Yeah.\That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa!\Quit it! response:	What do you think you're doing?
context: That's why I changed.\Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa!\Quit it!\What do you think you're doing? response:	Are you sure about this, Misa-chan?
context: Why don't you quit lying around and help out a little?\I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa!\Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan? response:	Everyone will see the kiss mark on your back.
context: I'm going outside now.\The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa!\Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back. response:	Misa-chan?
context: The tables are packed, and people are waiting to have their order taken.\I have to get going.\Ayuzawa!\Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan? response:	I'm sorry. Please forgive me for this.
context: I have to get going.\Ayuzawa!\Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this. response:	You help out with something!
context: Ayuzawa!\Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something! response:	I'm being the bodyguard.
context: Quit it!\What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard. response:	Thanks for the hard work, everyone!
context: What do you think you're doing?\Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone! response:	Cheers!
context: Are you sure about this, Misa-chan?\Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers! response:	Good work!
context: Everyone will see the kiss mark on your back.\Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers!\Good work! response:	Eat up, everyone.
context: Misa-chan?\I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers!\Good work!\Eat up, everyone. response:	Thank you very much!
context: I'm sorry. Please forgive me for this.\You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers!\Good work!\Eat up, everyone.\Thank you very much! response:	I'm the one that should be thanking you.
context: You help out with something!\I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers!\Good work!\Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you. response:	It was the busiest day since I opened this place.
context: I'm being the bodyguard.\Thanks for the hard work, everyone!\Cheers!\Good work!\Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place. response:	I bet the shop Sis manages is popular, too.
context: Thanks for the hard work, everyone!\Cheers!\Good work!\Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too. response:	With everyone's help.
context: Cheers!\Good work!\Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help. response:	Here.
context: Good work!\Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help.\Here. response:	There's free tickets to the onsen.
context: Eat up, everyone.\Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help.\Here.\There's free tickets to the onsen. response:	Onsen?
context: Thank you very much!\I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help.\Here.\There's free tickets to the onsen.\Onsen? response:	There's one near here.
context: I'm the one that should be thanking you.\It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help.\Here.\There's free tickets to the onsen.\Onsen?\There's one near here. response:	It's within walking distance.
context: It was the busiest day since I opened this place.\I bet the shop Sis manages is popular, too.\With everyone's help.\Here.\There's free tickets to the onsen.\Onsen?\There's one near here.\It's within walking distance. response:	Neat.
context: I bet the shop Sis manages is popular, too.\With everyone's help.\Here.\There's free tickets to the onsen.\Onsen?\There's one near here.\It's within walking distance.\Neat. response:	Let's all go there once we finish eating.
context: With everyone's help.\Here.\There's free tickets to the onsen.\Onsen?\There's one near here.\It's within walking distance.\Neat.\Let's all go there once we finish eating. response:	I can even take a dip in an onsen?
context: Here.\There's free tickets to the onsen.\Onsen?\There's one near here.\It's within walking distance.\Neat.\Let's all go there once we finish eating.\I can even take a dip in an onsen? response:	What a fabulous summer this is.
