context: Up until now, I've insisted on using One For All. response:	I should've turned the switch on throughout from the beginning!
context: That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind. response:	After investigating Nomu at a specialized institution,
context: Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution, response:	we realized that it wasn't that Nomu can't talk.
context: We did some tests on Nomu's DNA.\DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk. response:	There's no reaction no matter what we do.
context: DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do. response:	He is literally unable to think for himself.
context: Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself. response:	And regarding his identity...
context: We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity... response:	We found out that he was just a thug with a criminal record of assault and extortion.
context: but I felt like I just had to tell you.\It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion. response:	And you're saying that's a lead to the mastermind?
context: It's a clue to lead us to the mastermind.\After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind? response:	Listen carefully.
context: After investigating Nomu at a specialized institution,\we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully. response:	According to the report, there's DNA from at least four completely different people
context: we realized that it wasn't that Nomu can't talk.\There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people response:	intermingled inside this thug's body.
context: There's no reaction no matter what we do.\He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body. response:	DNA from at least four people intermingled...
context: He is literally unable to think for himself.\And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled... response:	Is he even human?
context: And regarding his identity...\We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human? response:	His whole body appears to have been tampered with using drugs and other methods.
context: We found out that he was just a thug with a criminal record of assault and extortion.\And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods. response:	To oversimplify a bit, he's been modified so his body can hold multiple Quirks.
context: And you're saying that's a lead to the mastermind?\Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks. response:	The huge drop in his brain's processing power probably comes from the burden that causes,
context: Listen carefully.\According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes, response:	but well, what we're more concerned about is his DNA...
context: According to the report, there's DNA from at least four completely different people\intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA... response:	Even if different DNA is introduced,
context: intermingled inside this thug's body.\DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced, response:	unless there is some way it can be completely integrated,
context: DNA from at least four people intermingled...\Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated, response:	the bearer would not have multiple Quirks.
context: Is he even human?\His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks. response:	You must understand, since you have One For All.
context: His whole body appears to have been tampered with using drugs and other methods.\To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All. response:	It's very likely that there is someone with a Quirk that can give others Quirks.
context: To oversimplify a bit, he's been modified so his body can hold multiple Quirks.\The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks. response:	Don't tell me...!
context: The huge drop in his brain's processing power probably comes from the burden that causes,\but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...! response:	Looking at the circumstances, it would be reasonable to assume such.
context: but well, what we're more concerned about is his DNA...\Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such. response:	That's why I thought I had to let you know.
context: Even if different DNA is introduced,\unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know. response:	Has that man... started to move again...?
context: unless there is some way it can be completely integrated,\the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...? response:	Karaoke
context: the bearer would not have multiple Quirks.\You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke response:	Mahjong
context: You must understand, since you have One For All.\It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke\Mahjong response:	So, you want to add me to your numbers?
context: It's very likely that there is someone with a Quirk that can give others Quirks.\Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke\Mahjong\So, you want to add me to your numbers? response:	No matter what you want to accomplish, it is necessary to have conviction and desire.
context: Don't tell me...!\Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke\Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire. response:	Villain - Stain
context: Looking at the circumstances, it would be reasonable to assume such.\That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke\Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain response:	Those without it and those who are weak will be weeded out.
context: That's why I thought I had to let you know.\Has that man... started to move again...?\Karaoke\Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out. response:	It's only natural.
context: Has that man... started to move again...?\Karaoke\Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural. response:	That's why it turns out like this.
context: Karaoke\Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this. response:	Villain - Tomura Shigaraki - Quirk: Decay
context: Mahjong\So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay response:	Oww... That's too hard.
context: So, you want to add me to your numbers?\No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard. response:	Kurogiri, take this guy back.
context: No matter what you want to accomplish, it is necessary to have conviction and desire.\Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back. response:	Villain - Kurogiri - Quirk: Warp Gate
context: Villain - Stain\Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate response:	I-I can't move my body...
context: Those without it and those who are weak will be weeded out.\It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body... response:	It must be the hero killer's Quirk...
context: It's only natural.\That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk... response:	This society overgrown with fake heroes, where the word itself has lost its true meaning,
context: That's why it turns out like this.\Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning, response:	and the criminals who wave their power around idly
context: Villain - Tomura Shigaraki - Quirk: Decay\Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly response:	should all be purged.
context: Oww... That's too hard.\Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged. response:	Hey, wait a sec...
context: Kurogiri, take this guy back.\Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec... response:	Not this palm...
context: Villain - Kurogiri - Quirk: Warp Gate\I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec...\Not this palm... response:	I'll kill you.
context: I-I can't move my body...\It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec...\Not this palm...\I'll kill you. response:	You sure talk a lot.
context: It must be the hero killer's Quirk...\This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec...\Not this palm...\I'll kill you.\You sure talk a lot. response:	Conviction?
context: This society overgrown with fake heroes, where the word itself has lost its true meaning,\and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec...\Not this palm...\I'll kill you.\You sure talk a lot.\Conviction? response:	I don't have anything grand like that.
context: and the criminals who wave their power around idly\should all be purged.\Hey, wait a sec...\Not this palm...\I'll kill you.\You sure talk a lot.\Conviction?\I don't have anything grand like that. response:	If I had to say...
context: should all be purged.\Hey, wait a sec...\Not this palm...\I'll kill you.\You sure talk a lot.\Conviction?\I don't have anything grand like that.\If I had to say... response:	Yeah, it'd be All Might.
context: Hey, wait a sec...\Not this palm...\I'll kill you.\You sure talk a lot.\Conviction?\I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might. response:	I feel like I really want to completely crush this society,
context: Not this palm...\I'll kill you.\You sure talk a lot.\Conviction?\I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society, response:	where trash like that gets worshipped.
context: I'll kill you.\You sure talk a lot.\Conviction?\I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped. response:	My last injury was finally about to finish healing...
context: You sure talk a lot.\Conviction?\I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing... response:	We don't have a healer in our party, you know.
context: Conviction?\I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know. response:	Will you take responsibility for this?
context: I don't have anything grand like that.\If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this? response:	So that's who you are...?
context: If I had to say...\Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...? response:	Huh?
context: Yeah, it'd be All Might.\I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...?\Huh? response:	It seems our goals oppose each other.
context: I feel like I really want to completely crush this society,\where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...?\Huh?\It seems our goals oppose each other. response:	However, we do agree on one thing-to destroy the present.
context: where trash like that gets worshipped.\My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...?\Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present. response:	Stop messing around. Go home. Die.
context: My last injury was finally about to finish healing...\We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...?\Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die. response:	I'm the kind of person you hate the most, right?
context: We don't have a healer in our party, you know.\Will you take responsibility for this?\So that's who you are...?\Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right? response:	I was testing your true motives.
context: Will you take responsibility for this?\So that's who you are...?\Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives. response:	People show their true colors when they're on the verge of death.
context: So that's who you are...?\Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death. response:	It's different,
context: Huh?\It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different, response:	but there is desire-a warped sprout of conviction living inside you.
context: It seems our goals oppose each other.\However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you. response:	How will you bud?
context: However, we do agree on one thing-to destroy the present.\Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud? response:	It might not be too late to wait until after I've seen that to dispose of you...
context: Stop messing around. Go home. Die.\I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you... response:	You're gonna dispose of me?
context: I'm the kind of person you hate the most, right?\I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me? response:	He's moving.
context: I was testing your true motives.\People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving. response:	Kurogiri, I don't want someone this crazy as a party member.
context: People show their true colors when they're on the verge of death.\It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member. response:	Tomura Shigaraki, he will be a great asset if he joins us.
context: It's different,\but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us. response:	The negotiations were successful.
context: but there is desire-a warped sprout of conviction living inside you.\How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful. response:	My business is done.
context: How will you bud?\It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done. response:	Now, return me to Hosu.
context: It might not be too late to wait until after I've seen that to dispose of you...\You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done.\Now, return me to Hosu. response:	There are still things I must attend to there.
context: You're gonna dispose of me?\He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done.\Now, return me to Hosu.\There are still things I must attend to there. response:	Pro Hero - Manual
context: He's moving.\Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done.\Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual response:	Well, with the whole city on alert, villains can't come out, huh?
context: Kurogiri, I don't want someone this crazy as a party member.\Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done.\Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh? response:	I wonder.
context: Tomura Shigaraki, he will be a great asset if he joins us.\The negotiations were successful.\My business is done.\Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder. response:	Tenya Iida - Quirk: Engine
context: The negotiations were successful.\My business is done.\Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine response:	Hero Killer: Stain.
context: My business is done.\Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain. response:	I knew immediately after I collected the information.
context: Now, return me to Hosu.\There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information. response:	In the seven places he has appeared so far, he always injured at least four heroes.
context: There are still things I must attend to there.\Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes. response:	Serial Slasher - Five Heroes Killed
context: Pro Hero - Manual\Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed response:	Still at Large People Question the Investigation
context: Well, with the whole city on alert, villains can't come out, huh?\I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation response:	I don't know if there is a purpose behind that, or if it's just a superstition,
context: I wonder.\Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition, response:	but that's what always happens.
context: Tenya Iida - Quirk: Engine\Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens. response:	Another Nightmare Hero Attack in Hosu City
context: Hero Killer: Stain.\I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City response:	In Hosu, Tensei's still the only one who was attacked.
context: I knew immediately after I collected the information.\In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked. response:	Tenya... I'm sorry...
context: In the seven places he has appeared so far, he always injured at least four heroes.\Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry... response:	It's very likely that he will appear in this city again.
context: Serial Slasher - Five Heroes Killed\Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again. response:	Come! I will dispose of you with these hands.
context: Still at Large People Question the Investigation\I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands. response:	Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.
context: I don't know if there is a purpose behind that, or if it's just a superstition,\but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew
context: but that's what always happens.\Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew response:	Stain Quirk: Unknown Unknown
context: Another Nightmare Hero Attack in Hosu City\In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown response:	Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown
context: In Hosu, Tensei's still the only one who was attacked.\Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown response:	Internships - Day 3
context: Tenya... I'm sorry...\It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3 response:	Keeping the 5
context: It's very likely that he will appear in this city again.\Come! I will dispose of you with these hands.\Tenya Iida Quirk: Engine He can run very fast with the engines on his calves.\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/22 Height: 179 cm Blood Type: A Likes: Beef Stew\Stain Quirk: Unknown Unknown\Affiliation: Unknown Birthday: Unknown Height: Unknown Blood Type: Unknown Likes: Unknown\Internships - Day 3\Keeping the 5 response:	and attacking.
