context: I can't afford to let it all end here. response:	What... am I even doing here?
context: Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine... response:	Five hundred and fifty-two...
context: He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two... response:	-Five hundred and fourty-five... -Let me take more!
context: I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more! response:	Let me take... even more from you!
context: Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you! response:	While being subjected to intense torture,
context: He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture, response:	he created another personality within himself.
context: While there, there was a-how shall I say?\A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself. response:	In order to protect himself.
context: A problem investigator posted there, you see.\Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself.\In order to protect himself. response:	And then...
context: Five hundred and fifty-nine...\Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself.\In order to protect himself.\And then... response:	he broke out.
context: Five hundred and fifty-two...\-Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself.\In order to protect himself.\And then...\he broke out. response:	Ever since, he came to favor acting in a brutal manner.
context: -Five hundred and fourty-five... -Let me take more!\Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself.\In order to protect himself.\And then...\he broke out.\Ever since, he came to favor acting in a brutal manner. response:	Making use of the torture that he underwent himself.
context: Let me take... even more from you!\While being subjected to intense torture,\he created another personality within himself.\In order to protect himself.\And then...\he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself. response:	It was after that when he started going by Jason, as well.
context: While being subjected to intense torture,\he created another personality within himself.\In order to protect himself.\And then...\he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well. response:	That was sooner than we thought, huh?
context: he created another personality within himself.\In order to protect himself.\And then...\he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh? response:	Yeah.
context: In order to protect himself.\And then...\he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah. response:	Bin Brothers, you're in the main building.
context: And then...\he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building. response:	Right.
context: he broke out.\Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building.\Right. response:	Kirishima, the annex.
context: Ever since, he came to favor acting in a brutal manner.\Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building.\Right.\Kirishima, the annex. response:	Right.
context: Making use of the torture that he underwent himself.\It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building.\Right.\Kirishima, the annex.\Right. response:	Let's get going, Eto. You take it from here, Noro.
context: It was after that when he started going by Jason, as well.\That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building.\Right.\Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro. response:	Where's Yamori?
context: That was sooner than we thought, huh?\Yeah.\Bin Brothers, you're in the main building.\Right.\Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori? response:	Beats me. Who knows where he could have gone.
context: Yeah.\Bin Brothers, you're in the main building.\Right.\Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone. response:	That bastard. Now, of all times!
context: Bin Brothers, you're in the main building.\Right.\Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times! response:	The weak are trampled upon,
context: Right.\Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon, response:	attacked, violated, and afflicted.
context: Kirishima, the annex.\Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted. response:	N-No... D-Don't...
context: Right.\Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't... response:	It's unusually quiet, huh?
context: Let's get going, Eto. You take it from here, Noro.\Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh? response:	Two hundred and twenty-three...
context: Where's Yamori?\Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three... response:	Two hundred...
context: Beats me. Who knows where he could have gone.\That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred... response:	How is CCG being outgunned?
context: That bastard. Now, of all times!\The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned? response:	The enemy is using kagune shields and scopes!
context: The weak are trampled upon,\attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes! response:	Former soldier ghouls, huh?
context: attacked, violated, and afflicted.\N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh? response:	Damn it! You've gotta be kidding me!
context: N-No... D-Don't...\It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me! response:	Give me that!
context: It's unusually quiet, huh?\Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that! response:	Men! Take out that insidious sniper nest immediately!
context: Two hundred and twenty-three...\Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately! response:	Here.
context: Two hundred...\How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately!\Here. response:	Awesome...
context: How is CCG being outgunned?\The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately!\Here.\Awesome... response:	What's that?
context: The enemy is using kagune shields and scopes!\Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately!\Here.\Awesome...\What's that? response:	Oh, Mr. Marude, that's your motorcycle.
context: Former soldier ghouls, huh?\Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately!\Here.\Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle. response:	Hold up! What are you planning to do with my bike?!
context: Damn it! You've gotta be kidding me!\Give me that!\Men! Take out that insidious sniper nest immediately!\Here.\Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?! response:	I'm just borrowing it.
context: Give me that!\Men! Take out that insidious sniper nest immediately!\Here.\Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it. response:	Hold it!
context: Men! Take out that insidious sniper nest immediately!\Here.\Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it! response:	Hey... Hey, now, come on, h-h-hold it! W-W-Wait!
context: Here.\Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait! response:	Yahoo!
context: Awesome...\What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo! response:	Good eve-
context: What's that?\Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve- response:	ning!
context: Oh, Mr. Marude, that's your motorcycle.\Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve-\ning! response:	Move in!
context: Hold up! What are you planning to do with my bike?!\I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve-\ning!\Move in! response:	Hey, which team are you with?!
context: I'm just borrowing it.\Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve-\ning!\Move in!\Hey, which team are you with?! response:	Anteiku.
context: Hold it!\Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve-\ning!\Move in!\Hey, which team are you with?!\Anteiku. response:	Incoming at three o'clock.
context: Hey... Hey, now, come on, h-h-hold it! W-W-Wait!\Yahoo!\Good eve-\ning!\Move in!\Hey, which team are you with?!\Anteiku.\Incoming at three o'clock. response:	Ten of them!
context: Yahoo!\Good eve-\ning!\Move in!\Hey, which team are you with?!\Anteiku.\Incoming at three o'clock.\Ten of them! response:	Hitting them with the Emerio!
context: Good eve-\ning!\Move in!\Hey, which team are you with?!\Anteiku.\Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio! response:	Ten of them at nine o'clock!
context: ning!\Move in!\Hey, which team are you with?!\Anteiku.\Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock! response:	Hirako!
context: Move in!\Hey, which team are you with?!\Anteiku.\Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako! response:	South entrance block secured!
context: Hey, which team are you with?!\Anteiku.\Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako!\South entrance block secured! response:	Keep watch on our perimeter!
context: Anteiku.\Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako!\South entrance block secured!\Keep watch on our perimeter! response:	This is Shinohara.
context: Incoming at three o'clock.\Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako!\South entrance block secured!\Keep watch on our perimeter!\This is Shinohara. response:	We've taken control of the main building, second-floor entrance.
context: Ten of them!\Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako!\South entrance block secured!\Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance. response:	Awaiting instructions.
context: Hitting them with the Emerio!\Ten of them at nine o'clock!\Hirako!\South entrance block secured!\Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions. response:	Divide into three units and take control of the interior
context: Ten of them at nine o'clock!\Hirako!\South entrance block secured!\Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior response:	and the parking lot from below.
context: Hirako!\South entrance block secured!\Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below. response:	You should be able to rendezvous on the top floor.
context: South entrance block secured!\Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor. response:	Copy. Also, I don't see Suzuya around.
context: Keep watch on our perimeter!\This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around. response:	I can't let him die until he reimburses me for my bike.
context: This is Shinohara.\We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike. response:	Somebody go and snag him.
context: We've taken control of the main building, second-floor entrance.\Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him. response:	Copy.
context: Awaiting instructions.\Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy. response:	Hang in there! Hang in there, hang in there, hang in there!
context: Divide into three units and take control of the interior\and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there! response:	Hang in there!
context: and the parking lot from below.\You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there! response:	Don't die now.
context: You should be able to rendezvous on the top floor.\Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now. response:	It's so cruel.
context: Copy. Also, I don't see Suzuya around.\I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now.\It's so cruel. response:	Thank... you...
context: I can't let him die until he reimburses me for my bike.\Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now.\It's so cruel.\Thank... you... response:	Mr. Kaneki, Mr. Banjo asked us to bring you a message.
context: Somebody go and snag him.\Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now.\It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message. response:	I swear we'll rescue you, so don't give up.
context: Copy.\Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now.\It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up. response:	All right, Mr. Kaneki, we'll be back later.
context: Hang in there! Hang in there, hang in there, hang in there!\Hang in there!\Don't die now.\It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later. response:	We'll definitely... definitely get you out of here.
context: Hang in there!\Don't die now.\It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here. response:	Kaneki, where are you?
context: Don't die now.\It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you? response:	Is that...?!
context: It's so cruel.\Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?! response:	Hold it!
context: Thank... you...\Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?!\Hold it! response:	What are you doing here, rabbit?!
context: Mr. Kaneki, Mr. Banjo asked us to bring you a message.\I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?!\Hold it!\What are you doing here, rabbit?! response:	Is he that guy from before?
context: I swear we'll rescue you, so don't give up.\All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?!\Hold it!\What are you doing here, rabbit?!\Is he that guy from before? response:	Mr. Mado!
context: All right, Mr. Kaneki, we'll be back later.\We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?!\Hold it!\What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado! response:	Fire! Fire!
context: We'll definitely... definitely get you out of here.\Kaneki, where are you?\Is that...?!\Hold it!\What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado!\Fire! Fire! response:	What?!
context: Kaneki, where are you?\Is that...?!\Hold it!\What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado!\Fire! Fire!\What?! response:	Fire! Fire!
context: Is that...?!\Hold it!\What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado!\Fire! Fire!\What?!\Fire! Fire! response:	Up there!
context: Hold it!\What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado!\Fire! Fire!\What?!\Fire! Fire!\Up there! response:	It's no use!
context: What are you doing here, rabbit?!\Is he that guy from before?\Mr. Mado!\Fire! Fire!\What?!\Fire! Fire!\Up there!\It's no use! response:	It's not working!
context: Is he that guy from before?\Mr. Mado!\Fire! Fire!\What?!\Fire! Fire!\Up there!\It's no use!\It's not working! response:	They're closing in harder than I thought.
context: Mr. Mado!\Fire! Fire!\What?!\Fire! Fire!\Up there!\It's no use!\It's not working!\They're closing in harder than I thought. response:	Their footsteps are... It's all right.
context: Fire! Fire!\What?!\Fire! Fire!\Up there!\It's no use!\It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right. response:	It sounds like they all got in successfully.
context: What?!\Fire! Fire!\Up there!\It's no use!\It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully. response:	Miss Irimi, that's amazing.
context: Fire! Fire!\Up there!\It's no use!\It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing. response:	Hinami, I'm sure you'll be able to do it, too.
context: Up there!\It's no use!\It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too. response:	Kaya, how is CCG moving?
context: It's no use!\It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving? response:	They've split into three forces. CCG has the upper hand.
context: It's not working!\They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand. response:	Hmm...
context: They're closing in harder than I thought.\Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm... response:	Then there's little choice.
context: Their footsteps are... It's all right.\It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice. response:	We'll need to buy them a little time.
context: It sounds like they all got in successfully.\Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice.\We'll need to buy them a little time. response:	Kaya, look after Hinami.
context: Miss Irimi, that's amazing.\Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami. response:	Right.
context: Hinami, I'm sure you'll be able to do it, too.\Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami.\Right. response:	You...! You, at last...!
context: Kaya, how is CCG moving?\They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami.\Right.\You...! You, at last...! response:	Is he really this strong?
context: They've split into three forces. CCG has the upper hand.\Hmm...\Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami.\Right.\You...! You, at last...!\Is he really this strong? response:	What's pushing him this far?
context: Hmm...\Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami.\Right.\You...! You, at last...!\Is he really this strong?\What's pushing him this far? response:	Is it because of me?
context: Then there's little choice.\We'll need to buy them a little time.\Kaya, look after Hinami.\Right.\You...! You, at last...!\Is he really this strong?\What's pushing him this far?\Is it because of me? response:	I don't have time to deal with him right now.
context: We'll need to buy them a little time.\Kaya, look after Hinami.\Right.\You...! You, at last...!\Is he really this strong?\What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now. response:	You won't get away!
context: Kaya, look after Hinami.\Right.\You...! You, at last...!\Is he really this strong?\What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now.\You won't get away! response:	Who was that other one just now?
context: Right.\You...! You, at last...!\Is he really this strong?\What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now.\You won't get away!\Who was that other one just now? response:	Hey...
context: You...! You, at last...!\Is he really this strong?\What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now.\You won't get away!\Who was that other one just now?\Hey... response:	That was a number three combo.
context: Is he really this strong?\What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now.\You won't get away!\Who was that other one just now?\Hey...\That was a number three combo. response:	He's a tough human.
context: What's pushing him this far?\Is it because of me?\I don't have time to deal with him right now.\You won't get away!\Who was that other one just now?\Hey...\That was a number three combo.\He's a tough human. response:	The S-rated... Bin Brothers...
context: Is it because of me?\I don't have time to deal with him right now.\You won't get away!\Who was that other one just now?\Hey...\That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers... response:	What... are you?
context: I don't have time to deal with him right now.\You won't get away!\Who was that other one just now?\Hey...\That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers...\What... are you? response:	I follow the strongest scent, and I end up sharing a table with you,
context: You won't get away!\Who was that other one just now?\Hey...\That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you, response:	Mister High C.
context: Who was that other one just now?\Hey...\That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C. response:	Keep your guard up.
context: Hey...\That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up. response:	Apparently, this is no ordinary ghoul.
context: That was a number three combo.\He's a tough human.\The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul. response:	What a charming mouth.
context: He's a tough human.\The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth. response:	Allow me to give you a passionate baiser.
context: The S-rated... Bin Brothers...\What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser. response:	Let's go!
context: What... are you?\I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser.\Let's go! response:	Taking on an S-rated alone?
context: I follow the strongest scent, and I end up sharing a table with you,\Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone? response:	Can I do it, too, Mr. Mado?!
context: Mister High C.\Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?! response:	Amon, how do you suppose a human of inferior physical capabilities
context: Keep your guard up.\Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?!\Amon, how do you suppose a human of inferior physical capabilities response:	can prevail in a fight against a ghoul?
context: Apparently, this is no ordinary ghoul.\What a charming mouth.\Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?!\Amon, how do you suppose a human of inferior physical capabilities\can prevail in a fight against a ghoul? response:	Certainly, the building up of their muscles and stamina is vital.
context: What a charming mouth.\Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?!\Amon, how do you suppose a human of inferior physical capabilities\can prevail in a fight against a ghoul?\Certainly, the building up of their muscles and stamina is vital. response:	Hmm... That is true. But fighting head-on against a ghoul,
context: Allow me to give you a passionate baiser.\Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?!\Amon, how do you suppose a human of inferior physical capabilities\can prevail in a fight against a ghoul?\Certainly, the building up of their muscles and stamina is vital.\Hmm... That is true. But fighting head-on against a ghoul, response:	you'll never be able to overpower them.
context: Let's go!\Taking on an S-rated alone?\Can I do it, too, Mr. Mado?!\Amon, how do you suppose a human of inferior physical capabilities\can prevail in a fight against a ghoul?\Certainly, the building up of their muscles and stamina is vital.\Hmm... That is true. But fighting head-on against a ghoul,\you'll never be able to overpower them. response:	So, do you know what you can do to close that gap and prevail?
