context: When I was a child, I dreamed of being a hero of justice. response:	What do you mean, dreamed? Did you give up?
context: Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away. response:	The Gandr Shot here will suffice for you.
context: Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you. response:	Gandr? Isn't that just a simple Nordic curse?
context: Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse? response:	That's right... A perfectly simple curse.
context: After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse. response:	W-Wait, Tohsaka!
context: A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka! response:	Are you crazy? We're at school!
context: Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school! response:	If we make a scene, someone might come!
context: Simply by passing mana through it, I can invoke any spell etched here.\I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come! response:	I'll worry about that when it happens.
context: I've sent Archer away.\The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens. response:	My policy is not to miss an opportunity when it presents itself.
context: The Gandr Shot here will suffice for you.\Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself. response:	Sorry, Emiya-kun, but I'll deal with you now.
context: Gandr? Isn't that just a simple Nordic curse?\That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now. response:	Besides, if you keep bumbling around like today, I don't think my nerves can take it.
context: That's right... A perfectly simple curse.\W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it. response:	Wait, damn it!
context: W-Wait, Tohsaka!\Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it! response:	I don't want to fight you
context: Are you crazy? We're at school!\If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you response:	Even if you don't, I do!
context: If we make a scene, someone might come!\I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you\Even if you don't, I do! response:	Just prepare yourself, Shirou!
context: I'll worry about that when it happens.\My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou! response:	That was Gandr?
context: My policy is not to miss an opportunity when it presents itself.\Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr? response:	It's different from what I know! Are you trying to kill me?!
context: Sorry, Emiya-kun, but I'll deal with you now.\Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?! response:	I thought I made that clear!
context: Besides, if you keep bumbling around like today, I don't think my nerves can take it.\Wait, damn it!\I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear! response:	Hold it right there!
context: Wait, damn it!\I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there! response:	Ow...
context: I don't want to fight you\Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there!\Ow... response:	You could really hurt someone with those things!
context: Even if you don't, I do!\Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there!\Ow...\You could really hurt someone with those things! response:	If you don't like pain, stand still!
context: Just prepare yourself, Shirou!\That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there!\Ow...\You could really hurt someone with those things!\If you don't like pain, stand still! response:	I'll finish you off quickly!
context: That was Gandr?\It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there!\Ow...\You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly! response:	If they hit a vital spot, you'll die instantly!
context: It's different from what I know! Are you trying to kill me?!\I thought I made that clear!\Hold it right there!\Ow...\You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly! response:	That doesn't sound like a mercy killing!
context: I thought I made that clear!\Hold it right there!\Ow...\You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing! response:	Shut up! Then quit running around!
context: Hold it right there!\Ow...\You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around! response:	I'm getting worked up because my target won't stand still!
context: Ow...\You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still! response:	Oh, crap...
context: You could really hurt someone with those things!\If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap... response:	Das SchlieBen Vogelkafig... Echo!
context: If you don't like pain, stand still!\I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo! response:	She put up a Bounded Field!
context: I'll finish you off quickly!\If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field! response:	Fixierung, Eilesalve!
context: If they hit a vital spot, you'll die instantly!\That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve! response:	Trace on!
context: That doesn't sound like a mercy killing!\Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on! response:	Huh?
context: Shut up! Then quit running around!\I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on!\Huh? response:	She's out of mana?
context: I'm getting worked up because my target won't stand still!\Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on!\Huh?\She's out of mana? response:	So you finally came out, Emiya-kun?
context: Oh, crap...\Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on!\Huh?\She's out of mana?\So you finally came out, Emiya-kun? response:	Put down that silly weapon.
context: Das SchlieBen Vogelkafig... Echo!\She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on!\Huh?\She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon. response:	You don't have a chance of winning, Emiya-kun.
context: She put up a Bounded Field!\Fixierung, Eilesalve!\Trace on!\Huh?\She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun. response:	I won't know until I try.
context: Fixierung, Eilesalve!\Trace on!\Huh?\She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try. response:	Oh?
context: Trace on!\Huh?\She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh? response:	This is your final warning.
context: Huh?\She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh?\This is your final warning. response:	Put down your weapon, and give me your Command Seals.
context: She's out of mana?\So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals. response:	At worst, I'll strip the nerves from your arm, but better to lose those than your life.
context: So you finally came out, Emiya-kun?\Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life. response:	No, I cannot give you the Command Seals!
context: Put down that silly weapon.\You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals! response:	That's no different from telling me to betray Saber.
context: You don't have a chance of winning, Emiya-kun.\I won't know until I try.\Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber. response:	I see.
context: I won't know until I try.\Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see. response:	I'll give you three seconds.
context: Oh?\This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see.\I'll give you three seconds. response:	It's your life, so it's your decision.
context: This is your final warning.\Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see.\I'll give you three seconds.\It's your life, so it's your decision. response:	That's three seconds. Emiya-kun, what's your decision?
context: Put down your weapon, and give me your Command Seals.\At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see.\I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision? response:	Tohsaka, was that...
context: At worst, I'll strip the nerves from your arm, but better to lose those than your life.\No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see.\I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that... response:	A scream?
context: No, I cannot give you the Command Seals!\That's no different from telling me to betray Saber.\I see.\I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream? response:	Wait, Emiya-kun!
context: That's no different from telling me to betray Saber.\I see.\I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream?\Wait, Emiya-kun! response:	It looks like she's just unconscious.
context: I see.\I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream?\Wait, Emiya-kun!\It looks like she's just unconscious. response:	She isn't just unconscious! Can't you see she's been drained dry?
context: I'll give you three seconds.\It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream?\Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry? response:	Drained dry?
context: It's your life, so it's your decision.\That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream?\Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry? response:	Of her mana... Her life force, if you like.
context: That's three seconds. Emiya-kun, what's your decision?\Tohsaka, was that...\A scream?\Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like. response:	She hardly has any blood left.
context: Tohsaka, was that...\A scream?\Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left. response:	If we don't do something, she'll die.
context: A scream?\Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die. response:	Die? Hey, Tohsaka...
context: Wait, Emiya-kun!\It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka... response:	I should be able to stabilize her with this gem.
context: It looks like she's just unconscious.\She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem. response:	Tohsaka, look out!
context: She isn't just unconscious! Can't you see she's been drained dry?\Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out! response:	Wh-What is that?
context: Drained dry?\Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that? response:	Why did you...
context: Of her mana... Her life force, if you like.\She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that?\Why did you... response:	I mean, you're bleeding... You're bleeding badly!
context: She hardly has any blood left.\If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly! response:	D-Doesn't that hurt?
context: If we don't do something, she'll die.\Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt? response:	It hurts... It hurts like you wouldn't believe.
context: Die? Hey, Tohsaka...\I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe. response:	Tohsaka, take care of her.
context: I should be able to stabilize her with this gem.\Tohsaka, look out!\Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her. response:	Wha
context: Tohsaka, look out!\Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha response:	A Servant!
context: Wh-What is that?\Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha\A Servant! response:	She vanished?
context: Why did you...\I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha\A Servant!\She vanished? response:	I'm surprised. You aren't going to use a Command Seal?
context: I mean, you're bleeding... You're bleeding badly!\D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha\A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal? response:	Sorry, I don't have many left.
context: D-Doesn't that hurt?\It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha\A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left. response:	Ah.
context: It hurts... It hurts like you wouldn't believe.\Tohsaka, take care of her.\Wha\A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah. response:	Unlike my Master, you possess courage.
context: Tohsaka, take care of her.\Wha\A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage. response:	In that case, I will take a different tack.
context: Wha\A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack. response:	I shall give you a merciful death.
context: A Servant!\She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death. response:	Compared to the other Servants, you aren't very impressive.
context: She vanished?\I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive. response:	You don't pack any punch.
context: I'm surprised. You aren't going to use a Command Seal?\Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch. response:	No, this is the end for you.
context: Sorry, I don't have many left.\Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you. response:	You were at my mercy all along.
context: Ah.\Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you.\You were at my mercy all along. response:	Now, then... What was that amusing thing you were saying?
context: Unlike my Master, you possess courage.\In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying? response:	Something about my being inferior to other Servants?
context: In that case, I will take a different tack.\I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants? response:	That won't do at all.
context: I shall give you a merciful death.\Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all. response:	I'll start by plucking out those eyes that were so dearly mistaken.
context: Compared to the other Servants, you aren't very impressive.\You don't pack any punch.\No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken. response:	Then I'll move on to your remaining limbs.
context: You don't pack any punch.\No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs. response:	Emiya-kun, are you all right?
context: No, this is the end for you.\You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right? response:	W-We have to stop this bleeding!
context: You were at my mercy all along.\Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding! response:	Emiya-kun, do you have anything I can wrap it with?
context: Now, then... What was that amusing thing you were saying?\Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with? response:	Uh... Oh, I have a handkerchief.
context: Something about my being inferior to other Servants?\That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief. response:	Sakura always prepares them for me.
context: That won't do at all.\I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me. response:	Like minds, huh?
context: I'll start by plucking out those eyes that were so dearly mistaken.\Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh? response:	But it's better than nothing.
context: Then I'll move on to your remaining limbs.\Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing. response:	Together with my towel, we can make do.
context: Emiya-kun, are you all right?\W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do. response:	So, that woman was a Servant?
context: W-We have to stop this bleeding!\Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant? response:	Yeah. She attacked out of nowhere.
context: Emiya-kun, do you have anything I can wrap it with?\Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere. response:	Don't look at me like that.
context: Uh... Oh, I have a handkerchief.\Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that. response:	I couldn't tell who it was, but doesn't that mean there's another Master here besides us?
context: Sakura always prepares them for me.\Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us? response:	They finally made their move, huh?
context: Like minds, huh?\But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh? response:	Okay, I've patched you up for now.
context: But it's better than nothing.\Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now. response:	Tohsaka, what happened with that girl?
context: Together with my towel, we can make do.\So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl? response:	She's better. I think she's out of the woods.
context: So, that woman was a Servant?\Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods. response:	Oh...
context: Yeah. She attacked out of nowhere.\Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh... response:	That's good.
context: Don't look at me like that.\I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh...\That's good. response:	Why are you staring at me like that?
context: I couldn't tell who it was, but doesn't that mean there's another Master here besides us?\They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh...\That's good.\Why are you staring at me like that? response:	J-Just so you know, I'd never do something like that!
context: They finally made their move, huh?\Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh...\That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that! response:	Listen, I know.
context: Okay, I've patched you up for now.\Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh...\That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know. response:	You'd never do that.
context: Tohsaka, what happened with that girl?\She's better. I think she's out of the woods.\Oh...\That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that. response:	I'm talking about our fight.
context: She's better. I think she's out of the woods.\Oh...\That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that.\I'm talking about our fight. response:	Want to keep at it?
context: Oh...\That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that.\I'm talking about our fight.\Want to keep at it? response:	Tohsaka? I mean...
context: That's good.\Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that.\I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean... response:	What do you want to do?
context: Why are you staring at me like that?\J-Just so you know, I'd never do something like that!\Listen, I know.\You'd never do that.\I'm talking about our fight.\Want to keep at it?\Tohsaka? I mean...\What do you want to do? response:	I don't want to. Let's call it a day.
