context: We went on a camping trip to the sea. response:	I swam a lot and it was very fun.
context: Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title?\This one.\T' This one?\I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now. response:	Eh!
context: Yes, very much.\Maybe I will do that one. What was the title?\This one.\T' This one?\I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now.\Eh! response:	But there is one copy left.
context: Maybe I will do that one. What was the title?\This one.\T' This one?\I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now.\Eh!\But there is one copy left. response:	Where is it?
context: This one.\T' This one?\I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now.\Eh!\But there is one copy left.\Where is it? response:	It should be in the building.
context: T' This one?\I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now.\Eh!\But there is one copy left.\Where is it?\It should be in the building. response:	There wasn't any copy on the shelf.
context: I guess I will read the Little Pig after all.\Eh?\Oh, four copies are taken out right now.\Eh!\But there is one copy left.\Where is it?\It should be in the building.\There wasn't any copy on the shelf. response:	In order to read it in the building it doesn't have to go past here.
context: Eh?\Oh, four copies are taken out right now.\Eh!\But there is one copy left.\Where is it?\It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here. response:	So somebody in here is reading it?
context: Oh, four copies are taken out right now.\Eh!\But there is one copy left.\Where is it?\It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it? response:	Either that or somebody put it back in the wrong place.
context: Eh!\But there is one copy left.\Where is it?\It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place. response:	Let's go look for it.
context: But there is one copy left.\Where is it?\It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it. response:	Yeah.
context: Where is it?\It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah. response:	I bet it is delicious. That bean jam.
context: It should be in the building.\There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah.\I bet it is delicious. That bean jam. response:	That reporter on TV really seemed to enjoy it.
context: There wasn't any copy on the shelf.\In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it. response:	Geeze, Sakura didn't have to get that angry.
context: In order to read it in the building it doesn't have to go past here.\So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry. response:	What is it brat?
context: So somebody in here is reading it?\Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat? response:	Don't you understand this character?
context: Either that or somebody put it back in the wrong place.\Let's go look for it.\Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character? response:	The kanji are used differently in Hong Kong and Japan.
context: Let's go look for it.\Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan. response:	Don't get in the way.
context: Yeah.\I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way. response:	I was heading this way too.
context: I bet it is delicious. That bean jam.\That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too. response:	It is distracting.
context: That reporter on TV really seemed to enjoy it.\Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too.\It is distracting. response:	Doesn't it just mean you don't have enough power of concentration?
context: Geeze, Sakura didn't have to get that angry.\What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration? response:	What an irritable guy.
context: What is it brat?\Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy. response:	Well you are studying,
context: Don't you understand this character?\The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying, response:	so I will let you off for today.
context: The kanji are used differently in Hong Kong and Japan.\Don't get in the way.\I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying,\so I will let you off for today. response:	Huh? I am sure I left it here.
context: Don't get in the way.\I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here. response:	Little Pig' Little Pig'
context: I was heading this way too.\It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig' response:	Sakura, what are you looking for?
context: It is distracting.\Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for? response:	Above you. Above.
context: Doesn't it just mean you don't have enough power of concentration?\What an irritable guy.\Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above. response:	I can't find the book for the homework.
context: What an irritable guy.\Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework. response:	What is it called?
context: Well you are studying,\so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework.\What is it called? response:	Little Pig Story.
context: so I will let you off for today.\Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework.\What is it called?\Little Pig Story. response:	Little Pig'
context: Huh? I am sure I left it here.\Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework.\What is it called?\Little Pig Story.\Little Pig' response:	Ah, the brat had that one.
context: Little Pig' Little Pig'\Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework.\What is it called?\Little Pig Story.\Little Pig'\Ah, the brat had that one. response:	Li-kun did?
context: Sakura, what are you looking for?\Above you. Above.\I can't find the book for the homework.\What is it called?\Little Pig Story.\Little Pig'\Ah, the brat had that one.\Li-kun did? response:	It was there.
context: Above you. Above.\I can't find the book for the homework.\What is it called?\Little Pig Story.\Little Pig'\Ah, the brat had that one.\Li-kun did?\It was there. response:	Huh?
context: I can't find the book for the homework.\What is it called?\Little Pig Story.\Little Pig'\Ah, the brat had that one.\Li-kun did?\It was there.\Huh? response:	Where did he go?
context: What is it called?\Little Pig Story.\Little Pig'\Ah, the brat had that one.\Li-kun did?\It was there.\Huh?\Where did he go? response:	Let me see that for a moment.
context: Little Pig Story.\Little Pig'\Ah, the brat had that one.\Li-kun did?\It was there.\Huh?\Where did he go?\Let me see that for a moment. response:	Did you find it?
context: Little Pig'\Ah, the brat had that one.\Li-kun did?\It was there.\Huh?\Where did he go?\Let me see that for a moment.\Did you find it? response:	I was told Li-kun has it.
context: Ah, the brat had that one.\Li-kun did?\It was there.\Huh?\Where did he go?\Let me see that for a moment.\Did you find it?\I was told Li-kun has it. response:	Oh? I found it once.
context: Li-kun did?\It was there.\Huh?\Where did he go?\Let me see that for a moment.\Did you find it?\I was told Li-kun has it.\Oh? I found it once. response:	Eh? I wonder if there are two.
context: It was there.\Huh?\Where did he go?\Let me see that for a moment.\Did you find it?\I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two. response:	It is strange.
context: Huh?\Where did he go?\Let me see that for a moment.\Did you find it?\I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two.\It is strange. response:	Hey, don't cry.
context: Where did he go?\Let me see that for a moment.\Did you find it?\I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two.\It is strange.\Hey, don't cry. response:	There it is.
context: Let me see that for a moment.\Did you find it?\I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two.\It is strange.\Hey, don't cry.\There it is. response:	Kero-chan.
context: Did you find it?\I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two.\It is strange.\Hey, don't cry.\There it is.\Kero-chan. response:	It's a Clow Card.
context: I was told Li-kun has it.\Oh? I found it once.\Eh? I wonder if there are two.\It is strange.\Hey, don't cry.\There it is.\Kero-chan.\It's a Clow Card. response:	It is still close by.
context: Oh? I found it once.\Eh? I wonder if there are two.\It is strange.\Hey, don't cry.\There it is.\Kero-chan.\It's a Clow Card.\It is still close by. response:	This is'
context: Eh? I wonder if there are two.\It is strange.\Hey, don't cry.\There it is.\Kero-chan.\It's a Clow Card.\It is still close by.\This is' response:	Again.
context: It is strange.\Hey, don't cry.\There it is.\Kero-chan.\It's a Clow Card.\It is still close by.\This is'\Again. response:	There it is.
context: Hey, don't cry.\There it is.\Kero-chan.\It's a Clow Card.\It is still close by.\This is'\Again.\There it is. response:	Is something wrong?
context: There it is.\Kero-chan.\It's a Clow Card.\It is still close by.\This is'\Again.\There it is.\Is something wrong? response:	No.
context: Kero-chan.\It's a Clow Card.\It is still close by.\This is'\Again.\There it is.\Is something wrong?\No. response:	In a place like this?
context: It's a Clow Card.\It is still close by.\This is'\Again.\There it is.\Is something wrong?\No.\In a place like this? response:	Li-kun!
context: It is still close by.\This is'\Again.\There it is.\Is something wrong?\No.\In a place like this?\Li-kun! response:	Li-kun.
context: This is'\Again.\There it is.\Is something wrong?\No.\In a place like this?\Li-kun!\Li-kun. response:	We are probably facing the Move card.
context: Again.\There it is.\Is something wrong?\No.\In a place like this?\Li-kun!\Li-kun.\We are probably facing the Move card. response:	Move?
context: There it is.\Is something wrong?\No.\In a place like this?\Li-kun!\Li-kun.\We are probably facing the Move card.\Move? response:	A card that exists to move things.
context: Is something wrong?\No.\In a place like this?\Li-kun!\Li-kun.\We are probably facing the Move card.\Move?\A card that exists to move things. response:	Sounds like a convenient card.
context: No.\In a place like this?\Li-kun!\Li-kun.\We are probably facing the Move card.\Move?\A card that exists to move things.\Sounds like a convenient card. response:	It is totally useless.
context: In a place like this?\Li-kun!\Li-kun.\We are probably facing the Move card.\Move?\A card that exists to move things.\Sounds like a convenient card.\It is totally useless. response:	It can't move very far.
context: Li-kun!\Li-kun.\We are probably facing the Move card.\Move?\A card that exists to move things.\Sounds like a convenient card.\It is totally useless.\It can't move very far. response:	It can't move living things or large things.
context: Li-kun.\We are probably facing the Move card.\Move?\A card that exists to move things.\Sounds like a convenient card.\It is totally useless.\It can't move very far.\It can't move living things or large things. response:	It really just likes pranks.
context: We are probably facing the Move card.\Move?\A card that exists to move things.\Sounds like a convenient card.\It is totally useless.\It can't move very far.\It can't move living things or large things.\It really just likes pranks. response:	What a troublesome card.
context: Move?\A card that exists to move things.\Sounds like a convenient card.\It is totally useless.\It can't move very far.\It can't move living things or large things.\It really just likes pranks.\What a troublesome card. response:	If you don't hurry and seal it,
context: A card that exists to move things.\Sounds like a convenient card.\It is totally useless.\It can't move very far.\It can't move living things or large things.\It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it, response:	then it will move again for fun.
context: Sounds like a convenient card.\It is totally useless.\It can't move very far.\It can't move living things or large things.\It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun. response:	Then I won't be able to write my book report either.
context: It is totally useless.\It can't move very far.\It can't move living things or large things.\It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either. response:	But I wonder where it went.
context: It can't move very far.\It can't move living things or large things.\It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went. response:	Ah!
context: It can't move living things or large things.\It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went.\Ah! response:	Did you find it?
context: It really just likes pranks.\What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went.\Ah!\Did you find it? response:	No, it's just'
context: What a troublesome card.\If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went.\Ah!\Did you find it?\No, it's just' response:	Just?
context: If you don't hurry and seal it,\then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went.\Ah!\Did you find it?\No, it's just'\Just? response:	Just what?
context: then it will move again for fun.\Then I won't be able to write my book report either.\But I wonder where it went.\Ah!\Did you find it?\No, it's just'\Just?\Just what? response:	I should have brought my video camera.
context: Then I won't be able to write my book report either.\But I wonder where it went.\Ah!\Did you find it?\No, it's just'\Just?\Just what?\I should have brought my video camera. response:	There it is.
context: But I wonder where it went.\Ah!\Did you find it?\No, it's just'\Just?\Just what?\I should have brought my video camera.\There it is. response:	Just a little bit further.
context: Ah!\Did you find it?\No, it's just'\Just?\Just what?\I should have brought my video camera.\There it is.\Just a little bit further. response:	You can't chase it with your eyes.
context: Did you find it?\No, it's just'\Just?\Just what?\I should have brought my video camera.\There it is.\Just a little bit further.\You can't chase it with your eyes. response:	Chase the aura.
context: No, it's just'\Just?\Just what?\I should have brought my video camera.\There it is.\Just a little bit further.\You can't chase it with your eyes.\Chase the aura. response:	Eh?
context: Just?\Just what?\I should have brought my video camera.\There it is.\Just a little bit further.\You can't chase it with your eyes.\Chase the aura.\Eh? response:	Read the next place it will appear.
context: Just what?\I should have brought my video camera.\There it is.\Just a little bit further.\You can't chase it with your eyes.\Chase the aura.\Eh?\Read the next place it will appear. response:	I can't do that.
context: I should have brought my video camera.\There it is.\Just a little bit further.\You can't chase it with your eyes.\Chase the aura.\Eh?\Read the next place it will appear.\I can't do that. response:	Sakura,
context: There it is.\Just a little bit further.\You can't chase it with your eyes.\Chase the aura.\Eh?\Read the next place it will appear.\I can't do that.\Sakura, response:	aren't you able to sense the card's aura now?
context: Just a little bit further.\You can't chase it with your eyes.\Chase the aura.\Eh?\Read the next place it will appear.\I can't do that.\Sakura,\aren't you able to sense the card's aura now? response:	But'
context: You can't chase it with your eyes.\Chase the aura.\Eh?\Read the next place it will appear.\I can't do that.\Sakura,\aren't you able to sense the card's aura now?\But' response:	You can do it. Concentrate.
context: Chase the aura.\Eh?\Read the next place it will appear.\I can't do that.\Sakura,\aren't you able to sense the card's aura now?\But'\You can do it. Concentrate. response:	Good luck, Sakura-chan.
context: Eh?\Read the next place it will appear.\I can't do that.\Sakura,\aren't you able to sense the card's aura now?\But'\You can do it. Concentrate.\Good luck, Sakura-chan. response:	OK.
context: Read the next place it will appear.\I can't do that.\Sakura,\aren't you able to sense the card's aura now?\But'\You can do it. Concentrate.\Good luck, Sakura-chan.\OK. response:	My first date with you'
context: I can't do that.\Sakura,\aren't you able to sense the card's aura now?\But'\You can do it. Concentrate.\Good luck, Sakura-chan.\OK.\My first date with you' response:	Wait!
context: Sakura,\aren't you able to sense the card's aura now?\But'\You can do it. Concentrate.\Good luck, Sakura-chan.\OK.\My first date with you'\Wait! response:	I love you'
context: aren't you able to sense the card's aura now?\But'\You can do it. Concentrate.\Good luck, Sakura-chan.\OK.\My first date with you'\Wait!\I love you' response:	Return to your rightful form,
context: But'\You can do it. Concentrate.\Good luck, Sakura-chan.\OK.\My first date with you'\Wait!\I love you'\Return to your rightful form, response:	Clow Card!
context: You can do it. Concentrate.\Good luck, Sakura-chan.\OK.\My first date with you'\Wait!\I love you'\Return to your rightful form,\Clow Card! response:	All right, now I can do my homework.
context: Good luck, Sakura-chan.\OK.\My first date with you'\Wait!\I love you'\Return to your rightful form,\Clow Card!\All right, now I can do my homework. response:	So this was what the fortune was about?
context: OK.\My first date with you'\Wait!\I love you'\Return to your rightful form,\Clow Card!\All right, now I can do my homework.\So this was what the fortune was about? response:	You'll catch a cold like this.
context: My first date with you'\Wait!\I love you'\Return to your rightful form,\Clow Card!\All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this. response:	Do you want to go to my place to change?
context: Wait!\I love you'\Return to your rightful form,\Clow Card!\All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change? response:	Eh?
context: I love you'\Return to your rightful form,\Clow Card!\All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change?\Eh? response:	The chaos has already happened.
context: Return to your rightful form,\Clow Card!\All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change?\Eh?\The chaos has already happened. response:	You need this book too, right?
context: Clow Card!\All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change?\Eh?\The chaos has already happened.\You need this book too, right? response:	I am almost done reading it.
context: All right, now I can do my homework.\So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change?\Eh?\The chaos has already happened.\You need this book too, right?\I am almost done reading it. response:	Thank you.
context: So this was what the fortune was about?\You'll catch a cold like this.\Do you want to go to my place to change?\Eh?\The chaos has already happened.\You need this book too, right?\I am almost done reading it.\Thank you. response:	Delicious.
context: You'll catch a cold like this.\Do you want to go to my place to change?\Eh?\The chaos has already happened.\You need this book too, right?\I am almost done reading it.\Thank you.\Delicious. response:	Thank you.
context: Do you want to go to my place to change?\Eh?\The chaos has already happened.\You need this book too, right?\I am almost done reading it.\Thank you.\Delicious.\Thank you. response:	Is it just you and Li-kun living here?
context: Eh?\The chaos has already happened.\You need this book too, right?\I am almost done reading it.\Thank you.\Delicious.\Thank you.\Is it just you and Li-kun living here? response:	Yes,
context: The chaos has already happened.\You need this book too, right?\I am almost done reading it.\Thank you.\Delicious.\Thank you.\Is it just you and Li-kun living here?\Yes, response:	his mother has entrusted Shao Ran-sama to me.
context: You need this book too, right?\I am almost done reading it.\Thank you.\Delicious.\Thank you.\Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me. response:	His mother?
context: I am almost done reading it.\Thank you.\Delicious.\Thank you.\Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me.\His mother? response:	His father passed away while he was young.
context: Thank you.\Delicious.\Thank you.\Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young. response:	The rest of his family is in Hong Kong.
context: Delicious.\Thank you.\Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong. response:	I see.
context: Thank you.\Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong.\I see. response:	I finished reading it.
context: Is it just you and Li-kun living here?\Yes,\his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong.\I see.\I finished reading it. response:	Thank you.
context: Yes,\his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong.\I see.\I finished reading it.\Thank you. response:	It seems you will be able to finish your homework.
context: his mother has entrusted Shao Ran-sama to me.\His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong.\I see.\I finished reading it.\Thank you.\It seems you will be able to finish your homework. response:	That T-shirt'
context: His mother?\His father passed away while he was young.\The rest of his family is in Hong Kong.\I see.\I finished reading it.\Thank you.\It seems you will be able to finish your homework.\That T-shirt' response:	Wei lent it to me.
context: His father passed away while he was young.\The rest of his family is in Hong Kong.\I see.\I finished reading it.\Thank you.\It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me. response:	It is a cute T-shirt.
context: The rest of his family is in Hong Kong.\I see.\I finished reading it.\Thank you.\It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me.\It is a cute T-shirt. response:	Did you buy it yourself?
context: I see.\I finished reading it.\Thank you.\It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself? response:	No, that is'
context: I finished reading it.\Thank you.\It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself?\No, that is' response:	Ni hao!
context: Thank you.\It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself?\No, that is'\Ni hao! response:	Shao Ran, I missed you!
context: It seems you will be able to finish your homework.\That T-shirt'\Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself?\No, that is'\Ni hao!\Shao Ran, I missed you! response:	Mei-Lin. Hey, Mei-Lin.
context: That T-shirt'\Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself?\No, that is'\Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin. response:	Why are you here?
context: Wei lent it to me.\It is a cute T-shirt.\Did you buy it yourself?\No, that is'\Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here? response:	Oh, a guest?
context: It is a cute T-shirt.\Did you buy it yourself?\No, that is'\Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest? response:	Isn't this the T-shirt I gave to Shao Ran?
context: Did you buy it yourself?\No, that is'\Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran? response:	Why are you wearing it?
context: No, that is'\Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it? response:	This is, umm'
context: Ni hao!\Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm' response:	What is the meaning of this?
context: Shao Ran, I missed you!\Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm'\What is the meaning of this? response:	Why is another girl wearing it?
context: Mei-Lin. Hey, Mei-Lin.\Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm'\What is the meaning of this?\Why is another girl wearing it? response:	You're wrong, this is'
context: Why are you here?\Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm'\What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is' response:	Shao Ran, you're terrible!
context: Oh, a guest?\Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm'\What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is'\Shao Ran, you're terrible! response:	I said listen!
context: Isn't this the T-shirt I gave to Shao Ran?\Why are you wearing it?\This is, umm'\What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is'\Shao Ran, you're terrible!\I said listen! response:	I can't stand it! Just when I am gone for a bit.
context: Why are you wearing it?\This is, umm'\What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is'\Shao Ran, you're terrible!\I said listen!\I can't stand it! Just when I am gone for a bit. response:	I wonder who she is.
context: This is, umm'\What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is'\Shao Ran, you're terrible!\I said listen!\I can't stand it! Just when I am gone for a bit.\I wonder who she is. response:	I don't know.
context: What is the meaning of this?\Why is another girl wearing it?\You're wrong, this is'\Shao Ran, you're terrible!\I said listen!\I can't stand it! Just when I am gone for a bit.\I wonder who she is.\I don't know. response:	Listen to the reason, Mei-Lin!
