context: Led by Carla, we tried to sneak into Edolas's castle, response:	but their Erza, Knightwalker, was waiting for us, and we were captured!
context: So, it has finally started...\Yes.\With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article! response:	Of course not...
context: Yes.\With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not... response:	I know well the kinds of things I should and shouldn't write.
context: With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write. response:	For I am a journalist!
context: This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist! response:	The plaza is only guarded on the north and south.
context: The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south. response:	There are less people to the north than the south.
context: Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south. response:	The ceremony will occur on the south side of the lacrima.
context: so there's no need to guard it.\Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima. response:	I get it.
context: Hey! Don't you dare put that in the article!\Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it. response:	Humans are just a horribly foolish and inferior species.
context: Of course not...\I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species. response:	We have to keep careful control of them, or else...
context: I know well the kinds of things I should and shouldn't write.\For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else... response:	Furthermore, they have a horrible parfum...
context: For I am a journalist!\The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum... response:	Parfum means smell.
context: The plaza is only guarded on the north and south.\There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell. response:	The Queen controls the humans from here.
context: There are less people to the north than the south.\The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here. response:	The Queen has a wonderful parfum!
context: The ceremony will occur on the south side of the lacrima.\I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum! response:	It's a real problem if they just increase their numbers too much.
context: I get it.\Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much. response:	The humans that aren't needed are killed by the orders of the Queen.
context: Humans are just a horribly foolish and inferior species.\We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen. response:	B-But, why?
context: We have to keep careful control of them, or else...\Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why? response:	The Queen said that it was to rectify the vanishing magic situation.
context: Furthermore, they have a horrible parfum...\Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation. response:	The Queen will control not just this world, but the humans in Earthland as well.
context: Parfum means smell.\The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well. response:	She decides the death of humans?
context: The Queen controls the humans from here.\The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans? response:	The Queen has the right.
context: The Queen has a wonderful parfum!\It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right. response:	Why, you ask?
context: It's a real problem if they just increase their numbers too much.\The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right.\Why, you ask? response:	Because she is a god!
context: The humans that aren't needed are killed by the orders of the Queen.\B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right.\Why, you ask?\Because she is a god! response:	God?
context: B-But, why?\The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right.\Why, you ask?\Because she is a god!\God? response:	What is our duty?
context: The Queen said that it was to rectify the vanishing magic situation.\The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right.\Why, you ask?\Because she is a god!\God?\What is our duty? response:	Ever since I was born, I've had this duty planted inside me.
context: The Queen will control not just this world, but the humans in Earthland as well.\She decides the death of humans?\The Queen has the right.\Why, you ask?\Because she is a god!\God?\What is our duty?\Ever since I was born, I've had this duty planted inside me. response:	She has been selected by the Queen's human control project...
context: She decides the death of humans?\The Queen has the right.\Why, you ask?\Because she is a god!\God?\What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project... response:	Exterminate the Dragonslayer, Wendy!
context: The Queen has the right.\Why, you ask?\Because she is a god!\God?\What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy! response:	W-What do you mean, Carla?!
context: Why, you ask?\Because she is a god!\God?\What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?! response:	Quiet.
context: Because she is a god!\God?\What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet. response:	What do you mean, exterminate Wendy?!
context: God?\What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?! response:	Wha...
context: What is our duty?\Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?!\Wha... response:	Then...
context: Ever since I was born, I've had this duty planted inside me.\She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?!\Wha...\Then... response:	Our duty...
context: She has been selected by the Queen's human control project...\Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?!\Wha...\Then...\Our duty... response:	What? It can't...
context: Exterminate the Dragonslayer, Wendy!\W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?!\Wha...\Then...\Our duty...\What? It can't... response:	Ignorance was bliss for you...
context: W-What do you mean, Carla?!\Quiet.\What do you mean, exterminate Wendy?!\Wha...\Then...\Our duty...\What? It can't...\Ignorance was bliss for you... response:	My duty was...
context: Quiet.\What do you mean, exterminate Wendy?!\Wha...\Then...\Our duty...\What? It can't...\Ignorance was bliss for you...\My duty was... response:	What?
context: What do you mean, exterminate Wendy?!\Wha...\Then...\Our duty...\What? It can't...\Ignorance was bliss for you...\My duty was...\What? response:	That can't...
context: Wha...\Then...\Our duty...\What? It can't...\Ignorance was bliss for you...\My duty was...\What?\That can't... response:	Calm down, He-cat!
context: Then...\Our duty...\What? It can't...\Ignorance was bliss for you...\My duty was...\What?\That can't...\Calm down, He-cat! response:	We didn't complete our duty!
context: Our duty...\What? It can't...\Ignorance was bliss for you...\My duty was...\What?\That can't...\Calm down, He-cat!\We didn't complete our duty! response:	We never had any intention to!
context: What? It can't...\Ignorance was bliss for you...\My duty was...\What?\That can't...\Calm down, He-cat!\We didn't complete our duty!\We never had any intention to! response:	So how is it that you think we have?
context: Ignorance was bliss for you...\My duty was...\What?\That can't...\Calm down, He-cat!\We didn't complete our duty!\We never had any intention to!\So how is it that you think we have? response:	Memory loss, perhaps?
context: My duty was...\What?\That can't...\Calm down, He-cat!\We didn't complete our duty!\We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps? response:	There is nothing to be done about it.
context: What?\That can't...\Calm down, He-cat!\We didn't complete our duty!\We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it. response:	Overwriting has unknown side-effects, after all.
context: That can't...\Calm down, He-cat!\We didn't complete our duty!\We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all. response:	Answer me!
context: Calm down, He-cat!\We didn't complete our duty!\We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me! response:	I'lla explain.
context: We didn't complete our duty!\We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain. response:	By the Queen's human control project,
context: We never had any intention to!\So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain.\By the Queen's human control project, response:	100 Exceeds were sent to Earthland 6 years ago.
context: So how is it that you think we have?\Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago. response:	Once hatched from their egg, they would search for a Dragonslayer,
context: Memory loss, perhaps?\There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer, response:	and carried information telling them to exterminate them.
context: There is nothing to be done about it.\Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them. response:	But the situation changed.
context: Overwriting has unknown side-effects, after all.\Answer me!\I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed. response:	The Anima that the humans created opened up another possibility.
context: Answer me!\I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility. response:	Instead of killing the humans in Earthland, we would use their magic power.
context: I'lla explain.\By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power. response:	And among their magic power, the Dragon Slayers would be an exceptionally large part!
context: By the Queen's human control project,\100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part! response:	That's why your duty was changed by emergency order.
context: 100 Exceeds were sent to Earthland 6 years ago.\Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order. response:	To... Lead the Dragon Slayers here.
context: Once hatched from their egg, they would search for a Dragonslayer,\and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here. response:	What we really wanted was you...
context: and carried information telling them to exterminate them.\But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you... response:	Your dragon magic power.
context: But the situation changed.\The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power. response:	I have to hurry.
context: The Anima that the humans created opened up another possibility.\Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power.\I have to hurry. response:	But there are too many people for me to make my move.
context: Instead of killing the humans in Earthland, we would use their magic power.\And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move. response:	Hey, what's that?
context: And among their magic power, the Dragon Slayers would be an exceptionally large part!\That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move.\Hey, what's that? response:	What? It's in celebration of the magic extraction!
context: That's why your duty was changed by emergency order.\To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction! response:	Just a little fireworks!
context: To... Lead the Dragon Slayers here.\What we really wanted was you...\Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks! response:	Fireworks!
context: What we really wanted was you...\Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks! response:	Yeah, do it!
context: Your dragon magic power.\I have to hurry.\But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks!\Yeah, do it! response:	What's that?!
context: I have to hurry.\But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks!\Yeah, do it!\What's that?! response:	I didn't hear about any fireworks!
context: But there are too many people for me to make my move.\Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks!\Yeah, do it!\What's that?!\I didn't hear about any fireworks! response:	I'm counting on you.
context: Hey, what's that?\What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks!\Yeah, do it!\What's that?!\I didn't hear about any fireworks!\I'm counting on you. response:	Get to it!
context: What? It's in celebration of the magic extraction!\Just a little fireworks!\Fireworks!\Yeah, do it!\What's that?!\I didn't hear about any fireworks!\I'm counting on you.\Get to it! response:	North?
context: Just a little fireworks!\Fireworks!\Yeah, do it!\What's that?!\I didn't hear about any fireworks!\I'm counting on you.\Get to it!\North? response:	I'll leave the rest to you.
context: Fireworks!\Yeah, do it!\What's that?!\I didn't hear about any fireworks!\I'm counting on you.\Get to it!\North?\I'll leave the rest to you. response:	Look, there was something written there!
context: Yeah, do it!\What's that?!\I didn't hear about any fireworks!\I'm counting on you.\Get to it!\North?\I'll leave the rest to you.\Look, there was something written there! response:	North of the plaza!
context: What's that?!\I didn't hear about any fireworks!\I'm counting on you.\Get to it!\North?\I'll leave the rest to you.\Look, there was something written there!\North of the plaza! response:	Some suspicious fellow is after the lacrima!
context: I didn't hear about any fireworks!\I'm counting on you.\Get to it!\North?\I'll leave the rest to you.\Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima! response:	What?
context: I'm counting on you.\Get to it!\North?\I'll leave the rest to you.\Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima!\What? response:	That's not good!
context: Get to it!\North?\I'll leave the rest to you.\Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima!\What?\That's not good! response:	The north is the back of the lacrima!
context: North?\I'll leave the rest to you.\Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima!\What?\That's not good!\The north is the back of the lacrima! response:	Our defenses aren't solid enough there!
context: I'll leave the rest to you.\Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima!\What?\That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there! response:	Leave a third here and head to the north!
context: Look, there was something written there!\North of the plaza!\Some suspicious fellow is after the lacrima!\What?\That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north! response:	Move the spectators back!
context: North of the plaza!\Some suspicious fellow is after the lacrima!\What?\That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back! response:	Move back, please!
context: Some suspicious fellow is after the lacrima!\What?\That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back!\Move back, please! response:	Get farther back!
context: What?\That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back!\Move back, please!\Get farther back! response:	Okay! Now I can really cut loose!
context: That's not good!\The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back!\Move back, please!\Get farther back!\Okay! Now I can really cut loose! response:	Hey, what are you doing? Stand back!
context: The north is the back of the lacrima!\Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back!\Move back, please!\Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back! response:	That Mystogan guy seems fishy to me, but I'll trust him for now!
context: Our defenses aren't solid enough there!\Leave a third here and head to the north!\Move the spectators back!\Move back, please!\Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now! response:	Pillar of the Iron Dragon!
context: Leave a third here and head to the north!\Move the spectators back!\Move back, please!\Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon! response:	All according to plan.
context: Move the spectators back!\Move back, please!\Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan. response:	Sword of the Iron Dragon!
context: Move back, please!\Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon! response:	There's more where that came from!
context: Get farther back!\Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon!\There's more where that came from! response:	What?!
context: Okay! Now I can really cut loose!\Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon!\There's more where that came from!\What?! response:	It looks like the long-distance order overwriting wasn't properly transmitted.
context: Hey, what are you doing? Stand back!\That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon!\There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted. response:	But it worked out in the end!
context: That Mystogan guy seems fishy to me, but I'll trust him for now!\Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon!\There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end! response:	You did bring the Dragonslayers here, after all.
context: Pillar of the Iron Dragon!\All according to plan.\Sword of the Iron Dragon!\There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all. response:	We'll leave their conversion into magic power, in other words,
context: All according to plan.\Sword of the Iron Dragon!\There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words, response:	the Magicalization, to the humans.
context: Sword of the Iron Dragon!\There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans. response:	The humans are more skilled at that.
context: There's more where that came from!\What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that. response:	N-No...
context: What?!\It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that.\N-No... response:	I-I came to Edolas of my own free will...
context: It looks like the long-distance order overwriting wasn't properly transmitted.\But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will... response:	Nope. Just following orders.
context: But it worked out in the end!\You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders. response:	I took them to the tunnel to save everyone...
context: You did bring the Dragonslayers here, after all.\We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone... response:	You didn't notice?
context: We'll leave their conversion into magic power, in other words,\the Magicalization, to the humans.\The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice? response:	We guided you there.
context: the Magicalization, to the humans.\The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice?\We guided you there. response:	Happy, Carla... What in the world...
context: The humans are more skilled at that.\N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice?\We guided you there.\Happy, Carla... What in the world... response:	I said I wanted to protect her...
context: N-No...\I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice?\We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her... response:	That's just a kind of delusion.
context: I-I came to Edolas of my own free will...\Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice?\We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion. response:	Your orders were changed from exterminate to lead here.
context: Nope. Just following orders.\I took them to the tunnel to save everyone...\You didn't notice?\We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here. response:	In order words, it was changed to you mustn't kill.
context: I took them to the tunnel to save everyone...\You didn't notice?\We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill. response:	That's a lie!!
context: You didn't notice?\We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!! response:	Everything you've done was following our orders.
context: We guided you there.\Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders. response:	We are not puppets!!
context: Happy, Carla... What in the world...\I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders.\We are not puppets!! response:	H-He...
context: I said I wanted to protect her...\That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders.\We are not puppets!!\H-He... response:	We're Fairy Tail wizards!!!
context: That's just a kind of delusion.\Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders.\We are not puppets!!\H-He...\We're Fairy Tail wizards!!! response:	Happy...
context: Your orders were changed from exterminate to lead here.\In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders.\We are not puppets!!\H-He...\We're Fairy Tail wizards!!!\Happy... response:	Okay! Time to go pick everyone up!
context: In order words, it was changed to you mustn't kill.\That's a lie!!\Everything you've done was following our orders.\We are not puppets!!\H-He...\We're Fairy Tail wizards!!!\Happy...\Okay! Time to go pick everyone up! response:	Aye, sir!
context: That's a lie!!\Everything you've done was following our orders.\We are not puppets!!\H-He...\We're Fairy Tail wizards!!!\Happy...\Okay! Time to go pick everyone up!\Aye, sir! response:	Let me grab onto you and we'll fly there in a jiffy!
context: Everything you've done was following our orders.\We are not puppets!!\H-He...\We're Fairy Tail wizards!!!\Happy...\Okay! Time to go pick everyone up!\Aye, sir!\Let me grab onto you and we'll fly there in a jiffy! response:	Except we can't use magic!
context: We are not puppets!!\H-He...\We're Fairy Tail wizards!!!\Happy...\Okay! Time to go pick everyone up!\Aye, sir!\Let me grab onto you and we'll fly there in a jiffy!\Except we can't use magic! response:	Hey, get it together.
context: H-He...\We're Fairy Tail wizards!!!\Happy...\Okay! Time to go pick everyone up!\Aye, sir!\Let me grab onto you and we'll fly there in a jiffy!\Except we can't use magic!\Hey, get it together. response:	A Happy that can't fly's just some talking cat.
