context: You got that? Let me say it again just to be sure. response:	You are to kill a hundred of this planet's people
context: You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after! response:	We'll team up, but once we've taken care of him and his two pals,
context: He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals, response:	I'm going to defeat you, and this time,
context: However...\Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time, response:	I intend to take over the world for sure!
context: Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure! response:	I won't let you do that!
context: Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that! response:	I won't let you do that, but up through that part where we team up,
context: It's not as though I have become awakened to peace.\I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up, response:	that's a good idea.
context: I don't care what happens to your son, either.\It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea. response:	Looks like there ain't any other way, huh?
context: It's just that he stands in the way of the world domination that I am after!\We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh? response:	That's right! We'll just have to put up with it.
context: We'll team up, but once we've taken care of him and his two pals,\I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it. response:	As far as I'm concerned, teaming up with you makes me want to puke!
context: I'm going to defeat you, and this time,\I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke! response:	Bulma, let me borrow your Dragon Radar.
context: I intend to take over the world for sure!\I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar. response:	Right.
context: I won't let you do that!\I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right. response:	Can you keep up with the speed of Kinto-Un?
context: I won't let you do that, but up through that part where we team up,\that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un? response:	Don't be absurd! My own technique's a little different
context: that's a good idea.\Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different response:	from that pathetic Bukujutsu skill of yours.
context: Looks like there ain't any other way, huh?\That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours. response:	I'm not sure whether I should be elated or not...
context: That's right! We'll just have to put up with it.\As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not... response:	You know, I would have never thought that those two would team up!
context: As far as I'm concerned, teaming up with you makes me want to puke!\Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up! response:	There's certainly no stronger combo than them!
context: Bulma, let me borrow your Dragon Radar.\Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them! response:	It's just possible that they might win!
context: Right.\Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win! response:	B- but I wonder, is it safe for us to trust Piccolo?
context: Can you keep up with the speed of Kinto-Un?\Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo? response:	It's worrisome, isn't it?
context: Don't be absurd! My own technique's a little different\from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it? response:	What are you talking about!? This is going to be an incredible spectacle!
context: from that pathetic Bukujutsu skill of yours.\I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle! response:	Bulma! Do you remember the location that reading was coming from on the Radar?
context: I'm not sure whether I should be elated or not...\You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar? response:	We're going too!
context: You know, I would have never thought that those two would team up!\There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too! response:	I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.
context: There's certainly no stronger combo than them!\It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place. response:	Oh, my! He still hasn't finished doin' his developmental homework, has he?
context: It's just possible that they might win!\B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he? response:	I hope he'll be all right.
context: B- but I wonder, is it safe for us to trust Piccolo?\It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right. response:	Father, I'm scared!
context: It's worrisome, isn't it?\What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared! response:	Will you shut up!? How long are you going to keep blubbering!?
context: What are you talking about!? This is going to be an incredible spectacle!\Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!? response:	You carry the valiant blood of the Saiyans too!
context: Bulma! Do you remember the location that reading was coming from on the Radar?\We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too! response:	Get in there!
context: We're going too!\I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there! response:	Let me out! Let me out!
context: I wonder if Gohan- chan is havin' fun at Muten Roshi- sama's place.\Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out! response:	Let me out, I say!
context: Oh, my! He still hasn't finished doin' his developmental homework, has he?\I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out!\Let me out, I say! response:	Now then,
context: I hope he'll be all right.\Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out!\Let me out, I say!\Now then, response:	how about I go find something to eat?
context: Father, I'm scared!\Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out!\Let me out, I say!\Now then,\how about I go find something to eat? response:	That's strange. A warning signal...
context: Will you shut up!? How long are you going to keep blubbering!?\You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out!\Let me out, I say!\Now then,\how about I go find something to eat?\That's strange. A warning signal... response:	A battle power of 710? It's close!
context: You carry the valiant blood of the Saiyans too!\Get in there!\Let me out! Let me out!\Let me out, I say!\Now then,\how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close! response:	What?
context: Get in there!\Let me out! Let me out!\Let me out, I say!\Now then,\how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close!\What? response:	Damn. A malfunction, huh?
context: Let me out! Let me out!\Let me out, I say!\Now then,\how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close!\What?\Damn. A malfunction, huh? response:	Don't scare me like that.
context: Let me out, I say!\Now then,\how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close!\What?\Damn. A malfunction, huh?\Don't scare me like that. response:	We're close!
context: Now then,\how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close!\What?\Damn. A malfunction, huh?\Don't scare me like that.\We're close! response:	I think we'd better descend pretty soon.
context: how about I go find something to eat?\That's strange. A warning signal...\A battle power of 710? It's close!\What?\Damn. A malfunction, huh?\Don't scare me like that.\We're close!\I think we'd better descend pretty soon. response:	That won't work! We're better off going in like this.
context: That's strange. A warning signal...\A battle power of 710? It's close!\What?\Damn. A malfunction, huh?\Don't scare me like that.\We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this. response:	He's using a strange device.
context: A battle power of 710? It's close!\What?\Damn. A malfunction, huh?\Don't scare me like that.\We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device. response:	It appears to be able to clearly tell the position
context: What?\Damn. A malfunction, huh?\Don't scare me like that.\We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position response:	and even the strength of a target.
context: Damn. A malfunction, huh?\Don't scare me like that.\We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target. response:	You mean the fact that we're closing in on him, too?
context: Don't scare me like that.\We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too? response:	It stands to reason that he knows.
context: We're close!\I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows. response:	Really? Well, that means that the only thing we can do is attack him head-on!
context: I think we'd better descend pretty soon.\That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on! response:	Again!
context: That won't work! We're better off going in like this.\He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again! response:	Battle power 710.
context: He's using a strange device.\It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710. response:	Sure enough, it's malfunctioning.
context: It appears to be able to clearly tell the position\and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710.\Sure enough, it's malfunctioning. response:	There are two readings!
context: and even the strength of a target.\You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710.\Sure enough, it's malfunctioning.\There are two readings! response:	They're heading this way!
context: You mean the fact that we're closing in on him, too?\It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710.\Sure enough, it's malfunctioning.\There are two readings!\They're heading this way! response:	One... two... Battle powers 322 and 334...
context: It stands to reason that he knows.\Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710.\Sure enough, it's malfunctioning.\There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334... response:	One of them is the same as Kakarrot's ability.
context: Really? Well, that means that the only thing we can do is attack him head-on!\Again!\Battle power 710.\Sure enough, it's malfunctioning.\There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability. response:	But there's no way he would be coming here.
context: Again!\Battle power 710.\Sure enough, it's malfunctioning.\There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here. response:	He has to know that there's close to zero probability of him winning...
context: Battle power 710.\Sure enough, it's malfunctioning.\There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning... response:	And he doesn't know where I am in the first place.
context: Sure enough, it's malfunctioning.\There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place. response:	I've had it. It's completely malfunctioning.
context: There are two readings!\They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning. response:	It couldn't be!
context: They're heading this way!\One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be! response:	He's here!
context: One... two... Battle powers 322 and 334...\One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be!\He's here! response:	Then it's not a malfunction!?
context: One of them is the same as Kakarrot's ability.\But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be!\He's here!\Then it's not a malfunction!? response:	No! There's definitely some kind of mistake here!
context: But there's no way he would be coming here.\He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be!\He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here! response:	lt's not possible for a kid that small to have a battle power of 710!
context: He has to know that there's close to zero probability of him winning...\And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be!\He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710! response:	So that's it. You're the other one, huh?
context: And he doesn't know where I am in the first place.\I've had it. It's completely malfunctioning.\It couldn't be!\He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh? response:	How did you know about this place?
context: I've had it. It's completely malfunctioning.\It couldn't be!\He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place? response:	You expect us to tell you!?
context: It couldn't be!\He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!? response:	Very well. I'll ask you a different question, then.
context: He's here!\Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then. response:	What the hell have you come here for?
context: Then it's not a malfunction!?\No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for? response:	It's obvious, ain't it!? We've come to take my boy back!
context: No! There's definitely some kind of mistake here!\lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back! response:	It's Father!
context: lt's not possible for a kid that small to have a battle power of 710!\So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father! response:	Which means...
context: So that's it. You're the other one, huh?\How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means... response:	you don't want to join our group?
context: How did you know about this place?\You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means...\you don't want to join our group? response:	That's what I said!
context: You expect us to tell you!?\Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means...\you don't want to join our group?\That's what I said! response:	Oww!
context: Very well. I'll ask you a different question, then.\What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means...\you don't want to join our group?\That's what I said!\Oww! response:	Then you intend to defy your brother?
context: What the hell have you come here for?\It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means...\you don't want to join our group?\That's what I said!\Oww!\Then you intend to defy your brother? response:	I ain't got any brothers!
context: It's obvious, ain't it!? We've come to take my boy back!\It's Father!\Which means...\you don't want to join our group?\That's what I said!\Oww!\Then you intend to defy your brother?\I ain't got any brothers! response:	Kakarrot...
context: It's Father!\Which means...\you don't want to join our group?\That's what I said!\Oww!\Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot... response:	I thought you'd be more sharp-witted.
context: Which means...\you don't want to join our group?\That's what I said!\Oww!\Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted. response:	To think that you'd be as foolish as this... You disappoint me.
context: you don't want to join our group?\That's what I said!\Oww!\Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me. response:	Don't tell me you've made the ridiculous determination
context: That's what I said!\Oww!\Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination response:	that if the two of you attack me, you can win!
context: Oww!\Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win! response:	That's enough of your tiresome drivel.
context: Then you intend to defy your brother?\I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel. response:	Piccolo,
context: I ain't got any brothers!\Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo, response:	have you been training by wearing heavy stuff too?
context: Kakarrot...\I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too? response:	Yeah, just like you.
context: I thought you'd be more sharp-witted.\To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you. response:	It's been a long time since I felt this light.
context: To think that you'd be as foolish as this... You disappoint me.\Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light. response:	His battle power has gone up to 408!
context: Don't tell me you've made the ridiculous determination\that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408! response:	I see. You've been desperately training yourself too, huh?
context: that if the two of you attack me, you can win!\That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh? response:	Being able to fight together
context: That's enough of your tiresome drivel.\Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together response:	as allies for the time being like this is encouraging.
context: Piccolo,\have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging. response:	Maybe now we can have ourselves a little bit better of a fight.
context: have you been training by wearing heavy stuff too?\Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight. response:	Kakarrot is now at 416...
context: Yeah, just like you.\It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416... response:	You guys think you've gotten all stronger by doing that?
context: It's been a long time since I felt this light.\His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that? response:	What!?
context: His battle power has gone up to 408!\I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!? response:	Don't make me laugh!
context: I see. You've been desperately training yourself too, huh?\Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh! response:	To think that you would stroll on in here with that kind of power!
context: Being able to fight together\as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power! response:	This is what they mean when they say you don't know your place.
context: as allies for the time being like this is encouraging.\Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place. response:	Just being stronger in a fight ain't everything!
context: Maybe now we can have ourselves a little bit better of a fight.\Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything! response:	We've got ourselves a strategy!
context: Kakarrot is now at 416...\You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy! response:	I've had enough of your smart-mouth.
context: You guys think you've gotten all stronger by doing that?\What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth. response:	Kakarrot, I've decided not to let you join our group any longer.
context: What!?\Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer. response:	It appears you'd just slow us down, anyhow.
context: Don't make me laugh!\To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow. response:	You're a disgrace to our family! Die!!
context: To think that you would stroll on in here with that kind of power!\This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!! response:	H - he's fast! What speed!
context: This is what they mean when they say you don't know your place.\Just being stronger in a fight ain't everything!\We've got ourselves a strategy!\I've had enough of your smart-mouth.\Kakarrot, I've decided not to let you join our group any longer.\It appears you'd just slow us down, anyhow.\You're a disgrace to our family! Die!!\H - he's fast! What speed! response:	And he came at us head - on! For him to get behind us in that one moment!
