context: Stop! response:	Don't hurt Saizo any more!
context: Shut up already!\No, I want his cold piercing glare.\Princess?\No.\Princess!\Are you hurt?\Are you all right?\I want the smell of blood. response:	Sweet smells make me puke.
context: No, I want his cold piercing glare.\Princess?\No.\Princess!\Are you hurt?\Are you all right?\I want the smell of blood.\Sweet smells make me puke. response:	He smells of blood and rust and dust.
context: Princess?\No.\Princess!\Are you hurt?\Are you all right?\I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust. response:	Princess?
context: No.\Princess!\Are you hurt?\Are you all right?\I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust.\Princess? response:	He has the petrifying gaze of a killer.
context: Princess!\Are you hurt?\Are you all right?\I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer. response:	Wh-What are you...?
context: Are you hurt?\Are you all right?\I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer.\Wh-What are you...? response:	I want supreme pleasure.
context: Are you all right?\I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure. response:	The primal rush of killing one another!
context: I want the smell of blood.\Sweet smells make me puke.\He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another! response:	Princess, wait.
context: Sweet smells make me puke.\He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another!\Princess, wait. response:	I'm not your princess!
context: He smells of blood and rust and dust.\Princess?\He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another!\Princess, wait.\I'm not your princess! response:	That was a disgusting trick, you bastard.
context: Princess?\He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another!\Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard. response:	I'll kill you! I'll freaking kill you!
context: He has the petrifying gaze of a killer.\Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another!\Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you! response:	Hitotsume no Muraji!
context: Wh-What are you...?\I want supreme pleasure.\The primal rush of killing one another!\Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji! response:	You can't escape, you moron.
context: I want supreme pleasure.\The primal rush of killing one another!\Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron. response:	No one has broken my illusion before.
context: The primal rush of killing one another!\Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before. response:	Seduced by a fairyland you've never experienced before,
context: Princess, wait.\I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before, response:	in the warm embrace of your lover,
context: I'm not your princess!\That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover, response:	deep in a world of happiness until you die.
context: That was a disgusting trick, you bastard.\I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die. response:	I gave you ultimate pleasure.
context: I'll kill you! I'll freaking kill you!\Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure. response:	Where's the pleasure in that?
context: Hitotsume no Muraji!\You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that? response:	That lukewarm experience will never give me what I want!
context: You can't escape, you moron.\No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want! response:	I live for violence.
context: No one has broken my illusion before.\Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence. response:	Fighting, short of breath, blood flowing, and mind numb!
context: Seduced by a fairyland you've never experienced before,\in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb! response:	This very moment!
context: in the warm embrace of your lover,\deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment! response:	This is the best.
context: deep in a world of happiness until you die.\I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best. response:	I see. You like pain, do you?
context: I gave you ultimate pleasure.\Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best.\I see. You like pain, do you? response:	Then I will give it to you.
context: Where's the pleasure in that?\That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best.\I see. You like pain, do you?\Then I will give it to you. response:	I, Iga Ninja Kuchiba, shall make my move.
context: That lukewarm experience will never give me what I want!\I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best.\I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move. response:	Iga Ninja Technique.
context: I live for violence.\Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best.\I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique. response:	Chimatsuri.
context: Fighting, short of breath, blood flowing, and mind numb!\This very moment!\This is the best.\I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri. response:	I can't catch anything but small ones.
context: This very moment!\This is the best.\I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones. response:	These wouldn't even be good with drink.
context: This is the best.\I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink. response:	Are you gonna catch some for me, Veronica?
context: I see. You like pain, do you?\Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica? response:	All right. By the time you get back, I'll...
context: Then I will give it to you.\I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll... response:	Got a big one.
context: I, Iga Ninja Kuchiba, shall make my move.\Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one. response:	Gotcha.
context: Iga Ninja Technique.\Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one.\Gotcha. response:	All right.
context: Chimatsuri.\I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one.\Gotcha.\All right. response:	Ice?
context: I can't catch anything but small ones.\These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one.\Gotcha.\All right.\Ice? response:	Nice to meet you, brave number ten.
context: These wouldn't even be good with drink.\Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one.\Gotcha.\All right.\Ice?\Nice to meet you, brave number ten. response:	I am Anastasia. It's a pleasure to meet you.
context: Are you gonna catch some for me, Veronica?\All right. By the time you get back, I'll...\Got a big one.\Gotcha.\All right.\Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you. response:	I've been looking forward to meeting you.
context: All right. By the time you get back, I'll...\Got a big one.\Gotcha.\All right.\Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you. response:	The busty blonde.
context: Got a big one.\Gotcha.\All right.\Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde. response:	You're just like he described.
context: Gotcha.\All right.\Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde.\You're just like he described. response:	Now we can finally get to know each other.
context: All right.\Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde.\You're just like he described.\Now we can finally get to know each other. response:	We'll be saying good bye soon.
context: Ice?\Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde.\You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon. response:	You're no fun.
context: Nice to meet you, brave number ten.\I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde.\You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun. response:	Why don't we give it a go?
context: I am Anastasia. It's a pleasure to meet you.\I've been looking forward to meeting you.\The busty blonde.\You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun.\Why don't we give it a go? response:	Just try touching me.
context: I've been looking forward to meeting you.\The busty blonde.\You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun.\Why don't we give it a go?\Just try touching me. response:	You'll freeze.
context: The busty blonde.\You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun.\Why don't we give it a go?\Just try touching me.\You'll freeze. response:	Damn, it's cold.
context: You're just like he described.\Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun.\Why don't we give it a go?\Just try touching me.\You'll freeze.\Damn, it's cold. response:	Are you cold on the inside, too?
context: Now we can finally get to know each other.\We'll be saying good bye soon.\You're no fun.\Why don't we give it a go?\Just try touching me.\You'll freeze.\Damn, it's cold.\Are you cold on the inside, too? response:	I wonder.
context: We'll be saying good bye soon.\You're no fun.\Why don't we give it a go?\Just try touching me.\You'll freeze.\Damn, it's cold.\Are you cold on the inside, too?\I wonder. response:	You're cold all over.
context: You're no fun.\Why don't we give it a go?\Just try touching me.\You'll freeze.\Damn, it's cold.\Are you cold on the inside, too?\I wonder.\You're cold all over. response:	That's right.
context: Why don't we give it a go?\Just try touching me.\You'll freeze.\Damn, it's cold.\Are you cold on the inside, too?\I wonder.\You're cold all over.\That's right. response:	Iga Ice Technique!
context: Just try touching me.\You'll freeze.\Damn, it's cold.\Are you cold on the inside, too?\I wonder.\You're cold all over.\That's right.\Iga Ice Technique! response:	Sohyoga!
context: You'll freeze.\Damn, it's cold.\Are you cold on the inside, too?\I wonder.\You're cold all over.\That's right.\Iga Ice Technique!\Sohyoga! response:	That was easy.
context: Damn, it's cold.\Are you cold on the inside, too?\I wonder.\You're cold all over.\That's right.\Iga Ice Technique!\Sohyoga!\That was easy. response:	Sorry, but you can't beat my spear.
context: Are you cold on the inside, too?\I wonder.\You're cold all over.\That's right.\Iga Ice Technique!\Sohyoga!\That was easy.\Sorry, but you can't beat my spear. response:	Iga Ice Technique.
context: I wonder.\You're cold all over.\That's right.\Iga Ice Technique!\Sohyoga!\That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique. response:	Gokuhyojun!
context: You're cold all over.\That's right.\Iga Ice Technique!\Sohyoga!\That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun! response:	That was close.
context: That's right.\Iga Ice Technique!\Sohyoga!\That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun!\That was close. response:	Why are you trying to kill me, anyway?
context: Iga Ice Technique!\Sohyoga!\That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun!\That was close.\Why are you trying to kill me, anyway? response:	Because you're a brave.
context: Sohyoga!\That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun!\That was close.\Why are you trying to kill me, anyway?\Because you're a brave. response:	That's just what that lord said.
context: That was easy.\Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun!\That was close.\Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said. response:	I've got nothing to do with it.
context: Sorry, but you can't beat my spear.\Iga Ice Technique.\Gokuhyojun!\That was close.\Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said.\I've got nothing to do with it. response:	No matter!
context: Iga Ice Technique.\Gokuhyojun!\That was close.\Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said.\I've got nothing to do with it.\No matter! response:	Seriously?
context: Gokuhyojun!\That was close.\Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said.\I've got nothing to do with it.\No matter!\Seriously? response:	I've been ordered to kill all the braves!
context: That was close.\Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said.\I've got nothing to do with it.\No matter!\Seriously?\I've been ordered to kill all the braves! response:	Are your orders that important to you?
context: Why are you trying to kill me, anyway?\Because you're a brave.\That's just what that lord said.\I've got nothing to do with it.\No matter!\Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you? response:	You're quite a talkative brave, aren't you?
context: Because you're a brave.\That's just what that lord said.\I've got nothing to do with it.\No matter!\Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you? response:	Why don't you shut your mouth?
context: That's just what that lord said.\I've got nothing to do with it.\No matter!\Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth? response:	If you're gonna keep me quiet, I prefer you use your lips.
context: I've got nothing to do with it.\No matter!\Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips. response:	After all, we're just a guy and a girl.
context: No matter!\Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl. response:	I'll kill you.
context: Seriously?\I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you. response:	Just die already!
context: I've been ordered to kill all the braves!\Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you.\Just die already! response:	What a request.
context: Are your orders that important to you?\You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you.\Just die already!\What a request. response:	I'm afraid I can't do that, even for a woman.
context: You're quite a talkative brave, aren't you?\Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you.\Just die already!\What a request.\I'm afraid I can't do that, even for a woman. response:	I've got big plans for myself.
context: Why don't you shut your mouth?\If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you.\Just die already!\What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself. response:	Shut up!
context: If you're gonna keep me quiet, I prefer you use your lips.\After all, we're just a guy and a girl.\I'll kill you.\Just die already!\What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up! response:	What a terrible face you're making.
context: After all, we're just a guy and a girl.\I'll kill you.\Just die already!\What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up!\What a terrible face you're making. response:	What?
context: I'll kill you.\Just die already!\What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up!\What a terrible face you're making.\What? response:	Your frozen face is melting.
context: Just die already!\What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up!\What a terrible face you're making.\What?\Your frozen face is melting. response:	Damn it.
context: What a request.\I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up!\What a terrible face you're making.\What?\Your frozen face is melting.\Damn it. response:	Kill him. Kill him!
context: I'm afraid I can't do that, even for a woman.\I've got big plans for myself.\Shut up!\What a terrible face you're making.\What?\Your frozen face is melting.\Damn it.\Kill him. Kill him! response:	That's how you've always lived.
context: I've got big plans for myself.\Shut up!\What a terrible face you're making.\What?\Your frozen face is melting.\Damn it.\Kill him. Kill him!\That's how you've always lived. response:	It's all for your dream.
context: Shut up!\What a terrible face you're making.\What?\Your frozen face is melting.\Damn it.\Kill him. Kill him!\That's how you've always lived.\It's all for your dream. response:	Mama?
context: What a terrible face you're making.\What?\Your frozen face is melting.\Damn it.\Kill him. Kill him!\That's how you've always lived.\It's all for your dream.\Mama? response:	I've struggled to survive since I ended up in this country.
context: What?\Your frozen face is melting.\Damn it.\Kill him. Kill him!\That's how you've always lived.\It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country. response:	To take back my proof of royalty and return to my homeland...
context: Your frozen face is melting.\Damn it.\Kill him. Kill him!\That's how you've always lived.\It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland... response:	Everything I've done, I did for my dream.
context: Damn it.\Kill him. Kill him!\That's how you've always lived.\It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream. response:	Isn't this wonderful?
context: Kill him. Kill him!\That's how you've always lived.\It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful? response:	If you want it, let's make a deal.
context: That's how you've always lived.\It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal. response:	I haven't wavered until now.
context: It's all for your dream.\Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now. response:	I lived only to accomplish my own goals.
context: Mama?\I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals. response:	Alone in this cold, bloody, dark world.
context: I've struggled to survive since I ended up in this country.\To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world. response:	I never looked for warmth or comfort.
context: To take back my proof of royalty and return to my homeland...\Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort. response:	No such thing exists.
context: Everything I've done, I did for my dream.\Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists. response:	Ana!
context: Isn't this wonderful?\If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists.\Ana! response:	How cute.
context: If you want it, let's make a deal.\I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists.\Ana!\How cute. response:	There's no such thing as a cozy home.
context: I haven't wavered until now.\I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists.\Ana!\How cute.\There's no such thing as a cozy home. response:	It's all a lie.
context: I lived only to accomplish my own goals.\Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists.\Ana!\How cute.\There's no such thing as a cozy home.\It's all a lie. response:	Let's end this.
context: Alone in this cold, bloody, dark world.\I never looked for warmth or comfort.\No such thing exists.\Ana!\How cute.\There's no such thing as a cozy home.\It's all a lie.\Let's end this. response:	You've put up quite a fight, but you cannot win.
context: I never looked for warmth or comfort.\No such thing exists.\Ana!\How cute.\There's no such thing as a cozy home.\It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win. response:	The Ice told us everything she knew about your abilities.
context: No such thing exists.\Ana!\How cute.\There's no such thing as a cozy home.\It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities. response:	Even though she called herself a brave, she hated you all.
context: Ana!\How cute.\There's no such thing as a cozy home.\It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all. response:	He's lying! Don't listen to him!
context: How cute.\There's no such thing as a cozy home.\It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him! response:	It's up to you whether or not you believe me,
context: There's no such thing as a cozy home.\It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me, response:	but if you think about it, you'll understand.
context: It's all a lie.\Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand. response:	The way you pretend you're a family is disgusting.
context: Let's end this.\You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting. response:	I'm sure she said something like that.
context: You've put up quite a fight, but you cannot win.\The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that. response:	Ana.
context: The Ice told us everything she knew about your abilities.\Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana. response:	Isanami, don't listen to him!
context: Even though she called herself a brave, she hated you all.\He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana.\Isanami, don't listen to him! response:	Where do you think you're looking?
context: He's lying! Don't listen to him!\It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana.\Isanami, don't listen to him!\Where do you think you're looking? response:	Saizo!
context: It's up to you whether or not you believe me,\but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana.\Isanami, don't listen to him!\Where do you think you're looking?\Saizo! response:	She joined us when she realized it was a lie.
context: but if you think about it, you'll understand.\The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana.\Isanami, don't listen to him!\Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie. response:	Those who don't see it are destined to die...
context: The way you pretend you're a family is disgusting.\I'm sure she said something like that.\Ana.\Isanami, don't listen to him!\Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die... response:	Whoops.
context: I'm sure she said something like that.\Ana.\Isanami, don't listen to him!\Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops. response:	You're merciless.
context: Ana.\Isanami, don't listen to him!\Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops.\You're merciless. response:	Ow!
context: Isanami, don't listen to him!\Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops.\You're merciless.\Ow! response:	My leg!
context: Where do you think you're looking?\Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops.\You're merciless.\Ow!\My leg! response:	That was close.
context: Saizo!\She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops.\You're merciless.\Ow!\My leg!\That was close. response:	I won't miss this time.
context: She joined us when she realized it was a lie.\Those who don't see it are destined to die...\Whoops.\You're merciless.\Ow!\My leg!\That was close.\I won't miss this time. response:	Hey, come on now.
context: Those who don't see it are destined to die...\Whoops.\You're merciless.\Ow!\My leg!\That was close.\I won't miss this time.\Hey, come on now. response:	Let's stop this already.
context: Whoops.\You're merciless.\Ow!\My leg!\That was close.\I won't miss this time.\Hey, come on now.\Let's stop this already. response:	Begging for your life?
context: You're merciless.\Ow!\My leg!\That was close.\I won't miss this time.\Hey, come on now.\Let's stop this already.\Begging for your life? response:	You're an unbelievably pathetic man.
context: Ow!\My leg!\That was close.\I won't miss this time.\Hey, come on now.\Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man. response:	I don't plan to die here.
context: My leg!\That was close.\I won't miss this time.\Hey, come on now.\Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here. response:	I've got people and the whole wide ocean waiting for me.
context: That was close.\I won't miss this time.\Hey, come on now.\Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me. response:	I bet there's plenty of good women out there, too.
context: I won't miss this time.\Hey, come on now.\Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too. response:	Sorry, but you're going to die here.
context: Hey, come on now.\Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here. response:	It's your fate.
context: Let's stop this already.\Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate. response:	My fate?
context: Begging for your life?\You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate.\My fate? response:	You can't tie me down with that!
context: You're an unbelievably pathetic man.\I don't plan to die here.\I've got people and the whole wide ocean waiting for me.\I bet there's plenty of good women out there, too.\Sorry, but you're going to die here.\It's your fate.\My fate?\You can't tie me down with that! response:	I don't take orders from anyone!
