context: Well done, everyone. I have been expecting you. response:	Thank you very much, Freeza- sama. Please tell us what our mission is this time.
context: W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you. response:	You guys may be able to search for people with your Scouters,
context: Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters, response:	but I doubt you can search for these.
context: -Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these. response:	What of it?
context: Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it? response:	This is what!
context: It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it?\This is what! response:	I'm back.
context: Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it?\This is what!\I'm back. response:	That's too bad. It looked like you were trying to throw it far away.
context: Although, even if you do hand it over quietly,\we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it?\This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away. response:	Unfortunately for you, Butta's speed is the fastest in the universe.
context: we have no intention of turning a blind eye to you.\You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it?\This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe. response:	T- that's impossible!
context: You guys may be able to search for people with your Scouters,\but I doubt you can search for these.\What of it?\This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible! response:	Now then, the other one...
context: but I doubt you can search for these.\What of it?\This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one... response:	Destroy it!
context: What of it?\This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one...\Destroy it! response:	Damn it all!
context: This is what!\I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one...\Destroy it!\Damn it all! response:	The Dragon Ball...
context: I'm back.\That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one...\Destroy it!\Damn it all!\The Dragon Ball... response:	H- how?
context: That's too bad. It looked like you were trying to throw it far away.\Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one...\Destroy it!\Damn it all!\The Dragon Ball...\H- how? response:	So the rumors were true, were they?
context: Unfortunately for you, Butta's speed is the fastest in the universe.\T- that's impossible!\Now then, the other one...\Destroy it!\Damn it all!\The Dragon Ball...\H- how?\So the rumors were true, were they? response:	What do you mean, rumors?
context: T- that's impossible!\Now then, the other one...\Destroy it!\Damn it all!\The Dragon Ball...\H- how?\So the rumors were true, were they?\What do you mean, rumors? response:	They say that Ghurd is able to control and stop time,
context: Now then, the other one...\Destroy it!\Damn it all!\The Dragon Ball...\H- how?\So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time, response:	momentary though it may be.
context: Destroy it!\Damn it all!\The Dragon Ball...\H- how?\So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be. response:	T- that can't be true...
context: Damn it all!\The Dragon Ball...\H- how?\So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true... response:	It's true, all right.
context: The Dragon Ball...\H- how?\So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true...\It's true, all right. response:	Well then, that makes all of them.
context: H- how?\So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true...\It's true, all right.\Well then, that makes all of them. response:	Now, for your turn. We're going to give you plenty of tender loving care.
context: So the rumors were true, were they?\What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true...\It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care. response:	And when he says tender loving care,
context: What do you mean, rumors?\They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true...\It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care, response:	he doesn't mean patting your head, and tossing you up in the air.
context: They say that Ghurd is able to control and stop time,\momentary though it may be.\T- that can't be true...\It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air. response:	He means we're going to hurt you.
context: momentary though it may be.\T- that can't be true...\It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you. response:	You don't have to explain that!
context: T- that can't be true...\It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that! response:	Vegeta, is fighting them the only thing we can do?
context: It's true, all right.\Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do? response:	You must have realized running away would be futile.
context: Well then, that makes all of them.\Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile. response:	Having you guys around is better than nothing.
context: Now, for your turn. We're going to give you plenty of tender loving care.\And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing. response:	Even knowing the extent of your power
context: And when he says tender loving care,\he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power response:	you showed me on Earth will be useless, I'll still be counting on it.
context: he doesn't mean patting your head, and tossing you up in the air.\He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it. response:	I'll take Vegeta.
context: He means we're going to hurt you.\You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta. response:	You guys decide who gets the other two
context: You don't have to explain that!\Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two response:	unknown pipsqueaks by rock-paper-scissors.
context: Vegeta, is fighting them the only thing we can do?\You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors. response:	-Why do you always do this? -That's not fair!
context: You must have realized running away would be futile.\Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair! response:	-You can't do that, Commander Ginyu! -Yeah!
context: Having you guys around is better than nothing.\Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah! response:	You took the tastiest piece last time, too, didn't you!?
context: Even knowing the extent of your power\you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!? response:	You can't do that!
context: you showed me on Earth will be useless, I'll still be counting on it.\I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that! response:	Let me have him! I owe him one!
context: I'll take Vegeta.\You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one! response:	I guess I've got no choice.
context: You guys decide who gets the other two\unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one!\I guess I've got no choice. response:	All right then, I'll take the Dragon Balls to Freeza- sama.
context: unknown pipsqueaks by rock-paper-scissors.\-Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama. response:	You guys take care of the rest on your own.
context: -Why do you always do this? -That's not fair!\-You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own. response:	Hooray!
context: -You can't do that, Commander Ginyu! -Yeah!\You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray! response:	I'm nice to you, aren't I?
context: You took the tastiest piece last time, too, didn't you!?\You can't do that!\Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I? response:	Yeah, you're the best!
context: You can't do that!\Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I?\Yeah, you're the best! response:	Well, first will be Vegeta,
context: Let me have him! I owe him one!\I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta, response:	second will be...
context: I guess I've got no choice.\All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta,\second will be... response:	Those guys are a set.
context: All right then, I'll take the Dragon Balls to Freeza- sama.\You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta,\second will be...\Those guys are a set. response:	All right, let's go!
context: You guys take care of the rest on your own.\Hooray!\I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta,\second will be...\Those guys are a set.\All right, let's go! response:	Rock, paper, scissors!
context: Hooray!\I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta,\second will be...\Those guys are a set.\All right, let's go!\Rock, paper, scissors! response:	Tie, go again!... Tie, go again!...
context: I'm nice to you, aren't I?\Yeah, you're the best!\Well, first will be Vegeta,\second will be...\Those guys are a set.\All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!... response:	Couldn't we get away now?
context: Yeah, you're the best!\Well, first will be Vegeta,\second will be...\Those guys are a set.\All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now? response:	Hooray! I get Vegeta!
context: Well, first will be Vegeta,\second will be...\Those guys are a set.\All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta! response:	D- damn it!
context: second will be...\Those guys are a set.\All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it! response:	Cheer up. It's better than him not getting killed at all.
context: Those guys are a set.\All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all. response:	Understand, that's how it goes. But I'll let you strike the finishing blow.
context: All right, let's go!\Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow. response:	Now Freeza- sama will be able to gain youth immortal.
context: Rock, paper, scissors!\Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal. response:	I won't let you have them!
context: Tie, go again!... Tie, go again!...\Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them! response:	Stop! Don't waste your energy!
context: Couldn't we get away now?\Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy! response:	Right now, concentrate only on defeating these guys,
context: Hooray! I get Vegeta!\D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys, response:	instead of worrying about him, you idiot!
context: D- damn it!\Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot! response:	Hey, come here a minute.
context: Cheer up. It's better than him not getting killed at all.\Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute. response:	Oh, oh, a strategy meeting, huh?
context: Understand, that's how it goes. But I'll let you strike the finishing blow.\Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh? response:	That Ghurd guy that you'll be fighting has a low battle power,
context: Now Freeza- sama will be able to gain youth immortal.\I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power, response:	but he uses supernatural abilities.
context: I won't let you have them!\Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities. response:	Don't let your guard down.
context: Stop! Don't waste your energy!\Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down. response:	Yeah.
context: Right now, concentrate only on defeating these guys,\instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down.\Yeah. response:	By the way, is Kakarrot really not here on this planet?
context: instead of worrying about him, you idiot!\Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet? response:	No, he's not. But he is headed here.
context: Hey, come here a minute.\Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here. response:	Hurry and get here! He may be an infuriating bastard,
context: Oh, oh, a strategy meeting, huh?\That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard, response:	but if we can get another ally, it will add some to our potential for battle.
context: That Ghurd guy that you'll be fighting has a low battle power,\but he uses supernatural abilities.\Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle. response:	Why in the world did we even come here to this faraway place?
context: but he uses supernatural abilities.\Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place? response:	Far from being able to get the Dragon Balls together,
context: Don't let your guard down.\Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together, response:	we're instead letting the bad guys get eternal life! Darn it!
context: Yeah.\By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it! response:	Huh? This is disappointing, huh? Ghurd, you go first.
context: By the way, is Kakarrot really not here on this planet?\No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first. response:	Tch... What am I, some kind of battlefield garbage-collector?
context: No, he's not. But he is headed here.\Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector? response:	What can I do? But ReaCoom, make sure you really save some for me!
context: Hurry and get here! He may be an infuriating bastard,\but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me! response:	They're the same ludicrous bunch as ever!
context: but if we can get another ally, it will add some to our potential for battle.\Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever! response:	Gohan, remember the image training we did on the spaceship.
context: Why in the world did we even come here to this faraway place?\Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship. response:	This looks like it's going to be over in no time.
context: Far from being able to get the Dragon Balls together,\we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship.\This looks like it's going to be over in no time. response:	All right, let's go!
context: we're instead letting the bad guys get eternal life! Darn it!\Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship.\This looks like it's going to be over in no time.\All right, let's go! response:	Release your Ki!
context: Huh? This is disappointing, huh? Ghurd, you go first.\Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship.\This looks like it's going to be over in no time.\All right, let's go!\Release your Ki! response:	What's this?
context: Tch... What am I, some kind of battlefield garbage-collector?\What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship.\This looks like it's going to be over in no time.\All right, let's go!\Release your Ki!\What's this? response:	A full-power leadoff attack...
context: What can I do? But ReaCoom, make sure you really save some for me!\They're the same ludicrous bunch as ever!\Gohan, remember the image training we did on the spaceship.\This looks like it's going to be over in no time.\All right, let's go!\Release your Ki!\What's this?\A full-power leadoff attack... response:	A fierce, all-out battle, the likes of which had not been seen before, had begun at last.
