context: 29th Suimei University of the Arts High School Graduation Ceremony response:	Yeah, everything's fine here.
context: Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true. response:	Misaki-senpai...
context: One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai... response:	Ryunosuke?
context: People would say good morning in the morning,\and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai...\Ryunosuke? response:	In particular, this last year...
context: and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai...\Ryunosuke?\In particular, this last year... response:	has been a chain of events I could only describe as a dream.
context: When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai...\Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream. response:	I made new friends this spring.
context: I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai...\Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring. response:	The hotpot parties we threw for special events,
context: The dream I had when I first arrived at Sakura Hall...\had finally come true.\Misaki-senpai...\Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events, response:	only two or three times in previous years,
context: had finally come true.\Misaki-senpai...\Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years, response:	became more and more frequent.
context: Misaki-senpai...\Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent. response:	Before I knew it, there were times when we were eating hotpot every week.
context: Ryunosuke?\In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week. response:	Every time we gathered around that pot to eat,
context: In particular, this last year...\has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat, response:	I wondered if this was what happiness tasted like.
context: has been a chain of events I could only describe as a dream.\I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like. response:	Misaki...
context: I made new friends this spring.\The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki... response:	Over the summer, we sneaked into the school pool.
context: The hotpot parties we threw for special events,\only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool. response:	Playing in our swimsuits,
context: only two or three times in previous years,\became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits, response:	getting caught by the security guard, and running away...
context: became more and more frequent.\Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away... response:	Everyone kept up with me as I ran ahead of them.
context: Before I knew it, there were times when we were eating hotpot every week.\Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them. response:	I will never forget the fireworks that exploded above us that night.
context: Every time we gathered around that pot to eat,\I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night. response:	At the culture festival in the fall,
context: I wondered if this was what happiness tasted like.\Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall, response:	Sakura Hall put together an interactive show.
context: Misaki...\Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show. response:	I had only wished for friends.
context: Over the summer, we sneaked into the school pool.\Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends. response:	I had never even considered...
context: Playing in our swimsuits,\getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered... response:	working together with others to make something.
context: getting caught by the security guard, and running away...\Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered...\working together with others to make something. response:	Milky Way Cat Nyapollon is the most wonderful thing I have ever created...
context: Everyone kept up with me as I ran ahead of them.\I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created... response:	and the greatest work of Sakura Hall!
context: I will never forget the fireworks that exploded above us that night.\At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall! response:	In the winter, we had some disagreements,
context: At the culture festival in the fall,\Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements, response:	and our relationships became strained.
context: Sakura Hall put together an interactive show.\I had only wished for friends.\I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained. response:	Our days weren't always so sunny.
context: I had only wished for friends.\I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny. response:	There were times when we tried to run away...
context: I had never even considered...\working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away... response:	and abandon everything because it hurt so much.
context: working together with others to make something.\Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much. response:	But, because of those rainy days,
context: Milky Way Cat Nyapollon is the most wonderful thing I have ever created...\and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days, response:	I believe the small seeds of emotion sprouted...
context: and the greatest work of Sakura Hall!\In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted... response:	and bloomed into new relationships.
context: In the winter, we had some disagreements,\and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships. response:	Chihiro-sensei.
context: and our relationships became strained.\Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei. response:	I know you've always worked hard to support us...
context: Our days weren't always so sunny.\There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us... response:	without placing any burdens on us.
context: There were times when we tried to run away...\and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us. response:	You are like a sister and a friend.
context: and abandon everything because it hurt so much.\But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend. response:	You are my beloved teacher.
context: But, because of those rainy days,\I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher. response:	Mashiron.
context: I believe the small seeds of emotion sprouted...\and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher.\Mashiron. response:	I loved your eyes.
context: and bloomed into new relationships.\Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher.\Mashiron.\I loved your eyes. response:	It was love at first sight.
context: Chihiro-sensei.\I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher.\Mashiron.\I loved your eyes.\It was love at first sight. response:	Since the very beginning,
context: I know you've always worked hard to support us...\without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher.\Mashiron.\I loved your eyes.\It was love at first sight.\Since the very beginning, response:	you looked at me the same way you looked at everyone else.
context: without placing any burdens on us.\You are like a sister and a friend.\You are my beloved teacher.\Mashiron.\I loved your eyes.\It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else. response:	I hope I can always be proud...
context: You are like a sister and a friend.\You are my beloved teacher.\Mashiron.\I loved your eyes.\It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud... response:	of the me that I see in your eyes.
context: You are my beloved teacher.\Mashiron.\I loved your eyes.\It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes. response:	Mashiron, I look up to you.
context: Mashiron.\I loved your eyes.\It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you. response:	Misaki...
context: I loved your eyes.\It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki... response:	Nanamin!
context: It was love at first sight.\Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki...\Nanamin! response:	Since you provided voice acting for my work,
context: Since the very beginning,\you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki...\Nanamin!\Since you provided voice acting for my work, response:	I'd hoped you would become the last member of Sakura Hall.
context: you looked at me the same way you looked at everyone else.\I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki...\Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall. response:	You made my wish come true.
context: I hope I can always be proud...\of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki...\Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true. response:	Senpai...
context: of the me that I see in your eyes.\Mashiron, I look up to you.\Misaki...\Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai... response:	Dragon!
context: Mashiron, I look up to you.\Misaki...\Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai...\Dragon! response:	You've been hurt by your previous friendships.
context: Misaki...\Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai...\Dragon!\You've been hurt by your previous friendships. response:	You do everything you can to shield your heart.
context: Nanamin!\Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai...\Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart. response:	There were times I felt you and I were the same.
context: Since you provided voice acting for my work,\I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai...\Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same. response:	You are my friend.
context: I'd hoped you would become the last member of Sakura Hall.\You made my wish come true.\Senpai...\Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend. response:	If you feel the same way about me, even a little, I'm happy.
context: You made my wish come true.\Senpai...\Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy. response:	Please continue being friends with Rittan!
context: Senpai...\Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan! response:	Finally, kouhai-kun.
context: Dragon!\You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun. response:	You always listened to everything I had to say.
context: You've been hurt by your previous friendships.\You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say. response:	You even stayed up all night playing games with me.
context: You do everything you can to shield your heart.\There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me. response:	No matter what I did to you, you never left my side.
context: There were times I felt you and I were the same.\You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side. response:	It made me so happy, I couldn't contain my excitement.
context: You are my friend.\If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement. response:	I'm sorry for all the trouble I've caused you.
context: If you feel the same way about me, even a little, I'm happy.\Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you. response:	To everyone I've met at Suimei...
context: Please continue being friends with Rittan!\Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei... response:	To all the teachers who supported me,
context: Finally, kouhai-kun.\You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me, response:	and all the people who live in this town...
context: You always listened to everything I had to say.\You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town... response:	And finally...
context: You even stayed up all night playing games with me.\No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town...\And finally... response:	To the best friends I made at Sakura Hall...
context: No matter what I did to you, you never left my side.\It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall... response:	I want to leave you with these words...
context: It made me so happy, I couldn't contain my excitement.\I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words... response:	Thank you for staying with me until this day...
context: I'm sorry for all the trouble I've caused you.\To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day... response:	I thank you more than words can express!
context: To everyone I've met at Suimei...\To all the teachers who supported me,\and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express! response:	With both my hands full of happiness, today...
context: To all the teachers who supported me,\and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today... response:	I graduate from Suimei High.
context: and all the people who live in this town...\And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High. response:	But...
context: And finally...\To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High.\But... response:	Sakura Hall is currently in danger of being torn down!
context: To the best friends I made at Sakura Hall...\I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down! response:	Please don't let them tear down our beloved Sakura Hall!
context: I want to leave you with these words...\Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall! response:	Please! Lend us your strength!
context: Thank you for staying with me until this day...\I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength! response:	Please!
context: I thank you more than words can express!\With both my hands full of happiness, today...\I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please! response:	Don't take our Sakura Hall away from us!
context: With both my hands full of happiness, today...\I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us! response:	Misaki-senpai...
context: I graduate from Suimei High.\But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us!\Misaki-senpai... response:	Please! Don't take our Sakura Hall away from us!
context: But...\Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us! response:	Please...
context: Sakura Hall is currently in danger of being torn down!\Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please... response:	She hadn't given up yet...
context: Please don't let them tear down our beloved Sakura Hall!\Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet... response:	Lend us your strength.
context: Please! Lend us your strength!\Please!\Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet...\Lend us your strength. response:	Senpai...
context: Please!\Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet...\Lend us your strength.\Senpai... response:	That's enough!
context: Don't take our Sakura Hall away from us!\Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet...\Lend us your strength.\Senpai...\That's enough! response:	Don't think you can say whatever you like!
context: Misaki-senpai...\Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet...\Lend us your strength.\Senpai...\That's enough!\Don't think you can say whatever you like! response:	What are you doing? Return to your seat!
context: Please! Don't take our Sakura Hall away from us!\Please...\She hadn't given up yet...\Lend us your strength.\Senpai...\That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat! response:	We're not just doing as we please.
context: Please...\She hadn't given up yet...\Lend us your strength.\Senpai...\That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please. response:	Principal, you know that the response speech...
context: She hadn't given up yet...\Lend us your strength.\Senpai...\That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech... response:	at the Suimei High graduation ceremony is given by the top student.
context: Lend us your strength.\Senpai...\That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student. response:	Yes, but no one said...
context: Senpai...\That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said... response:	you could use the response to make a personal statement!
context: That's enough!\Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement! response:	Not only that,
context: Don't think you can say whatever you like!\What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement!\Not only that, response:	but the former Student Council President Tatebayashi should be the one...
context: What are you doing? Return to your seat!\We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one... response:	But we turned in our manuscript.
context: We're not just doing as we please.\Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript. response:	Tatebayashi-kun should have discussed...
context: Principal, you know that the response speech...\at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed... response:	changing the manuscript with you this morning.
context: at the Suimei High graduation ceremony is given by the top student.\Yes, but no one said...\you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning. response:	Of course, since it's such an important document,
context: Yes, but no one said...\you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document, response:	Response
context: you could use the response to make a personal statement!\Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document,\Response response:	I'm sure you don't mean to say that...
context: Not only that,\but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document,\Response\I'm sure you don't mean to say that... response:	you couldn't be bothered to read it, right?
context: but the former Student Council President Tatebayashi should be the one...\But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document,\Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right? response:	What?!
context: But we turned in our manuscript.\Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document,\Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?! response:	What are you doing?
context: Tatebayashi-kun should have discussed...\changing the manuscript with you this morning.\Of course, since it's such an important document,\Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?!\What are you doing? response:	Get her off the stage!
context: changing the manuscript with you this morning.\Of course, since it's such an important document,\Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?!\What are you doing?\Get her off the stage! response:	What?
context: Of course, since it's such an important document,\Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?!\What are you doing?\Get her off the stage!\What? response:	Y-Yes, sir!
context: Response\I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?!\What are you doing?\Get her off the stage!\What?\Y-Yes, sir! response:	Kamiigusa!
context: I'm sure you don't mean to say that...\you couldn't be bothered to read it, right?\What?!\What are you doing?\Get her off the stage!\What?\Y-Yes, sir!\Kamiigusa! response:	Get down from there!
context: you couldn't be bothered to read it, right?\What?!\What are you doing?\Get her off the stage!\What?\Y-Yes, sir!\Kamiigusa!\Get down from there! response:	Misaki!
context: What?!\What are you doing?\Get her off the stage!\What?\Y-Yes, sir!\Kamiigusa!\Get down from there!\Misaki! response:	Misaki-senpai!
context: What are you doing?\Get her off the stage!\What?\Y-Yes, sir!\Kamiigusa!\Get down from there!\Misaki!\Misaki-senpai! response:	We're the ones who are grateful!
context: Get her off the stage!\What?\Y-Yes, sir!\Kamiigusa!\Get down from there!\Misaki!\Misaki-senpai!\We're the ones who are grateful! response:	Kouhai-kun?
context: What?\Y-Yes, sir!\Kamiigusa!\Get down from there!\Misaki!\Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun? response:	What?
context: Y-Yes, sir!\Kamiigusa!\Get down from there!\Misaki!\Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun?\What? response:	I felt so anxious when I was kicked out of the regular dorms,
context: Kamiigusa!\Get down from there!\Misaki!\Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms, response:	but you created a place where I belonged!
context: Get down from there!\Misaki!\Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged! response:	A place called Sakura Hall!
context: Misaki!\Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall! response:	That's why I
context: Misaki-senpai!\We're the ones who are grateful!\Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall!\That's why I response:	Cut it out, Kanda!
context: We're the ones who are grateful!\Kouhai-kun?\What?\I felt so anxious when I was kicked out of the regular dorms,\but you created a place where I belonged!\A place called Sakura Hall!\That's why I\Cut it out, Kanda! response:	Like hell I will!
