context: Lets have a White Festival! response:	Yeah, let's do it.
context: Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen!\Not clearly!\Whether you get mad.\Whether you laugh.\The sun will set, morning will come. response:	Each and every time.
context: You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen!\Not clearly!\Whether you get mad.\Whether you laugh.\The sun will set, morning will come.\Each and every time. response:	Ill just start over.
context: Why didn't anybody notice?\But you saw it happen!\Not clearly!\Whether you get mad.\Whether you laugh.\The sun will set, morning will come.\Each and every time.\Ill just start over. response:	I might not be able to finish them all, but...
context: But you saw it happen!\Not clearly!\Whether you get mad.\Whether you laugh.\The sun will set, morning will come.\Each and every time.\Ill just start over.\I might not be able to finish them all, but... response:	Thanks for looking for them.
context: Not clearly!\Whether you get mad.\Whether you laugh.\The sun will set, morning will come.\Each and every time.\Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them. response:	Yeah.
context: Whether you get mad.\Whether you laugh.\The sun will set, morning will come.\Each and every time.\Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them.\Yeah. response:	Sorry the student council angle didn't work.
context: Whether you laugh.\The sun will set, morning will come.\Each and every time.\Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work. response:	Not your fault.
context: The sun will set, morning will come.\Each and every time.\Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work.\Not your fault. response:	Well just keep at it tomorrow.
context: Each and every time.\Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow. response:	Right.
context: Ill just start over.\I might not be able to finish them all, but...\Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow.\Right. response:	Yeah! Now lets go home.
context: I might not be able to finish them all, but...\Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow.\Right.\Yeah! Now lets go home. response:	Time to go.
context: Thanks for looking for them.\Yeah.\Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow.\Right.\Yeah! Now lets go home.\Time to go. response:	Here you are. Will that be all?
context: Yeah.\Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow.\Right.\Yeah! Now lets go home.\Time to go.\Here you are. Will that be all? response:	I'm about to leave.
context: Sorry the student council angle didn't work.\Not your fault.\Well just keep at it tomorrow.\Right.\Yeah! Now lets go home.\Time to go.\Here you are. Will that be all?\I'm about to leave. response:	Okay. I left the flowers by the door.
context: Not your fault.\Well just keep at it tomorrow.\Right.\Yeah! Now lets go home.\Time to go.\Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door. response:	Sorry I can't make it.
context: Well just keep at it tomorrow.\Right.\Yeah! Now lets go home.\Time to go.\Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it. response:	It's fine.
context: Right.\Yeah! Now lets go home.\Time to go.\Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine. response:	I'll tell Mom that you're hard at work.
context: Yeah! Now lets go home.\Time to go.\Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work. response:	See you later!
context: Time to go.\Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work.\See you later! response:	Bye. Have a good day.
context: Here you are. Will that be all?\I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day. response:	Excuse me.
context: I'm about to leave.\Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day.\Excuse me. response:	Oh, sorry.
context: Okay. I left the flowers by the door.\Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day.\Excuse me.\Oh, sorry. response:	I havent been
context: Sorry I can't make it.\It's fine.\I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day.\Excuse me.\Oh, sorry.\I havent been response:	able to create a single lasting thing on my own.
context: It's fine.\I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day.\Excuse me.\Oh, sorry.\I havent been\able to create a single lasting thing on my own. response:	The song we wrote together...
context: I'll tell Mom that you're hard at work.\See you later!\Bye. Have a good day.\Excuse me.\Oh, sorry.\I havent been\able to create a single lasting thing on my own.\The song we wrote together... response:	The choir club we created... Nothing I've done compares.
context: See you later!\Bye. Have a good day.\Excuse me.\Oh, sorry.\I havent been\able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares. response:	That school was the only tie to music I had left,
context: Bye. Have a good day.\Excuse me.\Oh, sorry.\I havent been\able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left, response:	and now even thats...
context: Excuse me.\Oh, sorry.\I havent been\able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats... response:	I guess,
context: Oh, sorry.\I havent been\able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats...\I guess, response:	in the end, you were the only one the music loved.
context: I havent been\able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats...\I guess,\in the end, you were the only one the music loved. response:	Pardon my intrusion.
context: able to create a single lasting thing on my own.\The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats...\I guess,\in the end, you were the only one the music loved.\Pardon my intrusion. response:	Vice principal!
context: The song we wrote together...\The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats...\I guess,\in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal! response:	Sakai Family
context: The choir club we created... Nothing I've done compares.\That school was the only tie to music I had left,\and now even thats...\I guess,\in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal!\Sakai Family response:	Would you mind listening to this?
context: That school was the only tie to music I had left,\and now even thats...\I guess,\in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal!\Sakai Family\Would you mind listening to this? response:	It's the song I wrote with my mother.
context: and now even thats...\I guess,\in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal!\Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother. response:	The phrase you used for the refrain is a bit unconventional.
context: I guess,\in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal!\Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional. response:	But I can sense Mahiru in it.
context: in the end, you were the only one the music loved.\Pardon my intrusion.\Vice principal!\Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it. response:	I was able to finish it thanks to the advice you gave me,
context: Pardon my intrusion.\Vice principal!\Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me, response:	that music should be fun.
context: Vice principal!\Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun. response:	Thats what Mahiru said.
context: Sakai Family\Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said. response:	She was constantly telling me to have fun.
context: Would you mind listening to this?\It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun. response:	Ive got no right to give advice.
context: It's the song I wrote with my mother.\The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice. response:	But for me, enjoying it wasnt enough.
context: The phrase you used for the refrain is a bit unconventional.\But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough. response:	The support of my friends was equally important.
context: But I can sense Mahiru in it.\I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important. response:	They encouraged me through my struggles.
context: I was able to finish it thanks to the advice you gave me,\that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles. response:	They're all so different from me,
context: that music should be fun.\Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me, response:	but theyre honest and determined.
context: Thats what Mahiru said.\She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined. response:	We fought, but we also worked together.
context: She was constantly telling me to have fun.\Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together. response:	I know my mother had a friend like that, too.
context: Ive got no right to give advice.\But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too. response:	Someone to have fun with.
context: But for me, enjoying it wasnt enough.\The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with. response:	Someone to share her worries.
context: The support of my friends was equally important.\They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries. response:	Mom, I finished the song we promised to write.
context: They encouraged me through my struggles.\They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write. response:	Sorry it took so long.
context: They're all so different from me,\but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long. response:	Im glad I could create this song with you and my friends.
context: but theyre honest and determined.\We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends. response:	I'll treasure it always, for bringing us all together.
context: We fought, but we also worked together.\I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together. response:	Thank you, Mom.
context: I know my mother had a friend like that, too.\Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom. response:	Konatsu's not here yet?
context: Someone to have fun with.\Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet? response:	Haven't had a morning meeting in a while.
context: Someone to share her worries.\Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while. response:	Was he here all night?
context: Mom, I finished the song we promised to write.\Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night? response:	Oh, morning, guys.
context: Sorry it took so long.\Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys. response:	Good morning.
context: Im glad I could create this song with you and my friends.\I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys.\Good morning. response:	You're gonna wear yourself out.
context: I'll treasure it always, for bringing us all together.\Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys.\Good morning.\You're gonna wear yourself out. response:	I'm fine.
context: Thank you, Mom.\Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys.\Good morning.\You're gonna wear yourself out.\I'm fine. response:	I wanted to do the costumes after I finished the props, but...
context: Konatsu's not here yet?\Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys.\Good morning.\You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but... response:	Leave that to me.
context: Haven't had a morning meeting in a while.\Was he here all night?\Oh, morning, guys.\Good morning.\You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me. response:	You know how to make costumes?
context: Was he here all night?\Oh, morning, guys.\Good morning.\You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes? response:	I'll figure it out. I want to help.
context: Oh, morning, guys.\Good morning.\You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help. response:	You're kinda clumsy, so be careful.
context: Good morning.\You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful. response:	Let's all try to come up with a solution.
context: You're gonna wear yourself out.\I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution. response:	I know!
context: I'm fine.\I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know! response:	If it comes down to it,
context: I wanted to do the costumes after I finished the props, but...\Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know!\If it comes down to it, response:	draping these over us might look pretty cool.
context: Leave that to me.\You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know!\If it comes down to it,\draping these over us might look pretty cool. response:	So, Wakana, I was practicing yesterday and...
context: You know how to make costumes?\I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know!\If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and... response:	Have a little faith in me.
context: I'll figure it out. I want to help.\You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know!\If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me. response:	I have faith in you.
context: You're kinda clumsy, so be careful.\Let's all try to come up with a solution.\I know!\If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you. response:	And?
context: Let's all try to come up with a solution.\I know!\If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you.\And? response:	Could you teach me how to make these?
context: I know!\If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you.\And?\Could you teach me how to make these? response:	You? Have you ever sewn before?
context: If it comes down to it,\draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you.\And?\Could you teach me how to make these?\You? Have you ever sewn before? response:	No, but I know how to thread a needle!
context: draping these over us might look pretty cool.\So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you.\And?\Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle! response:	The sewing machine is backwards.
context: So, Wakana, I was practicing yesterday and...\Have a little faith in me.\I have faith in you.\And?\Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards. response:	Why are you guys so set on having the White Festival?
context: Have a little faith in me.\I have faith in you.\And?\Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival? response:	Um, well, Miyamoto and Sakai have their reasons,
context: I have faith in you.\And?\Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons, response:	but for me it's just that I like singing
context: And?\Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing response:	and I want to finish what I started.
context: Could you teach me how to make these?\You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started. response:	Whoa! What was that?!
context: You? Have you ever sewn before?\No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?! response:	All right, enough.
context: No, but I know how to thread a needle!\The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?!\All right, enough. response:	You'll break the machine.
context: The sewing machine is backwards.\Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?!\All right, enough.\You'll break the machine. response:	No, please! I can't give up!
context: Why are you guys so set on having the White Festival?\Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?!\All right, enough.\You'll break the machine.\No, please! I can't give up! response:	That's why I'm offering to do it for you.
context: Um, well, Miyamoto and Sakai have their reasons,\but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?!\All right, enough.\You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you. response:	You're amazing.
context: but for me it's just that I like singing\and I want to finish what I started.\Whoa! What was that?!\All right, enough.\You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing. response:	What can I do to help?
context: and I want to finish what I started.\Whoa! What was that?!\All right, enough.\You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing.\What can I do to help? response:	You can't make five costumes by yourself.
context: Whoa! What was that?!\All right, enough.\You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing.\What can I do to help?\You can't make five costumes by yourself. response:	Can you guys give me a hand over here?
context: All right, enough.\You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing.\What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here? response:	Sure!
context: You'll break the machine.\No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing.\What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure! response:	Oh, and get Kuwata from class 2 and Hara from class 3.
context: No, please! I can't give up!\That's why I'm offering to do it for you.\You're amazing.\What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3. response:	They'd be good to have on board.
context: That's why I'm offering to do it for you.\You're amazing.\What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board. response:	Okay.
context: You're amazing.\What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay. response:	And get bean buns from the canteen!
context: What can I do to help?\You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay.\And get bean buns from the canteen! response:	Got it!
context: You can't make five costumes by yourself.\Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay.\And get bean buns from the canteen!\Got it! response:	For everyone!
context: Can you guys give me a hand over here?\Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay.\And get bean buns from the canteen!\Got it!\For everyone! response:	What?!
context: Sure!\Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay.\And get bean buns from the canteen!\Got it!\For everyone!\What?! response:	We'd very much like to grant your request,
context: Oh, and get Kuwata from class 2 and Hara from class 3.\They'd be good to have on board.\Okay.\And get bean buns from the canteen!\Got it!\For everyone!\What?!\We'd very much like to grant your request, response:	since you seem to have your heart set on it.
context: They'd be good to have on board.\Okay.\And get bean buns from the canteen!\Got it!\For everyone!\What?!\We'd very much like to grant your request,\since you seem to have your heart set on it. response:	But if the board,
context: Okay.\And get bean buns from the canteen!\Got it!\For everyone!\What?!\We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board, response:	I mean the school, decided to cancel the fair,
context: And get bean buns from the canteen!\Got it!\For everyone!\What?!\We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair, response:	we're not sure we should be advertising it without their okay.
context: Got it!\For everyone!\What?!\We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay. response:	It could cause serious problems.
context: For everyone!\What?!\We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems. response:	What did the board say to you?
context: What?!\We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you? response:	Oh, nothing...
context: We'd very much like to grant your request,\since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you?\Oh, nothing... response:	It's just, with what they're planning to build...
context: since you seem to have your heart set on it.\But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build... response:	We can't go against them.
context: But if the board,\I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build...\We can't go against them. response:	The region desperately needs the money.
context: I mean the school, decided to cancel the fair,\we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money. response:	I'm begging you!
context: we're not sure we should be advertising it without their okay.\It could cause serious problems.\What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money.\I'm begging you! response:	I want as many people as possible hear our song,
context: It could cause serious problems.\What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song, response:	even if it's just one more!
context: What did the board say to you?\Oh, nothing...\It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song,\even if it's just one more! response:	We have to do more than advertising at school.
context: Oh, nothing...\It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school. response:	If they're not interested in our song,
context: It's just, with what they're planning to build...\We can't go against them.\The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song, response:	they don't have to come.
context: We can't go against them.\The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come. response:	But maybe some of them would want to
context: The region desperately needs the money.\I'm begging you!\I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come.\But maybe some of them would want to response:	be there to show their support for our futures!
context: I'm begging you!\I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come.\But maybe some of them would want to\be there to show their support for our futures! response:	I know there are some things I just have to let go,
context: I want as many people as possible hear our song,\even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come.\But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go, response:	but I don't think the culture fair is one of them!
context: even if it's just one more!\We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come.\But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them! response:	It means so much to us!
context: We have to do more than advertising at school.\If they're not interested in our song,\they don't have to come.\But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us! response:	Please!
context: If they're not interested in our song,\they don't have to come.\But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us!\Please! response:	Putting up posters in our shops should be fine.
context: they don't have to come.\But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us!\Please!\Putting up posters in our shops should be fine. response:	Quite a few graduates from Shiro High live around here,
context: But maybe some of them would want to\be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us!\Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here, response:	so I'm sure they'd want to stop by one last time,
context: be there to show their support for our futures!\I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us!\Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here,\so I'm sure they'd want to stop by one last time, response:	before it's shut down.
context: I know there are some things I just have to let go,\but I don't think the culture fair is one of them!\It means so much to us!\Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here,\so I'm sure they'd want to stop by one last time,\before it's shut down. response:	I'm actually one of them.
context: but I don't think the culture fair is one of them!\It means so much to us!\Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here,\so I'm sure they'd want to stop by one last time,\before it's shut down.\I'm actually one of them. response:	Oh? Were you a music major?
context: It means so much to us!\Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here,\so I'm sure they'd want to stop by one last time,\before it's shut down.\I'm actually one of them.\Oh? Were you a music major? response:	No, no, I was just a regular student.
context: Please!\Putting up posters in our shops should be fine.\Quite a few graduates from Shiro High live around here,\so I'm sure they'd want to stop by one last time,\before it's shut down.\I'm actually one of them.\Oh? Were you a music major?\No, no, I was just a regular student. response:	Here's the music for Sakai-san's song and a recording.
