context: Sacred Jewel shards... response:	We were in search of Naraku,
context: Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be...\an unrequited love? response:	I'll devour you, shard and all!
context: Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be...\an unrequited love?\I'll devour you, shard and all! response:	Hurry, Inuyasha!
context: Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be...\an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha! response:	We have to save him!
context: I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be...\an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him! response:	Me?
context: Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be...\an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him!\Me? response:	You're the only one who can!
context: I'm gonna get the demon!\Koga... Could this be...\an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him!\Me?\You're the only one who can! response:	Hurry before he's eaten! Hurry!
context: Koga... Could this be...\an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him!\Me?\You're the only one who can!\Hurry before he's eaten! Hurry! response:	I don't care what happens to Koga.
context: an unrequited love?\I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him!\Me?\You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga. response:	But I can't let you have the Sacred Jewel shard!
context: I'll devour you, shard and all!\Hurry, Inuyasha!\We have to save him!\Me?\You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard! response:	Huh? The hair only scattered away!
context: Hurry, Inuyasha!\We have to save him!\Me?\You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away! response:	What?!
context: We have to save him!\Me?\You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?! response:	Inuyasha!
context: Me?\You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?!\Inuyasha! response:	No one will get in my way now!
context: You're the only one who can!\Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?!\Inuyasha!\No one will get in my way now! response:	I've finally been...
context: Hurry before he's eaten! Hurry!\I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?!\Inuyasha!\No one will get in my way now!\I've finally been... response:	Damn!
context: I don't care what happens to Koga.\But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?!\Inuyasha!\No one will get in my way now!\I've finally been...\Damn! response:	freed from Naraku!
context: But I can't let you have the Sacred Jewel shard!\Huh? The hair only scattered away!\What?!\Inuyasha!\No one will get in my way now!\I've finally been...\Damn!\freed from Naraku! response:	Wha?!
context: Huh? The hair only scattered away!\What?!\Inuyasha!\No one will get in my way now!\I've finally been...\Damn!\freed from Naraku!\Wha?! response:	I'll use the Sacred Jewel's power...
context: What?!\Inuyasha!\No one will get in my way now!\I've finally been...\Damn!\freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power... response:	and get back my former self.
context: Inuyasha!\No one will get in my way now!\I've finally been...\Damn!\freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power...\and get back my former self. response:	What?
context: No one will get in my way now!\I've finally been...\Damn!\freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power...\and get back my former self.\What? response:	Kagome!
context: I've finally been...\Damn!\freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power...\and get back my former self.\What?\Kagome! response:	Kagome!
context: Damn!\freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power...\and get back my former self.\What?\Kagome!\Kagome! response:	You're all right?
context: freed from Naraku!\Wha?!\I'll use the Sacred Jewel's power...\and get back my former self.\What?\Kagome!\Kagome!\You're all right? response:	Everyone!
context: Wha?!\I'll use the Sacred Jewel's power...\and get back my former self.\What?\Kagome!\Kagome!\You're all right?\Everyone! response:	Who is thatgirl?
context: I'll use the Sacred Jewel's power...\and get back my former self.\What?\Kagome!\Kagome!\You're all right?\Everyone!\Who is thatgirl? response:	She's Ayame.
context: and get back my former self.\What?\Kagome!\Kagome!\You're all right?\Everyone!\Who is thatgirl?\She's Ayame. response:	Koga's fiancee.
context: What?\Kagome!\Kagome!\You're all right?\Everyone!\Who is thatgirl?\She's Ayame.\Koga's fiancee. response:	Huh? Fiancee?!
context: Kagome!\Kagome!\You're all right?\Everyone!\Who is thatgirl?\She's Ayame.\Koga's fiancee.\Huh? Fiancee?! response:	We can talk later.
context: Kagome!\You're all right?\Everyone!\Who is thatgirl?\She's Ayame.\Koga's fiancee.\Huh? Fiancee?!\We can talk later. response:	But what is that demon?
context: You're all right?\Everyone!\Who is thatgirl?\She's Ayame.\Koga's fiancee.\Huh? Fiancee?!\We can talk later.\But what is that demon? response:	That demon said that he had been freed from Naraku.
context: Everyone!\Who is thatgirl?\She's Ayame.\Koga's fiancee.\Huh? Fiancee?!\We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku. response:	Huh?
context: Who is thatgirl?\She's Ayame.\Koga's fiancee.\Huh? Fiancee?!\We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku.\Huh? response:	You! Just what do you mean?
context: She's Ayame.\Koga's fiancee.\Huh? Fiancee?!\We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean? response:	That Naraku... he abandoned me and the castle.
context: Koga's fiancee.\Huh? Fiancee?!\We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle. response:	He wasn't an incarnation that Naraku created out of his body?
context: Huh? Fiancee?!\We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body? response:	Naraku didn't need him anymore?
context: We can talk later.\But what is that demon?\That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore? response:	Well... he certainly doesn't look very useful.
context: But what is that demon?\That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful. response:	I shoulda known...
context: That demon said that he had been freed from Naraku.\Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known... response:	You're too ugly even for Naraku's demon.
context: Huh?\You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon. response:	What a pity, Koga.
context: You! Just what do you mean?\That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga. response:	You mean all this time,
context: That Naraku... he abandoned me and the castle.\He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time, response:	you've been fooling around with trash like this?
context: He wasn't an incarnation that Naraku created out of his body?\Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this? response:	Damn it all.
context: Naraku didn't need him anymore?\Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this?\Damn it all. response:	Ayame!
context: Well... he certainly doesn't look very useful.\I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this?\Damn it all.\Ayame! response:	Can't be helped. I'll protect you, too.
context: I shoulda known...\You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this?\Damn it all.\Ayame!\Can't be helped. I'll protect you, too. response:	So stay there and watch.
context: You're too ugly even for Naraku's demon.\What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this?\Damn it all.\Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch. response:	Mutt, I'll play with you later.
context: What a pity, Koga.\You mean all this time,\you've been fooling around with trash like this?\Damn it all.\Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later. response:	W-What!
context: You mean all this time,\you've been fooling around with trash like this?\Damn it all.\Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later.\W-What! response:	Hey, Demon!
context: you've been fooling around with trash like this?\Damn it all.\Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later.\W-What!\Hey, Demon! response:	You cried about being abandoned, huh?
context: Damn it all.\Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later.\W-What!\Hey, Demon!\You cried about being abandoned, huh? response:	Does that mean...
context: Ayame!\Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later.\W-What!\Hey, Demon!\You cried about being abandoned, huh?\Does that mean... response:	you don't know where Naraku is?!
context: Can't be helped. I'll protect you, too.\So stay there and watch.\Mutt, I'll play with you later.\W-What!\Hey, Demon!\You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?! response:	Huh?!
context: So stay there and watch.\Mutt, I'll play with you later.\W-What!\Hey, Demon!\You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?!\Huh?! response:	Koga!
context: Mutt, I'll play with you later.\W-What!\Hey, Demon!\You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?!\Huh?!\Koga! response:	Don't be hasty, Koga!
context: W-What!\Hey, Demon!\You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?!\Huh?!\Koga!\Don't be hasty, Koga! response:	We still have questions.
context: Hey, Demon!\You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?!\Huh?!\Koga!\Don't be hasty, Koga!\We still have questions. response:	Now then, Demon... Tell us all you know.
context: You cried about being abandoned, huh?\Does that mean...\you don't know where Naraku is?!\Huh?!\Koga!\Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know. response:	Or else...
context: Does that mean...\you don't know where Naraku is?!\Huh?!\Koga!\Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know.\Or else... response:	It's useless to search.
context: you don't know where Naraku is?!\Huh?!\Koga!\Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know.\Or else...\It's useless to search. response:	Naraku has escaped to a place
context: Huh?!\Koga!\Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know.\Or else...\It's useless to search.\Naraku has escaped to a place response:	where no one can touch him.
context: Koga!\Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know.\Or else...\It's useless to search.\Naraku has escaped to a place\where no one can touch him. response:	Huh?!
context: Don't be hasty, Koga!\We still have questions.\Now then, Demon... Tell us all you know.\Or else...\It's useless to search.\Naraku has escaped to a place\where no one can touch him.\Huh?! response:	Where no one can touch him?!
context: We still have questions.\Now then, Demon... Tell us all you know.\Or else...\It's useless to search.\Naraku has escaped to a place\where no one can touch him.\Huh?!\Where no one can touch him?! response:	Too bad.
context: Now then, Demon... Tell us all you know.\Or else...\It's useless to search.\Naraku has escaped to a place\where no one can touch him.\Huh?!\Where no one can touch him?!\Too bad. response:	That's all I know.
context: Or else...\It's useless to search.\Naraku has escaped to a place\where no one can touch him.\Huh?!\Where no one can touch him?!\Too bad.\That's all I know. response:	Huh?!
context: It's useless to search.\Naraku has escaped to a place\where no one can touch him.\Huh?!\Where no one can touch him?!\Too bad.\That's all I know.\Huh?! response:	Naraku cut me off in the midst of things.
context: Naraku has escaped to a place\where no one can touch him.\Huh?!\Where no one can touch him?!\Too bad.\That's all I know.\Huh?!\Naraku cut me off in the midst of things. response:	I don't know Naraku's plans beyond that.
context: where no one can touch him.\Huh?!\Where no one can touch him?!\Too bad.\That's all I know.\Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that. response:	Serves you right!
context: Huh?!\Where no one can touch him?!\Too bad.\That's all I know.\Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right! response:	It seems he's telling the truth.
context: Where no one can touch him?!\Too bad.\That's all I know.\Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth. response:	Damn! He's no help!
context: Too bad.\That's all I know.\Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth.\Damn! He's no help! response:	Huh! Can't be helped if you don't know.
context: That's all I know.\Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know. response:	However...
context: Huh?!\Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know.\However... response:	There's one thing this trash of a demon is good for.
context: Naraku cut me off in the midst of things.\I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for. response:	Why you!
context: I don't know Naraku's plans beyond that.\Serves you right!\It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for.\Why you! response:	Koga!
context: Serves you right!\It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for.\Why you!\Koga! response:	Ayame!
context: It seems he's telling the truth.\Damn! He's no help!\Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for.\Why you!\Koga!\Ayame! response:	She purified the demonic aura!
context: Damn! He's no help!\Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for.\Why you!\Koga!\Ayame!\She purified the demonic aura! response:	It's the spiritual power of the iris.
context: Huh! Can't be helped if you don't know.\However...\There's one thing this trash of a demon is good for.\Why you!\Koga!\Ayame!\She purified the demonic aura!\It's the spiritual power of the iris. response:	I'll devour you!
context: However...\There's one thing this trash of a demon is good for.\Why you!\Koga!\Ayame!\She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you! response:	- Koga! - Ayame!
context: There's one thing this trash of a demon is good for.\Why you!\Koga!\Ayame!\She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame! response:	They've both been devoured!
context: Why you!\Koga!\Ayame!\She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame!\They've both been devoured! response:	Koga! Ayame!
context: Koga!\Ayame!\She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame!\They've both been devoured!\Koga! Ayame! response:	Damn, I can't use the Wind Scar!
context: Ayame!\She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame!\They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar! response:	I've eaten the Sacred Jewel shards!
context: She purified the demonic aura!\It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame!\They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards! response:	As if you can kill me!
context: It's the spiritual power of the iris.\I'll devour you!\- Koga! - Ayame!\They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me! response:	Koga! Your arm!
context: I'll devour you!\- Koga! - Ayame!\They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm! response:	All because I jumped in.
context: - Koga! - Ayame!\They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm!\All because I jumped in. response:	Hey!
context: They've both been devoured!\Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm!\All because I jumped in.\Hey! response:	Koga!
context: Koga! Ayame!\Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm!\All because I jumped in.\Hey!\Koga! response:	So you finally caught up.
context: Damn, I can't use the Wind Scar!\I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm!\All because I jumped in.\Hey!\Koga!\So you finally caught up. response:	You two, rememberthe scent.
context: I've eaten the Sacred Jewel shards!\As if you can kill me!\Koga! Your arm!\All because I jumped in.\Hey!\Koga!\So you finally caught up.\You two, rememberthe scent. response:	And make sure all the wolves rememberit.
context: As if you can kill me!\Koga! Your arm!\All because I jumped in.\Hey!\Koga!\So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit. response:	So you'll use all the wolves to track the scent?
context: Koga! Your arm!\All because I jumped in.\Hey!\Koga!\So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent? response:	And search for Naraku high and low?
context: All because I jumped in.\Hey!\Koga!\So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low? response:	If wolves were able to sniff that Naraku out,
context: Hey!\Koga!\So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out, response:	I'd have done it long ago!
context: Koga!\So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago! response:	Huh?!
context: So you finally caught up.\You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?! response:	Koga!
context: You two, rememberthe scent.\And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?!\Koga! response:	Hey!
context: And make sure all the wolves rememberit.\So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?!\Koga!\Hey! response:	Kagome, I have to go now.
context: So you'll use all the wolves to track the scent?\And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?!\Koga!\Hey!\Kagome, I have to go now. response:	But...
context: And search for Naraku high and low?\If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?!\Koga!\Hey!\Kagome, I have to go now.\But... response:	When we next meet, I'll have Naraku's head as a gift.
context: If wolves were able to sniff that Naraku out,\I'd have done it long ago!\Huh?!\Koga!\Hey!\Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift. response:	That Koga... She doesn't love him!
context: I'd have done it long ago!\Huh?!\Koga!\Hey!\Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him! response:	Yet he's trying so hard.
context: Huh?!\Koga!\Hey!\Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard. response:	N- No... thanks!
context: Koga!\Hey!\Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks! response:	Don't look like that, Kagome.
context: Hey!\Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome. response:	You're the woman who's gonna be my wife.
context: Kagome, I have to go now.\But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife. response:	What?!
context: But...\When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?! response:	Ahh! Hey wait, Koga!
context: When we next meet, I'll have Naraku's head as a gift.\That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga! response:	You promised long, long before you met me...
context: That Koga... She doesn't love him!\Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me... response:	that you'd marry Ayame.
context: Yet he's trying so hard.\N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame. response:	And yet you're telling me this?
context: N- No... thanks!\Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this? response:	That's something... I don't remember.
context: Don't look like that, Kagome.\You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember. response:	But look...
context: You're the woman who's gonna be my wife.\What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember.\But look... response:	The night of the lunarrainbow...
context: What?!\Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember.\But look...\The night of the lunarrainbow... response:	Don't you remember anything?!
context: Ahh! Hey wait, Koga!\You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember.\But look...\The night of the lunarrainbow...\Don't you remember anything?! response:	A rainbow...
context: You promised long, long before you met me...\that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember.\But look...\The night of the lunarrainbow...\Don't you remember anything?!\A rainbow... response:	Huh?!
context: that you'd marry Ayame.\And yet you're telling me this?\That's something... I don't remember.\But look...\The night of the lunarrainbow...\Don't you remember anything?!\A rainbow...\Huh?! response:	Huh?!
context: And yet you're telling me this?\That's something... I don't remember.\But look...\The night of the lunarrainbow...\Don't you remember anything?!\A rainbow...\Huh?!\Huh?! response:	I'll make you my wife...
context: That's something... I don't remember.\But look...\The night of the lunarrainbow...\Don't you remember anything?!\A rainbow...\Huh?!\Huh?!\I'll make you my wife... response:	when you come down from the mountain.
context: But look...\The night of the lunarrainbow...\Don't you remember anything?!\A rainbow...\Huh?!\Huh?!\I'll make you my wife...\when you come down from the mountain. response:	Look!
context: The night of the lunarrainbow...\Don't you remember anything?!\A rainbow...\Huh?!\Huh?!\I'll make you my wife...\when you come down from the mountain.\Look! response:	A lunarrainbow...
context: Don't you remember anything?!\A rainbow...\Huh?!\Huh?!\I'll make you my wife...\when you come down from the mountain.\Look!\A lunarrainbow... response:	Sorry, but I still don't remember.
context: A rainbow...\Huh?!\Huh?!\I'll make you my wife...\when you come down from the mountain.\Look!\A lunarrainbow...\Sorry, but I still don't remember. response:	Koga, you saw the rainbow, didn't you?
context: Huh?!\Huh?!\I'll make you my wife...\when you come down from the mountain.\Look!\A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you? response:	I said I don't remember any rainbow.
context: Huh?!\I'll make you my wife...\when you come down from the mountain.\Look!\A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow. response:	Ayame was...
context: I'll make you my wife...\when you come down from the mountain.\Look!\A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was... response:	still really... young, right?
context: when you come down from the mountain.\Look!\A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was...\still really... young, right? response:	Never mind about the past.
context: Look!\A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was...\still really... young, right?\Never mind about the past. response:	I understand now that you have to go afterthis Naraku.
context: A lunarrainbow...\Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was...\still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku. response:	Is Kagome part of a love triangle with Koga and Ayame?
context: Sorry, but I still don't remember.\Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was...\still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame? response:	I don't think so...
context: Koga, you saw the rainbow, didn't you?\I said I don't remember any rainbow.\Ayame was...\still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so... response:	I think Ayame came to get Koga.
context: I said I don't remember any rainbow.\Ayame was...\still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga. response:	But Koga loves only Kagome.
context: Ayame was...\still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome. response:	Unlike some otherguy, he's sticking to one and only one.
context: still really... young, right?\Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome.\Unlike some otherguy, he's sticking to one and only one. response:	What're you doing, Inuyasha?!
context: Never mind about the past.\I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome.\Unlike some otherguy, he's sticking to one and only one.\What're you doing, Inuyasha?! response:	Shaddup!
context: I understand now that you have to go afterthis Naraku.\Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome.\Unlike some otherguy, he's sticking to one and only one.\What're you doing, Inuyasha?!\Shaddup! response:	Until you complete your vendetta,
context: Is Kagome part of a love triangle with Koga and Ayame?\I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome.\Unlike some otherguy, he's sticking to one and only one.\What're you doing, Inuyasha?!\Shaddup!\Until you complete your vendetta, response:	I'll manage something with the elder.
context: I don't think so...\I think Ayame came to get Koga.\But Koga loves only Kagome.\Unlike some otherguy, he's sticking to one and only one.\What're you doing, Inuyasha?!\Shaddup!\Until you complete your vendetta,\I'll manage something with the elder. response:	Okay.
