context: I want to know what this recap tastes like! response:	Too damn suspicious...
context: Direct Line!\A point-blank...\Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon!\This is boring.\Tower Burst!\What the heck was that? response:	A tower of flame?
context: A point-blank...\Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon!\This is boring.\Tower Burst!\What the heck was that?\A tower of flame? response:	No one in the guild can use magic like that!
context: Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon!\This is boring.\Tower Burst!\What the heck was that?\A tower of flame?\No one in the guild can use magic like that! response:	It's gotta be the enemy!
context: Got you.\Roar of the Sky Dragon!\This is boring.\Tower Burst!\What the heck was that?\A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy! response:	I've hit my limit...
context: Roar of the Sky Dragon!\This is boring.\Tower Burst!\What the heck was that?\A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit... response:	So this is the Seven Kin of Purgatory I've heard rumors of?
context: This is boring.\Tower Burst!\What the heck was that?\A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of? response:	Is this guild just filled with cats and children, I wonder?
context: Tower Burst!\What the heck was that?\A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder? response:	And there are six more of these guys...
context: What the heck was that?\A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys... response:	There's no way... for Fairy Tail to win!
context: A tower of flame?\No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win! response:	Hey! Where's the meeting point again?
context: No one in the guild can use magic like that!\It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again? response:	It's a portable base.
context: It's gotta be the enemy!\I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base. response:	You didn't hear?
context: I've hit my limit...\So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base.\You didn't hear? response:	Going through these ruins is a short cut.
context: So this is the Seven Kin of Purgatory I've heard rumors of?\Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base.\You didn't hear?\Going through these ruins is a short cut. response:	Why are we doing this when we should be searching for a grave?
context: Is this guild just filled with cats and children, I wonder?\And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base.\You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave? response:	This is ridiculous! Why'd this have to happen now?!
context: And there are six more of these guys...\There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base.\You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?! response:	Cana...
context: There's no way... for Fairy Tail to win!\Hey! Where's the meeting point again?\It's a portable base.\You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana... response:	Hang in there, Gajeel...
context: Hey! Where's the meeting point again?\It's a portable base.\You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel... response:	We have to hurry back, or they're going to show up...
context: It's a portable base.\You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up... response:	Everyone's split up right now...
context: You didn't hear?\Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now... response:	We're in big trouble if they attack as we are now!
context: Going through these ruins is a short cut.\Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now! response:	Ultear-san, you're more into this than usual.
context: Why are we doing this when we should be searching for a grave?\This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual. response:	Of course. To me as well, this is a war.
context: This is ridiculous! Why'd this have to happen now?!\Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war. response:	Let us go... To the Eden known as battle.
context: Cana...\Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle. response:	A-And me... Me, too, I'll... that...
context: Hang in there, Gajeel...\We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that... response:	Ul, look!
context: We have to hurry back, or they're going to show up...\Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look! response:	Don't call me Ul.
context: Everyone's split up right now...\We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul. response:	I-I'm sorry...
context: We're in big trouble if they attack as we are now!\Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul.\I-I'm sorry... response:	Don't go being so nervous!
context: Ultear-san, you're more into this than usual.\Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul.\I-I'm sorry...\Don't go being so nervous! response:	So? What's wrong, Meldy?
context: Of course. To me as well, this is a war.\Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul.\I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy? response:	I can see it...
context: Let us go... To the Eden known as battle.\A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul.\I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy?\I can see it... response:	The Fairy's Island...
context: A-And me... Me, too, I'll... that...\Ul, look!\Don't call me Ul.\I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy?\I can see it...\The Fairy's Island... response:	What's that?
context: Ul, look!\Don't call me Ul.\I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy?\I can see it...\The Fairy's Island...\What's that? response:	A giant?
context: Don't call me Ul.\I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy?\I can see it...\The Fairy's Island...\What's that?\A giant? response:	You kiddin' me?
context: I-I'm sorry...\Don't go being so nervous!\So? What's wrong, Meldy?\I can see it...\The Fairy's Island...\What's that?\A giant?\You kiddin' me? response:	Big...
context: Don't go being so nervous!\So? What's wrong, Meldy?\I can see it...\The Fairy's Island...\What's that?\A giant?\You kiddin' me?\Big... response:	Makarov...
context: So? What's wrong, Meldy?\I can see it...\The Fairy's Island...\What's that?\A giant?\You kiddin' me?\Big...\Makarov... response:	Begone!
context: I can see it...\The Fairy's Island...\What's that?\A giant?\You kiddin' me?\Big...\Makarov...\Begone! response:	736...
context: The Fairy's Island...\What's that?\A giant?\You kiddin' me?\Big...\Makarov...\Begone!\736... response:	48 years earlier...
context: What's that?\A giant?\You kiddin' me?\Big...\Makarov...\Begone!\736...\48 years earlier... response:	Me, be the 3rd master of Fairy Tail?
context: A giant?\You kiddin' me?\Big...\Makarov...\Begone!\736...\48 years earlier...\Me, be the 3rd master of Fairy Tail? response:	No way! I ain't cut out for it!
context: You kiddin' me?\Big...\Makarov...\Begone!\736...\48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it! response:	You, my boy, can do it.
context: Big...\Makarov...\Begone!\736...\48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it. response:	Don't call me a boy!
context: Makarov...\Begone!\736...\48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy! response:	I'm already 40!
context: Begone!\736...\48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy!\I'm already 40! response:	You love your friends...
context: 736...\48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy!\I'm already 40!\You love your friends... response:	You are a human who can believe.
context: 48 years earlier...\Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy!\I'm already 40!\You love your friends...\You are a human who can believe. response:	I am sure you will lead a wonderful guild.
context: Me, be the 3rd master of Fairy Tail?\No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy!\I'm already 40!\You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild. response:	From Mavis to me, and now from me to you, Makarov...
context: No way! I ain't cut out for it!\You, my boy, can do it.\Don't call me a boy!\I'm already 40!\You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov... response:	I entrust the future of Fairy Tail to you.
context: You, my boy, can do it.\Don't call me a boy!\I'm already 40!\You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you. response:	You may not pass any further!
context: Don't call me a boy!\I'm already 40!\You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further! response:	Large explosion on the right side!
context: I'm already 40!\You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side! response:	He shredded our reinforced armor like nothing!
context: You love your friends...\You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing! response:	What is this?!
context: You are a human who can believe.\I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?! response:	Increase speed!
context: I am sure you will lead a wonderful guild.\From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?!\Increase speed! response:	Magic Beam Cannon, Jupiter...
context: From Mavis to me, and now from me to you, Makarov...\I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?!\Increase speed!\Magic Beam Cannon, Jupiter... response:	Our ship!
context: I entrust the future of Fairy Tail to you.\You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?!\Increase speed!\Magic Beam Cannon, Jupiter...\Our ship! response:	He's a monster!
context: You may not pass any further!\Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?!\Increase speed!\Magic Beam Cannon, Jupiter...\Our ship!\He's a monster! response:	This is Makarov?
context: Large explosion on the right side!\He shredded our reinforced armor like nothing!\What is this?!\Increase speed!\Magic Beam Cannon, Jupiter...\Our ship!\He's a monster!\This is Makarov? response:	Ultear!
context: He shredded our reinforced armor like nothing!\What is this?!\Increase speed!\Magic Beam Cannon, Jupiter...\Our ship!\He's a monster!\This is Makarov?\Ultear! response:	Yes, Master!
context: What is this?!\Increase speed!\Magic Beam Cannon, Jupiter...\Our ship!\He's a monster!\This is Makarov?\Ultear!\Yes, Master! response:	Time Ark...
context: Increase speed!\Magic Beam Cannon, Jupiter...\Our ship!\He's a monster!\This is Makarov?\Ultear!\Yes, Master!\Time Ark... response:	Restore...
context: Magic Beam Cannon, Jupiter...\Our ship!\He's a monster!\This is Makarov?\Ultear!\Yes, Master!\Time Ark...\Restore... response:	Caprico, take everyone to the island!
context: Our ship!\He's a monster!\This is Makarov?\Ultear!\Yes, Master!\Time Ark...\Restore...\Caprico, take everyone to the island! response:	And you, Master Hades?
context: He's a monster!\This is Makarov?\Ultear!\Yes, Master!\Time Ark...\Restore...\Caprico, take everyone to the island!\And you, Master Hades? response:	I shall deal with Makarov.
context: This is Makarov?\Ultear!\Yes, Master!\Time Ark...\Restore...\Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov. response:	As you wish.
context: Ultear!\Yes, Master!\Time Ark...\Restore...\Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov.\As you wish. response:	It matters not where you run to!
context: Yes, Master!\Time Ark...\Restore...\Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov.\As you wish.\It matters not where you run to! response:	As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.
context: Time Ark...\Restore...\Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov.\As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you. response:	The super magic which affects only those whom the caster views as enemies...
context: Restore...\Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov.\As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies... response:	One!
context: Caprico, take everyone to the island!\And you, Master Hades?\I shall deal with Makarov.\As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One! response:	Fairy Law, is it?
context: And you, Master Hades?\I shall deal with Makarov.\As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it? response:	Two!
context: I shall deal with Makarov.\As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two! response:	What in the world happened?
context: As you wish.\It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\What in the world happened? response:	Wendy, get yourself together!
context: It matters not where you run to!\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\What in the world happened?\Wendy, get yourself together! response:	Hey, Wendy!
context: As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\What in the world happened?\Wendy, get yourself together!\Hey, Wendy! response:	Lily, Carla!
context: The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\What in the world happened?\Wendy, get yourself together!\Hey, Wendy!\Lily, Carla! response:	Why are the two of you here?
context: One!\Fairy Law, is it?\Two!\What in the world happened?\Wendy, get yourself together!\Hey, Wendy!\Lily, Carla!\Why are the two of you here? response:	Hang in there...
context: Fairy Law, is it?\Two!\What in the world happened?\Wendy, get yourself together!\Hey, Wendy!\Lily, Carla!\Why are the two of you here?\Hang in there... response:	Damn it... Someone did this to them!
context: Two!\What in the world happened?\Wendy, get yourself together!\Hey, Wendy!\Lily, Carla!\Why are the two of you here?\Hang in there...\Damn it... Someone did this to them! response:	Was it you?
context: What in the world happened?\Wendy, get yourself together!\Hey, Wendy!\Lily, Carla!\Why are the two of you here?\Hang in there...\Damn it... Someone did this to them!\Was it you? response:	Come on, you bastard!
context: Wendy, get yourself together!\Hey, Wendy!\Lily, Carla!\Why are the two of you here?\Hang in there...\Damn it... Someone did this to them!\Was it you?\Come on, you bastard! response:	My memory manipulation magic's worn off?
context: Hey, Wendy!\Lily, Carla!\Why are the two of you here?\Hang in there...\Damn it... Someone did this to them!\Was it you?\Come on, you bastard!\My memory manipulation magic's worn off? response:	Memory Manipulation is magic which enables you to alter other people's memories of yourself.
context: Lily, Carla!\Why are the two of you here?\Hang in there...\Damn it... Someone did this to them!\Was it you?\Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself. response:	But, like charms, if your real identity is revealed,
context: Why are the two of you here?\Hang in there...\Damn it... Someone did this to them!\Was it you?\Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed, response:	the magic is lifted.
context: Hang in there...\Damn it... Someone did this to them!\Was it you?\Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted. response:	Natsu-san... He's a person from the Magic Council.
context: Damn it... Someone did this to them!\Was it you?\Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council. response:	Nice coat you have there...
context: Was it you?\Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there... response:	Wait... The enemy is the Magic Council?!
context: Come on, you bastard!\My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?! response:	Ayiaah!
context: My memory manipulation magic's worn off?\Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah! response:	That's not it...
context: Memory Manipulation is magic which enables you to alter other people's memories of yourself.\But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it... response:	The enemy is Grimoire Heart.
context: But, like charms, if your real identity is revealed,\the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it...\The enemy is Grimoire Heart. response:	A Dark Guild!
context: the magic is lifted.\Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it...\The enemy is Grimoire Heart.\A Dark Guild! response:	Grimoire Heart?!
context: Natsu-san... He's a person from the Magic Council.\Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it...\The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?! response:	Aren't they one of the three corners of the Dark Guild Baram Alliance?!
context: Nice coat you have there...\Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it...\The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?! response:	What in the world is going on?
context: Wait... The enemy is the Magic Council?!\Ayiaah!\That's not it...\The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on? response:	I don't know, damn it!
context: Ayiaah!\That's not it...\The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it! response:	I-I have to...
context: That's not it...\The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it!\I-I have to... response:	People are coming from the sky!
context: The enemy is Grimoire Heart.\A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it!\I-I have to...\People are coming from the sky! response:	The weather forecast didn't say anything about this...
context: A Dark Guild!\Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it!\I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this... response:	The enemy...
context: Grimoire Heart?!\Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it!\I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy... response:	Hold up, give me a break here...
context: Aren't they one of the three corners of the Dark Guild Baram Alliance?!\What in the world is going on?\I don't know, damn it!\I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here... response:	Are those all humans?
context: What in the world is going on?\I don't know, damn it!\I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here...\Are those all humans? response:	They're already here...
context: I don't know, damn it!\I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here...\Are those all humans?\They're already here... response:	As a Man, I will not allow trespassers!
context: I-I have to...\People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here...\Are those all humans?\They're already here...\As a Man, I will not allow trespassers! response:	What a pain...
context: People are coming from the sky!\The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here...\Are those all humans?\They're already here...\As a Man, I will not allow trespassers!\What a pain... response:	The both of you.
context: The weather forecast didn't say anything about this...\The enemy...\Hold up, give me a break here...\Are those all humans?\They're already here...\As a Man, I will not allow trespassers!\What a pain...\The both of you. response:	These numbers are nothing to scoff at.
context: The enemy...\Hold up, give me a break here...\Are those all humans?\They're already here...\As a Man, I will not allow trespassers!\What a pain...\The both of you.\These numbers are nothing to scoff at. response:	They're still coming down from the sky.
context: Hold up, give me a break here...\Are those all humans?\They're already here...\As a Man, I will not allow trespassers!\What a pain...\The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky. response:	My, my... Here comes the noisy bunch.
context: Are those all humans?\They're already here...\As a Man, I will not allow trespassers!\What a pain...\The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch. response:	I present to you this Fairy sacrifice...
context: They're already here...\As a Man, I will not allow trespassers!\What a pain...\The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice... response:	Mission start.
context: As a Man, I will not allow trespassers!\What a pain...\The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start. response:	We can meet at last... Zeref...
context: What a pain...\The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref... response:	Is this the start of another war?
context: The both of you.\These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref...\Is this the start of another war? response:	Three!
context: These numbers are nothing to scoff at.\They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref...\Is this the start of another war?\Three! response:	That's it!
context: They're still coming down from the sky.\My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref...\Is this the start of another war?\Three!\That's it! response:	Fairy Law!
context: My, my... Here comes the noisy bunch.\I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref...\Is this the start of another war?\Three!\That's it!\Fairy Law! response:	Stop that.
context: I present to you this Fairy sacrifice...\Mission start.\We can meet at last... Zeref...\Is this the start of another war?\Three!\That's it!\Fairy Law!\Stop that. response:	Grimoire Law.
context: Mission start.\We can meet at last... Zeref...\Is this the start of another war?\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law. response:	This magic is a deterrent.
context: We can meet at last... Zeref...\Is this the start of another war?\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\This magic is a deterrent. response:	I will not cast it recklessly.
context: Is this the start of another war?\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly. response:	But if you refuse to back down,
context: Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down, response:	then together we shall reach the ultimate of unfortunate ends.
context: That's it!\Fairy Law!\Stop that.\Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends. response:	T-T-That's...
context: Fairy Law!\Stop that.\Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's... response:	It can't be...!
context: Stop that.\Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...! response:	I am heading on a journey.
context: Grimoire Law.\This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...!\I am heading on a journey. response:	Make this guild one to be proud of.
context: This magic is a deterrent.\I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...!\I am heading on a journey.\Make this guild one to be proud of. response:	Wait, Master!
context: I will not cast it recklessly.\But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...!\I am heading on a journey.\Make this guild one to be proud of.\Wait, Master! response:	Master?
context: But if you refuse to back down,\then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...!\I am heading on a journey.\Make this guild one to be proud of.\Wait, Master!\Master? response:	You are the master now, Makarov.
context: then together we shall reach the ultimate of unfortunate ends.\T-T-That's...\It can't be...!\I am heading on a journey.\Make this guild one to be proud of.\Wait, Master!\Master?\You are the master now, Makarov. response:	It has been a while, boy.
context: T-T-That's...\It can't be...!\I am heading on a journey.\Make this guild one to be proud of.\Wait, Master!\Master?\You are the master now, Makarov.\It has been a while, boy. response:	Master... Purehito...
context: It can't be...!\I am heading on a journey.\Make this guild one to be proud of.\Wait, Master!\Master?\You are the master now, Makarov.\It has been a while, boy.\Master... Purehito... response:	Natsu, do you know about Lost Magic?
context: I am heading on a journey.\Make this guild one to be proud of.\Wait, Master!\Master?\You are the master now, Makarov.\It has been a while, boy.\Master... Purehito...\Natsu, do you know about Lost Magic? response:	Loh-st...? Like, as in chicken?
