context: Today, I overslept and didn't have time, so it's omelet rice again. response:	You know, I don't need lunches anymore.
context: Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard. response:	Who the hell are you?
context: Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard.\Who the hell are you? response:	No, who are YOU?
context: The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard.\Who the hell are you?\No, who are YOU? response:	if you spill it, we'll call an ambulance for you.
context: This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard.\Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you. response:	Right now, you're headed straight to death, you hear?
context: Dammit!\What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard.\Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear? response:	I was just offered a job...
context: What would you do if the camcorder broke?\Is that your issue?\Wake up, bastard.\Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job... response:	What kind?
context: Is that your issue?\Wake up, bastard.\Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind? response:	I can't say that...
context: Wake up, bastard.\Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind?\I can't say that... response:	Is that something you'd risk your life to protect the secrecy of?
context: Who the hell are you?\No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of? response:	I'm looking for Yusa Nishimori!
context: No, who are YOU?\if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori! response:	Asked by who?
context: if you spill it, we'll call an ambulance for you.\Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who? response:	Taiyo TV.
context: Right now, you're headed straight to death, you hear?\I was just offered a job...\What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV. response:	Who from there?
context: I was just offered a job...\What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV.\Who from there? response:	I don't know that far... that's the truth.
context: What kind?\I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV.\Who from there?\I don't know that far... that's the truth. response:	Understood! I had already called for an ambulance.
context: I can't say that...\Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV.\Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance. response:	What the hell are you guys?
context: Is that something you'd risk your life to protect the secrecy of?\I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV.\Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys? response:	We are just looking for a woman named Yusa Nishimori.
context: I'm looking for Yusa Nishimori!\Asked by who?\Taiyo TV.\Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori. response:	Her nickname is Yusarin.
context: Asked by who?\Taiyo TV.\Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin. response:	For what?
context: Taiyo TV.\Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what? response:	I don't know the reason why, but it's a fact that she's being chased,
context: Who from there?\I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased, response:	so we thought we'd help.
context: I don't know that far... that's the truth.\Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help. response:	You guys know Yusa?
context: Understood! I had already called for an ambulance.\What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa? response:	I'm a huge fan!
context: What the hell are you guys?\We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa?\I'm a huge fan! response:	Don't break the flow of the conversation every single time!
context: We are just looking for a woman named Yusa Nishimori.\Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time! response:	I was watching you the whole time.
context: Her nickname is Yusarin.\For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time. response:	How did you defeat that guy?
context: For what?\I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy? response:	With special abilities.
context: I don't know the reason why, but it's a fact that she's being chased,\so we thought we'd help.\You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy?\With special abilities. response:	That is most likely something like the ability that Nishimori has.
context: so we thought we'd help.\You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has. response:	How do you know that?
context: You guys know Yusa?\I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that? response:	If you trust us, I believe that we can save her.
context: I'm a huge fan!\Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her. response:	I see... then, prove to me that you have the same power as her.
context: Don't break the flow of the conversation every single time!\I was watching you the whole time.\How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her. response:	It's not the same power, but here.
context: I was watching you the whole time.\How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here. response:	She disappeared?
context: How did you defeat that guy?\With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared? response:	Here.
context: With special abilities.\That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared?\Here. response:	Now do you believe us?
context: That is most likely something like the ability that Nishimori has.\How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared?\Here.\Now do you believe us? response:	Yeah... now, come with me. But I'm sure you'll be confused.
context: How do you know that?\If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared?\Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused. response:	What do you mean by that?
context: If you trust us, I believe that we can save her.\I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared?\Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that? response:	Things got slightly complicated. I want you guys to see for yourselves.
context: I see... then, prove to me that you have the same power as her.\It's not the same power, but here.\She disappeared?\Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves. response:	Impressive. it's a club.
context: It's not the same power, but here.\She disappeared?\Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club. response:	You don't have to go so far to film this...
context: She disappeared?\Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this... response:	This way. Don't be slowpokes.
context: Here.\Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes. response:	I'm back.
context: Now do you believe us?\Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back. response:	How was it outside?
context: Yeah... now, come with me. But I'm sure you'll be confused.\What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back.\How was it outside? response:	It actually is the real Yusarin!
context: What do you mean by that?\Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back.\How was it outside?\It actually is the real Yusarin! response:	I have all the Haro-haro CDs!
context: Things got slightly complicated. I want you guys to see for yourselves.\Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back.\How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs! response:	Such a turn-off!
context: Impressive. it's a club.\You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back.\How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off! response:	Thank you very much!
context: You don't have to go so far to film this...\This way. Don't be slowpokes.\I'm back.\How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much! response:	It really is the girl I saw on TV back then...
context: This way. Don't be slowpokes.\I'm back.\How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then... response:	Hey, what's with those guys?
context: I'm back.\How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys? response:	They're just like Misa, and can use special abilities.
context: How was it outside?\It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities. response:	Misa? So her real name wasn't Yusa but Misa?
context: It actually is the real Yusarin!\I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa? response:	That's the complicated part.
context: I have all the Haro-haro CDs!\Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part. response:	Is it all right to trust them?
context: Such a turn-off!\Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them? response:	They used their powers to defeat those other guys.
context: Thank you very much!\It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys. response:	Now, can we ask her directly what's going on here?
context: It really is the girl I saw on TV back then...\Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here? response:	If you ask something stupid, don't think you can get out of here unscathed.
context: Hey, what's with those guys?\They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed. response:	Come on, you're being scary...
context: They're just like Misa, and can use special abilities.\Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary... response:	Tomori, be careful here...
context: Misa? So her real name wasn't Yusa but Misa?\That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here... response:	Yeah, yeah.
context: That's the complicated part.\Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah. response:	Nice to meet you. I'm Tomori.
context: Is it all right to trust them?\They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori. response:	Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!
context: They used their powers to defeat those other guys.\Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin! response:	She calls herself Yusarin?
context: Now, can we ask her directly what's going on here?\If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin? response:	This is the first time I meet an idol in real life.
context: If you ask something stupid, don't think you can get out of here unscathed.\Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life. response:	You really are so cute that it feels like someone created you...
context: Come on, you're being scary...\Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you... response:	I want to get that close, too...
context: Tomori, be careful here...\Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too... response:	Hey, you.
context: Yeah, yeah.\Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you. response:	Now, now...
context: Nice to meet you. I'm Tomori.\Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you.\Now, now... response:	So, first off, please tell me your real name.
context: Nice to meet you! I'm Yusa Nishimori, nicknamed Yusarin!\She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you.\Now, now...\So, first off, please tell me your real name. response:	My name is Yusa Kurobane!
context: She calls herself Yusarin?\This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you.\Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane! response:	I wasn't asking you.
context: This is the first time I meet an idol in real life.\You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you.\Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you. response:	Your real name sounds more fitting as a stage name...
context: You really are so cute that it feels like someone created you...\I want to get that close, too...\Hey, you.\Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name... response:	Yes, I hear that often... But, black feathers (kurobane)
context: I want to get that close, too...\Hey, you.\Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane) response:	doesn't sound too suitable for an idol, so they renamed me to Nishimori!
context: Hey, you.\Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori! response:	Indeed. So, Kurobane... there are times that you are not Kurobane.
context: Now, now...\So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane. response:	Are you aware of that fact?
context: So, first off, please tell me your real name.\My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact? response:	She is not aware of it. How do you know that?
context: My name is Yusa Kurobane!\I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that? response:	I wasn't asking you, bastard.
context: I wasn't asking you.\Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard. response:	What was that?
context: Your real name sounds more fitting as a stage name...\Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that? response:	So, Kurobane, how is it?
context: Yes, I hear that often... But, black feathers (kurobane)\doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it? response:	That's exactly it!
context: doesn't sound too suitable for an idol, so they renamed me to Nishimori!\Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it?\That's exactly it! response:	I guess you can call it sleepwalking.
context: Indeed. So, Kurobane... there are times that you are not Kurobane.\Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking. response:	Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...
context: Are you aware of that fact?\She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else... response:	The doctors tell me that there is a chance that I have a
context: She is not aware of it. How do you know that?\I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a response:	multiple personality disorder...
context: I wasn't asking you, bastard.\What was that?\So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder... response:	Is that so?
context: What was that?\So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so? response:	It's not schizophrenia, so please rest assured.
context: So, Kurobane, how is it?\That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured. response:	She has a special ability just like us.
context: That's exactly it!\I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us. response:	Her power is to allow a dead person to possess her body.
context: I guess you can call it sleepwalking.\Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body. response:	Seriously?
context: Lately, I don't realize I fell asleep, and when I wake up I'm somewhere else...\The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously? response:	I believe that this power calls forth this Misa girl that you guys talk of?
context: The doctors tell me that there is a chance that I have a\multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of? response:	Misa?
context: multiple personality disorder...\Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa? response:	Is something the matter?
context: Is that so?\It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter? response:	Don't ask anything.
context: It's not schizophrenia, so please rest assured.\She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter?\Don't ask anything. response:	Is it someone she knows?
context: She has a special ability just like us.\Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter?\Don't ask anything.\Is it someone she knows? response:	That's Yusa's sister who was older by a year.
context: Her power is to allow a dead person to possess her body.\Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter?\Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year. response:	She passed away six months ago from an accident.
context: Seriously?\I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter?\Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident. response:	You bastard...
context: I believe that this power calls forth this Misa girl that you guys talk of?\Misa?\Is something the matter?\Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard... response:	don't go blabbing this and that to someone stranger you just met!
context: Misa?\Is something the matter?\Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met! response:	Oh, can it be that you're Misa?
context: Is something the matter?\Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa? response:	Such a cramped place... all you gathered here? So annoying!
context: Don't ask anything.\Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying! response:	What a change in personality...
context: Is it someone she knows?\That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality... response:	Whoa! What an impressive ability!
context: That's Yusa's sister who was older by a year.\She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability! response:	Calm down, Misa! Are you going to burn us all to death?
context: She passed away six months ago from an accident.\You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death? response:	That guy has no sense at all...
context: You bastard...\don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all... response:	I'm surprised.
context: don't go blabbing this and that to someone stranger you just met!\Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised. response:	So she can't call the spirit forth on her own will, and Misa actually controls it all.
context: Oh, can it be that you're Misa?\Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all. response:	You got a problem with that?
context: Such a cramped place... all you gathered here? So annoying!\What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that? response:	Another ability that is somehow imperfect!
context: What a change in personality...\Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect! response:	That means, she has an unparalleled ability to be possessed.
context: Whoa! What an impressive ability!\Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed. response:	And Misa, who possesses Yusa, has the pyrokinetic ability.
context: Calm down, Misa! Are you going to burn us all to death?\That guy has no sense at all...\I'm surprised.\So she can't call the spirit forth on her own will, and Misa actually controls it all.\You got a problem with that?\Another ability that is somehow imperfect!\That means, she has an unparalleled ability to be possessed.\And Misa, who possesses Yusa, has the pyrokinetic ability. response:	Yeah.
