context: The meteor shower. response:	What are you talking about?
context: Sorry.\I was the one that messed up.\No worries.\So do you always have these with you?\I was hoping to eat with you guys today.\It's good!\Let's eat together.\Come over here. response:	This brings back memories, though.
context: I was the one that messed up.\No worries.\So do you always have these with you?\I was hoping to eat with you guys today.\It's good!\Let's eat together.\Come over here.\This brings back memories, though. response:	The observatory.
context: No worries.\So do you always have these with you?\I was hoping to eat with you guys today.\It's good!\Let's eat together.\Come over here.\This brings back memories, though.\The observatory. response:	Yeah, Nonoka said we should call the saucer.
context: So do you always have these with you?\I was hoping to eat with you guys today.\It's good!\Let's eat together.\Come over here.\This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer. response:	Remember we all got prepared, like we did today?
context: I was hoping to eat with you guys today.\It's good!\Let's eat together.\Come over here.\This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today? response:	We talked about how we should do it,
context: It's good!\Let's eat together.\Come over here.\This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it, response:	and we tried all sorts of things.
context: Let's eat together.\Come over here.\This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things. response:	It was pretty stupid in retrospect.
context: Come over here.\This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect. response:	It was so fun.
context: This brings back memories, though.\The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun. response:	And a saucer actually came.
context: The observatory.\Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came. response:	Did we really call that saucer?
context: Yeah, Nonoka said we should call the saucer.\Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came.\Did we really call that saucer? response:	Togawa-san?
context: Remember we all got prepared, like we did today?\We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came.\Did we really call that saucer?\Togawa-san? response:	Togawa-san!
context: We talked about how we should do it,\and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came.\Did we really call that saucer?\Togawa-san?\Togawa-san! response:	Togawa-san!
context: and we tried all sorts of things.\It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came.\Did we really call that saucer?\Togawa-san?\Togawa-san!\Togawa-san! response:	I'm leaving.
context: It was pretty stupid in retrospect.\It was so fun.\And a saucer actually came.\Did we really call that saucer?\Togawa-san?\Togawa-san!\Togawa-san!\I'm leaving. response:	Your friends?
context: It was so fun.\And a saucer actually came.\Did we really call that saucer?\Togawa-san?\Togawa-san!\Togawa-san!\I'm leaving.\Your friends? response:	Yeah.
context: And a saucer actually came.\Did we really call that saucer?\Togawa-san?\Togawa-san!\Togawa-san!\I'm leaving.\Your friends?\Yeah. response:	But we're in different schools, so we can only meet here.
context: Did we really call that saucer?\Togawa-san?\Togawa-san!\Togawa-san!\I'm leaving.\Your friends?\Yeah.\But we're in different schools, so we can only meet here. response:	Yuzuki and Souta are twins, but they're really different.
context: Togawa-san?\Togawa-san!\Togawa-san!\I'm leaving.\Your friends?\Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different. response:	But they're really close.
context: Togawa-san!\Togawa-san!\I'm leaving.\Your friends?\Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close. response:	Koharu's really, really nice.
context: Togawa-san!\I'm leaving.\Your friends?\Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice. response:	And Shione.
context: I'm leaving.\Your friends?\Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice.\And Shione. response:	Shione's friends with Mom, too.
context: Your friends?\Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too. response:	We're going to watch the stars together.
context: Yeah.\But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together. response:	The stars?
context: But we're in different schools, so we can only meet here.\Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together.\The stars? response:	Yeah.
context: Yuzuki and Souta are twins, but they're really different.\But they're really close.\Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together.\The stars?\Yeah. response:	We promised to watch the meteor shower.
context: But they're really close.\Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together.\The stars?\Yeah.\We promised to watch the meteor shower. response:	Together.
context: Koharu's really, really nice.\And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together.\The stars?\Yeah.\We promised to watch the meteor shower.\Together. response:	Meteor shower?
context: And Shione.\Shione's friends with Mom, too.\We're going to watch the stars together.\The stars?\Yeah.\We promised to watch the meteor shower.\Together.\Meteor shower? response:	Are you staying here, Noel?
context: Shione's friends with Mom, too.\We're going to watch the stars together.\The stars?\Yeah.\We promised to watch the meteor shower.\Together.\Meteor shower?\Are you staying here, Noel? response:	Why do you ask?
context: We're going to watch the stars together.\The stars?\Yeah.\We promised to watch the meteor shower.\Together.\Meteor shower?\Are you staying here, Noel?\Why do you ask? response:	If Shione comes, can you tell her something?
context: The stars?\Yeah.\We promised to watch the meteor shower.\Together.\Meteor shower?\Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something? response:	I won't be able to meet her, but I'll be back.
context: Yeah.\We promised to watch the meteor shower.\Together.\Meteor shower?\Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back. response:	I'll come back right away.
context: We promised to watch the meteor shower.\Together.\Meteor shower?\Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away. response:	So...
context: Together.\Meteor shower?\Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away.\So... response:	Tell her when I do, let's watch the meteor shower together.
context: Meteor shower?\Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together. response:	Okay.
context: Are you staying here, Noel?\Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together.\Okay. response:	Leave it to me.
context: Why do you ask?\If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me. response:	Thanks.
context: If Shione comes, can you tell her something?\I won't be able to meet her, but I'll be back.\I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me.\Thanks. response:	I was supposed to tell her myself.
context: I won't be able to meet her, but I'll be back.\I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me.\Thanks.\I was supposed to tell her myself. response:	I don't want to say bye.
context: I'll come back right away.\So...\Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me.\Thanks.\I was supposed to tell her myself.\I don't want to say bye. response:	Nonoka, does it hurt somewhere?
context: So...\Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me.\Thanks.\I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere? response:	How can you make it better?
context: Tell her when I do, let's watch the meteor shower together.\Okay.\Leave it to me.\Thanks.\I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better? response:	I know!
context: Okay.\Leave it to me.\Thanks.\I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better?\I know! response:	I'll teach you, too.
context: Leave it to me.\Thanks.\I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better?\I know!\I'll teach you, too. response:	Mom's song.
context: Thanks.\I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better?\I know!\I'll teach you, too.\Mom's song. response:	Keep Out
context: I was supposed to tell her myself.\I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better?\I know!\I'll teach you, too.\Mom's song.\Keep Out response:	Nonoka?
context: I don't want to say bye.\Nonoka, does it hurt somewhere?\How can you make it better?\I know!\I'll teach you, too.\Mom's song.\Keep Out\Nonoka? response:	Nonoka!
context: Nonoka, does it hurt somewhere?\How can you make it better?\I know!\I'll teach you, too.\Mom's song.\Keep Out\Nonoka?\Nonoka! response:	Who are you?
context: How can you make it better?\I know!\I'll teach you, too.\Mom's song.\Keep Out\Nonoka?\Nonoka!\Who are you? response:	Are you Shione?
context: I know!\I'll teach you, too.\Mom's song.\Keep Out\Nonoka?\Nonoka!\Who are you?\Are you Shione? response:	Yeah.
context: I'll teach you, too.\Mom's song.\Keep Out\Nonoka?\Nonoka!\Who are you?\Are you Shione?\Yeah. response:	How do you know that song?
context: Mom's song.\Keep Out\Nonoka?\Nonoka!\Who are you?\Are you Shione?\Yeah.\How do you know that song? response:	Where's Nonoka?
context: Keep Out\Nonoka?\Nonoka!\Who are you?\Are you Shione?\Yeah.\How do you know that song?\Where's Nonoka? response:	Nonoka went far away.
context: Nonoka?\Nonoka!\Who are you?\Are you Shione?\Yeah.\How do you know that song?\Where's Nonoka?\Nonoka went far away. response:	What do you mean?
context: Nonoka!\Who are you?\Are you Shione?\Yeah.\How do you know that song?\Where's Nonoka?\Nonoka went far away.\What do you mean? response:	But Nonoka told me
context: Who are you?\Are you Shione?\Yeah.\How do you know that song?\Where's Nonoka?\Nonoka went far away.\What do you mean?\But Nonoka told me response:	that she's coming back right away,
context: Are you Shione?\Yeah.\How do you know that song?\Where's Nonoka?\Nonoka went far away.\What do you mean?\But Nonoka told me\that she's coming back right away, response:	so she wants to watch the meteor shower with you.
context: Yeah.\How do you know that song?\Where's Nonoka?\Nonoka went far away.\What do you mean?\But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you. response:	Really?
context: How do you know that song?\Where's Nonoka?\Nonoka went far away.\What do you mean?\But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you.\Really? response:	I'm glad.
context: Where's Nonoka?\Nonoka went far away.\What do you mean?\But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you.\Really?\I'm glad. response:	Hokubi Festival
context: Nonoka went far away.\What do you mean?\But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you.\Really?\I'm glad.\Hokubi Festival response:	Have this.
context: What do you mean?\But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you.\Really?\I'm glad.\Hokubi Festival\Have this. response:	Thank you.
context: But Nonoka told me\that she's coming back right away,\so she wants to watch the meteor shower with you.\Really?\I'm glad.\Hokubi Festival\Have this.\Thank you. response:	What?
context: that she's coming back right away,\so she wants to watch the meteor shower with you.\Really?\I'm glad.\Hokubi Festival\Have this.\Thank you.\What? response:	But I can't go.
context: so she wants to watch the meteor shower with you.\Really?\I'm glad.\Hokubi Festival\Have this.\Thank you.\What?\But I can't go. response:	Why not?
context: Really?\I'm glad.\Hokubi Festival\Have this.\Thank you.\What?\But I can't go.\Why not? response:	Because I'm the saucer.
context: I'm glad.\Hokubi Festival\Have this.\Thank you.\What?\But I can't go.\Why not?\Because I'm the saucer. response:	Things get bad when I'm far from the saucer.
context: Hokubi Festival\Have this.\Thank you.\What?\But I can't go.\Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer. response:	Can you get in without this?
context: Have this.\Thank you.\What?\But I can't go.\Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this? response:	Aren't you going to watch the meteor shower with Nonoka?
context: Thank you.\What?\But I can't go.\Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka? response:	Is it because of me?
context: What?\But I can't go.\Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me? response:	Is it because I didn't explain it to you properly?
context: But I can't go.\Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly? response:	No, you did fine.
context: Why not?\Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine. response:	Then why?
context: Because I'm the saucer.\Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine.\Then why? response:	Can't you smile together?
context: Things get bad when I'm far from the saucer.\Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine.\Then why?\Can't you smile together? response:	I told you.
context: Can you get in without this?\Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine.\Then why?\Can't you smile together?\I told you. response:	It's because Nonoka's a liar.
context: Aren't you going to watch the meteor shower with Nonoka?\Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine.\Then why?\Can't you smile together?\I told you.\It's because Nonoka's a liar. response:	Nonoka's not a liar.
context: Is it because of me?\Is it because I didn't explain it to you properly?\No, you did fine.\Then why?\Can't you smile together?\I told you.\It's because Nonoka's a liar.\Nonoka's not a liar. response:	I always believed her.
context: Is it because I didn't explain it to you properly?\No, you did fine.\Then why?\Can't you smile together?\I told you.\It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her. response:	Nonoka's coming now, right?
context: No, you did fine.\Then why?\Can't you smile together?\I told you.\It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right? response:	We're going to watch the meteor shower together, right?
context: Then why?\Can't you smile together?\I told you.\It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right? response:	What did you come back for after all this time?
context: Can't you smile together?\I told you.\It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time? response:	I always believed her, too.
context: I told you.\It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too. response:	Then...
context: It's because Nonoka's a liar.\Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too.\Then... response:	Shione.
context: Nonoka's not a liar.\I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too.\Then...\Shione. response:	I'm scared.
context: I always believed her.\Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too.\Then...\Shione.\I'm scared. response:	I'm afraid of my trust being betrayed.
context: Nonoka's coming now, right?\We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too.\Then...\Shione.\I'm scared.\I'm afraid of my trust being betrayed. response:	Nonoka came back, like she promised.
context: We're going to watch the meteor shower together, right?\What did you come back for after all this time?\I always believed her, too.\Then...\Shione.\I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised. response:	So don't be scared.
context: What did you come back for after all this time?\I always believed her, too.\Then...\Shione.\I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared. response:	I know.
context: I always believed her, too.\Then...\Shione.\I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared.\I know. response:	It's my fault for not being able to trust her completely.
context: Then...\Shione.\I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared.\I know.\It's my fault for not being able to trust her completely. response:	It's because I changed.
context: Shione.\I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared.\I know.\It's my fault for not being able to trust her completely.\It's because I changed. response:	No.
context: I'm scared.\I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared.\I know.\It's my fault for not being able to trust her completely.\It's because I changed.\No. response:	That's not true.
context: I'm afraid of my trust being betrayed.\Nonoka came back, like she promised.\So don't be scared.\I know.\It's my fault for not being able to trust her completely.\It's because I changed.\No.\That's not true. response:	You all haven't changed.
context: Nonoka came back, like she promised.\So don't be scared.\I know.\It's my fault for not being able to trust her completely.\It's because I changed.\No.\That's not true.\You all haven't changed. response:	Nonoka kept her promise, so now it's my turn to grant your wish.
context: So don't be scared.\I know.\It's my fault for not being able to trust her completely.\It's because I changed.\No.\That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish. response:	Noel?
context: I know.\It's my fault for not being able to trust her completely.\It's because I changed.\No.\That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel? response:	Shione, let's watch the meteor shower together.
context: It's my fault for not being able to trust her completely.\It's because I changed.\No.\That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together. response:	We'll get a good view this year.
context: It's because I changed.\No.\That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year. response:	Hey, Shione.
context: No.\That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione. response:	Let me on.
context: That's not true.\You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione.\Let me on. response:	Now's a good time, so tell me the truth.
context: You all haven't changed.\Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione.\Let me on.\Now's a good time, so tell me the truth. response:	What?
context: Nonoka kept her promise, so now it's my turn to grant your wish.\Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione.\Let me on.\Now's a good time, so tell me the truth.\What? response:	What else?
context: Noel?\Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione.\Let me on.\Now's a good time, so tell me the truth.\What?\What else? response:	Do you like her or not?
context: Shione, let's watch the meteor shower together.\We'll get a good view this year.\Hey, Shione.\Let me on.\Now's a good time, so tell me the truth.\What?\What else?\Do you like her or not? response:	I'm talking about Nonoka.
context: We'll get a good view this year.\Hey, Shione.\Let me on.\Now's a good time, so tell me the truth.\What?\What else?\Do you like her or not?\I'm talking about Nonoka. response:	Togawa-san.
context: Hey, Shione.\Let me on.\Now's a good time, so tell me the truth.\What?\What else?\Do you like her or not?\I'm talking about Nonoka.\Togawa-san. response:	You made this?
context: Let me on.\Now's a good time, so tell me the truth.\What?\What else?\Do you like her or not?\I'm talking about Nonoka.\Togawa-san.\You made this? response:	I got a lot of help from everyone.
context: Now's a good time, so tell me the truth.\What?\What else?\Do you like her or not?\I'm talking about Nonoka.\Togawa-san.\You made this?\I got a lot of help from everyone. response:	It's not quite a meteor shower,
context: What?\What else?\Do you like her or not?\I'm talking about Nonoka.\Togawa-san.\You made this?\I got a lot of help from everyone.\It's not quite a meteor shower, response:	but I couldn't keep my promise, so...
context: What else?\Do you like her or not?\I'm talking about Nonoka.\Togawa-san.\You made this?\I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so... response:	You're right.
context: Do you like her or not?\I'm talking about Nonoka.\Togawa-san.\You made this?\I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right. response:	It's not the same as back then.
context: I'm talking about Nonoka.\Togawa-san.\You made this?\I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right.\It's not the same as back then. response:	I knew that, so why did I wait?
context: Togawa-san.\You made this?\I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right.\It's not the same as back then.\I knew that, so why did I wait? response:	So stupid.
context: You made this?\I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right.\It's not the same as back then.\I knew that, so why did I wait?\So stupid. response:	Togawa-san!
context: I got a lot of help from everyone.\It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right.\It's not the same as back then.\I knew that, so why did I wait?\So stupid.\Togawa-san! response:	I mean, Shione.
context: It's not quite a meteor shower,\but I couldn't keep my promise, so...\You're right.\It's not the same as back then.\I knew that, so why did I wait?\So stupid.\Togawa-san!\I mean, Shione. response:	What did you come back for, after all this time?
context: but I couldn't keep my promise, so...\You're right.\It's not the same as back then.\I knew that, so why did I wait?\So stupid.\Togawa-san!\I mean, Shione.\What did you come back for, after all this time? response:	I'd like to say it's to keep my promise to you,
context: You're right.\It's not the same as back then.\I knew that, so why did I wait?\So stupid.\Togawa-san!\I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you, response:	but I'd really forgotten about this town until I met Noel.
context: It's not the same as back then.\I knew that, so why did I wait?\So stupid.\Togawa-san!\I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel. response:	Not just you.
context: I knew that, so why did I wait?\So stupid.\Togawa-san!\I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you. response:	Even Yuzuki and Koharu and Souta.
context: So stupid.\Togawa-san!\I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta. response:	I've been trying not to remember those times.
context: Togawa-san!\I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times. response:	If it weren't for Noel, I probably wouldn't have even thought about it.
context: I mean, Shione.\What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it. response:	I'm so awful.
context: What did you come back for, after all this time?\I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful. response:	But I want to watch a meteor shower with you.
context: I'd like to say it's to keep my promise to you,\but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you. response:	That feeling's always been here.
context: but I'd really forgotten about this town until I met Noel.\Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here. response:	It hasn't changed.
context: Not just you.\Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed. response:	And this, too.
context: Even Yuzuki and Koharu and Souta.\I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed.\And this, too. response:	You're my precious, precious friend.
context: I've been trying not to remember those times.\If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed.\And this, too.\You're my precious, precious friend. response:	I'm sorry, Nonoka.
context: If it weren't for Noel, I probably wouldn't have even thought about it.\I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed.\And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka. response:	I'm the one that's awful.
context: I'm so awful.\But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed.\And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful. response:	I couldn't trust my beloved friend.
context: But I want to watch a meteor shower with you.\That feeling's always been here.\It hasn't changed.\And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend. response:	Even though you came back.
context: That feeling's always been here.\It hasn't changed.\And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back. response:	And about Noel.
context: It hasn't changed.\And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back.\And about Noel. response:	I want to watch the meteor shower with you this year.
context: And this, too.\You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year. response:	I want to be friends with you again.
context: You're my precious, precious friend.\I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again. response:	That's not right.
context: I'm sorry, Nonoka.\I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right. response:	My name is Togawa Shione.
context: I'm the one that's awful.\I couldn't trust my beloved friend.\Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right.\My name is Togawa Shione. response:	Please be my friend.
context: I couldn't trust my beloved friend.\Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right.\My name is Togawa Shione.\Please be my friend. response:	Okay.
context: Even though you came back.\And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right.\My name is Togawa Shione.\Please be my friend.\Okay. response:	A planetarium in place of a meteor shower, huh?
context: And about Noel.\I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right.\My name is Togawa Shione.\Please be my friend.\Okay.\A planetarium in place of a meteor shower, huh? response:	We'll get a good view this year.
context: I want to watch the meteor shower with you this year.\I want to be friends with you again.\That's not right.\My name is Togawa Shione.\Please be my friend.\Okay.\A planetarium in place of a meteor shower, huh?\We'll get a good view this year. response:	I'm the saucer.
context: I want to be friends with you again.\That's not right.\My name is Togawa Shione.\Please be my friend.\Okay.\A planetarium in place of a meteor shower, huh?\We'll get a good view this year.\I'm the saucer. response:	Noel.
context: That's not right.\My name is Togawa Shione.\Please be my friend.\Okay.\A planetarium in place of a meteor shower, huh?\We'll get a good view this year.\I'm the saucer.\Noel. response:	Is Shione coming today?
