context: It's done! response:	Whoa' No matter how many times I try. It always turns into Kero.
context: Oh yeah, I came\to return this to you\Since you worked so hard on it,\you should make sure to give it to that person,\right?\On the hand?\Yeah.\but since Eriol lived in England before' response:	I'm thinking maybe it was just a different kind of greeting,
context: to return this to you\Since you worked so hard on it,\you should make sure to give it to that person,\right?\On the hand?\Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting, response:	But, even though he's from another country,
context: Since you worked so hard on it,\you should make sure to give it to that person,\right?\On the hand?\Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country, response:	Hiragiizawa is a little different, neh'?
context: you should make sure to give it to that person,\right?\On the hand?\Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'? response:	Like what?
context: right?\On the hand?\Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what? response:	Maybe,'mature, or careful?
context: On the hand?\Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful? response:	I sometimes feel he is like an adult.
context: Yeah.\but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult. response:	Li also
context: but since Eriol lived in England before'\I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also response:	is from a foreign country
context: I'm thinking maybe it was just a different kind of greeting,\But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also\is from a foreign country response:	They are so differnet.
context: But, even though he's from another country,\Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also\is from a foreign country\They are so differnet. response:	Then again, Li was a little weird today.
context: Hiragiizawa is a little different, neh'?\Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also\is from a foreign country\They are so differnet.\Then again, Li was a little weird today. response:	What was it?
context: Like what?\Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also\is from a foreign country\They are so differnet.\Then again, Li was a little weird today.\What was it? response:	During lunch,
context: Maybe,'mature, or careful?\I sometimes feel he is like an adult.\Li also\is from a foreign country\They are so differnet.\Then again, Li was a little weird today.\What was it?\During lunch, response:	he saw
context: I sometimes feel he is like an adult.\Li also\is from a foreign country\They are so differnet.\Then again, Li was a little weird today.\What was it?\During lunch,\he saw response:	my face and ran off.
context: Li also\is from a foreign country\They are so differnet.\Then again, Li was a little weird today.\What was it?\During lunch,\he saw\my face and ran off. response:	I wonder if something happened'
context: is from a foreign country\They are so differnet.\Then again, Li was a little weird today.\What was it?\During lunch,\he saw\my face and ran off.\I wonder if something happened' response:	I'm not sure,
context: They are so differnet.\Then again, Li was a little weird today.\What was it?\During lunch,\he saw\my face and ran off.\I wonder if something happened'\I'm not sure, response:	but his face turned all red.
context: Then again, Li was a little weird today.\What was it?\During lunch,\he saw\my face and ran off.\I wonder if something happened'\I'm not sure,\but his face turned all red. response:	Oh, I see.
context: What was it?\During lunch,\he saw\my face and ran off.\I wonder if something happened'\I'm not sure,\but his face turned all red.\Oh, I see. response:	That's because he met you.
context: During lunch,\he saw\my face and ran off.\I wonder if something happened'\I'm not sure,\but his face turned all red.\Oh, I see.\That's because he met you. response:	Why does he run away when he sees me?
context: he saw\my face and ran off.\I wonder if something happened'\I'm not sure,\but his face turned all red.\Oh, I see.\That's because he met you.\Why does he run away when he sees me? response:	Because you accept everything so kindly.
context: my face and ran off.\I wonder if something happened'\I'm not sure,\but his face turned all red.\Oh, I see.\That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly. response:	It must be tough for Li-kun as well.
context: I wonder if something happened'\I'm not sure,\but his face turned all red.\Oh, I see.\That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well. response:	Oh, by the way,
context: I'm not sure,\but his face turned all red.\Oh, I see.\That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way, response:	did you finish the bear?
context: but his face turned all red.\Oh, I see.\That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear? response:	' Yeah.' Is it for Tsukishiro-san?
context: Oh, I see.\That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san? response:	I have a favour to ask'
context: That's because he met you.\Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask' response:	Haaa' It is embarassing.
context: Why does he run away when he sees me?\Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing. response:	You're exploding with cuteness.
context: Because you accept everything so kindly.\It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness. response:	It's good. It's good.
context: It must be tough for Li-kun as well.\Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good. response:	Why am I wearing the clothes that you gave me,
context: Oh, by the way,\did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me, response:	coming to Yukito's house?
context: did you finish the bear?\' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house? response:	The moment you are giving your hand made bear to Tsukishiro-san
context: ' Yeah.' Is it for Tsukishiro-san?\I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san response:	This is indeed a special day.
context: I have a favour to ask'\Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day. response:	On a special day, you can't have yourself not look great.
context: Haaa' It is embarassing.\You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great. response:	Tomoyo, is that a new video camera?
context: You're exploding with cuteness.\It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera? response:	Yes, last one broke,
context: It's good. It's good.\Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke, response:	With this new digitial camera,
context: Why am I wearing the clothes that you gave me,\coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera, response:	I can now record
context: coming to Yukito's house?\The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera,\I can now record response:	Sakura's image even clearer.
context: The moment you are giving your hand made bear to Tsukishiro-san\This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera,\I can now record\Sakura's image even clearer. response:	Toyomo'
context: This is indeed a special day.\On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera,\I can now record\Sakura's image even clearer.\Toyomo' response:	Hurry up!
context: On a special day, you can't have yourself not look great.\Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera,\I can now record\Sakura's image even clearer.\Toyomo'\Hurry up! response:	Now now, give the bear to him.
context: Tomoyo, is that a new video camera?\Yes, last one broke,\With this new digitial camera,\I can now record\Sakura's image even clearer.\Toyomo'\Hurry up!\Now now, give the bear to him. response:	But I'm not prepared.
context: Yes, last one broke,\With this new digitial camera,\I can now record\Sakura's image even clearer.\Toyomo'\Hurry up!\Now now, give the bear to him.\But I'm not prepared. response:	Fighting!
context: With this new digitial camera,\I can now record\Sakura's image even clearer.\Toyomo'\Hurry up!\Now now, give the bear to him.\But I'm not prepared.\Fighting! response:	Yes?
context: I can now record\Sakura's image even clearer.\Toyomo'\Hurry up!\Now now, give the bear to him.\But I'm not prepared.\Fighting!\Yes? response:	' It's me, Sakura.' Sakura.
context: Sakura's image even clearer.\Toyomo'\Hurry up!\Now now, give the bear to him.\But I'm not prepared.\Fighting!\Yes?\' It's me, Sakura.' Sakura. response:	I'll open the door now.
context: Toyomo'\Hurry up!\Now now, give the bear to him.\But I'm not prepared.\Fighting!\Yes?\' It's me, Sakura.' Sakura.\I'll open the door now. response:	Sakura is too cute.
context: Hurry up!\Now now, give the bear to him.\But I'm not prepared.\Fighting!\Yes?\' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute. response:	But wouldn't
context: Now now, give the bear to him.\But I'm not prepared.\Fighting!\Yes?\' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute.\But wouldn't response:	something edible been better?
context: But I'm not prepared.\Fighting!\Yes?\' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute.\But wouldn't\something edible been better? response:	Good evening.
context: Fighting!\Yes?\' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute.\But wouldn't\something edible been better?\Good evening. response:	Good evening. Hhh Ummm' this!
context: Yes?\' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute.\But wouldn't\something edible been better?\Good evening.\Good evening. Hhh Ummm' this! response:	For me?
context: ' It's me, Sakura.' Sakura.\I'll open the door now.\Sakura is too cute.\But wouldn't\something edible been better?\Good evening.\Good evening. Hhh Ummm' this!\For me? response:	Can I open it?
context: I'll open the door now.\Sakura is too cute.\But wouldn't\something edible been better?\Good evening.\Good evening. Hhh Ummm' this!\For me?\Can I open it? response:	Wow, did you make this?
context: Sakura is too cute.\But wouldn't\something edible been better?\Good evening.\Good evening. Hhh Ummm' this!\For me?\Can I open it?\Wow, did you make this? response:	Yes, it's not the best job in the world' but'
context: But wouldn't\something edible been better?\Good evening.\Good evening. Hhh Ummm' this!\For me?\Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but' response:	Thank you. I'll cherish it and take good care'
context: something edible been better?\Good evening.\Good evening. Hhh Ummm' this!\For me?\Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care' response:	This is the best shot of the week.
context: Good evening.\Good evening. Hhh Ummm' this!\For me?\Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week. response:	I still think something edible would have been better.
context: Good evening. Hhh Ummm' this!\For me?\Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better. response:	This aura' Clow's?
context: For me?\Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's? response:	Sakura'
context: Can I open it?\Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's?\Sakura' response:	Sakura'
context: Wow, did you make this?\Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's?\Sakura'\Sakura' response:	Are you both OK?
context: Yes, it's not the best job in the world' but'\Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's?\Sakura'\Sakura'\Are you both OK? response:	' I'm OK, but Yue is'' I'm fine'
context: Thank you. I'll cherish it and take good care'\This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's?\Sakura'\Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine' response:	Ara' He fell. They seem to be struggling.
context: This is the best shot of the week.\I still think something edible would have been better.\This aura' Clow's?\Sakura'\Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling. response:	Especially Yue'
context: I still think something edible would have been better.\This aura' Clow's?\Sakura'\Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue' response:	Are you really OK, Yue?
context: This aura' Clow's?\Sakura'\Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue? response:	Really really ok?
context: Sakura'\Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue?\Really really ok? response:	Yeah.
context: Sakura'\Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue?\Really really ok?\Yeah. response:	That's a relief.
context: Are you both OK?\' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue?\Really really ok?\Yeah.\That's a relief. response:	Kero, look after Tomoyo and Yue please.
context: ' I'm OK, but Yue is'' I'm fine'\Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue?\Really really ok?\Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please. response:	O Key which hides the forces of stars,
context: Ara' He fell. They seem to be struggling.\Especially Yue'\Are you really OK, Yue?\Really really ok?\Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars, response:	reveal thy true form before me.
context: Especially Yue'\Are you really OK, Yue?\Really really ok?\Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: Are you really OK, Yue?\Really really ok?\Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: Really really ok?\Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	I can surely feel Clow's aura.
context: Yeah.\That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura. response:	I can't use the card like this.
context: That's a relief.\Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura.\I can't use the card like this. response:	O Card created by Clow,
context: Kero, look after Tomoyo and Yue please.\O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow, response:	Discard thine old form and be reborn.
context: O Key which hides the forces of stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Jump!
context: I, Sakura, command thee under contract.\Release!\I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump! response:	Yukito's house is getting demolished.
context: Release!\I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished. response:	How can I stop this stuffed bear?
context: I can surely feel Clow's aura.\I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear? response:	It's moving by magic,
context: I can't use the card like this.\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic, response:	you have to find the source.
context: O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic,\you have to find the source. response:	That's it. Sakura!
context: Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic,\you have to find the source.\That's it. Sakura! response:	You have to find
context: Under the name of Sakura, thy new Mistress.\Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic,\you have to find the source.\That's it. Sakura!\You have to find response:	the source of the bear's movement!!
context: Jump!\Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic,\you have to find the source.\That's it. Sakura!\You have to find\the source of the bear's movement!! response:	What's the source?
context: Yukito's house is getting demolished.\How can I stop this stuffed bear?\It's moving by magic,\you have to find the source.\That's it. Sakura!\You have to find\the source of the bear's movement!!\What's the source? response:	Place where its magic is the strongest.
context: How can I stop this stuffed bear?\It's moving by magic,\you have to find the source.\That's it. Sakura!\You have to find\the source of the bear's movement!!\What's the source?\Place where its magic is the strongest. response:	Place where its magic is the strongest.
context: It's moving by magic,\you have to find the source.\That's it. Sakura!\You have to find\the source of the bear's movement!!\What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest. response:	' It is ear?' Cut it off!
context: you have to find the source.\That's it. Sakura!\You have to find\the source of the bear's movement!!\What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off! response:	Sword!
context: That's it. Sakura!\You have to find\the source of the bear's movement!!\What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword! response:	No good.
context: You have to find\the source of the bear's movement!!\What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword!\No good. response:	She can't make it from there using Jump.
context: the source of the bear's movement!!\What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword!\No good.\She can't make it from there using Jump. response:	If she doesn't use Fly'
context: What's the source?\Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword!\No good.\She can't make it from there using Jump.\If she doesn't use Fly' response:	But if she uses Fly to
context: Place where its magic is the strongest.\Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword!\No good.\She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to response:	fly away then the Sword will'
context: Place where its magic is the strongest.\' It is ear?' Cut it off!\Sword!\No good.\She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will' response:	Right, Fly uses the wand
context: ' It is ear?' Cut it off!\Sword!\No good.\She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand response:	to grow wings on its end to fly away.
context: Sword!\No good.\She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away. response:	If she uses that, then she can't use the Sword.
context: No good.\She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword. response:	Watch out!!
context: She can't make it from there using Jump.\If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!! response:	Please.
context: If she doesn't use Fly'\But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!!\Please. response:	I have to use the Sword,
context: But if she uses Fly to\fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!!\Please.\I have to use the Sword, response:	so help me fly in the air without using my wand.
context: fly away then the Sword will'\Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!!\Please.\I have to use the Sword,\so help me fly in the air without using my wand. response:	O Card created by Clow,
context: Right, Fly uses the wand\to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!!\Please.\I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow, response:	discard thine old form and be reborn.
context: to grow wings on its end to fly away.\If she uses that, then she can't use the Sword.\Watch out!!\Please.\I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: If she uses that, then she can't use the Sword.\Watch out!!\Please.\I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Fly!
context: Watch out!!\Please.\I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly! response:	Sakura'
context: Please.\I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly!\Sakura' response:	SWORD!
context: I have to use the Sword,\so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly!\Sakura'\SWORD! response:	She did it!
context: so help me fly in the air without using my wand.\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly!\Sakura'\SWORD!\She did it! response:	Again, it really is Sakura.
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly!\Sakura'\SWORD!\She did it!\Again, it really is Sakura. response:	The card again changed.
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Fly!\Sakura'\SWORD!\She did it!\Again, it really is Sakura.\The card again changed. response:	Sakura did a great job
context: Under the name of Sakura, thy new Mistress.\Fly!\Sakura'\SWORD!\She did it!\Again, it really is Sakura.\The card again changed.\Sakura did a great job response:	What's it, Yue?
context: Fly!\Sakura'\SWORD!\She did it!\Again, it really is Sakura.\The card again changed.\Sakura did a great job\What's it, Yue? response:	This'
context: Sakura'\SWORD!\She did it!\Again, it really is Sakura.\The card again changed.\Sakura did a great job\What's it, Yue?\This' response:	same picture as when I use the magic Clow cards.
context: SWORD!\She did it!\Again, it really is Sakura.\The card again changed.\Sakura did a great job\What's it, Yue?\This'\same picture as when I use the magic Clow cards. response:	What's going on?
