context: Final check of internal Kivotos systems. response:	Communication systems.
context: The research team did their best, but...\I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true.\DEFCON 1? response:	Everyone, this is an emergency.
context: I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true.\DEFCON 1?\Everyone, this is an emergency. response:	Over the last one hundred and twenty seconds,
context: Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true.\DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds, response:	the phenomenon we saw in Tokyo where everyone within a given area goes into comas
context: I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true.\DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas response:	has occurred in no fewer than twenty-five places.
context: You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true.\DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places. response:	We can assume that the Planetary Gears
context: G-Governor Yomatsuri!\But it's true.\DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears response:	have been gathering high-density libido on a scale unseen up to this point.
context: But it's true.\DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point. response:	According to a report that's just come in,
context: DEFCON 1?\Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in, response:	Alonzo's predictive simulations suggest there's a 99.98 chance that all the
context: Everyone, this is an emergency.\Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the response:	Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.
context: Over the last one hundred and twenty seconds,\the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form. response:	99.98?
context: the phenomenon we saw in Tokyo where everyone within a given area goes into comas\has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98? response:	A full-scale attack?
context: has occurred in no fewer than twenty-five places.\We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack? response:	Seven Kiltgangs attacking at once?
context: We can assume that the Planetary Gears\have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack?\Seven Kiltgangs attacking at once? response:	And it could happen right now?
context: have been gathering high-density libido on a scale unseen up to this point.\According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now? response:	Commander.
context: According to a report that's just come in,\Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now?\Commander. response:	I understand there's no time to waste.
context: Alonzo's predictive simulations suggest there's a 99.98 chance that all the\Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now?\Commander.\I understand there's no time to waste. response:	The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,
context: Planetary Gears on Earth will launch a full-scale attack in Kiltgang form.\99.98?\A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now?\Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon, response:	in orbit around Uranus.
context: 99.98?\A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now?\Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus. response:	Protect the Earth.
context: A full-scale attack?\Seven Kiltgangs attacking at once?\And it could happen right now?\Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth. response:	Roger.
context: Seven Kiltgangs attacking at once?\And it could happen right now?\Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth.\Roger. response:	They can do this, right?
context: And it could happen right now?\Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth.\Roger.\They can do this, right? response:	Yeah.
context: Commander.\I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth.\Roger.\They can do this, right?\Yeah. response:	Let's go swimming again, Teppei-kun!
context: I understand there's no time to waste.\The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth.\Roger.\They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun! response:	Roger.
context: The Midsummer's Knights will now launch the attack on enemy fortress carrier Oberon,\in orbit around Uranus.\Protect the Earth.\Roger.\They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun!\Roger. response:	We'll be back, Governor.
context: in orbit around Uranus.\Protect the Earth.\Roger.\They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor. response:	Hana!
context: Protect the Earth.\Roger.\They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor.\Hana! response:	We'll be back, Mom!
context: Roger.\They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor.\Hana!\We'll be back, Mom! response:	I'll be waiting.
context: They can do this, right?\Yeah.\Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor.\Hana!\We'll be back, Mom!\I'll be waiting. response:	Teppei-kun,
context: Yeah.\Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor.\Hana!\We'll be back, Mom!\I'll be waiting.\Teppei-kun, response:	take care of Akari.
context: Let's go swimming again, Teppei-kun!\Roger.\We'll be back, Governor.\Hana!\We'll be back, Mom!\I'll be waiting.\Teppei-kun,\take care of Akari. response:	Right.
context: Roger.\We'll be back, Governor.\Hana!\We'll be back, Mom!\I'll be waiting.\Teppei-kun,\take care of Akari.\Right. response:	Wipe out the enemy, and come back safely.
context: We'll be back, Governor.\Hana!\We'll be back, Mom!\I'll be waiting.\Teppei-kun,\take care of Akari.\Right.\Wipe out the enemy, and come back safely. response:	Those are the terms of success for this mission.
context: Hana!\We'll be back, Mom!\I'll be waiting.\Teppei-kun,\take care of Akari.\Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission. response:	Got it?
context: We'll be back, Mom!\I'll be waiting.\Teppei-kun,\take care of Akari.\Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it? response:	Roger!
context: I'll be waiting.\Teppei-kun,\take care of Akari.\Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it?\Roger! response:	Daichi?
context: Teppei-kun,\take care of Akari.\Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it?\Roger!\Daichi? response:	The anniversary of Taiyou's death is in a week.
context: take care of Akari.\Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it?\Roger!\Daichi?\The anniversary of Taiyou's death is in a week. response:	Let's go visit his grave together.
context: Right.\Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it?\Roger!\Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together. response:	Right!
context: Wipe out the enemy, and come back safely.\Those are the terms of success for this mission.\Got it?\Roger!\Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right! response:	For sure.
context: Those are the terms of success for this mission.\Got it?\Roger!\Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right!\For sure. response:	It's a promise.
context: Got it?\Roger!\Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right!\For sure.\It's a promise. response:	They're the team we hoped for.
context: Roger!\Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right!\For sure.\It's a promise.\They're the team we hoped for. response:	That's what I think.
context: Daichi?\The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right!\For sure.\It's a promise.\They're the team we hoped for.\That's what I think. response:	Yeah, you're right.
context: The anniversary of Taiyou's death is in a week.\Let's go visit his grave together.\Right!\For sure.\It's a promise.\They're the team we hoped for.\That's what I think.\Yeah, you're right. response:	Everyone, you heard the situation.
context: Let's go visit his grave together.\Right!\For sure.\It's a promise.\They're the team we hoped for.\That's what I think.\Yeah, you're right.\Everyone, you heard the situation. response:	At this very moment,
context: Right!\For sure.\It's a promise.\They're the team we hoped for.\That's what I think.\Yeah, you're right.\Everyone, you heard the situation.\At this very moment, response:	the enemy might launch an attack with seven Kiltgangs.
context: For sure.\It's a promise.\They're the team we hoped for.\That's what I think.\Yeah, you're right.\Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs. response:	Our ship, the Blume, will head for the fortress carrier Oberon,
context: It's a promise.\They're the team we hoped for.\That's what I think.\Yeah, you're right.\Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon, response:	in orbit around Uranus.
context: They're the team we hoped for.\That's what I think.\Yeah, you're right.\Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus. response:	If I concentrate on the Entangle Link,
context: That's what I think.\Yeah, you're right.\Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link, response:	I can't use the Blume's normal weapons or change our course at all.
context: Yeah, you're right.\Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all. response:	Don't worry.
context: Everyone, you heard the situation.\At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry. response:	We'll protect you.
context: At this very moment,\the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you. response:	Leave it to us.
context: the enemy might launch an attack with seven Kiltgangs.\Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you.\Leave it to us. response:	Okay.
context: Our ship, the Blume, will head for the fortress carrier Oberon,\in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you.\Leave it to us.\Okay. response:	I'm going to the Blume.
context: in orbit around Uranus.\If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you.\Leave it to us.\Okay.\I'm going to the Blume. response:	Hana, are you sure about this?
context: If I concentrate on the Entangle Link,\I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you.\Leave it to us.\Okay.\I'm going to the Blume.\Hana, are you sure about this? response:	Captain?
context: I can't use the Blume's normal weapons or change our course at all.\Don't worry.\We'll protect you.\Leave it to us.\Okay.\I'm going to the Blume.\Hana, are you sure about this?\Captain? response:	When this mission is over,
context: Don't worry.\We'll protect you.\Leave it to us.\Okay.\I'm going to the Blume.\Hana, are you sure about this?\Captain?\When this mission is over, response:	let's go to a festival and eat a candy apple together!
context: We'll protect you.\Leave it to us.\Okay.\I'm going to the Blume.\Hana, are you sure about this?\Captain?\When this mission is over,\let's go to a festival and eat a candy apple together! response:	Hana?
context: Leave it to us.\Okay.\I'm going to the Blume.\Hana, are you sure about this?\Captain?\When this mission is over,\let's go to a festival and eat a candy apple together!\Hana? response:	Captain...
context: Okay.\I'm going to the Blume.\Hana, are you sure about this?\Captain?\When this mission is over,\let's go to a festival and eat a candy apple together!\Hana?\Captain... response:	When you destroyed that debris back there,
context: I'm going to the Blume.\Hana, are you sure about this?\Captain?\When this mission is over,\let's go to a festival and eat a candy apple together!\Hana?\Captain...\When you destroyed that debris back there, response:	I thought to myself that you've become a real captain.
context: Hana, are you sure about this?\Captain?\When this mission is over,\let's go to a festival and eat a candy apple together!\Hana?\Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain. response:	You should have it, as proof that you're the captain.
context: Captain?\When this mission is over,\let's go to a festival and eat a candy apple together!\Hana?\Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain. response:	I'll be a real captain
context: When this mission is over,\let's go to a festival and eat a candy apple together!\Hana?\Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain response:	when this mission is successfully completed.
context: let's go to a festival and eat a candy apple together!\Hana?\Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed. response:	Until then, keep it for me.
context: Hana?\Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me. response:	Got it.
context: Captain...\When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me.\Got it. response:	Hana, can you hear me?
context: When you destroyed that debris back there,\I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me.\Got it.\Hana, can you hear me? response:	I can hear you.
context: I thought to myself that you've become a real captain.\You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me.\Got it.\Hana, can you hear me?\I can hear you. response:	Can you use your Livlaster?
context: You should have it, as proof that you're the captain.\I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me.\Got it.\Hana, can you hear me?\I can hear you.\Can you use your Livlaster? response:	I can.
context: I'll be a real captain\when this mission is successfully completed.\Until then, keep it for me.\Got it.\Hana, can you hear me?\I can hear you.\Can you use your Livlaster?\I can. response:	I'm starting up the main engine.
context: when this mission is successfully completed.\Until then, keep it for me.\Got it.\Hana, can you hear me?\I can hear you.\Can you use your Livlaster?\I can.\I'm starting up the main engine. response:	Okay, I'll let you handle the timing.
context: Until then, keep it for me.\Got it.\Hana, can you hear me?\I can hear you.\Can you use your Livlaster?\I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing. response:	Let's save the Earth together, partner.
context: Got it.\Hana, can you hear me?\I can hear you.\Can you use your Livlaster?\I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner. response:	Yeah. Leave it to me, partner!
context: Hana, can you hear me?\I can hear you.\Can you use your Livlaster?\I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner! response:	Looks like they're attacking with the Blume, after all.
context: I can hear you.\Can you use your Livlaster?\I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all. response:	They have the Blume and the Livlaster.
context: Can you use your Livlaster?\I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster. response:	Ai's failure with that debris plan hurt us a lot.
context: I can.\I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot. response:	What?
context: I'm starting up the main engine.\Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What? response:	It's all my fault?
context: Okay, I'll let you handle the timing.\Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault? response:	Does Albion really intend to destroy the cocoon and all our Ego Blocks?
context: Let's save the Earth together, partner.\Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks? response:	I don't really know.
context: Yeah. Leave it to me, partner!\Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know. response:	Does Albion intend to die here, in this solar system?
context: Looks like they're attacking with the Blume, after all.\They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system? response:	If the cocoon is destroyed, we won't be able to go to other systems
context: They have the Blume and the Livlaster.\Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems response:	after eating all the Earthlings' libido energy.
context: Ai's failure with that debris plan hurt us a lot.\What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy. response:	But it appears they're bringing their usual group of friends.
context: What?\It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends. response:	Daichi Manatsu and Akari Yomatsuri, too?
context: It's all my fault?\Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too? response:	If their minds can handle the Entangle Link, it's possible that they'd take them.
context: Does Albion really intend to destroy the cocoon and all our Ego Blocks?\I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them. response:	Well, having a Neoteny around would be helpful.
context: I don't really know.\Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful. response:	I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.
context: Does Albion intend to die here, in this solar system?\If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport. response:	Their weak minds are less than human.
context: If the cocoon is destroyed, we won't be able to go to other systems\after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human. response:	How arrogant are they?
context: after eating all the Earthlings' libido energy.\But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they? response:	Well, it doesn't matter.
context: But it appears they're bringing their usual group of friends.\Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter. response:	This will be good fun before our attack.
context: Daichi Manatsu and Akari Yomatsuri, too?\If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack. response:	An Impacter has appeared in front of the Blume.
context: If their minds can handle the Entangle Link, it's possible that they'd take them.\Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume. response:	Omega sector.
context: Well, having a Neoteny around would be helpful.\I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector. response:	Distance: 150,000.
context: I can't imagine an Earthling being able to withstand an Entangle Link's hyperspace transport.\Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000. response:	An Impacter?
context: Their weak minds are less than human.\How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000.\An Impacter? response:	The Garm Engine...
context: How arrogant are they?\Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000.\An Impacter?\The Garm Engine... response:	A massive Impacter developed by the Ark Faction to capture the Kiltgangs.
context: Well, it doesn't matter.\This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000.\An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs. response:	It must be Salty Dog.
context: This will be good fun before our attack.\An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000.\An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog. response:	At a time like this?
context: An Impacter has appeared in front of the Blume.\Omega sector.\Distance: 150,000.\An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this? response:	Didn't we tell you we'd protect you?
context: Omega sector.\Distance: 150,000.\An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you? response:	You concentrate on the Entangle Link.
context: Distance: 150,000.\An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link. response:	Roger.
context: An Impacter?\The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger. response:	Teppei, Akari...
context: The Garm Engine...\A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger.\Teppei, Akari... response:	Let's go.
context: A massive Impacter developed by the Ark Faction to capture the Kiltgangs.\It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger.\Teppei, Akari...\Let's go. response:	Roger.
context: It must be Salty Dog.\At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger.\Teppei, Akari...\Let's go.\Roger. response:	We will now begin Operation Summer.
context: At a time like this?\Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger.\Teppei, Akari...\Let's go.\Roger.\We will now begin Operation Summer. response:	In terms of size, that monster's as big as the Tenkaidou.
context: Didn't we tell you we'd protect you?\You concentrate on the Entangle Link.\Roger.\Teppei, Akari...\Let's go.\Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou. response:	It's entering our firing range, Captain.
context: You concentrate on the Entangle Link.\Roger.\Teppei, Akari...\Let's go.\Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain. response:	Mid-sized Impacters are splitting off from the Garm Engine!
context: Roger.\Teppei, Akari...\Let's go.\Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine! response:	It's Cerberus!
context: Teppei, Akari...\Let's go.\Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus! response:	Cerberus?
context: Let's go.\Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus? response:	I'll head out in the Earth.
context: Roger.\We will now begin Operation Summer.\In terms of size, that monster's as big as the Tenkaidou.\It's entering our firing range, Captain.\Mid-sized Impacters are splitting off from the Garm Engine!\It's Cerberus!\Cerberus?\I'll head out in the Earth. response:	Take care of the ship, Teppei.
