context: I meant for you to hide here. response:	If I don't forget, I'll come back and dig you out.
context: Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?! response:	I can see several glowing strands of hair there...
context: However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there... response:	There's the main strand that's been bewitching the others.
context: She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others. response:	That means if we follow the main strand, we'll find Yura!
context: Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura! response:	That way!
context: Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way! response:	Okay!
context: Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way!\Okay! response:	There's no time to stand around and quarrel!
context: yet she still comes after us!\Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way!\Okay!\There's no time to stand around and quarrel! response:	You need Kagome and Kagome needs you!
context: Hold it! Did you say she took it?!\I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way!\Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you! response:	And you must get through this difficulty together!
context: I can see several glowing strands of hair there...\There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way!\Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together! response:	A bonfire...
context: There's the main strand that's been bewitching the others.\That means if we follow the main strand, we'll find Yura!\That way!\Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire... response:	Their heads are gone!
context: That means if we follow the main strand, we'll find Yura!\That way!\Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire...\Their heads are gone! response:	They're fallen warriors.
context: That way!\Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire...\Their heads are gone!\They're fallen warriors. response:	They must've gotten tangled in the hair strands.
context: Okay!\There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire...\Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands. response:	Such bad luck.
context: There's no time to stand around and quarrel!\You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire...\Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck. response:	Stop looking so depressed!
context: You need Kagome and Kagome needs you!\And you must get through this difficulty together!\A bonfire...\Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed! response:	And don't start whining about wanting to go home.
context: And you must get through this difficulty together!\A bonfire...\Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home. response:	We must destroy Yura quickly or many innocent people will die.
context: A bonfire...\Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die. response:	The arrows you shoot probably won't hit their targets.
context: Their heads are gone!\They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets. response:	How rude! If I practice, maybe!
context: They're fallen warriors.\They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe! response:	Practice?
context: They must've gotten tangled in the hair strands.\Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice? response:	Did you practice?
context: Such bad luck.\Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice?\Did you practice? response:	From now on! Just watch me! I'm going to improve!
context: Stop looking so depressed!\And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice?\Did you practice?\From now on! Just watch me! I'm going to improve! response:	Huh?!
context: And don't start whining about wanting to go home.\We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice?\Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?! response:	This girl...
context: We must destroy Yura quickly or many innocent people will die.\The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice?\Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?!\This girl... response:	She's hopeless, but I gotta admit, she's gutsy.
context: The arrows you shoot probably won't hit their targets.\How rude! If I practice, maybe!\Practice?\Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy. response:	The main lines are gathering. She's close!
context: How rude! If I practice, maybe!\Practice?\Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close! response:	They're coming!
context: Practice?\Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming! response:	From the left! The right, too!
context: Did you practice?\From now on! Just watch me! I'm going to improve!\Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming!\From the left! The right, too! response:	Too many! Use your instincts to evade them!
context: From now on! Just watch me! I'm going to improve!\Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them! response:	Whhaa...?! What a useless woman!
context: Huh?!\This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman! response:	I thought you came to fight?!
context: This girl...\She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?! response:	There!
context: She's hopeless, but I gotta admit, she's gutsy.\The main lines are gathering. She's close!\They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?!\There! response:	Before you!
context: The main lines are gathering. She's close!\They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?!\There!\Before you! response:	The rear, too?!
context: They're coming!\From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?!\There!\Before you!\The rear, too?! response:	Inuyasha...
context: From the left! The right, too!\Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?!\There!\Before you!\The rear, too?!\Inuyasha... response:	A giant sphere of hair...
context: Too many! Use your instincts to evade them!\Whhaa...?! What a useless woman!\I thought you came to fight?!\There!\Before you!\The rear, too?!\Inuyasha...\A giant sphere of hair... response:	Yura's hiding place?
context: Whhaa...?! What a useless woman!\I thought you came to fight?!\There!\Before you!\The rear, too?!\Inuyasha...\A giant sphere of hair...\Yura's hiding place? response:	Hmm... such a fine prey.
context: I thought you came to fight?!\There!\Before you!\The rear, too?!\Inuyasha...\A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey. response:	You're Inuyasha, aren't you?
context: There!\Before you!\The rear, too?!\Inuyasha...\A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you? response:	So you're Yura? How do you know me?
context: Before you!\The rear, too?!\Inuyasha...\A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me? response:	I heard the gossip in the wind.
context: The rear, too?!\Inuyasha...\A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind. response:	That a half-demon named Inuyasha is serving...
context: Inuyasha...\A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving... response:	the reincarnation of a shrine maiden...
context: A giant sphere of hair...\Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden... response:	and helping her to protect for the Sacred Jewel.
context: Yura's hiding place?\Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel. response:	What?!
context: Hmm... such a fine prey.\You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?! response:	Me? Serving that brainless girl?
context: You're Inuyasha, aren't you?\So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl? response:	You've gotta be kidding me!
context: So you're Yura? How do you know me?\I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl?\You've gotta be kidding me! response:	I see... Well, both of you are brainless.
context: I heard the gossip in the wind.\That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless. response:	Turning the Sacred Jewel into this.
context: That a half-demon named Inuyasha is serving...\the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this. response:	That's the Jewel fragment she stole from me!
context: the reincarnation of a shrine maiden...\and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me! response:	In any case, I'll deal with you two...
context: and helping her to protect for the Sacred Jewel.\What?!\Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two... response:	and go look for the other fragments.
context: What?!\Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments. response:	Hmm... Deal with me?
context: Me? Serving that brainless girl?\You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me? response:	You're the one who'll rue the day...
context: You've gotta be kidding me!\I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day... response:	you appeared before my eyes!
context: I see... Well, both of you are brainless.\Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes! response:	The same tactic over and over again!
context: Turning the Sacred Jewel into this.\That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again! response:	Damn it!
context: That's the Jewel fragment she stole from me!\In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again!\Damn it! response:	Such pretty hair...
context: In any case, I'll deal with you two...\and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again!\Damn it!\Such pretty hair... response:	But you haven't taken care of it, have you?
context: and go look for the other fragments.\Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again!\Damn it!\Such pretty hair...\But you haven't taken care of it, have you? response:	So many split ends.
context: Hmm... Deal with me?\You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again!\Damn it!\Such pretty hair...\But you haven't taken care of it, have you?\So many split ends. response:	Inuyasha!!
context: You're the one who'll rue the day...\you appeared before my eyes!\The same tactic over and over again!\Damn it!\Such pretty hair...\But you haven't taken care of it, have you?\So many split ends.\Inuyasha!! response:	Now, I'll shred you to pieces!
context: you appeared before my eyes!\The same tactic over and over again!\Damn it!\Such pretty hair...\But you haven't taken care of it, have you?\So many split ends.\Inuyasha!!\Now, I'll shred you to pieces! response:	Now, I'll shred you to pieces!
context: The same tactic over and over again!\Damn it!\Such pretty hair...\But you haven't taken care of it, have you?\So many split ends.\Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces! response:	Release Inuyasha!
context: Damn it!\Such pretty hair...\But you haven't taken care of it, have you?\So many split ends.\Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha! response:	Because I won't miss this time!
context: Such pretty hair...\But you haven't taken care of it, have you?\So many split ends.\Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time! response:	The woman who disappeared from the well?
context: But you haven't taken care of it, have you?\So many split ends.\Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well? response:	Now! Hurry it up!
context: So many split ends.\Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up! response:	Release Inuyasha, you say?
context: Inuyasha!!\Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say? response:	You two must be quite chummy!
context: Now, I'll shred you to pieces!\Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy! response:	Fool! Forget me and get away!
context: Now, I'll shred you to pieces!\Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away! response:	It's not that pretty, but I think I'll take her hair, too.
context: Release Inuyasha!\Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too. response:	What'll I do?
context: Because I won't miss this time!\The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do? response:	Not that pretty?
context: The woman who disappeared from the well?\Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty? response:	I condition my hair everyday! Stop being so rude!
context: Now! Hurry it up!\Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude! response:	Where are you aiming, stupid?!
context: Release Inuyasha, you say?\You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?! response:	No! All my victims!
context: You two must be quite chummy!\Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims! response:	The heads of those fallen warriors we saw...
context: Fool! Forget me and get away!\It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw... response:	Your head will soon occupy a place there.
context: It's not that pretty, but I think I'll take her hair, too.\What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there. response:	All this fine silver-colored hair...
context: What'll I do?\Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair... response:	I can't wait to control it.
context: Not that pretty?\I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it. response:	Before that, however...
context: I condition my hair everyday! Stop being so rude!\Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it.\Before that, however... response:	You there! Woman!
context: Where are you aiming, stupid?!\No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it.\Before that, however...\You there! Woman! response:	You scare me, so die!
context: No! All my victims!\The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it.\Before that, however...\You there! Woman!\You scare me, so die! response:	How do you like my demon fire!
context: The heads of those fallen warriors we saw...\Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it.\Before that, however...\You there! Woman!\You scare me, so die!\How do you like my demon fire! response:	You'll feel the heat all the way to your bones!
context: Your head will soon occupy a place there.\All this fine silver-colored hair...\I can't wait to control it.\Before that, however...\You there! Woman!\You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones! response:	He... help!
context: All this fine silver-colored hair...\I can't wait to control it.\Before that, however...\You there! Woman!\You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help! response:	Serves you right!
context: I can't wait to control it.\Before that, however...\You there! Woman!\You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help!\Serves you right! response:	You're being punished for messing with my nest!
context: Before that, however...\You there! Woman!\You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help!\Serves you right!\You're being punished for messing with my nest! response:	Aghh...
context: You there! Woman!\You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help!\Serves you right!\You're being punished for messing with my nest!\Aghh... response:	That woman... she'll be left with no bones.
context: You scare me, so die!\How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help!\Serves you right!\You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones. response:	Why you!
context: How do you like my demon fire!\You'll feel the heat all the way to your bones!\He... help!\Serves you right!\You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones.\Why you! response:	Are you sad? Poor thing...
context: You'll feel the heat all the way to your bones!\He... help!\Serves you right!\You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing... response:	Well, you'll be joining her in no time, too.
context: He... help!\Serves you right!\You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too. response:	Take this!
context: Serves you right!\You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this! response:	Blades of Blood!
context: You're being punished for messing with my nest!\Aghh...\That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this!\Blades of Blood! response:	Blades of blood?
context: Aghh...\That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this!\Blades of Blood!\Blades of blood? response:	The strands are loosening!
context: That woman... she'll be left with no bones.\Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this!\Blades of Blood!\Blades of blood?\The strands are loosening! response:	My hand...
context: Why you!\Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this!\Blades of Blood!\Blades of blood?\The strands are loosening!\My hand... response:	Now you can't control your strands!
context: Are you sad? Poor thing...\Well, you'll be joining her in no time, too.\Take this!\Blades of Blood!\Blades of blood?\The strands are loosening!\My hand...\Now you can't control your strands! response:	You...
context: Well, you'll be joining her in no time, too.\Take this!\Blades of Blood!\Blades of blood?\The strands are loosening!\My hand...\Now you can't control your strands!\You... response:	You should treat ladies more gently.
context: Take this!\Blades of Blood!\Blades of blood?\The strands are loosening!\My hand...\Now you can't control your strands!\You...\You should treat ladies more gently. response:	People will laugh at you, you know?
context: Blades of Blood!\Blades of blood?\The strands are loosening!\My hand...\Now you can't control your strands!\You...\You should treat ladies more gently.\People will laugh at you, you know? response:	Playtime's over!
context: Blades of blood?\The strands are loosening!\My hand...\Now you can't control your strands!\You...\You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over! response:	Darn! I almost had your head!
context: The strands are loosening!\My hand...\Now you can't control your strands!\You...\You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head! response:	I wouldn't allow that!
context: My hand...\Now you can't control your strands!\You...\You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head!\I wouldn't allow that! response:	You're just a half-demon with half the power.
context: Now you can't control your strands!\You...\You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power. response:	Damn!
context: You...\You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power.\Damn! response:	Poor little thing...
context: You should treat ladies more gently.\People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power.\Damn!\Poor little thing... response:	You wanted this in order to become a full-fledged demon, huh?
context: People will laugh at you, you know?\Playtime's over!\Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power.\Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh? response:	The Sacred... Jewel...
context: Playtime's over!\Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power.\Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel... response:	Don't move.
context: Darn! I almost had your head!\I wouldn't allow that!\You're just a half-demon with half the power.\Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move. response:	I have to sever your head very carefully...
context: I wouldn't allow that!\You're just a half-demon with half the power.\Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move.\I have to sever your head very carefully... response:	so that blood won't stain those silver locks.
context: You're just a half-demon with half the power.\Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks. response:	Quit your joking!
context: Damn!\Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking! response:	You're so arrogant.
context: Poor little thing...\You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant. response:	Thrusting your hand into the breasts...
context: You wanted this in order to become a full-fledged demon, huh?\The Sacred... Jewel...\Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts... response:	of a woman you've only just met.
context: The Sacred... Jewel...\Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met. response:	You... you...!
context: Don't move.\I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...! response:	You didn't feel anything?!
context: I have to sever your head very carefully...\so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...!\You didn't feel anything?! response:	You stole my Jewel fragment, didn't you?
context: so that blood won't stain those silver locks.\Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you? response:	Now that wasn't nice at all.
context: Quit your joking!\You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all. response:	Where is it?! Where is Yura's weak spot?
context: You're so arrogant.\Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot? response:	That woman...
context: Thrusting your hand into the breasts...\of a woman you've only just met.\You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman... response:	You shouldn't have looked away!
context: of a woman you've only just met.\You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away! response:	You are becoming a pain!
context: You... you...!\You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away!\You are becoming a pain! response:	You didn't bat an eyelid when you were struck or hurt.
context: You didn't feel anything?!\You stole my Jewel fragment, didn't you?\Now that wasn't nice at all.\Where is it?! Where is Yura's weak spot?\That woman...\You shouldn't have looked away!\You are becoming a pain!\You didn't bat an eyelid when you were struck or hurt. response:	Now, you seem awfully upset.
