context: New School Term response:	I knew this would happen, but...
context: With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members.\Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something\Stare response:	I think you were about to say but?
context: Yeah... but still...\We just need to find four more members.\Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something\Stare\I think you were about to say but? response:	No, nothing!
context: We just need to find four more members.\Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something\Stare\I think you were about to say but?\No, nothing! response:	Hey, Kiriyama.
context: Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something\Stare\I think you were about to say but?\No, nothing!\Hey, Kiriyama. response:	Why did you want to take another shot at being a high school student?
context: Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something\Stare\I think you were about to say but?\No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student? response:	Was it to eat lunch alone on the stairs like this?
context: But I don't think we can find them so easily...\Just remembered something\Stare\I think you were about to say but?\No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this? response:	Of course not, right, Kiriyama?
context: Just remembered something\Stare\I think you were about to say but?\No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama? response:	Right.
context: Stare\I think you were about to say but?\No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right. response:	Will this make it seem like I'm not running away?
context: I think you were about to say but?\No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away? response:	What if I'm only pretending not to run away?
context: No, nothing!\Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away? response:	The truth is, it's always...
context: Hey, Kiriyama.\Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always... response:	It's always weighed heavily on my mind.
context: Why did you want to take another shot at being a high school student?\Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind. response:	And I'd realized it, too.
context: Was it to eat lunch alone on the stairs like this?\Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too. response:	At this rate, things would only become more painful for me.
context: Of course not, right, Kiriyama?\Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me. response:	It hit me at that time.
context: Right.\Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time. response:	If only I could blend in so well like that...
context: Will this make it seem like I'm not running away?\What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that... response:	just how... how very...
context: What if I'm only pretending not to run away?\The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that...\just how... how very... response:	Mr. Hayashida. Can I ask you to be the club's faculty adviser?
context: The truth is, it's always...\It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser? response:	Sure will.
context: It's always weighed heavily on my mind.\And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will. response:	And Kiriyama, of course, you know...
context: And I'd realized it, too.\At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know... response:	You'll coach me too, right?
context: At this rate, things would only become more painful for me.\It hit me at that time.\If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right? response:	Yes. Of course.
context: It hit me at that time.\If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course. response:	Yes! There it is! I get a professional's coaching for free!
context: If only I could blend in so well like that...\just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free! response:	I want to get beyond the wall in Ama, 4th dan!
context: just how... how very...\Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan! response:	There's this jerk I want to beat on Net Shogi 24!
context: Mr. Hayashida. Can I ask you to be the club's faculty adviser?\Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24! response:	Mr. Hayashida, a minute ago, I was moved by your kindness...
context: Sure will.\And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness... response:	Faculty Room
context: And Kiriyama, of course, you know...\You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room response:	Ahhh...
context: You'll coach me too, right?\Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh... response:	N-Nobody. Nobody wants to join.
context: Yes. Of course.\Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh...\N-Nobody. Nobody wants to join. response:	What? Is shogi really so minor?
context: Yes! There it is! I get a professional's coaching for free!\I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor? response:	Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?
context: I want to get beyond the wall in Ama, 4th dan!\There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that? response:	When I love it so much...
context: There's this jerk I want to beat on Net Shogi 24!\Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much... response:	Sorry.
context: Mr. Hayashida, a minute ago, I was moved by your kindness...\Faculty Room\Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry. response:	There's nothing for you to apologize about.
context: Faculty Room\Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry.\There's nothing for you to apologize about. response:	I kind of feel responsible...
context: Ahhh...\N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry.\There's nothing for you to apologize about.\I kind of feel responsible... response:	That's it!
context: N-Nobody. Nobody wants to join.\What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry.\There's nothing for you to apologize about.\I kind of feel responsible...\That's it! response:	After School Bunsen Burner's Club Currently Active
context: What? Is shogi really so minor?\Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry.\There's nothing for you to apologize about.\I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active response:	Noguchi!
context: Everyone's like, Shogi? Sorry, I'm not really interested. What's up with that?\When I love it so much...\Sorry.\There's nothing for you to apologize about.\I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active\Noguchi! response:	Waft
context: When I love it so much...\Sorry.\There's nothing for you to apologize about.\I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active\Noguchi!\Waft response:	*3rd- Year
context: Sorry.\There's nothing for you to apologize about.\I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active\Noguchi!\Waft\*3rd- Year response:	It stinks in here again!
context: There's nothing for you to apologize about.\I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active\Noguchi!\Waft\*3rd- Year\It stinks in here again! response:	Mr. Hayashida, long time no see.
context: I kind of feel responsible...\That's it!\After School Bunsen Burner's Club Currently Active\Noguchi!\Waft\*3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see. response:	Wh-What are you guys doing this time?
context: That's it!\After School Bunsen Burner's Club Currently Active\Noguchi!\Waft\*3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time? response:	Packed
context: After School Bunsen Burner's Club Currently Active\Noguchi!\Waft\*3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed response:	Sticky
context: Noguchi!\Waft\*3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed\Sticky response:	As you can see, we're harvesting natto.
context: Waft\*3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed\Sticky\As you can see, we're harvesting natto. response:	*3rd- Year
context: *3rd- Year\It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed\Sticky\As you can see, we're harvesting natto.\*3rd- Year response:	Okay, but why harvest natto at school?
context: It stinks in here again!\Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed\Sticky\As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school? response:	What we do is wrap steamed soybeans in a straw of rice and let it sit for a day
context: Mr. Hayashida, long time no see.\Wh-What are you guys doing this time?\Packed\Sticky\As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day response:	at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,
context: Wh-What are you guys doing this time?\Packed\Sticky\As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans, response:	and through this proliferation, fermentation occurs.
context: Packed\Sticky\As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs. response:	Y-Yeah. I didn't actually ask how you're doing it.
context: Sticky\As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it. response:	Wow, this really is natto!
context: As you can see, we're harvesting natto.\*3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto! response:	Sticky
context: *3rd- Year\Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky response:	Got offered some
context: Okay, but why harvest natto at school?\What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky\Got offered some response:	Hey, you're eating it already?
context: What we do is wrap steamed soybeans in a straw of rice and let it sit for a day\at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky\Got offered some\Hey, you're eating it already? response:	Once in a while, you don't hold back.
context: at about 40 degrees, which allows the bacillus subtilis in the straw to spread to the soybeans,\and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky\Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back. response:	Anyway, where'd you get the straw of rice from?
context: and through this proliferation, fermentation occurs.\Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky\Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from? response:	*3rd-Year
context: Y-Yeah. I didn't actually ask how you're doing it.\Wow, this really is natto!\Sticky\Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year response:	Excellent question.
context: Wow, this really is natto!\Sticky\Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question. response:	Is Self-sufficiency Possible at a High School? by Eisaku Noguchi
context: Sticky\Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi response:	I did it for my thesis here.
context: Got offered some\Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here. response:	I harvested it while growing rice on the school roof last year.
context: Hey, you're eating it already?\Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year. response:	Wait a second!
context: Once in a while, you don't hold back.\Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second! response:	What's that thesis? Who are you presenting it to? I mean, what's it for?
context: Anyway, where'd you get the straw of rice from?\*3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for? response:	And you can't practice self-sufficiency at school!
context: *3rd-Year\Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school! response:	I don't even know where to begin.
context: Excellent question.\Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin. response:	No, wait!
context: Is Self-sufficiency Possible at a High School? by Eisaku Noguchi\I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait! response:	I almost forgot my original purpose.
context: I did it for my thesis here.\I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait!\I almost forgot my original purpose. response:	That's right!
context: I harvested it while growing rice on the school roof last year.\Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait!\I almost forgot my original purpose.\That's right! response:	Noguchi, do you know how to play shogi?
context: Wait a second!\What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait!\I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi? response:	Shogi...
context: What's that thesis? Who are you presenting it to? I mean, what's it for?\And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait!\I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi?\Shogi... response:	My grandfather taught me to play it when I was young, but that's all.
context: And you can't practice self-sufficiency at school!\I don't even know where to begin.\No, wait!\I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all. response:	But indeed, that is a deep game, isn't it?
context: I don't even know where to begin.\No, wait!\I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it? response:	Yes!
context: No, wait!\I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes! response:	So listen, we're trying to put together a shogi club,
context: I almost forgot my original purpose.\That's right!\Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club, response:	but we're having a hard time getting the five members.
context: That's right!\Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members. response:	But now we've finally got someone!
context: Noguchi, do you know how to play shogi?\Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone! response:	We're in the same boat.
context: Shogi...\My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat. response:	The continued existence of my After School Burners Club is in peril.
context: My grandfather taught me to play it when I was young, but that's all.\But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril. response:	At this rate, the club may be disbanded at the club budget meeting in May.
context: But indeed, that is a deep game, isn't it?\Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May. response:	What? But you had a lot of members. What happened?
context: Yes!\So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened? response:	The upperclassmen all graduated.
context: So listen, we're trying to put together a shogi club,\but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated. response:	Hold on. Those members were all older than you?
context: but we're having a hard time getting the five members.\But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you? response:	Two Years Ago
context: But now we've finally got someone!\We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago response:	Is this the Science Club?
context: We're in the same boat.\The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club? response:	*1st-Year
context: The continued existence of my After School Burners Club is in peril.\At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club?\*1st-Year response:	- Senpai? - No, Club President!
context: At this rate, the club may be disbanded at the club budget meeting in May.\What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club?\*1st-Year\- Senpai? - No, Club President! response:	*Upperclassmen
context: What? But you had a lot of members. What happened?\The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club?\*1st-Year\- Senpai? - No, Club President!\*Upperclassmen response:	*1st-Year
context: The upperclassmen all graduated.\Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club?\*1st-Year\- Senpai? - No, Club President!\*Upperclassmen\*1st-Year response:	*Upperclassmen
context: Hold on. Those members were all older than you?\Two Years Ago\Is this the Science Club?\*1st-Year\- Senpai? - No, Club President!\*Upperclassmen\*1st-Year\*Upperclassmen response:	Yeay Wow
context: Two Years Ago\Is this the Science Club?\*1st-Year\- Senpai? - No, Club President!\*Upperclassmen\*1st-Year\*Upperclassmen\Yeay Wow response:	Yes, they were marvelous mentors.
context: Is this the Science Club?\*1st-Year\- Senpai? - No, Club President!\*Upperclassmen\*1st-Year\*Upperclassmen\Yeay Wow\Yes, they were marvelous mentors. response:	From the day I joined the club, even though I was a first-year, they called me Senpai.
context: *1st-Year\- Senpai? - No, Club President!\*Upperclassmen\*1st-Year\*Upperclassmen\Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai. response:	Bam!
context: - Senpai? - No, Club President!\*Upperclassmen\*1st-Year\*Upperclassmen\Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam! response:	I wanted to keep the club going and pass on the wonder of science to younger students,
context: *Upperclassmen\*1st-Year\*Upperclassmen\Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students, response:	but with only four members left, it's all over.
context: *1st-Year\*Upperclassmen\Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over. response:	If I could only complete this thesis...
context: *Upperclassmen\Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis... response:	Even if you did finish, I don't know if it would pass on the joy of science.
context: Yeay Wow\Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science. response:	Wait a second.
context: Yes, they were marvelous mentors.\From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second. response:	That's it!
context: From the day I joined the club, even though I was a first-year, they called me Senpai.\Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it! response:	Why don't you guys combine to form one club?
context: Bam!\I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it!\Why don't you guys combine to form one club? response:	One member
context: I wanted to keep the club going and pass on the wonder of science to younger students,\but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it!\Why don't you guys combine to form one club?\One member response:	Four members
context: but with only four members left, it's all over.\If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it!\Why don't you guys combine to form one club?\One member\Four members response:	Total = 5 People
context: If I could only complete this thesis...\Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it!\Why don't you guys combine to form one club?\One member\Four members\Total = 5 People response:	Yes!
context: Even if you did finish, I don't know if it would pass on the joy of science.\Wait a second.\That's it!\Why don't you guys combine to form one club?\One member\Four members\Total = 5 People\Yes! response:	That makes sense!
context: Wait a second.\That's it!\Why don't you guys combine to form one club?\One member\Four members\Total = 5 People\Yes!\That makes sense! response:	All right! Then without further ado, how about we play a game?
context: That's it!\Why don't you guys combine to form one club?\One member\Four members\Total = 5 People\Yes!\That makes sense!\All right! Then without further ado, how about we play a game? response:	I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama!
context: Why don't you guys combine to form one club?\One member\Four members\Total = 5 People\Yes!\That makes sense!\All right! Then without further ado, how about we play a game?\I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama! response:	After all, I'm the faculty adviser.
context: One member\Four members\Total = 5 People\Yes!\That makes sense!\All right! Then without further ado, how about we play a game?\I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama!\After all, I'm the faculty adviser. response:	Um, Noguchi. I feel like I should apologize.
context: Four members\Total = 5 People\Yes!\That makes sense!\All right! Then without further ado, how about we play a game?\I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama!\After all, I'm the faculty adviser.\Um, Noguchi. I feel like I should apologize. response:	For imposing on you every time...
context: Total = 5 People\Yes!\That makes sense!\All right! Then without further ado, how about we play a game?\I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama!\After all, I'm the faculty adviser.\Um, Noguchi. I feel like I should apologize.\For imposing on you every time... response:	I'm actually kind of excited about this.
context: Yes!\That makes sense!\All right! Then without further ado, how about we play a game?\I've kind of been holding back, but from now on, I can play a lot of matches with Kiriyama!\After all, I'm the faculty adviser.\Um, Noguchi. I feel like I should apologize.\For imposing on you every time...\I'm actually kind of excited about this. response:	After my grandfather passed away, I wasn't able to find anyone to play with.
