context: Goshinki, a demon created out of Naraku's body... response:	His fangs were used to forge the evil sword Tokijin...
context: And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close. response:	That sword belongs to you.
context: were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you. response:	What's with that woman? So arrogant.
context: Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant. response:	Rin, you may move.
context: So what?\Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move. response:	O-okay.
context: Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move.\O-okay. response:	Tokijin...
context: Don't you smell it?\The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move.\O-okay.\Tokijin... response:	You're so strange.
context: The sword which reeks with the aura from Goshinki...\Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move.\O-okay.\Tokijin...\You're so strange. response:	Shut up!
context: Tokijin is so close.\That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move.\O-okay.\Tokijin...\You're so strange.\Shut up! response:	Stop mumbling the same thing over and over!
context: That sword belongs to you.\What's with that woman? So arrogant.\Rin, you may move.\O-okay.\Tokijin...\You're so strange.\Shut up!\Stop mumbling the same thing over and over! response:	I will not shut up until you promise!
context: What's with that woman? So arrogant.\Rin, you may move.\O-okay.\Tokijin...\You're so strange.\Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise! response:	You must never throw away the Tetsusaiga again!
context: Rin, you may move.\O-okay.\Tokijin...\You're so strange.\Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again! response:	What do you think, Kagome?
context: O-okay.\Tokijin...\You're so strange.\Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome? response:	I think we should tell Inuyasha the truth.
context: Tokijin...\You're so strange.\Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth. response:	The truth?
context: You're so strange.\Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth? response:	That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?
context: Shut up!\Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed? response:	Yes. He doesn't know it, so he carelessly casts the sword away.
context: Stop mumbling the same thing over and over!\I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away. response:	That time, Inuyasha transformed trying to kill Goshinki.
context: I will not shut up until you promise!\You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki. response:	I wonder if we should tell him?
context: You must never throw away the Tetsusaiga again!\What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him? response:	Nope, nope... You must not tell him!
context: What do you think, Kagome?\I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him! response:	Old Myoga!
context: I think we should tell Inuyasha the truth.\The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga! response:	You know Master Inuyasha.
context: The truth?\That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha. response:	If he learns about the secret, rather than the sword...
context: That the Tetsusaiga also serves to keep Inuyasha's demon side sealed?\Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword... response:	he'll rely on his transformed claws and fangs to fight.
context: Yes. He doesn't know it, so he carelessly casts the sword away.\That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight. response:	Hmm... will it become a habit then?
context: That time, Inuyasha transformed trying to kill Goshinki.\I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then? response:	Of course! After all, Master Inuyasha is such a simpleton at heart.
context: I wonder if we should tell him?\Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart. response:	I totally agree.
context: Nope, nope... You must not tell him!\Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree. response:	Geez, but you're a busy fellow.
context: Old Myoga!\You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow. response:	Changing into a human one minute, then a monster in the next.
context: You know Master Inuyasha.\If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next. response:	Don't call me monster!
context: If he learns about the secret, rather than the sword...\he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster! response:	I don't know what's going on myself!
context: he'll rely on his transformed claws and fangs to fight.\Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself! response:	Don't you know? You are stupid!
context: Hmm... will it become a habit then?\Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid! response:	Totosai!
context: Of course! After all, Master Inuyasha is such a simpleton at heart.\I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid!\Totosai! response:	What're you going to tell him?!
context: I totally agree.\Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid!\Totosai!\What're you going to tell him?! response:	Oh no!
context: Geez, but you're a busy fellow.\Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid!\Totosai!\What're you going to tell him?!\Oh no! response:	Myoga told me that when you're on the verge of death...
context: Changing into a human one minute, then a monster in the next.\Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid!\Totosai!\What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death... response:	you transform.
context: Don't call me monster!\I don't know what's going on myself!\Don't you know? You are stupid!\Totosai!\What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death...\you transform. response:	Well... demon's blood does make up half of you.
context: I don't know what's going on myself!\Don't you know? You are stupid!\Totosai!\What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you. response:	But if you ask me, that's not true strength.
context: Don't you know? You are stupid!\Totosai!\What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength. response:	Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.
context: Totosai!\What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang. response:	Originally, the Tetsusaiga was forged from just your father's fangs.
context: What're you going to tell him?!\Oh no!\Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs. response:	In other words, you relied on your father for protection.
context: Oh no!\Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection. response:	However, this Tetsusaiga is different.
context: Myoga told me that when you're on the verge of death...\you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different. response:	You must master your own fang and protect your own self.
context: you transform.\Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self. response:	When you can freely wield this new Tetsusaiga...
context: Well... demon's blood does make up half of you.\But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga... response:	is when you will truly have found your strength.
context: But if you ask me, that's not true strength.\Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength. response:	Yes! Master Totosai is absolutely correct!
context: Inuyasha, as I explained, the weight of Tetsusaiga increased due to your fang.\Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct! response:	- Yes, yes! - Inuyasha, hang in there!
context: Originally, the Tetsusaiga was forged from just your father's fangs.\In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there! response:	Inuyasha, you're strong!
context: In other words, you relied on your father for protection.\However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong! response:	When you put your mind to it, you can do anything!
context: However, this Tetsusaiga is different.\You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything! response:	W-well... yeah.
context: You must master your own fang and protect your own self.\When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah. response:	Dang, why do I feel like I've been had?
context: When you can freely wield this new Tetsusaiga...\is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had? response:	W-what...
context: is when you will truly have found your strength.\Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had?\W-what... response:	Sesshomaru!
context: Yes! Master Totosai is absolutely correct!\- Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had?\W-what...\Sesshomaru! response:	There he is!
context: - Yes, yes! - Inuyasha, hang in there!\Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had?\W-what...\Sesshomaru!\There he is! response:	Why're you here?
context: Inuyasha, you're strong!\When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had?\W-what...\Sesshomaru!\There he is!\Why're you here? response:	That's my line.
context: When you put your mind to it, you can do anything!\W-well... yeah.\Dang, why do I feel like I've been had?\W-what...\Sesshomaru!\There he is!\Why're you here?\That's my line. response:	I only came after this sword.
context: W-well... yeah.\Dang, why do I feel like I've been had?\W-what...\Sesshomaru!\There he is!\Why're you here?\That's my line.\I only came after this sword. response:	I guess the demon you killed was so bitter...
context: Dang, why do I feel like I've been had?\W-what...\Sesshomaru!\There he is!\Why're you here?\That's my line.\I only came after this sword.\I guess the demon you killed was so bitter... response:	it wanted revenge against you even after it became a sword.
context: W-what...\Sesshomaru!\There he is!\Why're you here?\That's my line.\I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword. response:	W-what?!
context: Sesshomaru!\There he is!\Why're you here?\That's my line.\I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?! response:	He knows that Tokijin was made from the demon's fangs.
context: There he is!\Why're you here?\That's my line.\I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs. response:	Which means...
context: Why're you here?\That's my line.\I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means... response:	I am the one who commissioned Kaijinbo to make the sword.
context: That's my line.\I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword. response:	Sesshomaru, do not touch the Tokijin.
context: I only came after this sword.\I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin. response:	Even you will be possessed by the Tokijin's evil aura.
context: I guess the demon you killed was so bitter...\it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura. response:	Just who do you think I am?
context: it wanted revenge against you even after it became a sword.\W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am? response:	The evil aura...
context: W-what?!\He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura... response:	is dissipating!
context: He knows that Tokijin was made from the demon's fangs.\Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura...\is dissipating! response:	The evil aura was overtaken by Sesshomaru!
context: Which means...\I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru! response:	I don't like him!
context: I am the one who commissioned Kaijinbo to make the sword.\Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him! response:	Humph... the sword chooses its master.
context: Sesshomaru, do not touch the Tokijin.\Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master. response:	Draw your sword, Inuyasha.
context: Even you will be possessed by the Tokijin's evil aura.\Just who do you think I am?\The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha. response:	I want to verify something.
context: Just who do you think I am?\The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something. response:	You want to verify something about me?
context: The evil aura...\is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me? response:	Stop, Inuyasha!
context: is dissipating!\The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me?\Stop, Inuyasha! response:	Get back, Kagome!
context: The evil aura was overtaken by Sesshomaru!\I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome! response:	Do you think you can win?
context: I don't like him!\Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome!\Do you think you can win? response:	Exactly. So come at me, Inuyasha.
context: Humph... the sword chooses its master.\Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha. response:	If you don't, I will attack.
context: Draw your sword, Inuyasha.\I want to verify something.\You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack. response:	Damn! Don't regret it later, Sesshomaru!
context: I want to verify something.\You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru! response:	Damn, it's so heavy!
context: You want to verify something about me?\Stop, Inuyasha!\Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy! response:	It's all he can do to resist the blow!
context: Stop, Inuyasha!\Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow! response:	He's losing to the power of the sword!
context: Get back, Kagome!\Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword! response:	This is bad!
context: Do you think you can win?\Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad! response:	There's no way that Inuyasha can win like that.
context: Exactly. So come at me, Inuyasha.\If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that. response:	Well... he doesn't know how to use Tetsusaiga.
context: If you don't, I will attack.\Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga. response:	And this sword, the Tokijin, which is dangerous in anyone's hands...
context: Damn! Don't regret it later, Sesshomaru!\Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands... response:	was commissioned by Sesshomaru.
context: Damn, it's so heavy!\It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru. response:	D-damn!
context: It's all he can do to resist the blow!\He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn! response:	As I thought, I only smell the blood of a half-demon.
context: He's losing to the power of the sword!\This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon. response:	However, that time...
context: This is bad!\There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time... response:	Inuyasha's blood definitely changed.
context: There's no way that Inuyasha can win like that.\Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed. response:	Just what did that mean? I'll see with my own eyes.
context: Well... he doesn't know how to use Tetsusaiga.\And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes. response:	I must finish this in one blow or I'll be killed.
context: And this sword, the Tokijin, which is dangerous in anyone's hands...\was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed. response:	Did you alter the way you fight, Inuyasha?
context: was commissioned by Sesshomaru.\D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha? response:	You usually come at me blindly.
context: D-damn!\As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly. response:	Damn. Just shaddup!
context: As I thought, I only smell the blood of a half-demon.\However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup! response:	Hmm... It seems the Tetsusaiga has gotten a bit heavier.
context: However, that time...\Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier. response:	Not just a bit, damn you!
context: Inuyasha's blood definitely changed.\Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you! response:	You are better off without a sword that is too heavy for you!
context: Just what did that mean? I'll see with my own eyes.\I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you! response:	The Tetsusaiga has been!
context: I must finish this in one blow or I'll be killed.\Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been! response:	Inuyasha!
context: Did you alter the way you fight, Inuyasha?\You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha! response:	No! It's like David and Goliath!
context: You usually come at me blindly.\Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath! response:	D-damn!
context: Damn. Just shaddup!\Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath!\D-damn! response:	Master Inuyasha, hurry and get a hold of the Tetsusaiga!
context: Hmm... It seems the Tetsusaiga has gotten a bit heavier.\Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga! response:	Old Myoga...
context: Not just a bit, damn you!\You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga... response:	I don't need it!
context: You are better off without a sword that is too heavy for you!\The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it! response:	Huh? No sword?
context: The Tetsusaiga has been!\Inuyasha!\No! It's like David and Goliath!\D-damn!\Master Inuyasha, hurry and get a hold of the Tetsusaiga!\Old Myoga...\I don't need it!\Huh? No sword? response:	No, Inuyasha!
