context: Only three of you are running under thirty minutes. response:	I'm impressed you're all able to run a 10K now, but...
context: It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me. response:	Should I have imposed more rules like a stronger school
context: And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school response:	and forced them to run more?
context: That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more? response:	You can't force a person to run.
context: Do you think I'm being soft?\Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run. response:	The only thing that makes a person run is their own will. Right?
context: Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right? response:	Yeah.
context: Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah. response:	I was constantly suffering when I ran during high school.
context: Before I sleep, while I'm eating, when I'm in the bathroom.\My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school. response:	I don't ever want to be restricted like that again.
context: My doubts are constantly following me.\Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again. response:	This time, I'll run of my own free will.
context: Should I have imposed more rules like a stronger school\and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will. response:	Freely, far away, to the end of the world.
context: and forced them to run more?\You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world. response:	We still have time.
context: You can't force a person to run.\The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time. response:	Thanks.
context: The only thing that makes a person run is their own will. Right?\Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time.\Thanks. response:	People always want to be strong.
context: Yeah.\I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time.\Thanks.\People always want to be strong. response:	We have two weeks until the qualifier.
context: I was constantly suffering when I ran during high school.\I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time.\Thanks.\People always want to be strong.\We have two weeks until the qualifier. response:	It's a battle of concentration now.
context: I don't ever want to be restricted like that again.\This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time.\Thanks.\People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now. response:	We'll need to focus and exercise self-control,
context: This time, I'll run of my own free will.\Freely, far away, to the end of the world.\We still have time.\Thanks.\People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control, response:	so we can go into the qualifier in top physical and mental shape.
context: Freely, far away, to the end of the world.\We still have time.\Thanks.\People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape. response:	There's nothing to be afraid of.
context: We still have time.\Thanks.\People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of. response:	We've trained more than enough.
context: Thanks.\People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough. response:	We just need to turn that pressure into a rasp and polish our minds and bodies.
context: People always want to be strong.\We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies. response:	Imagine yourself running as a beautiful blade on the day of the qualifier
context: We have two weeks until the qualifier.\It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier response:	and diligently polish yourselves to a fine point.
context: It's a battle of concentration now.\We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point. response:	How poetic.
context: We'll need to focus and exercise self-control,\so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic. response:	I understand, though.
context: so we can go into the qualifier in top physical and mental shape.\There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic.\I understand, though. response:	We should be like tempered katanas.
context: There's nothing to be afraid of.\We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic.\I understand, though.\We should be like tempered katanas. response:	We'll be screwed if we polish too much and break before the race, though.
context: We've trained more than enough.\We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic.\I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though. response:	That's right.
context: We just need to turn that pressure into a rasp and polish our minds and bodies.\Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic.\I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right. response:	Listen to your minds and bodies and polish carefully.
context: Imagine yourself running as a beautiful blade on the day of the qualifier\and diligently polish yourselves to a fine point.\How poetic.\I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully. response:	Competitions are strange things, and I don't just mean long-distance races.
context: and diligently polish yourselves to a fine point.\How poetic.\I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races. response:	Incoming Call Mom
context: How poetic.\I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom response:	You've done the training. All that's left is to run.
context: I understand, though.\We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run. response:	Or so you'd think, but for some reason, some runners self-destruct.
context: We should be like tempered katanas.\We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct. response:	Most things we call mistakes are the result of pressure or weakness of the mind.
context: We'll be screwed if we polish too much and break before the race, though.\That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind. response:	No matter how much you practice,
context: That's right.\Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice, response:	you can't stop the anxiety from rising to the surface.
context: Listen to your minds and bodies and polish carefully.\Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface. response:	No matter how certain you are, you still can't erase your fear of failure.
context: Competitions are strange things, and I don't just mean long-distance races.\Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure. response:	The more you polish something, the more fragile it becomes,
context: Incoming Call Mom\You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes, response:	just as a little bit of dust can ruin a delicate machine.
context: You've done the training. All that's left is to run.\Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine. response:	So we must find strength. Unwavering strength.
context: Or so you'd think, but for some reason, some runners self-destruct.\Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength. response:	True strength, so we won't be defeated by ourselves!
context: Most things we call mistakes are the result of pressure or weakness of the mind.\No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves! response:	Yeah!
context: No matter how much you practice,\you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah! response:	Should you be doing this two days before the qualifier?
context: you can't stop the anxiety from rising to the surface.\No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier? response:	This is how we do things.
context: No matter how certain you are, you still can't erase your fear of failure.\The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier?\This is how we do things. response:	Today is the last day!
context: The more you polish something, the more fragile it becomes,\just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day! response:	Tomorrow, we'll sit and wait for the next day!
context: just as a little bit of dust can ruin a delicate machine.\So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day! response:	Yeah, yeah!
context: So we must find strength. Unwavering strength.\True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah! response:	It's time for a message from our coach.
context: True strength, so we won't be defeated by ourselves!\Yeah!\Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach. response:	Who? Me?
context: Yeah!\Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach.\Who? Me? response:	In that case...
context: Should you be doing this two days before the qualifier?\This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach.\Who? Me?\In that case... response:	I'll share my secret to success.
context: This is how we do things.\Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach.\Who? Me?\In that case...\I'll share my secret to success. response:	Finally!
context: Today is the last day!\Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach.\Who? Me?\In that case...\I'll share my secret to success.\Finally! response:	The coach removes the veil!
context: Tomorrow, we'll sit and wait for the next day!\Yeah, yeah!\It's time for a message from our coach.\Who? Me?\In that case...\I'll share my secret to success.\Finally!\The coach removes the veil! response:	Alternate using your left and right feet.
context: Yeah, yeah!\It's time for a message from our coach.\Who? Me?\In that case...\I'll share my secret to success.\Finally!\The coach removes the veil!\Alternate using your left and right feet. response:	Do that, and you'll eventually arrive at the finish line.
context: It's time for a message from our coach.\Who? Me?\In that case...\I'll share my secret to success.\Finally!\The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line. response:	Thank you.
context: Who? Me?\In that case...\I'll share my secret to success.\Finally!\The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you. response:	That's all?!
context: In that case...\I'll share my secret to success.\Finally!\The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?! response:	When are you going to start acting like a coach?
context: I'll share my secret to success.\Finally!\The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?!\When are you going to start acting like a coach? response:	Wait! Please wait!
context: Finally!\The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?!\When are you going to start acting like a coach?\Wait! Please wait! response:	Wait!
context: The coach removes the veil!\Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?!\When are you going to start acting like a coach?\Wait! Please wait!\Wait! response:	He's asleep.
context: Alternate using your left and right feet.\Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?!\When are you going to start acting like a coach?\Wait! Please wait!\Wait!\He's asleep. response:	What do you think, though?
context: Do that, and you'll eventually arrive at the finish line.\Thank you.\That's all?!\When are you going to start acting like a coach?\Wait! Please wait!\Wait!\He's asleep.\What do you think, though? response:	You can't say it didn't feel like it would be no exaggeration
context: Thank you.\That's all?!\When are you going to start acting like a coach?\Wait! Please wait!\Wait!\He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration response:	to say he spoke the truth.
context: That's all?!\When are you going to start acting like a coach?\Wait! Please wait!\Wait!\He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth. response:	What the hell are you trying to say?
context: When are you going to start acting like a coach?\Wait! Please wait!\Wait!\He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say? response:	What is it? A girl?
context: Wait! Please wait!\Wait!\He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl? response:	Sorry.
context: Wait!\He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl?\Sorry. response:	Just how carefree are you?
context: He's asleep.\What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl?\Sorry.\Just how carefree are you? response:	Kakeru, could you bring up some ice from downstairs?
context: What do you think, though?\You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl?\Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs? response:	Okay.
context: You can't say it didn't feel like it would be no exaggeration\to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl?\Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay. response:	This has nothing to do with you.
context: to say he spoke the truth.\What the hell are you trying to say?\What is it? A girl?\Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you. response:	Why are you calling now?
context: What the hell are you trying to say?\What is it? A girl?\Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you.\Why are you calling now? response:	You're bothering me. I want to focus.
context: What is it? A girl?\Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus. response:	Bye.
context: Sorry.\Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus.\Bye. response:	My parents saw the paper.
context: Just how carefree are you?\Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus.\Bye.\My parents saw the paper. response:	Oh.
context: Kakeru, could you bring up some ice from downstairs?\Okay.\This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus.\Bye.\My parents saw the paper.\Oh. response:	I haven't seen them in a while.
context: Okay.\This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus.\Bye.\My parents saw the paper.\Oh.\I haven't seen them in a while. response:	Here.
context: This has nothing to do with you.\Why are you calling now?\You're bothering me. I want to focus.\Bye.\My parents saw the paper.\Oh.\I haven't seen them in a while.\Here. response:	You can't have different track suits forever.
context: Why are you calling now?\You're bothering me. I want to focus.\Bye.\My parents saw the paper.\Oh.\I haven't seen them in a while.\Here.\You can't have different track suits forever. response:	Wow!
context: You're bothering me. I want to focus.\Bye.\My parents saw the paper.\Oh.\I haven't seen them in a while.\Here.\You can't have different track suits forever.\Wow! response:	They're a present from everyone at the shopping center.
context: Bye.\My parents saw the paper.\Oh.\I haven't seen them in a while.\Here.\You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center. response:	Don't embarrass us.
context: My parents saw the paper.\Oh.\I haven't seen them in a while.\Here.\You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center.\Don't embarrass us. response:	We won't!
context: Oh.\I haven't seen them in a while.\Here.\You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center.\Don't embarrass us.\We won't! response:	Hey!
context: I haven't seen them in a while.\Here.\You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center.\Don't embarrass us.\We won't!\Hey! response:	Today, we're taking our first step towards winning the Hakone Ekiden!
context: Here.\You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center.\Don't embarrass us.\We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden! response:	Win? Win?!
context: You can't have different track suits forever.\Wow!\They're a present from everyone at the shopping center.\Don't embarrass us.\We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?! response:	Hey, is he a regular now?
context: Wow!\They're a present from everyone at the shopping center.\Don't embarrass us.\We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now? response:	Isn't he a first-year?
context: They're a present from everyone at the shopping center.\Don't embarrass us.\We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now?\Isn't he a first-year? response:	That doesn't matter today.
context: Don't embarrass us.\We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today. response:	I see. I guess not.
context: We won't!\Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today.\I see. I guess not. response:	You can't help but look at the cheerleaders, huh?
context: Hey!\Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh? response:	Yeah.
context: Today, we're taking our first step towards winning the Hakone Ekiden!\Win? Win?!\Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah. response:	Haiji said they'd make it if their combined time was less than 1000.
context: Win? Win?!\Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000. response:	That's just over an hour per person.
context: Hey, is he a regular now?\Isn't he a first-year?\That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person. response:	Isn't it over 20 km?
context: Isn't he a first-year?\That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km? response:	A full marathon takes over two hours.
context: That doesn't matter today.\I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours. response:	They'll have to run like professionals.
context: I see. I guess not.\You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals. response:	That's just over three minutes per kilometer.
context: You can't help but look at the cheerleaders, huh?\Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer. response:	There they are.
context: Yeah.\Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are. response:	As you can see, there are no landmarks. It'll be tough to judge your distance.
context: Haiji said they'd make it if their combined time was less than 1000.\That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance. response:	The weather's poor, and we don't know how the race will go,
context: That's just over an hour per person.\Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go, response:	but don't get dragged along by runners recklessly charging ahead.
context: Isn't it over 20 km?\A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead. response:	Kakeru and I will run in front.
context: A full marathon takes over two hours.\They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front. response:	Stay together and maintain your own pace in the beginning.
context: They'll have to run like professionals.\That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning. response:	By the time we finish one lap around the airstrip,
context: That's just over three minutes per kilometer.\There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip, response:	a lot of guys should start to fall behind.
context: There they are.\As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind. response:	I'll be sending signals during the race.
context: As you can see, there are no landmarks. It'll be tough to judge your distance.\The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race. response:	Don't lose sight of each other.
context: The weather's poor, and we don't know how the race will go,\but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other. response:	I'm glad.
context: but don't get dragged along by runners recklessly charging ahead.\Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad. response:	I'm glad it's the ten of us.
context: Kakeru and I will run in front.\Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us. response:	We wouldn't be here if anyone had been missing.
context: Stay together and maintain your own pace in the beginning.\By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing. response:	Don't make it sound like the final episode of something.
context: By the time we finish one lap around the airstrip,\a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something. response:	This is the starting line.
context: a lot of guys should start to fall behind.\I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line. response:	You're right.
context: I'll be sending signals during the race.\Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line.\You're right. response:	There are different numbers of guys wearing uniforms.
context: Don't lose sight of each other.\I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line.\You're right.\There are different numbers of guys wearing uniforms. response:	I was wondering about that, too.
context: I'm glad.\I'm glad it's the ten of us.\We wouldn't be here if anyone had been missing.\Don't make it sound like the final episode of something.\This is the starting line.\You're right.\There are different numbers of guys wearing uniforms.\I was wondering about that, too. response:	They've got more than ten guys.
