context: Who's there? response:	There's nobody there...
context: You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...?\What are you doing?\You'd better be careful. response:	That guy emits a dangerous aura.
context: Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...?\What are you doing?\You'd better be careful.\That guy emits a dangerous aura. response:	It's an aura that's hiding a strong power.
context: Moka-san!\Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...?\What are you doing?\You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power. response:	You'd better be careful of that man called Gin.
context: Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...?\What are you doing?\You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin. response:	The moon is beautiful tonight.
context: This is so embarrassing.\Which one am I wearing today...?\What are you doing?\You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight. response:	Almost as beautiful as you, Akashiya Moka.
context: Which one am I wearing today...?\What are you doing?\You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka. response:	Wait for me!
context: What are you doing?\You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me! response:	Like I said, yesterday was an accident!
context: You'd better be careful.\That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident! response:	I don't care if it was an accident!
context: That guy emits a dangerous aura.\It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident! response:	I don't care about you anymore, Tsukune!
context: It's an aura that's hiding a strong power.\You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune! response:	No way...
context: You'd better be careful of that man called Gin.\The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way... response:	Although I'm not serious,
context: The moon is beautiful tonight.\Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way...\Although I'm not serious, response:	I won't talk to Tsukune for a while as revenge for seeing my panties.
context: Almost as beautiful as you, Akashiya Moka.\Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties. response:	Moka-san, listen to me!
context: Wait for me!\Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me! response:	Moka-san!
context: Like I said, yesterday was an accident!\I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san! response:	I don't care!
context: I don't care if it was an accident!\I don't care about you anymore, Tsukune!\No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san!\I don't care! response:	Are Moka-san and Tsukune-kun dating?
context: I don't care about you anymore, Tsukune!\No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating? response:	I'm not sure but...
context: No way...\Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but... response:	I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.
context: Although I'm not serious,\I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck. response:	Eh, really?
context: I won't talk to Tsukune for a while as revenge for seeing my panties.\Moka-san, listen to me!\Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really? response:	Kissed on the neck?
context: Moka-san, listen to me!\Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck? response:	Tsukune...
context: Moka-san!\I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck?\Tsukune... response:	This is no joke, Tsukune-kun!
context: I don't care!\Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun! response:	Who's there?
context: Are Moka-san and Tsukune-kun dating?\I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun!\Who's there? response:	A man plagued with bad luck.
context: I'm not sure but...\I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck. response:	Eh?
context: I heard people saying that they saw Moka-san kissed Tsukune-kun on the neck.\Eh, really?\Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck.\Eh? response:	What do you think you're doing?
context: Eh, really?\Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck.\Eh?\What do you think you're doing? response:	Doing this in broad daylight...
context: Kissed on the neck?\Tsukune...\This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck.\Eh?\What do you think you're doing?\Doing this in broad daylight... response:	What...
context: Tsukune...\This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck.\Eh?\What do you think you're doing?\Doing this in broad daylight...\What... response:	I better take some precautions...
context: This is no joke, Tsukune-kun!\Who's there?\A man plagued with bad luck.\Eh?\What do you think you're doing?\Doing this in broad daylight...\What...\I better take some precautions... response:	The only way to split Moka-san from Tsukune is...
context: Who's there?\A man plagued with bad luck.\Eh?\What do you think you're doing?\Doing this in broad daylight...\What...\I better take some precautions...\The only way to split Moka-san from Tsukune is... response:	I hate perverts!
context: A man plagued with bad luck.\Eh?\What do you think you're doing?\Doing this in broad daylight...\What...\I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts! response:	Like I said, it's all a misunderstanding.
context: Eh?\What do you think you're doing?\Doing this in broad daylight...\What...\I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding. response:	I just happened to be passing by, that's all.
context: What do you think you're doing?\Doing this in broad daylight...\What...\I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all. response:	It's useless...
context: Doing this in broad daylight...\What...\I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless... response:	They don't believe me...
context: What...\I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless...\They don't believe me... response:	I believe in you, Tsukune-kun.
context: I better take some precautions...\The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless...\They don't believe me...\I believe in you, Tsukune-kun. response:	Gin-senpai.
context: The only way to split Moka-san from Tsukune is...\I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless...\They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai. response:	We're both guys, right?
context: I hate perverts!\Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless...\They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right? response:	Senpai...
context: Like I said, it's all a misunderstanding.\I just happened to be passing by, that's all.\It's useless...\They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right?\Senpai... response:	Let's have a talk.
context: I just happened to be passing by, that's all.\It's useless...\They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right?\Senpai...\Let's have a talk. response:	Seems like you're being disliked by Moka-san.
context: It's useless...\They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right?\Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san. response:	Yeah, that seems to be the case.
context: They don't believe me...\I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right?\Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case. response:	She completely thinks that I'm a pervert.
context: I believe in you, Tsukune-kun.\Gin-senpai.\We're both guys, right?\Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert. response:	Hey, look over there.
context: Gin-senpai.\We're both guys, right?\Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there. response:	Take a peek inside.
context: We're both guys, right?\Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside. response:	What for?
context: Senpai...\Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside.\What for? response:	Don't you want to mend your relationship with Moka-san?
context: Let's have a talk.\Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san? response:	Get up there by climbing this drum.
context: Seems like you're being disliked by Moka-san.\Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum. response:	Moka-san is a better woman than what the rumors say.
context: Yeah, that seems to be the case.\She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say. response:	I fell in love with her at first sight too.
context: She completely thinks that I'm a pervert.\Hey, look over there.\Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too. response:	Akashiya Moka...
context: Hey, look over there.\Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka... response:	I'll definitely make her mine.
context: Take a peek inside.\What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine. response:	W-Why do you say that suddenly?
context: What for?\Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly? response:	F-Female Changing Room?!
context: Don't you want to mend your relationship with Moka-san?\Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?! response:	Peeping is bad, Tsukune-kun.
context: Get up there by climbing this drum.\Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun. response:	If I show this photograph to Moka-san, she'll definitely hate you.
context: Moka-san is a better woman than what the rumors say.\I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you. response:	What was that sound just now?
context: I fell in love with her at first sight too.\Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now? response:	Your relationship with Moka-san will crumble!
context: Akashiya Moka...\I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble! response:	Senpai, you framed me!
context: I'll definitely make her mine.\W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me! response:	The window over there!
context: W-Why do you say that suddenly?\F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there! response:	The serial peeping tom?
context: F-Female Changing Room?!\Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there!\The serial peeping tom? response:	No!
context: Peeping is bad, Tsukune-kun.\If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there!\The serial peeping tom?\No! response:	There he is!
context: If I show this photograph to Moka-san, she'll definitely hate you.\What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there!\The serial peeping tom?\No!\There he is! response:	Peeping tom! There's a peeping tom!
context: What was that sound just now?\Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there!\The serial peeping tom?\No!\There he is!\Peeping tom! There's a peeping tom! response:	Damn you!
context: Your relationship with Moka-san will crumble!\Senpai, you framed me!\The window over there!\The serial peeping tom?\No!\There he is!\Peeping tom! There's a peeping tom!\Damn you! response:	This is unforgivable!
context: Senpai, you framed me!\The window over there!\The serial peeping tom?\No!\There he is!\Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable! response:	So you're the serial peeper, huh?
context: The window over there!\The serial peeping tom?\No!\There he is!\Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable!\So you're the serial peeper, huh? response:	Hurry up and confess!
context: The serial peeping tom?\No!\There he is!\Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess! response:	It's not that! I'm not the serial peeping tom!
context: No!\There he is!\Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom! response:	What about just now, then?
context: There he is!\Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then? response:	Why were you at such a place?
context: Peeping tom! There's a peeping tom!\Damn you!\This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place? response:	That's right!
context: Damn you!\This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place?\That's right! response:	Tsukune?
context: This is unforgivable!\So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place?\That's right!\Tsukune? response:	Moka-san!
context: So you're the serial peeper, huh?\Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place?\That's right!\Tsukune?\Moka-san! response:	Is that true? Peeping...
context: Hurry up and confess!\It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place?\That's right!\Tsukune?\Moka-san!\Is that true? Peeping... response:	No it's not! It's a misunderstanding!
context: It's not that! I'm not the serial peeping tom!\What about just now, then?\Why were you at such a place?\That's right!\Tsukune?\Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding! response:	Well I really did peep, but this wa-
context: What about just now, then?\Why were you at such a place?\That's right!\Tsukune?\Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa- response:	He admitted!
context: Why were you at such a place?\That's right!\Tsukune?\Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted! response:	Oh no, not again...
context: That's right!\Tsukune?\Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted!\Oh no, not again... response:	Wait up, Moka-san!
context: Tsukune?\Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted!\Oh no, not again...\Wait up, Moka-san! response:	So it was you, after all!
context: Moka-san!\Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted!\Oh no, not again...\Wait up, Moka-san!\So it was you, after all! response:	You even admitted!
context: Is that true? Peeping...\No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted!\Oh no, not again...\Wait up, Moka-san!\So it was you, after all!\You even admitted! response:	You're the enemy of women!
context: No it's not! It's a misunderstanding!\Well I really did peep, but this wa-\He admitted!\Oh no, not again...\Wait up, Moka-san!\So it was you, after all!\You even admitted!\You're the enemy of women! response:	Get him!
context: Well I really did peep, but this wa-\He admitted!\Oh no, not again...\Wait up, Moka-san!\So it was you, after all!\You even admitted!\You're the enemy of women!\Get him! response:	Eh? Tsukune did?
context: He admitted!\Oh no, not again...\Wait up, Moka-san!\So it was you, after all!\You even admitted!\You're the enemy of women!\Get him!\Eh? Tsukune did? response:	I heard that he peeped at the female changing room,
context: Oh no, not again...\Wait up, Moka-san!\So it was you, after all!\You even admitted!\You're the enemy of women!\Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room, response:	the rumors are spreading like wildfire now.
context: Wait up, Moka-san!\So it was you, after all!\You even admitted!\You're the enemy of women!\Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now. response:	That's just not possible.
context: So it was you, after all!\You even admitted!\You're the enemy of women!\Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible. response:	Exactly!
context: You even admitted!\You're the enemy of women!\Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible.\Exactly! response:	How can Tsukune think of looking at girls other than me?!
context: You're the enemy of women!\Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?! response:	A-Anyway, there must be some reason for this.
context: Get him!\Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this. response:	What kind of reason?
context: Eh? Tsukune did?\I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason? response:	This what we, the Newspaper Club, will investigate!
context: I heard that he peeped at the female changing room,\the rumors are spreading like wildfire now.\That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate! response:	What's wrong?
context: the rumors are spreading like wildfire now.\That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong? response:	What are you doing here?
context: That's just not possible.\Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here? response:	It's already nightfall.
context: Exactly!\How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here?\It's already nightfall. response:	Look. There's a beautiful full moon tonight.
context: How can Tsukune think of looking at girls other than me?!\A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight. response:	Gin-senpai...
context: A-Anyway, there must be some reason for this.\What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai... response:	I heard about it... about Tsukune.
context: What kind of reason?\This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune. response:	Even though he doesn't seem like the type,
context: This what we, the Newspaper Club, will investigate!\What's wrong?\What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type, response:	the saying, You can't judge a person by his appearance applies here.
context: What's wrong?\What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here. response:	Is it true...
context: What are you doing here?\It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true... response:	Is it true that Tsukune is the peeping tom?
context: It's already nightfall.\Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom? response:	I understand that you want to believe him,
context: Look. There's a beautiful full moon tonight.\Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him, response:	However, he was caught red-handed with evidence.
context: Gin-senpai...\I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence. response:	But...
context: I heard about it... about Tsukune.\Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence.\But... response:	Moka-san... you should just forget about Tsukune.
context: Even though he doesn't seem like the type,\the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune. response:	Let me comfort you tonight.
context: the saying, You can't judge a person by his appearance applies here.\Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight. response:	No!
context: Is it true...\Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No! response:	That leaves me no choice then... I actually didn't want you to see this.
context: Is it true that Tsukune is the peeping tom?\I understand that you want to believe him,\However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this. response:	I don't know who photographed this,
context: I understand that you want to believe him,\However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this, response:	But these photographss have been circulating everywhere.
context: However, he was caught red-handed with evidence.\But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere. response:	This is...!
context: But...\Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...! response:	Moka-san...
context: Moka-san... you should just forget about Tsukune.\Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...!\Moka-san... response:	O-Ow...
context: Let me comfort you tonight.\No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...!\Moka-san...\O-Ow... response:	Photographs of the peeping tom in action.
context: No!\That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...!\Moka-san...\O-Ow...\Photographs of the peeping tom in action. response:	You should understand now.
context: That leaves me no choice then... I actually didn't want you to see this.\I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...!\Moka-san...\O-Ow...\Photographs of the peeping tom in action.\You should understand now. response:	Tsukune... is your most hated pervert.
context: I don't know who photographed this,\But these photographss have been circulating everywhere.\This is...!\Moka-san...\O-Ow...\Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert. response:	I'd like to believe Tsukune instead of these photographs.
context: But these photographss have been circulating everywhere.\This is...!\Moka-san...\O-Ow...\Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs. response:	Can you still believe him?
context: This is...!\Moka-san...\O-Ow...\Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him? response:	You're just lying to yourself.
context: Moka-san...\O-Ow...\Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him?\You're just lying to yourself. response:	You should just be more frank.
context: O-Ow...\Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him?\You're just lying to yourself.\You should just be more frank. response:	This is reality.
context: Photographs of the peeping tom in action.\You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him?\You're just lying to yourself.\You should just be more frank.\This is reality. response:	Tsukune is a lecher who specifically moved the drum for support in order to peep into the girls changing room!
context: You should understand now.\Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him?\You're just lying to yourself.\You should just be more frank.\This is reality.\Tsukune is a lecher who specifically moved the drum for support in order to peep into the girls changing room! response:	How do you know about that?
context: Tsukune... is your most hated pervert.\I'd like to believe Tsukune instead of these photographs.\Can you still believe him?\You're just lying to yourself.\You should just be more frank.\This is reality.\Tsukune is a lecher who specifically moved the drum for support in order to peep into the girls changing room!\How do you know about that? response:	Well if you look at the photographs...
