context: So that guy, Hazamada, says response:	he doesn't know anything about the electric bastard
context: Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?! response:	Th-Th-There's so much... hair in it!
context: By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it! response:	Stand users are drawn to one another...
context: Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another... response:	Nah, it couldn't be.
context: All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be. response:	Chemistry Lab
context: Y-Yeah...\Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab response:	It's me, Koichi.
context: Let's just pretend we never saw anything.\Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab\It's me, Koichi. response:	Y-Yukako!
context: Yeah.\What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab\It's me, Koichi.\Y-Yukako! response:	What are you doing?
context: What's wrong with this cola?!\Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab\It's me, Koichi.\Y-Yukako!\What are you doing? response:	Um, as you can see, it's my turn to clean the lab.
context: Th-Th-There's so much... hair in it!\Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab\It's me, Koichi.\Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab. response:	Fourth period was chemistry lab.
context: Stand users are drawn to one another...\Nah, it couldn't be.\Chemistry Lab\It's me, Koichi.\Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab. response:	Ah...
context: Nah, it couldn't be.\Chemistry Lab\It's me, Koichi.\Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah... response:	Koichi...
context: Chemistry Lab\It's me, Koichi.\Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah...\Koichi... response:	I said some weird things yesterday.
context: It's me, Koichi.\Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah...\Koichi...\I said some weird things yesterday. response:	Would you just forget all that?
context: Y-Yukako!\What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah...\Koichi...\I said some weird things yesterday.\Would you just forget all that? response:	I get that way when I think too hard. It's so embarrassing.
context: What are you doing?\Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah...\Koichi...\I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing. response:	People are supposed to be more broad-minded.
context: Um, as you can see, it's my turn to clean the lab.\Fourth period was chemistry lab.\Ah...\Koichi...\I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded. response:	Uh, r-right...
context: Fourth period was chemistry lab.\Ah...\Koichi...\I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right... response:	It was a little surprising, b-but I didn't think anything of it...
context: Ah...\Koichi...\I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it... response:	Will you still be friends with me?
context: Koichi...\I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me? response:	O-Of course! I would be honored, yes!
context: I said some weird things yesterday.\Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes! response:	Thank goodness.
context: Would you just forget all that?\I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness. response:	I was so worried about what I'd do if you hated me,
context: I get that way when I think too hard. It's so embarrassing.\People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me, response:	I couldn't sleep all night.
context: People are supposed to be more broad-minded.\Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night. response:	That's a bit dramatic.
context: Uh, r-right...\It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic. response:	And to make it up to you... Here.
context: It was a little surprising, b-but I didn't think anything of it...\Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here. response:	I was up until this morning knitting this for you, Koichi.
context: Will you still be friends with me?\O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi. response:	Thank goodness! It's a perfect fit!
context: O-Of course! I would be honored, yes!\Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit! response:	I knew your height and chest size, but I was worried how it would fit your shoulders.
context: Thank goodness.\I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders. response:	Charm
context: I was so worried about what I'd do if you hated me,\I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm response:	I made you a good luck charm, too...
context: I couldn't sleep all night.\That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too... response:	In hopes that you'll find a wonderful love.
context: That's a bit dramatic.\And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love. response:	I also prepared lunch so we could eat it together...
context: And to make it up to you... Here.\I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together... response:	I bought this shrimp at the fish market this morning.
context: I was up until this morning knitting this for you, Koichi.\Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning. response:	You can't find this freshness at a store.
context: Thank goodness! It's a perfect fit!\I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store. response:	See this flounder meuniere?
context: I knew your height and chest size, but I was worried how it would fit your shoulders.\Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere? response:	I personally took out all of the bones, one by one, with tweezers.
context: Charm\I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers. response:	Here. Say, Ah.
context: I made you a good luck charm, too...\In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah. response:	Ahh...
context: In hopes that you'll find a wonderful love.\I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh... response:	There's one thing I know now...
context: I also prepared lunch so we could eat it together...\I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh...\There's one thing I know now... response:	Yukako Yamagishi, to be completely honest, is extremely strange!
context: I bought this shrimp at the fish market this morning.\You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange! response:	Ahh...
context: You can't find this freshness at a store.\See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh... response:	I have to hurry up and turn her down!
context: See this flounder meuniere?\I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down! response:	B-But if I eat this, it'll be like saying yes...
context: I personally took out all of the bones, one by one, with tweezers.\Here. Say, Ah.\Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes... response:	Ahh!
context: Here. Say, Ah.\Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh! response:	But if I refuse it, she'll probably get mad.
context: Ahh...\There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad. response:	What should I do?!
context: There's one thing I know now...\Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad.\What should I do?! response:	Hirose!
context: Yukako Yamagishi, to be completely honest, is extremely strange!\Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad.\What should I do?!\Hirose! response:	Why are you wasting time?
context: Ahh...\I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad.\What should I do?!\Hirose!\Why are you wasting time? response:	You need to hurry up and throw this garbage away before class starts.
context: I have to hurry up and turn her down!\B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad.\What should I do?!\Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts. response:	I-I'm saved!
context: B-But if I eat this, it'll be like saying yes...\Ahh!\But if I refuse it, she'll probably get mad.\What should I do?!\Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved! response:	R-Right! Right!
context: Ahh!\But if I refuse it, she'll probably get mad.\What should I do?!\Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right! response:	I-I'd better go throw it away.
context: But if I refuse it, she'll probably get mad.\What should I do?!\Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right!\I-I'd better go throw it away. response:	Ugh, you're useless.
context: What should I do?!\Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless. response:	Here, give me that.
context: Hirose!\Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that. response:	I'll hold half of it for you.
context: Why are you wasting time?\You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that.\I'll hold half of it for you. response:	Huh? N-No, I'd feel bad...
context: You need to hurry up and throw this garbage away before class starts.\I-I'm saved!\R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad... response:	Just give it to me!
context: I-I'm saved!\R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me! response:	I'm the class rep, so I'm the one who'll get yelled at.
context: R-Right! Right!\I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at. response:	Jeez!
context: I-I'd better go throw it away.\Ugh, you're useless.\Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez! response:	S-Sorry...
context: Ugh, you're useless.\Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry... response:	Hey, you.
context: Here, give me that.\I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry...\Hey, you. response:	Would you stop bothering Koichi?
context: I'll hold half of it for you.\Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry...\Hey, you.\Would you stop bothering Koichi? response:	Koichi? You mean Koichi Hirose?
context: Huh? N-No, I'd feel bad...\Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry...\Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose? response:	I haven't the slightest idea what you're talking about.
context: Just give it to me!\I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry...\Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about. response:	I know what you're doing.
context: I'm the class rep, so I'm the one who'll get yelled at.\Jeez!\S-Sorry...\Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing. response:	The stench of a homewrecker is all over you.
context: Jeez!\S-Sorry...\Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you. response:	Homewrecker?! What are you talking about?
context: S-Sorry...\Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about? response:	Listen well. If you ever come close to Koichi again,
context: Hey, you.\Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again, response:	I'll make sure you regret it.
context: Would you stop bothering Koichi?\Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it. response:	Just one second.
context: Koichi? You mean Koichi Hirose?\I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second. response:	I tried to be classy about this, but...
context: I haven't the slightest idea what you're talking about.\I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second.\I tried to be classy about this, but... response:	Koichi Hirose?
context: I know what you're doing.\The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second.\I tried to be classy about this, but...\Koichi Hirose? response:	I couldn't care less about him!
context: The stench of a homewrecker is all over you.\Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second.\I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him! response:	You have no right to tell me what the hell I can or can't do!
context: Homewrecker?! What are you talking about?\Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second.\I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do! response:	Dumbass!
context: Listen well. If you ever come close to Koichi again,\I'll make sure you regret it.\Just one second.\I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass! response:	Ow!
context: I'll make sure you regret it.\Just one second.\I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow! response:	What was that?
context: Just one second.\I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow!\What was that? response:	What the hell is her problem?!
context: I tried to be classy about this, but...\Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow!\What was that?\What the hell is her problem?! response:	She's not right in the head. She actually likes Hirose?
context: Koichi Hirose?\I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow!\What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose? response:	Hmph. Hilarious. I'll tell the whole school!
context: I couldn't care less about him!\You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow!\What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school! response:	Huh?
context: You have no right to tell me what the hell I can or can't do!\Dumbass!\Ow!\What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh? response:	What is that?
context: Dumbass!\Ow!\What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that? response:	Something's hot... Something's wrong.
context: Ow!\What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that?\Something's hot... Something's wrong. response:	Something's not right...
context: What was that?\What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that?\Something's hot... Something's wrong.\Something's not right... response:	It's insanely hot...
context: What the hell is her problem?!\She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that?\Something's hot... Something's wrong.\Something's not right...\It's insanely hot... response:	W-Water!
context: She's not right in the head. She actually likes Hirose?\Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that?\Something's hot... Something's wrong.\Something's not right...\It's insanely hot...\W-Water! response:	S-Someone! I need w-wa...
context: Hmph. Hilarious. I'll tell the whole school!\Huh?\What is that?\Something's hot... Something's wrong.\Something's not right...\It's insanely hot...\W-Water!\S-Someone! I need w-wa... response:	Hey, Josuke...
context: Huh?\What is that?\Something's hot... Something's wrong.\Something's not right...\It's insanely hot...\W-Water!\S-Someone! I need w-wa...\Hey, Josuke... response:	Looks like Yukako Yamagishi really was a Stand user.
context: What is that?\Something's hot... Something's wrong.\Something's not right...\It's insanely hot...\W-Water!\S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user. response:	Her Stand has hair that moves.
context: Something's hot... Something's wrong.\Something's not right...\It's insanely hot...\W-Water!\S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves. response:	Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.
context: Something's not right...\It's insanely hot...\W-Water!\S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi. response:	By the way, Okuyasu, what are you gonna do about her hair?
context: It's insanely hot...\W-Water!\S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair? response:	I can't fix something after your The Hand takes it away.
context: W-Water!\S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away. response:	She can't complain. I saved her from getting burnt to a crisp.
context: S-Someone! I need w-wa...\Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp. response:	Sorry, but I'm not a beautician.
context: Hey, Josuke...\Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician. response:	Re
context: Looks like Yukako Yamagishi really was a Stand user.\Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re response:	Rev
context: Her Stand has hair that moves.\Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re\Rev response:	Rever
context: Yeah. But it doesn't seem like she's an enemy, or going to attack Koichi.\By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re\Rev\Rever response:	Reverb
context: By the way, Okuyasu, what are you gonna do about her hair?\I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re\Rev\Rever\Reverb response:	Ko
context: I can't fix something after your The Hand takes it away.\She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re\Rev\Rever\Reverb\Ko response:	Koichi
context: She can't complain. I saved her from getting burnt to a crisp.\Sorry, but I'm not a beautician.\Re\Rev\Rever\Reverb\Ko\Koichi response:	Koichi Hiro
context: Sorry, but I'm not a beautician.\Re\Rev\Rever\Reverb\Ko\Koichi\Koichi Hiro response:	Koichi Hirose
context: Re\Rev\Rever\Reverb\Ko\Koichi\Koichi Hiro\Koichi Hirose response:	What am I gonna do?
context: Rev\Rever\Reverb\Ko\Koichi\Koichi Hiro\Koichi Hirose\What am I gonna do? response:	Year 1 English Exam Answer Sheet
context: Rever\Reverb\Ko\Koichi\Koichi Hiro\Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet response:	Quiz 2 Koichi Hirose
context: Reverb\Ko\Koichi\Koichi Hiro\Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose response:	This is my English test from earlier.
context: Ko\Koichi\Koichi Hiro\Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier. response:	I'm worrying so much about Yukako, I can't concentrate on anything else.
context: Koichi\Koichi Hiro\Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else. response:	Even I did better! I only got 32 points, though.
context: Koichi Hiro\Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though. response:	To be honest, I was a little happy at first.
context: Koichi Hirose\What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first. response:	I'd never had a girl tell me she loved me before.
context: What am I gonna do?\Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first.\I'd never had a girl tell me she loved me before. response:	I get that. I totally get that! So much it hurts!
context: Year 1 English Exam Answer Sheet\Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first.\I'd never had a girl tell me she loved me before.\I get that. I totally get that! So much it hurts! response:	But I'm the one who let it come to this by not being up-front with her.
context: Quiz 2 Koichi Hirose\This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first.\I'd never had a girl tell me she loved me before.\I get that. I totally get that! So much it hurts!\But I'm the one who let it come to this by not being up-front with her. response:	I'm thinking about telling her straight
context: This is my English test from earlier.\I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first.\I'd never had a girl tell me she loved me before.\I get that. I totally get that! So much it hurts!\But I'm the one who let it come to this by not being up-front with her.\I'm thinking about telling her straight response:	that I don't like her or anything, so she needs to leave me alone.
context: I'm worrying so much about Yukako, I can't concentrate on anything else.\Even I did better! I only got 32 points, though.\To be honest, I was a little happy at first.\I'd never had a girl tell me she loved me before.\I get that. I totally get that! So much it hurts!\But I'm the one who let it come to this by not being up-front with her.\I'm thinking about telling her straight\that I don't like her or anything, so she needs to leave me alone. response:	That's not a good idea, Koichi.
