context: That night Nana took Misato by the hand response:	and left the flat without saying a word.
context: Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job. response:	But I need to find my next job before I do that.
context: to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that. response:	Or else Nana will tell me to move out. But we just made up.
context: All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up. response:	That's right! I hafta call Misato.
context: What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato. response:	Hello.
context: Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello. response:	Oh, hello, Misato? It's Nana Komatsu.
context: Where are you going, Miss Komatsu?!\I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu. response:	Miss Komatsu? I'm really sorry. I was being such a nuisance.
context: I'm going for lunch!\I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance. response:	No, I'm the one who needs to apologize.
context: I wanna hurry and quit this job.\But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize. response:	- Huh? - I called to apologize about yesterday.
context: But I need to find my next job before I do that.\Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday. response:	I'm really sorry. I was not my usual self yesterday.
context: Or else Nana will tell me to move out. But we just made up.\That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday. response:	Um, come visit us again anytime, okay?
context: That's right! I hafta call Misato.\Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay? response:	Nana and the other band members would be glad to see you.
context: Hello.\Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you. response:	I'll keep you informed about their upcoming live concerts.
context: Oh, hello, Misato? It's Nana Komatsu.\Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts. response:	Sure! Thank you very much.
context: Miss Komatsu? I'm really sorry. I was being such a nuisance.\No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much. response:	Where are you now, Misato?
context: No, I'm the one who needs to apologize.\- Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato? response:	Oh, I'm on the train, on my way home.
context: - Huh? - I called to apologize about yesterday.\I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home. response:	I see. Sorry for not seeing you off.
context: I'm really sorry. I was not my usual self yesterday.\Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off. response:	No, that's okay. I'm grateful as it is.
context: Um, come visit us again anytime, okay?\Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is. response:	Being able to have dinner with the BLAST band members,
context: Nana and the other band members would be glad to see you.\I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members, response:	and the chance to talk with Nana...
context: I'll keep you informed about their upcoming live concerts.\Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... response:	I'm so happy I could die. It's like I'm still in some dream.
context: Sure! Thank you very much.\Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream. response:	You're exaggerating.
context: Where are you now, Misato?\Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating. response:	No, really. I've been a BLAST fan since the very beginning,
context: Oh, I'm on the train, on my way home.\I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning, response:	but nothing like this has ever happened.
context: I see. Sorry for not seeing you off.\No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened. response:	It really is like a dream to me.
context: No, that's okay. I'm grateful as it is.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me. response:	I see. When you say since the very beginning, when was that?
context: Being able to have dinner with the BLAST band members,\and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that? response:	It was with the first set of members, back when Ren was in the band.
context: and the chance to talk with Nana...\I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band. response:	So, almost four years ago?
context: I'm so happy I could die. It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago? response:	First members, when Ren was in the band?
context: You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band? response:	No way, it can't be this Ren.
context: No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren. response:	It was a shock when Ren left BLAST, but don't you think Shin,
context: but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin, response:	the new bassist, plays just like Ren does?
context: It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does? response:	So at the live concert it was like a revival of the BLAST of old times.
context: I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times. response:	I was really thrilled.
context: It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled. response:	Name a guitarist you respect.
context: So, almost four years ago?\First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect. response:	Ren Honjo!
context: First members, when Ren was in the band?\No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo! response:	Oh, which reminds me,
context: No way, it can't be this Ren.\It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me, response:	I'll be going back home soon to catch Trapnest play live.
context: It was a shock when Ren left BLAST, but don't you think Shin,\the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live. response:	I'm so happy that I'll have the chance to see Ren perform in person again.
context: the new bassist, plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again. response:	That's the flower of the lotus, isn't it? Why did you choose the lotus?
context: So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus? response:	Actually, it's the ren.
context: I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren. response:	Ren...
context: Name a guitarist you respect.\Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren... response:	No way.
context: Ren Honjo!\Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren...\No way. response:	I need to calm down.
context: Oh, which reminds me,\I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren...\No way.\I need to calm down. response:	I need to calm down and think.
context: I'll be going back home soon to catch Trapnest play live.\I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren...\No way.\I need to calm down.\I need to calm down and think. response:	Trapnest's Ren is BLAST's former bassist?
context: I'm so happy that I'll have the chance to see Ren perform in person again.\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren...\No way.\I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist? response:	Judging from what Misato said, there's no mistake about it, is there?
context: That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\Ren...\No way.\I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there? response:	But why? Not one of them said a word about it.
context: Actually, it's the ren.\Ren...\No way.\I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it. response:	Not even when Shin and I were talking about Ren.
context: Ren...\No way.\I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren. response:	Then were they keeping it a secret?
context: No way.\I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret? response:	Furthermore, if that tattoo on Nana's arm signifies Ren...
context: I need to calm down.\I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren... response:	Are Nana and Ren lovers?
context: I need to calm down and think.\Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers? response:	They make a great couple! That's so cool! I get it!
context: Trapnest's Ren is BLAST's former bassist?\Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it! response:	Ren is a popular celebrity.
context: Judging from what Misato said, there's no mistake about it, is there?\But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity. response:	Perhaps that's why they're keeping their affair a secret.
context: But why? Not one of them said a word about it.\Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret. response:	From that perspective, everything makes more sense now, I think.
context: Not even when Shin and I were talking about Ren.\Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think. response:	Yasu's stoic behavior.
context: Then were they keeping it a secret?\Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior. response:	The fact that Nana avoids talking about herself.
context: Furthermore, if that tattoo on Nana's arm signifies Ren...\Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself. response:	Nana often goes out at night saying she's going to work,
context: Are Nana and Ren lovers?\They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work, response:	but she's in fact out to secretly see Ren.
context: They make a great couple! That's so cool! I get it!\Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren. response:	She goes out wearing Vivienne Westwood when
context: Ren is a popular celebrity.\Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when response:	she says she's going to work, after all.
context: Perhaps that's why they're keeping their affair a secret.\From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all. response:	Maybe that's what's happening. I'll bet it is.
context: From that perspective, everything makes more sense now, I think.\Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is. response:	What am I gonna do? I wanna know more!
context: Yasu's stoic behavior.\The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more! response:	So much that I couldn't possibly keep my mind on work.
context: The fact that Nana avoids talking about herself.\Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work. response:	I hafta find out the truth.
context: Nana often goes out at night saying she's going to work,\but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth. response:	But Nana said she won't be back until around nine,
context: but she's in fact out to secretly see Ren.\She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine, response:	and she doesn't carry a cell phone.
context: She goes out wearing Vivienne Westwood when\she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone. response:	What am I gonna do?
context: she says she's going to work, after all.\Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do? response:	Still that's no reason to come to my place.
context: Maybe that's what's happening. I'll bet it is.\What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place. response:	Please tell me, Nobu. You know a lot about this, don't you?
context: What am I gonna do? I wanna know more!\So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you? response:	I assure you, I won't sell the story to the press.
context: So much that I couldn't possibly keep my mind on work.\I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press. response:	No, I'd never imagine you as a woman who would do such a thing, Hachi.
context: I hafta find out the truth.\But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi. response:	Don't call me Hachi!
context: But Nana said she won't be back until around nine,\and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi! response:	Shin!
context: and she doesn't carry a cell phone.\What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin! response:	That'll stunt your growth! And why are you so calm?
context: What am I gonna do?\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm? response:	You've always respected Ren, right?!
context: Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?! response:	Because I already knew.
context: Please tell me, Nobu. You know a lot about this, don't you?\I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew. response:	Why? Did you by chance become a member of BLAST
context: I assure you, I won't sell the story to the press.\No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST response:	knowing you'd be taking Ren's place?
context: No, I'd never imagine you as a woman who would do such a thing, Hachi.\Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place? response:	What do you mean? You had this all planned out?
context: Don't call me Hachi!\Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out? response:	No. Nobu got drunk and told me.
context: Shin!\That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me. response:	I did?!
context: That'll stunt your growth! And why are you so calm?\You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?! response:	I figured you might not remember.
context: You've always respected Ren, right?!\Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?!\I figured you might not remember. response:	No way! When?!
context: Because I already knew.\Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?!\I figured you might not remember.\No way! When?! response:	Right after I became a member of BLAST.
context: Why? Did you by chance become a member of BLAST\knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?!\I figured you might not remember.\No way! When?!\Right after I became a member of BLAST. response:	Shin. If you knew, why didn't you tell me anything about it?
context: knowing you'd be taking Ren's place?\What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?!\I figured you might not remember.\No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it? response:	Because everyone avoids talking about Ren,
context: What do you mean? You had this all planned out?\No. Nobu got drunk and told me.\I did?!\I figured you might not remember.\No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren, response:	to the point that it's obvious.
context: No. Nobu got drunk and told me.\I did?!\I figured you might not remember.\No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious. response:	So I figured I'd be better off pretending I never heard about it.
context: I did?!\I figured you might not remember.\No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it. response:	I'm the worst.
context: I figured you might not remember.\No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst. response:	You are such a grown up, Shin.
context: No way! When?!\Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst.\You are such a grown up, Shin. response:	If it was me, I would never be able to act like I didn't know anything.
context: Right after I became a member of BLAST.\Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst.\You are such a grown up, Shin.\If it was me, I would never be able to act like I didn't know anything. response:	I tend to get all worked up about it, like I'm doing now.
context: Shin. If you knew, why didn't you tell me anything about it?\Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst.\You are such a grown up, Shin.\If it was me, I would never be able to act like I didn't know anything.\I tend to get all worked up about it, like I'm doing now. response:	That's what's so cute about you, Hachi.
context: Because everyone avoids talking about Ren,\to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst.\You are such a grown up, Shin.\If it was me, I would never be able to act like I didn't know anything.\I tend to get all worked up about it, like I'm doing now.\That's what's so cute about you, Hachi. response:	Cute?!
context: to the point that it's obvious.\So I figured I'd be better off pretending I never heard about it.\I'm the worst.\You are such a grown up, Shin.\If it was me, I would never be able to act like I didn't know anything.\I tend to get all worked up about it, like I'm doing now.\That's what's so cute about you, Hachi.\Cute?! response:	Don't mess around with adults.
