context: Good evening, mister. response:	This is the second time we've met like this.
context: My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either. response:	In which case...
context: Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case... response:	We have no choice but to pin our hopes on Saber.
context: I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber. response:	Stay put and watch the battlefield from above.
context: Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above. response:	I'll meet up with Saber.
context: She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber. response:	Understood.
context: So it would seem.\The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood. response:	When it's time to withdraw, don't hesitate, Rin.
context: The proper course of action would be to defeat Berserker's Master first,\but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin. response:	Yeah, yeah...
context: but that seems no easy task, either.\In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah... response:	Tohsaka?
context: In which case...\We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka? response:	Emiya-kun...
context: We have no choice but to pin our hopes on Saber.\Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka?\Emiya-kun... response:	Don't you Tohsaka me!
context: Stay put and watch the battlefield from above.\I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka?\Emiya-kun...\Don't you Tohsaka me! response:	If you have no way to fight, don't you get that you're just in the way?
context: I'll meet up with Saber.\Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka?\Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way? response:	If you're killed without accomplishing anything, you'll have died for nothing!
context: Understood.\When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka?\Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing! response:	Why are you getting mad over that?
context: When it's time to withdraw, don't hesitate, Rin.\Yeah, yeah...\Tohsaka?\Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that? response:	If I die for nothing, what business is it of yours?
context: Yeah, yeah...\Tohsaka?\Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours? response:	It is my business!
context: Tohsaka?\Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business! response:	I said I'd give you a free pass for twenty-four hours,
context: Emiya-kun...\Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours, response:	so if you refuse to go home, you're making trouble!
context: Don't you Tohsaka me!\If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble! response:	For me!
context: If you have no way to fight, don't you get that you're just in the way?\If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me! response:	Anyway, you're safe for now, so you should run.
context: If you're killed without accomplishing anything, you'll have died for nothing!\Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run. response:	That Illyasviel pipsqueak is determined to slaughter us all.
context: Why are you getting mad over that?\If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all. response:	Sorry, but I can't do that.
context: If I die for nothing, what business is it of yours?\It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that. response:	Saber's fighting her hardest, so I'm not about to leave her.
context: It is my business!\I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her. response:	Only real mages get to talk like that.
context: I said I'd give you a free pass for twenty-four hours,\so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that. response:	You can't offer any support, so all you'll do is die for nothing.
context: so if you refuse to go home, you're making trouble!\For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing. response:	There has to be something!
context: For me!\Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something! response:	As long as I have a body, there should be something I can do.
context: Anyway, you're safe for now, so you should run.\That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do. response:	Now, look here!
context: That Illyasviel pipsqueak is determined to slaughter us all.\Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do.\Now, look here! response:	And besides, Tohsaka...
context: Sorry, but I can't do that.\Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka... response:	Will you make someone else do something you can't do on your own?
context: Saber's fighting her hardest, so I'm not about to leave her.\Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own? response:	I should expect no less of Saber. She deliberately let Berserker's blow land.
context: Only real mages get to talk like that.\You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land. response:	Yeah. Did she do it to lure Berserker here?
context: You can't offer any support, so all you'll do is die for nothing.\There has to be something!\As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here? response:	Right.
context: There has to be something!\As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right. response:	Fighting that thing without cover would be suicide.
context: As long as I have a body, there should be something I can do.\Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide. response:	That's why Saber chose this location.
context: Now, look here!\And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location. response:	As well as to draw Berserker away from you, Emiya-kun.
context: And besides, Tohsaka...\Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun. response:	Of course, she couldn't expect any support from Archer in a battle like this.
context: Will you make someone else do something you can't do on your own?\I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this. response:	But this is an opponent that can neutralize even Archer's arrows.
context: I should expect no less of Saber. She deliberately let Berserker's blow land.\Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows. response:	Support from him was pointless all along.
context: Yeah. Did she do it to lure Berserker here?\Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along. response:	Archer's bow...
context: Right.\Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow... response:	We have neither desire to converse, nor freedom to name ourselves.
context: Fighting that thing without cover would be suicide.\That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves. response:	Our conversation is limited to blows meant to kill one another.
context: That's why Saber chose this location.\As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another. response:	Very well, I shall answer with a strike of all my might.
context: As well as to draw Berserker away from you, Emiya-kun.\Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might. response:	Here I come.
context: Of course, she couldn't expect any support from Archer in a battle like this.\But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come. response:	This is where you die, Berserker!
context: But this is an opponent that can neutralize even Archer's arrows.\Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker! response:	Is it over?
context: Support from him was pointless all along.\Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker!\Is it over? response:	Saber!
context: Archer's bow...\We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker!\Is it over?\Saber! response:	Archer?
context: We have neither desire to converse, nor freedom to name ourselves.\Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker!\Is it over?\Saber!\Archer? response:	What do you mean by get clear?
context: Our conversation is limited to blows meant to kill one another.\Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker!\Is it over?\Saber!\Archer?\What do you mean by get clear? response:	That was magnificent.
context: Very well, I shall answer with a strike of all my might.\Here I come.\This is where you die, Berserker!\Is it over?\Saber!\Archer?\What do you mean by get clear?\That was magnificent. response:	But not enough.
context: Here I come.\This is where you die, Berserker!\Is it over?\Saber!\Archer?\What do you mean by get clear?\That was magnificent.\But not enough. response:	Regeneration?
context: This is where you die, Berserker!\Is it over?\Saber!\Archer?\What do you mean by get clear?\That was magnificent.\But not enough.\Regeneration? response:	No, that is almost like time reversal,
context: Is it over?\Saber!\Archer?\What do you mean by get clear?\That was magnificent.\But not enough.\Regeneration?\No, that is almost like time reversal, response:	the curse of resurrection.
context: Saber!\Archer?\What do you mean by get clear?\That was magnificent.\But not enough.\Regeneration?\No, that is almost like time reversal,\the curse of resurrection. response:	A Noble Phantasm that activates upon his death!
context: Archer?\What do you mean by get clear?\That was magnificent.\But not enough.\Regeneration?\No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death! response:	Shirou, stay back!
context: What do you mean by get clear?\That was magnificent.\But not enough.\Regeneration?\No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back! response:	He's...
context: That was magnificent.\But not enough.\Regeneration?\No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's... response:	Shirou?
context: But not enough.\Regeneration?\No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's...\Shirou? response:	It survived an A-rank Noble Phantasm without a scratch.
context: Regeneration?\No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch. response:	Shirou, what was that?
context: No, that is almost like time reversal,\the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that? response:	Archer's arrow.
context: the curse of resurrection.\A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow. response:	Beyond that, I don't know.
context: A Noble Phantasm that activates upon his death!\Shirou, stay back!\He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow.\Beyond that, I don't know. response:	Crap.
context: Shirou, stay back!\He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow.\Beyond that, I don't know.\Crap. response:	I've changed my mind about you, Rin. Your Archer is impressive.
context: He's...\Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow.\Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive. response:	That's enough.
context: Shirou?\It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow.\Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough. response:	Return to me, Berserker.
context: It survived an A-rank Noble Phantasm without a scratch.\Shirou, what was that?\Archer's arrow.\Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker. response:	I'd hoped to get the boring stuff out of the way first,
context: Shirou, what was that?\Archer's arrow.\Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first, response:	but my plans have changed.
context: Archer's arrow.\Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed. response:	What? You're running?
context: Beyond that, I don't know.\Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running? response:	Yes, I changed my mind.
context: Crap.\I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running?\Yes, I changed my mind. response:	I don't care about Saber, but your Archer has piqued my interest.
context: I've changed my mind about you, Rin. Your Archer is impressive.\That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest. response:	So I'll let you live a while longer.
context: That's enough.\Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer. response:	Okay, bye-bye.
context: Return to me, Berserker.\I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye. response:	Let's play again sometime, mister.
context: I'd hoped to get the boring stuff out of the way first,\but my plans have changed.\What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister. response:	Master...
context: but my plans have changed.\What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister.\Master... response:	Thank you for saving me from that,
context: What? You're running?\Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister.\Master...\Thank you for saving me from that, response:	but would you mind unhanding me?
context: Yes, I changed my mind.\I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister.\Master...\Thank you for saving me from that,\but would you mind unhanding me? response:	Oh, right... Sorry.
context: I don't care about Saber, but your Archer has piqued my interest.\So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister.\Master...\Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry. response:	Huh?
context: So I'll let you live a while longer.\Okay, bye-bye.\Let's play again sometime, mister.\Master...\Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry.\Huh? response:	Shirou, what's the matter? Are you unwell?
context: Okay, bye-bye.\Let's play again sometime, mister.\Master...\Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell? response:	Shirou!
context: Let's play again sometime, mister.\Master...\Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell?\Shirou! response:	Shirou, hold on!
context: Master...\Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on! response:	Shirou!
context: Thank you for saving me from that,\but would you mind unhanding me?\Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on!\Shirou! response:	Is that person called Saber-san?
context: but would you mind unhanding me?\Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on!\Shirou!\Is that person called Saber-san? response:	This is our first time having a new foreign student.
context: Oh, right... Sorry.\Huh?\Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on!\Shirou!\Is that person called Saber-san?\This is our first time having a new foreign student. response:	It's because the Holy Grail War is a death match.
context: Huh?\Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on!\Shirou!\Is that person called Saber-san?\This is our first time having a new foreign student.\It's because the Holy Grail War is a death match. response:	A witch inhabiting the Ryuudou Temple, huh?
context: Shirou, what's the matter? Are you unwell?\Shirou!\Shirou, hold on!\Shirou!\Is that person called Saber-san?\This is our first time having a new foreign student.\It's because the Holy Grail War is a death match.\A witch inhabiting the Ryuudou Temple, huh? response:	I shall see to it that you win the Grail,
context: Shirou!\Shirou, hold on!\Shirou!\Is that person called Saber-san?\This is our first time having a new foreign student.\It's because the Holy Grail War is a death match.\A witch inhabiting the Ryuudou Temple, huh?\I shall see to it that you win the Grail, response:	Next Time Finding the Will to Fight
context: Shirou, hold on!\Shirou!\Is that person called Saber-san?\This is our first time having a new foreign student.\It's because the Holy Grail War is a death match.\A witch inhabiting the Ryuudou Temple, huh?\I shall see to it that you win the Grail,\Next Time Finding the Will to Fight response:	so that I might fulfill my own wish.
