context: I find it hard to say this, but... response:	If you come back and say, It's impossible, after all, it would be oh so nice...
context: Do it now!\Way to go!\I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that? response:	That cry...
context: Way to go!\I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry... response:	Could it be a crimson splitjaw...?
context: I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...? response:	Run!
context: Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...?\Run! response:	There's a wound on its head?
context: I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...?\Run!\There's a wound on its head? response:	That must be the one Reg blasted with his Incinerator!
context: Two hours...\During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...?\Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator! response:	I know I heard they have lairs on the third layer...
context: During that time, you'll be-\I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...?\Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer... response:	but, this one remembers us?!
context: I heard it earlier, too, but what the heck is that?\That cry...\Could it be a crimson splitjaw...?\Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?! response:	A dead end?!
context: That cry...\Could it be a crimson splitjaw...?\Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?! response:	Hey! Please, little guys! Get outta the way!
context: Could it be a crimson splitjaw...?\Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way! response:	It's no use...
context: Run!\There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use... response:	I'm gonna... faint...
context: There's a wound on its head?\That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint... response:	Outta my way!
context: That must be the one Reg blasted with his Incinerator!\I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint...\Outta my way! response:	Please!
context: I know I heard they have lairs on the third layer...\but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint...\Outta my way!\Please! response:	Yikes! There it is!
context: but, this one remembers us?!\A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint...\Outta my way!\Please!\Yikes! There it is! response:	I'm begging you, let me through!
context: A dead end?!\Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint...\Outta my way!\Please!\Yikes! There it is!\I'm begging you, let me through! response:	You alright, Reg?!
context: Hey! Please, little guys! Get outta the way!\It's no use...\I'm gonna... faint...\Outta my way!\Please!\Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?! response:	Riko, until I wake up, stay right here...
context: It's no use...\I'm gonna... faint...\Outta my way!\Please!\Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here... response:	It'll be fine!
context: I'm gonna... faint...\Outta my way!\Please!\Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine! response:	Reg, I'll protect you, okay?!
context: Outta my way!\Please!\Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?! response:	I sure am hungry...
context: Please!\Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry... response:	I need to look for some food.
context: Yikes! There it is!\I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food. response:	And I can't leave Reg lying here, anyway...
context: I'm begging you, let me through!\You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway... response:	Alright, we're going now, Reg!
context: You alright, Reg?!\Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg! response:	Heave-ho! Heave-ho! Heave-ho!
context: Riko, until I wake up, stay right here...\It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho! response:	Heave-ho! Heave-ho!
context: It'll be fine!\Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! response:	I'm so hungry... and worn out.
context: Reg, I'll protect you, okay?!\I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out. response:	can't...
context: I sure am hungry...\I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't... response:	keep going!
context: I need to look for some food.\And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't...\keep going! response:	I can't press on.
context: And I can't leave Reg lying here, anyway...\Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't...\keep going!\I can't press on. response:	I'll wait here until Reg wakes up...
context: Alright, we're going now, Reg!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't...\keep going!\I can't press on.\I'll wait here until Reg wakes up... response:	Huh?
context: Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't...\keep going!\I can't press on.\I'll wait here until Reg wakes up...\Huh? response:	That's the smell of baracochas!
context: Heave-ho! Heave-ho!\I'm so hungry... and worn out.\can't...\keep going!\I can't press on.\I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas! response:	They must be bearing fruit somewhere below me!
context: I'm so hungry... and worn out.\can't...\keep going!\I can't press on.\I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me! response:	How lucky!
context: can't...\keep going!\I can't press on.\I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky! response:	Oh yeah!
context: keep going!\I can't press on.\I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky!\Oh yeah! response:	I'm close now!
context: I can't press on.\I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky!\Oh yeah!\I'm close now! response:	Where are the baracochas?
context: I'll wait here until Reg wakes up...\Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky!\Oh yeah!\I'm close now!\Where are the baracochas? response:	Where?
context: Huh?\That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky!\Oh yeah!\I'm close now!\Where are the baracochas?\Where? response:	Where, oh where?
context: That's the smell of baracochas!\They must be bearing fruit somewhere below me!\How lucky!\Oh yeah!\I'm close now!\Where are the baracochas?\Where?\Where, oh where? response:	Why's the scent coming up from the ground?
context: They must be bearing fruit somewhere below me!\How lucky!\Oh yeah!\I'm close now!\Where are the baracochas?\Where?\Where, oh where?\Why's the scent coming up from the ground? response:	What?
context: How lucky!\Oh yeah!\I'm close now!\Where are the baracochas?\Where?\Where, oh where?\Why's the scent coming up from the ground?\What? response:	This intense scent of baracochas...
context: Oh yeah!\I'm close now!\Where are the baracochas?\Where?\Where, oh where?\Why's the scent coming up from the ground?\What?\This intense scent of baracochas... response:	What the heck is this place...?
context: I'm close now!\Where are the baracochas?\Where?\Where, oh where?\Why's the scent coming up from the ground?\What?\This intense scent of baracochas...\What the heck is this place...? response:	Huh?
context: Where are the baracochas?\Where?\Where, oh where?\Why's the scent coming up from the ground?\What?\This intense scent of baracochas...\What the heck is this place...?\Huh? response:	Is that...
context: Where?\Where, oh where?\Why's the scent coming up from the ground?\What?\This intense scent of baracochas...\What the heck is this place...?\Huh?\Is that... response:	a neritantan tail?
context: Where, oh where?\Why's the scent coming up from the ground?\What?\This intense scent of baracochas...\What the heck is this place...?\Huh?\Is that...\a neritantan tail? response:	Could it be...
context: Why's the scent coming up from the ground?\What?\This intense scent of baracochas...\What the heck is this place...?\Huh?\Is that...\a neritantan tail?\Could it be... response:	that I'm inside the stomach on an amakagame?!
context: What?\This intense scent of baracochas...\What the heck is this place...?\Huh?\Is that...\a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?! response:	Damn it!
context: This intense scent of baracochas...\What the heck is this place...?\Huh?\Is that...\a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?!\Damn it! response:	This scent must be a trap meant to lure neritantans here!
context: What the heck is this place...?\Huh?\Is that...\a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here! response:	I need to get out of here quick or I'll end up getting dissolved!
context: Huh?\Is that...\a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved! response:	I survived...
context: Is that...\a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived... response:	There's so many of them...
context: a neritantan tail?\Could it be...\that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them... response:	What?!
context: Could it be...\that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them...\What?! response:	What? What is it?!
context: that I'm inside the stomach on an amakagame?!\Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them...\What?!\What? What is it?! response:	Ow!
context: Damn it!\This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them...\What?!\What? What is it?!\Ow! response:	I get it...
context: This scent must be a trap meant to lure neritantans here!\I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them...\What?!\What? What is it?!\Ow!\I get it... response:	The smell's stuck on me, so they're...
context: I need to get out of here quick or I'll end up getting dissolved!\I survived...\There's so many of them...\What?!\What? What is it?!\Ow!\I get it...\The smell's stuck on me, so they're... response:	Y-you've got the wrong idea!
context: I survived...\There's so many of them...\What?!\What? What is it?!\Ow!\I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea! response:	I'm not baracocha fruit, okay?!
context: There's so many of them...\What?!\What? What is it?!\Ow!\I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?! response:	Ouch!
context: What?!\What? What is it?!\Ow!\I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch! response:	Here they come!
context: What? What is it?!\Ow!\I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch!\Here they come! response:	Don't tell me this is another dead end...
context: Ow!\I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch!\Here they come!\Don't tell me this is another dead end... response:	Has it not been two hours yet?
context: I get it...\The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch!\Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet? response:	Reg, come on and wake up already!
context: The smell's stuck on me, so they're...\Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch!\Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already! response:	Light...
context: Y-you've got the wrong idea!\I'm not baracocha fruit, okay?!\Ouch!\Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already!\Light... response:	An opening to the outside!
context: I'm not baracocha fruit, okay?!\Ouch!\Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already!\Light...\An opening to the outside! response:	I did it...
context: Ouch!\Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already!\Light...\An opening to the outside!\I did it... response:	You've gotta be kidding me...
context: Here they come!\Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already!\Light...\An opening to the outside!\I did it...\You've gotta be kidding me... response:	Why's there an upward slope?
context: Don't tell me this is another dead end...\Has it not been two hours yet?\Reg, come on and wake up already!\Light...\An opening to the outside!\I did it...\You've gotta be kidding me...\Why's there an upward slope? response:	There's no way!
context: Has it not been two hours yet?\Reg, come on and wake up already!\Light...\An opening to the outside!\I did it...\You've gotta be kidding me...\Why's there an upward slope?\There's no way! response:	If I ascend that much, the Curse will-
context: Reg, come on and wake up already!\Light...\An opening to the outside!\I did it...\You've gotta be kidding me...\Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will- response:	But, I can't turn back now...
context: Light...\An opening to the outside!\I did it...\You've gotta be kidding me...\Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now... response:	Reg... here we go.
context: An opening to the outside!\I did it...\You've gotta be kidding me...\Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go. response:	headaches, dizziness...
context: I did it...\You've gotta be kidding me...\Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go.\headaches, dizziness... response:	in addition to...
context: You've gotta be kidding me...\Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go.\headaches, dizziness...\in addition to... response:	problems with your sense of balance.
context: Why's there an upward slope?\There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go.\headaches, dizziness...\in addition to...\problems with your sense of balance. response:	There they are! Master!
context: There's no way!\If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go.\headaches, dizziness...\in addition to...\problems with your sense of balance.\There they are! Master! response:	You can relax now, Riko!
context: If I ascend that much, the Curse will-\But, I can't turn back now...\Reg... here we go.\headaches, dizziness...\in addition to...\problems with your sense of balance.\There they are! Master!\You can relax now, Riko! response:	Marulk...
context: But, I can't turn back now...\Reg... here we go.\headaches, dizziness...\in addition to...\problems with your sense of balance.\There they are! Master!\You can relax now, Riko!\Marulk... response:	That's right.
context: Reg... here we go.\headaches, dizziness...\in addition to...\problems with your sense of balance.\There they are! Master!\You can relax now, Riko!\Marulk...\That's right. response:	Well now, won't you head back with us?
context: headaches, dizziness...\in addition to...\problems with your sense of balance.\There they are! Master!\You can relax now, Riko!\Marulk...\That's right.\Well now, won't you head back with us? response:	Visual and auditory hallucinations...
context: in addition to...\problems with your sense of balance.\There they are! Master!\You can relax now, Riko!\Marulk...\That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations... response:	Damn...
context: problems with your sense of balance.\There they are! Master!\You can relax now, Riko!\Marulk...\That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn... response:	That's enough already, Riko.
context: There they are! Master!\You can relax now, Riko!\Marulk...\That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn...\That's enough already, Riko. response:	Take a break. Don't overdo it now!
context: You can relax now, Riko!\Marulk...\That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn...\That's enough already, Riko.\Take a break. Don't overdo it now! response:	Riko!
context: Marulk...\That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn...\That's enough already, Riko.\Take a break. Don't overdo it now!\Riko! response:	Everybody...
context: That's right.\Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn...\That's enough already, Riko.\Take a break. Don't overdo it now!\Riko!\Everybody... response:	You did great, Riko! Just leave the rest to me!
context: Well now, won't you head back with us?\Visual and auditory hallucinations...\Damn...\That's enough already, Riko.\Take a break. Don't overdo it now!\Riko!\Everybody...\You did great, Riko! Just leave the rest to me! response:	Habo!
context: Visual and auditory hallucinations...\Damn...\That's enough already, Riko.\Take a break. Don't overdo it now!\Riko!\Everybody...\You did great, Riko! Just leave the rest to me!\Habo! response:	Riko...
context: Damn...\That's enough already, Riko.\Take a break. Don't overdo it now!\Riko!\Everybody...\You did great, Riko! Just leave the rest to me!\Habo!\Riko... response:	Mom...
context: That's enough already, Riko.\Take a break. Don't overdo it now!\Riko!\Everybody...\You did great, Riko! Just leave the rest to me!\Habo!\Riko...\Mom... response:	Riko, let's go back together... back to Orth.
context: Take a break. Don't overdo it now!\Riko!\Everybody...\You did great, Riko! Just leave the rest to me!\Habo!\Riko...\Mom...\Riko, let's go back together... back to Orth. response:	Mom!
context: Riko!\Everybody...\You did great, Riko! Just leave the rest to me!\Habo!\Riko...\Mom...\Riko, let's go back together... back to Orth.\Mom! response:	Mom, where are we?
context: Everybody...\You did great, Riko! Just leave the rest to me!\Habo!\Riko...\Mom...\Riko, let's go back together... back to Orth.\Mom!\Mom, where are we? response:	We're inside a gondola that's heading to Orth.
context: You did great, Riko! Just leave the rest to me!\Habo!\Riko...\Mom...\Riko, let's go back together... back to Orth.\Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth. response:	Huh?!
context: Habo!\Riko...\Mom...\Riko, let's go back together... back to Orth.\Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?! response:	But what about the Curse of the Abyss?
context: Riko...\Mom...\Riko, let's go back together... back to Orth.\Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss? response:	It's alright...
context: Mom...\Riko, let's go back together... back to Orth.\Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss?\It's alright... response:	Your body is no longer affected by the Curse.
context: Riko, let's go back together... back to Orth.\Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse. response:	Well, we're about to arrive.
context: Mom!\Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive. response:	It's the city of Orth!
context: Mom, where are we?\We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth! response:	Riko!
context: We're inside a gondola that's heading to Orth.\Huh?!\But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth!\Riko! response:	Riko!
context: Huh?!\But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth!\Riko!\Riko! response:	Riko!
context: But what about the Curse of the Abyss?\It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth!\Riko!\Riko!\Riko! response:	Everyone...!
context: It's alright...\Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth!\Riko!\Riko!\Riko!\Everyone...! response:	I'm home!
context: Your body is no longer affected by the Curse.\Well, we're about to arrive.\It's the city of Orth!\Riko!\Riko!\Riko!\Everyone...!\I'm home! response:	Reg?
context: Well, we're about to arrive.\It's the city of Orth!\Riko!\Riko!\Riko!\Everyone...!\I'm home!\Reg? response:	Where's Reg?
context: It's the city of Orth!\Riko!\Riko!\Riko!\Everyone...!\I'm home!\Reg?\Where's Reg? response:	Mom! What about Reg?! Reg's not here!
context: Riko!\Riko!\Riko!\Everyone...!\I'm home!\Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here! response:	Reg is...
context: Riko!\Riko!\Everyone...!\I'm home!\Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is... response:	at the bottom of the netherworld.
context: Riko!\Everyone...!\I'm home!\Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld. response:	But why...?
context: Everyone...!\I'm home!\Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld.\But why...? response:	I won't have it!
context: I'm home!\Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld.\But why...?\I won't have it! response:	If Reg's not here with me...
context: Reg?\Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld.\But why...?\I won't have it!\If Reg's not here with me... response:	there's no point in me even returning to Orth!
context: Where's Reg?\Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld.\But why...?\I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth! response:	The two of us were always together...
context: Mom! What about Reg?! Reg's not here!\Reg is...\at the bottom of the netherworld.\But why...?\I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together... response:	Reg... Reg...
context: Reg is...\at the bottom of the netherworld.\But why...?\I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg... response:	If I'm not together with Reg...
context: at the bottom of the netherworld.\But why...?\I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg...\If I'm not together with Reg... response:	I can't bear it!
context: But why...?\I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg...\If I'm not together with Reg...\I can't bear it! response:	Now I see how hard it is being on your own inside the Abyss...
context: I won't have it!\If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg...\If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss... response:	I was being protected by you all along...
context: If Reg's not here with me...\there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg...\If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along... response:	Reg.
context: there's no point in me even returning to Orth!\The two of us were always together...\Reg... Reg...\If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg. response:	Enough!
context: The two of us were always together...\Reg... Reg...\If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg.\Enough! response:	You sure are pesky!
context: Reg... Reg...\If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg.\Enough!\You sure are pesky! response:	Ah, that's right!
context: If I'm not together with Reg...\I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg.\Enough!\You sure are pesky!\Ah, that's right! response:	Riko...
context: I can't bear it!\Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg.\Enough!\You sure are pesky!\Ah, that's right!\Riko... response:	Ozen taught me how to use this thing, you know!
context: Now I see how hard it is being on your own inside the Abyss...\I was being protected by you all along...\Reg.\Enough!\You sure are pesky!\Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know! response:	Reg!
context: I was being protected by you all along...\Reg.\Enough!\You sure are pesky!\Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know!\Reg! response:	Reg! Use this!
context: Reg.\Enough!\You sure are pesky!\Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this! response:	Reg!
context: Enough!\You sure are pesky!\Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this!\Reg! response:	Sorry I took so long.
context: You sure are pesky!\Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this!\Reg!\Sorry I took so long. response:	Don't be...
context: Ah, that's right!\Riko...\Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this!\Reg!\Sorry I took so long.\Don't be... response:	It allowed me to think about lots of stuff.
context: Riko...\Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this!\Reg!\Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff. response:	Speaking of that, I understand now.
context: Ozen taught me how to use this thing, you know!\Reg!\Reg! Use this!\Reg!\Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now. response:	You understand?
context: Reg!\Reg! Use this!\Reg!\Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand? response:	That if I was on my own, this all would've been impossible!
context: Reg! Use this!\Reg!\Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible! response:	Reg, it's thanks to you that I was able to make it this far.
context: Reg!\Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far. response:	Thank you, Reg!
context: Sorry I took so long.\Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg! response:	Y-yeah...
context: Don't be...\It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah... response:	I feel the same way.
context: It allowed me to think about lots of stuff.\Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah...\I feel the same way. response:	It's because I had Riko with me...
context: Speaking of that, I understand now.\You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah...\I feel the same way.\It's because I had Riko with me... response:	It's because it's the two of us... that we made it here.
context: You understand?\That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah...\I feel the same way.\It's because I had Riko with me...\It's because it's the two of us... that we made it here. response:	The landscape around here has become a lot spikier.
context: That if I was on my own, this all would've been impossible!\Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah...\I feel the same way.\It's because I had Riko with me...\It's because it's the two of us... that we made it here.\The landscape around here has become a lot spikier. response:	Our depth is...
context: Reg, it's thanks to you that I was able to make it this far.\Thank you, Reg!\Y-yeah...\I feel the same way.\It's because I had Riko with me...\It's because it's the two of us... that we made it here.\The landscape around here has become a lot spikier.\Our depth is... response:	Let's see...
