context: Talk about a lack of personality... response:	How old are you?
context: You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right.\This has nothing to do with me anymore. response:	But the fact that he hasn't contacted you in a week
context: a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week response:	is definitely weird.
context: Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird. response:	Right. Still, it's not like I don't have any leads...
context: I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads... response:	Besides, he won't actually die even if you kill him.
context: There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him. response:	It's actually likely that
context: to be worried about him!\That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that response:	whoever tries to kill him will be in for a big disappointment.
context: That's right.\This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment. response:	Unless something truly awful happens, he'll probably come back to life.
context: This has nothing to do with me anymore.\But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life. response:	So she also knows about Kuro-kun's unique condition.
context: But the fact that he hasn't contacted you in a week\is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition. response:	She stays with him, despite knowing that fact. She's doing what I couldn't do.
context: is definitely weird.\Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do. response:	I guess she really does like Kuro-kun.
context: Right. Still, it's not like I don't have any leads...\Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun. response:	I'll do whatever I can to solve the matter regarding Steel Lady Nanase.
context: Besides, he won't actually die even if you kill him.\It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase. response:	But if you happen to run into her again,
context: It's actually likely that\whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again, response:	make sure you run away this time without any hesitation.
context: whoever tries to kill him will be in for a big disappointment.\Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation. response:	Can you even do anything about that monster in your state?
context: Unless something truly awful happens, he'll probably come back to life.\So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state? response:	Isn't your right eye fake?
context: So she also knows about Kuro-kun's unique condition.\She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake? response:	Ah, so you noticed.
context: She stays with him, despite knowing that fact. She's doing what I couldn't do.\I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed. response:	One eye and one leg.
context: I guess she really does like Kuro-kun.\I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg. response:	This is why I'm close to the gods, as well as the ayakashi.
context: I'll do whatever I can to solve the matter regarding Steel Lady Nanase.\But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi. response:	This is also the reason that I'll be perfectly fine.
context: But if you happen to run into her again,\make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine. response:	Well, then...
context: make sure you run away this time without any hesitation.\Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then... response:	Thank you very much for the coffee.
context: Can you even do anything about that monster in your state?\Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee. response:	Oh.
context: Isn't your right eye fake?\Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee.\Oh. response:	If you'd like, I'll gladly send you a wedding invitation whenever
context: Ah, so you noticed.\One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever response:	Kuro-senpai and I get married.
context: One eye and one leg.\This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married. response:	That won't be necessary!
context: This is why I'm close to the gods, as well as the ayakashi.\This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary! response:	I never imagined I'd run into Saki-san.
context: This is also the reason that I'll be perfectly fine.\Well, then...\Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san. response:	That was so unexpected.
context: Well, then...\Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected. response:	But I doubt I'll ever see her again.
context: Thank you very much for the coffee.\Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again. response:	What a lovely view. Shall we?
context: Oh.\If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we? response:	Now, then... I wonder where Steel Lady Nanase will appear next.
context: If you'd like, I'll gladly send you a wedding invitation whenever\Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next. response:	Nanase Karin.
context: Kuro-senpai and I get married.\That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin. response:	The idol whose real name was Nanase Haruko wasn't particularly famous.
context: That won't be necessary!\I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous. response:	She did grow a bit more famous because of how she died,
context: I never imagined I'd run into Saki-san.\That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died, response:	but most people didn't know about her prior to it.
context: That was so unexpected.\But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it. response:	She debuted in June when she was seventeen.
context: But I doubt I'll ever see her again.\What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen. response:	Those melons will be a hit!
context: What a lovely view. Shall we?\Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit! response:	It's a crime for them to go unnoticed!
context: Now, then... I wonder where Steel Lady Nanase will appear next.\Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed! response:	S-Sir! You can't just blurt that out...
context: Nanase Karin.\The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out... response:	You're blind if you think my chest is all I've got going for me.
context: The idol whose real name was Nanase Haruko wasn't particularly famous.\She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me. response:	She's so vivacious! I like her even more!
context: She did grow a bit more famous because of how she died,\but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more! response:	She was personally scouted by the president of a talent agency.
context: but most people didn't know about her prior to it.\She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency. response:	She wasn't very popular in the beginning, but a year after her debut...
context: She debuted in June when she was seventeen.\Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut... response:	I landed you a new job!
context: Those melons will be a hit!\It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job! response:	It's a main role in a late-night drama!
context: It's a crime for them to go unnoticed!\S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama! response:	What?
context: S-Sir! You can't just blurt that out...\You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama!\What? response:	Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment
context: You're blind if you think my chest is all I've got going for me.\She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment response:	Let's burn up!
context: She's so vivacious! I like her even more!\She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up! response:	Fiery Youth!
context: She was personally scouted by the president of a talent agency.\She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth! response:	The Girl Who Breathes Fire!
context: She wasn't very popular in the beginning, but a year after her debut...\I landed you a new job!\It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire! response:	This is basically another kind of crime deterrent, warning
context: I landed you a new job!\It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning response:	The tank on my back just shows what a pure, modest girl I am
context: It's a main role in a late-night drama!\What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am response:	I mean, I know I'm going to risk my life, it's a given
context: What?\Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given response:	You've been waiting for me, right?
context: Late-night Serial Drama Fiery Youth!hhhhhhhhhhhhhhhhhhhhhh The Girl Who Breathes Fire! Treatment\Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right? response:	Sorry
context: Let's burn up!\Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry response:	I sorta pulled the trigger, te-he!
context: Fiery Youth!\The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he! response:	I want to take both the scalding pain and the burning pleasure
context: The Girl Who Breathes Fire!\This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure response:	And share them with you!
context: This is basically another kind of crime deterrent, warning\The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you! response:	Please, grant me my wish, oil magnate
context: The tank on my back just shows what a pure, modest girl I am\I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate response:	I want to set your oil field ablaze
context: I mean, I know I'm going to risk my life, it's a given\You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze response:	Burn it to a crisp, until there's nothing left!
context: You've been waiting for me, right?\Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left! response:	Please tell me it's okay, oh great general
context: Sorry\I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general response:	Love can be naked, let's burn it (burn it) all of it (all of it)
context: I sorta pulled the trigger, te-he!\I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it) response:	Let's burn up with my flamethrower
context: I want to take both the scalding pain and the burning pleasure\And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower response:	After that, Nanase Karin got more offers to be on TV and radio,
context: And share them with you!\Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio, response:	and she was praised for her quick wit and skilled speech.
context: Please, grant me my wish, oil magnate\I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech. response:	She passed the entrance exam to a renowned national university in one try,
context: I want to set your oil field ablaze\Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try, response:	and that also made headlines.
context: Burn it to a crisp, until there's nothing left!\Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines. response:	If you just looked at her history, you could consider her life a success,
context: Please tell me it's okay, oh great general\Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success, response:	but she never amounted to more than an idol with a cult following.
context: Love can be naked, let's burn it (burn it) all of it (all of it)\Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following. response:	But her good luck brought misfortune, too,
context: Let's burn up with my flamethrower\After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too, response:	as some had a grudge against her.
context: After that, Nanase Karin got more offers to be on TV and radio,\and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her. response:	So what was the sequence of events that led to Nanase Karin's death
context: and she was praised for her quick wit and skilled speech.\She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death response:	and brought Steel Lady Nanase into this world?
context: She passed the entrance exam to a renowned national university in one try,\and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world? response:	Steel Lady Nanase Wiki
context: and that also made headlines.\If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki response:	Someone even made a site like this?
context: If you just looked at her history, you could consider her life a success,\but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this? response:	About Steel Lady Nanase
context: but she never amounted to more than an idol with a cult following.\But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase response:	About Nanase Karin
context: But her good luck brought misfortune, too,\as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin response:	Forum
context: as some had a grudge against her.\So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin\Forum response:	Relevant Blogs
context: So what was the sequence of events that led to Nanase Karin's death\and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin\Forum\Relevant Blogs response:	Links
context: and brought Steel Lady Nanase into this world?\Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin\Forum\Relevant Blogs\Links response:	Other Occult Forums
context: Steel Lady Nanase Wiki\Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin\Forum\Relevant Blogs\Links\Other Occult Forums response:	The Accident That Killed Her Father
context: Someone even made a site like this?\About Steel Lady Nanase\About Nanase Karin\Forum\Relevant Blogs\Links\Other Occult Forums\The Accident That Killed Her Father response:	Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu
context: About Steel Lady Nanase\About Nanase Karin\Forum\Relevant Blogs\Links\Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu response:	The Accident That Killed Her Father
context: About Nanase Karin\Forum\Relevant Blogs\Links\Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father response:	What?
context: Forum\Relevant Blogs\Links\Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What? response:	In June of the year she turned nineteen, when her idol career was on the rise,
context: Relevant Blogs\Links\Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise, response:	her father died.
context: Links\Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died. response:	It was ruled an unfortunate accident in which he fell down the steps to his apartment,
context: Other Occult Forums\The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment, response:	and nothing seemed suspicious at the time.
context: The Accident That Killed Her Father\Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time. response:	I'll continue to do my best for my late father, too.
context: Nanase Karin was suspected of killing her father Nanase Karin's father died in June when she tu\The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too. response:	But near the end of November that same year,
context: The Accident That Killed Her Father\What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too.\But near the end of November that same year, response:	suspicions suddenly arose about his death.
context: What?\In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too.\But near the end of November that same year,\suspicions suddenly arose about his death. response:	There were rumors that Nanase Karin resented her father because
context: In June of the year she turned nineteen, when her idol career was on the rise,\her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too.\But near the end of November that same year,\suspicions suddenly arose about his death.\There were rumors that Nanase Karin resented her father because response:	he quit work when she got famous,
context: her father died.\It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too.\But near the end of November that same year,\suspicions suddenly arose about his death.\There were rumors that Nanase Karin resented her father because\he quit work when she got famous, response:	and that she killed him and made it look like an accident.
context: It was ruled an unfortunate accident in which he fell down the steps to his apartment,\and nothing seemed suspicious at the time.\I'll continue to do my best for my late father, too.\But near the end of November that same year,\suspicions suddenly arose about his death.\There were rumors that Nanase Karin resented her father because\he quit work when she got famous,\and that she killed him and made it look like an accident. response:	There was also a large life insurance policy on him.
