context: Shu! response:	What the...
context: I have lots of questions for him.\Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything.\I'm sorry...\The target has been located. response:	Understood. We'll leave immediately.
context: Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything.\I'm sorry...\The target has been located.\Understood. We'll leave immediately. response:	It's an ambush! We're surrounded!
context: Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything.\I'm sorry...\The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded! response:	Stay here. I'll check what's going on.
context: I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything.\I'm sorry...\The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on. response:	Stop shooting!
context: I was wrong...\about everything.\I'm sorry...\The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting! response:	Stop! Stop shooting!
context: about everything.\I'm sorry...\The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting! response:	I did not think you were this foolish, Arisa.
context: I'm sorry...\The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa. response:	Grandfather.
context: The target has been located.\Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather. response:	Tsutsugami Gai is a man who considers nothing but his goal.
context: Understood. We'll leave immediately.\It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal. response:	No matter how much you serve him, you will see no reward.
context: It's an ambush! We're surrounded!\Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward. response:	You will stop there. We have an important duty.
context: Stay here. I'll check what's going on.\Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty. response:	Why are you chasing a boy who lost his power?
context: Stop shooting!\Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power? response:	There should be no use for him.
context: Stop! Stop shooting!\I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him. response:	You are wrong. Our priority is Yuzuriha Inori.
context: I did not think you were this foolish, Arisa.\Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori. response:	Either way, I cannot let you have your way anymore.
context: Grandfather.\Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore. response:	I shall clear the shame on my name with my hands!
context: Tsutsugami Gai is a man who considers nothing but his goal.\No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands! response:	Die, Arisa!
context: No matter how much you serve him, you will see no reward.\You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa! response:	I have...
context: You will stop there. We have an important duty.\Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa!\I have... response:	become soft.
context: Why are you chasing a boy who lost his power?\There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa!\I have...\become soft. response:	Grandfather...
context: There should be no use for him.\You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa!\I have...\become soft.\Grandfather... response:	Well done.
context: You are wrong. Our priority is Yuzuriha Inori.\Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa!\I have...\become soft.\Grandfather...\Well done. response:	I'm their target? But why...
context: Either way, I cannot let you have your way anymore.\I shall clear the shame on my name with my hands!\Die, Arisa!\I have...\become soft.\Grandfather...\Well done.\I'm their target? But why... response:	What do we have here?
context: I shall clear the shame on my name with my hands!\Die, Arisa!\I have...\become soft.\Grandfather...\Well done.\I'm their target? But why...\What do we have here? response:	It doesn't matter. Get her.
context: Die, Arisa!\I have...\become soft.\Grandfather...\Well done.\I'm their target? But why...\What do we have here?\It doesn't matter. Get her. response:	Inori...
context: I have...\become soft.\Grandfather...\Well done.\I'm their target? But why...\What do we have here?\It doesn't matter. Get her.\Inori... response:	Shu!
context: become soft.\Grandfather...\Well done.\I'm their target? But why...\What do we have here?\It doesn't matter. Get her.\Inori...\Shu! response:	Shu! Shu!
context: Grandfather...\Well done.\I'm their target? But why...\What do we have here?\It doesn't matter. Get her.\Inori...\Shu!\Shu! Shu! response:	What's wrong?
context: Well done.\I'm their target? But why...\What do we have here?\It doesn't matter. Get her.\Inori...\Shu!\Shu! Shu!\What's wrong? response:	Inori...
context: I'm their target? But why...\What do we have here?\It doesn't matter. Get her.\Inori...\Shu!\Shu! Shu!\What's wrong?\Inori... response:	Inori, stop!
context: What do we have here?\It doesn't matter. Get her.\Inori...\Shu!\Shu! Shu!\What's wrong?\Inori...\Inori, stop! response:	Inori...
context: It doesn't matter. Get her.\Inori...\Shu!\Shu! Shu!\What's wrong?\Inori...\Inori, stop!\Inori... response:	Yuzuriha Inori.
context: Inori...\Shu!\Shu! Shu!\What's wrong?\Inori...\Inori, stop!\Inori...\Yuzuriha Inori. response:	If Gai wants you, then I shall...
context: Shu!\Shu! Shu!\What's wrong?\Inori...\Inori, stop!\Inori...\Yuzuriha Inori.\If Gai wants you, then I shall... response:	Request Endlave dispatch!
context: Shu! Shu!\What's wrong?\Inori...\Inori, stop!\Inori...\Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch! response:	I can't keep this up...
context: What's wrong?\Inori...\Inori, stop!\Inori...\Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up... response:	At this rate, I'll end up killing...
context: Inori...\Inori, stop!\Inori...\Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing... response:	Yes.
context: Inori, stop!\Inori...\Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing...\Yes. response:	You'll definitely end up killing Shu.
context: Inori...\Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu. response:	Because you're a monster.
context: Yuzuriha Inori.\If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu.\Because you're a monster. response:	A monster?
context: If Gai wants you, then I shall...\Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu.\Because you're a monster.\A monster? response:	Your heart is a fake.
context: Request Endlave dispatch!\I can't keep this up...\At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu.\Because you're a monster.\A monster?\Your heart is a fake. response:	A monster has no heart.
context: I can't keep this up...\At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu.\Because you're a monster.\A monster?\Your heart is a fake.\A monster has no heart. response:	Come back to me.
context: At this rate, I'll end up killing...\Yes.\You'll definitely end up killing Shu.\Because you're a monster.\A monster?\Your heart is a fake.\A monster has no heart.\Come back to me. response:	Before you kill Shu. Okay?
context: Yes.\You'll definitely end up killing Shu.\Because you're a monster.\A monster?\Your heart is a fake.\A monster has no heart.\Come back to me.\Before you kill Shu. Okay? response:	I'm... a monster?
context: You'll definitely end up killing Shu.\Because you're a monster.\A monster?\Your heart is a fake.\A monster has no heart.\Come back to me.\Before you kill Shu. Okay?\I'm... a monster? response:	My heart...
context: Because you're a monster.\A monster?\Your heart is a fake.\A monster has no heart.\Come back to me.\Before you kill Shu. Okay?\I'm... a monster?\My heart... response:	is a fake?
context: A monster?\Your heart is a fake.\A monster has no heart.\Come back to me.\Before you kill Shu. Okay?\I'm... a monster?\My heart...\is a fake? response:	Inori!
context: Your heart is a fake.\A monster has no heart.\Come back to me.\Before you kill Shu. Okay?\I'm... a monster?\My heart...\is a fake?\Inori! response:	Well, I've wanted to ask you for a while...
context: A monster has no heart.\Come back to me.\Before you kill Shu. Okay?\I'm... a monster?\My heart...\is a fake?\Inori!\Well, I've wanted to ask you for a while... response:	What?
context: Come back to me.\Before you kill Shu. Okay?\I'm... a monster?\My heart...\is a fake?\Inori!\Well, I've wanted to ask you for a while...\What? response:	Um, well...
context: Before you kill Shu. Okay?\I'm... a monster?\My heart...\is a fake?\Inori!\Well, I've wanted to ask you for a while...\What?\Um, well... response:	Why is your Void...
context: I'm... a monster?\My heart...\is a fake?\Inori!\Well, I've wanted to ask you for a while...\What?\Um, well...\Why is your Void... response:	Ah, on second thought, never mind.
context: My heart...\is a fake?\Inori!\Well, I've wanted to ask you for a while...\What?\Um, well...\Why is your Void...\Ah, on second thought, never mind. response:	Why?
context: is a fake?\Inori!\Well, I've wanted to ask you for a while...\What?\Um, well...\Why is your Void...\Ah, on second thought, never mind.\Why? response:	It's just that it must have something to do with your soul...
context: Inori!\Well, I've wanted to ask you for a while...\What?\Um, well...\Why is your Void...\Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul... response:	But you are you.
context: Well, I've wanted to ask you for a while...\What?\Um, well...\Why is your Void...\Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul...\But you are you. response:	I am me.
context: What?\Um, well...\Why is your Void...\Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul...\But you are you.\I am me. response:	Blooming wildflower...
context: Um, well...\Why is your Void...\Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul...\But you are you.\I am me.\Blooming wildflower... response:	I beg you, please tell me,
context: Why is your Void...\Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul...\But you are you.\I am me.\Blooming wildflower...\I beg you, please tell me, response:	Inori...
context: Ah, on second thought, never mind.\Why?\It's just that it must have something to do with your soul...\But you are you.\I am me.\Blooming wildflower...\I beg you, please tell me,\Inori... response:	Why do people fight and hurt each other?
context: Why?\It's just that it must have something to do with your soul...\But you are you.\I am me.\Blooming wildflower...\I beg you, please tell me,\Inori...\Why do people fight and hurt each other? response:	Valiantly blooming flower...
context: It's just that it must have something to do with your soul...\But you are you.\I am me.\Blooming wildflower...\I beg you, please tell me,\Inori...\Why do people fight and hurt each other?\Valiantly blooming flower... response:	Huh? What's wrong with me?
context: But you are you.\I am me.\Blooming wildflower...\I beg you, please tell me,\Inori...\Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me? response:	Listen, Shu.
context: I am me.\Blooming wildflower...\I beg you, please tell me,\Inori...\Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu. response:	Don't hate yourself anymore.
context: Blooming wildflower...\I beg you, please tell me,\Inori...\Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore. response:	You don't have to blame yourself.
context: I beg you, please tell me,\Inori...\Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself. response:	Being with you, I've learned to feel many things?
context: Inori...\Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things? response:	It's all thanks to you.
context: Why do people fight and hurt each other?\Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you. response:	Even if everyone says you're a liar...
context: Valiantly blooming flower...\Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar... response:	Even if you hate yourself...
context: Huh? What's wrong with me?\Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself... response:	I'll be by your side.
context: Listen, Shu.\Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side. response:	Inori...
context: Don't hate yourself anymore.\You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side.\Inori... response:	Let's go.
context: You don't have to blame yourself.\Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side.\Inori...\Let's go. response:	They're all looking for me.
context: Being with you, I've learned to feel many things?\It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side.\Inori...\Let's go.\They're all looking for me. response:	So I'll be the decoy.
context: It's all thanks to you.\Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side.\Inori...\Let's go.\They're all looking for me.\So I'll be the decoy. response:	Use that time...
context: Even if everyone says you're a liar...\Even if you hate yourself...\I'll be by your side.\Inori...\Let's go.\They're all looking for me.\So I'll be the decoy.\Use that time... response:	You can't do that!
context: Even if you hate yourself...\I'll be by your side.\Inori...\Let's go.\They're all looking for me.\So I'll be the decoy.\Use that time...\You can't do that! response:	If it's worth sacrificing yourself, then I should...
context: I'll be by your side.\Inori...\Let's go.\They're all looking for me.\So I'll be the decoy.\Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should... response:	Inori...
context: Inori...\Let's go.\They're all looking for me.\So I'll be the decoy.\Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should...\Inori... response:	Sweet dreams, Shu.
context: Let's go.\They're all looking for me.\So I'll be the decoy.\Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu. response:	A monster...
context: They're all looking for me.\So I'll be the decoy.\Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu.\A monster... response:	I'm fine with being a monster.
context: So I'll be the decoy.\Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu.\A monster...\I'm fine with being a monster. response:	I'm fine with having fake emotions.
context: Use that time...\You can't do that!\If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu.\A monster...\I'm fine with being a monster.\I'm fine with having fake emotions. response:	But I'll protect Shu.
context: You can't do that!\If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu.\A monster...\I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu. response:	Because I am me!
context: If it's worth sacrificing yourself, then I should...\Inori...\Sweet dreams, Shu.\A monster...\I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me! response:	Even if I'm just a fake...
context: Inori...\Sweet dreams, Shu.\A monster...\I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me!\Even if I'm just a fake... response:	To me, I'm the only...
context: Sweet dreams, Shu.\A monster...\I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me!\Even if I'm just a fake...\To me, I'm the only... response:	Look at yourself.
context: A monster...\I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me!\Even if I'm just a fake...\To me, I'm the only...\Look at yourself. response:	You've always been on our side.
context: I'm fine with being a monster.\I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me!\Even if I'm just a fake...\To me, I'm the only...\Look at yourself.\You've always been on our side. response:	Why would you tag along with a human?
context: I'm fine with having fake emotions.\But I'll protect Shu.\Because I am me!\Even if I'm just a fake...\To me, I'm the only...\Look at yourself.\You've always been on our side.\Why would you tag along with a human? response:	Monster.
context: But I'll protect Shu.\Because I am me!\Even if I'm just a fake...\To me, I'm the only...\Look at yourself.\You've always been on our side.\Why would you tag along with a human?\Monster. response:	Inori?
