context: Surrounded by Zentradi forces, response:	the Macross launches a desperate Daedalus Attack on Britai's ship
context: Sir!\I think it would be all right to accept them.\What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?! response:	Hold on a minute.
context: I think it would be all right to accept them.\What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute. response:	First Lieutenant Ichijo, may I ask why you changed your mind?
context: What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind? response:	Yes, sir. As I reported before, these aliens have known only war.
context: That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war. response:	I think that when they came aboard the Macross and experienced our culture
context: Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture response:	and how we live our lives, it must have been a huge shock for them.
context: I changed my mind.\Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them. response:	Yeah, we were really surprised.
context: Captain! Why should we listen to the opinion of someone\who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised. response:	We were amazed by Minmay's singing, and that men and women lived together.
context: who can't even explain his reasoning?!\Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together. response:	And that some of you even oppose war!
context: Hold on a minute.\First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war! response:	As we got used to it, we started to enjoy living here more and more.
context: First Lieutenant Ichijo, may I ask why you changed your mind?\Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more. response:	If what they said is true and they really are in awe of how we live aboard the Macross...
context: Yes, sir. As I reported before, these aliens have known only war.\I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross... response:	I don't quite know how to put it, but maybe we could forge a friendship with the aliens.
context: I think that when they came aboard the Macross and experienced our culture\and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens. response:	Well, that's an overly optimistic view!
context: and how we live our lives, it must have been a huge shock for them.\Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view! response:	You're saying we should live with these aliens?!
context: Yeah, we were really surprised.\We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?! response:	They may look like us, but don't go saying that we're the same!
context: We were amazed by Minmay's singing, and that men and women lived together.\And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same! response:	But being aboard the Macross,
context: And that some of you even oppose war!\As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross, response:	they've seen for the first time a way of life that isn't just about war!
context: As we got used to it, we started to enjoy living here more and more.\If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war! response:	How can we throw them out now?!
context: If what they said is true and they really are in awe of how we live aboard the Macross...\I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?! response:	The emotional argument this time, is it?
context: I don't quite know how to put it, but maybe we could forge a friendship with the aliens.\Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it? response:	Captain?
context: Well, that's an overly optimistic view!\You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it?\Captain? response:	What is it?
context: You're saying we should live with these aliens?!\They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it?\Captain?\What is it? response:	As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;
context: They may look like us, but don't go saying that we're the same!\But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it?\Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations; response:	they know nothing besides war.
context: But being aboard the Macross,\they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it?\Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war. response:	They fight because it's all they know how to do.
context: they've seen for the first time a way of life that isn't just about war!\How can we throw them out now?!\The emotional argument this time, is it?\Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do. response:	For them, the only way to end a war is to annihilate their enemy.
context: How can we throw them out now?!\The emotional argument this time, is it?\Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy. response:	Which is why we must reject these defectors and take strong...
context: The emotional argument this time, is it?\Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong... response:	No! It's why we have to teach them about things other than war!
context: Captain?\What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war! response:	Not everything is about victory or defeat.
context: What is it?\As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat. response:	If we make them see that there's another way to live their lives,
context: As 1st Lt. Ichijo said, the Zentradi forces are comprised solely of military organizations;\they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives, response:	I think we'll have opened up the avenue to ending this war!
context: they know nothing besides war.\They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war! response:	I thank you for a moving speech, but may I remind you that these are aliens?
context: They fight because it's all they know how to do.\For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens? response:	How do you plan on integrating them into our civilian population?!
context: For them, the only way to end a war is to annihilate their enemy.\Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?! response:	Excuse me.
context: Which is why we must reject these defectors and take strong...\No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me. response:	Hey! We're in the middle of an important meeting!
context: No! It's why we have to teach them about things other than war!\Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting! response:	It's all right. I asked him here.
context: Not everything is about victory or defeat.\If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here. response:	Well? Do you have the results?
context: If we make them see that there's another way to live their lives,\I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results? response:	Yes, sir. Here they are.
context: I think we'll have opened up the avenue to ending this war!\I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are. response:	Captain? What is that?
context: I thank you for a moving speech, but may I remind you that these are aliens?\How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that? response:	We had their blood analyzed.
context: How do you plan on integrating them into our civilian population?!\Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed. response:	What?!
context: Excuse me.\Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed.\What?! response:	Their blood types and genetic makeup are the same as ours!
context: Hey! We're in the middle of an important meeting!\It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours! response:	We thought that would be the case, but to actually be proven right...
context: It's all right. I asked him here.\Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right... response:	So we really could live together, couldn't we?
context: Well? Do you have the results?\Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we? response:	Because we're Protoculture, eh?
context: Yes, sir. Here they are.\Captain? What is that?\We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh? response:	Well, we no longer have a reason to treat them as aliens.
context: Captain? What is that?\We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens. response:	They must be regarded as normal defectors.
context: We had their blood analyzed.\What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors. response:	Very well, we will accept them.
context: What?!\Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them. response:	All right!
context: Their blood types and genetic makeup are the same as ours!\We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them.\All right! response:	Can a decision this important really be made by the Macross alone?!
context: We thought that would be the case, but to actually be proven right...\So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?! response:	We should ask High Command for orders!
context: So we really could live together, couldn't we?\Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders! response:	You're out of line, both of you.
context: Because we're Protoculture, eh?\Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you. response:	I'm not feeling well, sir, so if you'll excuse me.
context: Well, we no longer have a reason to treat them as aliens.\They must be regarded as normal defectors.\Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me. response:	Maistroff...
context: They must be regarded as normal defectors.\Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff... response:	Can't you understand?
context: Very well, we will accept them.\All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand? response:	At this point, we must accept these bizarre circumstances.
context: All right!\Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances. response:	I'm glad I came to see this. It's terrible.
context: Can a decision this important really be made by the Macross alone?!\We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible. response:	It doesn't look this bad on the monitors.
context: We should ask High Command for orders!\You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors. response:	It's not quite so damaged over here, huh?
context: You're out of line, both of you.\I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh? response:	I always seem to end up coming here.
context: I'm not feeling well, sir, so if you'll excuse me.\Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here. response:	Uncle! Auntie!
context: Maistroff...\Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie! response:	Oh!
context: Can't you understand?\At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie!\Oh! response:	Oh, my!
context: At this point, we must accept these bizarre circumstances.\I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie!\Oh!\Oh, my! response:	Hey, Hikaru!
context: I'm glad I came to see this. It's terrible.\It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie!\Oh!\Oh, my!\Hey, Hikaru! response:	Where are you going?
context: It doesn't look this bad on the monitors.\It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie!\Oh!\Oh, my!\Hey, Hikaru!\Where are you going? response:	Where? Well, Kaifun and Minmay haven't come back yet, so...
context: It's not quite so damaged over here, huh?\I always seem to end up coming here.\Uncle! Auntie!\Oh!\Oh, my!\Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so... response:	They're at the general hospital.
context: I always seem to end up coming here.\Uncle! Auntie!\Oh!\Oh, my!\Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital. response:	The hospital?!
context: Uncle! Auntie!\Oh!\Oh, my!\Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?! response:	They're both hurt?!
context: Oh!\Oh, my!\Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?!\They're both hurt?! response:	No, Kaifun was the only one hurt.
context: Oh, my!\Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt. response:	But it's not serious. Minmay just wanted to stay with him.
context: Hey, Hikaru!\Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him. response:	Dear! We shouldn't be wasting time here!
context: Where are you going?\Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here! response:	We have to get to the hospital!
context: Where? Well, Kaifun and Minmay haven't come back yet, so...\They're at the general hospital.\The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital! response:	Yeah, but we can't just leave the restaurant.
context: They're at the general hospital.\The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant. response:	It's all right.
context: The hospital?!\They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right. response:	We'll watch it while you're gone.
context: They're both hurt?!\No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone. response:	Right.
context: No, Kaifun was the only one hurt.\But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone.\Right. response:	Really? You'd do that?!
context: But it's not serious. Minmay just wanted to stay with him.\Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone.\Right.\Really? You'd do that?! response:	Oh! Thank you so much!
context: Dear! We shouldn't be wasting time here!\We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone.\Right.\Really? You'd do that?!\Oh! Thank you so much! response:	C'mon!
context: We have to get to the hospital!\Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone.\Right.\Really? You'd do that?!\Oh! Thank you so much!\C'mon! response:	Right!
context: Yeah, but we can't just leave the restaurant.\It's all right.\We'll watch it while you're gone.\Right.\Really? You'd do that?!\Oh! Thank you so much!\C'mon!\Right! response:	I think that should be enough.
context: It's all right.\We'll watch it while you're gone.\Right.\Really? You'd do that?!\Oh! Thank you so much!\C'mon!\Right!\I think that should be enough. response:	Yeah...
context: We'll watch it while you're gone.\Right.\Really? You'd do that?!\Oh! Thank you so much!\C'mon!\Right!\I think that should be enough.\Yeah... response:	Hang on, I'll make us some tea.
context: Right.\Really? You'd do that?!\Oh! Thank you so much!\C'mon!\Right!\I think that should be enough.\Yeah...\Hang on, I'll make us some tea. response:	Minmay...
context: Really? You'd do that?!\Oh! Thank you so much!\C'mon!\Right!\I think that should be enough.\Yeah...\Hang on, I'll make us some tea.\Minmay... response:	Here we go.
context: Oh! Thank you so much!\C'mon!\Right!\I think that should be enough.\Yeah...\Hang on, I'll make us some tea.\Minmay...\Here we go. response:	Go ahead.
context: C'mon!\Right!\I think that should be enough.\Yeah...\Hang on, I'll make us some tea.\Minmay...\Here we go.\Go ahead. response:	Ah, thanks.
context: Right!\I think that should be enough.\Yeah...\Hang on, I'll make us some tea.\Minmay...\Here we go.\Go ahead.\Ah, thanks. response:	It's funny, isn't it?
context: I think that should be enough.\Yeah...\Hang on, I'll make us some tea.\Minmay...\Here we go.\Go ahead.\Ah, thanks.\It's funny, isn't it? response:	Ultimately, it's the civilians, the ones who have nothing to do with this war...
context: Yeah...\Hang on, I'll make us some tea.\Minmay...\Here we go.\Go ahead.\Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war... response:	the ones who looked so powerless in the face of war,
context: Hang on, I'll make us some tea.\Minmay...\Here we go.\Go ahead.\Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war, response:	who could be the key to ending the conflict.
context: Minmay...\Here we go.\Go ahead.\Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict. response:	Anyway, don't you want to go to the hospital, too?
context: Here we go.\Go ahead.\Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too? response:	Just admit it. You're worried about Kaifun, right?
context: Go ahead.\Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right? response:	It's okay. I really was concerned about him,
context: Ah, thanks.\It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him, response:	but in all this uproar over the defectors, I completely forgot about him.
context: It's funny, isn't it?\Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him. response:	In the end,
context: Ultimately, it's the civilians, the ones who have nothing to do with this war...\the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end, response:	this is all because he looks like someone I was once in love with.
context: the ones who looked so powerless in the face of war,\who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with. response:	But he hates me because I'm a soldier.
context: who could be the key to ending the conflict.\Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier. response:	I even started to doubt the military's way of doing things.
context: Anyway, don't you want to go to the hospital, too?\Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things. response:	Finding someone so opposed to war was such a shock.
context: Just admit it. You're worried about Kaifun, right?\It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock. response:	It was probably like what those defectors felt when they found out about our peaceful lifestyle.
context: It's okay. I really was concerned about him,\but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle. response:	When I realized that their arrival may have given us a way to end this war, I suddenly...
context: but in all this uproar over the defectors, I completely forgot about him.\In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly... response:	just lost interest in him.
context: In the end,\this is all because he looks like someone I was once in love with.\But he hates me because I'm a soldier.\I even started to doubt the military's way of doing things.\Finding someone so opposed to war was such a shock.\It was probably like what those defectors felt when they found out about our peaceful lifestyle.\When I realized that their arrival may have given us a way to end this war, I suddenly...\just lost interest in him. response:	So that's how it goes.
