context: Now, I'm on my way to visit a friend of my childhood response:	No., Aoyama-Takeru
context: You worry about me. Do you? do not worry\Now. Not currently\What is the matter?\Given its current condition, it is unaware of even basic defenses\Shock directly on his heart will cause\Likely to kill him. On\Do Stqatlh seriously?\Just three minutes? response:	what?
context: Now. Not currently\What is the matter?\Given its current condition, it is unaware of even basic defenses\Shock directly on his heart will cause\Likely to kill him. On\Do Stqatlh seriously?\Just three minutes?\what? response:	-Alsmoat
context: What is the matter?\Given its current condition, it is unaware of even basic defenses\Shock directly on his heart will cause\Likely to kill him. On\Do Stqatlh seriously?\Just three minutes?\what?\-Alsmoat response:	Kamodu: it is a powerful sword practiced by the Japanese gods
context: Given its current condition, it is unaware of even basic defenses\Shock directly on his heart will cause\Likely to kill him. On\Do Stqatlh seriously?\Just three minutes?\what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods response:	McCain detailed: Kamodu
context: Shock directly on his heart will cause\Likely to kill him. On\Do Stqatlh seriously?\Just three minutes?\what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu response:	What was this?
context: Likely to kill him. On\Do Stqatlh seriously?\Just three minutes?\what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this? response:	You are repulsed so racist?
context: Do Stqatlh seriously?\Just three minutes?\what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this?\You are repulsed so racist? response:	Who are you?
context: Just three minutes?\what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this?\You are repulsed so racist?\Who are you? response:	McCain.anh Original
context: what?\-Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this?\You are repulsed so racist?\Who are you?\McCain.anh Original response:	who are you?...
context: -Alsmoat\Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this?\You are repulsed so racist?\Who are you?\McCain.anh Original\who are you?... response:	Are you fine?
context: Kamodu: it is a powerful sword practiced by the Japanese gods\McCain detailed: Kamodu\What was this?\You are repulsed so racist?\Who are you?\McCain.anh Original\who are you?...\Are you fine? response:	Excuse me, Listen, can I ask you something?
context: McCain detailed: Kamodu\What was this?\You are repulsed so racist?\Who are you?\McCain.anh Original\who are you?...\Are you fine?\Excuse me, Listen, can I ask you something? response:	how did you know my name?
context: What was this?\You are repulsed so racist?\Who are you?\McCain.anh Original\who are you?...\Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name? response:	M-Who are you?
context: You are repulsed so racist?\Who are you?\McCain.anh Original\who are you?...\Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you? response:	How do you know Takeru?
context: Who are you?\McCain.anh Original\who are you?...\Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you?\How do you know Takeru? response:	Come. I have to protect Takeru-sama, starting today
context: McCain.anh Original\who are you?...\Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today response:	Support?
context: who are you?...\Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support? response:	I have revealed. I think favorite thing I have here
context: Are you fine?\Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here response:	If, he has a fiancee, huh?
context: Excuse me, Listen, can I ask you something?\how did you know my name?\M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh? response:	No. You can judge a book by its cover at all
context: how did you know my name?\M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all response:	No. It seems that he knows
context: M-Who are you?\How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows response:	What is the word?
context: How do you know Takeru?\Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows\What is the word? response:	What do you mean?
context: Come. I have to protect Takeru-sama, starting today\Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows\What is the word?\What do you mean? response:	Is there any speeches what, Amaya?
context: Support?\I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows\What is the word?\What do you mean?\Is there any speeches what, Amaya? response:	I will go, okay?
context: I have revealed. I think favorite thing I have here\If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows\What is the word?\What do you mean?\Is there any speeches what, Amaya?\I will go, okay? response:	The room... No. 7 will be very spacious for one person
context: If, he has a fiancee, huh?\No. You can judge a book by its cover at all\No. It seems that he knows\What is the word?\What do you mean?\Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person response:	What's up, Amaya?
context: No. You can judge a book by its cover at all\No. It seems that he knows\What is the word?\What do you mean?\Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya? response:	You Do Orbakk my presence here?
context: No. It seems that he knows\What is the word?\What do you mean?\Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here? response:	Different circumstances]? like what? ]
context: What is the word?\What do you mean?\Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ] response:	This happened. I have no scientific
context: What do you mean?\Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific response:	Nations... Haruo-ni?
context: Is there any speeches what, Amaya?\I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni? response:	Harrow-nee?
context: I will go, okay?\The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee? response:	Oh really?
context: The room... No. 7 will be very spacious for one person\What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee?\Oh really? response:	No. The mind, but we have only three beds
context: What's up, Amaya?\You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee?\Oh really?\No. The mind, but we have only three beds response:	No. If a good slept in the upper floor
context: You Do Orbakk my presence here?\Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee?\Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor response:	Oh yes, I mentioned earlier that your childhood friend, is not it?
context: Different circumstances]? like what? ]\This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee?\Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it? response:	What-What about this?
context: This happened. I have no scientific\Nations... Haruo-ni?\Harrow-nee?\Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this? response:	We trained in the same. We have dojo
context: Nations... Haruo-ni?\Harrow-nee?\Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo response:	I reject this. I also
context: Harrow-nee?\Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo\I reject this. I also response:	Hemegama-san?
context: Oh really?\No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo\I reject this. I also\Hemegama-san? response:	-Taki-Cha
context: No. The mind, but we have only three beds\No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo\I reject this. I also\Hemegama-san?\-Taki-Cha response:	Day of the divine contract
context: No. If a good slept in the upper floor\Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo\I reject this. I also\Hemegama-san?\-Taki-Cha\Day of the divine contract response:	sunao ni itai no yo
context: Oh yes, I mentioned earlier that your childhood friend, is not it?\What-What about this?\We trained in the same. We have dojo\I reject this. I also\Hemegama-san?\-Taki-Cha\Day of the divine contract\sunao ni itai no yo response:	I want to tell you what I feel
context: What-What about this?\We trained in the same. We have dojo\I reject this. I also\Hemegama-san?\-Taki-Cha\Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel response:	sukiyotte itai no yo
context: We trained in the same. We have dojo\I reject this. I also\Hemegama-san?\-Taki-Cha\Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo response:	[I want to tell [I love you
context: I reject this. I also\Hemegama-san?\-Taki-Cha\Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you response:	One
context: Hemegama-san?\-Taki-Cha\Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One response:	the unit
context: -Taki-Cha\Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit response:	One Two
context: Day of the divine contract\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two response:	One, two
context: sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two response:	One Two
context: I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two response:	One, two
context: sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two response:	One
context: [I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two\One response:	the unit
context: One\the unit\One Two\One, two\One Two\One, two\One\the unit response:	One Two
context: the unit\One Two\One, two\One Two\One, two\One\the unit\One Two response:	Vahdasnan
context: One Two\One, two\One Two\One, two\One\the unit\One Two\Vahdasnan response:	One Two Three
context: One, two\One Two\One, two\One\the unit\One Two\Vahdasnan\One Two Three response:	kakushitetatte ne mawari ni ha kitto bareteru
context: One Two\One, two\One\the unit\One Two\Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru response:	I try to hide it, but I'm sure that everyone knows this already
context: One, two\One\the unit\One Two\Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already response:	kitto
context: One\the unit\One Two\Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto response:	Sure
context: the unit\One Two\Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto\Sure response:	demo chikasugite mo ne kimochi nante ienai
context: One Two\Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto\Sure\demo chikasugite mo ne kimochi nante ienai response:	Although we are very close relatives, I can not tell you what I feel
context: Vahdasnan\One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto\Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel response:	nante
context: One Two Three\kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto\Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante response:	se no takasa itsu kara watashi yori chotto takakute
context: kakushitetatte ne mawari ni ha kitto bareteru\I try to hide it, but I'm sure that everyone knows this already\kitto\Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute response:	I've matured and become a little longer to me before I know it
context: I try to hide it, but I'm sure that everyone knows this already\kitto\Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it response:	chotto
context: kitto\Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto response:	Slightly
context: Sure\demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto\Slightly response:	nanoni kodomo mitai na kao wo shite waraundane
context: demo chikasugite mo ne kimochi nante ienai\Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane response:	However, you still have those childish smile
context: Although we are very close relatives, I can not tell you what I feel\nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile response:	shite
context: nante\se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite response:	Childish
context: se no takasa itsu kara watashi yori chotto takakute\I've matured and become a little longer to me before I know it\chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite\Childish response:	me wo michau to yowai no
context: I've matured and become a little longer to me before I know it\chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite\Childish\me wo michau to yowai no response:	I feel weak when I look into your eyes
context: chotto\Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite\Childish\me wo michau to yowai no\I feel weak when I look into your eyes response:	kizutte yo
context: Slightly\nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite\Childish\me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo response:	Please, notice me
context: nanoni kodomo mitai na kao wo shite waraundane\However, you still have those childish smile\shite\Childish\me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo\Please, notice me response:	yappari kizukanaide my baby
context: However, you still have those childish smile\shite\Childish\me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo\Please, notice me\yappari kizukanaide my baby response:	You do not see me this way after all, oh baby
context: shite\Childish\me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo\Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby response:	bi-bi-bi-bikkuri masuka ne
context: Childish\me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo\Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne response:	Are you surprised?
context: me wo michau to yowai no\I feel weak when I look into your eyes\kizutte yo\Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised? response:	suki ni naru nante
context: I feel weak when I look into your eyes\kizutte yo\Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante response:	I fell in love?
context: kizutte yo\Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante\I fell in love? response:	za-za-za-zaiza to nattara
context: Please, notice me\yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara response:	mamoru kedo kimi no haato madowasu kehai ga shitara
context: yappari kizukanaide my baby\You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara response:	I will defend you, but your heart sends me mixed signals
context: You do not see me this way after all, oh baby\bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals response:	mo ippo baby baby my day suki to tsugetai
context: bi-bi-bi-bikkuri masuka ne\Are you surprised?\suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai response:	Another step will say that I love you
context: Are you surprised?\suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you response:	Sure
context: suki ni naru nante\I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure response:	Sure
context: I fell in love?\za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure\Sure response:	meki
context: za-za-za-zaiza to nattara\mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure\Sure\meki response:	unfailing
context: mamoru kedo kimi no haato madowasu kehai ga shitara\I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure\Sure\meki\unfailing response:	meki
context: I will defend you, but your heart sends me mixed signals\mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure\Sure\meki\unfailing\meki response:	unfailing
context: mo ippo baby baby my day suki to tsugetai\Another step will say that I love you\Sure\Sure\meki\unfailing\meki\unfailing response:	sukaato ni koi ni juudan kakushiteru
context: Another step will say that I love you\Sure\Sure\meki\unfailing\meki\unfailing\sukaato ni koi ni juudan kakushiteru response:	sunao ni itai no yo
context: Sure\Sure\meki\unfailing\meki\unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo response:	I want to tell you what I feel
context: Sure\meki\unfailing\meki\unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel response:	sukiyotte itai no yo
context: meki\unfailing\meki\unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo response:	[I want to tell [I love you
context: unfailing\meki\unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you response:	One
context: meki\unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One response:	the unit
context: unfailing\sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit response:	One Two
context: sukaato ni koi ni juudan kakushiteru\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two response:	One, two
context: sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two response:	One Two
context: I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two response:	One, two
context: sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two response:	One
context: [I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two\One response:	the unit
context: One\the unit\One Two\One, two\One Two\One, two\One\the unit response:	One Two
context: the unit\One Two\One, two\One Two\One, two\One\the unit\One Two response:	One, two
context: One Two\One, two\One Two\One, two\One\the unit\One Two\One, two response:	One Two Three
context: One, two\One Two\One, two\One\the unit\One Two\One, two\One Two Three response:	sunao ni itai no yo
context: One Two\One, two\One\the unit\One Two\One, two\One Two Three\sunao ni itai no yo response:	I want to tell you what I feel
context: One, two\One\the unit\One Two\One, two\One Two Three\sunao ni itai no yo\I want to tell you what I feel response:	sukiyotte itai no yo
context: One\the unit\One Two\One, two\One Two Three\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo response:	[I want to tell [I love you
context: the unit\One Two\One, two\One Two Three\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you response:	One
context: One Two\One, two\One Two Three\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One response:	the unit
context: One, two\One Two Three\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit response:	One Two
context: One Two Three\sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two response:	One, two
context: sunao ni itai no yo\I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two response:	One Two
context: I want to tell you what I feel\sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two response:	One, two
context: sukiyotte itai no yo\[I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two response:	One
context: [I want to tell [I love you\One\the unit\One Two\One, two\One Two\One, two\One response:	the unit
context: One\the unit\One Two\One, two\One Two\One, two\One\the unit response:	One Two
context: the unit\One Two\One, two\One Two\One, two\One\the unit\One Two response:	One, two
context: One Two\One, two\One Two\One, two\One\the unit\One Two\One, two response:	One Two Three
context: One, two\One Two\One, two\One\the unit\One Two\One, two\One Two Three response:	Became beautiful. We have, Haruo-ni
context: One Two\One, two\One\the unit\One Two\One, two\One Two Three\Became beautiful. We have, Haruo-ni response:	Preview of Hemegama
context: One, two\One\the unit\One Two\One, two\One Two Three\Became beautiful. We have, Haruo-ni\Preview of Hemegama response:	If I can help in this, the eyes, the boys improper that invaded our Academy
context: One\the unit\One Two\One, two\One Two Three\Became beautiful. We have, Haruo-ni\Preview of Hemegama\If I can help in this, the eyes, the boys improper that invaded our Academy response:	No. They should gaze to the places they want
context: the unit\One Two\One, two\One Two Three\Became beautiful. We have, Haruo-ni\Preview of Hemegama\If I can help in this, the eyes, the boys improper that invaded our Academy\No. They should gaze to the places they want response:	Girls Mzhlat, as you know
