context: Komachi... response:	What?
context: Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club! response:	Yay!
context: What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay! response:	Look, not that I care,
context: If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care, response:	but if Yukinoshita and Yuigahama don't do it, who's gonna be president?
context: I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president? response:	Uh...
context: Ta-da! I got some people to help!\Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh... response:	You know, you're...
context: Why am I doing this?\So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're... response:	Um... Why can't we let them be elected, exactly?
context: So this is...\Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're...\Um... Why can't we let them be elected, exactly? response:	Indeed. The very idea of battling them is wrong in itself.
context: Operation: Stop Yukino-san and Yui-san from Leaving the Club!\Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself. response:	Yeah, it is, but...
context: Yay!\Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but... response:	Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.
context: Look, not that I care,\but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club. response:	Honestly, I couldn't care less about any election.
context: but if Yukinoshita and Yuigahama don't do it, who's gonna be president?\Uh...\You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election. response:	Y-Yeah...
context: Uh...\You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah... response:	But then Isshiki would...
context: You know, you're...\Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would... response:	Is this Isshiki-san person important to you?
context: Um... Why can't we let them be elected, exactly?\Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you? response:	No, not at all.
context: Indeed. The very idea of battling them is wrong in itself.\Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all. response:	Then why is there a problem?
context: Yeah, it is, but...\Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem? response:	Well, I mean, a request is a request...
context: Onii-chan, I just want Yukino-san and Yui-san to stay in the Service Club.\Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem?\Well, I mean, a request is a request... response:	Which is more important, your work or me?
context: Honestly, I couldn't care less about any election.\Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me? response:	You, of course.
context: Y-Yeah...\But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course. response:	I have no intention of working.
context: But then Isshiki would...\Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course.\I have no intention of working. response:	Process of elimination?
context: Is this Isshiki-san person important to you?\No, not at all.\Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course.\I have no intention of working.\Process of elimination? response:	I can't really be happy about that, but...
context: No, not at all.\Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course.\I have no intention of working.\Process of elimination?\I can't really be happy about that, but... response:	Okay, then.
context: Then why is there a problem?\Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course.\I have no intention of working.\Process of elimination?\I can't really be happy about that, but...\Okay, then. response:	What are you gonna do?
context: Well, I mean, a request is a request...\Which is more important, your work or me?\You, of course.\I have no intention of working.\Process of elimination?\I can't really be happy about that, but...\Okay, then.\What are you gonna do? response:	Good question...
context: Which is more important, your work or me?\You, of course.\I have no intention of working.\Process of elimination?\I can't really be happy about that, but...\Okay, then.\What are you gonna do?\Good question... response:	I need to assign top priority
context: You, of course.\I have no intention of working.\Process of elimination?\I can't really be happy about that, but...\Okay, then.\What are you gonna do?\Good question...\I need to assign top priority response:	to Komachi's request of keeping Yukinoshita and Yuigahama in the club.
context: I have no intention of working.\Process of elimination?\I can't really be happy about that, but...\Okay, then.\What are you gonna do?\Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club. response:	But it's going to be tough to back any other candidates,
context: Process of elimination?\I can't really be happy about that, but...\Okay, then.\What are you gonna do?\Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates, response:	so the only card I have left to play is...
context: I can't really be happy about that, but...\Okay, then.\What are you gonna do?\Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is... response:	I guess all I can do is negotiate with Isshiki.
context: Okay, then.\What are you gonna do?\Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki. response:	But she's a girl, right?
context: What are you gonna do?\Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right? response:	Can you talk to a girl?
context: Good question...\I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl? response:	If Isshiki Iroha is putting on that character as an act,
context: I need to assign top priority\to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act, response:	that's actually ideal for negotiations.
context: to Komachi's request of keeping Yukinoshita and Yuigahama in the club.\But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations. response:	In short, Isshiki wants to protect her own self-branded image.
context: But it's going to be tough to back any other candidates,\so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image. response:	That's exactly why she didn't want a high-risk, low-return vote of confidence.
context: so the only card I have left to play is...\I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence. response:	Which means...
context: I guess all I can do is negotiate with Isshiki.\But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means... response:	I've been taking the wrong approach from the start.
context: But she's a girl, right?\Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start. response:	Kawasaki.
context: Can you talk to a girl?\If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start.\Kawasaki. response:	Give me the names of some people you think might make a
context: If Isshiki Iroha is putting on that character as an act,\that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a response:	good student council president.
context: that's actually ideal for negotiations.\In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a\good student council president. response:	Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe
context: In short, Isshiki wants to protect her own self-branded image.\That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe response:	And... you, I guess?
context: That's exactly why she didn't want a high-risk, low-return vote of confidence.\Which means...\I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess? response:	Ha, very funny.
context: Which means...\I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny. response:	But you're not gonna find thirty people to back me.
context: I've been taking the wrong approach from the start.\Kawasaki.\Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me. response:	I know that. I just thought I'd say it.
context: Kawasaki.\Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it. response:	Onii-chan...
context: Give me the names of some people you think might make a\good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan... response:	Make sure you talk to Yukino-san and Yui-san.
context: good student council president.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san. response:	Promise.
context: Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise. response:	Sure, but it won't do any good if it's not convincing.
context: And... you, I guess?\Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing. response:	I need to prepare first.
context: Ha, very funny.\But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first. response:	You seem so logical, but you always blow things off along the way.
context: But you're not gonna find thirty people to back me.\I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way. response:	It worries me.
context: I know that. I just thought I'd say it.\Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me. response:	It'll be fine.
context: Onii-chan...\Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine. response:	I've been given a reason, established the problem, and obtained the means.
context: Make sure you talk to Yukino-san and Yui-san.\Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means. response:	Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe
context: Promise.\Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe response:	Now I just have to carry it out.
context: Sure, but it won't do any good if it's not convincing.\I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out. response:	Hayama-kun Support Account
context: I need to prepare first.\You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account response:	Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President
context: You seem so logical, but you always blow things off along the way.\It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President response:	Oh, I think we should have LCD graphics tablets in the art room!
context: It worries me.\It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room! response:	Yukinoshita Yukino Support Account
context: It'll be fine.\I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account response:	Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!
context: I've been given a reason, established the problem, and obtained the means.\Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer! response:	LCD?
context: Yukinoshita Yuigahama Hayama Ebina Miura Sagami Tobe\Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD? response:	A third of the entire student body, huh...
context: Now I just have to carry it out.\Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh... response:	It is I.
context: Hayama-kun Support Account\Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh...\It is I. response:	We've got enough. Let's move to the next phase.
context: Hayama-kun Support Account Hayama Hayato-kun for President! Not much time left until the student council election! Hayama Hayato for President\Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase. response:	Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!
context: Oh, I think we should have LCD graphics tablets in the art room!\Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support! response:	I can't say I wholly commend this method.
context: Yukinoshita Yukino Support Account\Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method. response:	It's dangerous.
context: Yukinoshita Yukino Support Account Not much time left until the student council election! Yukinoshita Yukino for President Hayama-kun Support Account This is our candidate! Seeking backers. RT if you'll let us list you as a backer!\LCD?\A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous. response:	Zaimokuza...
context: LCD?\A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous.\Zaimokuza... response:	Ah, don't get me wrong!
context: A third of the entire student body, huh...\It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous.\Zaimokuza...\Ah, don't get me wrong! response:	I'm not worried about you.
context: It is I.\We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous.\Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you. response:	I'm worried that I'll be held responsible for executing it,
context: We've got enough. Let's move to the next phase.\Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous.\Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it, response:	that you'll drop me like a lizard drops its tail to save itself. Nothing more!
context: Hayama-kun Support Account Hayama Hayato-kun for President!/ This account is seeking backers for Hayama-kun. Please follow RT to show your support!\I can't say I wholly commend this method.\It's dangerous.\Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more! response:	I'll warn you that I am prepared to expose you, should that be the case.
context: I can't say I wholly commend this method.\It's dangerous.\Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case. response:	You're such a scumbag, it's almost refreshing.
context: It's dangerous.\Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing. response:	Don't worry.
context: Zaimokuza...\Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry. response:	Even if anyone tries to find us,
context: Ah, don't get me wrong!\I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us, response:	Edit Profile
context: I'm not worried about you.\I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us,\Edit Profile response:	the person behind this account doesn't exist.
context: I'm worried that I'll be held responsible for executing it,\that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist. response:	Hayama-kun Support Account
context: that you'll drop me like a lizard drops its tail to save itself. Nothing more!\I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account response:	No one will take any damage.
context: I'll warn you that I am prepared to expose you, should that be the case.\You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage. response:	Are you aware, Zaimokuza?
context: You're such a scumbag, it's almost refreshing.\Don't worry.\Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza? response:	So long as a problem doesn't cause problems, it can't be called a problem.
context: Don't worry.\Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem. response:	Class 1-C
context: Even if anyone tries to find us,\Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C response:	Could you get Isshiki-san for me?
context: Edit Profile\the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me? response:	Sorry it's just me.
context: the person behind this account doesn't exist.\Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me. response:	Senpai, it's such a pain to copy this.
context: Hayama-kun Support Account\No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this. response:	By the way, was that girl you were out with
context: No one will take any damage.\Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with response:	the other day Hayama-senpai's girlfriend?
context: Are you aware, Zaimokuza?\So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend? response:	Who knows?
context: So long as a problem doesn't cause problems, it can't be called a problem.\Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows? response:	Aww, come on. You can tell me.
context: Class 1-C\Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me. response:	After we finish this.
context: Could you get Isshiki-san for me?\Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me.\After we finish this. response:	Well, if that's all it was, it doesn't seem like there'll be a problem.
context: Sorry it's just me.\Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me.\After we finish this.\Well, if that's all it was, it doesn't seem like there'll be a problem. response:	I guess it's okay.
context: Senpai, it's such a pain to copy this.\By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me.\After we finish this.\Well, if that's all it was, it doesn't seem like there'll be a problem.\I guess it's okay. response:	So anyway, do you l
context: By the way, was that girl you were out with\the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me.\After we finish this.\Well, if that's all it was, it doesn't seem like there'll be a problem.\I guess it's okay.\So anyway, do you l response:	What do you think of Hayama?
context: the other day Hayama-senpai's girlfriend?\Who knows?\Aww, come on. You can tell me.\After we finish this.\Well, if that's all it was, it doesn't seem like there'll be a problem.\I guess it's okay.\So anyway, do you l\What do you think of Hayama? response:	Huh?
context: Who knows?\Aww, come on. You can tell me.\After we finish this.\Well, if that's all it was, it doesn't seem like there'll be a problem.\I guess it's okay.\So anyway, do you l\What do you think of Hayama?\Huh? response:	What is this? Are you hitting on me?
