context: World War III. response:	By 2036,
context: Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle.\Stop calling me that. response:	July 28th.
context: Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle.\Stop calling me that.\July 28th. response:	The day I saw Kurisu lying in a pool of blood,
context: It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle.\Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood, response:	I'd come with Mayuri to see
context: How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle.\Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see response:	Professor Nakabachi's press conference.
context: Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle.\Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference. response:	I heard a noise on the roof.
context: I'll ready the time machine.\You protect her, Uncle.\Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof. response:	That's right. After this, Mayuri goes to the 7th-floor Upa machines.
context: You protect her, Uncle.\Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines. response:	Oh, no!
context: Stop calling me that.\July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no! response:	You called me here for this?
context: July 28th.\The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this? response:	There aren't many left of this series, and Mayushii's...
context: The day I saw Kurisu lying in a pool of blood,\I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's... response:	Oh well.
context: I'd come with Mayuri to see\Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well. response:	I'll take the back stairs to the 8th floor.
context: Professor Nakabachi's press conference.\I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor. response:	It's a metal... A metal Upa!
context: I heard a noise on the roof.\That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa! response:	Is it rare?
context: That's right. After this, Mayuri goes to the 7th-floor Upa machines.\Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare? response:	Really!
context: Oh, no!\You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare?\Really! response:	If I make it here...
context: You called me here for this?\There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare?\Really!\If I make it here... response:	I'm sorry.
context: There aren't many left of this series, and Mayushii's...\Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare?\Really!\If I make it here...\I'm sorry. response:	K-Kurisu?
context: Oh well.\I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare?\Really!\If I make it here...\I'm sorry.\K-Kurisu? response:	H-How do you know my name?
context: I'll take the back stairs to the 8th floor.\It's a metal... A metal Upa!\Is it rare?\Really!\If I make it here...\I'm sorry.\K-Kurisu?\H-How do you know my name? response:	Kurisu is alive...
context: It's a metal... A metal Upa!\Is it rare?\Really!\If I make it here...\I'm sorry.\K-Kurisu?\H-How do you know my name?\Kurisu is alive... response:	Have we met somewhere?
context: Is it rare?\Really!\If I make it here...\I'm sorry.\K-Kurisu?\H-How do you know my name?\Kurisu is alive...\Have we met somewhere? response:	Kurisu...
context: Really!\If I make it here...\I'm sorry.\K-Kurisu?\H-How do you know my name?\Kurisu is alive...\Have we met somewhere?\Kurisu... response:	Are you listening...
context: If I make it here...\I'm sorry.\K-Kurisu?\H-How do you know my name?\Kurisu is alive...\Have we met somewhere?\Kurisu...\Are you listening... response:	What's wrong?
context: I'm sorry.\K-Kurisu?\H-How do you know my name?\Kurisu is alive...\Have we met somewhere?\Kurisu...\Are you listening...\What's wrong? response:	Answer me.
context: K-Kurisu?\H-How do you know my name?\Kurisu is alive...\Have we met somewhere?\Kurisu...\Are you listening...\What's wrong?\Answer me. response:	Professor Nakabachi's press conference will start shortly in the eighth floor theatre.
context: H-How do you know my name?\Kurisu is alive...\Have we met somewhere?\Kurisu...\Are you listening...\What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre. response:	Wait!
context: Kurisu is alive...\Have we met somewhere?\Kurisu...\Are you listening...\What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait! response:	Wait!
context: Have we met somewhere?\Kurisu...\Are you listening...\What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait! response:	In the handouts, you can read about the time machine's basic design.
context: Kurisu...\Are you listening...\What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait!\In the handouts, you can read about the time machine's basic design. response:	I will use this conference as an opportunity to discuss the fundamental theory behind it.
context: Are you listening...\What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it. response:	Professor Nakabachi
context: What's wrong?\Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi response:	The operation notes said that you'd be able to identify Makise Kurisu.
context: Answer me.\Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu. response:	Can you do it?
context: Professor Nakabachi's press conference will start shortly in the eighth floor theatre.\Wait!\Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it? response:	Yeah.
context: Wait!\Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah. response:	Also, it's dangerous to take her outside.
context: Wait!\In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah.\Also, it's dangerous to take her outside. response:	If we can't find and neutralize the cause of her stabbing,
context: In the handouts, you can read about the time machine's basic design.\I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing, response:	the probability of a fatal outcome is high.
context: I will use this conference as an opportunity to discuss the fundamental theory behind it.\Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high. response:	The same as with Mayuri?
context: Professor Nakabachi\The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri? response:	Doctor!
context: The operation notes said that you'd be able to identify Makise Kurisu.\Can you do it?\Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor! response:	What is it?
context: Can you do it?\Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor!\What is it? response:	You know exactly what!
context: Yeah.\Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor!\What is it?\You know exactly what! response:	What is this time machine theory of yours?
context: Also, it's dangerous to take her outside.\If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours? response:	Kerr Black Holes?
context: If we can't find and neutralize the cause of her stabbing,\the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes? response:	World lines?
context: the probability of a fatal outcome is high.\The same as with Mayuri?\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes?\World lines? response:	You stole all this from John Titor!
context: The same as with Mayuri?\Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes?\World lines?\You stole all this from John Titor! response:	Kurisu will be stabbed right here soon.
context: Doctor!\What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes?\World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon. response:	Is she really going to be here?
context: What is it?\You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes?\World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here? response:	Wait! Maybe she was stabbed elsewhere and brought here.
context: You know exactly what!\What is this time machine theory of yours?\Kerr Black Holes?\World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here. response:	Yeah... That's possible!
context: What is this time machine theory of yours?\Kerr Black Holes?\World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible! response:	Kurisu?
context: Kerr Black Holes?\World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu? response:	So, it does happen here.
context: World lines?\You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu?\So, it does happen here. response:	What's she reading?
context: You stole all this from John Titor!\Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu?\So, it does happen here.\What's she reading? response:	A time machine?
context: Kurisu will be stabbed right here soon.\Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu?\So, it does happen here.\What's she reading?\A time machine? response:	Is that why she's the key to changing world lines?
context: Is she really going to be here?\Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu?\So, it does happen here.\What's she reading?\A time machine?\Is that why she's the key to changing world lines? response:	What do you want?
context: Wait! Maybe she was stabbed elsewhere and brought here.\Yeah... That's possible!\Kurisu?\So, it does happen here.\What's she reading?\A time machine?\Is that why she's the key to changing world lines?\What do you want? response:	Daddy, I wanted you to read this.
context: Yeah... That's possible!\Kurisu?\So, it does happen here.\What's she reading?\A time machine?\Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this. response:	Daddy?
context: Kurisu?\So, it does happen here.\What's she reading?\A time machine?\Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this.\Daddy? response:	Professor Nakabachi?
context: So, it does happen here.\What's she reading?\A time machine?\Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi? response:	You contacted me for the first time in seven years.
context: What's she reading?\A time machine?\Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years. response:	You asked me to come to your press conference, right?
context: A time machine?\Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right? response:	That was my inspiration...
context: Is that why she's the key to changing world lines?\What do you want?\Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration... response:	Wait, so Kurisu's dad is...
context: What do you want?\Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is... response:	So I thought I could use it to theorize a time machine.
context: Daddy, I wanted you to read this.\Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine. response:	I wanted to hear your theories.
context: Daddy?\Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories. response:	If this is accepted, you can use it
context: Professor Nakabachi?\You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it response:	to show everyone who kicked you out of academia...
context: You contacted me for the first time in seven years.\You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia... response:	I wasn't kicked out!
context: You asked me to come to your press conference, right?\That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out! response:	I got sick of them and left.
context: That was my inspiration...\Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left. response:	Sorry...
context: Wait, so Kurisu's dad is...\So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left.\Sorry... response:	It's not bad.
context: So I thought I could use it to theorize a time machine.\I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left.\Sorry...\It's not bad. response:	Really?
context: I wanted to hear your theories.\If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left.\Sorry...\It's not bad.\Really? response:	If you're okay with it,
context: If this is accepted, you can use it\to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left.\Sorry...\It's not bad.\Really?\If you're okay with it, response:	I thought we could put both our names on the paper.
context: to show everyone who kicked you out of academia...\I wasn't kicked out!\I got sick of them and left.\Sorry...\It's not bad.\Really?\If you're okay with it,\I thought we could put both our names on the paper. response:	Because you inspired me...
context: I wasn't kicked out!\I got sick of them and left.\Sorry...\It's not bad.\Really?\If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me... response:	Don't be stupid.
context: I got sick of them and left.\Sorry...\It's not bad.\Really?\If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid. response:	Leave!
context: Sorry...\It's not bad.\Really?\If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid.\Leave! response:	I'll publish this paper under my name.
context: It's not bad.\Really?\If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid.\Leave!\I'll publish this paper under my name. response:	Wait!
context: Really?\If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid.\Leave!\I'll publish this paper under my name.\Wait! response:	You wouldn't steal it, right, Daddy?
context: If you're okay with it,\I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid.\Leave!\I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy? response:	I thought, no matter what, you'd never do that...
context: I thought we could put both our names on the paper.\Because you inspired me...\Don't be stupid.\Leave!\I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that... response:	Shut up!
context: Because you inspired me...\Don't be stupid.\Leave!\I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up! response:	How dare you call it stealing!
context: Don't be stupid.\Leave!\I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing! response:	Why are you so smart?
context: Leave!\I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing!\Why are you so smart? response:	A girl shouldn't be smarter than her father!
context: I'll publish this paper under my name.\Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father! response:	If it weren't for you, I'd have been smart, too!
context: Wait!\You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too! response:	If it weren't for you...
context: You wouldn't steal it, right, Daddy?\I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you... response:	You're that kid from earlier.
context: I thought, no matter what, you'd never do that...\Shut up!\How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier. response:	So that's it?
context: Shut up!\How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier.\So that's it? response:	You were plotting to ruin my conference together, right?
context: How dare you call it stealing!\Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right? response:	I see...
context: Why are you so smart?\A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right?\I see... response:	So that's it.
context: A girl shouldn't be smarter than her father!\If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right?\I see...\So that's it. response:	Daddy!
context: If it weren't for you, I'd have been smart, too!\If it weren't for you...\You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right?\I see...\So that's it.\Daddy! response:	I'll protect her!
context: If it weren't for you...\You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right?\I see...\So that's it.\Daddy!\I'll protect her! response:	How dare you insult me?
context: You're that kid from earlier.\So that's it?\You were plotting to ruin my conference together, right?\I see...\So that's it.\Daddy!\I'll protect her!\How dare you insult me? response:	Why, you...
context: So that's it?\You were plotting to ruin my conference together, right?\I see...\So that's it.\Daddy!\I'll protect her!\How dare you insult me?\Why, you... response:	Stop it, Daddy!
context: You were plotting to ruin my conference together, right?\I see...\So that's it.\Daddy!\I'll protect her!\How dare you insult me?\Why, you...\Stop it, Daddy! response:	Please!
context: I see...\So that's it.\Daddy!\I'll protect her!\How dare you insult me?\Why, you...\Stop it, Daddy!\Please! response:	Don't even speak to me!
context: So that's it.\Daddy!\I'll protect her!\How dare you insult me?\Why, you...\Stop it, Daddy!\Please!\Don't even speak to me! response:	Oh no!
context: Daddy!\I'll protect her!\How dare you insult me?\Why, you...\Stop it, Daddy!\Please!\Don't even speak to me!\Oh no! response:	What do you know?
context: I'll protect her!\How dare you insult me?\Why, you...\Stop it, Daddy!\Please!\Don't even speak to me!\Oh no!\What do you know? response:	You don't know how I feel.
context: How dare you insult me?\Why, you...\Stop it, Daddy!\Please!\Don't even speak to me!\Oh no!\What do you know?\You don't know how I feel. response:	You don't know how I've been humiliated...
context: Why, you...\Stop it, Daddy!\Please!\Don't even speak to me!\Oh no!\What do you know?\You don't know how I feel.\You don't know how I've been humiliated... response:	The hell I've been through!
context: Stop it, Daddy!\Please!\Don't even speak to me!\Oh no!\What do you know?\You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through! response:	If it weren't for you...
context: Please!\Don't even speak to me!\Oh no!\What do you know?\You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you... response:	Don't...
context: Don't even speak to me!\Oh no!\What do you know?\You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you...\Don't... response:	If it weren't for you...
context: Oh no!\What do you know?\You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you...\Don't...\If it weren't for you... response:	Don't do it!
context: What do you know?\You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you...\Don't...\If it weren't for you...\Don't do it! response:	Kurisu...
context: You don't know how I feel.\You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you...\Don't...\If it weren't for you...\Don't do it!\Kurisu... response:	K-Kurisu!
context: You don't know how I've been humiliated...\The hell I've been through!\If it weren't for you...\Don't...\If it weren't for you...\Don't do it!\Kurisu...\K-Kurisu! response:	Fools.
context: The hell I've been through!\If it weren't for you...\Don't...\If it weren't for you...\Don't do it!\Kurisu...\K-Kurisu!\Fools. response:	This is the perfect end for you.
context: If it weren't for you...\Don't...\If it weren't for you...\Don't do it!\Kurisu...\K-Kurisu!\Fools.\This is the perfect end for you. response:	I'm sorry for involving you...
context: Don't...\If it weren't for you...\Don't do it!\Kurisu...\K-Kurisu!\Fools.\This is the perfect end for you.\I'm sorry for involving you... response:	Why?
context: If it weren't for you...\Don't do it!\Kurisu...\K-Kurisu!\Fools.\This is the perfect end for you.\I'm sorry for involving you...\Why? response:	Because he's my dad.
context: Don't do it!\Kurisu...\K-Kurisu!\Fools.\This is the perfect end for you.\I'm sorry for involving you...\Why?\Because he's my dad. response:	I wanted him to accept me.
context: Kurisu...\K-Kurisu!\Fools.\This is the perfect end for you.\I'm sorry for involving you...\Why?\Because he's my dad.\I wanted him to accept me. response:	That's all.
context: K-Kurisu!\Fools.\This is the perfect end for you.\I'm sorry for involving you...\Why?\Because he's my dad.\I wanted him to accept me.\That's all. response:	Kurisu...
context: Fools.\This is the perfect end for you.\I'm sorry for involving you...\Why?\Because he's my dad.\I wanted him to accept me.\That's all.\Kurisu... response:	I'm scared...
context: This is the perfect end for you.\I'm sorry for involving you...\Why?\Because he's my dad.\I wanted him to accept me.\That's all.\Kurisu...\I'm scared... response:	I don't want to die.
context: I'm sorry for involving you...\Why?\Because he's my dad.\I wanted him to accept me.\That's all.\Kurisu...\I'm scared...\I don't want to die. response:	I don't...
context: Why?\Because he's my dad.\I wanted him to accept me.\That's all.\Kurisu...\I'm scared...\I don't want to die.\I don't... response:	Kurisu...
context: Because he's my dad.\I wanted him to accept me.\That's all.\Kurisu...\I'm scared...\I don't want to die.\I don't...\Kurisu... response:	Kurisu!
context: I wanted him to accept me.\That's all.\Kurisu...\I'm scared...\I don't want to die.\I don't...\Kurisu...\Kurisu! response:	They're back already!
context: That's all.\Kurisu...\I'm scared...\I don't want to die.\I don't...\Kurisu...\Kurisu!\They're back already! response:	Okarin!
context: Kurisu...\I'm scared...\I don't want to die.\I don't...\Kurisu...\Kurisu!\They're back already!\Okarin! response:	Okarin, that blood...
context: I'm scared...\I don't want to die.\I don't...\Kurisu...\Kurisu!\They're back already!\Okarin!\Okarin, that blood... response:	It's all right.
context: I don't want to die.\I don't...\Kurisu...\Kurisu!\They're back already!\Okarin!\Okarin, that blood...\It's all right. response:	It's not his.
context: I don't...\Kurisu...\Kurisu!\They're back already!\Okarin!\Okarin, that blood...\It's all right.\It's not his. response:	I was the one who killed Kurisu...
context: Kurisu...\Kurisu!\They're back already!\Okarin!\Okarin, that blood...\It's all right.\It's not his.\I was the one who killed Kurisu... response:	I was the one who killed Kurisu...
context: Kurisu!\They're back already!\Okarin!\Okarin, that blood...\It's all right.\It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu... response:	I was the one who killed Kurisu...
context: They're back already!\Okarin!\Okarin, that blood...\It's all right.\It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu... response:	Okarin?
context: Okarin!\Okarin, that blood...\It's all right.\It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin? response:	I know it hurts, but you can't give up yet.
context: Okarin, that blood...\It's all right.\It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet. response:	We have enough fuel to go back once more...
context: It's all right.\It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more... response:	Shut up!
context: It's not his.\I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up! response:	It'll just be the same!
context: I was the one who killed Kurisu...\I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up!\It'll just be the same! response:	The Attractor Field convergence will kill her all over again.
context: I was the one who killed Kurisu...\I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again. response:	It's your phone.
context: I was the one who killed Kurisu...\Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone. response:	A message?
context: Okarin?\I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone.\A message? response:	Open it.
context: I know it hurts, but you can't give up yet.\We have enough fuel to go back once more...\Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone.\A message?\Open it. response:	But...
context: We have enough fuel to go back once more...\Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone.\A message?\Open it.\But... response:	Just do it.
context: Shut up!\It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone.\A message?\Open it.\But...\Just do it. response:	Turn on the TV.
context: It'll just be the same!\The Attractor Field convergence will kill her all over again.\It's your phone.\A message?\Open it.\But...\Just do it.\Turn on the TV. response:	Turn on the TV?
context: The Attractor Field convergence will kill her all over again.\It's your phone.\A message?\Open it.\But...\Just do it.\Turn on the TV.\Turn on the TV? response:	The TV?
