context: The number one hero, All Might. response:	Age unknown, Quirk unidentified.
context: But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan! response:	It's a training plan to help you finish cleaning up the beach.
context: It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach. response:	I'll have you follow this in every aspect of your life!
context: It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life! response:	Even sleep time is included...
context: And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included... response:	Frankly, this is a super hard schedule.
context: In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule. response:	Can you follow it?
context: In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it? response:	Of course...
context: That's where this comes in!\Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it?\Of course... response:	I have to work many times harder than an, one else,
context: Aim to Pass: American Dream Plan!\It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it?\Of course...\I have to work many times harder than an, one else, response:	or else I can't do it!
context: It's a training plan to help you finish cleaning up the beach.\I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it?\Of course...\I have to work many times harder than an, one else,\or else I can't do it! response:	And so began my ten months of hell.
context: I'll have you follow this in every aspect of your life!\Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it?\Of course...\I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell. response:	Carry that to the park entrance!
context: Even sleep time is included...\Frankly, this is a super hard schedule.\Can you follow it?\Of course...\I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance! response:	Put it in the truck!
context: Frankly, this is a super hard schedule.\Can you follow it?\Of course...\I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck! response:	Depending on size and shape, the muscles I have to use are completely different!
context: Can you follow it?\Of course...\I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different! response:	I see... This is...!
context: Of course...\I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...! response:	Run! Run!
context: I have to work many times harder than an, one else,\or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run! response:	Ten months will be over before you know it!
context: or else I can't do it!\And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run!\Ten months will be over before you know it! response:	Let's become athletic!
context: And so began my ten months of hell.\Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run!\Ten months will be over before you know it!\Let's become athletic! response:	Let's see...
context: Carry that to the park entrance!\Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run!\Ten months will be over before you know it!\Let's become athletic!\Let's see... response:	With the appearance of superpowers,
context: Put it in the truck!\Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run!\Ten months will be over before you know it!\Let's become athletic!\Let's see...\With the appearance of superpowers, response:	the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...
context: Depending on size and shape, the muscles I have to use are completely different!\I see... This is...!\Run! Run!\Ten months will be over before you know it!\Let's become athletic!\Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor... response:	This is tough...
context: I see... This is...!\Run! Run!\Ten months will be over before you know it!\Let's become athletic!\Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough... response:	Ten months of this, huh?
context: Run! Run!\Ten months will be over before you know it!\Let's become athletic!\Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh? response:	It will be hard if I don't finish by a week before the exam...
context: Ten months will be over before you know it!\Let's become athletic!\Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam... response:	Which means, there are 294 days left...
context: Let's become athletic!\Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left... response:	Taking into consideration a sufficient recovery period
context: Let's see...\With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period response:	if I rest for two days in between, that gives me...
context: With the appearance of superpowers,\the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me... response:	I can get in about five hours of training morning and night...
context: the Building Standards Act was revised, and the Minister of Land, Infrastructure, Transpor...\This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night... response:	Also, that beach cleanup doesn't work out any specific parts of the body.
context: This is tough...\Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body. response:	If I don't work out my whole body equally, then there's no way I'll make it.
context: Ten months of this, huh?\It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it. response:	Bodybuilding to create a body able to adapt to any situation...
context: It will be hard if I don't finish by a week before the exam...\Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation... response:	Literally intensive training to become a hero...
context: Which means, there are 294 days left...\Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero... response:	All Might can't stay and watch me the whole time...
context: Taking into consideration a sufficient recovery period\if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time... response:	If I don't do as much efficient independent training as I can,
context: if I rest for two days in between, that gives me...\I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can, response:	there's no way I can catch up the way I am now...
context: I can get in about five hours of training morning and night...\Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now... response:	Anyway, I'll have to cut
context: Also, that beach cleanup doesn't work out any specific parts of the body.\If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut response:	Midoriya, hey!
context: If I don't work out my whole body equally, then there's no way I'll make it.\Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey! response:	Did your encounter with the villain make you go crazy?
context: Bodybuilding to create a body able to adapt to any situation...\Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy? response:	It's presumptuous to think of getting into U.A. like that.
context: Literally intensive training to become a hero...\All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that. response:	Plus, I have to study for the entrance exam.
context: All Might can't stay and watch me the whole time...\If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam. response:	A nervous breakdown already?
context: If I don't do as much efficient independent training as I can,\there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already? response:	That's scary.
context: there's no way I can catch up the way I am now...\Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary. response:	Hey, hey, what's wrong?
context: Anyway, I'll have to cut\Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary.\Hey, hey, what's wrong? response:	There are only three months left!
context: Midoriya, hey!\Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary.\Hey, hey, what's wrong?\There are only three months left! response:	You won't make it!
context: Did your encounter with the villain make you go crazy?\It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary.\Hey, hey, what's wrong?\There are only three months left!\You won't make it! response:	Wanna give up?
context: It's presumptuous to think of getting into U.A. like that.\Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary.\Hey, hey, what's wrong?\There are only three months left!\You won't make it!\Wanna give up? response:	Wanna take it easy and rest today?
context: Plus, I have to study for the entrance exam.\A nervous breakdown already?\That's scary.\Hey, hey, what's wrong?\There are only three months left!\You won't make it!\Wanna give up?\Wanna take it easy and rest today? response:	Overwork...?
context: A nervous breakdown already?\That's scary.\Hey, hey, what's wrong?\There are only three months left!\You won't make it!\Wanna give up?\Wanna take it easy and rest today?\Overwork...? response:	The Aim to Pass: American Dream Plan was adjusted with your body in mind
context: That's scary.\Hey, hey, what's wrong?\There are only three months left!\You won't make it!\Wanna give up?\Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind response:	to make sure you'd make it in time for the entrance exam...
context: Hey, hey, what's wrong?\There are only three months left!\You won't make it!\Wanna give up?\Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam... response:	You haven't been sticking to the plan, have you?
context: There are only three months left!\You won't make it!\Wanna give up?\Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you? response:	Overdoing it will have the opposite effect!
context: You won't make it!\Wanna give up?\Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect! response:	Don't you want to get in?
context: Wanna give up?\Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in? response:	I do...
context: Wanna take it easy and rest today?\Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in?\I do... response:	But I can't just get in...
context: Overwork...?\The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in?\I do...\But I can't just get in... response:	I have to work a lot more than other people...
context: The Aim to Pass: American Dream Plan was adjusted with your body in mind\to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in?\I do...\But I can't just get in...\I have to work a lot more than other people... response:	I want to be like you.
context: to make sure you'd make it in time for the entrance exam...\You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in?\I do...\But I can't just get in...\I have to work a lot more than other people...\I want to be like you. response:	I want to become the greatest hero, like you!
context: You haven't been sticking to the plan, have you?\Overdoing it will have the opposite effect!\Don't you want to get in?\I do...\But I can't just get in...\I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you! response:	Saving people with a fearless smile.
context: Overdoing it will have the opposite effect!\Don't you want to get in?\I do...\But I can't just get in...\I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile. response:	Like you...!
context: Don't you want to get in?\I do...\But I can't just get in...\I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...! response:	He's looking far into the future, huh?
context: I do...\But I can't just get in...\I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh? response:	You go-getter fanboy!
context: But I can't just get in...\I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh?\You go-getter fanboy! response:	I like that!
context: I have to work a lot more than other people...\I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh?\You go-getter fanboy!\I like that! response:	But if that's the case, then you really can't rush things now.
context: I want to be like you.\I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh?\You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now. response:	But I understand your feelings.
context: I want to become the greatest hero, like you!\Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh?\You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings. response:	Leave it to this old guy to adjust your plan!
context: Saving people with a fearless smile.\Like you...!\He's looking far into the future, huh?\You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan! response:	You're not old... All Might...
context: Like you...!\He's looking far into the future, huh?\You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might... response:	And then, it was 6 a.m. on the day of the entrance exam.
context: He's looking far into the future, huh?\You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam. response:	Hey, hey, hey...
context: You go-getter fanboy!\I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey... response:	He even cleaned outside of where I told him to!
context: I like that!\But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to! response:	Seriously?
context: But if that's the case, then you really can't rush things now.\But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously? response:	There's not even a speck of dust left!
context: But I understand your feelings.\Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left! response:	Seriously?!
context: Leave it to this old guy to adjust your plan!\You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left!\Seriously?! response:	He finished at the last minute!
context: You're not old... All Might...\And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left!\Seriously?!\He finished at the last minute! response:	More than perfectly!
context: And then, it was 6 a.m. on the day of the entrance exam.\Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left!\Seriously?!\He finished at the last minute!\More than perfectly! response:	Oh my... Oh my...
context: Hey, hey, hey...\He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left!\Seriously?!\He finished at the last minute!\More than perfectly!\Oh my... Oh my... response:	Good work.
context: He even cleaned outside of where I told him to!\Seriously?\There's not even a speck of dust left!\Seriously?!\He finished at the last minute!\More than perfectly!\Oh my... Oh my...\Good work. response:	All Might...
context: Seriously?\There's not even a speck of dust left!\Seriously?!\He finished at the last minute!\More than perfectly!\Oh my... Oh my...\Good work.\All Might... response:	I did it...
context: There's not even a speck of dust left!\Seriously?!\He finished at the last minute!\More than perfectly!\Oh my... Oh my...\Good work.\All Might...\I did it... response:	I did it!
context: Seriously?!\He finished at the last minute!\More than perfectly!\Oh my... Oh my...\Good work.\All Might...\I did it...\I did it! response:	Yeah, you surprised me, you entertainer!
context: He finished at the last minute!\More than perfectly!\Oh my... Oh my...\Good work.\All Might...\I did it...\I did it!\Yeah, you surprised me, you entertainer! response:	Teenagers are amazing!
context: More than perfectly!\Oh my... Oh my...\Good work.\All Might...\I did it...\I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing! response:	Here, take a look.
context: Oh my... Oh my...\Good work.\All Might...\I did it...\I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look. response:	This is...
context: Good work.\All Might...\I did it...\I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look.\This is... response:	It's you, ten months ago.
context: All Might...\I did it...\I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look.\This is...\It's you, ten months ago. response:	You did good.
context: I did it...\I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look.\This is...\It's you, ten months ago.\You did good. response:	You really did!
context: I did it!\Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look.\This is...\It's you, ten months ago.\You did good.\You really did! response:	The mirage of it is finally just barely visible...
context: Yeah, you surprised me, you entertainer!\Teenagers are amazing!\Here, take a look.\This is...\It's you, ten months ago.\You did good.\You really did!\The mirage of it is finally just barely visible... response:	I feel like I'm cheating...
context: Teenagers are amazing!\Here, take a look.\This is...\It's you, ten months ago.\You did good.\You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating... response:	You did all this for me...
context: Here, take a look.\This is...\It's you, ten months ago.\You did good.\You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me... response:	I'm too blessed...
context: This is...\It's you, ten months ago.\You did good.\You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me...\I'm too blessed... response:	What're you saying after all this time...
context: It's you, ten months ago.\You did good.\You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me...\I'm too blessed...\What're you saying after all this time... response:	It was your own hard work.
context: You did good.\You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me...\I'm too blessed...\What're you saying after all this time...\It was your own hard work. response:	We'll have to fix those leaky eyes of yours.
context: You really did!\The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me...\I'm too blessed...\What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours. response:	Now, it's time for the award ceremony, Midoriya Izuku!
context: The mirage of it is finally just barely visible...\I feel like I'm cheating...\You did all this for me...\I'm too blessed...\What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku! response:	Yes, sir!
context: I feel like I'm cheating...\You did all this for me...\I'm too blessed...\What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir! response:	This is something I was once told.
context: You did all this for me...\I'm too blessed...\What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told. response:	Something that you receive because you're lucky
context: I'm too blessed...\What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told.\Something that you receive because you're lucky response:	and something that you are given because you are recognized
context: What're you saying after all this time...\It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized response:	are different in essence.
context: It was your own hard work.\We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence. response:	Take that to heart.
context: We'll have to fix those leaky eyes of yours.\Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence.\Take that to heart. response:	This is power that you earned because of your own effort.
context: Now, it's time for the award ceremony, Midoriya Izuku!\Yes, sir!\This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence.\Take that to heart.\This is power that you earned because of your own effort. response:	I took the reality that would be surprising even in comics
context: Yes, sir!\This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence.\Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics response:	in my hand...
context: This is something I was once told.\Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence.\Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand... response:	Eat this.
context: Something that you receive because you're lucky\and something that you are given because you are recognized\are different in essence.\Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand...\Eat this. response:	Huh?
context: and something that you are given because you are recognized\are different in essence.\Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand...\Eat this.\Huh? response:	It doesn't really matter what it is as long as you take in my DNA.
context: are different in essence.\Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand...\Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA. response:	It's too different from what I imagined!
context: Take that to heart.\This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand...\Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined! response:	Now, there's no time!
context: This is power that you earned because of your own effort.\I took the reality that would be surprising even in comics\in my hand...\Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time! response:	You'll be late for the exam!
context: I took the reality that would be surprising even in comics\in my hand...\Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam! response:	Come, come, come!
context: in my hand...\Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam!\Come, come, come! response:	I made it...
context: Eat this.\Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam!\Come, come, come!\I made it... response:	In the end, I didn't have time to test out the power I received from All Might.
context: Huh?\It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam!\Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might. response:	Eat this.
context: It doesn't really matter what it is as long as you take in my DNA.\It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam!\Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this. response:	I swallowed the hair, but did I really receive his power...?
context: It's too different from what I imagined!\Now, there's no time!\You'll be late for the exam!\Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...? response:	Outta my way, Deku!
context: Now, there's no time!\You'll be late for the exam!\Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku! response:	Kacchan!
context: You'll be late for the exam!\Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan! response:	Don't stand in front of me. I'll kill you.
context: Come, come, come!\I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you. response:	M-Morning!
context: I made it...\In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning! response:	L-Let's both do our best...!
context: In the end, I didn't have time to test out the power I received from All Might.\Eat this.\I swallowed the hair, but did I really receive his power...?\Outta my way, Deku!\Kacchan!\Don't stand in front of me. I'll kill you.\M-Morning!\L-Let's both do our best...! response:	Hey, isn't that Bakugou? The one with the sludge villain?
