context: Here y'go, Onii-chan! response:	It's my recommended souvenirs list! Dun da-da-dun!
context: But she laughed and said,\Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away. response:	Including the relationships you have in your hand now.
context: Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now. response:	I'm having a lot of fun right now.
context: As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now. response:	So I'd appreciate it if you didn't butt in.
context: Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in. response:	You don't have to worry, then.
context: but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then. response:	Hayama said he'd do something about it.
context: That's not exactly right.\If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it. response:	What the heck?
context: If you had to sacrifice many things to protect one,\you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it.\What the heck? response:	Well, if Hayato said that, then it's fine.
context: you're more likely to give up and throw it away.\Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine. response:	Wow! Awesome!
context: Including the relationships you have in your hand now.\I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome! response:	What a great view! I can see the city!
context: I'm having a lot of fun right now.\So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city! response:	Break time...
context: So I'd appreciate it if you didn't butt in.\You don't have to worry, then.\Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city!\Break time... response:	I agree.
context: You don't have to worry, then.\Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city!\Break time...\I agree. response:	Oh, it's Tobecchi!
context: Hayama said he'd do something about it.\What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city!\Break time...\I agree.\Oh, it's Tobecchi! response:	Yahello!
context: What the heck?\Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city!\Break time...\I agree.\Oh, it's Tobecchi!\Yahello! response:	Wow, we meet again, huh?
context: Well, if Hayato said that, then it's fine.\Wow! Awesome!\What a great view! I can see the city!\Break time...\I agree.\Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh? response:	Hikitani-kun, you haven't forgotten what we discussed, have you?
context: Wow! Awesome!\What a great view! I can see the city!\Break time...\I agree.\Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you? response:	Huh? Oh...
context: What a great view! I can see the city!\Break time...\I agree.\Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh... response:	Well? How's it going among the men?
context: Break time...\I agree.\Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men? response:	Happy and harmonious?
context: I agree.\Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men?\Happy and harmonious? response:	They're getting along fine, I guess.
context: Oh, it's Tobecchi!\Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess. response:	They play cards together at night.
context: Yahello!\Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night. response:	But I can't see that! That's not tasty at all!
context: Wow, we meet again, huh?\Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all! response:	What I really want is for the guys to be
context: Hikitani-kun, you haven't forgotten what we discussed, have you?\Huh? Oh...\Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be response:	all close together where I can see them!
context: Huh? Oh...\Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them! response:	Well, we're going to Arashiyama, too, so maybe then...
context: Well? How's it going among the men?\Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then... response:	I'm counting on you.
context: Happy and harmonious?\They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you. response:	Randen Arashiyama Station
context: They're getting along fine, I guess.\They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station response:	You're going to spoil your dinner.
context: They play cards together at night.\But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner. response:	Huh?
context: But I can't see that! That's not tasty at all!\What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner.\Huh? response:	Then you can have it, Hikki.
context: What I really want is for the guys to be\all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner.\Huh?\Then you can have it, Hikki. response:	No, thanks.
context: all close together where I can see them!\Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner.\Huh?\Then you can have it, Hikki.\No, thanks. response:	Why does she just take one little bite from each thing?
context: Well, we're going to Arashiyama, too, so maybe then...\I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner.\Huh?\Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing? response:	If we were splitting them half-and-half, I'd eat it.
context: I'm counting on you.\Randen Arashiyama Station\You're going to spoil your dinner.\Huh?\Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it. response:	What do I do with these, Yukinon?
context: Randen Arashiyama Station\You're going to spoil your dinner.\Huh?\Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon? response:	All right, just a little.
context: You're going to spoil your dinner.\Huh?\Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little. response:	You help, too.
context: Huh?\Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little.\You help, too. response:	Well, I can eat some, I guess...
context: Then you can have it, Hikki.\No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little.\You help, too.\Well, I can eat some, I guess... response:	Oh, then...
context: No, thanks.\Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little.\You help, too.\Well, I can eat some, I guess...\Oh, then... response:	Here.
context: Why does she just take one little bite from each thing?\If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little.\You help, too.\Well, I can eat some, I guess...\Oh, then...\Here. response:	I sort of feel like an animal being fed.
context: If we were splitting them half-and-half, I'd eat it.\What do I do with these, Yukinon?\All right, just a little.\You help, too.\Well, I can eat some, I guess...\Oh, then...\Here.\I sort of feel like an animal being fed. response:	Not bad. Food I didn't have to work for tastes awesome.
context: What do I do with these, Yukinon?\All right, just a little.\You help, too.\Well, I can eat some, I guess...\Oh, then...\Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome. response:	Delicious.
context: All right, just a little.\You help, too.\Well, I can eat some, I guess...\Oh, then...\Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious. response:	This place is amazing!
context: You help, too.\Well, I can eat some, I guess...\Oh, then...\Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing! response:	Yes... And look at the ground.
context: Well, I can eat some, I guess...\Oh, then...\Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing!\Yes... And look at the ground. response:	Lanterns, huh?
context: Oh, then...\Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing!\Yes... And look at the ground.\Lanterns, huh? response:	This is it! I bet this is the place!
context: Here.\I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing!\Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place! response:	For what?
context: I sort of feel like an animal being fed.\Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing!\Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place!\For what? response:	To be c-confessed to.
context: Not bad. Food I didn't have to work for tastes awesome.\Delicious.\This place is amazing!\Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place!\For what?\To be c-confessed to. response:	Why the passive voice?
context: Delicious.\This place is amazing!\Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place!\For what?\To be c-confessed to.\Why the passive voice? response:	It does look like a good location.
context: This place is amazing!\Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place!\For what?\To be c-confessed to.\Why the passive voice?\It does look like a good location. response:	Doesn't it?
context: Yes... And look at the ground.\Lanterns, huh?\This is it! I bet this is the place!\For what?\To be c-confessed to.\Why the passive voice?\It does look like a good location.\Doesn't it? response:	If Tobe's going to go for it,
context: Lanterns, huh?\This is it! I bet this is the place!\For what?\To be c-confessed to.\Why the passive voice?\It does look like a good location.\Doesn't it?\If Tobe's going to go for it, response:	I guess this is the place.
context: This is it! I bet this is the place!\For what?\To be c-confessed to.\Why the passive voice?\It does look like a good location.\Doesn't it?\If Tobe's going to go for it,\I guess this is the place. response:	Oh, man! I'm getting nervous! Oh, man!
context: For what?\To be c-confessed to.\Why the passive voice?\It does look like a good location.\Doesn't it?\If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man! response:	It'll be fine.
context: To be c-confessed to.\Why the passive voice?\It does look like a good location.\Doesn't it?\If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine. response:	Tobe's getting a girlfriend, huh?
context: Why the passive voice?\It does look like a good location.\Doesn't it?\If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh? response:	You probably won't want to hang out with me anymore...
context: It does look like a good location.\Doesn't it?\If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore... response:	That's so not true!
context: Doesn't it?\If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true! response:	Anyway, oh, man!
context: If Tobe's going to go for it,\I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man! response:	It'll be fine.
context: I guess this is the place.\Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man!\It'll be fine. response:	Even I'm getting nervous.
context: Oh, man! I'm getting nervous! Oh, man!\It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man!\It'll be fine.\Even I'm getting nervous. response:	Hey, Tobe...
context: It'll be fine.\Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man!\It'll be fine.\Even I'm getting nervous.\Hey, Tobe... response:	What, Hayato-kun? I'm kinda freaking out right now.
context: Tobe's getting a girlfriend, huh?\You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man!\It'll be fine.\Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now. response:	Uh, nothing.
context: You probably won't want to hang out with me anymore...\That's so not true!\Anyway, oh, man!\It'll be fine.\Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing. response:	What is it?
context: That's so not true!\Anyway, oh, man!\It'll be fine.\Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it? response:	I was just going to say good luck,
context: Anyway, oh, man!\It'll be fine.\Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it?\I was just going to say good luck, response:	but once I saw your face, I didn't feel like it anymore.
context: It'll be fine.\Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore. response:	Harsh, man!
context: Even I'm getting nervous.\Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man! response:	I feel a little less nervous, though...
context: Hey, Tobe...\What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though... response:	You're being awfully uncooperative.
context: What, Hayato-kun? I'm kinda freaking out right now.\Uh, nothing.\What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative. response:	Am I?
context: Uh, nothing.\What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative.\Am I? response:	You are.
context: What is it?\I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative.\Am I?\You are. response:	In fact, it felt as if you were trying to interfere.
context: I was just going to say good luck,\but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative.\Am I?\You are.\In fact, it felt as if you were trying to interfere. response:	That wasn't my intent.
context: but once I saw your face, I didn't feel like it anymore.\Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative.\Am I?\You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent. response:	I just like things as they are now.
context: Harsh, man!\I feel a little less nervous, though...\You're being awfully uncooperative.\Am I?\You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now. response:	I like Tobe and Hina, and the time we all spend together.
context: I feel a little less nervous, though...\You're being awfully uncooperative.\Am I?\You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together. response:	So
context: You're being awfully uncooperative.\Am I?\You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So response:	If this is enough to ruin that, was it really that strong to begin with?
context: Am I?\You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with? response:	You might be right, but...
context: You are.\In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but... response:	What's lost won't ever come back.
context: In fact, it felt as if you were trying to interfere.\That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back. response:	It's more ridiculous that you're
context: That wasn't my intent.\I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're response:	trying to enjoy superficial relationships like that.
context: I just like things as they are now.\I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that. response:	Is it?
context: I like Tobe and Hina, and the time we all spend together.\So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it? response:	I don't think of it as superficial.
context: So\If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial. response:	Right now, the environment I'm in is everything to me.
context: If this is enough to ruin that, was it really that strong to begin with?\You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me. response:	No, it is superficial.
context: You might be right, but...\What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial. response:	What about Tobe, then?
context: What's lost won't ever come back.\It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then? response:	I told him over and over to give up.
context: It's more ridiculous that you're\trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then?\I told him over and over to give up. response:	I can't see Hina opening her heart to him right now.
context: trying to enjoy superficial relationships like that.\Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now. response:	But still, I don't know what's in the future.
context: Is it?\I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future. response:	So I didn't want Tobe to rush to a conclusion...
context: I don't think of it as superficial.\Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion... response:	Pretty selfish thing to say.
context: Right now, the environment I'm in is everything to me.\No, it is superficial.\What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say. response:	That's just for your own convenience.
context: No, it is superficial.\What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience. response:	Then...
context: What about Tobe, then?\I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience.\Then... response:	What about you?
context: I told him over and over to give up.\I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience.\Then...\What about you? response:	What would you do?
context: I can't see Hina opening her heart to him right now.\But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience.\Then...\What about you?\What would you do? response:	What I'd do doesn't matter.
context: But still, I don't know what's in the future.\So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience.\Then...\What about you?\What would you do?\What I'd do doesn't matter. response:	Just thinking If it were me... is a waste of time.
context: So I didn't want Tobe to rush to a conclusion...\Pretty selfish thing to say.\That's just for your own convenience.\Then...\What about you?\What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time. response:	Hayama isn't like me.
context: Pretty selfish thing to say.\That's just for your own convenience.\Then...\What about you?\What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me. response:	Neither is Tobe, of course.
context: That's just for your own convenience.\Then...\What about you?\What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course. response:	How I think or feel means nothing whatsoever,
context: Then...\What about you?\What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever, response:	and it's pointless to talk about.
context: What about you?\What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about. response:	So in other words, you don't want anything to change.
context: What would you do?\What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change. response:	Yeah, that's right.
context: What I'd do doesn't matter.\Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right. response:	You're the last person I wanted to turn to.
context: Just thinking If it were me... is a waste of time.\Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to. response:	The feeling is mutual, idiot.
context: Hayama isn't like me.\Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot. response:	I don't understand what Hayama's trying to protect.
context: Neither is Tobe, of course.\How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect. response:	And I don't need to.
context: How I think or feel means nothing whatsoever,\and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to. response:	That's why there's something I can do.
context: and it's pointless to talk about.\So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do. response:	Tobe.
context: So in other words, you don't want anything to change.\Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do.\Tobe. response:	Uh, Hikitani-kun...
context: Yeah, that's right.\You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do.\Tobe.\Uh, Hikitani-kun... response:	This is nuts! I'm totally freaking out right now!
context: You're the last person I wanted to turn to.\The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do.\Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now! response:	Listen, what'll you do if she rejects you?
context: The feeling is mutual, idiot.\I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do.\Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you? response:	Isn't it kinda harsh to say that before I tell her?
context: I don't understand what Hayama's trying to protect.\And I don't need to.\That's why there's something I can do.\Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her? response:	Just hurry up and answer me.
context: And I don't need to.\That's why there's something I can do.\Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me. response:	Ebina-san will be here soon.
context: That's why there's something I can do.\Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon. response:	I still wouldn't give up!
context: Tobe.\Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up! response:	I'm not a very serious person, you know?
context: Uh, Hikitani-kun...\This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know? response:	But I'm pretty serious about this!
context: This is nuts! I'm totally freaking out right now!\Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this! response:	I see. Then do the best you can, until the very end.
context: Listen, what'll you do if she rejects you?\Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end. response:	Yeah!
context: Isn't it kinda harsh to say that before I tell her?\Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah! response:	You're a good guy after all, Hikitani-kun!
context: Just hurry up and answer me.\Ebina-san will be here soon.\I still wouldn't give up!\I'm not a very serious person, you know?\But I'm pretty serious about this!\I see. Then do the best you can, until the very end.\Yeah!\You're a good guy after all, Hikitani-kun! response:	I am not, idiot!
