context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: Don't mention her.\Did you not feel sad back then?\Why didn't you tell me you were of the Fox Clan?\Generally speaking, I was sad for a period of time.\Now I can't even remember it.\Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine. response:	I no longer hold any resentment for you. There is nothing worth mentioning.
context: Did you not feel sad back then?\Why didn't you tell me you were of the Fox Clan?\Generally speaking, I was sad for a period of time.\Now I can't even remember it.\Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning. response:	A-Yin.
context: Why didn't you tell me you were of the Fox Clan?\Generally speaking, I was sad for a period of time.\Now I can't even remember it.\Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin. response:	I know you blame me.
context: Generally speaking, I was sad for a period of time.\Now I can't even remember it.\Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me. response:	You blame me for not giving the soul jade to you back in Grand Ziming Palace.
context: Now I can't even remember it.\Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace. response:	But I regret it, A-Yin.
context: Since Ghost Lord adores Xuan Nu\then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin. response:	I later went to Kunlun Mountain seeking you
context: then you must adore her character and temperament\and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you response:	but they said you had already...
context: and not her face that is similar to mine.\I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already... response:	You had already left with Mo Yuan's body.
context: I no longer hold any resentment for you. There is nothing worth mentioning.\A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body. response:	High Immortal!
context: A-Yin.\I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body.\High Immortal! response:	You don't look much different.
context: I know you blame me.\You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body.\High Immortal!\You don't look much different. response:	You still look like a child.
context: You blame me for not giving the soul jade to you back in Grand Ziming Palace.\But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body.\High Immortal!\You don't look much different.\You still look like a child. response:	Ghost Lord.
context: But I regret it, A-Yin.\I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body.\High Immortal!\You don't look much different.\You still look like a child.\Ghost Lord. response:	What happened 70,000 years ago was a big mess.
context: I later went to Kunlun Mountain seeking you\but they said you had already...\You had already left with Mo Yuan's body.\High Immortal!\You don't look much different.\You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess. response:	There is no need for you to keep thinking about it every day.
context: but they said you had already...\You had already left with Mo Yuan's body.\High Immortal!\You don't look much different.\You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day. response:	You have a beautiful lady here. Do not keep thinking of the past.
context: You had already left with Mo Yuan's body.\High Immortal!\You don't look much different.\You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past. response:	Farewell.
context: High Immortal!\You don't look much different.\You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell. response:	A-Yin! A-Yin!
context: You don't look much different.\You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin! response:	A-Yin!
context: You still look like a child.\Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin!\A-Yin! response:	A-Yin.
context: Ghost Lord.\What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin!\A-Yin!\A-Yin. response:	If you leave like this, how am I to find you?
context: What happened 70,000 years ago was a big mess.\There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin!\A-Yin!\A-Yin.\If you leave like this, how am I to find you? response:	How am I to find you again?
context: There is no need for you to keep thinking about it every day.\You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin!\A-Yin!\A-Yin.\If you leave like this, how am I to find you?\How am I to find you again? response:	My lord!
context: You have a beautiful lady here. Do not keep thinking of the past.\Farewell.\A-Yin! A-Yin!\A-Yin!\A-Yin.\If you leave like this, how am I to find you?\How am I to find you again?\My lord! response:	My lord.
context: Farewell.\A-Yin! A-Yin!\A-Yin!\A-Yin.\If you leave like this, how am I to find you?\How am I to find you again?\My lord!\My lord. response:	Was that female immortal once your lover as well?
context: A-Yin! A-Yin!\A-Yin!\A-Yin.\If you leave like this, how am I to find you?\How am I to find you again?\My lord!\My lord.\Was that female immortal once your lover as well? response:	Go away.
context: A-Yin!\A-Yin.\If you leave like this, how am I to find you?\How am I to find you again?\My lord!\My lord.\Was that female immortal once your lover as well?\Go away. response:	My lord, I heard your conversation very clearly.
context: A-Yin.\If you leave like this, how am I to find you?\How am I to find you again?\My lord!\My lord.\Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly. response:	She is merely a lover from the past. If it's over, it's over.
context: If you leave like this, how am I to find you?\How am I to find you again?\My lord!\My lord.\Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over. response:	You like female immortals. Well, I am a female immortal.
context: How am I to find you again?\My lord!\My lord.\Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal. response:	Female immortal?
context: My lord!\My lord.\Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal? response:	Don't tell me you want to follow me back to Grand Ziming Palace.
context: My lord.\Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace. response:	Are you aware of this?
context: Was that female immortal once your lover as well?\Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this? response:	The lives of immortals who live in the Ghost Realm for too long are shortened.
context: Go away.\My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened. response:	Did you also know this?
context: My lord, I heard your conversation very clearly.\She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this? response:	The children born from immortals in the Grand Ziming Palace...
context: She is merely a lover from the past. If it's over, it's over.\You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace... response:	are either sick or dead.
context: You like female immortals. Well, I am a female immortal.\Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead. response:	My lord.
context: Female immortal?\Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord. response:	My lord!
context: Don't tell me you want to follow me back to Grand Ziming Palace.\Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord.\My lord! response:	My lord.
context: Are you aware of this?\The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord.\My lord!\My lord. response:	My lord!
context: The lives of immortals who live in the Ghost Realm for too long are shortened.\Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord.\My lord!\My lord.\My lord! response:	Do you truly want to enter the Celestial Palace?
context: Did you also know this?\The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord.\My lord!\My lord.\My lord!\Do you truly want to enter the Celestial Palace? response:	It is my life's wish. Please grant me my wish, my lord.
context: The children born from immortals in the Grand Ziming Palace...\are either sick or dead.\My lord.\My lord!\My lord.\My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord. response:	If you insist, I will have Tian Shu lead you into the palace.
context: are either sick or dead.\My lord.\My lord!\My lord.\My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace. response:	When you have come to your senses, you can leave on your own.
context: My lord.\My lord!\My lord.\My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own. response:	Thank you, Your Highness!
context: My lord!\My lord.\My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness! response:	Father, walk faster!
context: My lord.\My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster! response:	Father, is this where Mother lived for hundreds of thousands of years?
context: My lord!\Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years? response:	That's right.
context: Do you truly want to enter the Celestial Palace?\It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right. response:	I can't believe Mother is so many years older than you, Father.
context: It is my life's wish. Please grant me my wish, my lord.\If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father. response:	Father must be quite regretful
context: If you insist, I will have Tian Shu lead you into the palace.\When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful response:	that you did not get to be with Mother when you were a child.
context: When you have come to your senses, you can leave on your own.\Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child. response:	Your Highness!
context: Thank you, Your Highness!\Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness! response:	Your Highness.
context: Father, walk faster!\Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness. response:	Aunt is not in the Fox Den.
context: Father, is this where Mother lived for hundreds of thousands of years?\That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness.\Aunt is not in the Fox Den. response:	I know she is not back yet.
context: That's right.\I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet. response:	Then does Your Highness know where Aunt has gone?
context: I can't believe Mother is so many years older than you, Father.\Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone? response:	She fled from the North Sea.
context: Father must be quite regretful\that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea. response:	Fled?
context: that you did not get to be with Mother when you were a child.\Your Highness!\Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled? response:	Did Aunt displease someone?
context: Your Highness!\Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled?\Did Aunt displease someone? response:	That shouldn't be.
context: Your Highness.\Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled?\Did Aunt displease someone?\That shouldn't be. response:	She's survived hundreds of millennia to become a high goddess.
context: Aunt is not in the Fox Den.\I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled?\Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess. response:	There isn't anybody she should be afraid of in this world.
context: I know she is not back yet.\Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled?\Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world. response:	What did she flee for?
context: Then does Your Highness know where Aunt has gone?\She fled from the North Sea.\Fled?\Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for? response:	There are some matters I must attend to. I'll be leaving A-Li here for now.
context: She fled from the North Sea.\Fled?\Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now. response:	Imperial great-grandson?
context: Fled?\Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson? response:	You mustn't.
context: Did Aunt displease someone?\That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't. response:	How can I look after the imperial great-grandson by myself?
context: That shouldn't be.\She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself? response:	I'm really easy to look after. Just give me a cup of tea and two books.
context: She's survived hundreds of millennia to become a high goddess.\There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books. response:	Just bring me whatever my mother usually likes to read.
context: There isn't anybody she should be afraid of in this world.\What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read. response:	Your Highness, don't jest.
context: What did she flee for?\There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest. response:	I came to the Fox Den when I was around your age.
context: There are some matters I must attend to. I'll be leaving A-Li here for now.\Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age. response:	I've never left Qing Qiu.
context: Imperial great-grandson?\You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu. response:	How would I know what your mother likes?
context: You mustn't.\How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes? response:	High Goddess Bai Qian is my mother. I'll read what she likes to read.
context: How can I look after the imperial great-grandson by myself?\I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read. response:	When I burned Su Su's belongings...
context: I'm really easy to look after. Just give me a cup of tea and two books.\Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings... response:	the fire would burn in the green color that she likes.
context: Just bring me whatever my mother usually likes to read.\Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes. response:	If it...
context: Your Highness, don't jest.\I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it... response:	Green? It's green!
context: I came to the Fox Den when I was around your age.\I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it...\Green? It's green! response:	How come you still haven't given up?
context: I've never left Qing Qiu.\How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it...\Green? It's green!\How come you still haven't given up? response:	Why is the lamp...
context: How would I know what your mother likes?\High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it...\Green? It's green!\How come you still haven't given up?\Why is the lamp... response:	I thought you had no more of Su Su's possessions?
context: High Goddess Bai Qian is my mother. I'll read what she likes to read.\When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it...\Green? It's green!\How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions? response:	It wasn't easy to bring the flame back! Why did you put it out?
context: When I burned Su Su's belongings...\the fire would burn in the green color that she likes.\If it...\Green? It's green!\How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out? response:	- I no longer need it. - No longer need it?
context: the fire would burn in the green color that she likes.\If it...\Green? It's green!\How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it? response:	I have already found her.
context: If it...\Green? It's green!\How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her. response:	What do you mean by that?
context: Green? It's green!\How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her.\What do you mean by that? response:	Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?
context: How come you still haven't given up?\Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace? response:	Impossible. Unless it wasn't her who jumped off.
context: Why is the lamp...\I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off. response:	Neither.
context: I thought you had no more of Su Su's possessions?\It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither. response:	You're an enigma! Tell me quickly! You're truly killing me with suspense!
context: It wasn't easy to bring the flame back! Why did you put it out?\- I no longer need it. - No longer need it?\I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense! response:	It turns out the reason
context: - I no longer need it. - No longer need it?\I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason response:	the Soul-gathering Lamp was lit for 300 years
context: I have already found her.\What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years response:	but did not create a wisp of a shadow...
context: What do you mean by that?\Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow... response:	is because Su Su's soul was not destroyed.
context: Could it be that the mortal didn't die when she jumped off Zhuxian Terrace?\Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed. response:	She merely forgot about me.
context: Impossible. Unless it wasn't her who jumped off.\Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me. response:	Her soul was not destroyed?
context: Neither.\You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed? response:	How is it possible for a mortal to survive a jump off Zhuxian Terrace?
context: You're an enigma! Tell me quickly! You're truly killing me with suspense!\It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace? response:	Unless she is an immortal.
context: It turns out the reason\the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal. response:	Are you saying she is an immortal?
context: the Soul-gathering Lamp was lit for 300 years\but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal? response:	That's right.
context: but did not create a wisp of a shadow...\is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal?\That's right. response:	Where is she from? Has she never been to Celestial Palace?
context: is because Su Su's soul was not destroyed.\She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace? response:	She is Qing Qiu's queen, High Goddess Bai Qian.
context: She merely forgot about me.\Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian. response:	What did you say?
context: Her soul was not destroyed?\How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say? response:	Do not tell this to anyone yet.
context: How is it possible for a mortal to survive a jump off Zhuxian Terrace?\Unless she is an immortal.\Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet. response:	There are still two things I have yet to figure out.
context: Unless she is an immortal.\Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out. response:	Why did she not have any celestial aura and was left in the Far East?
context: Are you saying she is an immortal?\That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East? response:	Why has she now forgotten about me?
context: That's right.\Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me? response:	Wait, I need some time. I need to think about this.
