context: The land of Flonyard. response:	On this continent, bathed in protective light,
context: The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries! response:	General of the Galette Lion Army Leader of the Knights Bernard Sabrage
context: The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage response:	From Galette, we have their leader of the knights, Bernard Sabrage and...
context: but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and... response:	Thank you.
context: We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you. response:	Next to him, is Leo-sama's personal assistant, Violet-san.
context: and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san. response:	Leader of the Galette Lion Army's Imperial Guard Violet Amaret
context: We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret response:	Hello.
context: Percy Gaudi from the Biscotti National Broadcast!\Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello. response:	Knights of Biscotti Leader of the Knights Rolan Martinozzi
context: Now, all of our wonderful guests we invited from both countries!\General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi response:	From Biscotti, we have their leader of the knights, Rolan Martinozzi.
context: General of the Galette Lion Army Leader of the Knights Bernard Sabrage\From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi. response:	Hello.
context: From Galette, we have their leader of the knights, Bernard Sabrage and...\Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello. response:	Mistress d'Arquien, leader of the Secret Squad.
context: Thank you.\Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad. response:	Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien
context: Next to him, is Leo-sama's personal assistant, Violet-san.\Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien response:	Thank you for having me.
context: Leader of the Galette Lion Army's Imperial Guard Violet Amaret\Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me. response:	With these members on board,
context: Hello.\Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board, response:	we'd now like to bring you the battle live!
context: Knights of Biscotti Leader of the Knights Rolan Martinozzi\From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board,\we'd now like to bring you the battle live! response:	That's right!
context: From Biscotti, we have their leader of the knights, Rolan Martinozzi.\Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board,\we'd now like to bring you the battle live!\That's right! response:	And today's battle is
context: Hello.\Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board,\we'd now like to bring you the battle live!\That's right!\And today's battle is response:	Yes.
context: Mistress d'Arquien, leader of the Secret Squad.\Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board,\we'd now like to bring you the battle live!\That's right!\And today's battle is\Yes. response:	Today's main character, the hero of Biscotti,
context: Knights of Biscotti Leader of the Secret Squad Brioche d'Arquien\Thank you for having me.\With these members on board,\we'd now like to bring you the battle live!\That's right!\And today's battle is\Yes.\Today's main character, the hero of Biscotti, response:	should be arriving shortly.
context: Thank you for having me.\With these members on board,\we'd now like to bring you the battle live!\That's right!\And today's battle is\Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly. response:	Our princess and the leader of the bodyguards are with them, as well.
context: With these members on board,\we'd now like to bring you the battle live!\That's right!\And today's battle is\Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well. response:	Leo-sama is on his way, too.
context: we'd now like to bring you the battle live!\That's right!\And today's battle is\Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too. response:	And, of course, Prince Gaul.
context: That's right!\And today's battle is\Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul. response:	To everyone fighting in the battle right now;
context: And today's battle is\Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now; response:	to the knights, warriors, and regular participants,
context: Yes.\Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants, response:	once the Hero arrives, this arena is going to absolutely explode!
context: Today's main character, the hero of Biscotti,\should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode! response:	We recommend that you gather all the points you can now!
context: should be arriving shortly.\Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now! response:	Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis
context: Our princess and the leader of the bodyguards are with them, as well.\Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis response:	All right, you've been waiting long enough.
context: Leo-sama is on his way, too.\And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough. response:	It's our turn now!
context: And, of course, Prince Gaul.\To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now! response:	Unmatched in battle, Gaul-sama's personal guard!
context: To everyone fighting in the battle right now;\to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard! response:	Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao
context: to the knights, warriors, and regular participants,\once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao response:	Who called us? Who named us?
context: once the Hero arrives, this arena is going to absolutely explode!\We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us? response:	Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton
context: We recommend that you gather all the points you can now!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton response:	Genoise!
context: Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Jaune Clafoutis\All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise! response:	And no matter what they say, he's our prince!
context: All right, you've been waiting long enough.\It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince! response:	Everybody, call him!
context: It's our turn now!\Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince!\Everybody, call him! response:	And a-one...
context: Unmatched in battle, Gaul-sama's personal guard!\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince!\Everybody, call him!\And a-one... response:	Prince Gaul!
context: Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Noir Vinocacao\Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince!\Everybody, call him!\And a-one...\Prince Gaul! response:	Yeah!
context: Who called us? Who named us?\Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince!\Everybody, call him!\And a-one...\Prince Gaul!\Yeah! response:	I'm here!
context: Knights of Galette, Gaul's personal guard Imperial Guard Unit Genoise Vert Far-Breton\Genoise!\And no matter what they say, he's our prince!\Everybody, call him!\And a-one...\Prince Gaul!\Yeah!\I'm here! response:	It's me!
context: Genoise!\And no matter what they say, he's our prince!\Everybody, call him!\And a-one...\Prince Gaul!\Yeah!\I'm here!\It's me! response:	So guys, I heard
context: And no matter what they say, he's our prince!\Everybody, call him!\And a-one...\Prince Gaul!\Yeah!\I'm here!\It's me!\So guys, I heard response:	that stupid hero was coming back to Biscotti today,
context: Everybody, call him!\And a-one...\Prince Gaul!\Yeah!\I'm here!\It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today, response:	and I decided that I'm going to fight him personally!
context: And a-one...\Prince Gaul!\Yeah!\I'm here!\It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally! response:	But he has absolutely no intention
context: Prince Gaul!\Yeah!\I'm here!\It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention response:	of letting him win because it's a welcoming match.
context: Yeah!\I'm here!\It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match. response:	We're gonna give it to both the hero and the knights.
context: I'm here!\It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights. response:	Today's victory's going to Galette again!
context: It's me!\So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again! response:	So, all you Biscottians
context: So guys, I heard\that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians response:	come and get it!
context: that stupid hero was coming back to Biscotti today,\and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians\come and get it! response:	So this is... a war?
context: and I decided that I'm going to fight him personally!\But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians\come and get it!\So this is... a war? response:	That's right!
context: But he has absolutely no intention\of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians\come and get it!\So this is... a war?\That's right! response:	Or, as you would say on Earth,
context: of letting him win because it's a welcoming match.\We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians\come and get it!\So this is... a war?\That's right!\Or, as you would say on Earth, response:	it's an athletic event sponsored by each country
context: We're gonna give it to both the hero and the knights.\Today's victory's going to Galette again!\So, all you Biscottians\come and get it!\So this is... a war?\That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country response:	and involving the general populace.
context: Today's victory's going to Galette again!\So, all you Biscottians\come and get it!\So this is... a war?\That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace. response:	Sink did really great things
context: So, all you Biscottians\come and get it!\So this is... a war?\That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things response:	in these events when he was here last spring.
context: come and get it!\So this is... a war?\That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things\in these events when he was here last spring. response:	He's our, that is to say Biscotti's, hero!
context: So this is... a war?\That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero! response:	Sink... a hero?
context: That's right!\Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero? response:	That's right.
context: Or, as you would say on Earth,\it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right. response:	And as Biscotti's hero, he saved Biscotti.
context: it's an athletic event sponsored by each country\and involving the general populace.\Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti. response:	I can see Sink being able to do well in events like these.
context: and involving the general populace.\Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these. response:	Yes, he proved to be an excellent hero.
context: Sink did really great things\in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero. response:	That's so great. It looks like so much fun!
context: in these events when he was here last spring.\He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun! response:	Then why don't you join?
context: He's our, that is to say Biscotti's, hero!\Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join? response:	Can I?!
context: Sink... a hero?\That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join?\Can I?! response:	To be perfectly honest, that is why we summoned you to our land.
context: That's right.\And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land. response:	Takatsuki Nanami, would you like to try being Galette's hero?
context: And as Biscotti's hero, he saved Biscotti.\I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero? response:	Booyeah, we've cut through their defense!
context: I can see Sink being able to do well in events like these.\Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense! response:	Now it's a straight shot to their stronghold.
context: Yes, he proved to be an excellent hero.\That's so great. It looks like so much fun!\Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold. response:	Troops, charge!
context: That's so great. It looks like so much fun!\Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge! response:	It looks like His Highness Gaul and Genoise are advancing fast!
context: Then why don't you join?\Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast! response:	The stronghold is right there!
context: Can I?!\To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there! response:	It looks like the Biscotti camp is in trouble.
context: To be perfectly honest, that is why we summoned you to our land.\Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble. response:	Emi-rin!
context: Takatsuki Nanami, would you like to try being Galette's hero?\Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin! response:	Are the captain and the hero still not here?
context: Booyeah, we've cut through their defense!\Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here? response:	Don't despair, Ange!
context: Now it's a straight shot to their stronghold.\Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange! response:	I know they will come.
context: Troops, charge!\It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come. response:	Gaul-sama, we're going ahead!
context: It looks like His Highness Gaul and Genoise are advancing fast!\The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead! response:	Took you long enough!
context: The stronghold is right there!\It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead!\Took you long enough! response:	I'm here now!
context: It looks like the Biscotti camp is in trouble.\Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead!\Took you long enough!\I'm here now! response:	H-he...
context: Emi-rin!\Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead!\Took you long enough!\I'm here now!\H-he... response:	Sorry to keep you waiting!
context: Are the captain and the hero still not here?\Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead!\Took you long enough!\I'm here now!\H-he...\Sorry to keep you waiting! response:	I have answered the princess's and your summons...
context: Don't despair, Ange!\I know they will come.\Gaul-sama, we're going ahead!\Took you long enough!\I'm here now!\H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons... response:	Sink, reporting for duty!
context: I know they will come.\Gaul-sama, we're going ahead!\Took you long enough!\I'm here now!\H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty! response:	He's here!
context: Gaul-sama, we're going ahead!\Took you long enough!\I'm here now!\H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty!\He's here! response:	The hero, Sink, has appeared.
context: Took you long enough!\I'm here now!\H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty!\He's here!\The hero, Sink, has appeared. response:	Sink...
context: I'm here now!\H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty!\He's here!\The hero, Sink, has appeared.\Sink... response:	Sink-kun...
context: H-he...\Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty!\He's here!\The hero, Sink, has appeared.\Sink...\Sink-kun... response:	Jaune! Noir! Vert!
context: Sorry to keep you waiting!\I have answered the princess's and your summons...\Sink, reporting for duty!\He's here!\The hero, Sink, has appeared.\Sink...\Sink-kun...\Jaune! Noir! Vert! response:	It's good to see you again.
context: I have answered the princess's and your summons...\Sink, reporting for duty!\He's here!\The hero, Sink, has appeared.\Sink...\Sink-kun...\Jaune! Noir! Vert!\It's good to see you again. response:	As promised, I trained hard.
context: Sink, reporting for duty!\He's here!\The hero, Sink, has appeared.\Sink...\Sink-kun...\Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard. response:	In one moment?
context: He's here!\The hero, Sink, has appeared.\Sink...\Sink-kun...\Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard.\In one moment? response:	I didn't even see it.
context: The hero, Sink, has appeared.\Sink...\Sink-kun...\Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard.\In one moment?\I didn't even see it. response:	He's been training too much.
context: Sink...\Sink-kun...\Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard.\In one moment?\I didn't even see it.\He's been training too much. response:	It's really something.
context: Sink-kun...\Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard.\In one moment?\I didn't even see it.\He's been training too much.\It's really something. response:	It is, but that's not enough to defeat us!
context: Jaune! Noir! Vert!\It's good to see you again.\As promised, I trained hard.\In one moment?\I didn't even see it.\He's been training too much.\It's really something.\It is, but that's not enough to defeat us! response:	It looks like the Genoise are out of the game for now!
context: It's good to see you again.\As promised, I trained hard.\In one moment?\I didn't even see it.\He's been training too much.\It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now! response:	That's what happens when you try to upstage the hero!
context: As promised, I trained hard.\In one moment?\I didn't even see it.\He's been training too much.\It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero! response:	It looks like the leader of Biscotti's Secret Guard
context: In one moment?\I didn't even see it.\He's been training too much.\It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard response:	and the Chief Researcher are both here, too!
context: I didn't even see it.\He's been training too much.\It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too! response:	And...
context: He's been training too much.\It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And... response:	the captain of our imperial guard, Eclair, has arrived as well!
context: It's really something.\It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well! response:	It's been a long time, Sink, Hero of Biscotti.
context: It is, but that's not enough to defeat us!\It looks like the Genoise are out of the game for now!\That's what happens when you try to upstage the hero!\It looks like the leader of Biscotti's Secret Guard\and the Chief Researcher are both here, too!\And...\the captain of our imperial guard, Eclair, has arrived as well!\It's been a long time, Sink, Hero of Biscotti. response:	Your Excellency!
