context: After being separated all of a sudden from Cana, response:	I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.
context: Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course. response:	Let us contact headquarters at once.
context: Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once. response:	This is now beyond our purview.
context: The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview. response:	Give me a little time.
context: led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time. response:	What are you...?
context: The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time.\What are you...? response:	Dranbalt-sama!
context: A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time.\What are you...?\Dranbalt-sama! response:	He even took the communications lacrima with him!
context: They are no longer an opponent that we can handle ourselves.\And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time.\What are you...?\Dranbalt-sama!\He even took the communications lacrima with him! response:	We'll be late contacting headquarters now!
context: And the same goes for Fairy Tail, of course.\Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time.\What are you...?\Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now! response:	What in the world are you thinking, Dranbalt?!
context: Let us contact headquarters at once.\This is now beyond our purview.\Give me a little time.\What are you...?\Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?! response:	Elsewhere in a corner of Tenroujima is Makarov,
context: This is now beyond our purview.\Give me a little time.\What are you...?\Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov, response:	who was gravely injured by Hades in a fierce battle.
context: Give me a little time.\What are you...?\Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle. response:	Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.
context: What are you...?\Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return. response:	Wendy!
context: Dranbalt-sama!\He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy! response:	Natsu-san!
context: He even took the communications lacrima with him!\We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san! response:	Lucy-san, too!
context: We'll be late contacting headquarters now!\What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san!\Lucy-san, too! response:	How's the Master doing?
context: What in the world are you thinking, Dranbalt?!\Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san!\Lucy-san, too!\How's the Master doing? response:	I can't tell yet...
context: Elsewhere in a corner of Tenroujima is Makarov,\who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san!\Lucy-san, too!\How's the Master doing?\I can't tell yet... response:	His wounds are just too severe, I suppose.
context: who was gravely injured by Hades in a fierce battle.\Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san!\Lucy-san, too!\How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose. response:	But it's strange... I don't sense that his life is in danger.
context: Wendy, Lily, and Carla are looking after him, while waiting for Natsu to return.\Wendy!\Natsu-san!\Lucy-san, too!\How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger. response:	Maybe there's some secret to this so-called Sacred Ground...
context: Wendy!\Natsu-san!\Lucy-san, too!\How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground... response:	It's you!
context: Natsu-san!\Lucy-san, too!\How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you! response:	Where'd you run off to, jerk?
context: Lucy-san, too!\How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk? response:	He's Mest, from the Magic Council.
context: How's the Master doing?\I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council. response:	My real name is Dranbalt.
context: I can't tell yet...\His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt. response:	Dranbalt-san?
context: His wounds are just too severe, I suppose.\But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san? response:	You don't need to worry, Wendy.
context: But it's strange... I don't sense that his life is in danger.\Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy. response:	I've come to rescue you!
context: Maybe there's some secret to this so-called Sacred Ground...\It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you! response:	With my magic, I can evacuate just the Fairy Tail members from this island.
context: It's you!\Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island. response:	If you can figure out where everyone is somehow...
context: Where'd you run off to, jerk?\He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow... response:	Gonna have to pass on that.
context: He's Mest, from the Magic Council.\My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that. response:	Why do we have to ask the Magic Council to save us, huh?
context: My real name is Dranbalt.\Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh? response:	This is a problem for our guild, and we're gonna deal with these guys ourselves.
context: Dranbalt-san?\You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves. response:	That's not it!
context: You don't need to worry, Wendy.\I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it! response:	If headquarters finds out what's going on,
context: I've come to rescue you!\With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on, response:	there's a good chance they'll fire on the island!
context: With my magic, I can evacuate just the Fairy Tail members from this island.\If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island! response:	They're gonna shoot Etherion again?!
context: If you can figure out where everyone is somehow...\Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?! response:	Don't you guys ever learn?
context: Gonna have to pass on that.\Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn? response:	Etherion? What's that?
context: Why do we have to ask the Magic Council to save us, huh?\This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that? response:	I've heard rumors...
context: This is a problem for our guild, and we're gonna deal with these guys ourselves.\That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that?\I've heard rumors... response:	It's some destructive magic that's seriously powerful.
context: That's not it!\If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful. response:	It struck us while we were at the Tower of Heaven!
context: If headquarters finds out what's going on,\there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven! response:	I-I'm impressed you're alive...
context: there's a good chance they'll fire on the island!\They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive... response:	Well, a lot happened.
context: They're gonna shoot Etherion again?!\Don't you guys ever learn?\Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened. response:	I'm not sure of the details, but if I recall, lacrima absorbed it all.
context: Don't you guys ever learn?\Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all. response:	This guild just faces crises wherever it goes, doesn't it?
context: Etherion? What's that?\I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it? response:	If they fire that on us now...
context: I've heard rumors...\It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now... response:	We can't be sure what will happen, can we?
context: It's some destructive magic that's seriously powerful.\It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we? response:	Then we just have to finish things up first.
context: It struck us while we were at the Tower of Heaven!\I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first. response:	Makarov's down! And Grimoire Heart still has fearsome people left!
context: I-I'm impressed you're alive...\Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left! response:	There's no way you can win!
context: Well, a lot happened.\I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win! response:	Hey, now... So that's why you're gonna blow up the whole island?
context: I'm not sure of the details, but if I recall, lacrima absorbed it all.\This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island? response:	This island is our guild's sacred ground!
context: This guild just faces crises wherever it goes, doesn't it?\If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground! response:	The grave of the founding master is here, too!
context: If they fire that on us now...\We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too! response:	I couldn't take you attacking this place...
context: We can't be sure what will happen, can we?\Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place... response:	I can't believe this!
context: Then we just have to finish things up first.\Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this! response:	If you do that, you won't get away with it!
context: Makarov's down! And Grimoire Heart still has fearsome people left!\There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it! response:	We're gonna protect the guild!
context: There's no way you can win!\Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild! response:	Trying to threaten us? The Magic Council?
context: Hey, now... So that's why you're gonna blow up the whole island?\This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council? response:	You're just some wizard guild!
context: This island is our guild's sacred ground!\The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild! response:	Now listen carefully, you!
context: The grave of the founding master is here, too!\I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you! response:	I don't give a crap whether it's Grimoire Heart or the Magic Council.
context: I couldn't take you attacking this place...\I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council. response:	Anyone who lays a hand on our guild is the enemy.
context: I can't believe this!\If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy. response:	I'll destroy them all!
context: If you do that, you won't get away with it!\We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all! response:	This air... I feel a storm coming.
context: We're gonna protect the guild!\Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming. response:	Juvia!
context: Trying to threaten us? The Magic Council?\You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming.\Juvia! response:	Putting aside the fact we used up our magic power for the exam,
context: You're just some wizard guild!\Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam, response:	I can't believe we're having such a hard time when it's two against one!
context: Now listen carefully, you!\I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one! response:	Number 13.
context: I don't give a crap whether it's Grimoire Heart or the Magic Council.\Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13. response:	Stand back. I will defeat her.
context: Anyone who lays a hand on our guild is the enemy.\I'll destroy them all!\This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her. response:	Erza Scarlet... You are number 4.
context: I'll destroy them all!\This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4. response:	Number 4 of what?
context: This air... I feel a storm coming.\Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what? response:	The fourth most important member to kill, by my reckoning.
context: Juvia!\Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning. response:	Foolishness.
context: Putting aside the fact we used up our magic power for the exam,\I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness. response:	It is quite important.
context: I can't believe we're having such a hard time when it's two against one!\Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important. response:	Why are you aiming for Juvia?!
context: Number 13.\Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important.\Why are you aiming for Juvia?! response:	Number 13 is weak trash,
context: Stand back. I will defeat her.\Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash, response:	so better to clean it up first!
context: Erza Scarlet... You are number 4.\Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first! response:	Juvia is...
context: Number 4 of what?\The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first!\Juvia is... response:	Hang in there, Juvia!
context: The fourth most important member to kill, by my reckoning.\Foolishness.\It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first!\Juvia is...\Hang in there, Juvia! response:	Number 3 is Gildarts, but he no longer seems to be on the island.
context: Foolishness.\It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first!\Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island. response:	Number 2 is Makarov, however he seems to have been defeated by Lord Hades.
context: It is quite important.\Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first!\Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades. response:	The master is number 2?!
context: Why are you aiming for Juvia?!\Number 13 is weak trash,\so better to clean it up first!\Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?! response:	Are you saying there's someone more important than the master?
context: Number 13 is weak trash,\so better to clean it up first!\Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master? response:	Number 1 is Gray.
context: so better to clean it up first!\Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray. response:	Gray Fullbuster!
context: Juvia is...\Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster! response:	What?
context: Hang in there, Juvia!\Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster!\What? response:	Why Gray?
context: Number 3 is Gildarts, but he no longer seems to be on the island.\Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster!\What?\Why Gray? response:	He's... the man who killed Ultear's mother.
context: Number 2 is Makarov, however he seems to have been defeated by Lord Hades.\The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster!\What?\Why Gray?\He's... the man who killed Ultear's mother. response:	He caused Ultear to suffer!
context: The master is number 2?!\Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster!\What?\Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer! response:	He's the man who hurt my Ultear!
context: Are you saying there's someone more important than the master?\Number 1 is Gray.\Gray Fullbuster!\What?\Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear! response:	I'll never forgive him! I'll tear him limb from limb!
context: Number 1 is Gray.\Gray Fullbuster!\What?\Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb! response:	Drat!
context: Gray Fullbuster!\What?\Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat! response:	Never forgive?
context: What?\Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive? response:	That is Juvia's line.
context: Why Gray?\He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive?\That is Juvia's line. response:	Whose life were you planning to take, was it?
context: He's... the man who killed Ultear's mother.\He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it? response:	What's with her? She's only number 13.
context: He caused Ultear to suffer!\He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13. response:	C-Calm down, Juvia!
context: He's the man who hurt my Ultear!\I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia! response:	Calm... down?
context: I'll never forgive him! I'll tear him limb from limb!\Drat!\Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down? response:	This woman is aiming for Gray-sama.
context: Drat!\Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama. response:	And for some irrational reason.
context: Never forgive?\That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason. response:	Um, but...
context: That is Juvia's line.\Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but... response:	Do you think... Juvia can stay calm?
context: Whose life were you planning to take, was it?\What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm? response:	Juvia will never forgive this girl!
context: What's with her? She's only number 13.\C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl! response:	Water Nebula!
context: C-Calm down, Juvia!\Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula! response:	Juvia...
context: Calm... down?\This woman is aiming for Gray-sama.\And for some irrational reason.\Um, but...\Do you think... Juvia can stay calm?\Juvia will never forgive this girl!\Water Nebula!\Juvia... response:	She's like a totally different person than the one I fought during the exam.
