context: This shell can only be broken by those who go on adventures. response:	Level 6?
context: Get a hold of yourself!\Lili...\Lili!\I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it. response:	There was a minotaur with a huge sword on the ninth floor.
context: Lili...\Lili!\I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor. response:	Could it be a survivor from last time?
context: Lili!\I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time? response:	I doubt it.
context: I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it. response:	It's been a month, and there's been no minotaur sightings.
context: Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings. response:	Either way, I'm glad you guys are safe.
context: Firebolt! Firebolt! Firebolt!\A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe. response:	What about other adventurers?
context: A minotaur appeared?\Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers? response:	There's one under attack in a chamber that's pretty far back.
context: Yeah, I'm sure of it.\There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back. response:	It's that white-haired kid. I'm sure by now
context: There was a minotaur with a huge sword on the ninth floor.\Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now response:	Aiz!
context: Could it be a survivor from last time?\I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz! response:	Hey! This is an expedition, y'know!
context: I doubt it.\It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know! response:	Bete! Tiona!
context: It's been a month, and there's been no minotaur sightings.\Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona! response:	Sorry, Raul. Can you handle things here?
context: Either way, I'm glad you guys are safe.\What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here? response:	Okay!
context: What about other adventurers?\There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay! response:	This is just like last time.
context: There's one under attack in a chamber that's pretty far back.\It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay!\This is just like last time. response:	You're a coward, aren't you?
context: It's that white-haired kid. I'm sure by now\Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay!\This is just like last time.\You're a coward, aren't you? response:	He's going to kill me sooner or later.
context: Aiz!\Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay!\This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later. response:	I need to find a chance to escape.
context: Hey! This is an expedition, y'know!\Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay!\This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape. response:	Bell... Bell-sama!
context: Bete! Tiona!\Sorry, Raul. Can you handle things here?\Okay!\This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama! response:	Lili!
context: Sorry, Raul. Can you handle things here?\Okay!\This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama!\Lili! response:	Lili, run!
context: Okay!\This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama!\Lili!\Lili, run! response:	Run!
context: This is just like last time.\You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama!\Lili!\Lili, run!\Run! response:	No!
context: You're a coward, aren't you?\He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama!\Lili!\Lili, run!\Run!\No! response:	Run!
context: He's going to kill me sooner or later.\I need to find a chance to escape.\Bell... Bell-sama!\Lili!\Lili, run!\Run!\No!\Run! response:	I can't!
context: I need to find a chance to escape.\Bell... Bell-sama!\Lili!\Lili, run!\Run!\No!\Run!\I can't! response:	Just get going!
context: Bell... Bell-sama!\Lili!\Lili, run!\Run!\No!\Run!\I can't!\Just get going! response:	This is for the best.
context: Lili!\Lili, run!\Run!\No!\Run!\I can't!\Just get going!\This is for the best. response:	Now I'll be able to escape, too...
context: Lili, run!\Run!\No!\Run!\I can't!\Just get going!\This is for the best.\Now I'll be able to escape, too... response:	No, I can't!
context: Run!\No!\Run!\I can't!\Just get going!\This is for the best.\Now I'll be able to escape, too...\No, I can't! response:	If I let him get past me right now, Lili will die!
context: No!\Run!\I can't!\Just get going!\This is for the best.\Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die! response:	Damn it!
context: Run!\I can't!\Just get going!\This is for the best.\Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die!\Damn it! response:	If I just dodge, if I make it a contest of speed, I can keep up!
context: I can't!\Just get going!\This is for the best.\Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up! response:	I'll keep dodging his attacks.
context: Just get going!\This is for the best.\Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks. response:	Even if it's miserable or pathetic!
context: This is for the best.\Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic! response:	I just need to buy time!
context: Now I'll be able to escape, too...\No, I can't!\If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time! response:	Are you okay?
context: No, I can't!\If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time!\Are you okay? response:	Are you all right?
context: If I let him get past me right now, Lili will die!\Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time!\Are you okay?\Are you all right? response:	You did your best. I'll save you now.
context: Damn it!\If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time!\Are you okay?\Are you all right?\You did your best. I'll save you now. response:	Save...
context: If I just dodge, if I make it a contest of speed, I can keep up!\I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time!\Are you okay?\Are you all right?\You did your best. I'll save you now.\Save... response:	I'm going to be saved?
context: I'll keep dodging his attacks.\Even if it's miserable or pathetic!\I just need to buy time!\Are you okay?\Are you all right?\You did your best. I'll save you now.\Save...\I'm going to be saved? response:	Again? By her?
context: Even if it's miserable or pathetic!\I just need to buy time!\Are you okay?\Are you all right?\You did your best. I'll save you now.\Save...\I'm going to be saved?\Again? By her? response:	The same way?
context: I just need to buy time!\Are you okay?\Are you all right?\You did your best. I'll save you now.\Save...\I'm going to be saved?\Again? By her?\The same way? response:	Just the same thing again?
context: Are you okay?\Are you all right?\You did your best. I'll save you now.\Save...\I'm going to be saved?\Again? By her?\The same way?\Just the same thing again? response:	Who?
context: Are you all right?\You did your best. I'll save you now.\Save...\I'm going to be saved?\Again? By her?\The same way?\Just the same thing again?\Who? response:	Me?
context: You did your best. I'll save you now.\Save...\I'm going to be saved?\Again? By her?\The same way?\Just the same thing again?\Who?\Me? response:	If I don't stand up here...
context: Save...\I'm going to be saved?\Again? By her?\The same way?\Just the same thing again?\Who?\Me?\If I don't stand up here... response:	If I don't reach higher here...
context: I'm going to be saved?\Again? By her?\The same way?\Just the same thing again?\Who?\Me?\If I don't stand up here...\If I don't reach higher here... response:	When am I ever going to do it?
context: Again? By her?\The same way?\Just the same thing again?\Who?\Me?\If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it? response:	There you are, Aiz!
context: The same way?\Just the same thing again?\Who?\Me?\If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz! response:	What are you doing?
context: Just the same thing again?\Who?\Me?\If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz!\What are you doing? response:	I can't...
context: Who?\Me?\If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz!\What are you doing?\I can't... response:	I can't let Aiz Wallenstein save me again!
context: Me?\If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz!\What are you doing?\I can't...\I can't let Aiz Wallenstein save me again! response:	Today, for the first time...
context: If I don't stand up here...\If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz!\What are you doing?\I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time... response:	I'm going to have an adventure.
context: If I don't reach higher here...\When am I ever going to do it?\There you are, Aiz!\What are you doing?\I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure. response:	Well, it's against the rules to steal somebody else's target in a dungeon.
context: When am I ever going to do it?\There you are, Aiz!\What are you doing?\I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon. response:	Hey, is that the tomato kid?
context: There you are, Aiz!\What are you doing?\I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid? response:	Wow! I guess he's got a thing for minotaurs!
context: What are you doing?\I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs! response:	The one Aiz saved?
context: I can't...\I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved? response:	Yeah.
context: I can't let Aiz Wallenstein save me again!\Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah. response:	I bet Horn-head over there wanted to see the tomato boy
context: Today, for the first time...\I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy response:	so bad he came all the way up here!
context: I'm going to have an adventure.\Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here! response:	That's not funny, Bete.
context: Well, it's against the rules to steal somebody else's target in a dungeon.\Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete. response:	I'm sure he doesn't want to be saved again.
context: Hey, is that the tomato kid?\Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again. response:	Not by the girl who saw him looking so pathetic
context: Wow! I guess he's got a thing for minotaurs!\The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic response:	last time, just like this!
context: The one Aiz saved?\Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this! response:	You sure about this?
context: Yeah.\I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this? response:	That kid's level 1, right?
context: I bet Horn-head over there wanted to see the tomato boy\so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this?\That kid's level 1, right? response:	He's not going to survive.
context: so bad he came all the way up here!\That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this?\That kid's level 1, right?\He's not going to survive. response:	Leave the kid alone, Tiona.
context: That's not funny, Bete.\I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this?\That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona. response:	He's being a man right now.
context: I'm sure he doesn't want to be saved again.\Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this?\That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now. response:	If I was him, and I got saved again, I'd want to kill myself.
context: Not by the girl who saw him looking so pathetic\last time, just like this!\You sure about this?\That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself. response:	Please...
context: last time, just like this!\You sure about this?\That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please... response:	Great adventurers... Please save Bell-sama.
context: You sure about this?\That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama. response:	Hey, let me go!
context: That kid's level 1, right?\He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama.\Hey, let me go! response:	Please!
context: He's not going to survive.\Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama.\Hey, let me go!\Please! response:	You shouldn't move yet, little prum.
context: Leave the kid alone, Tiona.\He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama.\Hey, let me go!\Please!\You shouldn't move yet, little prum. response:	It took all of your strength just to come here with us.
context: He's being a man right now.\If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama.\Hey, let me go!\Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us. response:	I'll repay you.
context: If I was him, and I got saved again, I'd want to kill myself.\Please...\Great adventurers... Please save Bell-sama.\Hey, let me go!\Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you. response:	I'll do anything.
context: Please...\Great adventurers... Please save Bell-sama.\Hey, let me go!\Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you.\I'll do anything. response:	Anything!
context: Great adventurers... Please save Bell-sama.\Hey, let me go!\Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you.\I'll do anything.\Anything! response:	So save Bell-sama!
context: Hey, let me go!\Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you.\I'll do anything.\Anything!\So save Bell-sama! response:	Please...
context: Please!\You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you.\I'll do anything.\Anything!\So save Bell-sama!\Please... response:	Bell-sama... Bell-sama...
context: You shouldn't move yet, little prum.\It took all of your strength just to come here with us.\I'll repay you.\I'll do anything.\Anything!\So save Bell-sama!\Please...\Bell-sama... Bell-sama... response:	You're going?
context: It took all of your strength just to come here with us.\I'll repay you.\I'll do anything.\Anything!\So save Bell-sama!\Please...\Bell-sama... Bell-sama...\You're going? response:	Don't get the wrong idea.
context: I'll repay you.\I'll do anything.\Anything!\So save Bell-sama!\Please...\Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea. response:	I don't like saving chumps.
context: I'll do anything.\Anything!\So save Bell-sama!\Please...\Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea.\I don't like saving chumps. response:	But I don't like the idea being a chump who picks on wimps even more.
context: Anything!\So save Bell-sama!\Please...\Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more. response:	Move, Aiz.
context: So save Bell-sama!\Please...\Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz. response:	I'm handling this.
context: Please...\Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this. response:	Isn't he level 1?
context: Bell-sama... Bell-sama...\You're going?\Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this.\Isn't he level 1? response:	A month ago, to Bete's eyes, he seemed completely inexperienced.
context: You're going?\Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced. response:	Am I wrong?
context: Don't get the wrong idea.\I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong? response:	What the hell happened?
context: I don't like saving chumps.\But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened? response:	This is my adventure.
context: But I don't like the idea being a chump who picks on wimps even more.\Move, Aiz.\I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened?\This is my adventure. response:	I want to be...
context: Move, Aiz.\I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened?\This is my adventure.\I want to be... response:	I want to be a hero!
context: I'm handling this.\Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened?\This is my adventure.\I want to be...\I want to be a hero! response:	Like the Argonaut...
context: Isn't he level 1?\A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened?\This is my adventure.\I want to be...\I want to be a hero!\Like the Argonaut... response:	It's the story of a boy who wants to be a hero, yeah.
context: A month ago, to Bete's eyes, he seemed completely inexperienced.\Am I wrong?\What the hell happened?\This is my adventure.\I want to be...\I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah. response:	I liked that story, too.
context: Am I wrong?\What the hell happened?\This is my adventure.\I want to be...\I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too. response:	Beautiful...
context: What the hell happened?\This is my adventure.\I want to be...\I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful... response:	What a beautiful sight.
context: This is my adventure.\I want to be...\I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful...\What a beautiful sight. response:	What the heck is that knife?
context: I want to be...\I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful...\What a beautiful sight.\What the heck is that knife? response:	It's well-made, yes.
context: I want to be a hero!\Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful...\What a beautiful sight.\What the heck is that knife?\It's well-made, yes. response:	But that's not all.
context: Like the Argonaut...\It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful...\What a beautiful sight.\What the heck is that knife?\It's well-made, yes.\But that's not all. response:	It's his own skills.
context: It's the story of a boy who wants to be a hero, yeah.\I liked that story, too.\Beautiful...\What a beautiful sight.\What the heck is that knife?\It's well-made, yes.\But that's not all.\It's his own skills. response:	He's holding his own very well.
context: I liked that story, too.\Beautiful...\What a beautiful sight.\What the heck is that knife?\It's well-made, yes.\But that's not all.\It's his own skills.\He's holding his own very well. response:	But he can't land a blow.
context: Beautiful...\What a beautiful sight.\What the heck is that knife?\It's well-made, yes.\But that's not all.\It's his own skills.\He's holding his own very well.\But he can't land a blow. response:	It's hard to cut a minotaur's flesh.
context: What a beautiful sight.\What the heck is that knife?\It's well-made, yes.\But that's not all.\It's his own skills.\He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh. response:	Bell-sama...
context: What the heck is that knife?\It's well-made, yes.\But that's not all.\It's his own skills.\He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama... response:	Firebolt!
context: It's well-made, yes.\But that's not all.\It's his own skills.\He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt! response:	He didn't chant anything for that spell!
context: But that's not all.\It's his own skills.\He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt!\He didn't chant anything for that spell! response:	Yeah. But he's up against a bad opponent for that.
context: It's his own skills.\He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that. response:	It's not strong enough.
context: He's holding his own very well.\But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough. response:	Then he's done for?
context: But he can't land a blow.\It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for? response:	So young.
context: It's hard to cut a minotaur's flesh.\Bell-sama...\Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for?\So young. response:	That idiot.
context: Bell-sama...\Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for?\So young.\That idiot. response:	Bell-sama!
context: Firebolt!\He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for?\So young.\That idiot.\Bell-sama! response:	It's all right.
context: He didn't chant anything for that spell!\Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for?\So young.\That idiot.\Bell-sama!\It's all right. response:	Firebolt!
context: Yeah. But he's up against a bad opponent for that.\It's not strong enough.\Then he's done for?\So young.\That idiot.\Bell-sama!\It's all right.\Firebolt! response:	Firebolt!
context: It's not strong enough.\Then he's done for?\So young.\That idiot.\Bell-sama!\It's all right.\Firebolt!\Firebolt! response:	Firebolt!
context: Then he's done for?\So young.\That idiot.\Bell-sama!\It's all right.\Firebolt!\Firebolt!\Firebolt! response:	Bell-sama...
context: So young.\That idiot.\Bell-sama!\It's all right.\Firebolt!\Firebolt!\Firebolt!\Bell-sama... response:	That bastard pulled it off.
context: That idiot.\Bell-sama!\It's all right.\Firebolt!\Firebolt!\Firebolt!\Bell-sama...\That bastard pulled it off. response:	He passed out on his feet.
context: Bell-sama!\It's all right.\Firebolt!\Firebolt!\Firebolt!\Bell-sama...\That bastard pulled it off.\He passed out on his feet. response:	Mind zero.
context: It's all right.\Firebolt!\Firebolt!\Firebolt!\Bell-sama...\That bastard pulled it off.\He passed out on his feet.\Mind zero. response:	Bell-sama! Bell-sama!
context: Firebolt!\Firebolt!\Firebolt!\Bell-sama...\That bastard pulled it off.\He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama! response:	Bell-sama!
context: Firebolt!\Firebolt!\Bell-sama...\That bastard pulled it off.\He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama!\Bell-sama! response:	Riveria, what's his status?
context: Firebolt!\Bell-sama...\That bastard pulled it off.\He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status? response:	You want me to look without permission?
context: Bell-sama...\That bastard pulled it off.\He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status?\You want me to look without permission? response:	He's basically begging for us to take a look, isn't he?
context: That bastard pulled it off.\He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he? response:	What are his stats? Tell me already!
context: He passed out on his feet.\Mind zero.\Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already! response:	All abilities are rank S.
context: Mind zero.\Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S. response:	What's his name?
context: Bell-sama! Bell-sama!\Bell-sama!\Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S.\What's his name? response:	Bell.
context: Bell-sama!\Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S.\What's his name?\Bell. response:	Bell Cranel.
context: Riveria, what's his status?\You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S.\What's his name?\Bell.\Bell Cranel. response:	You did well today.
context: You want me to look without permission?\He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S.\What's his name?\Bell.\Bell Cranel.\You did well today. response:	Congratulations.
context: He's basically begging for us to take a look, isn't he?\What are his stats? Tell me already!\All abilities are rank S.\What's his name?\Bell.\Bell Cranel.\You did well today.\Congratulations. response:	Goddess,
context: What are his stats? Tell me already!\All abilities are rank S.\What's his name?\Bell.\Bell Cranel.\You did well today.\Congratulations.\Goddess, response:	This is...
context: All abilities are rank S.\What's his name?\Bell.\Bell Cranel.\You did well today.\Congratulations.\Goddess,\This is... response:	The first page of our story.
