context: It's time for the ever-popular segment... response:	Let's start with the first postcard.
context: Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?!\No way!\I-I've failed! response:	I do apologize, Lucy-dono...
context: Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?!\No way!\I-I've failed!\I do apologize, Lucy-dono... response:	Sagittarius...
context: Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?!\No way!\I-I've failed!\I do apologize, Lucy-dono...\Sagittarius... response:	Gate of the Scorpion, I open thee!
context: Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?!\No way!\I-I've failed!\I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee! response:	Scorpio!
context: Dadasturn!\He kicked them back?!\No way!\I-I've failed!\I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio! response:	We are!
context: He kicked them back?!\No way!\I-I've failed!\I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio!\We are! response:	Leave this to me! Yeah!
context: No way!\I-I've failed!\I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Leave this to me! Yeah! response:	Anyway, I'm on vacation with Aquarius right now.
context: I-I've failed!\I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now. response:	I'll finish this up quick and get right back to her, yeah!
context: I do apologize, Lucy-dono...\Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah! response:	Oh, really?
context: Sagittarius...\Gate of the Scorpion, I open thee!\Scorpio!\We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really? response:	T-Tell her I said hi,'kay?
context: Gate of the Scorpion, I open thee!\Scorpio!\We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay? response:	I'm a little scared about afterwards, though.
context: Scorpio!\We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though. response:	On vacation with your girlfriend?!
context: We are!\Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?! response:	I'm not jealous in the slightest, got it?
context: Leave this to me! Yeah!\Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it? response:	Sand Buster!
context: Anyway, I'm on vacation with Aquarius right now.\I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster! response:	Show me some tastier Spirits than this sandy scorpion, okay?
context: I'll finish this up quick and get right back to her, yeah!\Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay? response:	Impossible? My sand was just...
context: Oh, really?\T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just... response:	Nothing is working!
context: T-Tell her I said hi,'kay?\I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working! response:	If sand won't work, I don't have any reason to be here.
context: I'm a little scared about afterwards, though.\On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here. response:	There you have it!
context: On vacation with your girlfriend?!\I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it! response:	What's with this guy?
context: I'm not jealous in the slightest, got it?\Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy? response:	Mr. Cursey still has my hair in him.
context: Sand Buster!\Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy?\Mr. Cursey still has my hair in him. response:	So if I change the material that Mr. Cursey is made out of...
context: Show me some tastier Spirits than this sandy scorpion, okay?\Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of... response:	It changes yourself, too?!
context: Impossible? My sand was just...\Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?! response:	Mr. Cursey, change!
context: Nothing is working!\If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change! response:	From iron, to...
context: If sand won't work, I don't have any reason to be here.\There you have it!\What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change!\From iron, to... response:	Shining Sumo Push!
context: There you have it!\What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change!\From iron, to...\Shining Sumo Push! response:	I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.
context: What's with this guy?\Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change!\From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful. response:	Now out with something tastier!
context: Mr. Cursey still has my hair in him.\So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change!\From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier! response:	In that case, a Spirit like this might actually work.
context: So if I change the material that Mr. Cursey is made out of...\It changes yourself, too?!\Mr. Cursey, change!\From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work. response:	Gate of the Lesser Dog, I open thee!
context: It changes yourself, too?!\Mr. Cursey, change!\From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee! response:	Nicolas!
context: Mr. Cursey, change!\From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas! response:	So cute!
context: From iron, to...\Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas!\So cute! response:	People say I'm cute, but this guy's at another level!
context: Shining Sumo Push!\I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas!\So cute!\People say I'm cute, but this guy's at another level! response:	Hand him over!
context: I might not look like it, but I'm one of the 7 Kin of Purgatory... I'm powerful.\Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas!\So cute!\People say I'm cute, but this guy's at another level!\Hand him over! response:	That made things worse!
context: Now out with something tastier!\In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas!\So cute!\People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse! response:	Cancer, handle this!
context: In that case, a Spirit like this might actually work.\Gate of the Lesser Dog, I open thee!\Nicolas!\So cute!\People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse!\Cancer, handle this! response:	Been a good while-ebi.
context: Gate of the Lesser Dog, I open thee!\Nicolas!\So cute!\People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse!\Cancer, handle this!\Been a good while-ebi. response:	It's a crab!
context: Nicolas!\So cute!\People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse!\Cancer, handle this!\Been a good while-ebi.\It's a crab! response:	You don't call me much, so I'd thought you'd forgotten about me-ebi.
context: So cute!\People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse!\Cancer, handle this!\Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi. response:	So, how would you like your hair-ebi?
context: People say I'm cute, but this guy's at another level!\Hand him over!\That made things worse!\Cancer, handle this!\Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi? response:	You really don't get the situation, do you?
context: Hand him over!\That made things worse!\Cancer, handle this!\Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you? response:	He's your opponent.
context: That made things worse!\Cancer, handle this!\Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent. response:	Why is he readying a pot of boiling water-ebi?
context: Cancer, handle this!\Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi? response:	Whatever, just give him such an embarrassing cut he can't show his head in public!
context: Been a good while-ebi.\It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public! response:	Okay-ebi!
context: It's a crab!\You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi! response:	Ebi!
context: You don't call me much, so I'd thought you'd forgotten about me-ebi.\So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi! response:	Ebi!
context: So, how would you like your hair-ebi?\You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi!\Ebi! response:	Embarrassing-ebi!
context: You really don't get the situation, do you?\He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi!\Ebi!\Embarrassing-ebi! response:	What-ebi?
context: He's your opponent.\Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi!\Ebi!\Embarrassing-ebi!\What-ebi? response:	No way! My special scissors-ebi!
context: Why is he readying a pot of boiling water-ebi?\Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi!\Ebi!\Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi! response:	My bristles aren't so weak.
context: Whatever, just give him such an embarrassing cut he can't show his head in public!\Okay-ebi!\Ebi!\Ebi!\Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak. response:	Now that's some crazy hair-ebi!
context: Okay-ebi!\Ebi!\Ebi!\Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi! response:	Ebi!
context: Ebi!\Ebi!\Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi! response:	Alright, then... Please, Aries!
context: Ebi!\Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries! response:	Okay! I'll try my best!
context: Embarrassing-ebi!\What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best! response:	You're mine!
context: What-ebi?\No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine! response:	I-I'm sorry...
context: No way! My special scissors-ebi!\My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine!\I-I'm sorry... response:	W-Why are you apologizing?
context: My bristles aren't so weak.\Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine!\I-I'm sorry...\W-Why are you apologizing? response:	Because... I'm going to cause you trouble...
context: Now that's some crazy hair-ebi!\Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine!\I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble... response:	I'm sorry!!
context: Ebi!\Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine!\I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!! response:	Wait!
context: Alright, then... Please, Aries!\Okay! I'll try my best!\You're mine!\I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!!\Wait! response:	You silly... I never thought that you... were a burden.
context: Okay! I'll try my best!\You're mine!\I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!!\Wait!\You silly... I never thought that you... were a burden. response:	Really?
context: You're mine!\I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!!\Wait!\You silly... I never thought that you... were a burden.\Really? response:	Really!
context: I-I'm sorry...\W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!!\Wait!\You silly... I never thought that you... were a burden.\Really?\Really! response:	Can I leap into your arms?
context: W-Why are you apologizing?\Because... I'm going to cause you trouble...\I'm sorry!!\Wait!\You silly... I never thought that you... were a burden.\Really?\Really!\Can I leap into your arms? response:	Into my arms? Seriously?!
context: Because... I'm going to cause you trouble...\I'm sorry!!\Wait!\You silly... I never thought that you... were a burden.\Really?\Really!\Can I leap into your arms?\Into my arms? Seriously?! response:	I'm sorry!
context: I'm sorry!!\Wait!\You silly... I never thought that you... were a burden.\Really?\Really!\Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry! response:	Now, come to me...
context: Wait!\You silly... I never thought that you... were a burden.\Really?\Really!\Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry!\Now, come to me... response:	You've always been such a baby...
context: You silly... I never thought that you... were a burden.\Really?\Really!\Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry!\Now, come to me...\You've always been such a baby... response:	We might've just met, but... I'm sorry?
context: Really?\Really!\Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry!\Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry? response:	Do it now.
context: Really!\Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry!\Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now. response:	Wool Bomb!
context: Can I leap into your arms?\Into my arms? Seriously?!\I'm sorry!\Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now.\Wool Bomb! response:	Did I do it right?
context: Into my arms? Seriously?!\I'm sorry!\Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now.\Wool Bomb!\Did I do it right? response:	It's fine... Where did you get such acting chops?
context: I'm sorry!\Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now.\Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops? response:	Oh, that was Leo.
context: Now, come to me...\You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now.\Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo. response:	Listen up, Aries.
context: You've always been such a baby...\We might've just met, but... I'm sorry?\Do it now.\Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries. response:	All men are simpletons, so you can be of help to Lucy this way.
context: We might've just met, but... I'm sorry?\Do it now.\Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way. response:	N-No comment.
context: Do it now.\Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment. response:	Is my devotion such a burden?!
context: Wool Bomb!\Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?! response:	He's angry!
context: Did I do it right?\It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?!\He's angry! response:	My Spirit combo's been wiped out!
context: It's fine... Where did you get such acting chops?\Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out! response:	I'm sorry!
context: Oh, that was Leo.\Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out!\I'm sorry! response:	Okay, enough playing around.
context: Listen up, Aries.\All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around. response:	I'm going to get serious now.
context: All men are simpletons, so you can be of help to Lucy this way.\N-No comment.\Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around.\I'm going to get serious now. response:	Change Mr. Cursey's material to cotton!
context: N-No comment.\Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton! response:	I'll finish you with this!
context: Is my devotion such a burden?!\He's angry!\My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this! response:	Change myself to iron!
context: He's angry!\My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron! response:	Natsu, hang in there!
context: My Spirit combo's been wiped out!\I'm sorry!\Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron!\Natsu, hang in there! response:	Don't get all upset.
context: I'm sorry!\Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron!\Natsu, hang in there!\Don't get all upset. response:	That didn't work on me at all.
context: Okay, enough playing around.\I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron!\Natsu, hang in there!\Don't get all upset.\That didn't work on me at all. response:	I've got to pay you back for Galuna Island.
context: I'm going to get serious now.\Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron!\Natsu, hang in there!\Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island. response:	Beating you too quickly would be boring.
context: Change Mr. Cursey's material to cotton!\I'll finish you with this!\Change myself to iron!\Natsu, hang in there!\Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring. response:	Play with me a little longer, would you?
context: I'll finish you with this!\Change myself to iron!\Natsu, hang in there!\Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you? response:	She's way stronger than she was before!
context: Change myself to iron!\Natsu, hang in there!\Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before! response:	I didn't use even half of my power back then.
context: Natsu, hang in there!\Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then. response:	Time to get crushed!
context: Don't get all upset.\That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed! response:	Move it!
context: That didn't work on me at all.\I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed!\Move it! response:	What?
context: I've got to pay you back for Galuna Island.\Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed!\Move it!\What? response:	Natsu?
context: Beating you too quickly would be boring.\Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed!\Move it!\What?\Natsu? response:	Lucy? Why are you here?
context: Play with me a little longer, would you?\She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed!\Move it!\What?\Natsu?\Lucy? Why are you here? response:	Same to you, Natsu!
context: She's way stronger than she was before!\I didn't use even half of my power back then.\Time to get crushed!\Move it!\What?\Natsu?\Lucy? Why are you here?\Same to you, Natsu! response:	But thanks to it, I'm saved.
context: I didn't use even half of my power back then.\Time to get crushed!\Move it!\What?\Natsu?\Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved. response:	Lucy came flyin' in from over there... real ugly-like.
context: Time to get crushed!\Move it!\What?\Natsu?\Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like. response:	Is there any other way to get sent flying?
context: Move it!\What?\Natsu?\Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying? response:	Kain, what are you doing here?
context: What?\Natsu?\Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here? response:	Ultear-san...
context: Natsu?\Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san... response:	I was chasing that woman.
context: Lucy? Why are you here?\Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san...\I was chasing that woman. response:	Natsu, you're fighting, too?
context: Same to you, Natsu!\But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too? response:	She's mine. You can't have her!
context: But thanks to it, I'm saved.\Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her! response:	I don't want her!
context: Lucy came flyin' in from over there... real ugly-like.\Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her! response:	She's crazy strong!
context: Is there any other way to get sent flying?\Kain, what are you doing here?\Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her!\She's crazy strong! response:	Even Natsu's having a hard time.
context: Kain, what are you doing here?\Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her!\She's crazy strong!\Even Natsu's having a hard time. response:	No, I'm not!
context: Ultear-san...\I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her!\She's crazy strong!\Even Natsu's having a hard time.\No, I'm not! response:	I'm gonna beat her!
context: I was chasing that woman.\Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her!\She's crazy strong!\Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her! response:	But, there are two enemies now.
context: Natsu, you're fighting, too?\She's mine. You can't have her!\I don't want her!\She's crazy strong!\Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her!\But, there are two enemies now. response:	But there are two of us now, too.
context: She's mine. You can't have her!\I don't want her!\She's crazy strong!\Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too. response:	For now, let's forget we're rivals in the exam...
context: I don't want her!\She's crazy strong!\Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam... response:	We'll reform the team!
context: She's crazy strong!\Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team! response:	Yeah!
context: Even Natsu's having a hard time.\No, I'm not!\I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah! response:	This combination brings back the memories...
context: No, I'm not!\I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah!\This combination brings back the memories... response:	Yeah! Makes you remember the time we met.
context: I'm gonna beat her!\But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met. response:	I'm all fired up!
context: But, there are two enemies now.\But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up! response:	Let's do this, Lucy!
context: But there are two of us now, too.\For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy! response:	Let's go, Natsu!
context: For now, let's forget we're rivals in the exam...\We'll reform the team!\Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu! response:	I'm here, too!
context: We'll reform the team!\Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu!\I'm here, too! response:	They're like some happy couple! How dare they!
