context: Onii-chan! response:	Come on, how long are you going to stay in bed?
context: I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch? response:	They talk about them on TV sometimes.
context: Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes. response:	Don't become like them.
context: The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them. response:	Right, Dad?
context: Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them.\Right, Dad? response:	Right.
context: Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them.\Right, Dad?\Right. response:	Don't go polluting your mind with that filth.
context: What are you talking about?\Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them.\Right, Dad?\Right.\Don't go polluting your mind with that filth. response:	Okay.
context: Well it sounded interesting, so I thought I might try it.\Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them.\Right, Dad?\Right.\Don't go polluting your mind with that filth.\Okay. response:	I guess that reaction rules them out.
context: Isn't that what those otaku people watch?\They talk about them on TV sometimes.\Don't become like them.\Right, Dad?\Right.\Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out. response:	Which means...
context: They talk about them on TV sometimes.\Don't become like them.\Right, Dad?\Right.\Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out.\Which means... response:	What's wrong, Kirino?
context: Don't become like them.\Right, Dad?\Right.\Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out.\Which means...\What's wrong, Kirino? response:	Thanks for the meal!
context: Right, Dad?\Right.\Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out.\Which means...\What's wrong, Kirino?\Thanks for the meal! response:	No way...
context: Right.\Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out.\Which means...\What's wrong, Kirino?\Thanks for the meal!\No way... response:	Alright then...
context: Don't go polluting your mind with that filth.\Okay.\I guess that reaction rules them out.\Which means...\What's wrong, Kirino?\Thanks for the meal!\No way...\Alright then... response:	I guess I'll head to the convenience store...
context: Okay.\I guess that reaction rules them out.\Which means...\What's wrong, Kirino?\Thanks for the meal!\No way...\Alright then...\I guess I'll head to the convenience store... response:	No way...
context: I guess that reaction rules them out.\Which means...\What's wrong, Kirino?\Thanks for the meal!\No way...\Alright then...\I guess I'll head to the convenience store...\No way... response:	No way!
context: Which means...\What's wrong, Kirino?\Thanks for the meal!\No way...\Alright then...\I guess I'll head to the convenience store...\No way...\No way! response:	Hey.
context: What's wrong, Kirino?\Thanks for the meal!\No way...\Alright then...\I guess I'll head to the convenience store...\No way...\No way!\Hey. response:	What are you doing?
context: Thanks for the meal!\No way...\Alright then...\I guess I'll head to the convenience store...\No way...\No way!\Hey.\What are you doing? response:	Who cares what I'm doing?
context: No way...\Alright then...\I guess I'll head to the convenience store...\No way...\No way!\Hey.\What are you doing?\Who cares what I'm doing? response:	I care!! This is my room!
context: Alright then...\I guess I'll head to the convenience store...\No way...\No way!\Hey.\What are you doing?\Who cares what I'm doing?\I care!! This is my room! response:	Move.
context: I guess I'll head to the convenience store...\No way...\No way!\Hey.\What are you doing?\Who cares what I'm doing?\I care!! This is my room!\Move. response:	Answer my question.
context: No way...\No way!\Hey.\What are you doing?\Who cares what I'm doing?\I care!! This is my room!\Move.\Answer my question. response:	Move!
context: No way!\Hey.\What are you doing?\Who cares what I'm doing?\I care!! This is my room!\Move.\Answer my question.\Move! response:	This is what you're looking for, right?
context: Hey.\What are you doing?\Who cares what I'm doing?\I care!! This is my room!\Move.\Answer my question.\Move!\This is what you're looking for, right? response:	So it is yours!
context: What are you doing?\Who cares what I'm doing?\I care!! This is my room!\Move.\Answer my question.\Move!\This is what you're looking for, right?\So it is yours! response:	What are you talking about?
context: Who cares what I'm doing?\I care!! This is my room!\Move.\Answer my question.\Move!\This is what you're looking for, right?\So it is yours!\What are you talking about? response:	There's no way I'd watch an anime like that!
context: I care!! This is my room!\Move.\Answer my question.\Move!\This is what you're looking for, right?\So it is yours!\What are you talking about?\There's no way I'd watch an anime like that! response:	Your actions don't match your words!
context: Move.\Answer my question.\Move!\This is what you're looking for, right?\So it is yours!\What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words! response:	If you weren't looking for this, what were you doing in my room?
context: Answer my question.\Move!\This is what you're looking for, right?\So it is yours!\What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room? response:	I was...
context: Move!\This is what you're looking for, right?\So it is yours!\What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was... response:	I was...
context: This is what you're looking for, right?\So it is yours!\What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was...\I was... response:	I was...
context: So it is yours!\What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was...\I was...\I was... response:	Here, take it.
context: What are you talking about?\There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was...\I was...\I was...\Here, take it. response:	I said it's not
context: There's no way I'd watch an anime like that!\Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was...\I was...\I was...\Here, take it.\I said it's not response:	Then throw it away for me.
context: Your actions don't match your words!\If you weren't looking for this, what were you doing in my room?\I was...\I was...\I was...\Here, take it.\I said it's not\Then throw it away for me. response:	Huh?
context: If you weren't looking for this, what were you doing in my room?\I was...\I was...\I was...\Here, take it.\I said it's not\Then throw it away for me.\Huh? response:	Sorry, I guess I misunderstood.
context: I was...\I was...\I was...\Here, take it.\I said it's not\Then throw it away for me.\Huh?\Sorry, I guess I misunderstood. response:	It's not yours then.
context: I was...\I was...\Here, take it.\I said it's not\Then throw it away for me.\Huh?\Sorry, I guess I misunderstood.\It's not yours then. response:	I don't want to carry it around though, so throw it away for me please.
context: I was...\Here, take it.\I said it's not\Then throw it away for me.\Huh?\Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please. response:	F-Fine...
context: Here, take it.\I said it's not\Then throw it away for me.\Huh?\Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine... response:	Do you think it's weird?
context: I said it's not\Then throw it away for me.\Huh?\Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird? response:	I said, i-if this were actually mine,
context: Then throw it away for me.\Huh?\Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird?\I said, i-if this were actually mine, response:	would you think that's weird?
context: Huh?\Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird? response:	Why would I think that's weird?
context: Sorry, I guess I misunderstood.\It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird? response:	Really?
context: It's not yours then.\I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird?\Really? response:	Yeah.
context: I don't want to carry it around though, so throw it away for me please.\F-Fine...\Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird?\Really?\Yeah. response:	It doesn't matter what hobbies you have.
context: F-Fine...\Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird?\Really?\Yeah.\It doesn't matter what hobbies you have. response:	I wouldn't make fun of you.
context: Do you think it's weird?\I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird?\Really?\Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you. response:	I see.
context: I said, i-if this were actually mine,\would you think that's weird?\Why would I think that's weird?\Really?\Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see. response:	What's with her?
context: would you think that's weird?\Why would I think that's weird?\Really?\Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see.\What's with her? response:	Oh crap, I forgot about the ice cream...
context: Why would I think that's weird?\Really?\Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see.\What's with her?\Oh crap, I forgot about the ice cream... response:	What are you
context: Really?\Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see.\What's with her?\Oh crap, I forgot about the ice cream...\What are you response:	Be quiet.
context: Yeah.\It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see.\What's with her?\Oh crap, I forgot about the ice cream...\What are you\Be quiet. response:	Wh-What are you doing?
context: It doesn't matter what hobbies you have.\I wouldn't make fun of you.\I see.\What's with her?\Oh crap, I forgot about the ice cream...\What are you\Be quiet.\Wh-What are you doing? response:	I-I need to talk to you.
context: I wouldn't make fun of you.\I see.\What's with her?\Oh crap, I forgot about the ice cream...\What are you\Be quiet.\Wh-What are you doing?\I-I need to talk to you. response:	Come to my room.
context: I see.\What's with her?\Oh crap, I forgot about the ice cream...\What are you\Be quiet.\Wh-What are you doing?\I-I need to talk to you.\Come to my room. response:	Can this wait till tomorrow?
context: What's with her?\Oh crap, I forgot about the ice cream...\What are you\Be quiet.\Wh-What are you doing?\I-I need to talk to you.\Come to my room.\Can this wait till tomorrow? response:	No.
context: Oh crap, I forgot about the ice cream...\What are you\Be quiet.\Wh-What are you doing?\I-I need to talk to you.\Come to my room.\Can this wait till tomorrow?\No. response:	Don't stare at everything.
context: What are you\Be quiet.\Wh-What are you doing?\I-I need to talk to you.\Come to my room.\Can this wait till tomorrow?\No.\Don't stare at everything. response:	I'm not staring!
context: Be quiet.\Wh-What are you doing?\I-I need to talk to you.\Come to my room.\Can this wait till tomorrow?\No.\Don't stare at everything.\I'm not staring! response:	So, what did you want to talk about?
context: Wh-What are you doing?\I-I need to talk to you.\Come to my room.\Can this wait till tomorrow?\No.\Don't stare at everything.\I'm not staring!\So, what did you want to talk about? response:	Hurry up or I'm out of here.
context: I-I need to talk to you.\Come to my room.\Can this wait till tomorrow?\No.\Don't stare at everything.\I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here. response:	You said earlier...
context: Come to my room.\Can this wait till tomorrow?\No.\Don't stare at everything.\I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier... response:	Even if I had stuff like that, you wouldn't make fun of me.
context: Can this wait till tomorrow?\No.\Don't stare at everything.\I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me. response:	Huh? Yeah...
context: No.\Don't stare at everything.\I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah... response:	Like, really really?
context: Don't stare at everything.\I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really? response:	No questions?
context: I'm not staring!\So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really?\No questions? response:	Once is enough. I won't.
context: So, what did you want to talk about?\Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really?\No questions?\Once is enough. I won't. response:	If you're lying, I'll kill you.
context: Hurry up or I'm out of here.\You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really?\No questions?\Once is enough. I won't.\If you're lying, I'll kill you. response:	She'll kill me?
context: You said earlier...\Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really?\No questions?\Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me? response:	Uh
context: Even if I had stuff like that, you wouldn't make fun of me.\Huh? Yeah...\Like, really really?\No questions?\Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me?\Uh response:	eling.
context: Huh? Yeah...\Like, really really?\No questions?\Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me?\Uh\eling. response:	What? I didn't hear that.
context: Like, really really?\No questions?\Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me?\Uh\eling.\What? I didn't hear that. response:	I want some life counseling!
context: No questions?\Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me?\Uh\eling.\What? I didn't hear that.\I want some life counseling! response:	Life counseling?
context: Once is enough. I won't.\If you're lying, I'll kill you.\She'll kill me?\Uh\eling.\What? I didn't hear that.\I want some life counseling!\Life counseling? response:	You?
context: If you're lying, I'll kill you.\She'll kill me?\Uh\eling.\What? I didn't hear that.\I want some life counseling!\Life counseling?\You? response:	From me?
context: She'll kill me?\Uh\eling.\What? I didn't hear that.\I want some life counseling!\Life counseling?\You?\From me? response:	You have a closet?!
context: Uh\eling.\What? I didn't hear that.\I want some life counseling!\Life counseling?\You?\From me?\You have a closet?! response:	This room was originally Japanese-style.
context: eling.\What? I didn't hear that.\I want some life counseling!\Life counseling?\You?\From me?\You have a closet?!\This room was originally Japanese-style. response:	It's probably left over from the remodeling.
context: What? I didn't hear that.\I want some life counseling!\Life counseling?\You?\From me?\You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling. response:	So I turned it into this.
context: I want some life counseling!\Life counseling?\You?\From me?\You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this. response:	Y-You... th-this
context: Life counseling?\You?\From me?\You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this response:	Wh-What is this?!
context: You?\From me?\You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this\Wh-What is this?! response:	Oh, that's the PC version.
context: From me?\You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this\Wh-What is this?!\Oh, that's the PC version. response:	It originally came out on PS2, but it turned into a completely different series after the port.
context: You have a closet?!\This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this\Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port. response:	It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.
context: This room was originally Japanese-style.\It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this\Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur. response:	I didn't ask about that!
context: It's probably left over from the remodeling.\So I turned it into this.\Y-You... th-this\Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that! response:	By the way, I have everything before it too.
context: So I turned it into this.\Y-You... th-this\Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too. response:	And what's that about amateurs?
context: Y-You... th-this\Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs? response:	Are you a pro? A professional?!
context: Wh-What is this?!\Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?! response:	Here we go...
context: Oh, that's the PC version.\It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?!\Here we go... response:	This is series 3, Super Sister-in-Law.
context: It originally came out on PS2, but it turned into a completely different series after the port.\It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law. response:	Series 2, Playing with Younger Sisters.
context: It's a masterpiece, but it's a bit hard, so I wouldn't recommend it to an amateur.\I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters. response:	Series 9, Tengen Toppa 12 Sisters.
context: I didn't ask about that!\By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters. response:	Series 16, Saishuu Heiki Imouto.
context: By the way, I have everything before it too.\And what's that about amateurs?\Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto. response:	Are these all PC games?
context: And what's that about amateurs?\Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games? response:	Right.
context: Are you a pro? A professional?!\Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right. response:	Why are the boxes so big?
context: Here we go...\This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right.\Why are the boxes so big? response:	There are small ones too.
context: This is series 3, Super Sister-in-Law.\Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right.\Why are the boxes so big?\There are small ones too. response:	But these are the ones that go mainstream.
context: Series 2, Playing with Younger Sisters.\Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right.\Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream. response:	They're a completely different experience on the screen.
context: Series 9, Tengen Toppa 12 Sisters.\Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right.\Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen. response:	They catch your eye even if it's only by mail order.
context: Series 16, Saishuu Heiki Imouto.\Are these all PC games?\Right.\Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order. response:	Eroge are a race against the release.
context: Are these all PC games?\Right.\Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release. response:	Sorry, I have no clue what you're talking about.
context: Right.\Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about. response:	What's this?
context: Why are the boxes so big?\There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this? response:	A special edition anime DVD box.
context: There are small ones too.\But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box. response:	Special edition?
context: But these are the ones that go mainstream.\They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box.\Special edition? response:	A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!
context: They're a completely different experience on the screen.\They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff! response:	And special booklets and mini-dramas and limited edition figures!
context: They catch your eye even if it's only by mail order.\Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures! response:	Amazing, right?
context: Eroge are a race against the release.\Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right? response:	That... Stardust Meruru whatever thing?
context: Sorry, I have no clue what you're talking about.\What's this?\A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing? response:	Stardust Witch Meruru!
context: What's this?\A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru! response:	It's insulting if you don't get it right!
context: A special edition anime DVD box.\Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right! response:	To who?
context: Special edition?\A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right!\To who? response:	This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.
context: A re-edited complete version of the TV broadcast and unaired episodes on bonus disks and stuff!\And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray. response:	Why did you buy this many copies of the same thing?!
context: And special booklets and mini-dramas and limited edition figures!\Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?! response:	As an offering!
context: Amazing, right?\That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering! response:	I seriously don't get anything you're saying.
context: That... Stardust Meruru whatever thing?\Stardust Witch Meruru!\It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying. response:	Okay, calm down.
context: Stardust Witch Meruru!\It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying.\Okay, calm down. response:	Try to understand this situation.
context: It's insulting if you don't get it right!\To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation. response:	This is my sister's room.
context: To who?\This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation.\This is my sister's room. response:	I'm so proud of my collection!
context: This is the broadcast version, this is the popular box, R1 version, R1 popular box, and Blu-Ray.\Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation.\This is my sister's room.\I'm so proud of my collection! response:	My sister is in front of me,
context: Why did you buy this many copies of the same thing?!\As an offering!\I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation.\This is my sister's room.\I'm so proud of my collection!\My sister is in front of me, response:	along with a mountain of eroge and anime DVDs.
context: As an offering!\I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation.\This is my sister's room.\I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs. response:	Aren't these things expensive?
context: I seriously don't get anything you're saying.\Okay, calm down.\Try to understand this situation.\This is my sister's room.\I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive? response:	Kind of, I guess.
context: Okay, calm down.\Try to understand this situation.\This is my sister's room.\I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess. response:	This was Y41,970, and this was Y55,000.
context: Try to understand this situation.\This is my sister's room.\I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000. response:	That's hella expensive!
context: This is my sister's room.\I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive! response:	You're a middle schooler!
context: I'm so proud of my collection!\My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler! response:	Where did you get that kind of money?!
context: My sister is in front of me,\along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?! response:	Royalties, obviously.
context: along with a mountain of eroge and anime DVDs.\Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously. response:	What?
context: Aren't these things expensive?\Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously.\What? response:	You're a model?
context: Kind of, I guess.\This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously.\What?\You're a model? response:	Yeah.
context: This was Y41,970, and this was Y55,000.\That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously.\What?\You're a model?\Yeah. response:	I had no idea...
context: That's hella expensive!\You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously.\What?\You're a model?\Yeah.\I had no idea... response:	Isn't this a major magazine?
context: You're a middle schooler!\Where did you get that kind of money?!\Royalties, obviously.\What?\You're a model?\Yeah.\I had no idea...\Isn't this a major magazine? response:	Are you like, amazing or something?
