context: Weve fought under gravity several times now, remember? response:	You judge a man by his looks”!
context: ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth... response:	Pleguzes Jiart...
context: What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart... response:	Just how far can his eyes see into the future?
context: Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future? response:	I imagine the Wulgaru fleet were currently facing on the frontlines
context: Understood.\I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines response:	is a diversion meant to draw our attention.
context: I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention. response:	I think their real target is Earth.
context: and see to it that you are sent to Earth.\But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth. response:	Isnt this the first time theyve landed a direct attack on Earth?
context: But I must take other measures, just in case.\To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth? response:	I hope everyone evacuates in time...
context: To think that he had foreseen that I may not land on Earth...\Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time... response:	We just received some new information from Commander Simon.
context: Pleguzes Jiart...\Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon. response:	The commander of the enemys infiltration squad is Klein.
context: Just how far can his eyes see into the future?\I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein. response:	Supposedly he is one of the Wulgarus Military Commanders.
context: I imagine the Wulgaru fleet were currently facing on the frontlines\is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders. response:	A Military Commander?
context: is a diversion meant to draw our attention.\I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander? response:	Whats that? Sounds kinda tough!
context: I think their real target is Earth.\Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough! response:	Once youve entered combat air space, launch out of your cockpits.
context: Isnt this the first time theyve landed a direct attack on Earth?\I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits. response:	After that, our main ship will engage in artillery combat.
context: I hope everyone evacuates in time...\We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat. response:	Everyone, prepare to sortie.
context: We just received some new information from Commander Simon.\The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie. response:	Here are the routes we expect the enemy to take to Earth.
context: The commander of the enemys infiltration squad is Klein.\Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth. response:	Its hard to say whether we can catch up with them or not.
context: Supposedly he is one of the Wulgarus Military Commanders.\A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not. response:	In the end, they may breach the earths atmosphere.
context: A Military Commander?\Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere. response:	The GDFs reserve fleet has reached the first line of defense.
context: Whats that? Sounds kinda tough!\Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense. response:	They will engage in combat.
context: Once youve entered combat air space, launch out of your cockpits.\After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat. response:	Do you think those measly ships are enough to stop me?
context: After that, our main ship will engage in artillery combat.\Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me? response:	Speed up! Were gonna send these wimps reeling!
context: Everyone, prepare to sortie.\Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling! response:	Topeka of the GDF squadron Providence has been severely damaged!
context: Here are the routes we expect the enemy to take to Earth.\Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged! response:	Galveston and Little Rock have been destroyed.
context: Its hard to say whether we can catch up with them or not.\In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed. response:	The enemy fleet hasnt suffered any losses!
context: In the end, they may breach the earths atmosphere.\The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses! response:	They will enter range within 20 seconds.
context: The GDFs reserve fleet has reached the first line of defense.\They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds. response:	All ships, prepare to launch an assault.
context: They will engage in combat.\Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault. response:	You are free to use all of your artillery.
context: Do you think those measly ships are enough to stop me?\Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery. response:	Commence fire once enemy fighters are within range.
context: Speed up! Were gonna send these wimps reeling!\Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range. response:	Your targets are the enemy squad on track for Earth!
context: Topeka of the GDF squadron Providence has been severely damaged!\Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth! response:	The enemy fighters seem to have rather advance evasion systems.
context: Galveston and Little Rock have been destroyed.\The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems. response:	Im not sure if well hit them...
context: The enemy fleet hasnt suffered any losses!\They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them... response:	We dont have to hit them.
context: They will enter range within 20 seconds.\All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them. response:	We just have to slow them down a bit.
context: All ships, prepare to launch an assault.\You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit. response:	I never expected our main ship to engage in actual combat...
context: You are free to use all of your artillery.\Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat... response:	That goes to show how dire the situation is.
context: Commence fire once enemy fighters are within range.\Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is. response:	Depending on how things go, we may find ourselves
context: Your targets are the enemy squad on track for Earth!\The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves response:	strapped to a gun.
context: The enemy fighters seem to have rather advance evasion systems.\Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun. response:	That isnt funny!
context: Im not sure if well hit them...\We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny! response:	I always get a Rank C at target practice.
context: We dont have to hit them.\We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny!\I always get a Rank C at target practice. response:	All ships, blast off!
context: We just have to slow them down a bit.\I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny!\I always get a Rank C at target practice.\All ships, blast off! response:	Reinforcements?
context: I never expected our main ship to engage in actual combat...\That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny!\I always get a Rank C at target practice.\All ships, blast off!\Reinforcements? response:	But I dont have time to play with them!
context: That goes to show how dire the situation is.\Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny!\I always get a Rank C at target practice.\All ships, blast off!\Reinforcements?\But I dont have time to play with them! response:	Youre in the way!
context: Depending on how things go, we may find ourselves\strapped to a gun.\That isnt funny!\I always get a Rank C at target practice.\All ships, blast off!\Reinforcements?\But I dont have time to play with them!\Youre in the way! response:	The enemy squad has suffered minor damages!
context: strapped to a gun.\That isnt funny!\I always get a Rank C at target practice.\All ships, blast off!\Reinforcements?\But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages! response:	The enemies are moving at high speeds,
context: That isnt funny!\I always get a Rank C at target practice.\All ships, blast off!\Reinforcements?\But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds, response:	allowing them to dodge our attacks.
context: I always get a Rank C at target practice.\All ships, blast off!\Reinforcements?\But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks. response:	Even when we do hit them, it doesnt do anything.
context: All ships, blast off!\Reinforcements?\But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything. response:	As suspected, it looks like they are equipped with
context: Reinforcements?\But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with response:	high-performance defense systems.
context: But I dont have time to play with them!\Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems. response:	Yeah... Theyll get away if we use normal shells and artillery.
context: Youre in the way!\The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery. response:	But that might work...
context: The enemy squad has suffered minor damages!\The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work... response:	Do you have an idea?
context: The enemies are moving at high speeds,\allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea? response:	I modified the weapon we used at Ceres.
context: allowing them to dodge our attacks.\Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea?\I modified the weapon we used at Ceres. response:	Its a powerful long-range optical weapon
context: Even when we do hit them, it doesnt do anything.\As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon response:	that pierces through objects at the speed of light.
context: As suspected, it looks like they are equipped with\high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light. response:	But Im afraid the enemy will notice before we can fire a shot
context: high-performance defense systems.\Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot response:	if we dont snipe from a substantial distance.
context: Yeah... Theyll get away if we use normal shells and artillery.\But that might work...\Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance. response:	Crap! At this rate, theyre gonna break through.
context: But that might work...\Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through. response:	But their speed has definitely dropped.
context: Do you have an idea?\I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped. response:	If they maintain this pace, we should make it in time.
context: I modified the weapon we used at Ceres.\Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time. response:	We have to stop the Wulgaru!
context: Its a powerful long-range optical weapon\that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru! response:	We cant let them lay a single finger on our old school.
context: that pierces through objects at the speed of light.\But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school. response:	Your assignment is to evaluate yourself and then surpass yourself.
context: But Im afraid the enemy will notice before we can fire a shot\if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself. response:	Youve reached the designated airspace!
context: if we dont snipe from a substantial distance.\Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace! response:	Team Rabbits, prepare to sortie.
context: Crap! At this rate, theyre gonna break through.\But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie. response:	But we are going to change Gold 4s armament.
context: But their speed has definitely dropped.\If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament. response:	Were changing it?
context: If they maintain this pace, we should make it in time.\We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it? response:	Team Rabbits, blast off!
context: We have to stop the Wulgaru!\We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off! response:	Go to Hell!
context: We cant let them lay a single finger on our old school.\Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off!\Go to Hell! response:	You still havent seen nothin yet!
context: Your assignment is to evaluate yourself and then surpass yourself.\Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet! response:	I dare you to come at me all at once, you pathetic wimps!
context: Youve reached the designated airspace!\Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps! response:	Even in mass, youre nothing before the great Black 6!
context: Team Rabbits, prepare to sortie.\But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6! response:	Thats one feisty pilot, huh?
context: But we are going to change Gold 4s armament.\Were changing it?\Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh? response:	Supposedly this is Ange Kurokis fighting style.
context: Were changing it?\Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style. response:	Compared to him, Patrick is...
context: Team Rabbits, blast off!\Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is... response:	Tamaki isnt coming, is she...?
context: Go to Hell!\You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...? response:	Get yer act together, Patrick!
context: You still havent seen nothin yet!\I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick! response:	What happened to all that vigor you had just a minute ago?
context: I dare you to come at me all at once, you pathetic wimps!\Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago? response:	It looks like Im the type that uses love as energy in my fights...
context: Even in mass, youre nothing before the great Black 6!\Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights... response:	Go meet your maker!
context: Thats one feisty pilot, huh?\Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker! response:	Oh, Tamaki...
context: Supposedly this is Ange Kurokis fighting style.\Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki... response:	Dang, theyre the polar opposites.
context: Compared to him, Patrick is...\Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites. response:	Black 6, huh?
context: Tamaki isnt coming, is she...?\Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh? response:	I hope this is the only time we have to
context: Get yer act together, Patrick!\What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to response:	fight alongside someone like him.
context: What happened to all that vigor you had just a minute ago?\It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him. response:	They dived into inner space!
context: It looks like Im the type that uses love as energy in my fights...\Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space! response:	Lets go after them!
context: Go meet your maker!\Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space!\Lets go after them! response:	Wait! Were outfitted for fighting in outer space.
context: Oh, Tamaki...\Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space. response:	If we get caught in Earths gravity,
context: Dang, theyre the polar opposites.\Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity, response:	well become shooting stars and get burned to a crisp!
context: Black 6, huh?\I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp! response:	Red 5 and Blue 1,
context: I hope this is the only time we have to\fight alongside someone like him.\They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1, response:	use Rose 3 as a shield and descend to Earth.
context: fight alongside someone like him.\They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth. response:	Will that actually work?
context: They dived into inner space!\Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work? response:	Rose 3 is capable of entering the earths atmosphere in its basic form.
context: Lets go after them!\Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form. response:	If you cling to the back of Rose 3 while its shield is up,
context: Wait! Were outfitted for fighting in outer space.\If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up, response:	Blue 1 and Red 5 should be able to handle the entry.
context: If we get caught in Earths gravity,\well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry. response:	Purple 2, stay there on standby.
