context: Once upon a time, there was a maiden in love. response:	I want to tell my beloved how I feel, but my love might be over the moment I say it.
context: Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince... response:	I wonder what kind of person Bottom-san is.
context: But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is. response:	Are you agonizing over your love?
context: I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love? response:	Are you Bottom...san?
context: Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san? response:	A donkey!
context: Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san?\A donkey! response:	I'm Bottom, friend of all those who are in love.
context: What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love. response:	So, where's your letter?
context: Could it be... that something is happening because a new heart shard returned to him?\I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter? response:	Oh...
context: I have to overcome the raven's blood, if I'm a proud prince...\I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh... response:	It's... not a tail zura.
context: I wonder what kind of person Bottom-san is.\Are you agonizing over your love?\Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh...\It's... not a tail zura. response:	Where's your tail zura?
context: Are you agonizing over your love?\Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh...\It's... not a tail zura.\Where's your tail zura? response:	What?!
context: Are you Bottom...san?\A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh...\It's... not a tail zura.\Where's your tail zura?\What?! response:	Oh, Bottom-san!
context: A donkey!\I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh...\It's... not a tail zura.\Where's your tail zura?\What?!\Oh, Bottom-san! response:	Donkey-lonkey, lovey-dovey, donkey...
context: I'm Bottom, friend of all those who are in love.\So, where's your letter?\Oh...\It's... not a tail zura.\Where's your tail zura?\What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey... response:	Bottom-san! Bottom-san!
context: So, where's your letter?\Oh...\It's... not a tail zura.\Where's your tail zura?\What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san! response:	Bottom-san?
context: Oh...\It's... not a tail zura.\Where's your tail zura?\What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san? response:	You've got it all wrong! I'm definitely not Bottom!
context: It's... not a tail zura.\Where's your tail zura?\What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom! response:	I've got nothing to do with letters!
context: Where's your tail zura?\What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters! response:	Aren't you that upperclassman...
context: What?!\Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman... response:	You found me out.
context: Oh, Bottom-san!\Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out. response:	I'm Hermia.
context: Donkey-lonkey, lovey-dovey, donkey...\Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out.\I'm Hermia. response:	Don't tell anyone, okay? I'll be sure to deliver this letter.
context: Bottom-san! Bottom-san!\Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter. response:	Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...
context: Bottom-san?\You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like... response:	Oh, my.
context: You've got it all wrong! I'm definitely not Bottom!\I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my. response:	Oh, I'm Duck!
context: I've got nothing to do with letters!\Aren't you that upperclassman...\You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck! response:	Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.
context: Aren't you that upperclassman...\You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time. response:	I can't confess my love. There are some circumstances that prevent it.
context: You found me out.\I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it. response:	I see...
context: I'm Hermia.\Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see... response:	Um, Hermia-san, do you know people's feelings?
context: Don't tell anyone, okay? I'll be sure to deliver this letter.\Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings? response:	What?
context: Oh, no, that's okay! My friend wrote it for me, but she's got the wrong idea about which person I like...\Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings?\What? response:	Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.
context: Oh, my.\Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them. response:	Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.
context: Oh, I'm Duck!\Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart. response:	Wow...
context: Ahiru-san, huh? Well, then, when you've written your real letter, bring it to me any time.\I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow... response:	I'm tall, you know?
context: I can't confess my love. There are some circumstances that prevent it.\I see...\Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know? response:	So I'm always the one furthest to the back of the corps.
context: I see...\Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps. response:	But one day, I noticed that I could see the feeling of being in love on everyone's backs.
context: Um, Hermia-san, do you know people's feelings?\What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs. response:	The heartrending feelings of people in love.
context: What?\Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love. response:	Love is a wonderful thing, but it also makes people suffer and be sad, right?
context: Oh! Well, I wouldn't say I know them; it's more like sometimes I sense them.\Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right? response:	So everyone has a hard time saying I love you, and they're all keeping their feelings inside.
context: Like, Ah, this person is in love, or She looks lonely; maybe she has a broken heart.\Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside. response:	I thought I'd at least like to help those people.
context: Wow...\I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people. response:	I see...
context: I'm tall, you know?\So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see... response:	But you know, lately it's all letters to Mytho-sama.
context: So I'm always the one furthest to the back of the corps.\But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama. response:	To Mytho?
context: But one day, I noticed that I could see the feeling of being in love on everyone's backs.\The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho? response:	Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...
context: The heartrending feelings of people in love.\Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned... response:	Do you see Mytho every day, Hermia-san?
context: Love is a wonderful thing, but it also makes people suffer and be sad, right?\So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san? response:	Yes. Well, actually, Mytho-sama comes to me.
context: So everyone has a hard time saying I love you, and they're all keeping their feelings inside.\I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me. response:	So then, do you know something about Mytho's feelings?
context: I thought I'd at least like to help those people.\I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings? response:	Huh?
context: I see...\But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh? response:	Anything is fine!
context: But you know, lately it's all letters to Mytho-sama.\To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh?\Anything is fine! response:	I'm sorry. Mytho-sama's feelings alone I just can't figure out.
context: To Mytho?\Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out. response:	I see...
context: Yes. I deliver lots of letters to him every day, but most are from people whose feelings won't be returned...\Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see... response:	Oh, do you like Mytho-sama too, by any chance?
context: Do you see Mytho every day, Hermia-san?\Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance? response:	Huh?
context: Yes. Well, actually, Mytho-sama comes to me.\So then, do you know something about Mytho's feelings?\Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance?\Huh? response:	Oh, do you like him too, Hermia-san?
context: So then, do you know something about Mytho's feelings?\Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san? response:	Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!
context: Huh?\Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama! response:	I have someone I like named Lysander!
context: Anything is fine!\I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander! response:	Lysander-san?
context: I'm sorry. Mytho-sama's feelings alone I just can't figure out.\I see...\Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san? response:	I have to get more heart shards back.
context: I see...\Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back. response:	Kraehe...
context: Oh, do you like Mytho-sama too, by any chance?\Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back.\Kraehe... response:	Who does the prince's heart belong to?
context: Huh?\Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to? response:	Where is the prince's heart?
context: Oh, do you like him too, Hermia-san?\Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart? response:	That's a secret.
context: Huh? No, you've got it all wrong! I don't have any feelings for Mytho-sama!\I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret. response:	Prince, you don't have to suffer anymore.
context: I have someone I like named Lysander!\Lysander-san?\I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore. response:	Your princess is me.
context: Lysander-san?\I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me. response:	I'll save you from your suffering.
context: I have to get more heart shards back.\Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering. response:	Return, prince of the crows. Return to me.
context: Kraehe...\Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me. response:	I won't become the prince of the crows!
context: Who does the prince's heart belong to?\Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows! response:	If you resist, your suffering will only continue.
context: Where is the prince's heart?\That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue. response:	The suffering is nothing...
context: That's a secret.\Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing... response:	You have raven's blood running through your veins, just like I do.
context: Prince, you don't have to suffer anymore.\Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do. response:	No one can erase it. No one can stop it.
context: Your princess is me.\I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it. response:	I'll give you my love.
context: I'll save you from your suffering.\Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love. response:	I'll love you more deeply than anyone else.
context: Return, prince of the crows. Return to me.\I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else. response:	You'll GIVE me your love?
context: I won't become the prince of the crows!\If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love? response:	It's only natural for a princess to love a prince.
context: If you resist, your suffering will only continue.\The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince. response:	Love me more. Only me.
context: The suffering is nothing...\You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me. response:	Prince?
context: You have raven's blood running through your veins, just like I do.\No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me.\Prince? response:	Not enough... Not enough love...
context: No one can erase it. No one can stop it.\I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me.\Prince?\Not enough... Not enough love... response:	Shut up!
context: I'll give you my love.\I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me.\Prince?\Not enough... Not enough love...\Shut up! response:	Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!
context: I'll love you more deeply than anyone else.\You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me.\Prince?\Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works! response:	Wow.
context: You'll GIVE me your love?\It's only natural for a princess to love a prince.\Love me more. Only me.\Prince?\Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow. response:	Your heart gets warm looking at it, doesn't it?
context: It's only natural for a princess to love a prince.\Love me more. Only me.\Prince?\Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it? response:	Huh? Uh, yeah...
context: Love me more. Only me.\Prince?\Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah... response:	It's like it's filled with the feeling of love, somehow.
context: Prince?\Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow. response:	Right...
context: Not enough... Not enough love...\Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right... response:	He must have been thinking about somebody while he created it.
context: Shut up!\Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it. response:	But that might've been you, Hermia-san!
context: Lysander is someone in my grade from the sculpture division, you see, and this is one of his works!\Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san! response:	No, definitely not! I know myself better than anyone else does, so...
context: Wow.\Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so... response:	Is that Lysander-san?
context: Your heart gets warm looking at it, doesn't it?\Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san? response:	Yes.
context: Huh? Uh, yeah...\It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes. response:	Doesn't he seem kind?
context: It's like it's filled with the feeling of love, somehow.\Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes.\Doesn't he seem kind? response:	Uh, yes!
context: Right...\He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes.\Doesn't he seem kind?\Uh, yes! response:	Meow...
context: He must have been thinking about somebody while he created it.\But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes.\Doesn't he seem kind?\Uh, yes!\Meow... response:	It's the mime for Do you mean me?!
context: But that might've been you, Hermia-san!\No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes.\Doesn't he seem kind?\Uh, yes!\Meow...\It's the mime for Do you mean me?! response:	What's that mime supposed to mean?
context: No, definitely not! I know myself better than anyone else does, so...\Is that Lysander-san?\Yes.\Doesn't he seem kind?\Uh, yes!\Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean? response:	The mime for marriage!
context: Is that Lysander-san?\Yes.\Doesn't he seem kind?\Uh, yes!\Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage! response:	I don't get that!
context: Yes.\Doesn't he seem kind?\Uh, yes!\Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage!\I don't get that! response:	The mime for a vow!
context: Doesn't he seem kind?\Uh, yes!\Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage!\I don't get that!\The mime for a vow! response:	Oh, the mime for no.
context: Uh, yes!\Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage!\I don't get that!\The mime for a vow!\Oh, the mime for no. response:	Meow.
context: Meow...\It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage!\I don't get that!\The mime for a vow!\Oh, the mime for no.\Meow. response:	That was close, huh?
context: It's the mime for Do you mean me?!\What's that mime supposed to mean?\The mime for marriage!\I don't get that!\The mime for a vow!\Oh, the mime for no.\Meow.\That was close, huh? response:	Won't you write a love letter?
context: What's that mime supposed to mean?\The mime for marriage!\I don't get that!\The mime for a vow!\Oh, the mime for no.\Meow.\That was close, huh?\Won't you write a love letter? response:	Lovey-dovey, donkey-lonkey, love-dovey, donkey-lonkey...
context: The mime for marriage!\I don't get that!\The mime for a vow!\Oh, the mime for no.\Meow.\That was close, huh?\Won't you write a love letter?\Lovey-dovey, donkey-lonkey, love-dovey, donkey-lonkey... response:	Qua...
context: I don't get that!\The mime for a vow!\Oh, the mime for no.\Meow.\That was close, huh?\Won't you write a love letter?\Lovey-dovey, donkey-lonkey, love-dovey, donkey-lonkey...\Qua... response:	What's that sound, I wonder...
