context: The walls gave the people a century of peace and security. response:	The terror of being at their mercy
context: We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity...\No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike, response:	and then simultaneously scatter in each direction!
context: And now the day has come.\Humanity...\No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction! response:	Avoid combat when possible and focus on getting the word out!
context: Humanity...\No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out! response:	Is anyone familiar with this region?!
context: No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?! response:	M-Me!
context: Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me! response:	My town's north of here!
context: As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me!\My town's north of here! response:	I know the lay of the land well!
context: As soon as the Titans reach the woods,\we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me!\My town's north of here!\I know the lay of the land well! response:	And... so does Conny!
context: we'll split into four teams of recruits and soldiers alike,\and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me!\My town's north of here!\I know the lay of the land well!\And... so does Conny! response:	Conny?!
context: and then simultaneously scatter in each direction!\Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me!\My town's north of here!\I know the lay of the land well!\And... so does Conny!\Conny?! response:	My village...
context: Avoid combat when possible and focus on getting the word out!\Is anyone familiar with this region?!\M-Me!\My town's north of here!\I know the lay of the land well!\And... so does Conny!\Conny?!\My village... response:	My village is to the south...
context: Is anyone familiar with this region?!\M-Me!\My town's north of here!\I know the lay of the land well!\And... so does Conny!\Conny?!\My village...\My village is to the south... response:	I can take you to the nearby villages. After that...
context: M-Me!\My town's north of here!\I know the lay of the land well!\And... so does Conny!\Conny?!\My village...\My village is to the south...\I can take you to the nearby villages. After that... response:	All right.
context: My town's north of here!\I know the lay of the land well!\And... so does Conny!\Conny?!\My village...\My village is to the south...\I can take you to the nearby villages. After that...\All right. response:	You'll guide the southern team.
context: I know the lay of the land well!\And... so does Conny!\Conny?!\My village...\My village is to the south...\I can take you to the nearby villages. After that...\All right.\You'll guide the southern team. response:	Yes, Sir!
context: And... so does Conny!\Conny?!\My village...\My village is to the south...\I can take you to the nearby villages. After that...\All right.\You'll guide the southern team.\Yes, Sir! response:	I'll come with you, Conny.
context: Conny?!\My village...\My village is to the south...\I can take you to the nearby villages. After that...\All right.\You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny. response:	The south will be crawling with Titans. It'll be the most dangerous.
context: My village...\My village is to the south...\I can take you to the nearby villages. After that...\All right.\You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous. response:	So? I was going to help you sneak there anyway, remember?
context: My village is to the south...\I can take you to the nearby villages. After that...\All right.\You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember? response:	You coming, Bertholdt?
context: I can take you to the nearby villages. After that...\All right.\You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt? response:	Of course I'll come.
context: All right.\You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come. response:	As you may know,
context: You'll guide the southern team.\Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come.\As you may know, response:	today marks the new darkest day in humanity's history!
context: Yes, Sir!\I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history! response:	If ever humankind needed to give its all, that time is now!
context: I'll come with you, Conny.\The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now! response:	The Titans have reached the woods!
context: The south will be crawling with Titans. It'll be the most dangerous.\So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods! response:	Scatter!
context: So? I was going to help you sneak there anyway, remember?\You coming, Bertholdt?\Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter! response:	Ride as fast as you can!
context: You coming, Bertholdt?\Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter!\Ride as fast as you can! response:	What?!
context: Of course I'll come.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter!\Ride as fast as you can!\What?! response:	They all started sprinting!
context: As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter!\Ride as fast as you can!\What?!\They all started sprinting! response:	Whoa! They're going to catch up!
context: today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter!\Ride as fast as you can!\What?!\They all started sprinting!\Whoa! They're going to catch up! response:	Gerger!
context: If ever humankind needed to give its all, that time is now!\The Titans have reached the woods!\Scatter!\Ride as fast as you can!\What?!\They all started sprinting!\Whoa! They're going to catch up!\Gerger! response:	Take charge of the southern team!
context: The Titans have reached the woods!\Scatter!\Ride as fast as you can!\What?!\They all started sprinting!\Whoa! They're going to catch up!\Gerger!\Take charge of the southern team! response:	Sir?!
context: Scatter!\Ride as fast as you can!\What?!\They all started sprinting!\Whoa! They're going to catch up!\Gerger!\Take charge of the southern team!\Sir?! response:	U-Understood.
context: Ride as fast as you can!\What?!\They all started sprinting!\Whoa! They're going to catch up!\Gerger!\Take charge of the southern team!\Sir?!\U-Understood. response:	He's using himself as bait?!
context: What?!\They all started sprinting!\Whoa! They're going to catch up!\Gerger!\Take charge of the southern team!\Sir?!\U-Understood.\He's using himself as bait?! response:	He won't survive! I'll help!
context: They all started sprinting!\Whoa! They're going to catch up!\Gerger!\Take charge of the southern team!\Sir?!\U-Understood.\He's using himself as bait?!\He won't survive! I'll help! response:	No! We can't spare anyone else!
context: Whoa! They're going to catch up!\Gerger!\Take charge of the southern team!\Sir?!\U-Understood.\He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else! response:	Have faith in him!
context: Gerger!\Take charge of the southern team!\Sir?!\U-Understood.\He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him! response:	His skill is second only to Captain Levi!
context: Take charge of the southern team!\Sir?!\U-Understood.\He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi! response:	He'll make it back alive!
context: Sir?!\U-Understood.\He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive! response:	Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.
context: U-Understood.\He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming. response:	Oh, Eren.
context: He's using himself as bait?!\He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren. response:	Did you get into another fight?
context: He won't survive! I'll help!\No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight? response:	Those jerks started it! They made fun of me!
context: No! We can't spare anyone else!\Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me! response:	So, I assume Mikasa had to come to your rescue again?
context: Have faith in him!\His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again? response:	Thanks.
context: His skill is second only to Captain Levi!\He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks. response:	Eren.
context: He'll make it back alive!\Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren. response:	No matter how cruel someone is or how much you hate them,
context: Information Available for Public Disclosure Little is known about the Titans inside the walls. They appear to form the walls with a material similar to the Female Titan's crystal. The leaders of the Wall Cult seem to be aware of the truth, but remain wholly unforthcoming.\Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren.\No matter how cruel someone is or how much you hate them, response:	you can't always charge at them head-on!
context: Oh, Eren.\Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on! response:	You're a man!
context: Did you get into another fight?\Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man! response:	Show some restraint! You need to be there for Mikasa, too!
context: Those jerks started it! They made fun of me!\So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too! response:	That's...
context: So, I assume Mikasa had to come to your rescue again?\Thanks.\Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's... response:	It fell.
context: Thanks.\Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's...\It fell. response:	You gotta be tired. Go get some sleep.
context: Eren.\No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's...\It fell.\You gotta be tired. Go get some sleep. response:	Sorry. I'm fine.
context: No matter how cruel someone is or how much you hate them,\you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's...\It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine. response:	That thing's seen better days.
context: you can't always charge at them head-on!\You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's...\It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days. response:	I'll get you a new one if I see any in our supplies.
context: You're a man!\Show some restraint! You need to be there for Mikasa, too!\That's...\It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies. response:	Eren! Mikasa!
context: Show some restraint! You need to be there for Mikasa, too!\That's...\It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa! response:	This is really bad!
context: That's...\It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad! response:	The Titans! They're inside Wall Rose!
context: It fell.\You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose! response:	Ugh. Those damn Titans never give us a break.
context: You gotta be tired. Go get some sleep.\Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break. response:	Can you go?
context: Sorry. I'm fine.\That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go? response:	Not like there's much choice.
context: That thing's seen better days.\I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice. response:	It was wise to have Section Commander Miche watch the 104th.
context: I'll get you a new one if I see any in our supplies.\Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th. response:	I believe he can handle the situation.
context: Eren! Mikasa!\This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation. response:	Yes.
context: This is really bad!\The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes. response:	Let's hope so.
context: The Titans! They're inside Wall Rose!\Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes.\Let's hope so. response:	Four left.
context: Ugh. Those damn Titans never give us a break.\Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes.\Let's hope so.\Four left. response:	No, it's time to go.
context: Can you go?\Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes.\Let's hope so.\Four left.\No, it's time to go. response:	I've bought enough time.
context: Not like there's much choice.\It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes.\Let's hope so.\Four left.\No, it's time to go.\I've bought enough time. response:	Still...
context: It was wise to have Section Commander Miche watch the 104th.\I believe he can handle the situation.\Yes.\Let's hope so.\Four left.\No, it's time to go.\I've bought enough time.\Still... response:	It's different.
context: I believe he can handle the situation.\Yes.\Let's hope so.\Four left.\No, it's time to go.\I've bought enough time.\Still...\It's different. response:	It looks over 17 meters tall. It's huge...
context: Yes.\Let's hope so.\Four left.\No, it's time to go.\I've bought enough time.\Still...\It's different.\It looks over 17 meters tall. It's huge... response:	And I've never seen a Titan covered in fur before.
context: Let's hope so.\Four left.\No, it's time to go.\I've bought enough time.\Still...\It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before. response:	It's just walking around instead of coming for me.
context: Four left.\No, it's time to go.\I've bought enough time.\Still...\It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me. response:	It's definitely an Abnormal, but...
context: No, it's time to go.\I've bought enough time.\Still...\It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but... response:	Great! You're back!
context: I've bought enough time.\Still...\It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back! response:	I won't need to hold out until nightfall.
context: Still...\It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall. response:	It went for the horse?!
context: It's different.\It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?! response:	You can't be serious!
context: It looks over 17 meters tall. It's huge...\And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious! response:	Wait.
context: And I've never seen a Titan covered in fur before.\It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious!\Wait. response:	Huh? Didn't I just say to wait?
context: It's just walking around instead of coming for me.\It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious!\Wait.\Huh? Didn't I just say to wait? response:	Tell me, what is that weapon called?
context: It's definitely an Abnormal, but...\Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious!\Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called? response:	That thing on your waist that flies around.
context: Great! You're back!\I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious!\Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around. response:	I'm certain we speak the same language.
context: I won't need to hold out until nightfall.\It went for the horse?!\You can't be serious!\Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language. response:	Perhaps you're simply too frightened.
context: It went for the horse?!\You can't be serious!\Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened. response:	Oh, I see you use swords, too.
context: You can't be serious!\Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too. response:	I guess that means you know we reside in the nape.
context: Wait.\Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape. response:	Ah, well, I'll just take it back with me.
context: Huh? Didn't I just say to wait?\Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me. response:	Only when a person stops fighting do they lose.
context: Tell me, what is that weapon called?\That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose. response:	As long as we continue to fight...
context: That thing on your waist that flies around.\I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight... response:	You can move now.
context: I'm certain we speak the same language.\Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now. response:	No! No!
context: Perhaps you're simply too frightened.\Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now.\No! No! response:	Stop! Don't! No! No!
context: Oh, I see you use swords, too.\I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now.\No! No!\Stop! Don't! No! No! response:	So you can speak.
context: I guess that means you know we reside in the nape.\Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now.\No! No!\Stop! Don't! No! No!\So you can speak. response:	I must say, what a clever idea.
context: Ah, well, I'll just take it back with me.\Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now.\No! No!\Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea. response:	No! No!
context: Only when a person stops fighting do they lose.\As long as we continue to fight...\You can move now.\No! No!\Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea.\No! No! response:	Stop! No!
context: As long as we continue to fight...\You can move now.\No! No!\Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea.\No! No!\Stop! No! response:	Titans have suddenly appeared inside Wall Rose.
context: You can move now.\No! No!\Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea.\No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose. response:	The recruits from the 104th Cadet Corps
context: No! No!\Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea.\No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps response:	scatter across the land to spread the news.
context: Stop! Don't! No! No!\So you can speak.\I must say, what a clever idea.\No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps\scatter across the land to spread the news. response:	Meanwhile, Eren and the others head to their rescue.
context: So you can speak.\I must say, what a clever idea.\No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps\scatter across the land to spread the news.\Meanwhile, Eren and the others head to their rescue. response:	And after returning to her hometown,
context: I must say, what a clever idea.\No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps\scatter across the land to spread the news.\Meanwhile, Eren and the others head to their rescue.\And after returning to her hometown, response:	Sasha comes face-to-face with her past.
context: No! No!\Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps\scatter across the land to spread the news.\Meanwhile, Eren and the others head to their rescue.\And after returning to her hometown,\Sasha comes face-to-face with her past. response:	Next episode: I'm Home.
context: Stop! No!\Titans have suddenly appeared inside Wall Rose.\The recruits from the 104th Cadet Corps\scatter across the land to spread the news.\Meanwhile, Eren and the others head to their rescue.\And after returning to her hometown,\Sasha comes face-to-face with her past.\Next episode: I'm Home. response:	I'm Home
