context: We're goin' fishin'! response:	I'm not happy with this, Handa-kun.
context: You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?!\Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write? response:	It's because he was looking at your earlier calligraphy.
context: Kousuke!\Did you really tell him that?!\Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy. response:	You haven't gotten worse, Handa.
context: Did you really tell him that?!\Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa. response:	If you had, you wouldn't have placed at all, much less second.
context: Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second. response:	Kousuke was focused on your earlier work.
context: It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work. response:	So, after your style changed,
context: Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed, response:	he got anxious about losing his model.
context: This is why you're in a slump!\A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model. response:	Just look at them.
context: A slump? You can't write?\It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model.\Just look at them. response:	That's what I'm saying.
context: It's because he was looking at your earlier calligraphy.\You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model.\Just look at them.\That's what I'm saying. response:	What's this about?
context: You haven't gotten worse, Handa.\If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model.\Just look at them.\That's what I'm saying.\What's this about? response:	Children imitate their superiors, right?
context: If you had, you wouldn't have placed at all, much less second.\Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model.\Just look at them.\That's what I'm saying.\What's this about?\Children imitate their superiors, right? response:	Handa, have you seen Kousuke's calligraphy?
context: Kousuke was focused on your earlier work.\So, after your style changed,\he got anxious about losing his model.\Just look at them.\That's what I'm saying.\What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy? response:	No, I don't look at that stuff.
context: So, after your style changed,\he got anxious about losing his model.\Just look at them.\That's what I'm saying.\What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff. response:	I figured.
context: he got anxious about losing his model.\Just look at them.\That's what I'm saying.\What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured. response:	His calligraphy looks just like yours.
context: Just look at them.\That's what I'm saying.\What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours. response:	And your calligraphy is just like your dad's.
context: That's what I'm saying.\What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's. response:	You're both only faithful to the fundamentals.
context: What's this about?\Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals. response:	But I got first place with that, so aren't the fundamentals best?
context: Children imitate their superiors, right?\Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best? response:	Was that a subtle dig at my father?
context: Handa, have you seen Kousuke's calligraphy?\No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father? response:	The role of the young
context: No, I don't look at that stuff.\I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young response:	is to break new ground without fear of failure!
context: I figured.\His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure! response:	The director!
context: His calligraphy looks just like yours.\And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure!\The director! response:	Remain in memories, not record books!
context: And your calligraphy is just like your dad's.\You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure!\The director!\Remain in memories, not record books! response:	Lose the battle, win the war!
context: You're both only faithful to the fundamentals.\But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure!\The director!\Remain in memories, not record books!\Lose the battle, win the war! response:	Only One is better than Number One!
context: But I got first place with that, so aren't the fundamentals best?\Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure!\The director!\Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One! response:	Good-selling beats prize-winning!
context: Was that a subtle dig at my father?\The role of the young\is to break new ground without fear of failure!\The director!\Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning! response:	That one's your wish!
context: The role of the young\is to break new ground without fear of failure!\The director!\Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish! response:	Bring me money...
context: is to break new ground without fear of failure!\The director!\Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish!\Bring me money... response:	He's being consumed!
context: The director!\Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish!\Bring me money...\He's being consumed! response:	Sensei!
context: Remain in memories, not record books!\Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish!\Bring me money...\He's being consumed!\Sensei! response:	I learned from Miwa-nee.
context: Lose the battle, win the war!\Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish!\Bring me money...\He's being consumed!\Sensei!\I learned from Miwa-nee. response:	Use this.
context: Only One is better than Number One!\Good-selling beats prize-winning!\That one's your wish!\Bring me money...\He's being consumed!\Sensei!\I learned from Miwa-nee.\Use this. response:	Wow, did you tie that, Hina?
context: Good-selling beats prize-winning!\That one's your wish!\Bring me money...\He's being consumed!\Sensei!\I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina? response:	Sensei, use mine, too.
context: That one's your wish!\Bring me money...\He's being consumed!\Sensei!\I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too. response:	You made one, too?
context: Bring me money...\He's being consumed!\Sensei!\I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too? response:	Mine is super-ultra.
context: He's being consumed!\Sensei!\I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too?\Mine is super-ultra. response:	It'll catch gobs!
context: Sensei!\I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too?\Mine is super-ultra.\It'll catch gobs! response:	You can't catch anything with that!
context: I learned from Miwa-nee.\Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too?\Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that! response:	Is this breaking new ground?
context: Use this.\Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too?\Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground? response:	Well, yeah, pretty much...
context: Wow, did you tie that, Hina?\Sensei, use mine, too.\You made one, too?\Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much... response:	That's the incarnation of failure!
context: Sensei, use mine, too.\You made one, too?\Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure! response:	Hey, don't laugh so much.
context: You made one, too?\Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much. response:	A child made it.
context: Mine is super-ultra.\It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much.\A child made it. response:	But, it's just so simple-minded!
context: It'll catch gobs!\You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded! response:	Tackle!
context: You can't catch anything with that!\Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded!\Tackle! response:	You... brat!
context: Is this breaking new ground?\Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded!\Tackle!\You... brat! response:	I'll let you off for today.
context: Well, yeah, pretty much...\That's the incarnation of failure!\Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded!\Tackle!\You... brat!\I'll let you off for today. response:	They're having fun down there...
context: That's the incarnation of failure!\Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded!\Tackle!\You... brat!\I'll let you off for today.\They're having fun down there... response:	Hiro-nii, ya got ground bait?
context: Hey, don't laugh so much.\A child made it.\But, it's just so simple-minded!\Tackle!\You... brat!\I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait? response:	Huh?
context: A child made it.\But, it's just so simple-minded!\Tackle!\You... brat!\I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait?\Huh? response:	Yer already out?
context: But, it's just so simple-minded!\Tackle!\You... brat!\I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait?\Huh?\Yer already out? response:	Hina tossed it all.
context: Tackle!\You... brat!\I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait?\Huh?\Yer already out?\Hina tossed it all. response:	Were they able to fish right?
context: You... brat!\I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait?\Huh?\Yer already out?\Hina tossed it all.\Were they able to fish right? response:	Found my glasses!
context: I'll let you off for today.\They're having fun down there...\Hiro-nii, ya got ground bait?\Huh?\Yer already out?\Hina tossed it all.\Were they able to fish right?\Found my glasses! response:	In the end, they've just been talkin' calligraphy here, too.
context: They're having fun down there...\Hiro-nii, ya got ground bait?\Huh?\Yer already out?\Hina tossed it all.\Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too. response:	All this about bein' bad or not.
context: Hiro-nii, ya got ground bait?\Huh?\Yer already out?\Hina tossed it all.\Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not. response:	Ain't it enough for someone good at it to be good?
context: Huh?\Yer already out?\Hina tossed it all.\Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good? response:	I guess when ya reach the top, there ain't nowhere left to go.
context: Yer already out?\Hina tossed it all.\Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go. response:	Maybe I won't catch hisan-iwo today, either.
context: Hina tossed it all.\Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either. response:	Guess it's really impossible'round here.
context: Were they able to fish right?\Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here. response:	But the village chief was sayin' he saw someone catch one here.
context: Found my glasses!\In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here. response:	Hey, Hiroshi! Caught any hisan-iwo yet?
context: In the end, they've just been talkin' calligraphy here, too.\All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet? response:	Not a one.
context: All this about bein' bad or not.\Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one. response:	Wanna call it a day?
context: Ain't it enough for someone good at it to be good?\I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day? response:	Hiroshi, try usin' this.
context: I guess when ya reach the top, there ain't nowhere left to go.\Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day?\Hiroshi, try usin' this. response:	What's that? It looks like cursed tackle.
context: Maybe I won't catch hisan-iwo today, either.\Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle. response:	Uh, sorry.
context: Guess it's really impossible'round here.\But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry. response:	All right, it's my last cast, so I'll give it a try.
context: But the village chief was sayin' he saw someone catch one here.\Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try. response:	Make sure ya say Ebisu.
context: Hey, Hiroshi! Caught any hisan-iwo yet?\Not a one.\Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu. response:	I know, I know.
context: Not a one.\Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know. response:	What are they talking about?
context: Wanna call it a day?\Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know.\What are they talking about? response:	A magic spell.
context: Hiroshi, try usin' this.\What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know.\What are they talking about?\A magic spell. response:	They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.
context: What's that? It looks like cursed tackle.\Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know.\What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo. response:	Ebisu, as in one of the Seven Lucky Gods?
context: Uh, sorry.\All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know.\What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods? response:	'Cuz Ebisu's holdin' a hisan-iwo.
context: All right, it's my last cast, so I'll give it a try.\Make sure ya say Ebisu.\I know, I know.\What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo. response:	Hisan-iwo is snapper?!
context: Make sure ya say Ebisu.\I know, I know.\What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?! response:	Rock snapper, to be precise.
context: I know, I know.\What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise. response:	But they fish for snapper in open sea.
context: What are they talking about?\A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea. response:	If you could catch them at places like this, then anyone could be a fisherman.
context: A magic spell.\They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman. response:	Don't knock it.
context: They say, if ya say Ebisu while castin' yer line, you'll catch a hisan-iwo.\Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it. response:	But, if he catches one, we'll have snapper sashimi for dinner.
context: Ebisu, as in one of the Seven Lucky Gods?\'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner. response:	Ebisu!
context: 'Cuz Ebisu's holdin' a hisan-iwo.\Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu! response:	Now they're motivated?
context: Hisan-iwo is snapper?!\Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated? response:	Of course!
context: Rock snapper, to be precise.\But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated?\Of course! response:	How can we leave this island without eating anything tasty?
context: But they fish for snapper in open sea.\If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated?\Of course!\How can we leave this island without eating anything tasty? response:	Nothing's biting.
context: If you could catch them at places like this, then anyone could be a fisherman.\Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated?\Of course!\How can we leave this island without eating anything tasty?\Nothing's biting. response:	Yeah.
context: Don't knock it.\But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated?\Of course!\How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah. response:	You guys forgot that you're trying to fish with that hook, didn't you?
context: But, if he catches one, we'll have snapper sashimi for dinner.\Ebisu!\Now they're motivated?\Of course!\How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you? response:	All right, let's pack up.
context: Ebisu!\Now they're motivated?\Of course!\How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up. response:	Aww!
context: Now they're motivated?\Of course!\How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww! response:	I'm going to clean up, so hold onto it.
context: Of course!\How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it. response:	Me?!
context: How can we leave this island without eating anything tasty?\Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it.\Me?! response:	You haven't caught anything yet, right?
context: Nothing's biting.\Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right? response:	W-Wait!
context: Yeah.\You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right?\W-Wait! response:	Aw, jeez...
context: You guys forgot that you're trying to fish with that hook, didn't you?\All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right?\W-Wait!\Aw, jeez... response:	Huh?!
context: All right, let's pack up.\Aww!\I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right?\W-Wait!\Aw, jeez...\Huh?! response:	I got a bite!
context: Aww!\I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right?\W-Wait!\Aw, jeez...\Huh?!\I got a bite! response:	What?
context: I'm going to clean up, so hold onto it.\Me?!\You haven't caught anything yet, right?\W-Wait!\Aw, jeez...\Huh?!\I got a bite!\What? response:	Miwa, the net!
context: Me?!\You haven't caught anything yet, right?\W-Wait!\Aw, jeez...\Huh?!\I got a bite!\What?\Miwa, the net! response:	I'm on it!
context: You haven't caught anything yet, right?\W-Wait!\Aw, jeez...\Huh?!\I got a bite!\What?\Miwa, the net!\I'm on it! response:	Is it thanks to Ebisu?
context: W-Wait!\Aw, jeez...\Huh?!\I got a bite!\What?\Miwa, the net!\I'm on it!\Is it thanks to Ebisu? response:	All right, let's help, too!
context: Aw, jeez...\Huh?!\I got a bite!\What?\Miwa, the net!\I'm on it!\Is it thanks to Ebisu?\All right, let's help, too! response:	Hey, you're in the way!
context: Huh?!\I got a bite!\What?\Miwa, the net!\I'm on it!\Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way! response:	Dummy, you can't land such a big one by yourself.
context: I got a bite!\What?\Miwa, the net!\I'm on it!\Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself. response:	I can, too!
context: What?\Miwa, the net!\I'm on it!\Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too! response:	You just want to steal my thunder, don't you?!
context: Miwa, the net!\I'm on it!\Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?! response:	Ebisu! Ebisu!
context: I'm on it!\Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu! response:	Quit yelling!
context: Is it thanks to Ebisu?\All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling! response:	All right!
context: All right, let's help, too!\Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling!\All right! response:	We got it!
context: Hey, you're in the way!\Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling!\All right!\We got it! response:	It's huge!
context: Dummy, you can't land such a big one by yourself.\I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling!\All right!\We got it!\It's huge! response:	That sure was a big one!
context: I can, too!\You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling!\All right!\We got it!\It's huge!\That sure was a big one! response:	Yeah, no kiddin'!
context: You just want to steal my thunder, don't you?!\Ebisu! Ebisu!\Quit yelling!\All right!\We got it!\It's huge!\That sure was a big one!\Yeah, no kiddin'! response:	And that plop.
context: Ebisu! Ebisu!\Quit yelling!\All right!\We got it!\It's huge!\That sure was a big one!\Yeah, no kiddin'!\And that plop. response:	The big one went plop!
context: Quit yelling!\All right!\We got it!\It's huge!\That sure was a big one!\Yeah, no kiddin'!\And that plop.\The big one went plop! response:	My belly hurts.
context: All right!\We got it!\It's huge!\That sure was a big one!\Yeah, no kiddin'!\And that plop.\The big one went plop!\My belly hurts. response:	The hook broke up in midair!
context: We got it!\It's huge!\That sure was a big one!\Yeah, no kiddin'!\And that plop.\The big one went plop!\My belly hurts.\The hook broke up in midair! response:	Let's go.
context: It's huge!\That sure was a big one!\Yeah, no kiddin'!\And that plop.\The big one went plop!\My belly hurts.\The hook broke up in midair!\Let's go. response:	Well, we caught a bunch of horse mackerel, so that's fine.
context: That sure was a big one!\Yeah, no kiddin'!\And that plop.\The big one went plop!\My belly hurts.\The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine. response:	We'll fry them at my place.
context: Yeah, no kiddin'!\And that plop.\The big one went plop!\My belly hurts.\The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place. response:	They're good pickled, too.
context: And that plop.\The big one went plop!\My belly hurts.\The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too. response:	Let's go, Sensei.
context: The big one went plop!\My belly hurts.\The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei. response:	For some reason...
context: My belly hurts.\The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei.\For some reason... response:	Since I came to this island, there are times when I really want to write calligraphy.
context: The hook broke up in midair!\Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy. response:	I feel something well up,
context: Let's go.\Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up, response:	and my hands tremble.
