context: Foolish Yamada Gu had made sound money or Kyota-B response:	Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto
context: Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing response:	Listen t.. t... Toshi
context: What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi response:	Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?
context: E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba? response:	Ammm What I'm saying?
context: This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying? response:	Huh? Personal basic?
context: Ummm\Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic? response:	Oh, Is this the intended?
context: Y-Good morning\Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended? response:	Excuse me, I did not leave any impression I have!?
context: Ayano-chan Good morning, Good morning\I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!? response:	What is that?
context: I have delayed the day, you got anything that is not a big thing\Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that? response:	Huh? What do you do here, too?
context: Listen t.. t... Toshi\Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too? response:	Huh?
context: Toshicoche-soba. Have you eaten spaghetti Toshicoche soba?\Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too?\Huh? response:	There is one of them, no other option
context: Ammm What I'm saying?\Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too?\Huh?\There is one of them, no other option response:	When you're excited now?
context: Huh? Personal basic?\Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too?\Huh?\There is one of them, no other option\When you're excited now? response:	-Hassana - in order to drink
context: Oh, Is this the intended?\Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too?\Huh?\There is one of them, no other option\When you're excited now?\-Hassana - in order to drink response:	What is that?
context: Excuse me, I did not leave any impression I have!?\What is that?\Huh? What do you do here, too?\Huh?\There is one of them, no other option\When you're excited now?\-Hassana - in order to drink\What is that? response:	The bubbles were awful
context: What is that?\Huh? What do you do here, too?\Huh?\There is one of them, no other option\When you're excited now?\-Hassana - in order to drink\What is that?\The bubbles were awful response:	Wait, what you are doing!?
context: Huh? What do you do here, too?\Huh?\There is one of them, no other option\When you're excited now?\-Hassana - in order to drink\What is that?\The bubbles were awful\Wait, what you are doing!? response:	What there are, Ica-sama?
context: Huh?\There is one of them, no other option\When you're excited now?\-Hassana - in order to drink\What is that?\The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama? response:	- just give them to me
context: There is one of them, no other option\When you're excited now?\-Hassana - in order to drink\What is that?\The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me response:	Leica-sama, Leica-sama, are you okay, Laika-sama?
context: When you're excited now?\-Hassana - in order to drink\What is that?\The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama? response:	Do you hit?
context: -Hassana - in order to drink\What is that?\The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit? response:	P-obscene? Do you mean Otdaia?
context: What is that?\The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia? response:	What may I mean other!?
context: The bubbles were awful\Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!? response:	Would I move, what is obscene specifically in Otdaia?
context: Wait, what you are doing!?\What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia? response:	Kemeto, where are you? What are you doing!?
context: What there are, Ica-sama?\- just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!? response:	This training is called self-service
context: - just give them to me\Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service response:	According to the game
context: Leica-sama, Leica-sama, are you okay, Laika-sama?\Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game response:	I thought I understood the ethics of all this world expanding
context: Do you hit?\P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding response:	I thought so it's enough to follow what leads me to him daily
context: P-obscene? Do you mean Otdaia?\What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily response:	Feelings that can not be predicted, and the usefulness of the guide
context: What may I mean other!?\Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide response:	The dividing line between the cheek mixing red, dark blue
context: Would I move, what is obscene specifically in Otdaia?\Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue response:	And before I know about it, it made it hard to say inside or outside my heart
context: Kemeto, where are you? What are you doing!?\This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart response:	Do not disappear in the twilight, near to see what it all I
context: This training is called self-service\According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I response:	I'm sure that everything will be an opportunity to love
context: According to the game\I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love response:	Bring your tears and your dreams, which are forced to hide your smile Well?
context: I thought I understood the ethics of all this world expanding\I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well? response:	I will come to you days that you will Mhassoda everyone
context: I thought so it's enough to follow what leads me to him daily\Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone response:	Translation of Vergil vergil-sub.blogspot.com
context: Feelings that can not be predicted, and the usefulness of the guide\The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com response:	Translation of Vergil vergil-sub.blogspot.com
context: The dividing line between the cheek mixing red, dark blue\And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com response:	what are you doing?
context: And before I know about it, it made it hard to say inside or outside my heart\Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing? response:	Such as the kind of love Confect
context: Do not disappear in the twilight, near to see what it all I\I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect response:	Which melt in my mouth
context: I'm sure that everything will be an opportunity to love\Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: Bring your tears and your dreams, which are forced to hide your smile Well?\I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: I will come to you days that you will Mhassoda everyone\Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go for this
context: Translation of Vergil vergil-sub.blogspot.com\Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this response:	I love thee, O
context: Translation of Vergil vergil-sub.blogspot.com\what are you doing?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O response:	I will give you all the feelings of my heart
context: what are you doing?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart response:	I am deeply fascinated by the commoners
context: Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners response:	I Odrsk every day
context: Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day response:	You did not pick up telepathically so far?
context: Pulse in my heart\Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far? response:	what are you? cool?
context: Sweet and puzzling\I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool? response:	Oh, you understand, you hide Khgelk, huh?
context: I am ready to go for this\I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh? response:	Such as the kind of love Confect
context: I love thee, O\I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect response:	Which melt in my mouth
context: I will give you all the feelings of my heart\I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth response:	Pulse in my heart
context: I am deeply fascinated by the commoners\I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart response:	Sweet and puzzling
context: I Odrsk every day\You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling response:	I am ready to go
context: You did not pick up telepathically so far?\what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go response:	Here's my love of
context: what are you? cool?\Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of response:	I will give you all the feelings of my heart
context: Oh, you understand, you hide Khgelk, huh?\Such as the kind of love Confect\Which melt in my mouth\Pulse in my heart\Sweet and puzzling\I am ready to go\Here's my love of\I will give you all the feelings of my heart response:	It is the land of commoners
