context: Once upon a time, there was a girl who loved to dance very much. response:	The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.
context: And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear?\Ridiculous.\The prince and the crow...\Written here is Mytho's tale. response:	The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.
context: When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear?\Ridiculous.\The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart. response:	That's all.
context: When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear?\Ridiculous.\The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all. response:	May those who accept their fate be granted happiness.
context: Princess Tutu...\What in the world is there that I need fear?\Ridiculous.\The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness. response:	May those who defy their fate be granted glory.
context: What in the world is there that I need fear?\Ridiculous.\The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory. response:	You're...
context: Ridiculous.\The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're... response:	The story is continuing, the story is alive.
context: The prince and the crow...\Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive. response:	Are you saying...this is my fate?
context: Written here is Mytho's tale.\The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive.\Are you saying...this is my fate? response:	Is it sad for Rue? For Mytho? For Ahiru?
context: The fate of a prince who tried to protect all who were weak and to do that, hurt himself and even lost his own heart.\That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru? response:	Or for...
context: That's all.\May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for... response:	You know, Rue-chan, you dance en pointe so beautifully.
context: May those who accept their fate be granted happiness.\May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully. response:	When you and Mytho dance, it's always so wonderful.
context: May those who defy their fate be granted glory.\You're...\The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful. response:	I'd love to dance like you, but there's no way I can do that yet.
context: You're...\The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet. response:	Did you want something?
context: The story is continuing, the story is alive.\Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something? response:	Oh, uh, well...
context: Are you saying...this is my fate?\Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well... response:	Earlier, you mentioned Princess Tutu...
context: Is it sad for Rue? For Mytho? For Ahiru?\Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu... response:	What are you babbling on about?
context: Or for...\You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about? response:	A fairy tale like that is of no importance.
context: You know, Rue-chan, you dance en pointe so beautifully.\When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance. response:	You're your usual self.
context: When you and Mytho dance, it's always so wonderful.\I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self. response:	Of course, I am. I'm not going to change.
context: I'd love to dance like you, but there's no way I can do that yet.\Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change. response:	If you want something, hurry up and say it.
context: Did you want something?\Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it. response:	There's not really anything.
context: Oh, uh, well...\Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything. response:	You know, I think the first person to dance en pointe was incredible.
context: Earlier, you mentioned Princess Tutu...\What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible. response:	Don't you?
context: What are you babbling on about?\A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you? response:	The toe shoes of that person who first danced en pointe...
context: A fairy tale like that is of no importance.\You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe... response:	Do you know what happened to them?
context: You're your usual self.\Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them? response:	What? No idea...
context: Of course, I am. I'm not going to change.\If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea... response:	They were eaten.
context: If you want something, hurry up and say it.\There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea...\They were eaten. response:	What?!
context: There's not really anything.\You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea...\They were eaten.\What?! response:	By a person who worshipped that ballerina.
context: You know, I think the first person to dance en pointe was incredible.\Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea...\They were eaten.\What?!\By a person who worshipped that ballerina. response:	That's kind of amazing.
context: Don't you?\The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea...\They were eaten.\What?!\By a person who worshipped that ballerina.\That's kind of amazing. response:	It's a stupid story.
context: The toe shoes of that person who first danced en pointe...\Do you know what happened to them?\What? No idea...\They were eaten.\What?!\By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story. response:	Huh?
context: Do you know what happened to them?\What? No idea...\They were eaten.\What?!\By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story.\Huh? response:	Strange.
context: What? No idea...\They were eaten.\What?!\By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story.\Huh?\Strange. response:	What?! No way! What's strange?! Where?!
context: They were eaten.\What?!\By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story.\Huh?\Strange.\What?! No way! What's strange?! Where?! response:	I've never talked about something like this with another girl before.
context: What?!\By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story.\Huh?\Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before. response:	Oh, could it be that you hate this kind of thing?
context: By a person who worshipped that ballerina.\That's kind of amazing.\It's a stupid story.\Huh?\Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing? response:	I don't think I hate it.
context: That's kind of amazing.\It's a stupid story.\Huh?\Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it. response:	I'm glad. We can become even better friends eventually, right?
context: It's a stupid story.\Huh?\Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right? response:	You think so?
context: Huh?\Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so? response:	Hey, hey, Rue-chan, teach me about going en pointe.
context: Strange.\What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe. response:	Why do I have to teach you?
context: What?! No way! What's strange?! Where?!\I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you? response:	Because we're friends!
context: I've never talked about something like this with another girl before.\Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends! response:	Why, what a cheeky...
context: Oh, could it be that you hate this kind of thing?\I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends!\Why, what a cheeky... response:	Oh? Rue-chan?
context: I don't think I hate it.\I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends!\Why, what a cheeky...\Oh? Rue-chan? response:	What?
context: I'm glad. We can become even better friends eventually, right?\You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends!\Why, what a cheeky...\Oh? Rue-chan?\What? response:	Hey, is that girl your friend too?
context: You think so?\Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends!\Why, what a cheeky...\Oh? Rue-chan?\What?\Hey, is that girl your friend too? response:	Huh? What girl?
context: Hey, hey, Rue-chan, teach me about going en pointe.\Why do I have to teach you?\Because we're friends!\Why, what a cheeky...\Oh? Rue-chan?\What?\Hey, is that girl your friend too?\Huh? What girl? response:	She disappeared.
context: Why do I have to teach you?\Because we're friends!\Why, what a cheeky...\Oh? Rue-chan?\What?\Hey, is that girl your friend too?\Huh? What girl?\She disappeared. response:	Now, that will be all for today's lecture...
context: Because we're friends!\Why, what a cheeky...\Oh? Rue-chan?\What?\Hey, is that girl your friend too?\Huh? What girl?\She disappeared.\Now, that will be all for today's lecture... response:	Goodbye, Rue-san.
context: Why, what a cheeky...\Oh? Rue-chan?\What?\Hey, is that girl your friend too?\Huh? What girl?\She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san. response:	Goodbye.
context: Oh? Rue-chan?\What?\Hey, is that girl your friend too?\Huh? What girl?\She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye. response:	I bid you good afternoon.
context: What?\Hey, is that girl your friend too?\Huh? What girl?\She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye.\I bid you good afternoon. response:	Do your best in detention again today.
context: Hey, is that girl your friend too?\Huh? What girl?\She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye.\I bid you good afternoon.\Do your best in detention again today. response:	Well, your failures are what make you Ahiru, so don't let it bother you.
context: Huh? What girl?\She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye.\I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you. response:	Ahiru, you can't go home yet?
context: She disappeared.\Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye.\I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet? response:	Huh?!
context: Now, that will be all for today's lecture...\Goodbye, Rue-san.\Goodbye.\I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?! response:	Yeah, because I have to stay behind and wipe the windows as punishment.
context: Goodbye, Rue-san.\Goodbye.\I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment. response:	I see.
context: Goodbye.\I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see. response:	Friends...
context: I bid you good afternoon.\Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends... response:	That's the girl from...
context: Do your best in detention again today.\Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends...\That's the girl from... response:	She went into the art building.
context: Well, your failures are what make you Ahiru, so don't let it bother you.\Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends...\That's the girl from...\She went into the art building. response:	So, she studies drawing.
context: Ahiru, you can't go home yet?\Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends...\That's the girl from...\She went into the art building.\So, she studies drawing. response:	Rue-chan.
context: Huh?!\Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends...\That's the girl from...\She went into the art building.\So, she studies drawing.\Rue-chan. response:	Rue... sama.
context: Yeah, because I have to stay behind and wipe the windows as punishment.\I see.\Friends...\That's the girl from...\She went into the art building.\So, she studies drawing.\Rue-chan.\Rue... sama. response:	Why did you take so long to say it?!
context: I see.\Friends...\That's the girl from...\She went into the art building.\So, she studies drawing.\Rue-chan.\Rue... sama.\Why did you take so long to say it?! response:	Besides, we've walked together and talked all this time, so we're already friends.
context: Friends...\That's the girl from...\She went into the art building.\So, she studies drawing.\Rue-chan.\Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends. response:	So, it's Rue-chan!
context: That's the girl from...\She went into the art building.\So, she studies drawing.\Rue-chan.\Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan! response:	You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.
context: She went into the art building.\So, she studies drawing.\Rue-chan.\Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple. response:	You really suit each other, so...
context: So, she studies drawing.\Rue-chan.\Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so... response:	Suit each other?
context: Rue-chan.\Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other? response:	That is just an idea that you have gotten stuck in your head.
context: Rue... sama.\Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head. response:	You may need me, but I do not need you!
context: Why did you take so long to say it?!\Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you! response:	The person I need is Mytho,
context: Besides, we've walked together and talked all this time, so we're already friends.\So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho, response:	but the one Mytho needs is...
context: So, it's Rue-chan!\You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is... response:	Princess Tutu.
context: You're like a real princess, and you really suit each other, so I'm sure you'll get the golden apple.\You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu. response:	I wonder... What do I think of you, Fakir?
context: You really suit each other, so...\Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir? response:	When I think of Rue...
context: Suit each other?\That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue... response:	When I think of you...
context: That is just an idea that you have gotten stuck in your head.\You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you... response:	And when I think of Tutu...
context: You may need me, but I do not need you!\The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu... response:	Each makes me feel different...
context: The person I need is Mytho,\but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different... response:	I'm going, Fakir.
context: but the one Mytho needs is...\Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir. response:	You're kidding, right?
context: Princess Tutu.\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir.\You're kidding, right? response:	I'm serious.
context: I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir.\You're kidding, right?\I'm serious. response:	What would be the point in seeing her?
context: When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her? response:	She might know something about Tutu.
context: When I think of you...\And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu. response:	Mytho is changing.
context: And when I think of Tutu...\Each makes me feel different...\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing. response:	Into a Mytho I don't know.
context: Each makes me feel different...\I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know. response:	That is something that cannot be helped.
context: I'm going, Fakir.\You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped. response:	We both even think differently, after all.
context: You're kidding, right?\I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all. response:	As you can see, even our interests and what we eat are completely different.
context: I'm serious.\What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different. response:	That is why I do not want to marry you.
context: What would be the point in seeing her?\She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you. response:	I have no intentions of changing my will!
context: She might know something about Tutu.\Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will! response:	My will...
context: Mytho is changing.\Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will!\My will... response:	Do you understand me, Goatette-sensei?
context: Into a Mytho I don't know.\That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei? response:	Hello?
context: That is something that cannot be helped.\We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei?\Hello? response:	You're one of the ballet students...
context: We both even think differently, after all.\As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students... response:	Well, I'm really bad at drawing pictures.
context: As you can see, even our interests and what we eat are completely different.\That is why I do not want to marry you.\I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures. response:	That's because you're in ballet.
context: That is why I do not want to marry you.\I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet. response:	I'm bad at ballet too, though.
context: I have no intentions of changing my will!\My will...\Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though. response:	Oh, you are? I'm sorry.
context: My will...\Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry. response:	Oh, it's okay, it's okay!
context: Do you understand me, Goatette-sensei?\Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay! response:	Let me take a peek.
context: Hello?\You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek. response:	Wow, it's beautiful.
context: You're one of the ballet students...\Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful. response:	It's a drawing of Rue-chan...
context: Well, I'm really bad at drawing pictures.\That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan... response:	I envy you, you draw so well.
context: That's because you're in ballet.\I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well. response:	Oh, did you draw these too?
context: I'm bad at ballet too, though.\Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too? response:	Yes.
context: Oh, you are? I'm sorry.\Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too?\Yes. response:	Oh? They're all drawings of Rue-chan?
context: Oh, it's okay, it's okay!\Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan? response:	Oh, but Rue-chan is so pretty, I can totally understand.
context: Let me take a peek.\Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand. response:	Hey, this one's signed.
context: Wow, it's beautiful.\It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed. response:	So, your name's Malen? It's a cute name!
context: It's a drawing of Rue-chan...\I envy you, you draw so well.\Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name! response:	I'm Ahiru.
context: I envy you, you draw so well.\Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru. response:	I don't understand.
context: Oh, did you draw these too?\Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand. response:	What?
context: Yes.\Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand.\What? response:	I don't really understand myself.
context: Oh? They're all drawings of Rue-chan?\Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand.\What?\I don't really understand myself. response:	I've always liked drawing with Rue-san as the model,
context: Oh, but Rue-chan is so pretty, I can totally understand.\Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand.\What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model, response:	but before, I wanted to draw all sorts of other things too, like fruits and landscapes.
context: Hey, this one's signed.\So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand.\What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes. response:	But now, I can only draw Rue-san.
context: So, your name's Malen? It's a cute name!\I'm Ahiru.\I don't understand.\What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san. response:	Princess Tutu.
