context: Wiped out, huh? response:	But considering the tactic he used, I'm sure that Kanoichi-kun thought
context: Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her. response:	Manari-sama.
context: The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her.\Manari-sama. response:	Seimei...
context: So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her.\Manari-sama.\Seimei... response:	It's been a while.
context: Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her.\Manari-sama.\Seimei...\It's been a while. response:	What could you possibly want?
context: How dare you...\So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her.\Manari-sama.\Seimei...\It's been a while.\What could you possibly want? response:	I wanted to apologize for what the humans have done to you.
context: So what's someone as worthless as you going to do?\I need you to free her.\I'll go talk to her.\Manari-sama.\Seimei...\It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you. response:	You have some nerve.
context: I need you to free her.\I'll go talk to her.\Manari-sama.\Seimei...\It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve. response:	There's nothing that can undo what you humans have done.
context: I'll go talk to her.\Manari-sama.\Seimei...\It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done. response:	To think that half of them were burned...
context: Manari-sama.\Seimei...\It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned... response:	My poor, defenseless silk spinners that could do nothing but burn...
context: Seimei...\It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn... response:	How mortifying.
context: It's been a while.\What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying. response:	Those children didn't just produce silk to make cocoons.
context: What could you possibly want?\I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons. response:	After they emerged, they would spin their own cocoons into the finest silk thread.
context: I wanted to apologize for what the humans have done to you.\You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread. response:	Even if I had the remaining children continue to produce silk,
context: You have some nerve.\There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk, response:	there aren't enough to spin it into thread.
context: There's nothing that can undo what you humans have done.\To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread. response:	If I don't depart by dawn, I won't make it in time for the Izumo festival.
context: To think that half of them were burned...\My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival. response:	Without silk to offer to the gods, we cannot receive the power of the sun.
context: My poor, defenseless silk spinners that could do nothing but burn...\How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun. response:	I will be unable to make it through the winter and will perish.
context: How mortifying.\Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish. response:	There's no going back now.
context: Those children didn't just produce silk to make cocoons.\After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now. response:	Do you now understand what you humans did?
context: After they emerged, they would spin their own cocoons into the finest silk thread.\Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did? response:	My rage will not go away until I have killed a human for every child of mine they burned!
context: Even if I had the remaining children continue to produce silk,\there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned! response:	If all else fails, I'll curse this land and use my hatred for you humans
context: there aren't enough to spin it into thread.\If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans response:	to bring upon a never-ending curse of death!
context: If I don't depart by dawn, I won't make it in time for the Izumo festival.\Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death! response:	That's some insane miasma...
context: Without silk to offer to the gods, we cannot receive the power of the sun.\I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma... response:	Is she turning into a tatarigami?
context: I will be unable to make it through the winter and will perish.\There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami? response:	I'll take you...
context: There's no going back now.\Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami?\I'll take you... response:	I'll take you!
context: Do you now understand what you humans did?\My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami?\I'll take you...\I'll take you! response:	I'll spin the silk for you and take you to the Izumo festival!
context: My rage will not go away until I have killed a human for every child of mine they burned!\If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami?\I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival! response:	You're going to... take me?
context: If all else fails, I'll curse this land and use my hatred for you humans\to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami?\I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me? response:	Yes.
context: to bring upon a never-ending curse of death!\That's some insane miasma...\Is she turning into a tatarigami?\I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes. response:	What could you possibly do on your own?
context: That's some insane miasma...\Is she turning into a tatarigami?\I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes.\What could you possibly do on your own? response:	I can't do this alone... But I have friends.
context: Is she turning into a tatarigami?\I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends. response:	You humans will spin silk from my cocoons?
context: I'll take you...\I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons? response:	You understand what will happen to this land if I do not make it to the festival, right?
context: I'll take you!\I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right? response:	Yes.
context: I'll spin the silk for you and take you to the Izumo festival!\You're going to... take me?\Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes. response:	Then I shall wait.
context: You're going to... take me?\Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait. response:	Hey! Wake up! Hey!
context: Yes.\What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait.\Hey! Wake up! Hey! response:	Someone to spin the silk, eh...
context: What could you possibly do on your own?\I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh... response:	Are we going to be able to get through all these cocoons by dawn, though?
context: I can't do this alone... But I have friends.\You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though? response:	Do you have some brilliant plan, Arata?
context: You humans will spin silk from my cocoons?\You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata? response:	I have an idea, so I'm going to hurry and look into it.
context: You understand what will happen to this land if I do not make it to the festival, right?\Yes.\Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it. response:	An idea?
context: Yes.\Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea? response:	I'll be right back, so please get started!
context: Then I shall wait.\Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started! response:	H-Hey!
context: Hey! Wake up! Hey!\Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started!\H-Hey! response:	Make sure you don't lose track of time!
context: Someone to spin the silk, eh...\Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time! response:	I know!
context: Are we going to be able to get through all these cocoons by dawn, though?\Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time!\I know! response:	What do you people think you're doing?!
context: Do you have some brilliant plan, Arata?\I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time!\I know!\What do you people think you're doing?! response:	Well, let's get started.
context: I have an idea, so I'm going to hurry and look into it.\An idea?\I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time!\I know!\What do you people think you're doing?!\Well, let's get started. response:	Yeah.
context: An idea?\I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time!\I know!\What do you people think you're doing?!\Well, let's get started.\Yeah. response:	MPD
context: I'll be right back, so please get started!\H-Hey!\Make sure you don't lose track of time!\I know!\What do you people think you're doing?!\Well, let's get started.\Yeah.\MPD response:	Safety First
context: H-Hey!\Make sure you don't lose track of time!\I know!\What do you people think you're doing?!\Well, let's get started.\Yeah.\MPD\Safety First response:	Senda, I'm here.
context: Make sure you don't lose track of time!\I know!\What do you people think you're doing?!\Well, let's get started.\Yeah.\MPD\Safety First\Senda, I'm here. response:	Sorry to make you come here all the way from Kudanshita.
context: I know!\What do you people think you're doing?!\Well, let's get started.\Yeah.\MPD\Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita. response:	Shut up and just tell me where you need me.
context: What do you people think you're doing?!\Well, let's get started.\Yeah.\MPD\Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me. response:	Could you start with the second-floor seats, then?
context: Well, let's get started.\Yeah.\MPD\Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then? response:	This is pretty amazing.
context: Yeah.\MPD\Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing. response:	Everyone from all the Nocturnal Community Relations Divisions are here.
context: MPD\Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here. response:	So these are Oshira-sama's cocoons...
context: Safety First\Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons... response:	What time is dawn?
context: Senda, I'm here.\Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn? response:	Apparently, 6:02.
context: Sorry to make you come here all the way from Kudanshita.\Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02. response:	So we have about thirty minutes.
context: Shut up and just tell me where you need me.\Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02.\So we have about thirty minutes. response:	All right, lights on.
context: Could you start with the second-floor seats, then?\This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02.\So we have about thirty minutes.\All right, lights on. response:	Don't let down your guard until we know that the Another's no longer a threat.
context: This is pretty amazing.\Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02.\So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat. response:	Is that jerk still going on about this?
context: Everyone from all the Nocturnal Community Relations Divisions are here.\So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02.\So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this? response:	Well, considering his position...
context: So these are Oshira-sama's cocoons...\What time is dawn?\Apparently, 6:02.\So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position... response:	He should quit preparing for something that may not happen and actually help out.
context: What time is dawn?\Apparently, 6:02.\So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out. response:	It's moving!
context: Apparently, 6:02.\So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving! response:	But it's not dawn yet!
context: So we have about thirty minutes.\All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet! response:	The Ears of Sand are worthless after all.
context: All right, lights on.\Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all. response:	What the hell is that?
context: Don't let down your guard until we know that the Another's no longer a threat.\Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that? response:	I brought us some more spinners!
context: Is that jerk still going on about this?\Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners! response:	You can't be serious...
context: Well, considering his position...\He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners!\You can't be serious... response:	You asked Anothers for help?
context: He should quit preparing for something that may not happen and actually help out.\It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners!\You can't be serious...\You asked Anothers for help? response:	It'll be fine.
context: It's moving!\But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners!\You can't be serious...\You asked Anothers for help?\It'll be fine. response:	I'm counting on you guys!
context: But it's not dawn yet!\The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners!\You can't be serious...\You asked Anothers for help?\It'll be fine.\I'm counting on you guys! response:	Sure.
context: The Ears of Sand are worthless after all.\What the hell is that?\I brought us some more spinners!\You can't be serious...\You asked Anothers for help?\It'll be fine.\I'm counting on you guys!\Sure. response:	Okay, let's do this!
context: What the hell is that?\I brought us some more spinners!\You can't be serious...\You asked Anothers for help?\It'll be fine.\I'm counting on you guys!\Sure.\Okay, let's do this! response:	Yeah!
context: I brought us some more spinners!\You can't be serious...\You asked Anothers for help?\It'll be fine.\I'm counting on you guys!\Sure.\Okay, let's do this!\Yeah! response:	Hey!
context: You can't be serious...\You asked Anothers for help?\It'll be fine.\I'm counting on you guys!\Sure.\Okay, let's do this!\Yeah!\Hey! response:	This is absurd! I can't even
context: You asked Anothers for help?\It'll be fine.\I'm counting on you guys!\Sure.\Okay, let's do this!\Yeah!\Hey!\This is absurd! I can't even response:	If Miyako says it's okay, then it is, right?
context: It'll be fine.\I'm counting on you guys!\Sure.\Okay, let's do this!\Yeah!\Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right? response:	Yeah!
context: I'm counting on you guys!\Sure.\Okay, let's do this!\Yeah!\Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah! response:	Right?
context: Sure.\Okay, let's do this!\Yeah!\Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah!\Right? response:	Miyako-kun, could I get an explanation for the record?
context: Okay, let's do this!\Yeah!\Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah!\Right?\Miyako-kun, could I get an explanation for the record? response:	Oh, sure...
context: Yeah!\Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah!\Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure... response:	I have no obligation to help humans.
context: Hey!\This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah!\Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans. response:	And humans are the ones who burned the cocoons and angered the Silkworm Princess.
context: This is absurd! I can't even\If Miyako says it's okay, then it is, right?\Yeah!\Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess. response:	You're exactly right.
context: If Miyako says it's okay, then it is, right?\Yeah!\Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right. response:	There's nothing I can say to deny that.
context: Yeah!\Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that. response:	But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.
context: Right?\Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either. response:	I don't want that to happen because of something humans did.
context: Miyako-kun, could I get an explanation for the record?\Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did. response:	I understand that I'm being selfish.
context: Oh, sure...\I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish. response:	But this is all I can do.
context: I have no obligation to help humans.\And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do. response:	Please, Tarobo-san, members of the tengu clan...
context: And humans are the ones who burned the cocoons and angered the Silkworm Princess.\You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan... response:	Please lend me a hand.
context: You're exactly right.\There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand. response:	What do you guys wanna do?
context: There's nothing I can say to deny that.\But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do? response:	If the princess can't make the festival, there'll be all kinds of trouble.
context: But if Manari-sama becomes a tatarigami, you'll no longer be able to live here, either.\I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble. response:	Yeah, but...
context: I don't want that to happen because of something humans did.\I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but... response:	The humans should get what they deserve.
context: I understand that I'm being selfish.\But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve. response:	But we might not be able to live here anymore.
context: But this is all I can do.\Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore. response:	Yeah...
context: Please, Tarobo-san, members of the tengu clan...\Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah... response:	All right.
context: Please lend me a hand.\What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah...\All right. response:	Guys, gather up the others.
context: What do you guys wanna do?\If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah...\All right.\Guys, gather up the others. response:	I have somewhere to go with Seimei.
context: If the princess can't make the festival, there'll be all kinds of trouble.\Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah...\All right.\Guys, gather up the others.\I have somewhere to go with Seimei. response:	You can use all the help you can get right now, right?
context: Yeah, but...\The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah...\All right.\Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right? response:	We're going to get Adiel.
context: The humans should get what they deserve.\But we might not be able to live here anymore.\Yeah...\All right.\Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel. response:	I owe you, Seimei.
context: But we might not be able to live here anymore.\Yeah...\All right.\Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei. response:	I mean... Miyako Arata.
context: Yeah...\All right.\Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata. response:	I'm counting on you to help me out the next time I need help.
context: All right.\Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help. response:	Of course, Tarobo-san!
context: Guys, gather up the others.\I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help.\Of course, Tarobo-san! response:	I promise!
context: I have somewhere to go with Seimei.\You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help.\Of course, Tarobo-san!\I promise! response:	I see. So that's how you got all these people.
context: You can use all the help you can get right now, right?\We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help.\Of course, Tarobo-san!\I promise!\I see. So that's how you got all these people. response:	Well, I mean, they're Anothers. Not people.
context: We're going to get Adiel.\I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help.\Of course, Tarobo-san!\I promise!\I see. So that's how you got all these people.\Well, I mean, they're Anothers. Not people. response:	So the tengu added some conditions.
context: I owe you, Seimei.\I mean... Miyako Arata.\I'm counting on you to help me out the next time I need help.\Of course, Tarobo-san!\I promise!\I see. So that's how you got all these people.\Well, I mean, they're Anothers. Not people.\So the tengu added some conditions. response:	I know you said it was dangerous to negotiate,
