context: The next time I fall in love, response:	I'd prefer a guy who's a bit coldhearted.
context: Come on, Nana.\Thanks for the meal.\There's more miso soup, so just ask.\Yes.\She never did answer my question.\Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person. response:	If I knew what was coming, I would've only looked at Takumi.
context: Thanks for the meal.\There's more miso soup, so just ask.\Yes.\She never did answer my question.\Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi. response:	Takumi!
context: There's more miso soup, so just ask.\Yes.\She never did answer my question.\Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi! response:	Say, Hachiko...
context: Yes.\She never did answer my question.\Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko... response:	I trust you, so I have a favor to ask.
context: She never did answer my question.\Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask. response:	You trust me?
context: Liar!\And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me? response:	Sure. What can I do for you?
context: And to think I was rooting for you so much\that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you? response:	If you do your job well, I'll give you a treat.
context: that I forgot to look at Takumi in person.\If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat. response:	You did take good care of me with this latest event, after all.
context: If I knew what was coming, I would've only looked at Takumi.\Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all. response:	What would you like? Beef jerky?
context: Takumi!\Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky? response:	Takumi's autograph!
context: Say, Hachiko...\I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph! response:	Consider it done.
context: I trust you, so I have a favor to ask.\You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph!\Consider it done. response:	I will ask Ren for it.
context: You trust me?\Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph!\Consider it done.\I will ask Ren for it. response:	All right!
context: Sure. What can I do for you?\If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph!\Consider it done.\I will ask Ren for it.\All right! response:	Does a simple autograph please you that much?
context: If you do your job well, I'll give you a treat.\You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph!\Consider it done.\I will ask Ren for it.\All right!\Does a simple autograph please you that much? response:	It's not that! You and Ren are back together, aren't you?!
context: You did take good care of me with this latest event, after all.\What would you like? Beef jerky?\Takumi's autograph!\Consider it done.\I will ask Ren for it.\All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?! response:	W-Well, I wouldn't exactly... ah...
context: What would you like? Beef jerky?\Takumi's autograph!\Consider it done.\I will ask Ren for it.\All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah... response:	So what I'm asking, since we don't have a phone in our place...
context: Takumi's autograph!\Consider it done.\I will ask Ren for it.\All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place... response:	Well, I do plan to buy a cell phone soon.
context: Consider it done.\I will ask Ren for it.\All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon. response:	But in the meantime, should he need to,
context: I will ask Ren for it.\All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to, response:	I was hoping Ren could call you on your cell...
context: All right!\Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell... response:	So you want me to take Ren's call and relay his messages to you, right Nana?
context: Does a simple autograph please you that much?\It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana? response:	That's right.
context: It's not that! You and Ren are back together, aren't you?!\W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right. response:	I'll gladly do it.
context: W-Well, I wouldn't exactly... ah...\So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it. response:	Here's Ren's cell phone e-mail address, so could you send him your address?
context: So what I'm asking, since we don't have a phone in our place...\Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address? response:	That's great news, Nana.
context: Well, I do plan to buy a cell phone soon.\But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana. response:	It's not!
context: But in the meantime, should he need to,\I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not! response:	Why not?
context: I was hoping Ren could call you on your cell...\So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not!\Why not? response:	Why does it hafta end up like this? This isn't what I intended.
context: So you want me to take Ren's call and relay his messages to you, right Nana?\That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended. response:	I went to wrap things up with him.
context: That's right.\I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him. response:	My intentions were to put an end to it all.
context: I'll gladly do it.\Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all. response:	Why did I get carried away?
context: Here's Ren's cell phone e-mail address, so could you send him your address?\That's great news, Nana.\It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away? response:	That's so lame.
context: That's great news, Nana.\It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away?\That's so lame. response:	She said that while blushing and curling up.
context: It's not!\Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away?\That's so lame.\She said that while blushing and curling up. response:	I had never seen her look so cute.
context: Why not?\Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away?\That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute. response:	Geez... major adrenaline rush...
context: Why does it hafta end up like this? This isn't what I intended.\I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away?\That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush... response:	I want happiness as soon as possible too.
context: I went to wrap things up with him.\My intentions were to put an end to it all.\Why did I get carried away?\That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too. response:	Or rather, a boyfriend.
context: My intentions were to put an end to it all.\Why did I get carried away?\That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend. response:	Then we'll organize a party.
context: Why did I get carried away?\That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party. response:	Not that way. I want a love that's meant to be.
context: That's so lame.\She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be. response:	Oh, but now that you mention it, a party might be good, too.
context: She said that while blushing and curling up.\I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too. response:	What the hell happened over there?
context: I had never seen her look so cute.\Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there? response:	Don't ask me. I'm on a top secret mission.
context: Geez... major adrenaline rush...\I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission. response:	Top secret? Finding a boyfriend?
context: I want happiness as soon as possible too.\Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend? response:	But meeting someone at a party could also be a love meant to be.
context: Or rather, a boyfriend.\Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be. response:	You don't hafta do that.
context: Then we'll organize a party.\Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that. response:	You've got plenty blooming lately right in your own garden.
context: Not that way. I want a love that's meant to be.\Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden. response:	Garden?
context: Oh, but now that you mention it, a party might be good, too.\What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden? response:	Good point. Take the band members of your roommate's band, for instance.
context: What the hell happened over there?\Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance. response:	They seem like great guys for a punk band.
context: Don't ask me. I'm on a top secret mission.\Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band. response:	Isn't there anyone from the band that you like?
context: Top secret? Finding a boyfriend?\But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like? response:	No! For one thing, Yasu belongs to Nana!
context: But meeting someone at a party could also be a love meant to be.\You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana! response:	Huh? Yasu?
context: You don't hafta do that.\You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu? response:	Those two are an item?
context: You've got plenty blooming lately right in your own garden.\Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item? response:	But actually they're not.
context: Garden?\Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item?\But actually they're not. response:	Now I'm confused.
context: Good point. Take the band members of your roommate's band, for instance.\They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item?\But actually they're not.\Now I'm confused. response:	Well, you see, Yasu's really kind to Nana
context: They seem like great guys for a punk band.\Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item?\But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana response:	so I misinterpret their relationship.
context: Isn't there anyone from the band that you like?\No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item?\But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship. response:	Right. But Yasu's like that to anyone, right?
context: No! For one thing, Yasu belongs to Nana!\Huh? Yasu?\Those two are an item?\But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right? response:	Like he's reached a higher spirit like some monk.
context: Huh? Yasu?\Those two are an item?\But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk. response:	He is bald, after all.
context: Those two are an item?\But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all. response:	That's right.
context: But actually they're not.\Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right. response:	Yasu's kind to Nobu and Shin, and to me too.
context: Now I'm confused.\Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too. response:	It's true. Yasu's like that with everyone.
context: Well, you see, Yasu's really kind to Nana\so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone. response:	He's like an elder brother to me.
context: so I misinterpret their relationship.\Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me. response:	In addition, since Nana doesn't have a family,
context: Right. But Yasu's like that to anyone, right?\Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family, response:	Yasu must be thinking of Nana as a real younger sister.
context: Like he's reached a higher spirit like some monk.\He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister. response:	He must be feeling the need to treat her better than a sister.
context: He is bald, after all.\That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister. response:	I see. It's all becoming clearer.
context: That's right.\Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer. response:	Yasu's a great guy.
context: Yasu's kind to Nobu and Shin, and to me too.\It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy. response:	- Right? - Huh?
context: It's true. Yasu's like that with everyone.\He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh? response:	Listen when someone's talking to you!
context: He's like an elder brother to me.\In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you! response:	I was saying, it was unexpected that of the members in Nana's band,
context: In addition, since Nana doesn't have a family,\Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band, response:	you would quickly bring up Yasu's name.
context: Yasu must be thinking of Nana as a real younger sister.\He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name. response:	Oh...
context: He must be feeling the need to treat her better than a sister.\I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh... response:	I thought you didn't like guys like that; with such a scary look.
context: I see. It's all becoming clearer.\Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look. response:	Mhm. But Yasu's different.
context: Yasu's a great guy.\- Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different. response:	Once you get used to the skinhead,
context: - Right? - Huh?\Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead, response:	you accept it as a charming part of his character.
context: Listen when someone's talking to you!\I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character. response:	Also, I basically prefer calm, composed guys who are older than me.
context: I was saying, it was unexpected that of the members in Nana's band,\you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me. response:	You know that, right, Jun-chan?
context: you would quickly bring up Yasu's name.\Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan? response:	And on that note, Yasu's very mature.
context: Oh...\I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature. response:	In addition, he's a lawyer.
context: I thought you didn't like guys like that; with such a scary look.\Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer. response:	That's not part of it.
context: Mhm. But Yasu's different.\Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it. response:	Take away his looks and his job, and he's still a great guy inside.
context: Once you get used to the skinhead,\you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside. response:	What?! Great guy inside?!
context: you accept it as a charming part of his character.\Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?! response:	I never imagined the day would come
context: Also, I basically prefer calm, composed guys who are older than me.\You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come response:	when I'd hear these words coming out of your mouth.
context: You know that, right, Jun-chan?\And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth. response:	Then good. You going for it?
context: And on that note, Yasu's very mature.\In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it? response:	Going where?
context: In addition, he's a lawyer.\That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where? response:	Wherever you need to. Until you burn to ashes.
context: That's not part of it.\Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes. response:	Junko, don't lead her on.
context: Take away his looks and his job, and he's still a great guy inside.\What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on. response:	We're only talking about who she'd prefer among those guys.
context: What?! Great guy inside?!\I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys. response:	Th-That's right, Jun-chan!
context: I never imagined the day would come\when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan! response:	She's blushing, she's blushing.
context: when I'd hear these words coming out of your mouth.\Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing. response:	You seriously like him, by chance?
context: Then good. You going for it?\Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance? response:	No way! I've never once thought about Yasu and me getting together!
context: Going where?\Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together! response:	That's right.
context: Wherever you need to. Until you burn to ashes.\Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right. response:	Nothing can happen between Yasu and me.
context: Junko, don't lead her on.\We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me. response:	Oh, Nana. You're here.
context: We're only talking about who she'd prefer among those guys.\Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here. response:	THUMP!
context: Th-That's right, Jun-chan!\She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP! response:	G-Good evening.
context: She's blushing, she's blushing.\You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP!\G-Good evening. response:	Huh? Where is everyone? Not here yet?
context: You seriously like him, by chance?\No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet? response:	Nana's here, but she went out to buy cigarettes.
context: No way! I've never once thought about Yasu and me getting together!\That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes. response:	I see.
context: That's right.\Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see. response:	What am I gonna do?
context: Nothing can happen between Yasu and me.\Oh, Nana. You're here.\THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do? response:	With Jun-chan bringing that subject up, I can't look at him the same way.
context: Oh, Nana. You're here.\THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way. response:	And it's just us two here. What are we gonna talk about?
context: THUMP!\G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about? response:	Yasu. I brought this Trapnest pamphlet. Wanna take a look?
