context: Oh. So this is where you went. response:	If you stay in a place like this you'll catch a cold.
context: It's okay, isn't it?\You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time! response:	I don't have much life left in me.
context: You'll be getting chocolate from your girlfriends anyway, right, Haruka-senpai?\Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me. response:	I have...
context: Huh? You have a girlfriend?\Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me.\I have... response:	Maybe ninety years left.
context: Yeah. Seven of them.\Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me.\I have...\Maybe ninety years left. response:	That's plenty!
context: Huh? Seven?!\By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me.\I have...\Maybe ninety years left.\That's plenty! response:	Koizumi-senpai, how are things going with Otani-senpai?
context: By dating various different types of women, I'll grow as a man.\It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me.\I have...\Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai? response:	Are you all lovely-dovey now?
context: It's all for the sake of one day going out with you, Risa.\Go out with them one at a time!\I don't have much life left in me.\I have...\Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now? response:	Uh... Haven't I told you yet?
context: Go out with them one at a time!\I don't have much life left in me.\I have...\Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet? response:	You got rejected?!
context: I don't have much life left in me.\I have...\Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?! response:	What the heck?! Why did he reject you?!
context: I have...\Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?! response:	Like I said, he can't see me as his girlfriend.
context: Maybe ninety years left.\That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend. response:	That's...
context: That's plenty!\Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's... response:	Let's not talk about it. I don't want to remember.
context: Koizumi-senpai, how are things going with Otani-senpai?\Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember. response:	LIKE HELL!!!
context: Are you all lovely-dovey now?\Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!! response:	That damn midget... I'll cram him into a vacuum cleaner!
context: Uh... Haven't I told you yet?\You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner! response:	Wait a second. You were rejected, but you're still giving him chocolate?
context: You got rejected?!\What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate? response:	You don't need to say You were rejected.
context: What the heck?! Why did he reject you?!\Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected. response:	But that's what happened.
context: Like I said, he can't see me as his girlfriend.\That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened. response:	You were rejected. Well, whatever. Why are you still giving him chocolate?
context: That's...\Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate? response:	You still love him, right?
context: Let's not talk about it. I don't want to remember.\LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right? response:	Seiko-chan, you truly understand this lonely maiden's heart.
context: LIKE HELL!!!\That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart. response:	I understand! I'm a maiden too!
context: That damn midget... I'll cram him into a vacuum cleaner!\Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too! response:	Shut up, Seishirou!
context: Wait a second. You were rejected, but you're still giving him chocolate?\You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou! response:	It's Seiko! I'm a maiden!
context: You don't need to say You were rejected.\But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden! response:	We don't need to understand that kind of maiden's heart.
context: But that's what happened.\You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart. response:	Hey Risa, just forget him.
context: You were rejected. Well, whatever. Why are you still giving him chocolate?\You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him. response:	Forget all about that idiot who rejected you!
context: You still love him, right?\Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you! response:	Okay?
context: Seiko-chan, you truly understand this lonely maiden's heart.\I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay? response:	It's fine. I think he'll fall for me eventually.
context: I understand! I'm a maiden too!\Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually. response:	Besides, it feels like things are going well at the moment.
context: Shut up, Seishirou!\It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment. response:	Koizumi-senpai!
context: It's Seiko! I'm a maiden!\We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai! response:	Risa!
context: We don't need to understand that kind of maiden's heart.\Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa! response:	Do your best! I'll be cheering for you!
context: Hey Risa, just forget him.\Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you! response:	Thanks. I'll do my best!
context: Forget all about that idiot who rejected you!\Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best! response:	Man...
context: Okay?\It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man... response:	I won't forgive him... That damn midget...
context: It's fine. I think he'll fall for me eventually.\Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget... response:	That's right. It doesn't matter if it takes time.
context: Besides, it feels like things are going well at the moment.\Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time. response:	I don't need to rush.
context: Koizumi-senpai!\Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush. response:	Just slowly, slowly become captivated by me.
context: Risa!\Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me. response:	Koizumi?
context: Do your best! I'll be cheering for you!\Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi? response:	What is it?
context: Thanks. I'll do my best!\Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi?\What is it? response:	Gross. what's got you in such a good mood?
context: Man...\I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi?\What is it?\Gross. what's got you in such a good mood? response:	Nothing. What did you want?
context: I won't forgive him... That damn midget...\That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi?\What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want? response:	Check this out.
context: That's right. It doesn't matter if it takes time.\I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi?\What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out. response:	A new album will be out in Spring.
context: I don't need to rush.\Just slowly, slowly become captivated by me.\Koizumi?\What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out.\A new album will be out in Spring. response:	For real? We've gotta get it!
context: Just slowly, slowly become captivated by me.\Koizumi?\What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out.\A new album will be out in Spring.\For real? We've gotta get it! response:	He'll be doing another concert too.
context: Koizumi?\What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out.\A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too. response:	Really? Wow! That's awesome!
context: What is it?\Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out.\A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome! response:	I'm definitely going.
context: Gross. what's got you in such a good mood?\Nothing. What did you want?\Check this out.\A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going. response:	Me too!
context: Nothing. What did you want?\Check this out.\A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going.\Me too! response:	Of course. Who else would I go to an Umibouzu concert with?
context: Check this out.\A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with? response:	Is that so?
context: A new album will be out in Spring.\For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so? response:	We need to book tickets soon.
context: For real? We've gotta get it!\He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon. response:	Haruka?
context: He'll be doing another concert too.\Really? Wow! That's awesome!\I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon.\Haruka? response:	What the hell was that, you...?!
context: Really? Wow! That's awesome!\I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon.\Haruka?\What the hell was that, you...?! response:	Fukagawa Haruka. Handsome seventeen year old boy,
context: I'm definitely going.\Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon.\Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy, response:	I didn't ask about that!
context: Me too!\Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon.\Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that! response:	Hold on! Haruka, what were you...
context: Of course. Who else would I go to an Umibouzu concert with?\Is that so?\We need to book tickets soon.\Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you... response:	Hey, hey, what's going on?
context: Is that so?\We need to book tickets soon.\Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on? response:	I dunno.
context: We need to book tickets soon.\Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno. response:	Hey, you midget.
context: Haruka?\What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno.\Hey, you midget. response:	What the hell do you want?
context: What the hell was that, you...?!\Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno.\Hey, you midget.\What the hell do you want? response:	You rejected Risa, right?
context: Fukagawa Haruka. Handsome seventeen year old boy,\I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno.\Hey, you midget.\What the hell do you want?\You rejected Risa, right? response:	Seriously?
context: I didn't ask about that!\Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno.\Hey, you midget.\What the hell do you want?\You rejected Risa, right?\Seriously? response:	Risa was...?
context: Hold on! Haruka, what were you...\Hey, hey, what's going on?\I dunno.\Hey, you midget.\What the hell do you want?\You rejected Risa, right?\Seriously?\Risa was...? response:	The comedy duo is breaking up?
context: Hey, hey, what's going on?\I dunno.\Hey, you midget.\What the hell do you want?\You rejected Risa, right?\Seriously?\Risa was...?\The comedy duo is breaking up? response:	Or is this more material?
context: I dunno.\Hey, you midget.\What the hell do you want?\You rejected Risa, right?\Seriously?\Risa was...?\The comedy duo is breaking up?\Or is this more material? response:	For real?
context: Hey, you midget.\What the hell do you want?\You rejected Risa, right?\Seriously?\Risa was...?\The comedy duo is breaking up?\Or is this more material?\For real? response:	What?! Tell me exactly what you think is wrong with Risa?!
context: What the hell do you want?\You rejected Risa, right?\Seriously?\Risa was...?\The comedy duo is breaking up?\Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?! response:	Hey! Haruka!
context: You rejected Risa, right?\Seriously?\Risa was...?\The comedy duo is breaking up?\Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka! response:	Well, I mean... that's... how should I put it...?
context: Seriously?\Risa was...?\The comedy duo is breaking up?\Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...? response:	Wait. Why do I have to explain myself to you?!
context: Risa was...?\The comedy duo is breaking up?\Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?! response:	Shut up!
context: The comedy duo is breaking up?\Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up! response:	Since you had the nerve to do that, stay away from Risa, from now on!
context: Or is this more material?\For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on! response:	Stop toying with her maiden heart, you playboy!
context: For real?\What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy! response:	Don't you think you're being cruel?!
context: What?! Tell me exactly what you think is wrong with Risa?!\Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?! response:	It's not like that, you idiot!
context: Hey! Haruka!\Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot! response:	Oh? Then what is it lik-
context: Well, I mean... that's... how should I put it...?\Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik- response:	Haruka!
context: Wait. Why do I have to explain myself to you?!\Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik-\Haruka! response:	That hurt...
context: Shut up!\Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik-\Haruka!\That hurt... response:	Come with me.
context: Since you had the nerve to do that, stay away from Risa, from now on!\Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik-\Haruka!\That hurt...\Come with me. response:	Oww, oww!
context: Stop toying with her maiden heart, you playboy!\Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik-\Haruka!\That hurt...\Come with me.\Oww, oww! response:	Why?
context: Don't you think you're being cruel?!\It's not like that, you idiot!\Oh? Then what is it lik-\Haruka!\That hurt...\Come with me.\Oww, oww!\Why? response:	You really rejected her?
context: It's not like that, you idiot!\Oh? Then what is it lik-\Haruka!\That hurt...\Come with me.\Oww, oww!\Why?\You really rejected her? response:	How cruel.
context: Oh? Then what is it lik-\Haruka!\That hurt...\Come with me.\Oww, oww!\Why?\You really rejected her?\How cruel. response:	And you seemed to get along so well.
context: Haruka!\That hurt...\Come with me.\Oww, oww!\Why?\You really rejected her?\How cruel.\And you seemed to get along so well. response:	Poor Koizumi-san.
context: That hurt...\Come with me.\Oww, oww!\Why?\You really rejected her?\How cruel.\And you seemed to get along so well.\Poor Koizumi-san. response:	Say something, you guys!
context: Come with me.\Oww, oww!\Why?\You really rejected her?\How cruel.\And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys! response:	I'm on Risa's side.
context: Oww, oww!\Why?\You really rejected her?\How cruel.\And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side. response:	I'm on Nobu-chan's side.
context: Why?\You really rejected her?\How cruel.\And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side. response:	What the hell!
context: You really rejected her?\How cruel.\And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell! response:	Sheesh. Don't do pointless stuff like this.
context: How cruel.\And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this. response:	But that guy is so cruel!
context: And you seemed to get along so well.\Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel! response:	How so?
context: Poor Koizumi-san.\Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so? response:	He rejected you, but he's still going around smiling like nothing happened!
context: Say something, you guys!\I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened! response:	There's a limit to how dense a person can be!
context: I'm on Risa's side.\I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be! response:	It's fine. I told him to do that.
context: I'm on Nobu-chan's side.\What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that. response:	I told him to not worry about it and just act the way he did before.
context: What the hell!\Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before. response:	But even so...
context: Sheesh. Don't do pointless stuff like this.\But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so... response:	I said it's fine, so it's fine!
context: But that guy is so cruel!\How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine! response:	Stop interfering or I'll bite your head off!
context: How so?\He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off! response:	I was just worried about you.
context: He rejected you, but he's still going around smiling like nothing happened!\There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you. response:	I know, and thank you.
context: There's a limit to how dense a person can be!\It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you. response:	But it's fine. I'll work hard on my own.
context: It's fine. I told him to do that.\I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own. response:	Risa...
context: I told him to not worry about it and just act the way he did before.\But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own.\Risa... response:	So just leave me alone, okay?
context: But even so...\I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay? response:	Understand?
context: I said it's fine, so it's fine!\Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay?\Understand? response:	I don't!
context: Stop interfering or I'll bite your head off!\I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay?\Understand?\I don't! response:	Why?!
context: I was just worried about you.\I know, and thank you.\But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay?\Understand?\I don't!\Why?! response:	Fine! I don't care anymore!
context: I know, and thank you.\But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay?\Understand?\I don't!\Why?!\Fine! I don't care anymore! response:	Koizumi-san...
context: But it's fine. I'll work hard on my own.\Risa...\So just leave me alone, okay?\Understand?\I don't!\Why?!\Fine! I don't care anymore!\Koizumi-san... response:	She's so determined.
context: Risa...\So just leave me alone, okay?\Understand?\I don't!\Why?!\Fine! I don't care anymore!\Koizumi-san...\She's so determined. response:	What a sweet girl.
context: So just leave me alone, okay?\Understand?\I don't!\Why?!\Fine! I don't care anymore!\Koizumi-san...\She's so determined.\What a sweet girl. response:	You're an idiot, Otani. How could you reject such a nice girl?
context: Understand?\I don't!\Why?!\Fine! I don't care anymore!\Koizumi-san...\She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl? response:	So cruel... You're so cruel.
context: I don't!\Why?!\Fine! I don't care anymore!\Koizumi-san...\She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel. response:	Just a minute, you guys. At least hear me out...
context: Why?!\Fine! I don't care anymore!\Koizumi-san...\She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out... response:	Uh, don't worry about what Haruka did just now.
context: Fine! I don't care anymore!\Koizumi-san...\She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out...\Uh, don't worry about what Haruka did just now. response:	Koizumi-san!
context: Koizumi-san...\She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out...\Uh, don't worry about what Haruka did just now.\Koizumi-san! response:	We're all on your side!
context: She's so determined.\What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out...\Uh, don't worry about what Haruka did just now.\Koizumi-san!\We're all on your side! response:	Hurray for Koizumi-san!
context: What a sweet girl.\You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out...\Uh, don't worry about what Haruka did just now.\Koizumi-san!\We're all on your side!\Hurray for Koizumi-san! response:	Hurray!
context: You're an idiot, Otani. How could you reject such a nice girl?\So cruel... You're so cruel.\Just a minute, you guys. At least hear me out...\Uh, don't worry about what Haruka did just now.\Koizumi-san!\We're all on your side!\Hurray for Koizumi-san!\Hurray! response:	H-H-H-Hey, what's going on?
