context: The ice here is in the way. response:	Then why don't we have two boats set off here,
context: Was I wrong?\All right.\I'll think it over again.\Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious. response:	I know.
context: All right.\I'll think it over again.\Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious.\I know. response:	You're not going to deny it this time?
context: I'll think it over again.\Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious.\I know.\You're not going to deny it this time? response:	Can I hold you?
context: Are you really still thinking about it?\About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious.\I know.\You're not going to deny it this time?\Can I hold you? response:	No...
context: About who I really love?\No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious.\I know.\You're not going to deny it this time?\Can I hold you?\No... response:	Chisaki.
context: No, I still think that you're in love with me.\But I'm trying to figure out how to get you to admit it.\I'm serious.\I know.\You're not going to deny it this time?\Can I hold you?\No...\Chisaki. response:	No, no, no...
context: But I'm trying to figure out how to get you to admit it.\I'm serious.\I know.\You're not going to deny it this time?\Can I hold you?\No...\Chisaki.\No, no, no... response:	I can't be the only happy one...
context: I'm serious.\I know.\You're not going to deny it this time?\Can I hold you?\No...\Chisaki.\No, no, no...\I can't be the only happy one... response:	No...
context: I know.\You're not going to deny it this time?\Can I hold you?\No...\Chisaki.\No, no, no...\I can't be the only happy one...\No... response:	Sea Salt
context: You're not going to deny it this time?\Can I hold you?\No...\Chisaki.\No, no, no...\I can't be the only happy one...\No...\Sea Salt response:	Hikari!
context: Can I hold you?\No...\Chisaki.\No, no, no...\I can't be the only happy one...\No...\Sea Salt\Hikari! response:	What's the matter?
context: No...\Chisaki.\No, no, no...\I can't be the only happy one...\No...\Sea Salt\Hikari!\What's the matter? response:	Hikari, where are you going...
context: Chisaki.\No, no, no...\I can't be the only happy one...\No...\Sea Salt\Hikari!\What's the matter?\Hikari, where are you going... response:	at this hour?
context: No, no, no...\I can't be the only happy one...\No...\Sea Salt\Hikari!\What's the matter?\Hikari, where are you going...\at this hour? response:	I just thought I'd go check out the boat.
context: I can't be the only happy one...\No...\Sea Salt\Hikari!\What's the matter?\Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat. response:	The boat?
context: No...\Sea Salt\Hikari!\What's the matter?\Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat.\The boat? response:	I was just thinking that tomorrow's the day.
context: Sea Salt\Hikari!\What's the matter?\Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day. response:	So I wanted to make sure we didn't miss anything in the preparations.
context: Hikari!\What's the matter?\Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations. response:	I hope Manaka-san's love comes back...
context: What's the matter?\Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back... response:	But that's not the only thing at stake.
context: Hikari, where are you going...\at this hour?\I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake. response:	Hopefully we'll be able to do something about the surface, too.
context: at this hour?\I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too. response:	Yeah, but I hope it comes back.
context: I just thought I'd go check out the boat.\The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back. response:	Apparently that's all girls think about.
context: The boat?\I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about. response:	You should be more concerned about the bigger pict
context: I was just thinking that tomorrow's the day.\So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict response:	You love Manaka-san, don't you?
context: So I wanted to make sure we didn't miss anything in the preparations.\I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you? response:	Wh-What are you talking abou
context: I hope Manaka-san's love comes back...\But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou response:	You love her, right?
context: But that's not the only thing at stake.\Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right? response:	Well...
context: Hopefully we'll be able to do something about the surface, too.\Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right?\Well... response:	Yeah.
context: Yeah, but I hope it comes back.\Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right?\Well...\Yeah. response:	Say it more!
context: Apparently that's all girls think about.\You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right?\Well...\Yeah.\Say it more! response:	Huh?!
context: You should be more concerned about the bigger pict\You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right?\Well...\Yeah.\Say it more!\Huh?! response:	Say it more.
context: You love Manaka-san, don't you?\Wh-What are you talking abou\You love her, right?\Well...\Yeah.\Say it more!\Huh?!\Say it more. response:	Say that you love Manaka-san more.
context: Wh-What are you talking abou\You love her, right?\Well...\Yeah.\Say it more!\Huh?!\Say it more.\Say that you love Manaka-san more. response:	A-Are you stupid?
context: You love her, right?\Well...\Yeah.\Say it more!\Huh?!\Say it more.\Say that you love Manaka-san more.\A-Are you stupid? response:	Say it.
context: Well...\Yeah.\Say it more!\Huh?!\Say it more.\Say that you love Manaka-san more.\A-Are you stupid?\Say it. response:	In return for all the things I've done for you.
context: Yeah.\Say it more!\Huh?!\Say it more.\Say that you love Manaka-san more.\A-Are you stupid?\Say it.\In return for all the things I've done for you. response:	What kinds of things are you into?!
context: Say it more!\Huh?!\Say it more.\Say that you love Manaka-san more.\A-Are you stupid?\Say it.\In return for all the things I've done for you.\What kinds of things are you into?! response:	Say it.
context: Huh?!\Say it more.\Say that you love Manaka-san more.\A-Are you stupid?\Say it.\In return for all the things I've done for you.\What kinds of things are you into?!\Say it. response:	Please...
context: Say it more.\Say that you love Manaka-san more.\A-Are you stupid?\Say it.\In return for all the things I've done for you.\What kinds of things are you into?!\Say it.\Please... response:	I'm in love with Manaka.
context: Say that you love Manaka-san more.\A-Are you stupid?\Say it.\In return for all the things I've done for you.\What kinds of things are you into?!\Say it.\Please...\I'm in love with Manaka. response:	More!
context: A-Are you stupid?\Say it.\In return for all the things I've done for you.\What kinds of things are you into?!\Say it.\Please...\I'm in love with Manaka.\More! response:	I love Manaka.
context: Say it.\In return for all the things I've done for you.\What kinds of things are you into?!\Say it.\Please...\I'm in love with Manaka.\More!\I love Manaka. response:	More...
context: In return for all the things I've done for you.\What kinds of things are you into?!\Say it.\Please...\I'm in love with Manaka.\More!\I love Manaka.\More... response:	More!
context: What kinds of things are you into?!\Say it.\Please...\I'm in love with Manaka.\More!\I love Manaka.\More...\More! response:	Hey, would you give it a res
context: Say it.\Please...\I'm in love with Manaka.\More!\I love Manaka.\More...\More!\Hey, would you give it a res response:	Miuna?
context: Please...\I'm in love with Manaka.\More!\I love Manaka.\More...\More!\Hey, would you give it a res\Miuna? response:	Where are you
context: I'm in love with Manaka.\More!\I love Manaka.\More...\More!\Hey, would you give it a res\Miuna?\Where are you response:	I'm going home!
context: More!\I love Manaka.\More...\More!\Hey, would you give it a res\Miuna?\Where are you\I'm going home! response:	It hurts...
context: I love Manaka.\More...\More!\Hey, would you give it a res\Miuna?\Where are you\I'm going home!\It hurts... response:	The love that I feel for Hikari... hurts.
context: More...\More!\Hey, would you give it a res\Miuna?\Where are you\I'm going home!\It hurts...\The love that I feel for Hikari... hurts. response:	It needs to hurt more and more,
context: More!\Hey, would you give it a res\Miuna?\Where are you\I'm going home!\It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more, response:	to push my feelings for Hikari to a breaking point,
context: Hey, would you give it a res\Miuna?\Where are you\I'm going home!\It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point, response:	so I can feel like throwing them away.
context: Miuna?\Where are you\I'm going home!\It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away. response:	And then, will I...
context: Where are you\I'm going home!\It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I... response:	Will I be able to give up on Hikari?
context: I'm going home!\It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari? response:	Nishiura
context: It hurts...\The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari?\Nishiura response:	Thank you very much.
context: The love that I feel for Hikari... hurts.\It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari?\Nishiura\Thank you very much. response:	Congrats, old man Kihara.
context: It needs to hurt more and more,\to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari?\Nishiura\Thank you very much.\Congrats, old man Kihara. response:	Glad to hear that you're finally allowed to go out.
context: to push my feelings for Hikari to a breaking point,\so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari?\Nishiura\Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out. response:	It's finally time.
context: so I can feel like throwing them away.\And then, will I...\Will I be able to give up on Hikari?\Nishiura\Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time. response:	I'm so nervous!
context: And then, will I...\Will I be able to give up on Hikari?\Nishiura\Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous! response:	I need to check the program.
context: Will I be able to give up on Hikari?\Nishiura\Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous!\I need to check the program. response:	All right, look up a little.
context: Nishiura\Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous!\I need to check the program.\All right, look up a little. response:	O-Okay.
context: Thank you very much.\Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous!\I need to check the program.\All right, look up a little.\O-Okay. response:	Yes, like that.
context: Congrats, old man Kihara.\Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous!\I need to check the program.\All right, look up a little.\O-Okay.\Yes, like that. response:	So...
context: Glad to hear that you're finally allowed to go out.\It's finally time.\I'm so nervous!\I need to check the program.\All right, look up a little.\O-Okay.\Yes, like that.\So... response:	first we need to get the sacred fire from Uroko-sama...
context: It's finally time.\I'm so nervous!\I need to check the program.\All right, look up a little.\O-Okay.\Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama... response:	This time, the Ofunehiki won't have any help from the sea.
context: I'm so nervous!\I need to check the program.\All right, look up a little.\O-Okay.\Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea. response:	So it's different from usual and a bit complicated...
context: I need to check the program.\All right, look up a little.\O-Okay.\Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated... response:	Akira-kun.
context: All right, look up a little.\O-Okay.\Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun. response:	Um...
context: O-Okay.\Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun.\Um... response:	There's something I forgot to tell you.
context: Yes, like that.\So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun.\Um...\There's something I forgot to tell you. response:	Thank you for the letter.
context: So...\first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun.\Um...\There's something I forgot to tell you.\Thank you for the letter. response:	Kancho!
context: first we need to get the sacred fire from Uroko-sama...\This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun.\Um...\There's something I forgot to tell you.\Thank you for the letter.\Kancho! response:	Jeez...
context: This time, the Ofunehiki won't have any help from the sea.\So it's different from usual and a bit complicated...\Akira-kun.\Um...\There's something I forgot to tell you.\Thank you for the letter.\Kancho!\Jeez... response:	So love means...
context: So it's different from usual and a bit complicated...\Akira-kun.\Um...\There's something I forgot to tell you.\Thank you for the letter.\Kancho!\Jeez...\So love means... response:	thank you...
context: Akira-kun.\Um...\There's something I forgot to tell you.\Thank you for the letter.\Kancho!\Jeez...\So love means...\thank you... response:	Really, that outfit...
context: Um...\There's something I forgot to tell you.\Thank you for the letter.\Kancho!\Jeez...\So love means...\thank you...\Really, that outfit... response:	looks so much better on adults than junior high kids.
context: There's something I forgot to tell you.\Thank you for the letter.\Kancho!\Jeez...\So love means...\thank you...\Really, that outfit...\looks so much better on adults than junior high kids. response:	Kaname.
context: Thank you for the letter.\Kancho!\Jeez...\So love means...\thank you...\Really, that outfit...\looks so much better on adults than junior high kids.\Kaname. response:	Um...
context: Kancho!\Jeez...\So love means...\thank you...\Really, that outfit...\looks so much better on adults than junior high kids.\Kaname.\Um... response:	Hm?
context: Jeez...\So love means...\thank you...\Really, that outfit...\looks so much better on adults than junior high kids.\Kaname.\Um...\Hm? response:	Thank you...
context: So love means...\thank you...\Really, that outfit...\looks so much better on adults than junior high kids.\Kaname.\Um...\Hm?\Thank you... response:	Because I played telephone with Tsumugu?
context: thank you...\Really, that outfit...\looks so much better on adults than junior high kids.\Kaname.\Um...\Hm?\Thank you...\Because I played telephone with Tsumugu? response:	About a lot of things.
context: Really, that outfit...\looks so much better on adults than junior high kids.\Kaname.\Um...\Hm?\Thank you...\Because I played telephone with Tsumugu?\About a lot of things. response:	Chisaki, you're not thinking anything weird, are you?
context: looks so much better on adults than junior high kids.\Kaname.\Um...\Hm?\Thank you...\Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you? response:	Huh?
context: Kaname.\Um...\Hm?\Thank you...\Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh? response:	Like thinking that you'll become the Ojoshi-sama instead this time...
context: Um...\Hm?\Thank you...\Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time... response:	All of us were always together.
context: Hm?\Thank you...\Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together. response:	Then I was the only one on the surface...
context: Thank you...\Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface... response:	No.
context: Because I played telephone with Tsumugu?\About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface...\No. response:	Kaname.
context: About a lot of things.\Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface...\No.\Kaname. response:	You can't.
context: Chisaki, you're not thinking anything weird, are you?\Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface...\No.\Kaname.\You can't. response:	Right.
context: Huh?\Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface...\No.\Kaname.\You can't.\Right. response:	Uroko-sama has arrived!
context: Like thinking that you'll become the Ojoshi-sama instead this time...\All of us were always together.\Then I was the only one on the surface...\No.\Kaname.\You can't.\Right.\Uroko-sama has arrived! response:	This way, Uroko-sama.
context: All of us were always together.\Then I was the only one on the surface...\No.\Kaname.\You can't.\Right.\Uroko-sama has arrived!\This way, Uroko-sama. response:	For the love of...
context: Then I was the only one on the surface...\No.\Kaname.\You can't.\Right.\Uroko-sama has arrived!\This way, Uroko-sama.\For the love of... response:	How dare you trap me in such a small space?
context: No.\Kaname.\You can't.\Right.\Uroko-sama has arrived!\This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space? response:	Hm...
context: Kaname.\You can't.\Right.\Uroko-sama has arrived!\This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space?\Hm... response:	Not bad.
context: You can't.\Right.\Uroko-sama has arrived!\This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space?\Hm...\Not bad. response:	You sound all important.
context: Right.\Uroko-sama has arrived!\This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space?\Hm...\Not bad.\You sound all important. response:	That's because I am important. It can't be helped.
context: Uroko-sama has arrived!\This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space?\Hm...\Not bad.\You sound all important.\That's because I am important. It can't be helped. response:	So that's the Ojoshi.
context: This way, Uroko-sama.\For the love of...\How dare you trap me in such a small space?\Hm...\Not bad.\You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi. response:	Just like every other time, it looks nothing like the real thing.
context: For the love of...\How dare you trap me in such a small space?\Hm...\Not bad.\You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing. response:	So the original Ojoshi was a lot prettier?
context: How dare you trap me in such a small space?\Hm...\Not bad.\You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier? response:	No, not at all.
context: Hm...\Not bad.\You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all. response:	Huh?
context: Not bad.\You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all.\Huh? response:	She was a shrimp with freckles everywhere,
context: You sound all important.\That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all.\Huh?\She was a shrimp with freckles everywhere, response:	and her body was weak...
context: That's because I am important. It can't be helped.\So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all.\Huh?\She was a shrimp with freckles everywhere,\and her body was weak... response:	Though they call it a sacrifice,
context: So that's the Ojoshi.\Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all.\Huh?\She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice, response:	I'm assuming for the humans on the surface,
context: Just like every other time, it looks nothing like the real thing.\So the original Ojoshi was a lot prettier?\No, not at all.\Huh?\She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface, response:	it was a convenient way to get rid of some people.
context: So the original Ojoshi was a lot prettier?\No, not at all.\Huh?\She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people. response:	You... loved the Ojoshi, right?
context: No, not at all.\Huh?\She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right? response:	Well, yes.
context: Huh?\She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes. response:	Before you fell off the Sea God, you were the same person...
context: She was a shrimp with freckles everywhere,\and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person... response:	or rather, the same god, right?
context: and her body was weak...\Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right? response:	Was it really okay to return Ojoshi-sama to the surface like that?
context: Though they call it a sacrifice,\I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that? response:	I was more...
context: I'm assuming for the humans on the surface,\it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more... response:	around the Sea God's shoulder blade area.
context: it was a convenient way to get rid of some people.\You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area. response:	Huh?
context: You... loved the Ojoshi, right?\Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area.\Huh? response:	If I were the right hand's scale,
context: Well, yes.\Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale, response:	I could have touched her hair.
context: Before you fell off the Sea God, you were the same person...\or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale,\I could have touched her hair. response:	If I were on the left hand,
context: or rather, the same god, right?\Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand, response:	I could have held her.
context: Was it really okay to return Ojoshi-sama to the surface like that?\I was more...\around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand,\I could have held her. response:	However, as soon as I fell off, the Sea God became something distinct.
context: I was more...\around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct. response:	Once that happened, I became but a mere scale...
context: around the Sea God's shoulder blade area.\Huh?\If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale... response:	Not to mention a scale of a shoulder blade.
context: Huh?\If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade. response:	What could I speak of the Ojoshi?
context: If I were the right hand's scale,\I could have touched her hair.\If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi? response:	Uroko-sama!
context: I could have touched her hair.\If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama! response:	It's about to begin so please...
context: If I were on the left hand,\I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please... response:	So show me, Hikari.
context: I could have held her.\However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please...\So show me, Hikari. response:	What you're able to change,
context: However, as soon as I fell off, the Sea God became something distinct.\Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please...\So show me, Hikari.\What you're able to change, response:	and what you are not.
context: Once that happened, I became but a mere scale...\Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please...\So show me, Hikari.\What you're able to change,\and what you are not. response:	Look, it's Hikari and the others.
context: Not to mention a scale of a shoulder blade.\What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please...\So show me, Hikari.\What you're able to change,\and what you are not.\Look, it's Hikari and the others. response:	Hey!
context: What could I speak of the Ojoshi?\Uroko-sama!\It's about to begin so please...\So show me, Hikari.\What you're able to change,\and what you are not.\Look, it's Hikari and the others.\Hey! response:	Do your best!
context: Uroko-sama!\It's about to begin so please...\So show me, Hikari.\What you're able to change,\and what you are not.\Look, it's Hikari and the others.\Hey!\Do your best! response:	Sea God...
context: It's about to begin so please...\So show me, Hikari.\What you're able to change,\and what you are not.\Look, it's Hikari and the others.\Hey!\Do your best!\Sea God... response:	How will you respond to the workings of your children?
context: So show me, Hikari.\What you're able to change,\and what you are not.\Look, it's Hikari and the others.\Hey!\Do your best!\Sea God...\How will you respond to the workings of your children? response:	Under your divine benevolence,
context: What you're able to change,\and what you are not.\Look, it's Hikari and the others.\Hey!\Do your best!\Sea God...\How will you respond to the workings of your children?\Under your divine benevolence, response:	we, the people of Shioshishio,
context: and what you are not.\Look, it's Hikari and the others.\Hey!\Do your best!\Sea God...\How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio, response:	have always respected, honored and served
context: Look, it's Hikari and the others.\Hey!\Do your best!\Sea God...\How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served response:	our father, our god, the mighty Sea God,
context: Hey!\Do your best!\Sea God...\How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God, response:	throughout the years since the beginning of time.
context: Do your best!\Sea God...\How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time. response:	O Sea God, most exalted one,
context: Sea God...\How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one, response:	protect us, your children. Bless us, and give us prosperity.
