context: Answer me! response:	You were there during that day when South America vanished.
context: Episode Six Red Giant over Eastern Europe... (Part Two)\What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we? response:	If she awakens, submachine guns like those won't stand a chance.
context: What a strange feeling.\You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance. response:	In any case, what is Mr. 201 thinking?
context: You could say it's kind of nostalgic.\A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking? response:	I thought Havoc was definitely going to be killed.
context: A feeling that would disturb the mental composure of any contractor.\Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed. response:	Why is that?
context: Is it because we're getting closer to the gate?\I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that? response:	Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,
context: I understand why the researchers were anticipating Havoc's awakening.\We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate, response:	which 201 may be an assassin of.
context: We'll bring her into custody before that.\We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of. response:	However, she isn't dead.
context: We will, won't we?\If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead. response:	Furthermore, she's being taken to the gate, just as Pandora wanted to do.
context: If she awakens, submachine guns like those won't stand a chance.\In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do. response:	Everything is being done by a single contractor.
context: In any case, what is Mr. 201 thinking?\I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor. response:	It's quite a mystery.
context: I thought Havoc was definitely going to be killed.\Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery. response:	You...
context: Why is that?\Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery.\You... response:	Let's go.
context: Who knows? If she regains her memory, it might pose a threat to a certain mysterious syndicate,\which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery.\You...\Let's go. response:	He's there.
context: which 201 may be an assassin of.\However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery.\You...\Let's go.\He's there. response:	Where?
context: However, she isn't dead.\Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery.\You...\Let's go.\He's there.\Where? response:	Sotobori Avenue, Kagurazakashita.
context: Furthermore, she's being taken to the gate, just as Pandora wanted to do.\Everything is being done by a single contractor.\It's quite a mystery.\You...\Let's go.\He's there.\Where?\Sotobori Avenue, Kagurazakashita. response:	Is he with Havoc?
context: Everything is being done by a single contractor.\It's quite a mystery.\You...\Let's go.\He's there.\Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc? response:	Together,
context: It's quite a mystery.\You...\Let's go.\He's there.\Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together, response:	but...
context: You...\Let's go.\He's there.\Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together,\but... response:	Kirihara.
context: Let's go.\He's there.\Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together,\but...\Kirihara. response:	This is Ohtsuka. A report from the Division of Astronomy just came in.
context: He's there.\Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together,\but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in. response:	Havoc's stellar spectrum has entered optical spectrum status.
context: Where?\Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together,\but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status. response:	Say that again. What about Havoc?
context: Sotobori Avenue, Kagurazakashita.\Is he with Havoc?\Together,\but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc? response:	She might regain her abilities!
context: Is he with Havoc?\Together,\but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities! response:	Request for immediate dispatch of the Special Forces,
context: Together,\but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces, response:	but do not fire until I give the order to do so.
context: but...\Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so. response:	Affirmative.
context: Kirihara.\This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative. response:	Where's November 11?
context: This is Ohtsuka. A report from the Division of Astronomy just came in.\Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative.\Where's November 11? response:	He was just here a minute ago.
context: Havoc's stellar spectrum has entered optical spectrum status.\Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative.\Where's November 11?\He was just here a minute ago. response:	Boss!
context: Say that again. What about Havoc?\She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative.\Where's November 11?\He was just here a minute ago.\Boss! response:	Wait.
context: She might regain her abilities!\Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative.\Where's November 11?\He was just here a minute ago.\Boss!\Wait. response:	I'm sorry.
context: Request for immediate dispatch of the Special Forces,\but do not fire until I give the order to do so.\Affirmative.\Where's November 11?\He was just here a minute ago.\Boss!\Wait.\I'm sorry. response:	Stay away!
context: but do not fire until I give the order to do so.\Affirmative.\Where's November 11?\He was just here a minute ago.\Boss!\Wait.\I'm sorry.\Stay away! response:	I can feel...
context: Affirmative.\Where's November 11?\He was just here a minute ago.\Boss!\Wait.\I'm sorry.\Stay away!\I can feel... response:	that sensation coming back.
context: Where's November 11?\He was just here a minute ago.\Boss!\Wait.\I'm sorry.\Stay away!\I can feel...\that sensation coming back. response:	I was willing to accept my abilities again if I had been able to change like you did.
context: He was just here a minute ago.\Boss!\Wait.\I'm sorry.\Stay away!\I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did. response:	But...
context: Boss!\Wait.\I'm sorry.\Stay away!\I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But... response:	I don't deserve to.
context: Wait.\I'm sorry.\Stay away!\I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to. response:	If only I had met you earlier,
context: I'm sorry.\Stay away!\I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to.\If only I had met you earlier, response:	I could have lived without having to fear the contract.
context: Stay away!\I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract. response:	Kill me.
context: I can feel...\that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me. response:	I'm begging you.
context: that sensation coming back.\I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me.\I'm begging you. response:	We're going to run away from here.
context: I was willing to accept my abilities again if I had been able to change like you did.\But...\I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me.\I'm begging you.\We're going to run away from here. response:	You're no longer a contractor.
context: But...\I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me.\I'm begging you.\We're going to run away from here.\You're no longer a contractor. response:	You don't have to die.
context: I don't deserve to.\If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me.\I'm begging you.\We're going to run away from here.\You're no longer a contractor.\You don't have to die. response:	It has begun.
context: If only I had met you earlier,\I could have lived without having to fear the contract.\Kill me.\I'm begging you.\We're going to run away from here.\You're no longer a contractor.\You don't have to die.\It has begun. response:	I'm scared! No!
context: I could have lived without having to fear the contract.\Kill me.\I'm begging you.\We're going to run away from here.\You're no longer a contractor.\You don't have to die.\It has begun.\I'm scared! No! response:	I don't want to change back...
context: Kill me.\I'm begging you.\We're going to run away from here.\You're no longer a contractor.\You don't have to die.\It has begun.\I'm scared! No!\I don't want to change back... response:	I don't want to kill any more!
context: I'm begging you.\We're going to run away from here.\You're no longer a contractor.\You don't have to die.\It has begun.\I'm scared! No!\I don't want to change back...\I don't want to kill any more! response:	I don't want to take more lives!
context: We're going to run away from here.\You're no longer a contractor.\You don't have to die.\It has begun.\I'm scared! No!\I don't want to change back...\I don't want to kill any more!\I don't want to take more lives! response:	So, please...
context: You're no longer a contractor.\You don't have to die.\It has begun.\I'm scared! No!\I don't want to change back...\I don't want to kill any more!\I don't want to take more lives!\So, please... response:	You'll be okay. Your abilities won't return as long as you stay away from here.
context: You don't have to die.\It has begun.\I'm scared! No!\I don't want to change back...\I don't want to kill any more!\I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here. response:	You won't have to kill anymore!
context: It has begun.\I'm scared! No!\I don't want to change back...\I don't want to kill any more!\I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore! response:	Isn't that right?
context: I'm scared! No!\I don't want to change back...\I don't want to kill any more!\I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right? response:	That's enough.
context: I don't want to change back...\I don't want to kill any more!\I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right?\That's enough. response:	Run away.
context: I don't want to kill any more!\I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right?\That's enough.\Run away. response:	I finally caught you.
context: I don't want to take more lives!\So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right?\That's enough.\Run away.\I finally caught you. response:	Unfortunately, you won't be able to reach me from that distance.
context: So, please...\You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right?\That's enough.\Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance. response:	Nice, aren't they?
context: You'll be okay. Your abilities won't return as long as you stay away from here.\You won't have to kill anymore!\Isn't that right?\That's enough.\Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they? response:	Made in Japan. It's quality rubber.
context: You won't have to kill anymore!\Isn't that right?\That's enough.\Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber. response:	Electricity can't pass through at all.
context: Isn't that right?\That's enough.\Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all. response:	Havoc is dead.
context: That's enough.\Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead. response:	Your mission should have been terminated immediately.
context: Run away.\I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately. response:	I used a lot of my power because of you.
context: I finally caught you.\Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you. response:	Do as we say without further resistance.
context: Unfortunately, you won't be able to reach me from that distance.\Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance. response:	We won't hold you accountable for this incident.
context: Nice, aren't they?\Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident. response:	We have no intentions of handing you over to either Pandora or local authorities.
context: Made in Japan. It's quality rubber.\Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities. response:	I just want to know about the organization you belong to.
context: Electricity can't pass through at all.\Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to. response:	Decide rationally, as a contractor would,
context: Havoc is dead.\Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would, response:	201BK.
context: Your mission should have been terminated immediately.\I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK. response:	Die.
context: I used a lot of my power because of you.\Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK.\Die. response:	Why didn't she use her abilities?
context: Do as we say without further resistance.\We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK.\Die.\Why didn't she use her abilities? response:	I had confirmation from the Division of Astronomy
context: We won't hold you accountable for this incident.\We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK.\Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy response:	that she had regained her powers.
context: We have no intentions of handing you over to either Pandora or local authorities.\I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK.\Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers. response:	I didn't know you were so afraid of her.
context: I just want to know about the organization you belong to.\Decide rationally, as a contractor would,\201BK.\Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her. response:	I'm kidding.
context: Decide rationally, as a contractor would,\201BK.\Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding. response:	Why did you act on your own?
context: 201BK.\Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own? response:	I'm not going to report this to the syndicate.
context: Die.\Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate. response:	If they find out, our asses are as good as dead.
context: Why didn't she use her abilities?\I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead. response:	In that case, why didn't you kill me back there?
context: I had confirmation from the Division of Astronomy\that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there? response:	Don't fuck around with me, bastard!
context: that she had regained her powers.\I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard! response:	Huang!
context: I didn't know you were so afraid of her.\I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang! response:	Contractors like you should just shut up and kill people.
context: I'm kidding.\Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people. response:	British Secret Intelligence Service
context: Why did you act on your own?\I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service response:	It's me.
context: I'm not going to report this to the syndicate.\If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me. response:	I read the report.
context: If they find out, our asses are as good as dead.\In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me.\I read the report. response:	Remain there and continue investigating both the organization in question and 201BK.
context: In that case, why didn't you kill me back there?\Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK. response:	Hi to all the good boys and girls watching the show this late at night!
context: Don't fuck around with me, bastard!\Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night! response:	We're going to boost the ratings by introducing the obligatory beauty.
context: Huang!\Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty. response:	She'll easily win the hearts of all the older viewers!
context: Contractors like you should just shut up and kill people.\British Secret Intelligence Service\It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers! response:	Who's a beauty, you airhead?!
context: British Secret Intelligence Service\It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?! response:	What are you saying, boss?
context: It's me.\I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?!\What are you saying, boss? response:	The audience won't take you seriously unless you make a memorable first impression!
context: I read the report.\Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?!\What are you saying, boss?\The audience won't take you seriously unless you make a memorable first impression! response:	In the next episode, The Adventures of the Detective's Sidekick, Ayanuma Kiko will begin!
context: Remain there and continue investigating both the organization in question and 201BK.\Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?!\What are you saying, boss?\The audience won't take you seriously unless you make a memorable first impression!\In the next episode, The Adventures of the Detective's Sidekick, Ayanuma Kiko will begin! response:	Everyone pay attention and look forward to it, nya!
context: Hi to all the good boys and girls watching the show this late at night!\We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?!\What are you saying, boss?\The audience won't take you seriously unless you make a memorable first impression!\In the next episode, The Adventures of the Detective's Sidekick, Ayanuma Kiko will begin!\Everyone pay attention and look forward to it, nya! response:	You could have at least made the title The Melancholy of Detective Kurasawa Gai!
context: We're going to boost the ratings by introducing the obligatory beauty.\She'll easily win the hearts of all the older viewers!\Who's a beauty, you airhead?!\What are you saying, boss?\The audience won't take you seriously unless you make a memorable first impression!\In the next episode, The Adventures of the Detective's Sidekick, Ayanuma Kiko will begin!\Everyone pay attention and look forward to it, nya!\You could have at least made the title The Melancholy of Detective Kurasawa Gai! response:	Episode Seven The Scent of Gardenias Lingers in the Summer Rain... (Part One)
