context: Gotcha! response:	Wow, it's big!
context: I don't get it.\There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah...\I want to watch!\No, wait- response:	This one, right?
context: There are so many things that I don't understand.\Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah...\I want to watch!\No, wait-\This one, right? response:	Hey, wait a minute!
context: Let me think for a while. Don't talk to me.\I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah...\I want to watch!\No, wait-\This one, right?\Hey, wait a minute! response:	Just pass it to me!
context: I don't like silence; can I turn on the TV?\Oh! TV, huh?\Yeah...\I want to watch!\No, wait-\This one, right?\Hey, wait a minute!\Just pass it to me! response:	Hmm, which one should I press?
context: Oh! TV, huh?\Yeah...\I want to watch!\No, wait-\This one, right?\Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press? response:	Press
context: Yeah...\I want to watch!\No, wait-\This one, right?\Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press?\Press response:	Magical Girl Lolikko Cutie!
context: I want to watch!\No, wait-\This one, right?\Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie! response:	I won't forgive evil!
context: No, wait-\This one, right?\Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie!\I won't forgive evil! response:	Wow, that's the TV I've heard about?
context: This one, right?\Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about? response:	The pictures are moving.
context: Hey, wait a minute!\Just pass it to me!\Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving. response:	What kind of trick is this?
context: Just pass it to me!\Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this? response:	You may just continue to watch.
context: Hmm, which one should I press?\Press\Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this?\You may just continue to watch. response:	In the name of love and justice!
context: Press\Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this?\You may just continue to watch.\In the name of love and justice! response:	Eat this! Magical Funny Stone!
context: Magical Girl Lolikko Cutie!\I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this?\You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone! response:	It's interesting?
context: I won't forgive evil!\Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this?\You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting? response:	What an eye-opener. I'm starting to feel that this is it.
context: Wow, that's the TV I've heard about?\The pictures are moving.\What kind of trick is this?\You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it. response:	Do you have writing papers?
context: The pictures are moving.\What kind of trick is this?\You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers? response:	Writing? You mean calligraphy?
context: What kind of trick is this?\You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy? response:	Time for revenge.
context: You may just continue to watch.\In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge. response:	Got it!
context: In the name of love and justice!\Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge.\Got it! response:	Spare me that, really.
context: Eat this! Magical Funny Stone!\It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge.\Got it!\Spare me that, really. response:	Sword or fire has no effect on impurities.
context: It's interesting?\What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge.\Got it!\Spare me that, really.\Sword or fire has no effect on impurities. response:	That being said, I'll get tainted if I touch them with my bare hands.
context: What an eye-opener. I'm starting to feel that this is it.\Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge.\Got it!\Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands. response:	Woah, an outbreak of spiders. Creepy.
context: Do you have writing papers?\Writing? You mean calligraphy?\Time for revenge.\Got it!\Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy. response:	Spiders are creepy? Nice pun.
context: Writing? You mean calligraphy?\Time for revenge.\Got it!\Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun. response:	Exorcism is needed to cleanse the impurities.
context: Time for revenge.\Got it!\Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities. response:	Which means the purifying power of a god is effective against them.
context: Got it!\Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them. response:	But I can't summon that much power with this body.
context: Spare me that, really.\Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body. response:	In that case, I just have to compensate with an external option.
context: Sword or fire has no effect on impurities.\That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option. response:	In short, an exorcist item!
context: That being said, I'll get tainted if I touch them with my bare hands.\Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item! response:	Hey, wait-
context: Woah, an outbreak of spiders. Creepy.\Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait- response:	A beautiful young girl, a land deity and a guardian deity!
context: Spiders are creepy? Nice pun.\Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity! response:	I won't forgive the impurities!
context: Exorcism is needed to cleanse the impurities.\Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities! response:	The streamers on my exorcist item, gather the purifying power of the gods!
context: Which means the purifying power of a god is effective against them.\But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods! response:	A powerful weapon that crushes the enemy!
context: But I can't summon that much power with this body.\In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy! response:	Erm, what are you doing?
context: In that case, I just have to compensate with an external option.\In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing? response:	Hurry up and catch them.
context: In short, an exorcist item!\Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them. response:	Okay.
context: Hey, wait-\A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them.\Okay. response:	Don't move.
context: A beautiful young girl, a land deity and a guardian deity!\I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them.\Okay.\Don't move. response:	Okay.
context: I won't forgive the impurities!\The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them.\Okay.\Don't move.\Okay. response:	They disappeared.
context: The streamers on my exorcist item, gather the purifying power of the gods!\A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them.\Okay.\Don't move.\Okay.\They disappeared. response:	This! This is it!
context: A powerful weapon that crushes the enemy!\Erm, what are you doing?\Hurry up and catch them.\Okay.\Don't move.\Okay.\They disappeared.\This! This is it! response:	I just need to eliminate the impurities in the name of love and justice, just like that!
context: Erm, what are you doing?\Hurry up and catch them.\Okay.\Don't move.\Okay.\They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that! response:	My name is Nagi.
context: Hurry up and catch them.\Okay.\Don't move.\Okay.\They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi. response:	I didn't tell you my name yet.
context: Okay.\Don't move.\Okay.\They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet. response:	The same name as the tree. Easy to remember, right?
context: Don't move.\Okay.\They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right? response:	I'm...
context: Okay.\They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm... response:	Jin. Mikuriya Jin.
context: They disappeared.\This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin. response:	Jin, huh?
context: This! This is it!\I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin.\Jin, huh? response:	Jin!
context: I just need to eliminate the impurities in the name of love and justice, just like that!\My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin.\Jin, huh?\Jin! response:	What are you doing?
context: My name is Nagi.\I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin.\Jin, huh?\Jin!\What are you doing? response:	I'm hungry. Let's go home.
context: I didn't tell you my name yet.\The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin.\Jin, huh?\Jin!\What are you doing?\I'm hungry. Let's go home. response:	Go home... where?
context: The same name as the tree. Easy to remember, right?\I'm...\Jin. Mikuriya Jin.\Jin, huh?\Jin!\What are you doing?\I'm hungry. Let's go home.\Go home... where? response:	I asked for a tai fish.
context: I'm...\Jin. Mikuriya Jin.\Jin, huh?\Jin!\What are you doing?\I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish. response:	That's also a tai. A real tai is too expensive.
context: Jin. Mikuriya Jin.\Jin, huh?\Jin!\What are you doing?\I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive. response:	You'll get struck by lightning if you scrimp on the offerings.
context: Jin, huh?\Jin!\What are you doing?\I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings. response:	Considering that in the past they would have offered fresh tai in various occasions.
context: Jin!\What are you doing?\I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions. response:	Fresh offerings?
context: What are you doing?\I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings? response:	Nice pun!
context: I'm hungry. Let's go home.\Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun! response:	What's with her?
context: Go home... where?\I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun!\What's with her? response:	Well, I'll make do with this for now.
context: I asked for a tai fish.\That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun!\What's with her?\Well, I'll make do with this for now. response:	I want a real tai for dinner.
context: That's also a tai. A real tai is too expensive.\You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun!\What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner. response:	This is... What is this?
context: You'll get struck by lightning if you scrimp on the offerings.\Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun!\What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this? response:	This is also delicious!
context: Considering that in the past they would have offered fresh tai in various occasions.\Fresh offerings?\Nice pun!\What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this?\This is also delicious! response:	Do you really have nowhere to return to?
context: Fresh offerings?\Nice pun!\What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this?\This is also delicious!\Do you really have nowhere to return to? response:	The sacred tree has become like that.
context: Nice pun!\What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this?\This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that. response:	You should understand.
context: What's with her?\Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this?\This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand. response:	Well, that doesn't fit your image...
context: Well, I'll make do with this for now.\I want a real tai for dinner.\This is... What is this?\This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image... response:	Isn't it your fault to begin with that you made such a vessel?
context: I want a real tai for dinner.\This is... What is this?\This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel? response:	It's my fault?
context: This is... What is this?\This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault? response:	Are you trying to weasel out now?
context: This is also delicious!\Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now? response:	Wipe away the bean paste please.
context: Do you really have nowhere to return to?\The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please. response:	Anyhow, I need your power to cleanse the impurities, just like earlier.
context: The sacred tree has become like that.\You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier. response:	Obviously it's better to stay with you.
context: You should understand.\Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you. response:	I see...
context: Well, that doesn't fit your image...\Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see... response:	Calamities will spread if the number of impurities increase.
context: Isn't it your fault to begin with that you made such a vessel?\It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase. response:	In short, it's all for the sake of this land.
context: It's my fault?\Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land. response:	Just accept that fact and let me stay here.
context: Are you trying to weasel out now?\Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here. response:	It's time for the news.
context: Wipe away the bean paste please.\Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news. response:	Firstly...
context: Anyhow, I need your power to cleanse the impurities, just like earlier.\Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news.\Firstly... response:	Even if she appears suddenly before me and says she's a god...
context: Obviously it's better to stay with you.\I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god... response:	Besides, living with a girl under one roof is a bit...
context: I see...\Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit... response:	What am I thinking? I can't possibly be with her!
context: Calamities will spread if the number of impurities increase.\In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her! response:	Jin.
context: In short, it's all for the sake of this land.\Just accept that fact and let me stay here.\It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin. response:	I'm safe as long as I stay with you.
context: Just accept that fact and let me stay here.\It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you. response:	I'll be counting on you.
context: It's time for the news.\Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you.\I'll be counting on you. response:	In any case, you can stay in this house for the time being.
context: Firstly...\Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being. response:	I live alone anyway, but I'll need to give an explanation when my father comes home.
context: Even if she appears suddenly before me and says she's a god...\Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home. response:	Okay...
context: Besides, living with a girl under one roof is a bit...\What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay... response:	Since we're living together, there are many things that we need to decide upon.
context: What am I thinking? I can't possibly be with her!\Jin.\I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon. response:	For example, the meals.
context: Jin.\I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals. response:	I eat anything, whether it's seafood or mountain vegetables.
context: I'm safe as long as I stay with you.\I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables. response:	I'm not talking about your food preference.
context: I'll be counting on you.\In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference. response:	I'm talking about who should make the meals.
context: In any case, you can stay in this house for the time being.\I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals. response:	It can't be helped; I'll prepare the meals for now.
context: I live alone anyway, but I'll need to give an explanation when my father comes home.\Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now. response:	Oh yeah, please throw out the rubbish in exchange.
context: Okay...\Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange. response:	Separate the flammable, inflammable, recyclable trash, and the PET bottles...
context: Since we're living together, there are many things that we need to decide upon.\For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles... response:	I'll explain later.
context: For example, the meals.\I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later. response:	I don't quite understand, but are you making a fool out of me?
context: I eat anything, whether it's seafood or mountain vegetables.\I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me? response:	I'm not!
context: I'm not talking about your food preference.\I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not! response:	Was I tricked?
context: I'm talking about who should make the meals.\It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked? response:	And also, the laundry...
context: It can't be helped; I'll prepare the meals for now.\Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked?\And also, the laundry... response:	Hey, before you sleep...
context: Oh yeah, please throw out the rubbish in exchange.\Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked?\And also, the laundry...\Hey, before you sleep... response:	A bath!
context: Separate the flammable, inflammable, recyclable trash, and the PET bottles...\I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked?\And also, the laundry...\Hey, before you sleep...\A bath! response:	Please take a bath!
context: I'll explain later.\I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked?\And also, the laundry...\Hey, before you sleep...\A bath!\Please take a bath! response:	A bath feels great! I feel like I've come back to life!
context: I don't quite understand, but are you making a fool out of me?\I'm not!\Was I tricked?\And also, the laundry...\Hey, before you sleep...\A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life! response:	Err!
context: I'm not!\Was I tricked?\And also, the laundry...\Hey, before you sleep...\A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life!\Err! response:	Hmm? What?
context: Was I tricked?\And also, the laundry...\Hey, before you sleep...\A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life!\Err!\Hmm? What? response:	What about your clothes?
context: And also, the laundry...\Hey, before you sleep...\A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life!\Err!\Hmm? What?\What about your clothes? response:	Should I wash yours?
context: Hey, before you sleep...\A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life!\Err!\Hmm? What?\What about your clothes?\Should I wash yours? response:	Oh, thanks!
context: A bath!\Please take a bath!\A bath feels great! I feel like I've come back to life!\Err!\Hmm? What?\What about your clothes?\Should I wash yours?\Oh, thanks! response:	Speaking of which, do you have another set of clothes?
context: Please take a bath!\A bath feels great! I feel like I've come back to life!\Err!\Hmm? What?\What about your clothes?\Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes? response:	Of course I don't have them.
context: A bath feels great! I feel like I've come back to life!\Err!\Hmm? What?\What about your clothes?\Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them. response:	Uh... These.
context: Err!\Hmm? What?\What about your clothes?\Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These. response:	I'm back.
context: Hmm? What?\What about your clothes?\Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These.\I'm back. response:	Oh, where did you go?
context: What about your clothes?\Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These.\I'm back.\Oh, where did you go? response:	I borrowed this from your drawers.
context: Should I wash yours?\Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These.\I'm back.\Oh, where did you go?\I borrowed this from your drawers. response:	You should take a bath too-
context: Oh, thanks!\Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These.\I'm back.\Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too- response:	No! Change out of that!
context: Speaking of which, do you have another set of clothes?\Of course I don't have them.\Uh... These.\I'm back.\Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too-\No! Change out of that! response:	Refreshing!
context: Of course I don't have them.\Uh... These.\I'm back.\Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too-\No! Change out of that!\Refreshing! response:	I'm going to take a bath, so keep still and watch TV, okay?
