context: From when I was little, I had a question in my mind. response:	Why am I only myself, and not someone else?
context: Let's go to the nurse's office. Can you walk?\Yes...\Then, I'll go home now.\Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right? response:	But, you just saved my life!
context: Yes...\Then, I'll go home now.\Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life! response:	I'd like to properly repay that, and I'd like to chat with you a little while longer...
context: Then, I'll go home now.\Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer... response:	Whoa, I have a call. Who is it?
context: Please wait!\U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it? response:	Then, I'll go home. Yup, yup, yup.
context: U-Um...\The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup. response:	Mitchon, what's wrong?
context: The two of us were about to go eat our favorite pancakes together...\would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong? response:	My big brother suddenly came back from Kyoto,
context: would you like to come with us?\I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto, response:	and he apparently ordered top-end sushi for the entire family!
context: I'll have to pass. It's better to keep that among friends, right?\But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family! response:	So, I'm leaving the rest to the two of you! Thanks!
context: But, you just saved my life!\I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks! response:	That was an obvious farce, but a nice assist nonetheless, Mitchon!
context: I'd like to properly repay that, and I'd like to chat with you a little while longer...\Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon! response:	Sorry to make you wait.
context: Whoa, I have a call. Who is it?\Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait. response:	Um, there's a special way to eat this.
context: Then, I'll go home. Yup, yup, yup.\Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this. response:	Oh?
context: Mitchon, what's wrong?\My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this.\Oh? response:	Please mimic me.
context: My big brother suddenly came back from Kyoto,\and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this.\Oh?\Please mimic me. response:	If you do this, the syrup gets across to the entire thing.
context: and he apparently ordered top-end sushi for the entire family!\So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this.\Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing. response:	Then, stack them up, cut them, and try a bite of it.
context: So, I'm leaving the rest to the two of you! Thanks!\That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this.\Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it. response:	Amazing! Just by changing how you eat it, it gets this delicious? I never knew!
context: That was an obvious farce, but a nice assist nonetheless, Mitchon!\Sorry to make you wait.\Um, there's a special way to eat this.\Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew! response:	No matter how many times I eat this, it's delicious...
context: Sorry to make you wait.\Um, there's a special way to eat this.\Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious... response:	Oh, um...
context: Um, there's a special way to eat this.\Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um... response:	The song they're playing right now is Haro-haro, isn't it?
context: Oh?\Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it? response:	Haro-haro?
context: Please mimic me.\If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro? response:	You don't know of them? I had thought every boy knew of them very well.
context: If you do this, the syrup gets across to the entire thing.\Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well. response:	So something like them is popular nowadays?
context: Then, stack them up, cut them, and try a bite of it.\Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays? response:	Otosaka, can we go home together from school
context: Amazing! Just by changing how you eat it, it gets this delicious? I never knew!\No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school response:	or have an occasional meal together like this again sometime?
context: No matter how many times I eat this, it's delicious...\Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime? response:	Sure, I guess.
context: Oh, um...\The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess. response:	I'm so glad...
context: The song they're playing right now is Haro-haro, isn't it?\Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad... response:	Shall we go home together today as well? I will be waiting for you near the main gate.
context: Haro-haro?\You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate. response:	Oh, I shouldn't do this out loud.
context: You don't know of them? I had thought every boy knew of them very well.\So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud. response:	I guess I'll hurry on over.
context: So something like them is popular nowadays?\Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over. response:	Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...
context: Otosaka, can we go home together from school\or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat... response:	What's this?
context: or have an occasional meal together like this again sometime?\Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this? response:	Yu Otosaka from class 1-1, please report immediately to the student council room.
context: Sure, I guess.\I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room. response:	-Sorry, I will be late.
context: I'm so glad...\Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late. response:	-Sorry, I will be late. -I will be waiting.
context: Shall we go home together today as well? I will be waiting for you near the main gate.\Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting. response:	I'm Omura, the student council president.
context: Oh, I shouldn't do this out loud.\I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president. response:	What do you want with me? I'm making someone wait, so I'd like you to make it quick.
context: I guess I'll hurry on over.\Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick. response:	That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.
context: Yu Otosaka from class 1-1, please report immediately to the student council room. I repeat...\What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day. response:	A perfect score... so marvelous.
context: What's this?\Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous. response:	The same exact test has been placed right there.
context: Yu Otosaka from class 1-1, please report immediately to the student council room.\-Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there. response:	Right here, right now, please try to get a perfect score once again.
context: -Sorry, I will be late.\-Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again. response:	Huh?
context: -Sorry, I will be late. -I will be waiting.\I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh? response:	What meaning is there behind that?
context: I'm Omura, the student council president.\What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that? response:	There is an accusation that you may have cheated on the exam.
context: What do you want with me? I'm making someone wait, so I'd like you to make it quick.\That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam. response:	If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.
context: That is really up to you. This is a copy of your answer sheet to the aptitude test from the other day.\A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower. response:	This is absurd! I will excuse myself right now!
context: A perfect score... so marvelous.\The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now! response:	Concerning this case, we have the authorization of both the principal and the vice-principal.
context: The same exact test has been placed right there.\Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal. response:	If you escape now, you will apparently be expelled from the school.
context: Right here, right now, please try to get a perfect score once again.\Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school. response:	E-Expelled?!
context: Huh?\What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?! response:	Now, please begin.
context: What meaning is there behind that?\There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin. response:	Right there lies all of the answers...
context: There is an accusation that you may have cheated on the exam.\If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin.\Right there lies all of the answers... response:	I'll possess him and find out! That's the only way!
context: If you can get 90 or above, you are innocent. You will be deemed guilty if your score is any lower.\This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way! response:	Making such a fool of me!
context: This is absurd! I will excuse myself right now!\Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me! response:	What in the world has happened?
context: Concerning this case, we have the authorization of both the principal and the vice-principal.\If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened? response:	To me, it only seemed like you were tearing that up?
context: If you escape now, you will apparently be expelled from the school.\E-Expelled?!\Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up? response:	Got him!
context: E-Expelled?!\Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him! response:	Hello there, I'm Tomori, the student council president... of another school, though.
context: Now, please begin.\Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though. response:	So, I was recording you for all this time.
context: Right there lies all of the answers...\I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time. response:	Can you take a look at the video I just recorded?
context: I'll possess him and find out! That's the only way!\Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded? response:	Please take a note of the time.
context: Making such a fool of me!\What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time. response:	You were not looking at him the moment he ripped the answer sheet.
context: What in the world has happened?\To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet. response:	Yet, you said he ripped it up.
context: To me, it only seemed like you were tearing that up?\Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up. response:	Isn't that a bit strange?
context: Got him!\Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange? response:	I'll show you others.
context: Hello there, I'm Tomori, the student council president... of another school, though.\So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others. response:	You have a special ability to possess other people.
context: So, I was recording you for all this time.\Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people. response:	Using that, you cheat on every exam.
context: Can you take a look at the video I just recorded?\Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam. response:	Isn't that right?
context: Please take a note of the time.\You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right? response:	T-That's not true! It's a sleeping disease!
context: You were not looking at him the moment he ripped the answer sheet.\Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease! response:	I suddenly get tremendously sleepy, and can't fight that urge!
context: Yet, you said he ripped it up.\Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge! response:	You really are a troublesome one. I'll show you this now. Here.
context: Isn't that a bit strange?\I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here. response:	A copy of your medical exams.
context: I'll show you others.\You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams. response:	As far as this goes, such a disease doesn't exist.
context: You have a special ability to possess other people.\Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist. response:	Now, please solve the problems on the test.
context: Using that, you cheat on every exam.\Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test. response:	Such a farce! I can't deal with it!
context: Isn't that right?\T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it! response:	I see... she had foreseen that it would even end up this way.
context: T-That's not true! It's a sleeping disease!\I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way. response:	Then, everything from here on is my job.
context: I suddenly get tremendously sleepy, and can't fight that urge!\You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job. response:	Run! Right now!
context: You really are a troublesome one. I'll show you this now. Here.\A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now! response:	Dammit!
context: A copy of your medical exams.\As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now!\Dammit! response:	Are you all right?
context: As far as this goes, such a disease doesn't exist.\Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now!\Dammit!\Are you all right? response:	Y-Yes... I'm fine.
context: Now, please solve the problems on the test.\Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now!\Dammit!\Are you all right?\Y-Yes... I'm fine. response:	What?
context: Such a farce! I can't deal with it!\I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now!\Dammit!\Are you all right?\Y-Yes... I'm fine.\What? response:	What the hell is going on here?!
context: I see... she had foreseen that it would even end up this way.\Then, everything from here on is my job.\Run! Right now!\Dammit!\Are you all right?\Y-Yes... I'm fine.\What?\What the hell is going on here?! response:	You... what the hell did you just do?
context: Then, everything from here on is my job.\Run! Right now!\Dammit!\Are you all right?\Y-Yes... I'm fine.\What?\What the hell is going on here?!\You... what the hell did you just do? response:	Teleportation.
context: Run! Right now!\Dammit!\Are you all right?\Y-Yes... I'm fine.\What?\What the hell is going on here?!\You... what the hell did you just do?\Teleportation. response:	Teleportation?
context: Dammit!\Are you all right?\Y-Yes... I'm fine.\What?\What the hell is going on here?!\You... what the hell did you just do?\Teleportation.\Teleportation? response:	Yes. Just like it sounds, I teleport instantly to move to another location.
context: Are you all right?\Y-Yes... I'm fine.\What?\What the hell is going on here?!\You... what the hell did you just do?\Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location. response:	But this ability doesn't let me conveniently stop exactly where I want.
context: Y-Yes... I'm fine.\What?\What the hell is going on here?!\You... what the hell did you just do?\Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want. response:	Thanks to this ability, I don't know how many times I've been hospitalized...
context: What?\What the hell is going on here?!\You... what the hell did you just do?\Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized... response:	What an incomplete ability!
context: What the hell is going on here?!\You... what the hell did you just do?\Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability! response:	But anyway, what are you going to do with me from now on?!
context: You... what the hell did you just do?\Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?! response:	We will have you transfer over to our school.
context: Teleportation.\Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school. response:	Transfer?!
context: Teleportation?\Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school.\Transfer?! response:	Yes. In this world, there are many people who possess special powers, not just you.
context: Yes. Just like it sounds, I teleport instantly to move to another location.\But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school.\Transfer?!\Yes. In this world, there are many people who possess special powers, not just you. response:	However, those special skills can be considered an illness caught during adolescence,
context: But this ability doesn't let me conveniently stop exactly where I want.\Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school.\Transfer?!\Yes. In this world, there are many people who possess special powers, not just you.\However, those special skills can be considered an illness caught during adolescence, response:	and will disappear in due time.
context: Thanks to this ability, I don't know how many times I've been hospitalized...\What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school.\Transfer?!\Yes. In this world, there are many people who possess special powers, not just you.\However, those special skills can be considered an illness caught during adolescence,\and will disappear in due time. response:	Until it goes away, however, please keep commuting to our school, the Hoshinoumi Academy.
context: What an incomplete ability!\But anyway, what are you going to do with me from now on?!\We will have you transfer over to our school.\Transfer?!\Yes. In this world, there are many people who possess special powers, not just you.\However, those special skills can be considered an illness caught during adolescence,\and will disappear in due time.\Until it goes away, however, please keep commuting to our school, the Hoshinoumi Academy. response:	Huh?!
