context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: You should at least make that clear.\He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go! response:	Yeah!
context: He's always been easy to read.\Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go!\Yeah! response:	Certain Victory Karasuno
context: Have you guys seen him before?\Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go!\Yeah!\Certain Victory Karasuno response:	So they finally made it this far...
context: Yes. When we were still first-years,\he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go!\Yeah!\Certain Victory Karasuno\So they finally made it this far... response:	Huge Bargain Sale
context: he came to one of our games...\We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go!\Yeah!\Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale response:	Yeah. Let's give it our all, too.
context: We'll never let him say that we're grounded crows again.\Japanese National High School Volleyball Tournament\All right, here we go!\Yeah!\Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too. response:	Yeah.
context: Japanese National High School Volleyball Tournament\All right, here we go!\Yeah!\Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah. response:	All right!
context: All right, here we go!\Yeah!\Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah.\All right! response:	Ladies and gentlemen from the Karasuno shopping district,
context: Yeah!\Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district, response:	Karasuno Alumni Cheer Squad, and cheer squad hopefuls!
context: Certain Victory Karasuno\So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls! response:	First, let's beat Shiratorizawa at cheering!
context: So they finally made it this far...\Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering! response:	Fly
context: Huge Bargain Sale\Yeah. Let's give it our all, too.\Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly response:	Karasuno High School Volleyball Club
context: Yeah. Let's give it our all, too.\Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club response:	Listen up, everyone!
context: Yeah.\All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club\Listen up, everyone! response:	Two, three,four...
context: All right!\Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four... response:	We need to cheer as loud as we can so our cheers
context: Ladies and gentlemen from the Karasuno shopping district,\Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers response:	Five, six, seven, eight...
context: Karasuno Alumni Cheer Squad, and cheer squad hopefuls!\First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight... response:	become the players' strength!
context: First, let's beat Shiratorizawa at cheering!\Fly\Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength! response:	Right!
context: Fly\Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength!\Right! response:	The vice-principal sure seems worked up about this, suddenly.
context: Karasuno High School Volleyball Club\Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly. response:	Come on. We need to practice once.
context: Listen up, everyone!\Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once. response:	Ready, and...
context: Two, three,four...\We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and... response:	Was he always like that?
context: We need to cheer as loud as we can so our cheers\Five, six, seven, eight...\become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and...\Was he always like that? response:	Go, go, Karasuno! Push it, push it, Karasuno!
context: Five, six, seven, eight...\become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno! response:	Go, go, Karasuno! Push it, push it, Karasuno!
context: become the players' strength!\Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno! response:	Hey! We just practiced this yesterday!
context: Right!\The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday! response:	Sir, you say we practiced, but it was just a little bit after school...
context: The vice-principal sure seems worked up about this, suddenly.\Come on. We need to practice once.\Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school... response:	A-Are they going to be okay?
context: Come on. We need to practice once.\Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay? response:	We can't panic!
context: Ready, and...\Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic! response:	Look at them! Look how confident they are!
context: Was he always like that?\Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are! response:	I'm going to the bathroom again.
context: Go, go, Karasuno! Push it, push it, Karasuno!\Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again. response:	I-I need stomach medicine.
context: Go, go, Karasuno! Push it, push it, Karasuno!\Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine. response:	Me, too...
context: Hey! We just practiced this yesterday!\Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine.\Me, too... response:	Center court...
context: Sir, you say we practiced, but it was just a little bit after school...\A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine.\Me, too...\Center court... response:	Noya-san, cheer! Cheer!
context: A-Are they going to be okay?\We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine.\Me, too...\Center court...\Noya-san, cheer! Cheer! response:	Are you okay, Yamaguchi-kun?!
context: We can't panic!\Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine.\Me, too...\Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?! response:	So jealous! Damn it!
context: Look at them! Look how confident they are!\I'm going to the bathroom again.\I-I need stomach medicine.\Me, too...\Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it! response:	Tanaka, Nishinoya, shut up!
context: I'm going to the bathroom again.\I-I need stomach medicine.\Me, too...\Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up! response:	You guys are panicking way too much.
context: I-I need stomach medicine.\Me, too...\Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much. response:	E-Every... Everyone, calm...
context: Me, too...\Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm... response:	This is Karasuno?
context: Center court...\Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno? response:	I'm not anyone suspicious!
context: Noya-san, cheer! Cheer!\Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious! response:	I saw this suspicious guy wandering around.
context: Are you okay, Yamaguchi-kun?!\So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around. response:	He ran when he saw me, so I caught him!
context: So jealous! Damn it!\Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him! response:	Hey!
context: Tanaka, Nishinoya, shut up!\You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey! response:	I thought he might be a Shiratorizawa spy.
context: You guys are panicking way too much.\E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy. response:	What?!
context: E-Every... Everyone, calm...\This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy.\What?! response:	W-Wait! I'm a relative!
context: This is Karasuno?\I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative! response:	I'm Tsukishima Kei's older brother!
context: I'm not anyone suspicious!\I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother! response:	Tsukishima's older brother?!
context: I saw this suspicious guy wandering around.\He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?! response:	Shh! Shh!
context: He ran when he saw me, so I caught him!\Hey!\I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh! response:	He told me not to come to the match.
context: Hey!\I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match. response:	Those two are nothing alike... especially their personalities.
context: I thought he might be a Shiratorizawa spy.\What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities. response:	Huh?
context: What?!\W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh? response:	Shiratorizawa!
context: W-Wait! I'm a relative!\I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa! response:	Shiratorizawa!
context: I'm Tsukishima Kei's older brother!\Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa!\Shiratorizawa! response:	Shiratorizawa!
context: Tsukishima's older brother?!\Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa! response:	All right, here we go!
context: Shh! Shh!\He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\All right, here we go! response:	All right, here we go!
context: He told me not to come to the match.\Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\All right, here we go!\All right, here we go! response:	Be Courageous Warriors
context: Those two are nothing alike... especially their personalities.\Huh?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\All right, here we go!\All right, here we go!\Be Courageous Warriors response:	All right, here we go!
context: Huh?\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go! response:	All right, here we go!
context: Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\All right, here we go! response:	Our opponent today...
context: Shiratorizawa!\Shiratorizawa!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\All right, here we go!\Our opponent today... response:	Our opponent today...
context: Shiratorizawa!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\All right, here we go!\Our opponent today...\Our opponent today... response:	Nice to meet you!
context: All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\All right, here we go!\Our opponent today...\Our opponent today...\Nice to meet you! response:	Nice to meet you!
context: All right, here we go!\Be Courageous Warriors\All right, here we go!\All right, here we go!\Our opponent today...\Our opponent today...\Nice to meet you!\Nice to meet you! response:	All right, here we go!
context: Be Courageous Warriors\All right, here we go!\All right, here we go!\Our opponent today...\Our opponent today...\Nice to meet you!\Nice to meet you!\All right, here we go! response:	All right, here we go!
context: All right, here we go!\All right, here we go!\Our opponent today...\Our opponent today...\Nice to meet you!\Nice to meet you!\All right, here we go!\All right, here we go! response:	Be Courageous Warriors
context: All right, here we go!\Our opponent today...\Our opponent today...\Nice to meet you!\Nice to meet you!\All right, here we go!\All right, here we go!\Be Courageous Warriors response:	All right, here we go!
context: Our opponent today...\Our opponent today...\Nice to meet you!\Nice to meet you!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go! response:	Wow...
context: Our opponent today...\Nice to meet you!\Nice to meet you!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\Wow... response:	Yeah, they definitely feel like a powerhouse school.
context: Nice to meet you!\Nice to meet you!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school. response:	Come to think of it, the other team hasn't shown up yet.
context: Nice to meet you!\All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet. response:	Yeah, they're late.
context: All right, here we go!\All right, here we go!\Be Courageous Warriors\All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late. response:	Damn it. They must be taking their sweet time.
context: All right, here we go!\Be Courageous Warriors\All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time. response:	Shiratorizawa Academy
context: Be Courageous Warriors\All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy response:	Maybe it's their dignity as champions, or something.
context: All right, here we go!\Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something. response:	All right, here we go!
context: Wow...\Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go! response:	Are they underestimating us?
context: Yeah, they definitely feel like a powerhouse school.\Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us? response:	They're here!
context: Come to think of it, the other team hasn't shown up yet.\Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us?\They're here! response:	Shimada Mart Everything 50 Off
context: Yeah, they're late.\Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: Damn it. They must be taking their sweet time.\Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: Shiratorizawa Academy\Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	All right, let's start our meeting.
context: Maybe it's their dignity as champions, or something.\All right, here we go!\Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting. response:	Shiratorizawa Academy Countermeasure Documents
context: All right, here we go!\Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents response:	Hey, I know you're tired from already playing two matches today,
context: Are they underestimating us?\They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today, response:	but you'd better listen.
context: They're here!\Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen. response:	Tomorrow's the next match.
context: Shimada Mart Everything 50 Off\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match. response:	First, I'm going to start with my honest opinion...
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion... response:	If the most complete team in the prefecture is Aoba Johsai,
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai, response:	Shiratorizawa is the most incomplete team in the prefecture.
context: All right, let's start our meeting.\Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture. response:	Incomplete?
context: Shiratorizawa Academy Countermeasure Documents\Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete? response:	Do you know why I think that?
context: Hey, I know you're tired from already playing two matches today,\but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that? response:	That's because I looked at the file your managers made
context: but you'd better listen.\Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made response:	after they found out everything they could about Shiratorizawa.
context: Tomorrow's the next match.\First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa. response:	Kiyoko-san did that for me?!
context: First, I'm going to start with my honest opinion...\If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?! response:	No, it was for all of you.
context: If the most complete team in the prefecture is Aoba Johsai,\Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you. response:	That's about all that we can do, so...
context: Shiratorizawa is the most incomplete team in the prefecture.\Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so... response:	Right, Hitoka-chan?
context: Incomplete?\Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan? response:	Oh, yes.
context: Do you know why I think that?\That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes. response:	We wanted to be of some use to you all...
context: That's because I looked at the file your managers made\after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all... response:	Thank you, Yachi-san!
context: after they found out everything they could about Shiratorizawa.\Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san! response:	You guys had better not let it go to waste!
context: Kiyoko-san did that for me?!\No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste! response:	You'd better clean out those ears and listen!
context: No, it was for all of you.\That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen! response:	Right!
context: That's about all that we can do, so...\Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right! response:	Um, so what do you mean by incomplete team?
context: Right, Hitoka-chan?\Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team? response:	If you'd call the attacks we and most other teams do multiplication,
context: Oh, yes.\We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication, response:	Shiratorizawa is addition.
context: We wanted to be of some use to you all...\Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition. response:	Their addition consists of adding powerful strengths together.
context: Thank you, Yachi-san!\You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together. response:	We use speed, the differences in positions,
context: You guys had better not let it go to waste!\You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions, response:	and time as techniques to get through blocks.
context: You'd better clean out those ears and listen!\Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks. response:	Shiratorizawa also uses the difference in time,
context: Right!\Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time, response:	but when their receives are a bit off,
context: Um, so what do you mean by incomplete team?\If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off, response:	or in cases where they want to score, no matter what,
context: If you'd call the attacks we and most other teams do multiplication,\Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what, response:	they set really high to their wing spikers, especially Ushijima.
context: Shiratorizawa is addition.\Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima. response:	There is only one reason for that.
