context: Intro response:	Mwahaha.
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Title
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The response:	Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The\Overlord response:	Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The\Overlord\Overlord response:	Climbs
context: Overlord at Work!\Overlord at Work!\Title\The\The\Overlord\Overlord\Climbs response:	Climbs
context: Overlord at Work!\Title\The\The\Overlord\Overlord\Climbs\Climbs response:	the
context: Title\The\The\Overlord\Overlord\Climbs\Climbs\the response:	the
context: The\The\Overlord\Overlord\Climbs\Climbs\the\the response:	Stairs
context: The\Overlord\Overlord\Climbs\Climbs\the\the\Stairs response:	Stairs
context: Overlord\Overlord\Climbs\Climbs\the\the\Stairs\Stairs response:	at
context: Overlord\Climbs\Climbs\the\the\Stairs\Stairs\at response:	at
context: Climbs\Climbs\the\the\Stairs\Stairs\at\at response:	School
context: Climbs\the\the\Stairs\Stairs\at\at\School response:	School
context: the\the\Stairs\Stairs\at\at\School\School response:	Part A
context: the\Stairs\Stairs\at\at\School\School\Part A response:	Did you just say Olba disappeared?
context: Stairs\Stairs\at\at\School\School\Part A\Did you just say Olba disappeared? response:	Indeed. It seems Hero Emilia is still alive in another world.
context: Stairs\at\at\School\School\Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world. response:	What?
context: at\at\School\School\Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What? response:	That's not all.
context: at\School\School\Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all. response:	Looks like the Overlord is still alive as well.
context: School\School\Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all.\Looks like the Overlord is still alive as well. response:	The Overlord too?
context: School\Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all.\Looks like the Overlord is still alive as well.\The Overlord too? response:	But Olba said she disappeared along with Better Half
context: Part A\Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all.\Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half response:	after a fierce battle at Castle Overlord.
context: Did you just say Olba disappeared?\Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all.\Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord. response:	He was lying through his teeth.
context: Indeed. It seems Hero Emilia is still alive in another world.\What?\That's not all.\Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth. response:	Emerada and Albert's capture
context: What?\That's not all.\Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture response:	was Lord Olba's doing as well.
context: That's not all.\Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well. response:	What?
context: Looks like the Overlord is still alive as well.\The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well.\What? response:	As for Emerada,
context: The Overlord too?\But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well.\What?\As for Emerada, response:	her return to St. Isle's already been confirmed.
context: But Olba said she disappeared along with Better Half\after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well.\What?\As for Emerada,\her return to St. Isle's already been confirmed. response:	We've received word that she's trying to
context: after a fierce battle at Castle Overlord.\He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well.\What?\As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to response:	expose Emilia's status and Lord Olba's defection.
context: He was lying through his teeth.\Emerada and Albert's capture\was Lord Olba's doing as well.\What?\As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection. response:	Defection? A High Priest, defect?!
context: Emerada and Albert's capture\was Lord Olba's doing as well.\What?\As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?! response:	Calm down, Lord Robertio!
context: was Lord Olba's doing as well.\What?\As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio! response:	Enough with your outrageous reports!
context: What?\As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports! response:	But it's the truth.
context: As for Emerada,\her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth. response:	A royal magician of St. Isle
context: her return to St. Isle's already been confirmed.\We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle response:	officially announcing that Emilia is alive...
context: We've received word that she's trying to\expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive... response:	We can't disregard the kind of effect that'll have.
context: expose Emilia's status and Lord Olba's defection.\Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have. response:	It contradicts the Church's announcement that she died.
context: Defection? A High Priest, defect?!\Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died. response:	So what'll you do?
context: Calm down, Lord Robertio!\Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do? response:	What do you mean?
context: Enough with your outrageous reports!\But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean? response:	Will you admit that a High Priest defected?
context: But it's the truth.\A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean?\Will you admit that a High Priest defected? response:	Or will you eliminate Emerada, Albert, and Emilia?
context: A royal magician of St. Isle\officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia? response:	That's absurd.
context: officially announcing that Emilia is alive...\We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd. response:	That very absurdity
context: We can't disregard the kind of effect that'll have.\It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity response:	is what we inquisitors have been perpetuating this whole time.
context: It contradicts the Church's announcement that she died.\So what'll you do?\What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time. response:	And it was all of you who gave the orders, was it not?
context: So what'll you do?\What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not? response:	What about you?
context: What do you mean?\Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you? response:	What would you choose?
context: Will you admit that a High Priest defected?\Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you?\What would you choose? response:	We're back.
context: Or will you eliminate Emerada, Albert, and Emilia?\That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you?\What would you choose?\We're back. response:	You're late!
context: That's absurd.\That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you?\What would you choose?\We're back.\You're late! response:	I'm starving!
context: That very absurdity\is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you?\What would you choose?\We're back.\You're late!\I'm starving! response:	Milord's letting you stay here out of the goodness of his heart, you know.
context: is what we inquisitors have been perpetuating this whole time.\And it was all of you who gave the orders, was it not?\What about you?\What would you choose?\We're back.\You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know. response:	Here you go.
context: And it was all of you who gave the orders, was it not?\What about you?\What would you choose?\We're back.\You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go. response:	For you, Urushihara.
context: What about you?\What would you choose?\We're back.\You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara. response:	Hey!
context: What would you choose?\We're back.\You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara.\Hey! response:	Didn't you two go to a barbecue place?
context: We're back.\You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara.\Hey!\Didn't you two go to a barbecue place? response:	Why'd you get me a pork bowl from Sugiya?!
context: You're late!\I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara.\Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?! response:	We set up that PC and internet connection for you.
context: I'm starving!\Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara.\Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you. response:	How much do you think that cost?
context: Milord's letting you stay here out of the goodness of his heart, you know.\Here you go.\For you, Urushihara.\Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost? response:	Stop whining.
context: Here you go.\For you, Urushihara.\Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining. response:	I can't eat a PC!
context: For you, Urushihara.\Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining.\I can't eat a PC! response:	Then gather up all the information about magic that exists in this world for Milord.
context: Hey!\Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord. response:	Depending on the results,
context: Didn't you two go to a barbecue place?\Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results, response:	your pork bowl could go from a medium to a large,
context: Why'd you get me a pork bowl from Sugiya?!\We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large, response:	maybe even an extra large!
context: We set up that PC and internet connection for you.\How much do you think that cost?\Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large! response:	That's it?! An extra-large pork bowl?!
context: How much do you think that cost?\Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?! response:	But Urushihara...
context: Stop whining.\I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara... response:	Can you really use this PC thing?
context: I can't eat a PC!\Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing? response:	Oh, you don't believe me?
context: Then gather up all the information about magic that exists in this world for Milord.\Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me? response:	Allow me to show you, then.
context: Depending on the results,\your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then. response:	Ugh...
context: your pork bowl could go from a medium to a large,\maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then.\Ugh... response:	Just as I'm about to get off work, too...
context: maybe even an extra large!\That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too... response:	Thank you for calling.
context: That's it?! An extra-large pork bowl?!\But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too...\Thank you for calling. response:	This is Docodemo's Customer Care Center.
context: But Urushihara...\Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center. response:	You're speaking to Yusa.
context: Can you really use this PC thing?\Oh, you don't believe me?\Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa. response:	Whoa, it connected!
context: Oh, you don't believe me?\Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected! response:	Holy crap! You're awesome, Urushihara!
context: Allow me to show you, then.\Ugh...\Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara! response:	Huh?
context: Ugh...\Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh? response:	Hey, Emi! Can you hear me?
context: Just as I'm about to get off work, too...\Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me? response:	M-Maou...
context: Thank you for calling.\This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me?\M-Maou... response:	What do you think you're doing?
context: This is Docodemo's Customer Care Center.\You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing? response:	I'm still at work, you know!
context: You're speaking to Yusa.\Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing?\I'm still at work, you know! response:	Don't get so mad.
context: Whoa, it connected!\Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing?\I'm still at work, you know!\Don't get so mad. response:	It's just a hacking experiment.
context: Holy crap! You're awesome, Urushihara!\Huh?\Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing?\I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment. response:	Urushihara said he could do all sorts of things if he had a PC. so I bought him one.
context: Huh?\Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing?\I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one. response:	It was the first time I used a credit card to buy something expensive in installments.
context: Hey, Emi! Can you hear me?\M-Maou...\What do you think you're doing?\I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments. response:	There're so many questions I want to ask, but first...
context: M-Maou...\What do you think you're doing?\I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first... response:	Who the hell's Urushihara?
context: What do you think you're doing?\I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first...\Who the hell's Urushihara? response:	Lucifer.
context: I'm still at work, you know!\Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first...\Who the hell's Urushihara?\Lucifer. response:	What?!
context: Don't get so mad.\It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first...\Who the hell's Urushihara?\Lucifer.\What?! response:	What do you mean, Lucifer?!
context: It's just a hacking experiment.\Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first...\Who the hell's Urushihara?\Lucifer.\What?!\What do you mean, Lucifer?! response:	Don't tell me he's staying at Castle Overlord
context: Urushihara said he could do all sorts of things if he had a PC. so I bought him one.\It was the first time I used a credit card to buy something expensive in installments.\There're so many questions I want to ask, but first...\Who the hell's Urushihara?\Lucifer.\What?!\What do you mean, Lucifer?!\Don't tell me he's staying at Castle Overlord response:	Later.
