context: The Master Plan just came in from Army Command. response:	In the six months following the opening of hostilities, ARUS will focus on defense,
context: I've been looking everywhere for you!\Everyone's in the school building.\Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie?\Do you have any proof? response:	I heard a military transmission!
context: Everyone's in the school building.\Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie?\Do you have any proof?\I heard a military transmission! response:	The ARUS military encrypts their messages
context: Senpai.\We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie?\Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages response:	and then transmits across a wide frequency spectrum using the latest scramble codes.
context: We're in a lot of trouble.\The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie?\Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes. response:	You couldn't have heard it.
context: The 40th Student Council Petitions Committee is now in session.\ARUS is lying!\Why would they need to lie?\Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it. response:	I had help from
context: ARUS is lying!\Why would they need to lie?\Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from response:	Don't tell anyone!
context: Why would they need to lie?\Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from\Don't tell anyone! response:	From, um...
context: Do you have any proof?\I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from\Don't tell anyone!\From, um... response:	Should we adjourn, then?
context: I heard a military transmission!\The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from\Don't tell anyone!\From, um...\Should we adjourn, then? response:	I suppose so.
context: The ARUS military encrypts their messages\and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from\Don't tell anyone!\From, um...\Should we adjourn, then?\I suppose so. response:	In that case, I declare this committee meeting closed.
context: and then transmits across a wide frequency spectrum using the latest scramble codes.\You couldn't have heard it.\I had help from\Don't tell anyone!\From, um...\Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed. response:	Wait, you have to believe me!
context: You couldn't have heard it.\I had help from\Don't tell anyone!\From, um...\Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me! response:	If I'm going to put my trust in someone, it's going to be in ARUS.
context: I had help from\Don't tell anyone!\From, um...\Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS. response:	They're gonna run! And leave us behind!
context: Don't tell anyone!\From, um...\Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind! response:	And yet they had the nerve to take that robot!
context: From, um...\Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot! response:	As soon as the Module's gravity generator is repaired, we'll set out immediately.
context: Should we adjourn, then?\I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately. response:	Bring us evidence, and we'll hear you out.
context: I suppose so.\In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out. response:	Miss Sashinami, what are you
context: In that case, I declare this committee meeting closed.\Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you response:	I'm not lying.
context: Wait, you have to believe me!\If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying. response:	Shoko, don't!
context: If I'm going to put my trust in someone, it's going to be in ARUS.\They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying.\Shoko, don't! response:	Let go! I have to prove myself!
context: They're gonna run! And leave us behind!\And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying.\Shoko, don't!\Let go! I have to prove myself! response:	What does taking off your clothes have to do with that?!
context: And yet they had the nerve to take that robot!\As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying.\Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?! response:	I don't get that girl...
context: As soon as the Module's gravity generator is repaired, we'll set out immediately.\Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying.\Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl... response:	I want them to believe me!
context: Bring us evidence, and we'll hear you out.\Miss Sashinami, what are you\I'm not lying.\Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me! response:	I'm not lying!
context: Miss Sashinami, what are you\I'm not lying.\Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me!\I'm not lying! response:	All right! All right, already!
context: I'm not lying.\Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me!\I'm not lying!\All right! All right, already! response:	I said, all right!
context: Shoko, don't!\Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me!\I'm not lying!\All right! All right, already!\I said, all right! response:	You mean it? You said All right, didn't you?
context: Let go! I have to prove myself!\What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me!\I'm not lying!\All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you? response:	You did, right?!
context: What does taking off your clothes have to do with that?!\I don't get that girl...\I want them to believe me!\I'm not lying!\All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you?\You did, right?! response:	Yes, so please put your clothes on!
context: I don't get that girl...\I want them to believe me!\I'm not lying!\All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on! response:	Awesome!
context: I want them to believe me!\I'm not lying!\All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on!\Awesome! response:	Is she some kind of idiot?
context: I'm not lying!\All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot? response:	But it worked.
context: All right! All right, already!\I said, all right!\You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot?\But it worked. response:	Thank you for all your hard work, ARUS soldiers!
context: I said, all right!\You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers! response:	We all wanted to express our gratitude.
context: You mean it? You said All right, didn't you?\You did, right?!\Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude. response:	Gratitude?
context: You did, right?!\Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude? response:	Yes, our gratitude!
context: Yes, so please put your clothes on!\Awesome!\Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude! response:	This way! While Takahi has them distracted!
context: Awesome!\Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted! response:	Let's go find proof that those guys are liars.
context: Is she some kind of idiot?\But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars. response:	And now... We will sing the school song of JIOR National Sakimori Academy!
context: But it worked.\Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy! response:	Here in the city great and fair
context: Thank you for all your hard work, ARUS soldiers!\We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair response:	of the rising sun
context: We all wanted to express our gratitude.\Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun response:	we shine far brighter
context: Gratitude?\Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun\we shine far brighter response:	than the stars.
context: Yes, our gratitude!\This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun\we shine far brighter\than the stars. response:	A new world
context: This way! While Takahi has them distracted!\Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun\we shine far brighter\than the stars.\A new world response:	and new dreams,
context: Let's go find proof that those guys are liars.\And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun\we shine far brighter\than the stars.\A new world\and new dreams, response:	our ideal is to make them come true one day.
context: And now... We will sing the school song of JIOR National Sakimori Academy!\Here in the city great and fair\of the rising sun\we shine far brighter\than the stars.\A new world\and new dreams,\our ideal is to make them come true one day. response:	Watch over our path, brightly shining Sakimori.
context: Here in the city great and fair\of the rising sun\we shine far brighter\than the stars.\A new world\and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori. response:	What the?
context: of the rising sun\we shine far brighter\than the stars.\A new world\and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the? response:	Sakimori
context: we shine far brighter\than the stars.\A new world\and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the?\Sakimori response:	echoes throughout the world, Sakimori Academy.
context: than the stars.\A new world\and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the?\Sakimori\echoes throughout the world, Sakimori Academy. response:	I love how students are so docile.
context: A new world\and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the?\Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile. response:	Everything is ready, sir.
context: and new dreams,\our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the?\Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir. response:	Good, bring out Haruto Tokishima.
context: our ideal is to make them come true one day.\Watch over our path, brightly shining Sakimori.\What the?\Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima. response:	We'll leave as soon as this song is over.
context: Watch over our path, brightly shining Sakimori.\What the?\Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over. response:	East and West, past and present,
context: What the?\Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present, response:	Yes, sir. Yes, sir.
context: Sakimori\echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir. response:	Understood, sir.
context: echoes throughout the world, Sakimori Academy.\I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir. response:	it calls out to us to return...
context: I love how students are so docile.\Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return... response:	You're being moved, Haruto Tokishima.
context: Everything is ready, sir.\Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima. response:	I'm amazed you knew about these tunnels, Otamaya.
context: Good, bring out Haruto Tokishima.\We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya. response:	The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.
context: We'll leave as soon as this song is over.\East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year. response:	W-Wait, you've been
context: East and West, past and present,\Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been response:	What was that?
context: Yes, sir. Yes, sir.\Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that? response:	You damn kids!
context: Understood, sir.\it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that?\You damn kids! response:	It's the real thing!
context: it calls out to us to return...\You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that?\You damn kids!\It's the real thing! response:	Haruto?
context: You're being moved, Haruto Tokishima.\I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that?\You damn kids!\It's the real thing!\Haruto? response:	Haruto!
context: I'm amazed you knew about these tunnels, Otamaya.\The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that?\You damn kids!\It's the real thing!\Haruto?\Haruto! response:	Shoko, thanks!
context: The Miss Sakimori Pageant uses the gym's locker room as their dressing room every year.\W-Wait, you've been\What was that?\You damn kids!\It's the real thing!\Haruto?\Haruto!\Shoko, thanks! response:	They've been holding you prisoner this whole time?
context: W-Wait, you've been\What was that?\You damn kids!\It's the real thing!\Haruto?\Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time? response:	You aren't here to rescue me?
context: What was that?\You damn kids!\It's the real thing!\Haruto?\Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me? response:	Then your phone...
context: You damn kids!\It's the real thing!\Haruto?\Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone... response:	It's nothing! Forget it!
context: It's the real thing!\Haruto?\Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone...\It's nothing! Forget it! response:	I feel so stupid...
context: Haruto?\Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone...\It's nothing! Forget it!\I feel so stupid... response:	Everyone, thank you for the wonderful song.
context: Haruto!\Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone...\It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song. response:	Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.
context: Shoko, thanks!\They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone...\It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to. response:	Next, we'd like
context: They've been holding you prisoner this whole time?\You aren't here to rescue me?\Then your phone...\It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like response:	I appreciate it, but we're pressed for time.
context: You aren't here to rescue me?\Then your phone...\It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time. response:	No way, we insist that you see it!
context: Then your phone...\It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it! response:	I'm terribly sorry. Please hold that thought for some other time.
context: It's nothing! Forget it!\I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time. response:	Get us out of here.
context: I feel so stupid...\Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here. response:	Hey, wait!
context: Everyone, thank you for the wonderful song.\Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait! response:	Get us moving, I said!
context: Not at all, we're ashamed that this is the best we could do to thank the people we owe our lives to.\Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait!\Get us moving, I said! response:	Don't let them fool you!
context: Next, we'd like\I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait!\Get us moving, I said!\Don't let them fool you! response:	Everybody, ARUS plans to abandon us and escape by themselves!
context: I appreciate it, but we're pressed for time.\No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait!\Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves! response:	They're here to rescue us, aren't they?
context: No way, we insist that you see it!\I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait!\Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they? response:	No way, we even fed them.
context: I'm terribly sorry. Please hold that thought for some other time.\Get us out of here.\Hey, wait!\Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them. response:	That isn't true, is it, Senator Figaro?
context: Get us out of here.\Hey, wait!\Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro? response:	Okay, old man!
context: Hey, wait!\Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man! response:	Is what he said true?
context: Get us moving, I said!\Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true? response:	You're going to rescue us, right?
context: Don't let them fool you!\Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true?\You're going to rescue us, right? response:	ARUS always does the right thing, right?
context: Everybody, ARUS plans to abandon us and escape by themselves!\They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right? response:	Senator...
context: They're here to rescue us, aren't they?\No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right?\Senator... response:	Call me Moses.
context: No way, we even fed them.\That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right?\Senator...\Call me Moses. response:	I'm about to part this sea of students.
context: That isn't true, is it, Senator Figaro?\Okay, old man!\Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right?\Senator...\Call me Moses.\I'm about to part this sea of students. response:	Wha
context: Okay, old man!\Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right?\Senator...\Call me Moses.\I'm about to part this sea of students.\Wha response:	It can't be...
context: Is what he said true?\You're going to rescue us, right?\ARUS always does the right thing, right?\Senator...\Call me Moses.\I'm about to part this sea of students.\Wha\It can't be... response:	Get inside the school building, everyone! Hurry!
context: You're going to rescue us, right?\ARUS always does the right thing, right?\Senator...\Call me Moses.\I'm about to part this sea of students.\Wha\It can't be...\Get inside the school building, everyone! Hurry! response:	Yamada-san! Yamada-san!
context: ARUS always does the right thing, right?\Senator...\Call me Moses.\I'm about to part this sea of students.\Wha\It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san! response:	Crap...
context: Senator...\Call me Moses.\I'm about to part this sea of students.\Wha\It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap... response:	Clear the road! If you don't move, I'll gun you down!
context: Call me Moses.\I'm about to part this sea of students.\Wha\It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down! response:	So he's shown his true colors, huh?
context: I'm about to part this sea of students.\Wha\It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh? response:	The Valvrave!
context: Wha\It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave! response:	Haruto!
context: It can't be...\Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave!\Haruto! response:	Bastard!
context: Get inside the school building, everyone! Hurry!\Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave!\Haruto!\Bastard! response:	This belongs to me!
context: Yamada-san! Yamada-san!\Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave!\Haruto!\Bastard!\This belongs to me! response:	You're just a student!
context: Crap...\Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave!\Haruto!\Bastard!\This belongs to me!\You're just a student! response:	Hey, are you okay?
context: Clear the road! If you don't move, I'll gun you down!\So he's shown his true colors, huh?\The Valvrave!\Haruto!\Bastard!\This belongs to me!\You're just a student!\Hey, are you okay? response:	Hey!
context: So he's shown his true colors, huh?\The Valvrave!\Haruto!\Bastard!\This belongs to me!\You're just a student!\Hey, are you okay?\Hey! response:	Get down from the transport!
context: The Valvrave!\Haruto!\Bastard!\This belongs to me!\You're just a student!\Hey, are you okay?\Hey!\Get down from the transport! response:	Hey, wait a minute! This is a joke, right?
context: Haruto!\Bastard!\This belongs to me!\You're just a student!\Hey, are you okay?\Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right? response:	Do it!
context: Bastard!\This belongs to me!\You're just a student!\Hey, are you okay?\Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it! response:	Just as I thought. It only works if I make direct contact with the skin.
context: This belongs to me!\You're just a student!\Hey, are you okay?\Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin. response:	I understand. Bit by bit, I'm learning.
context: You're just a student!\Hey, are you okay?\Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning. response:	But...
context: Hey, are you okay?\Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But... response:	Get up, Satomi.
context: Hey!\Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But...\Get up, Satomi. response:	It's all over... We can't take on a whole army.
context: Get down from the transport!\Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But...\Get up, Satomi.\It's all over... We can't take on a whole army. response:	You said you were going to stay on top until graduation, remember?
context: Hey, wait a minute! This is a joke, right?\Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But...\Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember? response:	It's not like he's your friend...
context: Do it!\Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But...\Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend... response:	But...
context: Just as I thought. It only works if I make direct contact with the skin.\I understand. Bit by bit, I'm learning.\But...\Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But... response:	Forget about these students!
context: I understand. Bit by bit, I'm learning.\But...\Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But...\Forget about these students! response:	Hurry up and get us out of here!
context: But...\Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But...\Forget about these students!\Hurry up and get us out of here! response:	Please put down your weapons! Now!
context: Get up, Satomi.\It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But...\Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now! response:	All right!
context: It's all over... We can't take on a whole army.\You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But...\Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now!\All right! response:	Others too!
