context: Forever... Forever... response:	The first day I touched you,
context: With the dolphin pattern lacquered on... It was so beautiful.\I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going. response:	I'm happy I can keep playing music.
context: I knew it was something Marielle had made long ago,\so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music. response:	Tohya?
context: so I asked her to let me have it.\And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya? response:	Isuzu?
context: And then I made a bunch of adjustments,\and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya?\Isuzu? response:	Oh, Minori?
context: and now it's my own personal instrument, the Flying Dolphin.\Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya?\Isuzu?\Oh, Minori? response:	You're back.
context: Thanks to this, I...\Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya?\Isuzu?\Oh, Minori?\You're back. response:	Tohya! Isuzu!
context: Well, how to say it...\It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya?\Isuzu?\Oh, Minori?\You're back.\Tohya! Isuzu! response:	Shiroe wants to talk to us.
context: It gave me the drive to keep going.\I'm happy I can keep playing music.\Tohya?\Isuzu?\Oh, Minori?\You're back.\Tohya! Isuzu!\Shiroe wants to talk to us. response:	A journey!
context: I'm happy I can keep playing music.\Tohya?\Isuzu?\Oh, Minori?\You're back.\Tohya! Isuzu!\Shiroe wants to talk to us.\A journey! response:	An adventure! A quest!
context: Tohya?\Isuzu?\Oh, Minori?\You're back.\Tohya! Isuzu!\Shiroe wants to talk to us.\A journey!\An adventure! A quest! response:	Mt. Fuji Akihabara
context: Isuzu?\Oh, Minori?\You're back.\Tohya! Isuzu!\Shiroe wants to talk to us.\A journey!\An adventure! A quest!\Mt. Fuji Akihabara response:	The Redstone Mountains are near Nagano, right?
context: Oh, Minori?\You're back.\Tohya! Isuzu!\Shiroe wants to talk to us.\A journey!\An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right? response:	Redstone Mountains
context: You're back.\Tohya! Isuzu!\Shiroe wants to talk to us.\A journey!\An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains response:	Mountains, rivers, forests!
context: Tohya! Isuzu!\Shiroe wants to talk to us.\A journey!\An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests! response:	And villages we've never been to!
context: Shiroe wants to talk to us.\A journey!\An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to! response:	Tohya, stop staring at the map, and pack two more pairs of underwear.
context: A journey!\An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear. response:	There's no room for all that.
context: An adventure! A quest!\Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that. response:	We don't have our magic bags yet.
context: Mt. Fuji Akihabara\The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet. response:	If you want to know about traveling, ask me, Rundel Haus Code.
context: The Redstone Mountains are near Nagano, right?\Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code. response:	That's right, you used to travel alone.
context: Redstone Mountains\Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone. response:	Indeed.
context: Mountains, rivers, forests!\And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed. response:	Until partway, I was with other adventurers,
context: And villages we've never been to!\Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers, response:	but I came all the way from Bogport to Akihabara on my own.
context: Tohya, stop staring at the map, and pack two more pairs of underwear.\There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own. response:	So I have plenty of experience.
context: There's no room for all that.\We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience. response:	Huh?
context: We don't have our magic bags yet.\If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh? response:	What's wrong?
context: If you want to know about traveling, ask me, Rundel Haus Code.\That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh?\What's wrong? response:	My very important brush is missing!
context: That's right, you used to travel alone.\Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh?\What's wrong?\My very important brush is missing! response:	I can't maintain my appearance as an adventurer without it!
context: Indeed.\Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh?\What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it! response:	My elegant, flowing hair!
context: Until partway, I was with other adventurers,\but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh?\What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair! response:	Rudy?
context: but I came all the way from Bogport to Akihabara on my own.\So I have plenty of experience.\Huh?\What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy? response:	Here.
context: So I have plenty of experience.\Huh?\What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy?\Here. response:	It's in your toiletries set.
context: Huh?\What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy?\Here.\It's in your toiletries set. response:	Miss Isuzu!
context: What's wrong?\My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy?\Here.\It's in your toiletries set.\Miss Isuzu! response:	You're so wonderful!
context: My very important brush is missing!\I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy?\Here.\It's in your toiletries set.\Miss Isuzu!\You're so wonderful! response:	Come on, clean all this up.
context: I can't maintain my appearance as an adventurer without it!\My elegant, flowing hair!\Rudy?\Here.\It's in your toiletries set.\Miss Isuzu!\You're so wonderful!\Come on, clean all this up. response:	You guys ready?
context: My elegant, flowing hair!\Rudy?\Here.\It's in your toiletries set.\Miss Isuzu!\You're so wonderful!\Come on, clean all this up.\You guys ready? response:	We're in perfect shape, Master!
context: Rudy?\Here.\It's in your toiletries set.\Miss Isuzu!\You're so wonderful!\Come on, clean all this up.\You guys ready?\We're in perfect shape, Master! response:	Good.
context: Here.\It's in your toiletries set.\Miss Isuzu!\You're so wonderful!\Come on, clean all this up.\You guys ready?\We're in perfect shape, Master!\Good. response:	Put a barrel of water on the carriage.
context: It's in your toiletries set.\Miss Isuzu!\You're so wonderful!\Come on, clean all this up.\You guys ready?\We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage. response:	We know.
context: Miss Isuzu!\You're so wonderful!\Come on, clean all this up.\You guys ready?\We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage.\We know. response:	Okay, good.
context: You're so wonderful!\Come on, clean all this up.\You guys ready?\We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage.\We know.\Okay, good. response:	Making progress, everyone?
context: Come on, clean all this up.\You guys ready?\We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage.\We know.\Okay, good.\Making progress, everyone? response:	Wh-When did you get in...
context: You guys ready?\We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage.\We know.\Okay, good.\Making progress, everyone?\Wh-When did you get in... response:	You little
context: We're in perfect shape, Master!\Good.\Put a barrel of water on the carriage.\We know.\Okay, good.\Making progress, everyone?\Wh-When did you get in...\You little response:	If you want any advice from me, just ask.
context: Good.\Put a barrel of water on the carriage.\We know.\Okay, good.\Making progress, everyone?\Wh-When did you get in...\You little\If you want any advice from me, just ask. response:	I'm an idol who travels the whole galaxy!
context: Put a barrel of water on the carriage.\We know.\Okay, good.\Making progress, everyone?\Wh-When did you get in...\You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy! response:	I told you to get off me!
context: We know.\Okay, good.\Making progress, everyone?\Wh-When did you get in...\You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me! response:	Oh, come on, Naotsugu...
context: Okay, good.\Making progress, everyone?\Wh-When did you get in...\You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu... response:	You know you love it
context: Making progress, everyone?\Wh-When did you get in...\You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu...\You know you love it response:	I do not!
context: Wh-When did you get in...\You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu...\You know you love it\I do not! response:	What's with everyone?
context: You little\If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu...\You know you love it\I do not!\What's with everyone? response:	They're worried about us.
context: If you want any advice from me, just ask.\I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu...\You know you love it\I do not!\What's with everyone?\They're worried about us. response:	They really care about us a lot, huh?
context: I'm an idol who travels the whole galaxy!\I told you to get off me!\Oh, come on, Naotsugu...\You know you love it\I do not!\What's with everyone?\They're worried about us.\They really care about us a lot, huh? response:	Everyone always looks out for us.
context: I told you to get off me!\Oh, come on, Naotsugu...\You know you love it\I do not!\What's with everyone?\They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us. response:	Yeah, but they try not to let us know they're doing it.
context: Oh, come on, Naotsugu...\You know you love it\I do not!\What's with everyone?\They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it. response:	It's kind of tiring, knowing they're looking out for us all the time.
context: You know you love it\I do not!\What's with everyone?\They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time. response:	Hey, want to bet on who comes next?
context: I do not!\What's with everyone?\They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next? response:	Nyanta!
context: What's with everyone?\They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta! response:	I think it'll be Shiroe
context: They're worried about us.\They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe response:	Preparations going well?
context: They really care about us a lot, huh?\Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe\Preparations going well? response:	You win.
context: Everyone always looks out for us.\Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe\Preparations going well?\You win. response:	Is something wrong?
context: Yeah, but they try not to let us know they're doing it.\It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe\Preparations going well?\You win.\Is something wrong? response:	N-Nothing.
context: It's kind of tiring, knowing they're looking out for us all the time.\Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe\Preparations going well?\You win.\Is something wrong?\N-Nothing. response:	Um, I think we'll be done packing soon.
context: Hey, want to bet on who comes next?\Nyanta!\I think it'll be Shiroe\Preparations going well?\You win.\Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon. response:	Then we'll split up and go shopping,
context: Nyanta!\I think it'll be Shiroe\Preparations going well?\You win.\Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping, response:	pick up a carriage and weapons...
context: I think it'll be Shiroe\Preparations going well?\You win.\Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons... response:	Nyanta's going to come and help us choose a carriage.
context: Preparations going well?\You win.\Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage. response:	I see.
context: You win.\Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see. response:	I made this. It's a little more detailed.
context: Is something wrong?\N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed. response:	Bye!
context: N-Nothing.\Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed.\Bye! response:	Okay, let's finish here and go shopping.
context: Um, I think we'll be done packing soon.\Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping. response:	Yeah!
context: Then we'll split up and go shopping,\pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping.\Yeah! response:	Hey, stop staring at the map.
context: pick up a carriage and weapons...\Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map. response:	Amenoma
context: Nyanta's going to come and help us choose a carriage.\I see.\I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map.\Amenoma response:	Hi, there!
context: I see.\I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map.\Amenoma\Hi, there! response:	Once we have weapons, then we'll need armor.
context: I made this. It's a little more detailed.\Bye!\Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map.\Amenoma\Hi, there!\Once we have weapons, then we'll need armor. response:	We'll have to make a few more stops.
context: Bye!\Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map.\Amenoma\Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops. response:	I can tell you're a samurai!
context: Okay, let's finish here and go shopping.\Yeah!\Hey, stop staring at the map.\Amenoma\Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai! response:	You look great with a katana.
context: Yeah!\Hey, stop staring at the map.\Amenoma\Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana. response:	I wanted to take this opportunity to get a new one,
context: Hey, stop staring at the map.\Amenoma\Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one, response:	but at my level, there aren't too many I can use...
context: Amenoma\Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use... response:	How about caltrop?
context: Hi, there!\Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop? response:	Don't you think trying a ninja's weapon would be interesting?
context: Once we have weapons, then we'll need armor.\We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting? response:	Looking for weapons?
context: We'll have to make a few more stops.\I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons? response:	Akatsuki brought me along with her.
context: I can tell you're a samurai!\You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her. response:	You could go with shurikens, too.
context: You look great with a katana.\I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too. response:	Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.
context: I wanted to take this opportunity to get a new one,\but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class. response:	Kunai are valuable ones, too.
context: but at my level, there aren't too many I can use...\How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too. response:	I'd recommend the ones on the wall there.
context: How about caltrop?\Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there. response:	They're easy to use in a variety of situations.
context: Don't you think trying a ninja's weapon would be interesting?\Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations. response:	Oh, um...
context: Looking for weapons?\Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um... response:	Well, no matter how good your weapon is,
context: Akatsuki brought me along with her.\You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is, response:	in the end, it's all about your heart and body.
context: You could go with shurikens, too.\Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body. response:	Listen! When the time comes, a man needs to put his body on the line.
context: Yeah, shurikens are a choice for a ranged weapon that can be used regardless of class.\Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line. response:	Right!
context: Kunai are valuable ones, too.\I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right! response:	I know, Master!
context: I'd recommend the ones on the wall there.\They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master! response:	And when even that's not enough, remember this! Pant
context: They're easy to use in a variety of situations.\Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master!\And when even that's not enough, remember this! Pant response:	So cute!
context: Oh, um...\Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master!\And when even that's not enough, remember this! Pant\So cute! response:	Please do not blow the flutes inside the store!
context: Well, no matter how good your weapon is,\in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master!\And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store! response:	These flutes are the ones that summon horses.
context: in the end, it's all about your heart and body.\Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master!\And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses. response:	But wow, look at all the animals you can summon.
context: Listen! When the time comes, a man needs to put his body on the line.\Right!\I know, Master!\And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon. response:	Everything from dangerous beasts to pets.
context: Right!\I know, Master!\And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets. response:	Ew! You can summon rats and snakes, too.
context: I know, Master!\And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too. response:	What about the griffon? The one Shiroe has?
context: And when even that's not enough, remember this! Pant\So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has? response:	You need to do a special quest to get those,
context: So cute!\Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those, response:	for things like a griffon or pegasus.
context: Please do not blow the flutes inside the store!\These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus. response:	A pegasus, huh?
context: These flutes are the ones that summon horses.\But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh? response:	I want a pegasus.
context: But wow, look at all the animals you can summon.\Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus. response:	If I could ride on one with him...
context: Everything from dangerous beasts to pets.\Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus.\If I could ride on one with him... response:	Meow.
context: Ew! You can summon rats and snakes, too.\What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus.\If I could ride on one with him...\Meow. response:	A pegasus?
context: What about the griffon? The one Shiroe has?\You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus.\If I could ride on one with him...\Meow.\A pegasus? response:	That's right.
context: You need to do a special quest to get those,\for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus.\If I could ride on one with him...\Meow.\A pegasus?\That's right. response:	I risked my life on a quest to get it for you.
context: for things like a griffon or pegasus.\A pegasus, huh?\I want a pegasus.\If I could ride on one with him...\Meow.\A pegasus?\That's right.\I risked my life on a quest to get it for you. response:	You're so wonderful, Nyanta!
context: A pegasus, huh?\I want a pegasus.\If I could ride on one with him...\Meow.\A pegasus?\That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta! response:	We'll ride it together.
context: I want a pegasus.\If I could ride on one with him...\Meow.\A pegasus?\That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together. response:	Call it.
context: If I could ride on one with him...\Meow.\A pegasus?\That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together.\Call it. response:	Okay!
context: Meow.\A pegasus?\That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together.\Call it.\Okay! response:	No!
context: A pegasus?\That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together.\Call it.\Okay!\No! response:	No way!
context: That's right.\I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together.\Call it.\Okay!\No!\No way! response:	There are actually a lot of different types of carriages, aren't there?
context: I risked my life on a quest to get it for you.\You're so wonderful, Nyanta!\We'll ride it together.\Call it.\Okay!\No!\No way!\There are actually a lot of different types of carriages, aren't there? response:	Wow!
context: You're so wonderful, Nyanta!\We'll ride it together.\Call it.\Okay!\No!\No way!\There are actually a lot of different types of carriages, aren't there?\Wow! response:	This one looks really tough!
context: We'll ride it together.\Call it.\Okay!\No!\No way!\There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough! response:	It has fire, cold, and electricity resistances at rank 80.
context: Call it.\Okay!\No!\No way!\There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80. response:	I want this one!
context: Okay!\No!\No way!\There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80.\I want this one! response:	But it's expensive, right?
context: No!\No way!\There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80.\I want this one!\But it's expensive, right? response:	Here.
context: No way!\There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80.\I want this one!\But it's expensive, right?\Here. response:	Let's go see the next one, Tohya!
context: There are actually a lot of different types of carriages, aren't there?\Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80.\I want this one!\But it's expensive, right?\Here.\Let's go see the next one, Tohya! response:	That's kind of weird-looking.
context: Wow!\This one looks really tough!\It has fire, cold, and electricity resistances at rank 80.\I want this one!\But it's expensive, right?\Here.\Let's go see the next one, Tohya!\That's kind of weird-looking. response:	Well, the people who make these are quite hardcore.
