context: FOUR YEARS AGO response:	PORT OF STIMMER, LEIDENSCHAFTLICH
context: I see.\Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon. response:	I'm not getting paid this month.
context: Sorry for all the trouble.\Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month. response:	I'm done writing the addresses.
context: Hey, then treat me to dinner, Claudia.\Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses. response:	Thanks for your hard work.
context: Don't call me by my first name!\Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work. response:	I'll bring these to the delivery department.
context: Just because you wanted a girl. I can't believe it.\Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department. response:	Thanks.
context: Calling out a girl's name in bed. That was terrible.\Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department.\Thanks. response:	Violet, thanks for your hard work. That's enough for today.
context: Stop! Please! I'm sorry!\I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today. response:	Let me see.
context: I can't take you anytime soon.\I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see. response:	You've improved a lot! Amazing.
context: I'm not getting paid this month.\I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing. response:	This weapon is what's amazing.
context: I'm done writing the addresses.\Thanks for your hard work.\I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing. response:	Weapon. You're right.
context: Thanks for your hard work.\I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right. response:	It's a weapon for working girls like us to go out into society and fight.
context: I'll bring these to the delivery department.\Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight. response:	I'll have you sit next to a real Doll tomorrow and shadow her.
context: Thanks.\Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her. response:	I'm going out for a delivery service now.
context: Violet, thanks for your hard work. That's enough for today.\Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now. response:	If someone requests it,
context: Let me see.\You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it, response:	we go to their house or workplace to write for them.
context: You've improved a lot! Amazing.\This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them. response:	Can I take this with me, too?
context: This weapon is what's amazing.\Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too? response:	The typewriter? Where?
context: Weapon. You're right.\It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where? response:	To my room. For training,
context: It's a weapon for working girls like us to go out into society and fight.\I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where?\To my room. For training, response:	and for...
context: I'll have you sit next to a real Doll tomorrow and shadow her.\I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where?\To my room. For training,\and for... response:	Address? Gilbert's?
context: I'm going out for a delivery service now.\If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where?\To my room. For training,\and for...\Address? Gilbert's? response:	Yes. I want to tell him that I've started a writing job and begun training.
context: If someone requests it,\we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where?\To my room. For training,\and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training. response:	I want to report my current status.
context: we go to their house or workplace to write for them.\Can I take this with me, too?\The typewriter? Where?\To my room. For training,\and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status. response:	I'm sure the major is still busy...
context: Can I take this with me, too?\The typewriter? Where?\To my room. For training,\and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy... response:	and can't see me yet, right?
context: The typewriter? Where?\To my room. For training,\and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right? response:	Yeah.
context: To my room. For training,\and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right?\Yeah. response:	Okay. I'll send this for you.
context: and for...\Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right?\Yeah.\Okay. I'll send this for you. response:	How's training going?
context: Address? Gilbert's?\Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right?\Yeah.\Okay. I'll send this for you.\How's training going? response:	It's going well.
context: Yes. I want to tell him that I've started a writing job and begun training.\I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right?\Yeah.\Okay. I'll send this for you.\How's training going?\It's going well. response:	There's no problem.
context: I want to report my current status.\I'm sure the major is still busy...\and can't see me yet, right?\Yeah.\Okay. I'll send this for you.\How's training going?\It's going well.\There's no problem. response:	Like you already know,
context: I'm sure the major is still busy...\and can't see me yet, right?\Yeah.\Okay. I'll send this for you.\How's training going?\It's going well.\There's no problem.\Like you already know, response:	it's hard making ends meet every day.
context: and can't see me yet, right?\Yeah.\Okay. I'll send this for you.\How's training going?\It's going well.\There's no problem.\Like you already know,\it's hard making ends meet every day. response:	As you already know, living expenses are tight.
context: Yeah.\Okay. I'll send this for you.\How's training going?\It's going well.\There's no problem.\Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight. response:	You made a mistake.
context: Okay. I'll send this for you.\How's training going?\It's going well.\There's no problem.\Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake. response:	Tell him I'll pay back two chlor every month.
context: How's training going?\It's going well.\There's no problem.\Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month. response:	-Every month. -If you pay back two chlor every month,
context: It's going well.\There's no problem.\Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month, response:	it will take you 120 years to pay back everything.
context: There's no problem.\Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything. response:	Sir, will you be able to survive until then?
context: Like you already know,\it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then? response:	Normally, she's really good.
context: it's hard making ends meet every day.\As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good. response:	But sometimes she gets really mad.
context: As you already know, living expenses are tight.\You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad. response:	I'm sorry for hurting your precious child.
context: You made a mistake.\Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child. response:	Maybe I didn't discipline her well.
context: Tell him I'll pay back two chlor every month.\-Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well. response:	Our teachings were insufficient.
context: -Every month. -If you pay back two chlor every month,\it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient. response:	What did I...?
context: it will take you 120 years to pay back everything.\Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...? response:	What did I do wrong?!
context: Sir, will you be able to survive until then?\Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...?\What did I do wrong?! response:	-Um... -Crying gets in the way of our work.
context: Normally, she's really good.\But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work. response:	-Please stop crying immediately. -Wait!
context: But sometimes she gets really mad.\I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait! response:	Hey! What do you mean by this letter?
context: I'm sorry for hurting your precious child.\Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter? response:	I'm sorry for my selfish request...
context: Maybe I didn't discipline her well.\Our teachings were insufficient.\What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request... response:	-What do you mean, selfish? -Sorry.
context: Our teachings were insufficient.\What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry. response:	I apologize for the delay?!
context: What did I...?\What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?! response:	This makes it seem like it's all my fault!
context: What did I do wrong?!\-Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault! response:	Who do you think you are?!
context: -Um... -Crying gets in the way of our work.\-Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?! response:	She's Erica.
context: -Please stop crying immediately. -Wait!\Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica. response:	I didn't ask her name!
context: Hey! What do you mean by this letter?\I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica.\I didn't ask her name! response:	Anyways, I don't like this letter.
context: I'm sorry for my selfish request...\-What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica.\I didn't ask her name!\Anyways, I don't like this letter. response:	I'm not paying for this!
context: -What do you mean, selfish? -Sorry.\I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica.\I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this! response:	Refusing to pay because you didn't like it is illegal.
context: I apologize for the delay?!\This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica.\I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal. response:	What don't you like about it?
context: This makes it seem like it's all my fault!\Who do you think you are?!\She's Erica.\I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it? response:	Out of my way!
context: Who do you think you are?!\She's Erica.\I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way! response:	Please be specific. Please give us some guidance.
context: She's Erica.\I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance. response:	And provide brief input.
context: I didn't ask her name!\Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance.\And provide brief input. response:	We've received complaints from a few customers.
context: Anyways, I don't like this letter.\I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers. response:	Was there a problem?
context: I'm not paying for this!\Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers.\Was there a problem? response:	No, well...
context: Refusing to pay because you didn't like it is illegal.\What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers.\Was there a problem?\No, well... response:	Are you okay?
context: What don't you like about it?\Out of my way!\Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers.\Was there a problem?\No, well...\Are you okay? response:	-There is nothing wrong with my health. -No, I mean about working as a Doll.
context: Out of my way!\Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers.\Was there a problem?\No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll. response:	I'm training diligently.
context: Please be specific. Please give us some guidance.\And provide brief input.\We've received complaints from a few customers.\Was there a problem?\No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently. response:	Uh, I see.
context: And provide brief input.\We've received complaints from a few customers.\Was there a problem?\No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see. response:	Um... We don't have any more reservations today.
context: We've received complaints from a few customers.\Was there a problem?\No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today. response:	We're going to work diligently together
context: Was there a problem?\No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together response:	to make the membership list for the Chamber of Commerce after this.
context: No, well...\Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this. response:	Type the company and the address.
context: Are you okay?\-There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address. response:	-And the type of industry. -Yes, ma'am.
context: -There is nothing wrong with my health. -No, I mean about working as a Doll.\I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am. response:	Hey. Why do you want to do this job?
context: I'm training diligently.\Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job? response:	Oh, is everyone gone?
context: Uh, I see.\Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone? response:	-Why else would I be here? -My apologies.
context: Um... We don't have any more reservations today.\We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies. response:	If you request it,
context: We're going to work diligently together\to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it, response:	we'll write any type of document for you.
context: to make the membership list for the Chamber of Commerce after this.\Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you. response:	Auto Memory Doll Service.
context: Type the company and the address.\-And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you.\Auto Memory Doll Service. response:	Where is the Doll named Cattleya Baudelaire?
context: -And the type of industry. -Yes, ma'am.\Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire? response:	She's on a business trip.
context: Hey. Why do you want to do this job?\Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip. response:	Oh, I came here because I heard you can never go wrong with her.
context: Oh, is everyone gone?\-Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her. response:	Oh, well.
context: -Why else would I be here? -My apologies.\If you request it,\we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well. response:	Someone asked me out.
context: If you request it,\we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out. response:	A man who started an automobile company.
context: we'll write any type of document for you.\Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out.\A man who started an automobile company. response:	He said every household is going to own a car in the future.
context: Auto Memory Doll Service.\Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future. response:	Oh.
context: Where is the Doll named Cattleya Baudelaire?\She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future.\Oh. response:	But, you know... I'm not such a simple woman.
context: She's on a business trip.\Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman. response:	I don't want him to think I'm easy.
context: Oh, I came here because I heard you can never go wrong with her.\Oh, well.\Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy. response:	Uh, in other words...
context: Oh, well.\Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words... response:	Well, he's not that great of a catch.
context: Someone asked me out.\A man who started an automobile company.\He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch. response:	I don't have any feelings for him.
context: A man who started an automobile company.\He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him. response:	If he showed me he's serious, and if he really loves me...
context: He said every household is going to own a car in the future.\Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me... response:	Please write an elegant and romantic letter.
context: Oh.\But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter. response:	Get started.
context: But, you know... I'm not such a simple woman.\I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started. response:	Uh...
context: I don't want him to think I'm easy.\Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started.\Uh... response:	Oh. Are you the one who's going to write it?
context: Uh, in other words...\Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started.\Uh...\Oh. Are you the one who's going to write it? response:	Yes, ma'am.
context: Well, he's not that great of a catch.\I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started.\Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am. response:	What's up with that letter?
context: I don't have any feelings for him.\If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started.\Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter? response:	Ma'am, please calm down.
context: If he showed me he's serious, and if he really loves me...\Please write an elegant and romantic letter.\Get started.\Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter?\Ma'am, please calm down. response:	Iris. Bring some tea.
context: Please write an elegant and romantic letter.\Get started.\Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea. response:	Yes.
context: Get started.\Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea.\Yes. response:	-I wrote it just as you requested. -What are you talking about?!
context: Uh...\Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?! response:	He got angry and sent the letter back to me!
context: Oh. Are you the one who's going to write it?\Yes, ma'am.\What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me! response:	Read it! Read what you wrote!
context: Yes, ma'am.\What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote! response:	I read your letter.
context: What's up with that letter?\Ma'am, please calm down.\Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter. response:	However, I do not have feelings for you now.
context: Ma'am, please calm down.\Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now. response:	Furthermore, your seriousness and love are insufficient.
context: Iris. Bring some tea.\Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient. response:	I am a complex and serious woman.
context: Yes.\-I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman. response:	Please reconsider again
context: -I wrote it just as you requested. -What are you talking about?!\He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again response:	with gifts and funds.
context: He got angry and sent the letter back to me!\Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again\with gifts and funds. response:	What's wrong with this letter?
context: Read it! Read what you wrote!\I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again\with gifts and funds.\What's wrong with this letter? response:	I apologize.
context: I read your letter.\However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again\with gifts and funds.\What's wrong with this letter?\I apologize. response:	The expressions used were too straight.
context: However, I do not have feelings for you now.\Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again\with gifts and funds.\What's wrong with this letter?\I apologize.\The expressions used were too straight. response:	wanted to date him.
context: Furthermore, your seriousness and love are insufficient.\I am a complex and serious woman.\Please reconsider again\with gifts and funds.\What's wrong with this letter?\I apologize.\The expressions used were too straight.\wanted to date him. response:	But if I accepted his request too soon,
context: I am a complex and serious woman.\Please reconsider again\with gifts and funds.\What's wrong with this letter?\I apologize.\The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon, response:	he would think that I'm too easy!
context: Please reconsider again\with gifts and funds.\What's wrong with this letter?\I apologize.\The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy! response:	Women want men to chase them,
context: with gifts and funds.\What's wrong with this letter?\I apologize.\The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them, response:	right?!
context: What's wrong with this letter?\I apologize.\The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them,\right?! response:	What would you like?
context: I apologize.\The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them,\right?!\What would you like? response:	Water or hot water is enough for rehydrating.
