context: They're holding a meeting of the Union Lords, so we've been summoned to Jalucia. response:	Over six months since the Great Hall Tragedy, and now there's finally a meeting?
context: So why not determine the victor in battle?\Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true.\So you strive for oppression, I see. response:	Eventually, I will serve as the fangs of the one who becomes emperor.
context: Men like you, who lack ambition and the mettle to protect your allies,\have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor. response:	And my hope is that Lord Villar will turn out to be that man.
context: have no right to be Lords.\But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man. response:	I was a nervous wreck the entire time!
context: But I have a path I've sworn to follow.\An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time! response:	You and me both.
context: An untold number of citizens have lost their lives with you at the helm.\And there will be many more in the future.\That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both. response:	Wherever that man goes, a pile of enemy corpses will be in his wake.
context: And there will be many more in the future.\That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake. response:	But it's possible I could leave a trail of dead allies in mine.
context: That might be true.\So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine. response:	That's what it means to strive for justice.
context: So you strive for oppression, I see.\Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice. response:	Though I'd rather not go down such a path.
context: Eventually, I will serve as the fangs of the one who becomes emperor.\And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path. response:	Sir Theo, you have empathy for others, and the power to fuse their souls into one.
context: And my hope is that Lord Villar will turn out to be that man.\I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one. response:	In other words, the path you seek to follow,
context: I was a nervous wreck the entire time!\You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow, response:	was born from a desire you share with those who suffer under the Chaos and oppression.
context: You and me both.\Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression. response:	Meaning it's not just my path to follow.
context: Wherever that man goes, a pile of enemy corpses will be in his wake.\But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow. response:	You'll go down that path with me, won't you?
context: But it's possible I could leave a trail of dead allies in mine.\That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you? response:	Of course!
context: That's what it means to strive for justice.\Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course! response:	Thank you very much for the splendid party.
context: Though I'd rather not go down such a path.\Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party. response:	If I may speak my mind, I wish I could've served you longer.
context: Sir Theo, you have empathy for others, and the power to fuse their souls into one.\In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer. response:	It makes me happy to hear you say that.
context: In other words, the path you seek to follow,\was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that. response:	But as you're a priestess of the order that worships the Sacred Flame,
context: was born from a desire you share with those who suffer under the Chaos and oppression.\Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame, response:	if I kept you here any longer, I'd get an earful from Dartania's viceroy.
context: Meaning it's not just my path to follow.\You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy. response:	To tell the truth, I would've liked to lean on your wisdom a bit longer.
context: You'll go down that path with me, won't you?\Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer. response:	Since you're basically the only one I can consult on foreign policy...
context: Of course!\Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy... response:	I'm happy to hear that.
context: Thank you very much for the splendid party.\If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that. response:	Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.
context: If I may speak my mind, I wish I could've served you longer.\It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca. response:	The next Mage Leader, Laura, is capable of handling domestic affairs.
context: It makes me happy to hear you say that.\But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs. response:	Siluca, eh?
context: But as you're a priestess of the order that worships the Sacred Flame,\if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh? response:	I wonder why she had such an aversion to me?
context: if I kept you here any longer, I'd get an earful from Dartania's viceroy.\To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me? response:	She ate up all the Lustful Earl rumors swirling around Eramu.
context: To tell the truth, I would've liked to lean on your wisdom a bit longer.\Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu. response:	But that's not fair.
context: Since you're basically the only one I can consult on foreign policy...\I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair. response:	In my mind, there's no man alive who treasures women more than I do.
context: I'm happy to hear that.\Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do. response:	I find it hard to agree with that.
context: Regarding military and foreign policy matters, I think you'll be able to rely on Siluca.\The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that. response:	You don't think I treasure you?
context: The next Mage Leader, Laura, is capable of handling domestic affairs.\Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you? response:	Or is it that you just refuse to get seriously involved?
context: Siluca, eh?\I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved? response:	Isn't she beautiful?
context: I wonder why she had such an aversion to me?\She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful? response:	Lady Floria.
context: She ate up all the Lustful Earl rumors swirling around Eramu.\But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria. response:	Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.
context: But that's not fair.\In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische. response:	Yes.
context: In my mind, there's no man alive who treasures women more than I do.\I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes. response:	She married into the Constance family, a member of the Alliance at the time.
context: I find it hard to agree with that.\You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time. response:	However, my father, Lucien, defected to the Union.
context: You don't think I treasure you?\Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union. response:	Denied permission to return to the Kreische clan,
context: Or is it that you just refuse to get seriously involved?\Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan, response:	and filled with a fierce hatred of my father...
context: Isn't she beautiful?\Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father... response:	My incarcerated mother began to abuse me.
context: Lady Floria.\Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me. response:	My mother couldn't forgive me.
context: Daughter of the man who founded the Alliance, the Blood-and-Iron Earl, Jurgen Kreische.\Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me. response:	You have the corrupt Constance blood in your veins.
context: Yes.\She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins. response:	You are not my child, she would tell me.
context: She married into the Constance family, a member of the Alliance at the time.\However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me. response:	How terrible...
context: However, my father, Lucien, defected to the Union.\Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible... response:	That's my earliest memory of my mother.
context: Denied permission to return to the Kreische clan,\and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother. response:	I came to hate my mother, and cursed my Kreische blood.
context: and filled with a fierce hatred of my father...\My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood. response:	And I revered my father.
context: My incarcerated mother began to abuse me.\My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father. response:	So why do you now feel such reverence for Lady Floria?
context: My mother couldn't forgive me.\You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria? response:	It's not as complicated as you'd think.
context: You have the corrupt Constance blood in your veins.\You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think. response:	My mother was sure that father would fear the Kreische blood running in my veins.
context: You are not my child, she would tell me.\How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins. response:	I was told that I resembled her, you see.
context: How terrible...\That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see. response:	Don't tell me...
context: That's my earliest memory of my mother.\I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me... response:	Lady Floria deliberately rejected you so you wouldn't come to harm?
context: I came to hate my mother, and cursed my Kreische blood.\And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm? response:	I'll never know the truth.
context: And I revered my father.\So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth. response:	But rather than despise the woman who gave birth to you...
context: So why do you now feel such reverence for Lady Floria?\It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you... response:	Lord Villar...
context: It's not as complicated as you'd think.\My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar... response:	Please, do not cry.
context: My mother was sure that father would fear the Kreische blood running in my veins.\I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry. response:	That's why I don't wish to talk on this matter.
context: I was told that I resembled her, you see.\Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter. response:	I have always loved you!
context: Don't tell me...\Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you! response:	You were the woman I could trust more than anyone else.
context: Lady Floria deliberately rejected you so you wouldn't come to harm?\I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else. response:	But, even though I worship women, I may also fear them.
context: I'll never know the truth.\But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them. response:	And the reason I could never take you as my bride was obvious from the start.
context: But rather than despise the woman who gave birth to you...\Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start. response:	All I hoped for was to remain by your side, nothing more.
context: Lord Villar...\Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more. response:	I'll be praying that you find happiness.
context: Please, do not cry.\That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness. response:	A meeting of the Lords will be held in Jalucia.
context: That's why I don't wish to talk on this matter.\I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia. response:	Needless to say, we will have to attend as well.
context: I have always loved you!\You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well. response:	Normally, we'd travel by ship,
context: You were the woman I could trust more than anyone else.\But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship, response:	but this time, at the suggestion of a mage who dislikes the sea,
context: But, even though I worship women, I may also fear them.\And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea, response:	we'll be making the trip together by land.
context: And the reason I could never take you as my bride was obvious from the start.\All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land. response:	In that case, I shall invite you all to my seaside castle another time.
context: All I hoped for was to remain by your side, nothing more.\I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time. response:	Siluca, kindly go over the plan one more time.
context: I'll be praying that you find happiness.\A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time. response:	Understood.
context: A meeting of the Lords will be held in Jalucia.\Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood. response:	Due to Lord Lassic's conquest of Sievis,
context: Needless to say, we will have to attend as well.\Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis, response:	the Lords of the neighboring Forbes and Clovis are now immensely agitated.
context: Normally, we'd travel by ship,\but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated. response:	We will vanquish these two countries
context: but this time, at the suggestion of a mage who dislikes the sea,\we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries response:	as we make our way towards the Union nation of Ismeia.
context: we'll be making the trip together by land.\In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia. response:	We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.
context: In that case, I shall invite you all to my seaside castle another time.\Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia. response:	Sir Lassic, you will go to Forbes with Sir Theo,
context: Siluca, kindly go over the plan one more time.\Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo, response:	while the main unit will advance into Clovis.
context: Understood.\Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis. response:	Roger that!
context: Due to Lord Lassic's conquest of Sievis,\the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that! response:	You'll deal with Lords who declare their intent to remain with the Alliance in battle,
context: the Lords of the neighboring Forbes and Clovis are now immensely agitated.\We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle, response:	and send those who wish to join the Union to the main unit.
context: We will vanquish these two countries\as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit. response:	This is shaping up to be an epic stage!
context: as we make our way towards the Union nation of Ismeia.\We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage! response:	We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!
context: We'll send our troops back upon arrival, while the rest of you will head on to Jalucia.\Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs! response:	We have come to align ourselves with the Union.
context: Sir Lassic, you will go to Forbes with Sir Theo,\while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union. response:	Where is Jericho Orlick, King of Forbes?
