context: Alarm response:	My Friend and I
context: Huh?\Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud. response:	Oh, I'm so embarrassed!
context: Oh, uh, um, okay...\Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed! response:	I can't believe I did that!
context: Um, uh...\I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that! response:	Yamato...
context: I wish to spend my next birthday,\and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that!\Yamato... response:	Your wish is my wish.
context: and the one after that, and the one after that with Takeo-kun!\You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that!\Yamato...\Your wish is my wish. response:	Suna, I'm spending time with Yamato and being happy,
context: You don't have to say it out loud!\Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that!\Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy, response:	just like you told me to.
context: Huh?\You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that!\Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to. response:	Takeo-kun?
context: You're the first customer who's said their wish aloud.\Oh, I'm so embarrassed!\I can't believe I did that!\Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun? response:	Hmm?
context: Oh, I'm so embarrassed!\I can't believe I did that!\Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun?\Hmm? response:	C-Can I hold hands with you?
context: I can't believe I did that!\Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun?\Hmm?\C-Can I hold hands with you? response:	Sure!
context: Yamato...\Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun?\Hmm?\C-Can I hold hands with you?\Sure! response:	Huh?
context: Your wish is my wish.\Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun?\Hmm?\C-Can I hold hands with you?\Sure!\Huh? response:	What?
context: Suna, I'm spending time with Yamato and being happy,\just like you told me to.\Takeo-kun?\Hmm?\C-Can I hold hands with you?\Sure!\Huh?\What? response:	I'm so nervous!
context: just like you told me to.\Takeo-kun?\Hmm?\C-Can I hold hands with you?\Sure!\Huh?\What?\I'm so nervous! response:	Did you tell the restaurant that it was my birthday?
context: Takeo-kun?\Hmm?\C-Can I hold hands with you?\Sure!\Huh?\What?\I'm so nervous!\Did you tell the restaurant that it was my birthday? response:	Yeah.
context: Hmm?\C-Can I hold hands with you?\Sure!\Huh?\What?\I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah. response:	Suna told me to.
context: C-Can I hold hands with you?\Sure!\Huh?\What?\I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to. response:	Sunakawa-kun did?
context: Sure!\Huh?\What?\I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to.\Sunakawa-kun did? response:	Wow, I'm so grateful!
context: Huh?\What?\I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful! response:	I see...
context: What?\I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful!\I see... response:	Sunakawa-kun tried really hard for Takeo-kun.
context: I'm so nervous!\Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun. response:	Good friends are nice to have.
context: Did you tell the restaurant that it was my birthday?\Yeah.\Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have. response:	What's Sunakawa-kun doing today?
context: Yeah.\Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today? response:	Suna's...
context: Suna told me to.\Sunakawa-kun did?\Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's... response:	Suna is...
context: Sunakawa-kun did?\Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's...\Suna is... response:	Suna, when does the surgery start?
context: Wow, I'm so grateful!\I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's...\Suna is...\Suna, when does the surgery start? response:	Two o'clock.
context: I see...\Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's...\Suna is...\Suna, when does the surgery start?\Two o'clock. response:	Well, good luck.
context: Sunakawa-kun tried really hard for Takeo-kun.\Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's...\Suna is...\Suna, when does the surgery start?\Two o'clock.\Well, good luck. response:	Takeo-kun?
context: Good friends are nice to have.\What's Sunakawa-kun doing today?\Suna's...\Suna is...\Suna, when does the surgery start?\Two o'clock.\Well, good luck.\Takeo-kun? response:	10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium
context: What's Sunakawa-kun doing today?\Suna's...\Suna is...\Suna, when does the surgery start?\Two o'clock.\Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium response:	Yamato, Suna and I came up with today's schedule together.
context: Suna's...\Suna is...\Suna, when does the surgery start?\Two o'clock.\Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together. response:	There are tickets in that envelope, too.
context: Suna is...\Suna, when does the surgery start?\Two o'clock.\Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too. response:	Please go with a friend, if you'd like.
context: Suna, when does the surgery start?\Two o'clock.\Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like. response:	I'm going to see Suna.
context: Two o'clock.\Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna. response:	His father is undergoing surgery today.
context: Well, good luck.\Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today. response:	What?
context: Takeo-kun?\10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today.\What? response:	It started at 2 PM, at a municipal hospital.
context: 10 AM: Meet in front of station 12 PM: Lunch 2 PM: Park if sunny, cafe if rain 3 PM: Planetarium\Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital. response:	Suna told me not to come,
context: Yamato, Suna and I came up with today's schedule together.\There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come, response:	but I still want to go!
context: There are tickets in that envelope, too.\Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go! response:	I'm glad.
context: Please go with a friend, if you'd like.\I'm going to see Suna.\His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go!\I'm glad. response:	Congratulations.
context: I'm going to see Suna.\His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go!\I'm glad.\Congratulations. response:	Suna, I'm sorry!
context: His father is undergoing surgery today.\What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go!\I'm glad.\Congratulations.\Suna, I'm sorry! response:	Why did you keep quiet about something this important?
context: What?\It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go!\I'm glad.\Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important? response:	The hospital's toward the station, right?
context: It started at 2 PM, at a municipal hospital.\Suna told me not to come,\but I still want to go!\I'm glad.\Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right? response:	You should get going!
context: Suna told me not to come,\but I still want to go!\I'm glad.\Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going! response:	Yamato...
context: but I still want to go!\I'm glad.\Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going!\Yamato... response:	I'll look at this schedule and go to the planetarium.
context: I'm glad.\Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going!\Yamato...\I'll look at this schedule and go to the planetarium. response:	I'll make sure I enjoy the plan you guys devised.
context: Congratulations.\Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going!\Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised. response:	You should go be with Sunakawa-kun now!
context: Suna, I'm sorry!\Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going!\Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now! response:	If you're there, I'm sure he'll feel better!
context: Why did you keep quiet about something this important?\The hospital's toward the station, right?\You should get going!\Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better! response:	Yamato...
context: The hospital's toward the station, right?\You should get going!\Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato... response:	You have to hurry.
context: You should get going!\Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry. response:	You have to run, Takeo-kun.
context: Yamato...\I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry.\You have to run, Takeo-kun. response:	Yamato, this is your present.
context: I'll look at this schedule and go to the planetarium.\I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present. response:	Please accept it.
context: I'll make sure I enjoy the plan you guys devised.\You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it. response:	Thank you, Yamato!
context: You should go be with Sunakawa-kun now!\If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it.\Thank you, Yamato! response:	Thank you for being born.
context: If you're there, I'm sure he'll feel better!\Yamato...\You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it.\Thank you, Yamato!\Thank you for being born. response:	Thank you for showing up in my life.
context: Yamato...\You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it.\Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life. response:	Thank you.
context: You have to hurry.\You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it.\Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life.\Thank you. response:	Life
context: You have to run, Takeo-kun.\Yamato, this is your present.\Please accept it.\Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life.\Thank you.\Life response:	Death
context: Yamato, this is your present.\Please accept it.\Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life.\Thank you.\Life\Death response:	Where's the operating room?!
context: Please accept it.\Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life.\Thank you.\Life\Death\Where's the operating room?! response:	The delivery room is on the third floor!
context: Thank you, Yamato!\Thank you for being born.\Thank you for showing up in my life.\Thank you.\Life\Death\Where's the operating room?!\The delivery room is on the third floor! response:	The operating room!
context: Thank you for being born.\Thank you for showing up in my life.\Thank you.\Life\Death\Where's the operating room?!\The delivery room is on the third floor!\The operating room! response:	Huh?
context: Thank you for showing up in my life.\Thank you.\Life\Death\Where's the operating room?!\The delivery room is on the third floor!\The operating room!\Huh? response:	I thought your wife was in labor.
context: Thank you.\Life\Death\Where's the operating room?!\The delivery room is on the third floor!\The operating room!\Huh?\I thought your wife was in labor. response:	Surgery in Progress
context: Life\Death\Where's the operating room?!\The delivery room is on the third floor!\The operating room!\Huh?\I thought your wife was in labor.\Surgery in Progress response:	Well, I did think you might ultimately end up here.
context: Death\Where's the operating room?!\The delivery room is on the third floor!\The operating room!\Huh?\I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here. response:	You're an idiot, you know.
context: Where's the operating room?!\The delivery room is on the third floor!\The operating room!\Huh?\I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know. response:	You were so excited about your first girlfriend's birthday...
context: The delivery room is on the third floor!\The operating room!\Huh?\I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday... response:	Where's the relative who's supposed to be here?
context: The operating room!\Huh?\I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here? response:	He went to work.
context: Huh?\I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work. response:	Oh.
context: I thought your wife was in labor.\Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work.\Oh. response:	Surgery in Progress
context: Surgery in Progress\Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work.\Oh.\Surgery in Progress response:	How long do surgeries usually take?
context: Well, I did think you might ultimately end up here.\You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work.\Oh.\Surgery in Progress\How long do surgeries usually take? response:	No idea.
context: You're an idiot, you know.\You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work.\Oh.\Surgery in Progress\How long do surgeries usually take?\No idea. response:	I have no idea what you really want,
context: You were so excited about your first girlfriend's birthday...\Where's the relative who's supposed to be here?\He went to work.\Oh.\Surgery in Progress\How long do surgeries usually take?\No idea.\I have no idea what you really want, response:	what you're really thinking,
context: Where's the relative who's supposed to be here?\He went to work.\Oh.\Surgery in Progress\How long do surgeries usually take?\No idea.\I have no idea what you really want,\what you're really thinking, response:	or what the right thing to do really is.
context: He went to work.\Oh.\Surgery in Progress\How long do surgeries usually take?\No idea.\I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is. response:	But I'm your friend.
context: Oh.\Surgery in Progress\How long do surgeries usually take?\No idea.\I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is.\But I'm your friend. response:	Let me stay.
context: Surgery in Progress\How long do surgeries usually take?\No idea.\I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is.\But I'm your friend.\Let me stay. response:	Dad's always had a weak heart.
context: How long do surgeries usually take?\No idea.\I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is.\But I'm your friend.\Let me stay.\Dad's always had a weak heart. response:	You?
context: No idea.\I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is.\But I'm your friend.\Let me stay.\Dad's always had a weak heart.\You? response:	No, Dad.
context: I have no idea what you really want,\what you're really thinking,\or what the right thing to do really is.\But I'm your friend.\Let me stay.\Dad's always had a weak heart.\You?\No, Dad. response:	That's why, when my sister and I were about to be born,
context: what you're really thinking,\or what the right thing to do really is.\But I'm your friend.\Let me stay.\Dad's always had a weak heart.\You?\No, Dad.\That's why, when my sister and I were about to be born, response:	he was really worried.
context: or what the right thing to do really is.\But I'm your friend.\Let me stay.\Dad's always had a weak heart.\You?\No, Dad.\That's why, when my sister and I were about to be born,\he was really worried. response:	Mom told us that, once he found out we were fine,
context: But I'm your friend.\Let me stay.\Dad's always had a weak heart.\You?\No, Dad.\That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine, response:	he was so happy, he cried.
context: Let me stay.\Dad's always had a weak heart.\You?\No, Dad.\That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried. response:	I see.
context: Dad's always had a weak heart.\You?\No, Dad.\That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see. response:	Given all that, he spoiled us rotten.
context: You?\No, Dad.\That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see.\Given all that, he spoiled us rotten. response:	We could do no wrong.
context: No, Dad.\That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see.\Given all that, he spoiled us rotten.\We could do no wrong. response:	I've never seen him get angry.
context: That's why, when my sister and I were about to be born,\he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see.\Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry. response:	I get it.
context: he was really worried.\Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see.\Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry.\I get it. response:	Actually, this is his second surgery.
context: Mom told us that, once he found out we were fine,\he was so happy, he cried.\I see.\Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry.\I get it.\Actually, this is his second surgery. response:	To be honest, it isn't looking good.
context: he was so happy, he cried.\I see.\Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry.\I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good. response:	The day he collapsed,
context: I see.\Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry.\I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed, response:	Mom and Sis were away on a trip,
context: Given all that, he spoiled us rotten.\We could do no wrong.\I've never seen him get angry.\I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip, response:	and it was just the two of us at home.
context: We could do no wrong.\I've never seen him get angry.\I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home. response:	I'd stopped by the bookstore and music store on my way home from school.
context: I've never seen him get angry.\I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school. response:	I found him on the floor when I got home, all alone.
context: I get it.\Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone. response:	I have no idea when it happened.
context: Actually, this is his second surgery.\To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened. response:	If only...
context: To be honest, it isn't looking good.\The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only... response:	I'd gone home earlier.
context: The day he collapsed,\Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only...\I'd gone home earlier. response:	If I hadn't been out and about,
context: Mom and Sis were away on a trip,\and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only...\I'd gone home earlier.\If I hadn't been out and about, response:	it might not have come to this.
context: and it was just the two of us at home.\I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only...\I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this. response:	It's my fault...
context: I'd stopped by the bookstore and music store on my way home from school.\I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only...\I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this.\It's my fault... response:	You're the only one who thinks that.
context: I found him on the floor when I got home, all alone.\I have no idea when it happened.\If only...\I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this.\It's my fault...\You're the only one who thinks that. response:	Am I?
context: I have no idea when it happened.\If only...\I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this.\It's my fault...\You're the only one who thinks that.\Am I? response:	Definitely.
context: If only...\I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this.\It's my fault...\You're the only one who thinks that.\Am I?\Definitely. response:	Your sister, mom, and dad don't think that.
context: I'd gone home earlier.\If I hadn't been out and about,\it might not have come to this.\It's my fault...\You're the only one who thinks that.\Am I?\Definitely.\Your sister, mom, and dad don't think that. response:	I don't think that, either.
context: If I hadn't been out and about,\it might not have come to this.\It's my fault...\You're the only one who thinks that.\Am I?\Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either. response:	It isn't that Suna didn't tell me before.
context: it might not have come to this.\It's my fault...\You're the only one who thinks that.\Am I?\Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before. response:	Maybe he just couldn't tell me.
context: It's my fault...\You're the only one who thinks that.\Am I?\Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me. response:	Surgery in Progress
context: You're the only one who thinks that.\Am I?\Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress response:	So, this surgery was a valvuloplasty
context: Am I?\Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty response:	to repair your father's valves.
context: Definitely.\Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves. response:	If he takes anticoagulants,
context: Your sister, mom, and dad don't think that.\I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants, response:	and no arrhythmia occurs
context: I don't think that, either.\It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs response:	What was the result?
context: It isn't that Suna didn't tell me before.\Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs\What was the result? response:	Did it work?
context: Maybe he just couldn't tell me.\Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs\What was the result?\Did it work? response:	It worked, didn't it?!
context: Surgery in Progress\So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs\What was the result?\Did it work?\It worked, didn't it?! response:	I-It worked...
context: So, this surgery was a valvuloplasty\to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs\What was the result?\Did it work?\It worked, didn't it?!\I-It worked... response:	Puke.
context: to repair your father's valves.\If he takes anticoagulants,\and no arrhythmia occurs\What was the result?\Did it work?\It worked, didn't it?!\I-It worked...\Puke. response:	You came on a little strong there...
context: If he takes anticoagulants,\and no arrhythmia occurs\What was the result?\Did it work?\It worked, didn't it?!\I-It worked...\Puke.\You came on a little strong there... response:	Honey!
context: and no arrhythmia occurs\What was the result?\Did it work?\It worked, didn't it?!\I-It worked...\Puke.\You came on a little strong there...\Honey! response:	Makoto!
context: What was the result?\Did it work?\It worked, didn't it?!\I-It worked...\Puke.\You came on a little strong there...\Honey!\Makoto! response:	I'm sorry we're late!
context: Did it work?\It worked, didn't it?!\I-It worked...\Puke.\You came on a little strong there...\Honey!\Makoto!\I'm sorry we're late! response:	Makoto!
context: It worked, didn't it?!\I-It worked...\Puke.\You came on a little strong there...\Honey!\Makoto!\I'm sorry we're late!\Makoto! response:	Sorry to make you go through all that alone!
context: I-It worked...\Puke.\You came on a little strong there...\Honey!\Makoto!\I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone! response:	No, I'm fine.
context: Puke.\You came on a little strong there...\Honey!\Makoto!\I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone!\No, I'm fine. response:	Sorry, Makoto!
context: You came on a little strong there...\Honey!\Makoto!\I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto! response:	It must've been so hard!
context: Honey!\Makoto!\I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto!\It must've been so hard! response:	No, not at all.
context: Makoto!\I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto!\It must've been so hard!\No, not at all. response:	Liar
context: I'm sorry we're late!\Makoto!\Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto!\It must've been so hard!\No, not at all.\Liar response:	Can you calm down?
context: Makoto!\Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto!\It must've been so hard!\No, not at all.\Liar\Can you calm down? response:	Dad's fine.
context: Sorry to make you go through all that alone!\No, I'm fine.\Sorry, Makoto!\It must've been so hard!\No, not at all.\Liar\Can you calm down?\Dad's fine. response:	Thank g
context: No, I'm fine.\Sorry, Makoto!\It must've been so hard!\No, not at all.\Liar\Can you calm down?\Dad's fine.\Thank g response:	Oh, Takeo was with you?
context: Sorry, Makoto!\It must've been so hard!\No, not at all.\Liar\Can you calm down?\Dad's fine.\Thank g\Oh, Takeo was with you? response:	Thanks!
