context: Yes! response:	Spellamiso. A perennial plant from the Aoshidare family.
context: You are losing.\Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important. response:	I'm going for a walk.
context: Okay, that should do it.\Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk. response:	Well, why did you come with me?
context: Wow, you're good at this, Shirayuki.\I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk.\Well, why did you come with me? response:	It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.
context: I'm used to it.\I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone. response:	Weirdo.
context: I told you that I'm an herbalist, right?\Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo. response:	I got used to the mountains and forests while studying to be an herbalist.
context: Oh yeah, you did.\Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist. response:	The time and air flow differently from the town here, and it feels so good.
context: Well, why did an herbalist like you run away from home?\That's not important.\I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good. response:	Yeah, I know what you mean.
context: That's not important.\I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean. response:	Those were your honest feelings just now, huh?
context: I'm going for a walk.\Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh? response:	Ow!
context: Well, why did you come with me?\It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow! response:	Ow...
context: It'd be dishonorable as a gentleman to allow an injured girl to go into the woods alone.\Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow!\Ow... response:	Oh, it's caught.
context: Weirdo.\I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow!\Ow...\Oh, it's caught. response:	You have a strand that's longer than the others.
context: I got used to the mountains and forests while studying to be an herbalist.\The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow!\Ow...\Oh, it's caught.\You have a strand that's longer than the others. response:	Huh?
context: The time and air flow differently from the town here, and it feels so good.\Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow!\Ow...\Oh, it's caught.\You have a strand that's longer than the others.\Huh? response:	Oh, I must've missed it.
context: Yeah, I know what you mean.\Those were your honest feelings just now, huh?\Ow!\Ow...\Oh, it's caught.\You have a strand that's longer than the others.\Huh?\Oh, I must've missed it. response:	Sorry, Zen. Will you cut it off for me?
context: Those were your honest feelings just now, huh?\Ow!\Ow...\Oh, it's caught.\You have a strand that's longer than the others.\Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me? response:	Huh?
context: Ow!\Ow...\Oh, it's caught.\You have a strand that's longer than the others.\Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh? response:	It doesn't have to be straight.
context: Ow...\Oh, it's caught.\You have a strand that's longer than the others.\Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight. response:	No, no. I can't cut a woman's hair!
context: Oh, it's caught.\You have a strand that's longer than the others.\Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair! response:	Does cutting off your long hair have something to do with why you ran away from home?
context: You have a strand that's longer than the others.\Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home? response:	If you tell me the reason, I can help you.
context: Huh?\Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you. response:	You're a terrible person.
context: Oh, I must've missed it.\Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person. response:	Hm?
context: Sorry, Zen. Will you cut it off for me?\Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person.\Hm? response:	You were told to become his concubine?!
context: Huh?\It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person.\Hm?\You were told to become his concubine?! response:	By a famous rich boy who learned to speak in the red-light district and ate silver coins.
context: It doesn't have to be straight.\No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person.\Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins. response:	He thought red hair was unusual and wanted to keep it by him.
context: No, no. I can't cut a woman's hair!\Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person.\Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him. response:	If I did as he said, it'd be like he was buying an apple at the fruit seller's.
context: Does cutting off your long hair have something to do with why you ran away from home?\If you tell me the reason, I can help you.\You're a terrible person.\Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's. response:	-Shirayuki- -That's why I thought I'd have him tire of it little by little
context: If you tell me the reason, I can help you.\You're a terrible person.\Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little response:	and left my hair behind.
context: You're a terrible person.\Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind. response:	That was a great decision!
context: Hm?\You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision! response:	Huh?
context: You were told to become his concubine?!\By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision!\Huh? response:	Good job getting away from that lowlife.
context: By a famous rich boy who learned to speak in the red-light district and ate silver coins.\He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision!\Huh?\Good job getting away from that lowlife. response:	I mean, it's your precious red.
context: He thought red hair was unusual and wanted to keep it by him.\If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision!\Huh?\Good job getting away from that lowlife.\I mean, it's your precious red. response:	My precious red?
context: If I did as he said, it'd be like he was buying an apple at the fruit seller's.\-Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision!\Huh?\Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red? response:	Yeah.
context: -Shirayuki- -That's why I thought I'd have him tire of it little by little\and left my hair behind.\That was a great decision!\Huh?\Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red?\Yeah. response:	Red is supposed to be the color of fate, right?
context: and left my hair behind.\That was a great decision!\Huh?\Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red?\Yeah.\Red is supposed to be the color of fate, right? response:	Even if it's annoying now,
context: That was a great decision!\Huh?\Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red?\Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now, response:	it might connect to something good when you least expect it.
context: Huh?\Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red?\Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it. response:	Y-You have an amazing way of thinking!
context: Good job getting away from that lowlife.\I mean, it's your precious red.\My precious red?\Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking! response:	What? Is that respect?
context: I mean, it's your precious red.\My precious red?\Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect? response:	She doesn't seem suspicious after all, huh?
context: My precious red?\Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh? response:	Not only that, but Zen seems to really like her.
context: Yeah.\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her. response:	What?
context: Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What? response:	That's the ribbon I tied my hair in!
context: Even if it's annoying now,\it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in! response:	Huh?
context: it might connect to something good when you least expect it.\Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in!\Huh? response:	So you were from Tanbarun, huh?
context: Y-You have an amazing way of thinking!\What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh? response:	The person who sent this came all the way to the border to get you, you know.
context: What? Is that respect?\She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know. response:	He seems to be a very spiteful gentleman.
context: She doesn't seem suspicious after all, huh?\Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman. response:	Right?
context: Not only that, but Zen seems to really like her.\What?\That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right? response:	This is no laughing matter!
context: What?\That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right?\This is no laughing matter! response:	Was this matter so serious that you had to run across the border?
context: That's the ribbon I tied my hair in!\Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border? response:	It's because of who he is...
context: Huh?\So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is... response:	It was the first prince of Tanbarun...
context: So you were from Tanbarun, huh?\The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun... response:	Raj!
context: The person who sent this came all the way to the border to get you, you know.\He seems to be a very spiteful gentleman.\Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun...\Raj! response:	That... idiot... prince... huh...?
context: He seems to be a very spiteful gentleman.\Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...? response:	Are you all right?
context: Right?\This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...?\Are you all right? response:	He's such a huge idiot that rumors even spread to the neighboring countries.
context: This is no laughing matter!\Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries. response:	It's because of who he is, huh?
context: Was this matter so serious that you had to run across the border?\It's because of who he is...\It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh? response:	He probably had people looking through all the border crossing records.
context: It's because of who he is...\It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records. response:	He would go that far, huh?
context: It was the first prince of Tanbarun...\Raj!\That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh? response:	If there's something he wants, he probably already counts it as his own.
context: Raj!\That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own. response:	Even if it means caging it? No way, right...?
context: That... idiot... prince... huh...?\Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...? response:	Hm?
context: Are you all right?\He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm? response:	It's starting to go bad.
context: He's such a huge idiot that rumors even spread to the neighboring countries.\It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm?\It's starting to go bad. response:	This red is no good anymore.
context: It's because of who he is, huh?\He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm?\It's starting to go bad.\This red is no good anymore. response:	Just kidding...
context: He probably had people looking through all the border crossing records.\He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm?\It's starting to go bad.\This red is no good anymore.\Just kidding... response:	Zen?
context: He would go that far, huh?\If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm?\It's starting to go bad.\This red is no good anymore.\Just kidding...\Zen? response:	Zen...
context: If there's something he wants, he probably already counts it as his own.\Even if it means caging it? No way, right...?\Hm?\It's starting to go bad.\This red is no good anymore.\Just kidding...\Zen?\Zen... response:	You're so impolite.
context: Even if it means caging it? No way, right...?\Hm?\It's starting to go bad.\This red is no good anymore.\Just kidding...\Zen?\Zen...\You're so impolite. response:	Don't do that, Zen. You should get it yourself.
context: Hm?\It's starting to go bad.\This red is no good anymore.\Just kidding...\Zen?\Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself. response:	What're ya-
context: It's starting to go bad.\This red is no good anymore.\Just kidding...\Zen?\Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya- response:	You should either talk or eat. Don't do both.
context: This red is no good anymore.\Just kidding...\Zen?\Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both. response:	I didn't call you. Stay out of it!
context: Just kidding...\Zen?\Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it! response:	Man, that hurts.
context: Zen?\Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts. response:	Zen!
context: Zen...\You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts.\Zen! response:	What?!
context: You're so impolite.\Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts.\Zen!\What?! response:	I said something stupid. Sorry.
context: Don't do that, Zen. You should get it yourself.\What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts.\Zen!\What?!\I said something stupid. Sorry. response:	Shirayuki. You shouldn't eat that apple.
context: What're ya-\You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts.\Zen!\What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple. response:	Huh?
context: You should either talk or eat. Don't do both.\I didn't call you. Stay out of it!\Man, that hurts.\Zen!\What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh? response:	Kiki, Mitsuhide... Don't get... mad...
context: I didn't call you. Stay out of it!\Man, that hurts.\Zen!\What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad... response:	Zen!
context: Man, that hurts.\Zen!\What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen! response:	What's wrong, Zen?
context: Zen!\What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen? response:	Zen!
context: What?!\I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen?\Zen! response:	It's poisoned!
context: I said something stupid. Sorry.\Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen?\Zen!\It's poisoned! response:	Do you have an antidote?!
context: Shirayuki. You shouldn't eat that apple.\Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen?\Zen!\It's poisoned!\Do you have an antidote?! response:	Please wait a moment!
context: Huh?\Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen?\Zen!\It's poisoned!\Do you have an antidote?!\Please wait a moment! response:	It's no use. I can't prepare one with this.
context: Kiki, Mitsuhide... Don't get... mad...\Zen!\What's wrong, Zen?\Zen!\It's poisoned!\Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this. response:	If I don't hurry...
context: Zen!\What's wrong, Zen?\Zen!\It's poisoned!\Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry... response:	Oh? Miss Shirayuki was not the one who ate the apple?
context: What's wrong, Zen?\Zen!\It's poisoned!\Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple? response:	Who're you?!
context: Zen!\It's poisoned!\Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?! response:	You're...
context: It's poisoned!\Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're... response:	Hmm... Oh, well.
context: Do you have an antidote?!\Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're...\Hmm... Oh, well. response:	What do you mean?!
context: Please wait a moment!\It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're...\Hmm... Oh, well.\What do you mean?! response:	Do not worry. A certain person has the antidote.
context: It's no use. I can't prepare one with this.\If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're...\Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote. response:	I trust you will come with me quietly?
context: If I don't hurry...\Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're...\Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly? response:	Oh, so it's you? I see.
context: Oh? Miss Shirayuki was not the one who ate the apple?\Who're you?!\You're...\Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see. response:	I am surprised.
context: Who're you?!\You're...\Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised. response:	The red hair you left behind was real, huh?
context: You're...\Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh? response:	Um, what about the antidote for my friend?
context: Hmm... Oh, well.\What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend? response:	Hang on a sec.
context: What do you mean?!\Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec. response:	Actually, Miss Shirayuki...
context: Do not worry. A certain person has the antidote.\I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki... response:	The world is a frightening place.
context: I trust you will come with me quietly?\Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place. response:	The fact that I courted you and you ran away has made me a laughingstock
context: Oh, so it's you? I see.\I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock response:	in town and in the royal palace.
context: I am surprised.\The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace. response:	Man, thanks to that, public opinion of me has plunged.
context: The red hair you left behind was real, huh?\Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged. response:	However, the rumors all agree that it's your fault.
context: Um, what about the antidote for my friend?\Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault. response:	So, in order to clear my good name,
context: Hang on a sec.\Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name, response:	I'll have you ask to be my concubine.
context: Actually, Miss Shirayuki...\The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine. response:	Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,
context: The world is a frightening place.\The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment, response:	so this is the solution I painstakingly came to.
context: The fact that I courted you and you ran away has made me a laughingstock\in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to. response:	A-Am I hearing things?
context: in town and in the royal palace.\Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things? response:	Um, more importantly, what about the antidote?
context: Man, thanks to that, public opinion of me has plunged.\However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote? response:	Do you think I could get the antidote for my friend, Prince Raj?
context: However, the rumors all agree that it's your fault.\So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj? response:	Oh, right. If you just nod your head, I will have it delivered, promptly.
context: So, in order to clear my good name,\I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly. response:	Or, would you rather I have this delivered instead?
context: I'll have you ask to be my concubine.\Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead? response:	Red is supposed to be the color of fate, right?
